から	від	から	від	CONJ	ADP;GEN
イギリス	англія	イギリス	англія	PROPN	PROPN;INAN;NOM;FEM;SG
ドラマ	драматичний	ドラマ	драматичний	N	ADJ;NOM;MASC;SG
中国	china	中国	china	PROPN	
中国	китаї	中国	китай	PROPN	PROPN;INAN;NOM;MASC;SG
中国	китаю	中国	китати	PROPN	PROPN;INAN;ACC;FEM;SG
中国	китай	中国	китай	PROPN	PROPN;INAN;NOM;MASC;SG
撮影	кінематограф	撮影	кінематограф	V	N;INAN;NOM;MASC;SG
撮影	фотографія	撮影	фотографія	V	N;INAN;NOM;FEM;SG
撮影	зйомки	撮影	зйомка	V	N;INAN;NOM;FEM;PL
選手権	чемпіонський	選手権	чемпіонський	N	ADJ;NOM;MASC;SG
指定	позначення	指定	позначення	V	N;INAN;NOM;NEUT;SG
位置	розташування	位置	розташування	V	N;INAN;NOM;NEUT;SG
位置	позиція	位置	позиція	V	N;INAN;NOM;FEM;SG
位置	положення	位置	положення	V	N;INAN;NOM;NEUT;SG
位置	позиції	位置	позиція	V	N;INAN;NOM;FEM;PL
以下	нижче	以下	нижче	N	ADV;CMPR
以下	знизу	以下	знизу	N	ADV
マン	mann	マン	mann	N	
卒業	змістовні	卒業	змістовний	V	ADJ;NOM;PL
卒業	випускний	卒業	випускний	V	ADJ;NOM;MASC;SG
文庫	bunko	文庫	bunko	N	
公開	публічний	公開	публічний	V	ADJ;NOM;MASC;SG
公開	громадське	公開	громадський	V	ADJ;NOM;NEUT;SG
公開	паблік	公開	паблік	V	
公開	відкритий	公開	відкритий	V	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
公開	публічна	公開	публічний	V	ADJ;NOM;FEM;SG
公開	громадського	公開	громадський	V	ADJ;GEN;MASC;SG
北海道	хоккайдо	北海道	хоккайдо	PROPN	N;INAN;NOM;FEM;SG
最終	останній	最終	останній	N	ADJ;NOM;MASC;SG
最終	остання	最終	останній	N	ADJ;NOM;FEM;SG
最終	останнє	最終	останній	N	ADJ;NOM;NEUT;SG
最終	остаточний	最終	остаточний	N	ADJ;NOM;MASC;SG
最終	final	最終	final	N	
確認	підтвердження	確認	підтвердження	V	N;INAN;NOM;NEUT;SG
一般	загальні	一般	загальний	N	ADJ;NOM;PL
一般	загальний	一般	загальний	N	ADJ;NOM;MASC;SG
一般	загальне	一般	загальний	N	ADJ;NOM;NEUT;SG
計画	запланована	計画	запланований	N	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
計画	заплановано	計画	заплановати	N	V;PFV;IND;0;FIN
計画	запланований	計画	запланований	N	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
計画	заплановане	計画	запланований	N	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS
計画	плануємо	計画	планувати	N	V;IPFV;IND;PL;1;PRS;FIN
計画	спланувати	計画	спланувати	N	V;IPFV;NFIN
計画	планувати	計画	планувати	N	V;IPFV;NFIN
ページ	пейдж	ページ	пейдж	N	PROPN;ANIM;NOM;MASC;SG
グループ	групова	グループ	груповий	N	ADJ;NOM;FEM;SG
グループ	груповий	グループ	груповий	N	ADJ;NOM;MASC;SG
英語	англійською	英語	англійський	N	ADJ;INS;FEM;SG
英語	англійська	英語	англійський	N	ADJ;NOM;FEM;SG
女性	жіноча	女性	жіночий	N	ADJ;NOM;FEM;SG
女性	жіночий	女性	жіночий	N	ADJ;NOM;MASC;SG
地区	нохія	地区	нохій	N	PROPN;INAN;NOM;FEM;SG
コメント	коментувати	コメント	коментувати	N	V;IPFV;NFIN
コメント	прокоментувати	コメント	прокоментувати	N	V;IPFV;NFIN
コメント	прокоментувала	コメント	прокоментувати	N	V;IPFV;FEM;IND;SG;PST;FIN
コメント	прокоментував	コメント	прокоментувати	N	V;IPFV;MASC;IND;SG;PST;FIN
漫画	comics	漫画	comics	N	
他の	інших	他の	інший	ADJ	DET;GEN;PL
他の	інші	他の	інший	ADJ	DET;NOM;PL
他の	іншими	他の	інший	ADJ	DET;INS;PL
就任	успіння	就任	успіння	V	N;INAN;NOM;NEUT;SG
販売	продаж	販売	продаж	V	N;INAN;NOM;MASC;SG
販売	продажів	販売	продаж	V	N;INAN;GEN;MASC;PL
販売	продаж	販売	продаж	V	N;INAN;NOM;MASC;SG
販売	продажі	販売	продаж	V	N;INAN;NOM;MASC;PL
攻撃	приступ	攻撃	приступ	V	N;INAN;NOM;MASC;SG
攻撃	напади	攻撃	напади	V	N;INAN;NOM;MASC;PL
攻撃	атаки	攻撃	атаки	V	N;INAN;NOM;FEM;PL
攻撃	наступ	攻撃	наступ	V	N;INAN;NOM;MASC;SG
攻撃	напад	攻撃	напад	V	N;INAN;NOM;MASC;SG
攻撃	атака	攻撃	атакий	V	N;INAN;NOM;FEM;SG
攻撃	атаки	攻撃	атаки	V	N;INAN;NOM;FEM;PL
リー	лі	リー	лі	N	PROPN;ANIM;NOM;MASC;SG
デビュー	дебют	デビュー	дебют	V	N;INAN;NOM;MASC;SG
フジ	фудзі	フジ	фудза	PROPN	
自分	себе	自分	себе	N	PRO;ACC;REFL
自分	собі	自分	себе	N	PRO;DAT;REFL
自分	собою	自分	себе	N	PRO;INS;REFL
自分	виступили	自分	виступити	N	V;PFV;IND;PL;PST;FIN
製作	продакшн	製作	продакшн	V	N;INAN;NOM;MASC;SG
製作	виробництво	製作	виробництво	V	N;INAN;NOM;NEUT;SG
製作	продукція	製作	продукція	V	N;INAN;NOM;FEM;SG
当初	спочатку	当初	спочатку	N	ADV
最初	перше	最初	перше	N	ADV
最初	перша	最初	перший	N	ADJ;NOM;FEM;SG
最初	перший	最初	перший	N	ADJ;NOM;MASC;SG
受賞	нагороди	受賞	нагорода	V	N;INAN;NOM;MASC;PL
受賞	нагорода	受賞	нагорода	V	N;INAN;NOM;FEM;SG
広島	хіросіма	広島	хіросім	PROPN	N;INAN;NOM;FEM;SG
海軍	вмс	海軍	вмс	N	
リンク	посиланням	リンク	посилання	V	N;INAN;INS;NEUT;SG
リンク	посилання	リンク	посилання	V	N;INAN;NOM;NEUT;PL
リンク	link	リンク	link	V	
リンク	лінк	リンク	лінк	V	N;INAN;NOM;MASC;SG
リンク	лінки	リンク	лінка	V	N;INAN;NOM;MASC;PL
リンク	посилання	リンク	посилання	V	N;INAN;NOM;NEUT;PL
リンク	посиланнями	リンク	посилання	V	N;INAN;INS;NEUT;PL
リンク	посилань	リンク	посилання	V	N;INAN;GEN;NEUT;PL
道路	дорожні	道路	дорожній	N	ADJ;NOM;PL
特定	конкретних	特定	конкретний		ADJ;GEN;PL
特定	певне	特定	певний		ADJ;NOM;NEUT;SG
特定	конкретні	特定	конкретний		ADJ;NOM;PL
特定	зазначені	特定	зазначений		ADJ;PFV;NOM;PL;V.PTCP;PASS
特定	вказано	特定	вказати		V;PFV;IND;0;FIN
特定	вказана	特定	вказаний		ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
特定	зазначений	特定	зазначений		ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
特定	вказаний	特定	вказаний		ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
朝日	асахі	朝日	асах	PROPN	N;INAN;NOM;FEM;SG
意味	сенс	意味	сенс	V	N;INAN;NOM;MASC;SG
意味	значення	意味	значення	V	N;INAN;NOM;NEUT;SG
システム	системний	システム	системний	N	ADJ;NOM;MASC;SG
システム	системне	システム	системний	N	ADJ;NOM;NEUT;SG
システム	системна	システム	системний	N	ADJ;NOM;FEM;SG
システム	systems	システム	systems	N	
モデル	models	モデル	models	N	
建設	будівництво	建設	будівництво	V	N;INAN;NOM;NEUT;SG
建設	будівництва	建設	будівництво	V	N;INAN;NOM;NEUT;SG
とき	коли	とき	коли	N	ADV
最後	останній	最後	останній	N	ADJ;NOM;MASC;SG
最後	остання	最後	останній	N	ADJ;NOM;FEM;SG
最後	останнє	最後	останній	N	ADJ;NOM;NEUT;SG
一	one	一	one	NUM	
一	одне	一	один	NUM	DET;NOM;NEUT;SG
大正	тайсьо	大正	тайсьо	N	
最高	кращий	最高	кращий	N	ADJ;NOM;CMPR;MASC;SG
最高	найкраща	最高	найкращий	N	ADJ;NOM;RL;FEM;SG
最高	найкращий	最高	найкращий	N	ADJ;NOM;CMPR;MASC;SG
最高	найкраще	最高	найкраще	N	ADV;RL
最高	найкращі	最高	найкращий	N	ADJ;NOM;RL;PL
ブロック	блокувати	ブロック	блокувати	N	V;IPFV;NFIN
ブロック	заблокувати	ブロック	заблокувати	N	V;PFV;NFIN
営業	ділова	営業	ділово	N	ADJ;NOM;FEM;SG
営業	business	営業	business	N	
営業	діловий	営業	діловий	N	ADJ;NOM;MASC;SG
発生	повторення	発生	повторення	V	N;INAN;NOM;NEUT;SG
連続	неперервність	連続	неперервність	ADJ	N;INAN;NOM;FEM;SG
連続	продовження	連続	продовження	ADJ	N;INAN;NOM;NEUT;SG
構成	конфігурація	構成	конфігурація	V	N;INAN;NOM;FEM;SG
構成	налаштування	構成	налаштування	V	N;INAN;NOM;NEUT;SG
構成	будова	構成	будова	V	N;INAN;NOM;FEM;SG
構成	композиція	構成	композиція	V	N;INAN;NOM;FEM;SG
構成	структура	構成	структура	V	N;INAN;NOM;FEM;SG
構成	структури	構成	структура	V	N;INAN;NOM;FEM;PL
最大	максимальний	最大	максимальний	N	ADJ;NOM;MASC;SG
最大	максимальне	最大	максимальний	N	ADJ;NOM;NEUT;SG
最大	максимальна	最大	максимальний	N	ADJ;NOM;FEM;SG
最大	найбільшим	最大	найбільший	N	ADJ;INS;RL;NEUT;SG
最大	найбільших	最大	найбільший	N	ADJ;GEN;RL;PL
最大	найбільші	最大	найбільший	N	ADJ;NOM;RL;PL
最大	найбільша	最大	найбільший	N	ADJ;NOM;RL;FEM;SG
それぞれ	кожну	それぞれ	кожний	ADV	DET;ACC;FEM;SG
それぞれ	кожного	それぞれ	кожний	ADV	DET;GEN;MASC;SG
それぞれ	кожному	それぞれ	кожний	ADV	PRO;INAN;DAT;NEUT;SG
それぞれ	кожен	それぞれ	кожний	ADV	DET;NOM;MASC;SG
それぞれ	кожна	それぞれ	кожний	ADV	DET;NOM;FEM;SG
機関	топові	機関	топовий	N	ADJ;NOM;PL
参照	довідник	参照	довідник	V	N;INAN;NOM;MASC;SG
参照	посилання	参照	посилання	V	N;INAN;NOM;NEUT;PL
参照	зразковий	参照	зразковий	V	ADJ;NOM;MASC;SG
参照	посилання	参照	посилання	V	N;INAN;NOM;NEUT;PL
発行	видала	発行	видати	N	V;PFV;FEM;IND;SG;PST;FIN
発行	виданий	発行	виданий	N	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
発行	випущено	発行	випустити	N	V;PFV;IND;0;FIN
画像	picture	画像	picture	N	
画像	фото	画像	фото	N	
画像	ілюстрована	画像	ілюстрований	N	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
ホーム	домашній	ホーム	домашній	N	ADJ;NOM;MASC;SG
ホーム	додому	ホーム	додому	N	ADV
運行	дія	運行	дія	V	N;INAN;NOM;FEM;SG
運行	операція	運行	операція	V	N;INAN;NOM;FEM;SG
投稿	дописі	投稿	допис	V	ADV
投稿	допис	投稿	допис	V	N;INAN;NOM;MASC;SG
投稿	допису	投稿	допис	V	N;INAN;GEN;MASC;SG
投稿	пости	投稿	пост	V	N;INAN;NOM;MASC;PL
投稿	дописи	投稿	допис	V	N;INAN;NOM;MASC;PL
投稿	розміщення	投稿	розміщення	V	N;INAN;NOM;NEUT;SG
投稿	публікація	投稿	публікація	V	N;INAN;NOM;FEM;SG
投稿	публікування	投稿	публікування	V	N;INAN;NOM;NEUT;SG
福岡	фукуока	福岡	фукуока	PROPN	N;INAN;NOM;FEM;SG
調査	опитування	調査	опитування	V	N;INAN;NOM;NEUT;SG
調査	розслідування	調査	розслідування	V	N;INAN;NOM;NEUT;SG
調査	слідство	調査	слідство	V	N;INAN;NOM;NEUT;SG
調査	опитування	調査	опитування	V	N;INAN;NOM;NEUT;SG
製造	виготовлена	製造	виготовлений	V	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
イタリア	італії	イタリア	італія	PROPN	PROPN;INAN;GEN;FEM;SG
イタリア	італія	イタリア	італія	PROPN	PROPN;INAN;NOM;FEM;SG
イタリア	італію	イタリア	італія	PROPN	PROPN;INAN;ACC;FEM;SG
ロシア	російська	ロシア	російський	PROPN	ADJ;NOM;FEM;SG
ロシア	російською	ロシア	російський	PROPN	ADJ;INS;FEM;SG
ロシア	російську	ロシア	російський	PROPN	ADJ;ACC;FEM;SG
ロシア	росії	ロシア	росія	PROPN	PROPN;INAN;GEN;FEM;SG
ロシア	росію	ロシア	росіти	PROPN	PROPN;INAN;ACC;FEM;SG
ロシア	росія	ロシア	росія	PROPN	PROPN;INAN;NOM;FEM;SG
独立	незалежність	独立	незалежність	ADJ	N;INAN;NOM;FEM;SG
独立	незалежності	独立	незалежності	ADJ	N;INAN;GEN;FEM;SG
サン	сан	サン	сан	N	
名古屋	наґоя	名古屋	наґоя	PROPN	
通常	зазвичай	通常	зазвичай	N	ADV
通常	зазвичай	通常	зазвичай	N	ADV
企業	enterprise	企業	enterprise	N	
航空	air	航空	air	N	
航空	повітряна	航空	повітряний	N	ADJ;NOM;FEM;SG
スーパー	супер	スーパー	супер	N	
トン	тонн	トン	тонн	N	INTJ
影響	перебіг	影響	перебігти	V	N;INAN;NOM;MASC;SG
影響	вплив	影響	вплив	V	N;INAN;NOM;MASC;SG
勝利	перемог	勝利	перемогти	V	N;INAN;GEN;FEM;PL
勝利	win	勝利	win	V	
勝利	перемог	勝利	перемогти	V	N;INAN;GEN;FEM;PL
勝利	перемога	勝利	перемога	V	N;INAN;NOM;FEM;SG
勝利	перемоги	勝利	перемога	V	N;INAN;NOM;FEM;PL
勝利	виграш	勝利	виграти	V	N;INAN;NOM;MASC;SG
デザイン	designs	デザイン	designs	N	
全て	everything	全て	everything	ADV	
全て	все	全て	все	ADV	PRO;INAN;NOM;NEUT;SG
全て	усе	全て	усе	ADV	PRO;INAN;NOM;NEUT;SG
人間	людський	人間	людський	N	ADJ;NOM;MASC;SG
千葉	канто	千葉	канто	PROPN	
アン	анн	アン	анн	PROPN	PROPN;ANIM;NOM;FEM;SG
アン	анна	アン	анна	PROPN	PROPN;ANIM;NOM;FEM;SG
アン	енг	アン	енг	PROPN	
アン	енн	アン	енн	PROPN	PROPN;ANIM;NOM;FEM;SG
戦い	battle	戦う	battle	V	
戦い	битва	戦う	битво	V	N;INAN;NOM;FEM;SG
戦い	бій	戦う	бій	V	N;INAN;NOM;MASC;SG
実施	реалізації	実施	реалізація	V	N;INAN;NOM;FEM;PL
実施	впровадження	実施	впровадження	V	N;INAN;NOM;NEUT;SG
実施	реалізація	実施	реалізація	V	N;INAN;NOM;FEM;SG
実施	реалізацію	実施	реалізація	V	N;INAN;ACC;FEM;SG
ここ	тут	ここ	тут	PRO	ADV
以前	перед	以前	перед	N	ADP;INS
以前	before	以前	before	N	
サービス	service	サービス	service	N	
統合	комплексний	統合	комплексний	V	ADJ;NOM;MASC;SG
統合	злиття	統合	злиття	V	N;INAN;NOM;NEUT;SG
統合	інтеграція	統合	інтеграція	V	N;INAN;NOM;FEM;SG
統合	інтеграції	統合	інтеграція	V	N;INAN;NOM;FEM;PL
統合	інтеграцію	統合	інтеграція	V	N;INAN;ACC;FEM;SG
ビル	білла	ビル	білла	N	PROPN;ANIM;NOM;FEM;SG
ビル	білл	ビル	білл	N	PROPN;ANIM;NOM;MASC;SG
ビル	біл	ビル	білий	N	
日本語	японська	日本語	японський	N	ADJ;NOM;FEM;SG
日本語	японський	日本語	японський	N	ADJ;NOM;MASC;SG
日本語	японські	日本語	японський	N	ADJ;NOM;PL
契約	контракти	契約	контракт	V	N;INAN;NOM;MASC;PL
契約	договір	契約	договір	V	N;INAN;NOM;MASC;SG
契約	контракт	契約	контракт	V	N;INAN;NOM;MASC;SG
設定	уподобання	設定	уподобання	V	N;INAN;NOM;NEUT;PL
設定	налаштування	設定	налаштування	V	N;INAN;NOM;NEUT;SG
設定	вподобання	設定	вподобання	V	N;INAN;NOM;NEUT;SG
設定	налаштуваннях	設定	налаштування	V	N;INAN;ESS;NEUT;PL
設定	налаштування	設定	налаштування	V	N;INAN;NOM;NEUT;SG
設定	параметри	設定	параметр	V	N;INAN;NOM;MASC;PL
設定	налаштування	設定	налаштування	V	N;INAN;NOM;NEUT;SG
設定	конфігурація	設定	конфігурація	V	N;INAN;NOM;FEM;SG
設定	налаштування	設定	налаштування	V	N;INAN;NOM;NEUT;SG
