theridion	theridion	theridion	theridion	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
bokstäver	litery	bokstov	litera	N;NOM;INDF;MASC+FEM;PL	N;ACC;FEM;PL
joan	joan	joan	joan	PROPN;NOM	PROPN;NOM;MASC;SG
joan	joanna	joan	joanna	PROPN;NOM	ADJ;NOM;FEM;SG
council	council	council	council	N	
somme	somme	somme	sommy	ADJ;NOM;INDF;MASC+FEM;SG	
etta	etta	etta	Ett	N;NOM;INDF;MASC+FEM;SG	
shakespeare	szekspira	shakespeare	szekspira	N;NOM;INDF;MASC+FEM;SG	
shakespeare	shakespeare	shakespeare	shakespeare	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
sonson	wnuka	sonson	wnukać	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
sonson	wnukiem	sonson	wnuk	N;NOM;INDF;MASC+FEM;SG	N;INS;MASC;SG
representera	reprezentują	representera	reprezentować	V;IMP;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
representera	reprezentuje	representera	reprezentować	V;IMP;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
representera	reprezentujący	representera	reprezentować	V;IMP;FIN;ACT	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
representera	reprezentujących	representera	reprezentować	V;IMP;FIN;ACT	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
representera	reprezentujące	representera	reprezentować	V;IMP;FIN;ACT	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
representera	reprezentuje	representera	reprezentować	V;IMP;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
existerande	istniejących	existerande	istnieć	ADJ;NOM;PRS;V.PTCP	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
ddr	nrd	dr	nrd	PROPN;NOM	PROPN;NOM;MASC;SG
jennifer	jennifer	jennif	jennifer	N;NOM;INDF;MASC+FEM;SG	
skär	cięcie	skära	cięcie	V;IMP;FIN;ACT	
skär	cięcia	skära	cięcie	V;IMP;FIN;ACT	
skär	cięcie	skära	cięcie	V;IMP;FIN;ACT	
brasiliansk	brazylii	brasiliansk	brazylia	ADJ;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;SG
tvingade	zmuszony	tvinga	zmusić	V;IND;PST;FIN;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
aston	aston	aston	aston	PROPN;NOM	V;IPFV;IND;SG;2;PRS;FIN;ACT
monticola	monticola	monticol	monticola	N;NOM;INDF;MASC+FEM;SG	
återvänder	zwroty	återvänd	zwrót	V;IND;PRS;FIN;ACT	N;NOM;MASC;PL
återvänder	powrocie	återvänd	powrót	V;IND;PRS;FIN;ACT	N;ACC;MASC;SG
tage	tage	tage	tage	PROPN;NOM	
tigre	tigre	tig	tigry	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
lin	lin	lin	lin	N;NOM;INDF;MASC+FEM;SG	
lin	lnu	lin	lnuć	N;NOM;INDF;MASC+FEM;SG	
lin	len	lin	len	N;NOM;INDF;MASC+FEM;SG	
pizzo	pizzo	pizzo	pizzo	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
rösträtt	sufrażystek	rösträtt	sufrażystka	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;PL
chelsea	chelsea	chelse	chelsie	PROPN;NOM	
ten	dziesiątki	ten	dziesiątka	N;NOM;INDF;NEUT;SG	
ten	dziesięć	ten	dziesięć	N;NOM;INDF;NEUT;SG	
parlament	parlamentowi	parlament	parlament	N;NOM;INDF;NEUT;SG	N;DAT;MASC;SG
parlament	parlamentu	parlament	parlament	N;NOM;INDF;NEUT;SG	N;GEN;MASC;SG
parlament	parlamenty	parlament	parlament	N;NOM;INDF;NEUT;SG	N;NOM;MASC;PL
parlament	parlamentów	parlament	parlament	N;NOM;INDF;NEUT;SG	N;GEN;MASC;PL
staty	rzeźby	staty	rzeźba	N;NOM;INDF;MASC+FEM;SG	N;ACC;FEM;PL
staty	rzeźbę	staty	rzeźba	N;NOM;INDF;MASC+FEM;SG	N;ACC;FEM;SG
staty	pomnik	staty	pomnik	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
staty	posąg	staty	posąg	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
videon	video	vid	video	N;NOM;DEF;MASC+FEM;SG	
videon	wideo	vid	wideo	N;NOM;DEF;MASC+FEM;SG	
videon	film	vid	film	N;NOM;DEF;MASC+FEM;SG	N;ACC;MASC;SG
unika	unikalne	unik	unikalny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
unika	unikatowe	unik	unikatowy	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
unika	unikalny	unik	unikalny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
unika	wyjątkowy	unik	wyjątkowy	ADJ;NOM;PL	ADJ;NOM;MASC;SG
unika	niepowtarzalny	unik	niepowtarzalny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
singapore	singapuru	singapore	singapur	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;SG
fästning	twierdza	fästning	twierdzać	N;NOM;INDF;MASC+FEM;SG	
fästning	fortecy	fästning	fortek	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;SG
cayenne	cayenne	cayenne	cayenny	N;NOM;INDF;MASC+FEM;SG	
wellington	wellington	wellington	wellington	PROPN;NOM	
gregory	grzegorz	gregory	grzegorz	PROPN;NOM	PROPN;NOM;MASC;SG
erbjöd	oferowane	erbjuda	oferować	V;IND;PST;FIN;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
erbjöd	oferowana	erbjuda	oferować	V;IND;PST;FIN;ACT	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
petite	drobna	petite	drobny	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
petite	petite	petite	petit	N;NOM;INDF;MASC+FEM;SG	
reformer	reformę	reform	reforma	N;NOM;INDF;MASC+FEM;PL	N;ACC;FEM;SG
reformer	reform	reform	reforma	N;NOM;INDF;MASC+FEM;PL	
reformer	reforma	reform	reforma	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;SG
reformer	reformy	reform	reforma	N;NOM;INDF;MASC+FEM;PL	N;ACC;FEM;SG
reformer	reformy	reform	reforma	N;NOM;INDF;MASC+FEM;PL	N;ACC;FEM;SG
reformer	reform	reform	reforma	N;NOM;INDF;MASC+FEM;PL	
nba	nba	nba	nba	PROPN;NOM	
engagerade	zaręczony	engagera	zaręczyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
engagerade	zaręczona	engagera	zaręczyć	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
engagerade	zaręczyny	engagera	zaręczyna	ADJ;NOM;PL;PST;V.PTCP	N;NOM;FEM;PL
engagerade	popełnił	engagera	popełnić	ADJ;NOM;PL;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
engagerade	zaangażowana	engagera	zaangażować	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG
engagerade	zaangażowany	engagera	zaangażować	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;MASC;SG
parry	parry	parry	parr	PROPN;NOM	V;IPFV;IND;SG;PRS;FIN;ACT
battle	bitwa	battle	bitwo	N;NOM;INDF;NEUT;SG	
battle	battle	battle	battla	N;NOM;INDF;NEUT;SG	
battle	bitwie	battle	bitwo	N;NOM;INDF;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
battle	bitwy	battle	bitwa	N;NOM;INDF;NEUT;SG	
fängelset	więzieniu	fängelse	więzienie	N;NOM;DEF;NEUT;SG	N;DAT;NEUT;SG
långsamt	wolno	långsam	wolno	ADV	V;IND;PRS;FIN
dylan	dylan	dyla	dylan	N;NOM;DEF;MASC+FEM;SG	PROPN;NOM;MASC;SG
dylan	dylana	dyla	dylan	N;NOM;DEF;MASC+FEM;SG	
beta	beta	beta	bet	N;NOM;INDF;MASC+FEM;SG	
tore	tore	tore	tor	PROPN;NOM	
inspirerade	inspiracja	inspirera	inspiracja	ADJ;NOM;PL;PST;V.PTCP	N;NOM;FEM;SG
inspirerade	zainspirowany	inspirera	zainspirować	ADJ;NOM;PL;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
inspirerade	inspirujące	inspirera	inspirować	ADJ;NOM;PL;PST;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
gillar	jak	gilla	jak	V;IND;PRS;FIN;ACT	ADV
gillar	like	gilla	lik	V;IND;PRS;FIN;ACT	
christensen	christensen	christens	christensen	N;NOM;DEF;MASC+FEM;SG	
pojke	boy	pojke	boy	N;NOM;INDF;MASC+FEM;SG	
eklund	eklund	eklund	eklund	PROPN;NOM	
kväll	wieczorem	kväll	wieczór	N;NOM;INDF;MASC+FEM;SG	N;INS;MASC;SG
kväll	wieczorny	kväll	wieczorny	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
kväll	nocy	kväll	noc	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;SG
kväll	nocny	kväll	nocny	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
kväll	night	kväll	night	N;NOM;INDF;MASC+FEM;SG	
karaktärer	znaków	karaktär	znak	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
karaktärer	postaci	karaktär	postać	N;NOM;INDF;MASC+FEM;PL	
karaktärer	postać	karaktär	postać	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;SG
liter	litra	liter	litra	N;NOM;INDF;MASC+FEM;SG	
liter	litr	liter	litr	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
liter	litry	liter	litra	N;NOM;INDF;MASC+FEM;SG	
liter	litrów	liter	litr	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;PL
liter	litra	liter	litra	N;NOM;INDF;MASC+FEM;SG	
liter	litr	liter	litr	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
liter	litry	liter	litra	N;NOM;INDF;MASC+FEM;SG	
liter	litrów	liter	litr	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;PL
värdefulla	cenne	värdefull	cenny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
värdefulla	wartościowy	värdefull	wartościowy	ADJ;NOM;PL	ADJ;NOM;MASC;SG
värdefulla	cenna	värdefull	cenna	ADJ;NOM;PL	ADJ;NOM;FEM;SG
värdefulla	wartościowe	värdefull	wartościowy	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
värdefulla	cenny	värdefull	cenny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
kött	mięsa	kött	mięso	N;NOM;INDF;NEUT;SG	N;GEN;NEUT;SG
kött	mięsa	kött	mięso	N;NOM;INDF;NEUT;SG	N;GEN;NEUT;SG
fullständig	full	fullständig	full	ADJ;NOM;INDF;MASC+FEM;SG	
fullständig	pełen	fullständig	pełen	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG
fullständig	pełne	fullständig	pełny	ADJ;NOM;INDF;MASC+FEM;SG	
francesco	francesco	francesco	francesco	PROPN;NOM	V;IPFV;IND;SG;PRS;FIN;ACT
värme	upał	värme	upał	N;NOM;INDF;MASC+FEM;SG	
värme	heat	värme	heat	N;NOM;INDF;MASC+FEM;SG	
värme	ciepło	värme	ciepło	N;NOM;INDF;MASC+FEM;SG	
värme	gorąco	värme	gorąco	N;NOM;INDF;MASC+FEM;SG	ADV
värme	ciepła	värme	ciepło	N;NOM;INDF;MASC+FEM;SG	
värme	ciepła	värme	ciepło	N;NOM;INDF;MASC+FEM;SG	
värme	ciepło	värme	ciepło	N;NOM;INDF;MASC+FEM;SG	
kontraktet	kontrakt	kontrakt	kontrakt	N;NOM;DEF;NEUT;SG	N;ACC;MASC;SG
kontraktet	umowy	kontrakt	umowa	N;NOM;DEF;NEUT;SG	
miljöer	środowisk	miljö	środowisko	N;NOM;INDF;MASC+FEM;PL	N;GEN;NEUT;PL
personligt	osobiscie	personlig	osobiscie	ADJ;NOM;INDF;NEUT;SG	
personligt	osobiście	personlig	osobiście	ADJ;NOM;INDF;NEUT;SG	ADV
kate	kasia	kate	kasia	PROPN;NOM	N;NOM;FEM;SG
kate	kate	kate	kat	PROPN;NOM	
mcdonald	mcdonald	mcdonald	mcdonald	N;NOM;INDF;MASC+FEM;SG	
nato	nato	nato	nato	PROPN;NOM	
genève	genewie	gen	genew	PROPN;NOM	N;NOM;MASC;SG
caribou	karibu	caribou	karib	N;NOM;INDF;MASC+FEM;SG	
jorge	jorge	jorge	jorga	PROPN;NOM	PROPN;NOM;MASC;SG
befolkade	zaludnionych	befolka	zaludnić	ADJ;NOM;PL;PST;V.PTCP	ADJ;GEN;MASC;PL
chase	gonić	chase	gonić	PROPN;NOM	V;IPFV;NFIN;ACT
chase	pogoń	chase	pogonić	PROPN;NOM	
chase	pościg	chase	pościg	PROPN;NOM	N;NOM;MASC;SG
chase	chase	chase	chasa	PROPN;NOM	
soldat	żołnierzu	soldat	żołnierz	N;NOM;INDF;MASC+FEM;SG	N;DAT;MASC;SG
snäckor	ślimaki	snäcka	ślimak	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;PL
snäckor	ślimaków	snäcka	ślimak	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
snäckor	ślimaków	snäcka	ślimak	N;NOM;INDF;MASC+FEM;PL	N;GEN;MASC;PL
snäckor	skorupy	snäcka	skorupa	N;NOM;INDF;MASC+FEM;PL	
walk	spacer	walk	spacer	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
walk	chodzić	walk	chodzić	N;NOM;INDF;MASC+FEM;SG	V;IPFV;NFIN;ACT
walk	walk	walk	walk	N;NOM;INDF;MASC+FEM;SG	
inledande	wszczęcie	inledande	wszczęcie	ADJ;NOM;PRS;V.PTCP	N;PFV;NOM;NEUT;SG;POS;V.MSDR
inledande	wszczęciu	inledande	wszcząć	ADJ;NOM;PRS;V.PTCP	N;PFV;DAT;NEUT;SG;POS;V.MSDR
fusca	fusca	fusca	fusiec	N;NOM;INDF;MASC+FEM;SG	
svarar	odpowiedzi	svara	odpowiedź	V;IND;PRS;FIN;ACT	N;ACC;FEM;PL
utomhus	odkrytym	utomhus	odkryć	N;NOM;INDF;MASC+FEM;SG	ADJ;PFV;INS;MASC;SG;POS;V.PTCP;PASS
utomhus	odkryty	utomhus	odkryć	N;NOM;INDF;MASC+FEM;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
bredare	szerzej	bred	szeroko	ADJ;NOM;CMPR	ADV;CMPR
bredare	szerzej	bred	szeroko	ADJ;NOM;CMPR	ADV;CMPR
förkortat	skrócenie	förkorta	skrócenie	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;NOM;NEUT;SG
förkortat	skróty	förkorta	skrót	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;NOM;MASC;PL
förkortat	skrót	förkorta	skrót	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;NOM;MASC;SG
mal	ćma	mal	ćma	V;IMP;FIN;ACT	
mal	mal	mal	mala	V;IMP;FIN;ACT	
secret	secret	sec	secret	N;NOM;INDF;MASC+FEM;SG	
secret	tajne	sec	tajny	N;NOM;INDF;MASC+FEM;SG	
kaj	kaj	kaj	kaj	PROPN;NOM	
svårigheter	trudności	svårighet	trudność	N;NOM;INDF;MASC+FEM;PL	N;ACC;FEM;PL
svårigheter	trudność	svårighet	trudność	N;NOM;INDF;MASC+FEM;PL	N;NOM;FEM;SG
svårigheter	trudności	svårighet	trudność	N;NOM;INDF;MASC+FEM;PL	N;ACC;FEM;PL
seco	seco	seco	seco	N;NOM;SG	
vicente	vicente	vicente	vicente	PROPN;NOM	PROPN;NOM;MASC;SG
ledaren	leader	ledare	leader	N;NOM;DEF;MASC+FEM;SG	
bakre	tylny	bakre	tylny	ADJ;NOM;CMPR	ADJ;NOM;MASC;SG
bakre	tyły	bakre	tył	ADJ;NOM;CMPR	N;NOM;MASC;PL
bakre	tylne	bakre	tylny	ADJ;NOM;CMPR	ADJ;NOM;NEUT;SG
bakre	tył	bakre	tył	ADJ;NOM;CMPR	
bakre	tylna	bakre	tylny	ADJ;NOM;CMPR	ADJ;NOM;FEM;SG
reed	reed	reed	reed	PROPN;NOM	PROPN;NOM;MASC;SG
partner	partnerem	partner	partner	N;NOM;INDF;MASC+FEM;SG	N;INS;MASC;SG
partner	partnera	partner	partner	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
partner	partnerzy	partner	partner	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;PL
partner	partnerami	partner	partner	N;NOM;INDF;MASC+FEM;SG	N;INS;MASC;PL
partner	partnerów	partner	partner	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;PL
partner	wspólnicy	partner	wspólnik	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;PL
fina	fina	fin	fina	ADJ;NOM;PL	
fina	ładnie	fin	ładnie	ADJ;NOM;PL	ADV
fina	fajny	fin	fajny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
fina	fajna	fin	fajny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
fina	fajne	fin	fajny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
fina	ładne	fin	ładny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
alkohol	alkoholu	alkohol	alkohol	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
wan	wan	wan	wan	N;NOM;INDF;NEUT;SG	
nicosia	nikozji	nicosia	nikozja	PROPN;NOM	
kartan	mapa	karta	mapa	N;NOM;DEF;MASC+FEM;SG	
kartan	mapy	karta	mapa	N;NOM;DEF;MASC+FEM;SG	N;ACC;FEM;SG
kartan	mapę	karta	mapa	N;NOM;DEF;MASC+FEM;SG	N;ACC;FEM;SG
kartan	mapie	karta	mapa	N;NOM;DEF;MASC+FEM;SG	N;ACC;FEM;SG
ingemar	ingemar	ingem	ingemar	PROPN;NOM	
diana	diana	du	diana	PROPN;NOM	N;NOM;FEM;SG
okända	nieznany	okänd	nieznany	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;MASC;SG
okända	nieznana	okänd	nieznany	ADJ;NOM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG
okända	nieznane	okänd	nieznany	ADJ;NOM;PL;PST;V.PTCP	
utförs	wykonywana	utföra	wykonywać	V;IND;PRS;FIN;PASS	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
utförs	przeprowadzone	utföra	przeprowadzić	V;IND;PRS;FIN;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
utförs	wykonywanych	utföra	wykonywać	V;IND;PRS;FIN;PASS	ADJ;IPFV;GEN;MASC;PL;POS;V.PTCP;PASS
utförs	wykonywane	utföra	wykonywać	V;IND;PRS;FIN;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
utförs	wykonane	utföra	wykonać	V;IND;PRS;FIN;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
annie	annie	annie	annie	PROPN;NOM	
trumpet	trąbce	trump	trąbka	N;NOM;INDF;NEUT;SG	N;DAT;FEM;SG
evenemang	wydarzenia	evenemang	wydarzenie	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;PL
evenemang	imprezy	evenemang	impreza	N;NOM;INDF;NEUT;SG	
evenemang	wydarzeń	evenemang	wydarzenie	N;NOM;INDF;NEUT;SG	N;GEN;NEUT;PL
evenemang	imprez	evenemang	impreza	N;NOM;INDF;NEUT;SG	
evenemang	wydarzenia	evenemang	wydarzenie	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;PL
flytt	uciekł	flytt	uciec	N;NOM;INDF;MASC+FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
flytt	przeprowadzki	flytt	przeprowadzki	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ingeborg	ingeborg	ingeborg	ingeborg	PROPN;NOM	V;IPFV;IND;SG;PRS;FIN;ACT
flava	flava	flava	flava	N;NOM;INDF;MASC+FEM;SG	
kodra	kodra	kodra	kodra	N;NOM;INDF;MASC+FEM;SG	
