من	ποιος	مِن	ποιος	ADP	DET;NOM;DEF;MASC;SG
هذه	αυτές	هٰذَا	αυτός	DET;NOM;FEM;SG	PRO;NOM;FEM;PL;3
هذه	οἱ	هٰذَا	οἱ	DET;NOM;FEM;SG	N
هذه	αυτα	هٰذَا	αυτός	DET;NOM;FEM;SG	PRO;NOM;NEUT;PL;3
ما	τι	مَا	τι	DET	PRO;NOM;NEUT;SG;3
الذي	που	اَلَّذِي	που	DET;NOM;MASC;SG	PRO;ACC;NEUT;SG;3
بعد	μετα	بَعدَ	μετα	ADP;NOM	ADV
بعد	μετά	بَعدَ	μετά	ADP;NOM	ADV
هذا	αυτο	هٰذَا	αυτός	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
هذا	αυτό	هٰذَا	αυτός	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
هذا	αυτό	هٰذَا	αυτός	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
هذا	ότι	هٰذَا	ότι	DET;NOM;MASC;SG	CONJ
هذا	that	هٰذَا	that	DET;NOM;MASC;SG	
لا	οχι	لَا	οχι	PART	ADV
بين	μπεν	بَينَ	μπεν	ADP;ACC	
بين	ben	بَينَ	ben	ADP;ACC	
بين	μπέν	بَينَ	μπέν	ADP;ACC	
بين	ανάμεσα	بَينَ	ανάμεσα	ADP;ACC	ADV
تعليق	comment	تَعلِيق	comment	N;NOM;INDF;SG	
تاريخ	ημερομηνία	تَارِيخ	ημερομηνία	N;NOM;INDF;SG	N;ACC;FEM;SG
تاريخ	ιστορικό	تَارِيخ	ιστορικός	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
حيث	όπου	حَيثُ	όπου	CONJ	ADV
حيث	πού	حَيثُ	πού	CONJ	ADV
نوع	τύπου	نَوع	τύπος	N;NOM;INDF;SG	N;GEN;MASC;SG
نوع	type	نَوع	type	N;NOM;INDF;SG	
سطر	line	سِطر	line	N;NOM;INDF;SG	
المتحدة	united	مُتَّحِد	united	ADJ;NOM;DEF;FEM;SG	
المتحدة	ενωμένη	مُتَّحِد	ενώνω	ADJ;NOM;DEF;FEM;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
المتحدة	ενωμένοι	مُتَّحِد	ενωμένος	ADJ;NOM;DEF;FEM;SG	V;PFV;NOM;MASC;PL;V.PTCP;PASS
المتحدة	ηνωμένο	مُتَّحِد	ηνωμένος	ADJ;NOM;DEF;FEM;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
ذلك	αυτό	ذلك	αυτός		PRO;NOM;NEUT;SG;3
ذلك	ότι	ذلك	ότι		CONJ
ذلك	that	ذلك	that		
خط	line	خَطّ	line	N;NOM;INDF;SG	
عبد	αμπντούλ	عبد	αμπντούλ		
عبد	δούλος	عبد	δούλος		N;NOM;MASC;SG
عبد	σκλάβα	عبد	σκλάβος		N;NOM;FEM;SG
عبد	σκλάβος	عبد	σκλάβος		N;NOM;MASC;SG
كانت	ήταν	كَان	είμαι	V;PFV;FEM;SG;3;ACT	V;IPFV;IND;SG;3;PST;FIN;PASS
التعداد	καταμέτρηση	تَعدَاد	καταμέτρηση	N;NOM;DEF;SG	N;ACC;FEM;SG
المسؤول	υπεύθυνοι	مَسؤُول	υπεύθυνος	N;NOM;DEF;SG	ADJ;NOM;MASC;PL
المسؤول	υπεύθυνη	مَسؤُول	υπεύθυνος	N;NOM;DEF;SG	ADJ;NOM;FEM;SG
المسؤول	υπεύθυνος	مَسؤُول	υπεύθυνος	N;NOM;DEF;SG	ADJ;NOM;MASC;SG
المسؤول	υπεύθυνο	مَسؤُول	υπεύθυνος	N;NOM;DEF;SG	ADJ;NOM;NEUT;SG
مدينة	city	مَدِينَة	city	N;NOM;INDF;SG	
محمد	mohammad	محمد	mohammad		
محمد	μωάμεθ	محمد	μωάμεθ		N;NOM;NEUT;SG
محمد	μοχάμεντ	محمد	μοχάμεντ		
محمد	μωάμεθ	محمد	μωάμεθ		N;NOM;NEUT;SG
محمد	μοχάμεντ	محمد	μοχάμεντ		
محمد	μεχμέτ	محمد	μεχμέτ		
محمد	μοχάμεντ	محمد	μοχάμεντ		
محمد	mohamed	محمد	mohamed		
المدينة	town	مَدِينَة	town	N;NOM;DEF;SG	
المدينة	city	مَدِينَة	city	N;NOM;DEF;SG	
قبل	πρίν	قَبلَ	πρίν	ADP;ACC	N
قبل	πριν	قَبلَ	πριν	ADP;ACC	ADV
تم	κάνει	تَمّ	κάνω	V;PFV;MASC;SG;3;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
تم	έγινε	تَمّ	γίνομαι	V;PFV;MASC;SG;3;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
تم	εγινε	تَمّ	εγίνομαι	V;PFV;MASC;SG;3;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
كل	ολα	كُلّ	όλος	N;NOM;INDF;SG	ADV
كل	όλοι	كُلّ	όλος	N;NOM;INDF;SG	ADJ;NOM;MASC;PL
كل	όλες	كُلّ	όλος	N;NOM;INDF;SG	ADJ;NOM;FEM;PL
كل	όλα	كُلّ	όλος	N;NOM;INDF;SG	ADJ;NOM;NEUT;PL
كل	φάτε	كُلّ	φάτε	N;NOM;INDF;SG	V;IPFV;IMP;PL;2;PRS;FIN;ACT
كل	φάε	كُلّ	φάε	N;NOM;INDF;SG	V;PFV;IND;SG;1;PST;FIN;ACT
الله	αλλάχ	اَللّٰه	αλλάχ	N;NOM;DEF;SG	PROPN;NOM;MASC;SG
غير	μεταβολή	غَير	μεταβολή	N;ACC;PSSD;SG	N;NOM;FEM;SG
غير	ρέστα	غَير	ρέστα	N;ACC;PSSD;SG	N;NOM;NEUT;PL
حتى	μέχρι	حَتَّى	μέχρι	ADV	ADP
حتى	έως	حَتَّى	ώς	ADV	ADP
مساحة	έκταση	مِسَاحَة	έκταση	N;NOM;INDF;SG	N;ACC;FEM;SG
مساحة	space	مِسَاحَة	space	N;NOM;INDF;SG	
مساحة	χώρο	مِسَاحَة	χώρος	N;NOM;INDF;SG	N;ACC;MASC;SG
قد	μάη	قَد	μάη	PART	ADP
قد	μάιος	قَد	μάιος	PART	N;NOM;MASC;SG
قد	μέι	قَد	μέι	PART	
قد	μάης	قَد	μάος	PART	N;NOM;MASC;SG
محافظة	συντηρητική	مُحَافَظَة	συντηρητικός	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
محافظة	συντηρητικό	مُحَافَظَة	συντηρητικός	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
محافظة	συντηρητικά	مُحَافَظَة	συντηρητικά	N;NOM;INDF;SG	ADV
محافظة	συντηρητικός	مُحَافَظَة	συντηρητικός	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
محافظة	συντηρητικοί	مُحَافَظَة	συντηρητικός	N;NOM;INDF;SG	ADJ;NOM;MASC;PL
الولايات	κρατών	وِلَايَة	κράτος	N;NOM;DEF;PL	N;GEN;NEUT;PL
اليمن	υεμένης	يَمَن	Υεμένη	N;NOM;DEF;SG	PROPN;GEN;FEM;SG
اليمن	υεμένη	يَمَن	Υεμένη	N;NOM;DEF;SG	PROPN;NOM;FEM;SG
ثم	τότε	ثُمَّ	τότε	CONJ	ADV
ثم	μετά	ثُمَّ	μετά	CONJ	ADV
مثل	όπως	مِثلَ	όπως	ADP;NOM	ADV
مثل	οπως	مِثلَ	οπως	ADP;NOM	ADV
مثل	like	مِثلَ	like	ADP;NOM	
مثل	σαν	مِثلَ	σαν	ADP;NOM	ADV
خارجية	υπαίθρια	خَارِجِيَّة	υπαίθριος	N;NOM;INDF;SG	PROPN;NOM;FEM;SG
خارجية	εξωτερική	خَارِجِيَّة	εξωτερικός	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
خارجية	εξωτερικά	خَارِجِيَّة	εξωτερικά	N;NOM;INDF;SG	ADV
خارجية	εξωτερικός	خَارِجِيَّة	εξωτερικός	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
الصورة	φώτο	صُورَة	φώτος	N;NOM;DEF;SG	N;ACC;FEM;SG
الصورة	photo	صُورَة	photo	N;NOM;DEF;SG	
الصورة	φωτογραφία	صُورَة	φωτογραφία	N;NOM;DEF;SG	N;ACC;FEM;SG
الصورة	φωτο	صُورَة	φωτος	N;NOM;DEF;SG	
الصورة	φωτό	صُورَة	φωτός	N;NOM;DEF;SG	N;ACC;FEM;SG
الصورة	φωτογραφία	صُورَة	φωτογραφία	N;NOM;DEF;SG	N;ACC;FEM;SG
علم	σημαία	عَلِم	σημαία	V;PFV;MASC;SG;3;ACT	N;NOM;FEM;SG
علم	αντιγραφή	عَلِم	αντιγραφή	V;PFV;MASC;SG;3;ACT	N;NOM;FEM;SG
علم	αντίγραφο	عَلِم	αντίγραφο	V;PFV;MASC;SG;3;ACT	N;NOM;NEUT;SG
له	αυτόν	هُوَ	αυτός		PRO;ACC;MASC;SG;3
خريطة	χάρτη	خَرِيطَة	χάρτης	N;NOM;INDF;SG	N;ACC;MASC;SG
بعض	μερικές	بَعض	μερικοί	N;NOM;INDF;SG	PRO;NOM;FEM;PL;3
بعض	κάποια	بَعض	κάποιος	N;NOM;INDF;SG	PRO;NOM;NEUT;PL;3
بعض	κάποιοι	بَعض	κάποιος	N;NOM;INDF;SG	PRO;NOM;MASC;PL;3
بعض	μερικοί	بَعض	μερικοί	N;NOM;INDF;SG	PRO;NOM;MASC;PL;3
بعض	μερικά	بَعض	μερικοί	N;NOM;INDF;SG	PRO;NOM;NEUT;PL;3
فرق	διαφορά	فِرقَة	διαφορά	N;NOM;INDF;PL	N;NOM;FEM;SG
فرق	διαφορα	فِرقَة	διαφορά	N;NOM;INDF;PL	N;NOM;FEM;SG
قدم	πόδι	قَدَّم	πόδι	V;PFV;MASC;SG;3;ACT	N;NOM;NEUT;SG
قدم	πόδια	قَدَّم	πόδι	V;PFV;MASC;SG;3;ACT	N;NOM;NEUT;PL
العربية	αραβικά	عَرَبِيّ	αραβικά	ADJ;NOM;DEF;FEM;SG	
مقاطعة	νομό	مُقَاطَعَة	νομός	N;NOM;INDF;SG	ADV
مقاطعة	μποϊκοτάζ	مُقَاطَعَة	μποϊκοτάζ	N;NOM;INDF;SG	
تقسيم	διαχωριστικό	تَقسِيم	διαχωριστικός	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
تقسيم	κατάτμηση	تَقسِيم	κατάτμηση	N;NOM;INDF;SG	N;ACC;FEM;SG
تقسيم	διχοτόμηση	تَقسِيم	διχοτόμηση	N;NOM;INDF;SG	N;ACC;FEM;SG
تقسيم	σπλιτ	تَقسِيم	σπλιτ	N;NOM;INDF;SG	
تقسيم	μοιρασιά	تَقسِيم	μοιρασία	N;NOM;INDF;SG	N;ACC;FEM;SG
العالم	world	عَالَم	world	N;NOM;DEF;SG	
العالم	κόσμο	عَالَم	κόσμος	N;NOM;DEF;SG	N;ACC;MASC;SG
العالم	επιστήμονα	عَالَم	επιστήμονας	N;NOM;DEF;SG	N;ACC;MASC;SG
القرن	χορν	قَرن	χορν	N;NOM;DEF;SG	
القرن	κέρας	قَرن	κέρας	N;NOM;DEF;SG	N;ACC;NEUT;SG
القرن	αιώνα	قَرن	αιώνας	N;NOM;DEF;SG	N;ACC;MASC;SG
الثاني	δεύτερο	ثَانِي	δεύτερος	ADJ;NOM;DEF;MASC;SG	NUM;NOM;NEUT;SG
الثاني	δεύτερος	ثَانِي	δεύτερος	ADJ;NOM;DEF;MASC;SG	NUM;NOM;MASC;SG
الثاني	δεύτερη	ثَانِي	δεύτερος	ADJ;NOM;DEF;MASC;SG	NUM;NOM;FEM;SG
القدم	πόδια	قَدَم	πόδι	N;NOM;DEF;SG	N;NOM;NEUT;PL
علي	αλι	علي	αλι		PROPN;NOM;MASC;SG
علي	ali	علي	ali		
علي	αλί	علي	αλί		
علي	αλή	علي	αλή		PROPN;NOM;MASC;SG
علي	άλι	علي	άλι		
منطقة	έκταση	مِنطَقَة	έκταση	N;NOM;INDF;SG	N;ACC;FEM;SG
انظر	κοίτα	أَنظَر	κοίτα		V;IPFV;IND;SG;1;PRS;FIN;ACT
الرمز	κωδικός	رَمز	κωδικός	N;NOM;DEF;SG	ADJ;NOM;MASC;SG
البلد	χωρα	بَلَد	χωρα	N;NOM;DEF;SG	N;ACC;FEM;SG
مدن	πόλεων	مَدِينَة	πόλη	N;NOM;INDF;PL	N;GEN;FEM;PL
يمكن	can	أَمكَن	can	V;IPFV;MASC;IND;SG;3;FIN;ACT	
تعداد	καταμέτρηση	تَعدَاد	καταμέτρηση	N;NOM;INDF;SG	N;ACC;FEM;SG
نتيجة	αποτελεσμα	نَتِيجَة	αποτελεσμα	N;ACC;INDF;SG	N;NOM;NEUT;SG
الكلية	college	كُلِّيَّة	college	N;NOM;DEF;SG	
الكلية	νεφρών	كُلِّيَّة	νεφρός	N;NOM;DEF;SG	N;GEN;MASC;PL
الكلية	νεφρά	كُلِّيَّة	νεφρά	N;NOM;DEF;SG	N;NOM;NEUT;PL
ولاية	πολιτεία	وِلَايَة	πολιτεία	N;NOM;INDF;SG	N;ACC;FEM;SG
ولاية	state	وِلَايَة	state	N;NOM;INDF;SG	
نادي	club	نادي	club		
نادي	κλάμπ	نادي	κλάμπ		
نادي	λέσχη	نادي	λέσχω		N;NOM;FEM;SG
نادي	κλαμπ	نادي	κλαμπ		
العرض	προσφορά	عَرض	προσφορά	N;NOM;DEF;SG	N;ACC;FEM;SG
العرض	εμφάνιση	عَرض	εμφάνιση	N;NOM;DEF;SG	N;ACC;FEM;SG
العرض	show	عَرض	show	N;NOM;DEF;SG	
العرض	δείξω	عَرض	δείξω	N;NOM;DEF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
العرض	παράσταση	عَرض	παράσταση	N;NOM;DEF;SG	N;ACC;FEM;SG
العرض	πλάτος	عَرض	πλάτος	N;NOM;DEF;SG	N;ACC;NEUT;SG
العرض	προσκόμιση	عَرض	προσκόμιση	N;NOM;DEF;SG	N;ACC;FEM;SG
العرض	εμφάνιση	عَرض	εμφάνιση	N;NOM;DEF;SG	N;ACC;FEM;SG
الوطني	πατριώτη	وَطَنِيّ	πατριώτης	ADJ;NOM;DEF;MASC;SG	N;VOC;MASC;SG
الوطني	πατριώτης	وَطَنِيّ	πατριώτης	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;SG
جامعة	univers	جَامِعَة	univers	N;NOM;INDF;SG	
المساحة	έκταση	مِسَاحَة	έκταση	N;NOM;DEF;SG	N;ACC;FEM;SG
الطول	μήκος	طُول	μήκος	N;NOM;DEF;SG	N;ACC;NEUT;SG
الحياة	life	حَيَاة	life	N;NOM;DEF;SG	
الحياة	ζωή	حَيَاة	ζωή	N;NOM;DEF;SG	N;ACC;FEM;SG
الحياة	ζωη	حَيَاة	ζωη	N;NOM;DEF;SG	N;ACC;FEM;SG
مصر	αίγυπτος	مِصر	αίγυπτος	N;NOM;INDF;SG	PROPN;NOM;NEUT;SG
مصر	αίγυπτο	مِصر	αίγυπτος	N;NOM;INDF;SG	PROPN;ACC;FEM;SG
وصلات	σύνδεσμοι	وُصلَة	σύνδεσμος	N;NOM;INDF;PL	N;ACC;MASC;SG
وصلات	συνδέσμους	وُصلَة	σύνδεσμος	N;NOM;INDF;PL	N;ACC;MASC;PL
المركز	center	مَركَز	center	N;NOM;DEF;SG	
ولكن	αλλά	ولكن	αλλά		CONJ
ولكن	αλλα	ولكن	αλλα		ADV
ولكن	μα	ولكن	μα		ADV
المياه	νερό	مَاء	νερό	N;NOM;DEF;PL	N;NOM;NEUT;SG
المياه	νερο	مَاء	νερο	N;NOM;DEF;PL	N;NOM;NEUT;SG
المياه	ύδωρ	مَاء	ύδωρ	N;NOM;DEF;PL	PROPN;NOM;MASC;SG
مجموعة	group	مَجمُوعَة	group	N;NOM;INDF;SG	
مجموعة	ομάδα	مَجمُوعَة	ομάδα	N;NOM;INDF;SG	N;ACC;FEM;SG
قرى	χωριών	قَريَة	χώρα	N;NOM;INDF;PL	N;GEN;FEM;PL
ان	αννα	أَنَّ	αννας	CONJ	PROPN;NOM;FEM;SG
ان	anne	أَنَّ	anne	CONJ	
ان	ανν	أَنَّ	ανν	CONJ	
ان	ann	أَنَّ	ann	CONJ	
ان	ανν	أَنَّ	ανν	CONJ	
نقاش	συζητηση	نِقَاش	συζητηση	N;NOM;INDF;SG	N;ACC;FEM;SG
نقاش	συζήτηση	نِقَاش	συζήτηση	N;NOM;INDF;SG	N;ACC;FEM;SG
نقاش	συζήτηση	نِقَاش	συζήτηση	N;NOM;INDF;SG	N;ACC;FEM;SG
نقاش	ντιμπέιτ	نِقَاش	ντιμπέιτ	N;NOM;INDF;SG	
الثالث	τρίτον	ثَالِث	τρίτος	ADJ;NOM;DEF;MASC;SG	NUM;NOM;NEUT;SG
الثالث	τρίτο	ثَالِث	τρίτος	ADJ;NOM;DEF;MASC;SG	NUM;NOM;NEUT;SG
الثالث	τρίτη	ثَالِث	τρίτος	ADJ;NOM;DEF;MASC;SG	NUM;NOM;FEM;SG
الثالث	τρίτος	ثَالِث	τρίτος	ADJ;NOM;DEF;MASC;SG	NUM;NOM;MASC;SG
تحت	κατωτέρω	تَحتَ	κατωτέρω	ADP;ACC	ADV
تحت	κάτω	تَحتَ	κάτω	ADP;ACC	ADV
تحت	παρακάτω	تَحتَ	παράκατος	ADP;ACC	ADV
تحت	κατω	تَحتَ	κατω	ADP;ACC	ADV
حجم	όγκο	حَجم	όγκος	N;NOM;INDF;SG	N;ACC;MASC;SG
الشيخ	σεΐχη	شَيخ	σεΐχή	N;NOM;DEF;SG	N;ACC;NEUT;SG
العديد	πολλά	عَدِيد	πολύς	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;NEUT;PL
العديد	πολλοι	عَدِيد	πολύς	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;PL
العديد	πολλοί	عَدِيد	πολύς	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;PL
العديد	πολλές	عَدِيد	πολύς	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;PL
العديد	πολλα	عَدِيد	πολύς	ADJ;NOM;DEF;MASC;SG	ADV
المحافظة	διατήρηση	مُحَافَظَة	διατήρηση	N;NOM;DEF;SG	N;ACC;FEM;SG
المحافظة	διαφύλαξη	مُحَافَظَة	διαφύλαξη	N;NOM;DEF;SG	N;ACC;FEM;SG
المحافظة	διατήρηση	مُحَافَظَة	διατήρηση	N;NOM;DEF;SG	N;ACC;FEM;SG
المحافظة	συντηρητική	مُحَافَظَة	συντηρητικός	N;NOM;DEF;SG	ADJ;NOM;FEM;SG
المحافظة	συντηρητικό	مُحَافَظَة	συντηρητικός	N;NOM;DEF;SG	ADJ;NOM;NEUT;SG
المحافظة	συντηρητικά	مُحَافَظَة	συντηρητικά	N;NOM;DEF;SG	ADV
المحافظة	συντηρητικός	مُحَافَظَة	συντηρητικός	N;NOM;DEF;SG	ADJ;NOM;MASC;SG
المحافظة	συντηρητικοί	مُحَافَظَة	συντηρητικός	N;NOM;DEF;SG	ADJ;NOM;MASC;PL
الحرب	πόλεμο	حَرب	πόλεμος	N;NOM;DEF;SG	N;ACC;MASC;SG
العام	έτος	عَام	έτος	N;NOM;DEF;SG	N;ACC;NEUT;SG
العام	χρονιά	عَام	χρονιά	N;NOM;DEF;SG	N;ACC;FEM;SG
رئيس	πρόεδρος	رَئِيس	πρόεδρος	N;NOM;INDF;SG	N;ACC;MASC;SG
رئيس	πρόεδρε	رَئِيس	πρόεδρος	N;NOM;INDF;SG	N;VOC;MASC;SG
رئيس	πρόεδρο	رَئِيس	πρόεδρος	N;NOM;INDF;SG	N;ACC;MASC;SG
رئيس	αρχηγέ	رَئِيس	αρχηγός	N;NOM;INDF;SG	N;VOC;MASC;SG
رئيس	boss	رَئِيس	boss	N;NOM;INDF;SG	
عندما	πότε	عِندَمَا	πότε	CONJ	ADV
عندما	όταν	عِندَمَا	όταν	CONJ	CONJ
عندما	οταν	عِندَمَا	οταν	CONJ	CONJ
الكثافة	έντασης	كَثَّافَة	ένταση	N;NOM;DEF;SG	N;GEN;FEM;SG
الكثافة	ένταση	كَثَّافَة	ένταση	N;NOM;DEF;SG	N;ACC;FEM;SG
الكثافة	πυκνότητα	كَثَّافَة	πυκνότητα	N;NOM;DEF;SG	N;ACC;FEM;SG
الوفاة	θάνατο	وَفَاة	θάνατος	N;NOM;DEF;SG	N;ACC;MASC;SG
عزلة	απομόνωση	عُزلَة	απομόνωση	N;NOM;INDF;SG	N;ACC;FEM;SG
ابن	γιος	ابن	γιος		N;NOM;MASC;SG
ابن	υιός	ابن	υιός		N;NOM;MASC;SG
ابن	γιε	ابن	για		
حول	περίπου	حَولَ	περίπου	ADP;ACC	ADV
العمل	δράσης	عَمَل	δράση	N;NOM;DEF;SG	N;GEN;FEM;SG
العمل	action	عَمَل	action	N;NOM;DEF;SG	
العمل	εργασίες	عَمَل	εργασία	N;NOM;DEF;SG	N;NOM;FEM;PL
العمل	δουλεια	عَمَل	δουλεια	N;NOM;DEF;SG	N;ACC;FEM;SG
العمل	δουλειές	عَمَل	δουλειή	N;NOM;DEF;SG	N;NOM;FEM;PL
العمل	business	عَمَل	business	N;NOM;DEF;SG	
الخريطة	χάρτη	خَرِيطَة	χάρτης	N;NOM;DEF;SG	N;ACC;MASC;SG
الرسمي	αξιωματούχος	رَسمِيّ	αξιωματούχος	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;SG
عشر	ten	عَشَرَة	ten	NUM;MASC	
بسبب	επειδή	بسبب	επειδή	N;NOM;INDF;SG	CONJ
بسبب	γιατί	بسبب	γιατί	N;NOM;INDF;SG	CONJ
يوم	μέρα	يَوم	μέρα	N;NOM;INDF;SG	N;ACC;FEM;SG
كتابة	γράψω	كِتَابَة	γράψω	N;NOM;INDF;SG	V;PFV;IND;SG;1;FIN;ACT
كتابة	γράψτε	كِتَابَة	γράψτε	N;NOM;INDF;SG	V;PFV;IMP;PL;2;FIN;ACT
كتابة	γράψε	كِتَابَة	γράφω	N;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
طريق	δρόμο	طَرِيق	δρόμος	N;NOM;INDF;SG	N;ACC;MASC;SG
طريق	road	طَرِيق	road	N;NOM;INDF;SG	
الدين	θρησκευτικά	دِين	θρησκευτικά	N;NOM;DEF;SG	ADV
الدين	οφειλή	دِين	οφειλή	N;NOM;DEF;SG	N;ACC;FEM;SG
مركز	center	مَركَز	center	N;NOM;INDF;SG	
ملف	file	مِلَفّ	file	N;NOM;INDF;SG	
لكن	αλλά	لكن	αλλά		CONJ
لكن	αλλα	لكن	αλλα		ADV
لكن	μα	لكن	μα		ADV
جميع	ολα	جَمِيع	όλος	N;NOM;INDF;SG	ADV
جميع	όλοι	جَمِيع	όλος	N;NOM;INDF;SG	ADJ;NOM;MASC;PL
جميع	όλες	جَمِيع	όλος	N;NOM;INDF;SG	ADJ;NOM;FEM;PL
جميع	όλα	جَمِيع	όλος	N;NOM;INDF;SG	ADJ;NOM;NEUT;PL
الثانية	δεύτερο	ثَانِي	δεύτερος	ADJ;NOM;DEF;FEM;SG	NUM;NOM;NEUT;SG
الثانية	δεύτερος	ثَانِي	δεύτερος	ADJ;NOM;DEF;FEM;SG	NUM;NOM;MASC;SG
الثانية	δεύτερη	ثَانِي	δεύτερος	ADJ;NOM;DEF;FEM;SG	NUM;NOM;FEM;SG
السكان	κατοίκους	سَاكِن	κάτοικος	N;NOM;DEF;PL	N;ACC;MASC;PL
السكان	πληθυσμός	سَاكِن	πληθυσμός	N;NOM;DEF;PL	N;NOM;MASC;SG
السكان	πληθυσμού	سَاكِن	πληθυσμός	N;NOM;DEF;PL	N;GEN;MASC;SG
الدولة	πολιτεία	دَولَة	πολιτεία	N;NOM;DEF;SG	N;ACC;FEM;SG
الدولة	state	دَولَة	state	N;NOM;DEF;SG	
الملك	κινγκ	مَلِك	κινγκ	N;NOM;DEF;SG	
الملك	βασιλιά	مَلِك	βασιλιάς	N;NOM;DEF;SG	N;ACC;MASC;SG
الملك	king	مَلِك	king	N;NOM;DEF;SG	
عدة	αρκετές	عِدَّة	αρκετός	N;NOM;INDF;SG	PRO;NOM;FEM;PL;3
عدة	αρκετοί	عِدَّة	αρκετός	N;NOM;INDF;SG	PRO;NOM;MASC;PL;3
ولد	γεννήθηκα	وَلَد	γεννώ	N;NOM;INDF;SG	V;PFV;IND;SG;1;PST;FIN;PASS
ولد	γεννημένος	وَلَد	γεννημένος	N;NOM;INDF;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
ولد	γεννήθηκε	وَلَد	γεννώ	N;NOM;INDF;SG	V;PFV;IND;SG;3;PST;FIN;PASS
ولد	γεννηθείς	وَلَد	γεννηθής	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
صورة	φώτο	صُورَة	φώτος	N;NOM;INDF;SG	N;ACC;FEM;SG
صورة	photo	صُورَة	photo	N;NOM;INDF;SG	
