izumil	erfindung	izumiti	erfindung	V;PFV;MASC;SG;V.PTCP	N;FEM;SG
razdeljeno	geteilt	razdeljen	teilen	ADJ;NOM;NEUT;SG;V.PTCP	V;V.PTCP
razdeljeno	gespalten	razdeljen	spalten	ADJ;NOM;NEUT;SG;V.PTCP	V;V.PTCP
craig	craig	craig	craig	PROPN;NOM;MASC;SG	PROPN;SG
tatjana	tatiana	tatjan	tatiana	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
tatjana	tatjana	tatjan	tatjana	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
cvet	blühen	cvet	blühen	N;NOM;MASC;SG	V;NFIN
cvet	blossom	cvet	blossom	N;NOM;MASC;SG	PROPN
cvet	blumen	cvet	blum	N;NOM;MASC;SG	V;NFIN
cvet	blume	cvet	blum	N;NOM;MASC;SG	ADJ;NOM;SG
cvet	blühen	cvet	blühen	N;NOM;MASC;SG	V;NFIN
marne	marne	maren	marnen	PROPN;NOM;MASC;SG	PROPN;NOM;SG
opremljena	ausgerüstet	opremljen	ausrüsten	ADJ;NOM;FEM;SG;V.PTCP	V;V.PTCP
opremljena	ausgestattet	opremljen	ausstatten	ADJ;NOM;FEM;SG;V.PTCP	V;V.PTCP
opremljena	eingerichtet	opremljen	einrichten	ADJ;NOM;FEM;SG;V.PTCP	V;V.PTCP
opremljena	ausgestattet	opremljen	ausstatten	ADJ;NOM;FEM;SG;V.PTCP	V;V.PTCP
cape	cape	capa	cape	PROPN;NOM;MASC;SG	PROPN;NOM;SG
cape	kap	capa	kopmen	PROPN;NOM;MASC;SG	
cape	umhang	capa	umhang	PROPN;NOM;MASC;SG	N
cape	kapstadt	capa	kapstadt	PROPN;NOM;MASC;SG	PROPN;NOM;SG
srebotnik	srebotnik	srebotnik	srebotnik	N;NOM;MASC;SG	
angleži	englisch	anglež	englisch	N;NOM;MASC;PL	ADJ
angleži	englische	anglež	englisch	N;NOM;MASC;PL	ADJ;NOM;FEM;PL
angleži	deutsch	anglež	deutsch	N;NOM;MASC;PL	ADJ
vili	villa	vila	villa	N;NOM;FEM;SG	
vili	landhaus	vila	landhaus	N;NOM;FEM;SG	
chan	chan	chan	chan	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
čet	do	čet	do	N;NOM;MASC;SG	
čet	soldaten	čet	soldat	N;NOM;MASC;SG	N;PL
čet	truppen	čet	truppen	N;NOM;MASC;SG	V;NFIN
čet	truppe	čet	trapp	N;NOM;MASC;SG	
ville	ville	vill	vill	PROPN;NOM;FEM;PL	PROPN;NOM;SG
mamo	mama	mama	mama	N;ACC;FEM;SG	PROPN;NOM;SG
mamo	mum	mama	mum	N;ACC;FEM;SG	
mamo	mutti	mama	mutti	N;ACC;FEM;SG	
mamo	mutter	mama	mutter	N;ACC;FEM;SG	
mamo	mom	mama	mom	N;ACC;FEM;SG	PROPN;NOM;SG
mamo	muttertag	mama	muttertag	N;ACC;FEM;SG	V;SG;FIN
mamo	mutter	mama	mutter	N;ACC;FEM;SG	
galaksij	galaxien	galaksija	galaxien	N;GEN;FEM;PL	
gost	gästezimmer	gost	gästezimmer		ADJ;NOM;FEM;PL
gost	gäste	gost	gesen		N;NOM;MASC;PL
gost	gast	gost	gast		
bitk	schlachten	bitk	schlachten	N;GEN;FEM;PL	V;NFIN
bitk	kämpfen	bitk	kämpfen	N;GEN;FEM;PL	V;NFIN
bitk	schlacht	bitk	schlacht	N;GEN;FEM;PL	N;NOM;FEM;SG
bitk	kämpfe	bitk	kämpfen	N;GEN;FEM;PL	
evangelij	evangelium	evangelij	evangelium	N;NOM;MASC;SG	
evangelij	gospel	evangelij	gospel	N;NOM;MASC;SG	PROPN
bruins	bruins	bruins	bruins	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
giacomo	giacomo	giacoma	giacomo	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
prečka	kreuze	prečkati	kreuzen	V;IND;SG;3;PRS;FIN	
ledvic	nierenerkrankung	ledvica	nierenerkrankung	N;GEN;FEM;PL	ADJ
ledvic	niere	ledvica	nier	N;GEN;FEM;PL	
ledvic	nieren	ledvica	nier	N;GEN;FEM;PL	
spomini	gedächtnis	spomin	gedächtnis	N;NOM;MASC;PL	
spomini	erinnerung	spomin	erinnerung	N;NOM;MASC;PL	ADJ
spomini	gedächtnis	spomin	gedächtnis	N;NOM;MASC;PL	
spomini	erinnerung	spomin	erinnerung	N;NOM;MASC;PL	ADJ
spomini	arbeitsspeicher	spomin	arbeitsspeicher	N;NOM;MASC;PL	ADJ
spomini	speicher	spomin	speich	N;NOM;MASC;PL	ADJ
kopenski	terrestrische	kopenski	terrestrisch	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;PL
bakra	kupfer	bakra	küpfen	N;NOM;MASC;SG	ADJ
poklicno	berufliche	poklicen	beruflich	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
poklicno	berufsbildung	poklicen	berufsbildung	ADJ;NOM;NEUT;SG	
poklicno	berufliche	poklicen	beruflich	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
poklicno	berufsschule	poklicen	berufsschule	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG
miles	meilen	miles	meilen		
miles	miles	miles	miles		PROPN;NOM;SG
miles	kilometer	miles	kilometer		ADJ
kristus	christ	kristus	christ	N;NOM;MASC;SG	PROPN
kristus	christus	kristus	christus	N;NOM;MASC;SG	
vsebovala	enthielten	vsebovati	enthalten	V;IPFV;FEM;SG;V.PTCP	V;IND;PL;3;PST;FIN
predsednica	präsidenten	predsednica	präsident	N;NOM;FEM;SG	ADJ;PL
predsednica	vorsitzender	predsednica	vorsitzend	N;NOM;FEM;SG	ADJ
predsednica	präsident	predsednica	präsident	N;NOM;FEM;SG	ADJ
predsednica	präsidentin	predsednica	präsidentin	N;NOM;FEM;SG	ADJ
predsednica	vorsitzende	predsednica	vorsitzend	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
shranjevanje	lagerung	shranjevanje	lagerung	N;NOM;NEUT;SG	ADJ
shranjevanje	ersparnis	shranjevanje	ersparnis	N;NOM;NEUT;SG	ADJ
shranjevanje	speichern	shranjevanje	speichern	N;NOM;NEUT;SG	V;NFIN
shranjevanje	sparen	shranjevanje	sparen	N;NOM;NEUT;SG	V;NFIN
shranjevanje	retten	shranjevanje	retten	N;NOM;NEUT;SG	V;NFIN
shranjevanje	lagerraum	shranjevanje	lagerraum	N;NOM;NEUT;SG	ADJ
shranjevanje	aufbewahrung	shranjevanje	aufbewahrung	N;NOM;NEUT;SG	PROPN
shranjevanje	speicher	shranjevanje	speich	N;NOM;NEUT;SG	ADJ
shranjevanje	lagerhaltung	shranjevanje	lagerhaltung	N;NOM;NEUT;SG	ADJ
shranjevanje	lagerung	shranjevanje	lagerung	N;NOM;NEUT;SG	ADJ
zdravniki	mediziner	zdravnik	medizin	N;NOM;MASC;PL	ADJ
zdravniki	arzt	zdravnik	arzen	N;NOM;MASC;PL	N;SG
zdravniki	ärzten	zdravnik	ärzt	N;NOM;MASC;PL	V;FIN
zdravniki	ärzten	zdravnik	ärzt	N;NOM;MASC;PL	V;FIN
zdravniki	arzt	zdravnik	arzen	N;NOM;MASC;PL	N;SG
raziskuje	erkundung	raziskovati	erkundung	V;IPFV;IND;SG;3;PRS;FIN	ADJ
raziskuje	entdeckungsreise	raziskovati	entdeckungsreise	V;IPFV;IND;SG;3;PRS;FIN	;SG
lopez	lópez	lopez	lópez	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
lopez	lopez	lopez	lopez	N;NOM;MASC;SG	PROPN;NOM;SG
veri	glaube	vera	glauben	N;NOM;FEM;SG	
veri	vertrauen	vera	vertrauen	N;NOM;FEM;SG	V;NFIN
veri	glauben	vera	glauben	N;NOM;FEM;SG	V;NFIN
veri	glaubens	vera	glaubens	N;NOM;FEM;SG	N;NOM;NEUT;PL
federacije	vereinigung	federacija	vereinigung	N;NOM;FEM;PL	N;NOM;FEM;SG
federacije	verband	federacija	verbinden	N;NOM;FEM;PL	
federacije	föderation	federacija	Föderation	N;NOM;FEM;PL	ADJ
hudi	schwere	hud	schwer	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
lisa	lisa	lisa	lisa	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
nedelja	sunday	nedeljati	sunday	N;NOM;FEM;SG	PROPN
nedelja	sonntag	nedeljati	sonntag	N;NOM;FEM;SG	PROPN
nedelja	sonntags	nedeljati	sonntags	N;NOM;FEM;SG	ADV
sedmi	siebente	sedmi	siebent	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
piramide	pyramide	piramid	pyramide	N;NOM;FEM;PL	
biolog	biologen	biolog	biolog	N;NOM;MASC;SG	
biolog	biologe	biolog	biologe	N;NOM;MASC;SG	
gerald	gerald	gerald	gerald	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
gerald	detlef	gerald	detlef	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
aus	aus	aus	aus		ADP
profesorica	professorin	profesorica	professorin	N;NOM;FEM;SG	ADJ
nekaterim	einige	nekateri	einige	DET;DAT;MASC;PL	PRO;NOM;INDF;PL
nekaterim	manche	nekateri	manch	DET;DAT;MASC;PL	PRO;NOM;INDF;PL
nekaterim	einigen	nekateri	einige	DET;DAT;MASC;PL	PRO;ACC;INDF;PL
anders	anders	anders	anders	N;NOM;MASC;SG	ADV
neil	neil	neiti	neil	PROPN;NOM;MASC;SG	PROPN;NOM;SG
neil	jutta	neiti	jutta	PROPN;NOM;MASC;SG	PROPN;NOM;FEM;SG
edwin	edwin	edwin	edwin	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
princeton	princeton	princeton	princeton	PROPN;NOM;MASC;SG	PROPN;NOM;SG
todd	todd	todd	todd	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
univerz	hochschule	univerza	hochschule	N;GEN;FEM;PL	N;NOM;FEM;SG
univerz	hochschulen	univerza	hochschulen	N;GEN;FEM;PL	N;NOM;FEM;PL
univerz	universitäten	univerza	universitäten	N;GEN;FEM;PL	N;NOM;PL
spremenljivke	variable	spremenljivka	variabel	N;NOM;FEM;PL	ADJ;NOM;FEM;PL
spremenljivke	variablen	spremenljivka	variablen	N;NOM;FEM;PL	
prejšnji	frühere	prejšnji	früh	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
prejšnji	vorherige	prejšnji	vorherig	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
prejšnji	vorhergehende	prejšnji	vorhergehend	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
prejšnji	zuvor	prejšnji	zuvor	ADJ;NOM;MASC;SG	ADV
mathieu	mathieu	mathi	mathieu	N;NOM;MASC;SG	PROPN;NOM;SG
odstranitev	entfernung	odstranitev	entfernung	N;NOM;FEM;SG	ADJ
odstranitev	entfernen	odstranitev	entfernen	N;NOM;FEM;SG	V;NFIN
sladkorja	zuckergehalt	sladkor	zuckergehalt	N;GEN;MASC;SG	ADJ
sladkorja	zucker	sladkor	zucker	N;GEN;MASC;SG	ADJ
sladkorja	sugar	sladkor	sugar	N;GEN;MASC;SG	PROPN;SG
ein	ein	ein	ein		ADV
nepravilnosti	unregelmäßigkeiten	nepravilnost	unregelmäßigkeit	N;GEN;FEM;SG	N;NOM;FEM;PL
nepravilnosti	unregelmäßigkeit	nepravilnost	unregelmäßigkeit	N;GEN;FEM;SG	ADJ
nepravilnosti	missstand	nepravilnost	mißbstand	N;GEN;FEM;SG	ADV
nepravilnosti	mißstände	nepravilnost	mißständ	N;GEN;FEM;SG	
nepravilnosti	missstände	nepravilnost	mißbstände	N;GEN;FEM;SG	
nepravilnosti	anomalien	nepravilnost	anomalien	N;GEN;FEM;SG	N;NOM;PL
nepravilnosti	unregelmäßigkeiten	nepravilnost	unregelmäßigkeit	N;GEN;FEM;SG	N;NOM;FEM;PL
nepravilnosti	unregelmäßigkeit	nepravilnost	unregelmäßigkeit	N;GEN;FEM;SG	ADJ
han	han	han	han	N;NOM;MASC;SG	
roland	roland	roland	roland	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
billie	billie	billev	billie	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
krajevna	lokale	krajeven	lokal	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
krajevna	lokalen	krajeven	lokal	ADJ;NOM;FEM;SG	ADJ;NOM;PL
spreminjanje	ändern	spreminjanje	ändern	N;NOM;NEUT;SG	V;NFIN
spreminjanje	verändern	spreminjanje	verändern	N;NOM;NEUT;SG	V;NFIN
uspešnost	performance	uspešnost	performance	N;NOM;FEM;SG	ADJ;NOM;FEM;PL
uspešnost	effektivität	uspešnost	effektivität	N;NOM;FEM;SG	ADJ
uspešnost	wirksamkeit	uspešnost	wirksamkeit	N;NOM;FEM;SG	ADJ
uspešnost	effizienz	uspešnost	effizienz	N;NOM;FEM;SG	
uspešnost	erfolg	uspešnost	erfolg	N;NOM;FEM;SG	ADJ
uspešnost	erfolgs	uspešnost	Erfolg	N;NOM;FEM;SG	
uspešnost	erfolgreich	uspešnost	erfolgreich	N;NOM;FEM;SG	ADJ
uspešnost	erfolgsgeschichte	uspešnost	erfolgsgeschichte	N;NOM;FEM;SG	ADJ;NOM;FEM;PL
uspešnost	erfolge	uspešnost	erfolge	N;NOM;FEM;SG	N;NOM;FEM;PL
molitve	gebet	molitev	beten	N;NOM;FEM;PL	
molitve	gebets	molitev	gebets	N;NOM;FEM;PL	
molitve	gebete	molitev	geben	N;NOM;FEM;PL	
molitve	gebetet	molitev	beten	N;NOM;FEM;PL	V;V.PTCP
molitve	gebeten	molitev	bitten	N;NOM;FEM;PL	V;V.PTCP
celine	céline	celina	céline	N;NOM;FEM;PL	PROPN;NOM;SG
celine	celine	celina	celine	N;NOM;FEM;PL	PROPN;NOM;SG
celine	kontinente	celina	kontinent	N;NOM;FEM;PL	
celine	kontinent	celina	kontinent	N;NOM;FEM;PL	
celine	kontinenten	celina	kontinent	N;NOM;FEM;PL	ADJ;PL
battista	battista	battist	battista	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
tretjini	thirds	tretjina	thirds	N;NOM;FEM;SG	
tretjini	dritteln	tretjina	dritteln	N;NOM;FEM;SG	V;NFIN
tretjini	drittel	tretjina	Drittel	N;NOM;FEM;SG	ADJ;NOM
orel	eagle	orela	eagl	N;NOM;MASC;SG	PROPN;NOM;SG
orel	adler	orela	adle	N;NOM;MASC;SG	
jasna	jasna	jasen	jasna	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG
jasna	klare	jasen	klar	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
jasna	löschen	jasen	löschen	ADJ;NOM;FEM;SG	V;NFIN
hubert	hubert	hubert	hubert	N;NOM;MASC;SG	PROPN;NOM;SG
opredelitev	definition	opredelitev	definition	N;NOM;FEM;SG	ADJ
opredelitev	begriffsbestimmungen	opredelitev	begriffsbestimmung	N;NOM;FEM;SG	N;NOM;FEM;PL
opredelitev	begriffsbestimmung	opredelitev	begriffsbestimmung	N;NOM;FEM;SG	ADJ
opredelitev	definitionen	opredelitev	definition	N;NOM;FEM;SG	V;NFIN
charlotte	charlotte	charlott	charlotte	PROPN;NOM;FEM;SG	PROPN;NOM;SG
bella	bella	bell	bella	N;NOM;FEM;SG	PROPN;NOM;SG
nominiran	ernannt	nominiran	ernennen	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;V.PTCP
nominiran	nominiert	nominiran	nominieren	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;V.PTCP
nominiran	nominierung	nominiran	nominierung	ADJ;NOM;INDF;MASC;SG;V.PTCP	N;NOM;FEM;SG
nominiran	nominierten	nominiran	nominiert	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;IND;PL;3;PST;FIN
rumeni	gelbes	rume	gelb	ADJ;NOM;DEF;MASC;SG	N;NOM;NEUT;SG
rumeni	gelbe	rume	gelb	ADJ;NOM;DEF;MASC;SG	N;NOM;FEM;PL
rumeni	gelben	rume	gelb	ADJ;NOM;DEF;MASC;SG	
papirja	papierindustrie	papir	papierindustrie	N;GEN;MASC;SG	PROPN;NOM;SG
papirja	papier	papir	papier	N;GEN;MASC;SG	
papirja	zeitung	papir	zeitung	N;GEN;MASC;SG	
zaposlitev	rekrutieren	zaposlitev	rekrutieren	N;NOM;FEM;SG	V;NFIN
zaposlitev	anstellung	zaposlitev	anstellung	N;NOM;FEM;SG	V;IND;SG;3;PST;FIN
zaposlitev	einstellungen	zaposlitev	einstellingen	N;NOM;FEM;SG	V;NFIN
zaposlitev	rekrutierung	zaposlitev	rekrutierung	N;NOM;FEM;SG	ADJ
zaposlitev	job	zaposlitev	jeben	N;NOM;FEM;SG	
zaposlitev	arbeitsmarkt	zaposlitev	arbeitsmarkt	N;NOM;FEM;SG	ADJ
zaposlitev	arbeitsplätze	zaposlitev	arbeitsplatz	N;NOM;FEM;SG	ADJ;NOM;FEM;PL
lucija	lucy	lucija	lucy	N;NOM;FEM;SG	PROPN;NOM;SG
lucija	lucia	lucija	lucia	N;NOM;FEM;SG	PROPN;NOM;SG
dostopna	zugängliche	dostopen	zugänglich	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
dostopna	zugänglichen	dostopen	zugänglich	ADJ;NOM;FEM;SG	V;NFIN
ušesa	ohr	uho	ohr	N;NOM;NEUT;PL	N;NOM;NEUT;SG
nataša	natascha	nataša	natascha	N;NOM;FEM;SG	PROPN;NOM
boljša	better	dober	better	ADJ;NOM;CMPR;FEM;SG	PROPN
boljša	bessere	dober	gut	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;FEM;PL
shs	shs	shs	shs	PROPN;NOM;MASC;SG	
razpad	trennung	razpad	trennung	N;NOM;MASC;SG	V;SG;FIN
razpad	zerfall	razpad	zerfallen	N;NOM;MASC;SG	ADV
razpad	zusammenbruch	razpad	zusammenbruch	N;NOM;MASC;SG	ADJ
razpad	zusammenbrechen	razpad	zusammenbrechen	N;NOM;MASC;SG	V;NFIN
razpad	kollaps	razpad	kollaps	N;NOM;MASC;SG	ADV
razpad	verfallen	razpad	verfallen	N;NOM;MASC;SG	V;V.PTCP
razpad	zerfall	razpad	zerfallen	N;NOM;MASC;SG	ADV
razpad	zerfallen	razpad	zerfallen	N;NOM;MASC;SG	V;NFIN
razpad	verfall	razpad	verfallen	N;NOM;MASC;SG	ADJ
rektor	provost	rektor	provost	N;NOM;MASC;SG	PROPN;NOM;SG
rektor	rektor	rektor	rektor	N;NOM;MASC;SG	PROPN
novejši	neuere	nov	neu	ADJ;NOM;DEF;CMPR;MASC;SG	ADJ;NOM;FEM;PL
petrova	petrova	petrova	petrova	ADJ;NOM;FEM;SG	
označene	markierten	označen	markiert	ADJ;NOM;FEM;PL;V.PTCP	V;IND;PL;3;PST;FIN
označene	etikettiert	označen	etikettieren	ADJ;NOM;FEM;PL;V.PTCP	V;V.PTCP
označene	markierte	označen	markiert	ADJ;NOM;FEM;PL;V.PTCP	ADJ;NOM;SG
označene	markierten	označen	markiert	ADJ;NOM;FEM;PL;V.PTCP	V;IND;PL;3;PST;FIN
označene	markierte	označen	markiert	ADJ;NOM;FEM;PL;V.PTCP	ADJ;NOM;SG
kolonija	colony	kolonija	colony	N;NOM;FEM;SG	
kolonija	kolonie	kolonija	kolonie	N;NOM;FEM;SG	ADJ
kolonija	kolonien	kolonija	kolonien	N;NOM;FEM;SG	
broughton	broughton	broughton	broughton	N;NOM;MASC;SG	PROPN
spol	geschlecht	spol	schlechen	N;NOM;MASC;SG	ADJ
spol	gender	spol	gend	N;NOM;MASC;SG	ADJ
spol	geschlecht	spol	schlechen	N;NOM;MASC;SG	ADJ
spol	geschlechtsverkehr	spol	geschlechtsverkehr	N;NOM;MASC;SG	ADJ
spol	sex	spol	sex	N;NOM;MASC;SG	
barry	barry	barry	barry		PROPN;SG
oborožitev	rüstungsindustrie	oborožitev	rüstungsindustrie	N;NOM;FEM;SG	
oborožitev	bewaffnung	oborožitev	bewaffnung	N;NOM;FEM;SG	
mcdonnell	mcdonnell	mcdonnilo	mcdonnell	PROPN;NOM;MASC;SG	ADJ
hčerke	töchtern	hčerka	töcht	N;NOM;FEM;PL	V;PL;FIN
hčerke	töchter	hčerka	tocht	N;NOM;FEM;PL	ADJ;NOM;PL
sofija	sofia	sofija	sofia	N;NOM;FEM;SG	PROPN;SG
sofija	sophia	sofija	sophia	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
fotografij	bildergalerie	fotografija	bildergalerie	N;GEN;FEM;PL	ADJ
fotografij	bilder	fotografija	Bild	N;GEN;FEM;PL	N;NOM;NEUT;PL
fotografij	fotografien	fotografija	fotografien	N;GEN;FEM;PL	
fotografij	fotos	fotografija	fotos	N;GEN;FEM;PL	
hong	hong	hong	hong	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
trak	stirnband	trak	stirnband	N;NOM;MASC;SG	ADJ
trak	streifen	trak	streifen	N;NOM;MASC;SG	V;NFIN
trak	ausziehen	trak	ausziehen	N;NOM;MASC;SG	V;NFIN
trak	strip	trak	strip	N;NOM;MASC;SG	PROPN
trak	band	trak	binden	N;NOM;MASC;SG	
trak	tape	trak	tape	N;NOM;MASC;SG	
trak	klebeband	trak	klebeband	N;NOM;MASC;SG	ADJ
trak	kassette	trak	kassett	N;NOM;MASC;SG	ADJ;SG
trak	band	trak	binden	N;NOM;MASC;SG	
