med	med	med	med	ADP	N;NOM;MASC;SG
var	var	var	var	PRO;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
var	bio	var	biti	PRO;INDF;MASC+FEM;SG	V;MASC;SG;PST;V.PTCP;ACT
var	bila	var	biti	PRO;INDF;MASC+FEM;SG	V;FEM;SG;PST;V.PTCP;ACT
var	bile	var	biti	PRO;INDF;MASC+FEM;SG	V;FEM;PL;PST;V.PTCP;ACT
var	bili	var	biti	PRO;INDF;MASC+FEM;SG	V;MASC;PL;PST;V.PTCP;ACT
var	gdje	var	gdje	PRO;INDF;MASC+FEM;SG	ADV
juli	srpnja	juli	srpanj	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
han	hana	han	hana	PRO;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	PROPN;NOM;MASC;SG
vattendrag	rijeke	vattendrag	rijeka	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
vattendrag	reke	vattendrag	reći	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
vattendrag	rivers	vattendrag	rivers	N;NOM;INDF;NEUT;SG	ADP
kanada	kanada	kanad	kanada	PROPN;NOM	N;NOM;FEM;SG
kanada	kanadi	kanad	kanada	PROPN;NOM	N;DAT;FEM;SG
kanada	kanade	kanad	kanada	PROPN;NOM	N;NOM;FEM;PL
kanada	kanadu	kanad	kanada	PROPN;NOM	N;ACC;FEM;SG
kanada	kanadska	kanad	kanadski	PROPN;NOM	ADJ;NOM;DEF;FEM;SG
provinsen	pokrajine	provins	pokrajina	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;PL
provinsen	pokrajini	provins	pokrajina	N;NOM;DEF;MASC+FEM;SG	N;DAT;FEM;SG
närheten	blizine	närhet	blizina	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;PL
högsta	vrhovni	hög	vrhovan	ADJ;NOM;DEF;RL	ADJ;NOM;DEF;MASC;SG
högsta	maksimum	hög	maksimum	ADJ;NOM;DEF;RL	N;NOM;MASC;SG
högsta	maksimalno	hög	maksimalan	ADJ;NOM;DEF;RL	ADV
augusti	kolovoza	augusti	kolovoz	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
kan	može	kunna	moći	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kan	mogu	kunna	moći	V;IND;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
kan	moze	kunna	moza	V;IND;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
externa	vanjski	ext	vanjski	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;DEF;MASC;SG
externa	vanjska	ext	vanjski	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;SG
läge	lokaciju	läge	lokacija	N;NOM;INDF;NEUT;SG	N;ACC;FEM;SG
februari	veljače	februari	veljača	N;NOM;INDF;MASC+FEM;SG	N;GEN;FEM;SG
lake	jezera	lake	jezero	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;PL
lake	lake	lake	lak	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
sjö	jezera	sjö	jezero	N;NOM;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
sjö	lake	sjö	lak	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;PL
sjö	morem	sjö	more	N;NOM;INDF;MASC+FEM;SG	N;INS;NEUT;SG
sjö	moru	sjö	more	N;NOM;INDF;MASC+FEM;SG	N;DAT;NEUT;SG
sig	sig	sig	sig	PRO;ACC;DEF	N;NOM;MASC;SG
kommun	općine	kommun	općina	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;PL
lac	lac	lac	lac	V;IMP;FIN;ACT	PROPN;NOM;MASC;SG
long	long	long	long	N;NOM;INDF;MASC+FEM;SG	ADP
long	dugo	long	dugo	N;NOM;INDF;MASC+FEM;SG	ADV
juni	june	juni	juniti	N;NOM;INDF;MASC+FEM;SG	ADP
juni	lipnja	juni	lipanj	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
lat	lijeni	lat	lijena	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;PL
lat	lijen	lat	lijen	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
december	prosinca	december	prosinac	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
december	prosincu	december	prosinac	N;NOM;INDF;MASC+FEM;SG	N;DAT;MASC;SG
många	mnoge	mången	mnogi	PRO;INDF;PL	ADJ;NOM;DEF;FEM;PL
många	mnogi	mången	mnogi	PRO;INDF;PL	ADJ;NOM;DEF;MASC;PL
efter	poslije	efter	poslije	ADP	ADV
nära	zatvori	nära	zatvoriti	ADV	V;IND;SG;3;PRS;FIN
väster	west	väster	west	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
väster	zapadno	väster	zapadno	N;NOM;INDF;MASC+FEM;SG	ADV
provins	pokrajine	provins	pokrajina	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;PL
provins	pokrajini	provins	pokrajina	N;NOM;INDF;MASC+FEM;SG	N;DAT;FEM;SG
öster	istočna	öster	istočan	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
öster	istočno	öster	istočno	N;NOM;INDF;MASC+FEM;SG	ADV
först	prvi	först	prvi	ADV	ADJ;NOM;MASC;SG
berg	planine	berg	planina	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
berg	planinu	berg	planina	N;NOM;INDF;NEUT;SG	N;ACC;FEM;SG
berg	berg	berg	berg	N;NOM;INDF;NEUT;SG	PROPN;NOM;MASC;SG
berg	planine	berg	planina	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
indonesien	indoneziji	indonesien	indonezija	PROPN;NOM	N;DAT;FEM;SG
usa	usa	usa	us	PROPN;NOM	PROPN;NOM;MASC;SG
mars	ožujka	mars	ožujak	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
mars	marsa	mars	marsa	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
mindre	manjim	lite	mal	ADV;CMPR	ADJ;INS;DEF;CMPR;MASC;SG
mindre	manja	lite	mali	ADV;CMPR	ADJ;NOM;DEF;CMPR;FEM;SG
mindre	manji	lite	mali	ADV;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
mindre	manja	lite	mali	ADV;CMPR	ADJ;NOM;DEF;CMPR;FEM;SG
norr	sjeverno	norr	sjeverno	N;NOM;INDF;MASC+FEM;SG	ADV
norr	sjeverna	norr	sjeveran	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
oktober	listopada	oktober	listopad	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
man	covjek	man	covjek	PRO;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG
man	čovjek	man	čovjek	PRO;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG
man	čovek	man	čovek	PRO;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG
september	rujna	september	rujan	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
större	major	stor	major	ADJ;NOM;CMPR	N;NOM;MASC;SG
större	bojnik	stor	bojnik	ADJ;NOM;CMPR	N;NOM;MASC;SG
större	veci	stor	veka	ADJ;NOM;CMPR	ADJ;NOM;INDF;MASC;SG
centrala	centralno	central	centralan	ADJ;NOM;PL	ADJ;NOM;DEF;NEUT;SG
centrala	central	central	central	ADJ;NOM;PL	N;NOM;MASC;SG
centrala	središnja	central	središnji	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
centrala	središnji	central	središnji	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
nordväst	sjeverozapad	nordväst	sjeverozapad	ADV	N;NOM;MASC;SG
andra	drugi	annan	drugi	PRO;INDF;PL	ADJ;NOM;MASC;SG
andra	drugo	annan	drugi	PRO;INDF;PL	ADJ;NOM;NEUT;SG
andra	druga	annan	drugi	PRO;INDF;PL	ADJ;NOM;FEM;SG
andra	drugi	annan	drugi	PRO;INDF;PL	ADJ;NOM;MASC;SG
andra	drugo	annan	drugi	PRO;INDF;PL	ADJ;NOM;NEUT;SG
andra	druga	annan	drugi	PRO;INDF;PL	ADJ;NOM;FEM;SG
andra	ostali	annan	ostao	PRO;INDF;PL	ADJ;NOM;DEF;MASC;PL
andra	drugi	annan	drugi	PRO;INDF;PL	ADJ;NOM;MASC;SG
andra	druge	annan	drugi	PRO;INDF;PL	ADJ;NOM;FEM;PL
nordost	sjeveroistoku	nordost	sjeveroistok	ADV	N;DAT;MASC;SG
county	županije	county	županija	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
county	okrugu	county	okruga	N;NOM;INDF;NEUT;SG	N;DAT;MASC;SG
nog	nog	nog	nog	ADV	N;NOM;MASC;SG
ovanligt	neobično	ovanlig	neobičan	ADJ;NOM;INDF;NEUT;SG	ADV
söder	jugu	söder	jug	N;NOM;INDF;MASC+FEM;SG	N;DAT;MASC;SG
söder	južno	söder	južno	N;NOM;INDF;MASC+FEM;SG	ADV
regionen	regije	region	regija	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;PL
regionen	regiji	region	regija	N;NOM;DEF;MASC+FEM;SG	N;DAT;FEM;SG
ottawa	ottawe	ottal	ottawiti	PROPN;NOM	N;NOM;FEM;PL
creek	creek	creek	creek	N;NOM;INDF;NEUT;SG	PROPN;NOM;MASC;SG
november	studenog	november	studeni	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
maj	may	maj	may	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
maj	svibnja	maj	svibanj	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
maj	maj	maj	maj	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
platt	platt	platt	platt	ADV	
platt	stan	platt	stan	ADV	N;NOM;MASC;SG
platt	ravna	platt	ravan	ADV	ADJ;NOM;DEF;FEM;SG
platt	ravan	platt	ravan	ADV	ADJ;NOM;INDF;MASC;SG
platt	ravni	platt	ravni	ADV	ADJ;NOM;DEF;MASC;SG
född	rođeni	född	rođen	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;NOM;DEF;MASC;PL;V.PTCP
född	rođena	född	roditi	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
finland	finske	finland	finski	PROPN;NOM	ADJ;NOM;DEF;FEM;PL
finland	finska	finland	finski	PROPN;NOM	ADJ;NOM;DEF;FEM;SG
samhälle	zajednice	samhälle	zajednica	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
består	sastavljena	bestå	sastaviti	V;IND;PRS;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP;PASS
första	prvo	en	prvo	ADJ;NOM	ADV
fick	imam	få	imati	V;IND;PST;FIN;ACT	V;IND;SG;1;PRS;FIN
fick	primljena	få	primiti	V;IND;PST;FIN;ACT	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
fick	primljen	få	primiti	V;IND;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP;PASS
fick	primljeno	få	primiti	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP;PASS
australien	australija	australien	australija	PROPN;NOM	N;NOM;FEM;SG
australien	australiji	australien	australija	PROPN;NOM	N;DAT;FEM;SG
australien	australije	australien	australija	PROPN;NOM	N;NOM;FEM;PL
sydöstra	jugoistočnoj	sydöstra	jugoistočan	ADJ;NOM;DEF;SG	ADJ;DAT;DEF;FEM;SG
sydöstra	jugoistočno	sydöstra	jugoistočan	ADJ;NOM;DEF;SG	ADV
sydöstra	jugoistoku	sydöstra	jugoistok	ADJ;NOM;DEF;SG	N;DAT;MASC;SG
sydöstra	jugoistočnoj	sydöstra	jugoistočan	ADJ;NOM;DEF;SG	ADJ;DAT;DEF;FEM;SG
april	travnja	april	travanj	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
sydost	jugoistočnoj	sydost	jugoistočan	ADV	ADJ;DAT;DEF;FEM;SG
sydost	jugoistoku	sydost	jugoistok	ADV	N;DAT;MASC;SG
hans	hans	han	hans	PRO;DEF	PROPN;NOM;MASC;SG
hans	njegovo	han	njegov	PRO;DEF	DET;NOM;NEUT;SG;3
hans	njegov	han	njegov	PRO;DEF	DET;NOM;MASC;SG;3
hans	njegova	han	njegov	PRO;DEF	DET;NOM;FEM;SG;3
södra	južnoj	södra	južan	ADJ;NOM;DEF;SG	ADJ;DAT;DEF;FEM;SG
södra	jugu	södra	jug	ADJ;NOM;DEF;SG	N;DAT;MASC;SG
södra	južno	södra	južno	ADJ;NOM;DEF;SG	ADV
södra	jug	södra	jug	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
toppen	super	topp	super	N;NOM;DEF;MASC+FEM;SG	ADV
sverige	švedska	sverige	švedski	PROPN;NOM	ADJ;NOM;DEF;FEM;SG
sverige	švedskoj	sverige	švedski	PROPN;NOM	ADJ;DAT;DEF;FEM;SG
sverige	švedski	sverige	švedski	PROPN;NOM	ADJ;NOM;DEF;MASC;SG
sverige	švedske	sverige	švedski	PROPN;NOM	ADJ;NOM;DEF;FEM;PL
östra	istočno	östra	istočno	ADJ;NOM;DEF;SG	ADV
östra	istok	östra	istok	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
östra	istočni	östra	istočni	ADJ;NOM;DEF;SG	ADV
östra	istočno	östra	istočno	ADJ;NOM;DEF;SG	ADV
cet	sev	cet	sev		PROPN;NOM;MASC;SG
norra	sjeverno	norra	sjeverno	ADJ;NOM;DEF;SG	ADV
norra	sjever	norra	sjever	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
norra	sjeverni	norra	sjeverni	ADJ;NOM;DEF;SG	ADV
norra	sjevernom	norra	sjeveran	ADJ;NOM;DEF;SG	ADJ;INS;DEF;FEM;SG
också	previse	också	previs	ADV	N;NOM;MASC;SG
detta	ovo	denna	ovaj	PRO;DEF;NEUT;SG	DET;NOM;NEUT;SG
mot	mot	mot	mot	ADP	PROPN;NOM;MASC;SG
västra	west	onstra	west	ADJ;NOM;DEF;SG	PROPN;NOM;MASC;SG
västra	zapad	onstra	zapad	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
västra	zapadno	onstra	zapadno	ADJ;NOM;DEF;SG	ADV
västra	western	onstra	western	ADJ;NOM;DEF;SG	ADP
del	dijelom	del	dio	N;NOM;INDF;MASC+FEM;SG	N;INS;MASC;SG
del	dela	del	delo	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
riktning	smjeru	riktning	smjer	N;NOM;INDF;MASC+FEM;SG	N;DAT;MASC;SG
namn	imena	namn	ime	N;NOM;INDF;NEUT;SG	N;NOM;NEUT;PL
bland	medju	bland	medju	ADP	
vilket	koje	vilken	koji	PRO;INDF;NEUT;SG	DET;NOM;FEM;SG
vilket	koja	vilken	koji	PRO;INDF;NEUT;SG	DET;NOM;FEM;SG
vilket	koji	vilken	koji	PRO;INDF;NEUT;SG	DET;NOM;MASC;SG
svenska	švedski	svensk	švedski	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
svenska	svenska	svensk	svenski	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
mellan	izmedju	mellan	izmedje	ADP	N;NOM;MASC;SG
svensk	švedski	svensk	švedski	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
cerro	cerro	cerro	cerro	N;NOM;INDF;MASC+FEM;SG	ADP
frankrike	francuska	frankrike	francuski	PROPN;NOM	ADJ;NOM;DEF;FEM;SG
frankrike	france	frankrike	franca	PROPN;NOM	ADP
död	smrti	död	smrt	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;PL
död	mrtav	död	mrtav	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
kulle	hill	kulle	hill	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
kina	kine	kina	kina	PROPN;NOM	N;NOM;FEM;PL
kina	kinu	kina	kin	PROPN;NOM	N;ACC;FEM;SG
kina	kini	kina	kina	PROPN;NOM	PROPN;DAT;FEM;SG
kina	kina	kina	kino	PROPN;NOM	N;NOM;FEM;SG
kina	prc	kina	prc	PROPN;NOM	
kommunen	općine	kommun	općina	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;PL
klimatet	klime	klimate	klima	N;NOM;DEF;NEUT;SG	N;NOM;FEM;PL
annat	drugi	annan	drugi	PRO;INDF;NEUT;SG	ADJ;NOM;MASC;SG
annat	drugo	annan	drugi	PRO;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
annat	druga	annan	drugi	PRO;INDF;NEUT;SG	ADJ;NOM;FEM;SG
edt	edt	edt	edt	NUM;NOM	PROPN;NOM;MASC;SG
skulle	bi	skola	biti	V;IND;PST;FIN;ACT	V;COND;SG;3;PST;FIN
denna	ovo	denna	ovaj	PRO;DEF;MASC+FEM;SG	DET;NOM;NEUT;SG
from	pobožni	from	pobožan	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
tropiskt	tropske	tropisk	tropski	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;PL
park	parka	park	park	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
hill	brdo	hill	brdo	PROPN;NOM	N;NOM;NEUT;SG
hill	brijeg	hill	brijeg	PROPN;NOM	N;NOM;MASC;SG
hill	hill	hill	hill	PROPN;NOM	PROPN;NOM;MASC;SG
flera	nekoliko	flera	nekoliko	PRO;INDF;PL	DET
flera	višestruko	flera	višestruko	PRO;INDF;PL	ADV
flera	višestruki	flera	višestruk	PRO;INDF;PL	ADJ;NOM;DEF;MASC;SG
periodiskt	periodične	periodisk	periodičan	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;PL
nord	sjeverno	nord	sjeverno	PROPN;NOM	ADV
nord	sjeverna	nord	sjeveran	PROPN;NOM	ADJ;NOM;DEF;FEM;SG
nord	sjever	nord	sjever	PROPN;NOM	N;NOM;MASC;SG
nord	nord	nord	nord	PROPN;NOM	PROPN;NOM;MASC;SG
stockholm	stockholmu	stockholm	stockholm	PROPN;NOM	N;DAT;MASC;SG
stockholm	stockholm	stockholm	stockholm	PROPN;NOM	N;NOM;MASC;SG
alla	sve	all	sve	PRO;INDF;PL	PRO;NOM;NEUT;SG
alla	svi	all	sav	PRO;INDF;PL	DET;NOM;DEF;MASC;PL
alla	svima	all	sav	PRO;INDF;PL	DET;DAT;DEF;MASC;PL
alla	svi	all	sav	PRO;INDF;PL	DET;NOM;DEF;MASC;PL
samma	isti	samma	isti	DET;INDF	ADJ;NOM;DEF;MASC;SG
samma	ista	samma	isti	DET;INDF	ADJ;NOM;DEF;FEM;SG
samma	isto	samma	isto	DET;INDF	ADV
olika	drukčije	olik	drukčije	ADJ;NOM;PL	ADV
olika	drugačiji	olik	drugačiji	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
olika	drugačija	olik	drugačiji	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
olika	drugačije	olik	drugačije	ADJ;NOM;PL	ADV
olika	raznih	olik	razni	ADJ;NOM;PL	ADJ;GEN;DEF;MASC;PL
ort	gradom	ort	grad	N;NOM;INDF;MASC+FEM;SG	N;INS;MASC;SG
nya	novo	ny	nov	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
nya	nova	ny	nov	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
nya	novi	ny	nov	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
island	island	island	island	PROPN;NOM	N;NOM;MASC;SG
island	islanda	island	island	PROPN;NOM	N;GEN;MASC;SG
sjön	jezera	sjö	jezero	N;NOM;DEF;MASC+FEM;SG	N;NOM;NEUT;PL
sjön	lake	sjö	lak	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;PL
tidigare	prethodno	tidig	prethodno	ADV;CMPR	ADV
tidigare	bivši	tidig	bivši	ADV;CMPR	ADJ;NOM;DEF;MASC;SG
tidigare	prethodni	tidig	prethodan	ADV;CMPR	ADJ;NOM;DEF;MASC;SG
tidigare	prethodna	tidig	prethodan	ADV;CMPR	ADJ;NOM;DEF;FEM;SG
brasilien	brazil	brasili	brazil	PROPN;NOM	PROPN;NOM;MASC;SG
brasilien	brazila	brasili	braziti	PROPN;NOM	PROPN;NOM;MASC;SG
colombia	columbia	colombia	columbia	PROPN;NOM	N;NOM;MASC;SG
colombia	kolumbiju	colombia	kolumbija	PROPN;NOM	N;ACC;FEM;SG
colombia	kolumbija	colombia	kolumbija	PROPN;NOM	N;NOM;FEM;SG
colombia	kolumbiji	colombia	kolumbija	PROPN;NOM	N;DAT;FEM;SG
socken	parish	socken	parish	N;NOM;INDF;MASC+FEM;SG	ADP
socken	župi	socken	župa	N;NOM;INDF;MASC+FEM;SG	N;DAT;FEM;SG
socken	župe	socken	župa	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;PL
sina	njihova	sig	njihov	PRO;DEF;PL	DET;NOM;FEM;SG;3
sina	njihovo	sig	njihov	PRO;DEF;PL	DET;NOM;NEUT;SG;3
sina	njihov	sig	njihov	PRO;DEF;PL	DET;NOM;MASC;SG;3
spanien	španjolska	spani	španjolski	PROPN;NOM	ADJ;NOM;DEF;FEM;SG
spanien	španjolskoj	spani	španjolski	PROPN;NOM	ADJ;DAT;DEF;FEM;SG
spanien	španjolske	spani	španjolski	PROPN;NOM	ADJ;NOM;DEF;FEM;PL
mount	mount	mount	mount	PROPN;NOM	N;NOM;MASC;SG
mount	planina	mount	planina	PROPN;NOM	N;NOM;FEM;SG
stora	velika	stor	velik	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
stora	veliki	stor	velik	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
stora	veliko	stor	velik	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
stora	stora	stor	stor	ADJ;NOM;PL	N;NOM;FEM;SG
omgivande	okružuje	omgivande	okruživati	ADJ;NOM;PRS;V.PTCP	V;IND;SG;3;PRS;FIN
omgivande	okružuju	omgivande	okruživati	ADJ;NOM;PRS;V.PTCP	V;IND;PL;3;PRS;FIN
omgivande	ambijent	omgivande	ambijent	ADJ;NOM;PRS;V.PTCP	N;NOM;MASC;SG
omgivande	ambijenta	omgivande	ambijent	ADJ;NOM;PRS;V.PTCP	N;ACC;MASC;SG
tre	tre	tre	tre	NUM;NOM	PROPN;NOM;MASC;SG
algeriet	alžiru	algeri	alžira	N;NOM;DEF;NEUT;SG	N;DAT;MASC;SG
