castle	замок	cast	замка		N;INAN;NOM;MASC;SG
duyarlı	урахуванням	duyarlı	урахування		N;INAN;INS;NEUT;SG
fritz	фріц	fritz	фріц	PROPN;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
etken	фактори	etken	фактор		N;INAN;NOM;MASC;PL
etken	коефіцієнт	etken	коефіцієнт		N;INAN;NOM;MASC;SG
etken	фактор	etken	фактор		N;INAN;NOM;MASC;SG
zincir	ланцюги	zincir	ланцюги	N;NOM;SG;3	N;INAN;NOM;MASC;PL
depo	склад	depo	склад		N;INAN;NOM;MASC;SG
depo	зберігання	depo	зберігання		N;INAN;NOM;NEUT;SG
depo	носії	depo	носій		N;ANIM;NOM;MASC;PL
depo	сховище	depo	сховище		N;INAN;NOM;NEUT;SG
depo	сховище	depo	сховище		N;INAN;NOM;NEUT;SG
nişan	aim	nişan	aim		
nişan	квітень	nişan	квітень		N;INAN;NOM;MASC;SG
nişan	квітня	nişan	квітень		N;INAN;GEN;MASC;SG
nişan	квітні	nişan	квітний		ADV
nişan	заручини	nişan	заручина		N;INAN;NOM;FEM;PL
nişan	взаємодія	nişan	взаємодія		N;INAN;NOM;FEM;SG
burton	бертон	burton	бертон		PROPN;ANIM;NOM;MASC;SG
stanford	стенфорд	stanford	стенфорд	PROPN;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
başlıkları	заголовки	başlık	заголовка	N;ACC;PL;3	N;INAN;NOM;MASC;PL
hac	паломництво	hac	паломництво		N;INAN;NOM;NEUT;SG
planlı	заплановану	planlı	запланований		ADJ;PFV;ACC;FEM;SG;V.PTCP;PASS
planlı	заплановані	planlı	запланований		ADJ;PFV;NOM;PL;V.PTCP;PASS
planlı	заплановано	planlı	заплановати		V;PFV;IND;0;FIN
planlı	запланований	planlı	запланований		ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
planlı	запланована	planlı	запланований		ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
planlı	заплановано	planlı	заплановати		V;PFV;IND;0;FIN
planlı	запланований	planlı	запланований		ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
planlı	заплановане	planlı	запланований		ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS
çerçeve	кадри	çerçev	кадр	N;NOM;SG;3	N;INAN;NOM;MASC;PL
çerçeve	блоки	çerçev	блок	N;NOM;SG;3	N;INAN;NOM;MASC;PL
çerçeve	рамки	çerçev	рамка	N;NOM;SG;3	N;INAN;NOM;FEM;PL
çerçeve	рамках	çerçev	рамка	N;NOM;SG;3	N;INAN;ESS;FEM;PL
artı	плюс	artı	плюс		
artı	plus	artı	plus		
protokol	протокол	protokol	протокол		N;INAN;NOM;MASC;SG
edinburgh	единбург	edinburgh	единбург	PROPN;NOM;SG;3	PROPN;INAN;NOM;MASC;SG
cadde	стріт	cadde	стріт	N;NOM;SG;3	
tanımlama	визначення	tanımla	визначення	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INAN;NOM;NEUT;SG
tanımlama	визначення	tanımla	визначення	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INAN;NOM;NEUT;SG
tanımlama	ідентифікація	tanımla	ідентифікація	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INAN;NOM;FEM;SG
tanımlama	опис	tanımla	опис	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INAN;NOM;MASC;SG
tanımlama	characterization	tanımla	characterization	V;PFV;NOM;IND;POS;PRS;V.MSDR	
rovers	волоцюги	rovers	волоцюга		N;ANIM;NOM;MASC;PL
yatan	закладання	yat	закладання		N;INAN;NOM;NEUT;SG
disiplin	дисципліни	dis	дисципліна	N;NOM;SG;3	N;INAN;NOM;FEM;PL
disiplin	дисциплінарна	dis	дисциплінарний	N;NOM;SG;3	ADJ;NOM;FEM;SG
tutulması	затемнення	tut	затемнення	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INAN;NOM;NEUT;SG
jedi	джедаї	jedi	джедати		N;ANIM;NOM;MASC;PL
torres	торрес	torres	торрес	PROPN;NOM;SG;3	
genişletilmiş	широкий	genişle	широкий	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	ADJ;NOM;MASC;SG
kompleks	комплекс	kompleks	комплекс		N;INAN;NOM;MASC;SG
kompleks	складні	kompleks	складний		ADJ;NOM;PL
lazio	лаціо	lazio	лаціо	PROPN;NOM;SG;3	PROPN;INAN;NOM;MASC;SG
nevada	невада	neva	невада	PROPN;NOM;SG;3	PROPN;INAN;NOM;FEM;SG
eskimo	eskimo	eskimo	eskimo		
eskimo	іглу	eskimo	іглий		
ekvador	еквадор	ekvador	еквадор	PROPN;NOM;SG;3	PROPN;INAN;NOM;FEM;SG
çeşitlilik	diversity	çeşitlilik	diversity	N;NOM;SG;3	
çeşitlilik	різноманітності	çeşitlilik	різноманітність	N;NOM;SG;3	N;INAN;DAT;FEM;SG
çeşitlilik	сорти	çeşitlilik	сорт	N;NOM;SG;3	N;INAN;NOM;MASC;PL
çeşitlilik	різноманітності	çeşitlilik	різноманітність	N;NOM;SG;3	N;INAN;DAT;FEM;SG
sankt	sankt	sankt	sankt	PROPN;NOM;SG;3	
sankt	санкт	sankt	санкт	PROPN;NOM;SG;3	
barselona	барселона	barselon	барселон	PROPN;NOM;SG;3	PROPN;INAN;NOM;FEM;SG
çekilmesi	зняття	çek	зняття	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;INAN;NOM;NEUT;SG
honda	honda	hon	honda	N;NOM;SG;3	
fosil	пластові	fosil	пластовий		ADJ;NOM;PL
tevrat	тора	tevrat	тора		
silindir	циліндр	sil	циліндр	V;PFV;IND;SG;3;POS;PST;PASS	N;INAN;NOM;FEM;SG
silindir	циліндри	sil	циліндр	V;PFV;IND;SG;3;POS;PST;PASS	N;INAN;NOM;FEM;PL
market	продуктовий	market	продуктовий		ADJ;NOM;MASC;SG
market	маркет	market	маркет		
market	ринкова	market	ринковий		ADJ;NOM;FEM;SG
market	ринок	market	ринок		N;INAN;NOM;MASC;SG
market	ринку	market	ринка		N;INAN;DAT;FEM;SG
chi	чі	chi	чі		
chi	хі	chi	хі		
chi	chi	chi	chi		
azalır	знижує	azal	знижувати	V;IPFV;IND;SG;3;POS	V;IPFV;IND;SG;3;PRS;FIN
azalır	зменшує	azal	зменшувати	V;IPFV;IND;SG;3;POS	V;IPFV;IND;SG;3;PRS;FIN
nbc	викладала	nbc	викладати		V;IPFV;FEM;IND;SG;PST;FIN
uzaklık	дистанції	uzaklık	дистанція	N;NOM;SG;3	N;INAN;ACC;FEM;PL
milyonlarca	мільйонами	milyonlarca	мільйон	NUM	N;INAN;INS;MASC;PL
milyonlarca	мільйони	milyonlarca	мільйон	NUM	N;INAN;NOM;MASC;PL
yaratmak	створення	yarat	створення	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;INAN;NOM;NEUT;SG
dâhil	включено	dâhil	включити		V;PFV;IND;0;FIN
dâhil	включені	dâhil	включений		ADJ;PFV;NOM;PL;V.PTCP;PASS
savcı	прокурор	savcı	прокурор		N;ANIM;NOM;MASC;SG
savcı	прокурора	savcı	прокурор		N;ANIM;ACC;MASC;SG
winter	зима	winte	зима	PROPN;NOM;SG;3	N;INAN;NOM;FEM;SG
israilli	ізраїльська	israilli	ізраїльський		ADJ;NOM;FEM;SG
iade	повертається	iade	повертатися		V;IPFV;IND;SG;3;PRS;FIN
iade	повертає	iade	повертати		V;IPFV;IND;SG;3;PRS;FIN
iade	повернутися	iade	повернутися		V;PFV;NFIN
iade	повернення	iade	повернення		N;INAN;NOM;NEUT;SG
sola	ліворуч	sola	ліворуч		ADV
sola	ліва	sola	лівий		N;INAN;NOM;FEM;SG
sola	лівий	sola	лівий		ADJ;NOM;MASC;SG
sola	зліва	sola	злів		ADV
yükselir	сходить	yüksel	сходити	V;IPFV;IND;SG;3;POS	V;IPFV;IND;SG;3;PRS;FIN
yükselir	піднімається	yüksel	підніматися	V;IPFV;IND;SG;3;POS	V;IPFV;IND;SG;3;PRS;FIN
maggie	меггі	maggie	меггі		PROPN;ANIM;NOM;FEM;SG
bıçak	лезо	bıçak	лезо		N;INAN;NOM;NEUT;SG
bıçak	клинок	bıçak	клинка		N;INAN;NOM;MASC;SG
bıçak	ножі	bıçak	ніж		N;INAN;NOM;MASC;PL
bıçak	ніж	bıçak	ніж		CONJ
anlatıyor	розповідає	anlat	розповідати	V;PROG;IND;SG;3;POS;INFM;PRS	V;IPFV;IND;SG;3;PRS;FIN
anlatıyor	підказує	anlat	підказувати	V;PROG;IND;SG;3;POS;INFM;PRS	V;IPFV;IND;SG;3;PRS;FIN
anlatıyor	повідомляє	anlat	повідомляти	V;PROG;IND;SG;3;POS;INFM;PRS	V;IPFV;IND;SG;3;PRS;FIN
nikola	нікола	nikol	нікола		PROPN;ANIM;NOM;MASC;SG
nikola	нікола	nikol	нікола		PROPN;ANIM;NOM;MASC;SG
kararları	рішення	karar	рішення	N;ACC;PL;3	N;INAN;NOM;NEUT;SG
kararları	рішень	karar	рішення	N;ACC;PL;3	N;INAN;GEN;NEUT;PL
kaldırmak	вилучення	kal	вилучення	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;INAN;NOM;NEUT;SG
kaldırmak	видалення	kal	видалення	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;INAN;NOM;NEUT;SG
kaldırmak	піднімати	kal	піднімати	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	V;IPFV;NFIN
desteklenen	підтримувані	destekle	підтримуваний	V;PFV;IND;POS;PRS;V.PTCP;PASS	ADJ;PFV;NOM;PL;V.PTCP;PASS
desteklenen	підтримали	destekle	підтримати	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;PFV;IND;PL;PST;FIN
desteklenen	підтримується	destekle	підтримуватися	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN
nietzsche	ніцше	nietzsche	ніцше		
ntv	нтв	itv	нтв		PROPN;INAN;NOM;MASC;SG
komut	команд	komut	команд		N;INAN;GEN;FEM;PL
komut	команди	komut	команда		N;INAN;NOM;FEM;PL
komut	наказую	komut	наказувати		V;IPFV;IND;SG;1;PRS;FIN
komut	командний	komut	командний		ADJ;NOM;MASC;SG
komut	команда	komut	команда		N;INAN;NOM;FEM;SG
yöneticiler	менеджерів	yönetici	менеджер	N;NOM;PL;3	N;ANIM;GEN;MASC;PL
yöneticiler	директорів	yönetici	директор	N;NOM;PL;3	N;ANIM;ACC;MASC;PL
yöneticiler	адміністраторів	yönetici	адміністратор	N;NOM;PL;3	N;ANIM;ACC;MASC;PL
kayalık	рокі	kayalık	рік		
statik	статичні	statik	статичний		ADJ;NOM;PL
lima	ліма	lima	лім	PROPN;NOM;SG;3	PROPN;INAN;NOM;FEM;SG
baltimore	балтимор	baltimore	балтимор	PROPN;NOM;SG;3	V;IPFV;IND;PL;1;FUT;FIN
pazarı	маркет	pazar	маркет	N;ACC;SG;3	
pazarı	ринкова	pazar	ринковий	N;ACC;SG;3	ADJ;NOM;FEM;SG
pazarı	ринок	pazar	ринок	N;ACC;SG;3	N;INAN;NOM;MASC;SG
pazarı	ринку	pazar	ринка	N;ACC;SG;3	N;INAN;DAT;FEM;SG
diferansiyel	диференціальна	diferansiyel	диференціальний	N;NOM;SG;3	ADJ;NOM;FEM;SG
aydınlık	світле	aydınlık	світлий	N;NOM;SG;3	ADJ;NOM;NEUT;SG
aydınlık	light	aydınlık	light	N;NOM;SG;3	
aydınlık	світлий	aydınlık	світлий	N;NOM;SG;3	ADJ;NOM;MASC;SG
aydınlık	яскраві	aydınlık	яскравий	N;NOM;SG;3	ADJ;NOM;PL
aydınlık	яскраве	aydınlık	яскравий	N;NOM;SG;3	ADJ;NOM;NEUT;SG
aydınlık	яскрава	aydınlık	яскравий	N;NOM;SG;3	ADJ;NOM;FEM;SG
aydınlık	зійшла	aydınlık	зійти	N;NOM;SG;3	V;PFV;FEM;IND;SG;PST;FIN
felix	фелікс	felix	фелікс		PROPN;ANIM;NOM;MASC;SG
neolitik	неоліт	neolitik	неоліт		N;INAN;NOM;MASC;SG
maryland	меріленд	marylan	меріленд	PROPN;NOM;SG;3	PROPN;INAN;NOM;MASC;SG
glory	славу	glory	слава		N;INAN;ACC;FEM;SG
glory	слава	glory	слава		N;INAN;NOM;FEM;SG
sorar	запитує	sor	запитувати		V;IPFV;IND;SG;3;PRS;FIN
sorar	питає	sor	питати		V;IPFV;IND;SG;3;PRS;FIN
brad	бред	brad	бред		
randy	ренді	randy	ренді		PROPN;ANIM;NOM;MASC;SG
kilit	блокування	kilit	блокування		N;INAN;NOM;NEUT;SG
kilit	зафіксувати	kilit	зафіксувати		V;PFV;NFIN
kilit	замкнути	kilit	замкнути		V;PFV;NFIN
kilit	заблокувати	kilit	заблокувати		V;PFV;NFIN
kilit	блокування	kilit	блокування		N;INAN;NOM;NEUT;SG
kilit	блокує	kilit	блокувати		V;IPFV;IND;SG;3;PRS;FIN
kilit	замки	kilit	замок		N;INAN;NOM;MASC;PL
kıdemli	стаж	kıdemli	стаж		N;INAN;NOM;MASC;SG
kıdemli	старший	kıdemli	старший		ADJ;NOM;CMPR;MASC;SG
kıdemli	сеньйор	kıdemli	сеньйор		N;ANIM;NOM;MASC;SG
sektörü	сектор	sektör	сектор		N;INAN;NOM;MASC;SG
igor	єгор	igor	єгор		PROPN;ANIM;NOM;MASC;SG
igor	ігор	igor	гра		PROPN;ANIM;NOM;FEM;SG
igor	ігоре	igor	ігоре		
miles	кілометрів	miles	кілометр		N;INAN;GEN;MASC;PL
tecrübeli	досвідчений	tecrübeli	досвідчений		ADJ;NOM;MASC;SG
tecrübeli	досвідчені	tecrübeli	досвідчений		ADJ;NOM;PL
tecrübeli	досвідченого	tecrübeli	досвідчений		ADJ;GEN;MASC;SG
tecrübeli	досвідчених	tecrübeli	досвідчений		ADJ;ANIM;ACC;PL
borç	борги	borç	борг		N;INAN;NOM;MASC;PL
borç	борг	borç	борг		N;INAN;NOM;MASC;SG
borç	кредитні	borç	кредитний		ADJ;NOM;PL
borç	кредит	borç	кредит		N;INAN;NOM;MASC;SG
borç	кредиту	borç	кредит		N;INAN;GEN;MASC;SG
borç	борг	borç	борг		N;INAN;NOM;MASC;SG
borç	боргу	borç	борг		N;INAN;GEN;MASC;SG
aralıklarla	проміжки	aralık	проміжка	N;INS;PL;3	N;INAN;NOM;FEM;PL
yönetmenlik	керує	yönetmenlik	керувати	N;NOM;SG;3	V;IPFV;IND;SG;3;PRS;FIN
viktor	віктор	viktor	віктор		PROPN;ANIM;NOM;MASC;SG
sincan	сіньцзян	sincan	сіньцзянин	PROPN;NOM;SG;3	N;INAN;NOM;NEUT;SG
claire	клер	claire	клер		PROPN;ANIM;NOM;FEM;SG
étienne	етьєн	üt	етьєн		
spurs	сперс	spurs	сперс	PROPN;NOM;SG;3	
çifti	пара	çift	пара	ADJ;NOM;SG;3	N;INAN;NOM;FEM;SG
çifti	пари	çift	пара	ADJ;NOM;SG;3	N;INAN;NOM;FEM;PL
çifti	пара	çift	пара	ADJ;NOM;SG;3	N;INAN;NOM;FEM;SG
çifti	парочка	çift	парочка	ADJ;NOM;SG;3	N;INAN;NOM;FEM;SG
tanık	свідки	tanık	свідки		N;ANIM;NOM;MASC;PL
tanık	свідок	tanık	свідок		N;ANIM;NOM;MASC;SG
tanık	вдавалось	tanık	вдаватися		V;IPFV;NEUT;IND;SG;PST;FIN
belarus	білорусі	belarus	білорусь	PROPN;NOM;SG;3	PROPN;INAN;NOM;FEM;SG
belarus	білорусь	belarus	білорися	PROPN;NOM;SG;3	PROPN;INAN;NOM;MASC;SG
periyodik	періодична	periyodik	періодичний		ADJ;NOM;FEM;SG
periyodik	регулярні	periyodik	регулярний		ADJ;NOM;PL
çömlek	кераміка	çömlek	кераміка		N;INAN;NOM;FEM;SG
diziler	масивів	dizi	масив	N;NOM;PL;3	N;INAN;GEN;MASC;PL
asistanı	помічники	asistan	помічник	N;ACC;SG;3	N;ANIM;NOM;MASC;PL
asistanı	помічник	asistan	помічник	N;ACC;SG;3	N;ANIM;NOM;MASC;SG
aileleri	сімей	aile	сім’я	N;ACC;PL;3	N;INAN;GEN;FEM;PL
aileleri	родини	aile	родина	N;ACC;PL;3	N;INAN;NOM;FEM;PL
falcon	falcon	falcon	falcon		
falcon	сокіл	falcon	сокіл		N;INAN;NOM;MASC;SG
jamie	джеймі	jamie	джейм		PROPN;ANIM;NOM;MASC;SG
boğa	taurus	boğa	taurus		
boğa	бик	boğa	бик		N;ANIM;NOM;MASC;SG
boğa	бул	boğa	бути		
boğa	бика	boğa	бико		N;ANIM;ACC;MASC;SG
boğa	булл	boğa	булл		N;INAN;NOM;MASC;SG
oranları	курси	oran	курс	N;ACC;PL;3	N;INAN;NOM;MASC;PL
oranları	швидкостей	oran	швидкостея	N;ACC;PL;3	N;INAN;GEN;FEM;PL
norveçli	норвезька	norveçli	норвезький		ADJ;NOM;FEM;SG
mutfak	кухня	mutfak	кухня		N;INAN;NOM;FEM;SG
mutfak	кухні	mutfak	кухня		N;INAN;NOM;FEM;PL
mutfak	кухня	mutfak	кухня		N;INAN;NOM;FEM;SG
mutfak	кухню	mutfak	кухня		N;INAN;ACC;FEM;SG
eleştirmen	критик	eleştir	критик		N;ANIM;NOM;MASC;SG
gilbert	гілберт	gilbert	гілберт		PROPN;ANIM;NOM;MASC;SG
spartak	спартак	spartak	спартак		N;INAN;NOM;MASC;SG
carolina	кароліна	carol	каролін	PROPN;NOM;SG;3	N;INAN;NOM;FEM;SG
cihazlar	пристроями	cihaz	пристрій	N;NOM;PL;3	N;INAN;INS;MASC;PL
