relativity	relativnost	relativita	relativnost	N;NOM;FEM;PL	N;NOM;FEM;SG
zmenilo	spremenjen	zmeniť	spremenjen	V;PFV;NEUT;SG;POS;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
zmenilo	spremenjeno	zmeniť	spremenjen	V;PFV;NEUT;SG;POS;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
vysvetľuje	razloži	vysvetľovať	razložiti	V;IPFV;IND;SG;3;POS;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
vysvetľuje	razlaga	vysvetľovať	razlagati	V;IPFV;IND;SG;3;POS;PRS;FIN	N;NOM;FEM;SG
piloti	pilote	piloti	pilota	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
srsť	dlake	srsť	dlaka	N;NOM;FEM;SG	N;NOM;FEM;PL
srsť	lasje	srsť	las	N;NOM;FEM;SG	N;NOM;MASC;PL
srsť	lase	srsť	las	N;NOM;FEM;SG	N;ACC;MASC;PL
srsť	dlako	srsť	dlako	N;NOM;FEM;SG	N;ACC;FEM;SG
srsť	krzno	srsť	krzno	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
najdlhšie	najdaljši	mlý	dolg	ADV;RL	ADJ;NOM;DEF;RL;MASC;SG
najdlhšie	najdaljša	mlý	dolg	ADV;RL	ADJ;NOM;RL;FEM;SG
najdlhšie	najdaljše	mlý	dolg	ADV;RL	ADJ;NOM;RL;NEUT;SG
prezývku	vzdevek	prezývka	vzdevek	N;ACC;FEM;SG	N;NOM;MASC;SG
vráti	vračanje	vrátiť	vračanje	V;PFV;IND;SG;3;POS;PRS;FIN	N;NOM;NEUT;SG
miss	gospodična	miss	gospodičen		ADJ;NOM;FEM;SG
miss	miss	miss	miss		N;NOM;FEM;SG
kuba	kubo	kuba	kuba	N;INAN;NOM;MASC;SG	PROPN;ACC;FEM;SG
kuba	kubi	kuba	kubiti	N;INAN;NOM;MASC;SG	N;DAT;FEM;SG
bolesti	bolečino	bolesť	bolečina	N;NOM;FEM;PL	N;ACC;FEM;SG
bolesti	bolečina	bolesť	bolečina	N;NOM;FEM;PL	N;NOM;FEM;SG
opereta	opereto	operet	operet	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG;V.PTCP
stanovisko	mnenja	stanovisko	mnenje	N;NOM;NEUT;SG	N;NOM;NEUT;PL
alojz	alojz	alojz	alojz	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
imagesize	imagesize	imagesiza	imagesiza	N;NOM;FEM;SG	
pekingu	peking	peking	peking	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
pekingu	pekingu	peking	peking	N;INAN;GEN;MASC;SG	N;DAT;MASC;SG
pekingu	peking	peking	peking	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
faktorov	faktorji	faktor	faktor	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
faktorov	dejavniki	faktor	dejavnik	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
ostáva	ostanke	ostávať	ostanek	V;IPFV;IND;SG;3;POS;PRS;FIN	N;ACC;MASC;PL
ostáva	ostane	ostávať	ostati	V;IPFV;IND;SG;3;POS;PRS;FIN	V;PFV;IND;SG;3;PRS;FIN
nevyhnutné	neizbežno	nevyhnutný	neizbežno	ADJ;NOM;NEUT;SG	ADV
nevyhnutné	neizogibno	nevyhnutný	neizogiben	ADJ;NOM;NEUT;SG	ADV
nevyhnutné	neizbežno	nevyhnutný	neizbežno	ADJ;NOM;NEUT;SG	ADV
nevyhnutné	neizogibno	nevyhnutný	neizogiben	ADJ;NOM;NEUT;SG	ADV
nevyhnutné	bistveno	nevyhnutný	bistveno	ADJ;NOM;NEUT;SG	ADV
nevyhnutné	bistvene	nevyhnutný	bistven	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
zatknutý	aretacije	zatknutý	aretacija	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	N;NOM;FEM;PL
zatknutý	aretacija	zatknutý	aretacija	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	N;NOM;FEM;SG
zatknutý	prijetje	zatknutý	prijetje	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	N;NOM;NEUT;SG
zatknutý	aretirani	zatknutý	aretiran	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;NOM;MASC;PL;V.PTCP
zatknutý	aretirali	zatknutý	aretirati	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP
vonkajší	zunanje	vonkajší	zunanji	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;FEM;PL
aplikácií	vloge	aplikácia	vloga	N;GEN;FEM;PL	N;NOM;FEM;PL
aplikácií	prošnje	aplikácia	prošnja	N;GEN;FEM;PL	N;NOM;FEM;PL
aplikácií	prijave	aplikácia	prijava	N;GEN;FEM;PL	N;NOM;FEM;PL
aplikácií	aplikacije	aplikácia	aplikacija	N;GEN;FEM;PL	N;NOM;FEM;PL
aplikácií	aplikacije	aplikácia	aplikacija	N;GEN;FEM;PL	N;NOM;FEM;PL
molekúl	molekul	molekúť	molekul	N;GEN;FEM;PL	N;NOM;MASC;SG
molekúl	molekule	molekúť	molekol	N;GEN;FEM;PL	N;NOM;FEM;PL
jedine	le	jedine	le	ADV	PART
jedine	samo	jedine	samo	ADV	PART
večné	večno	večný	večen	ADJ;NOM;NEUT;SG	ADV
nic	nič	nic	nič	INTJ	PRO;NOM;NEUT;SG
nic	nic	nic	nic	INTJ	V;PFV;IND;SG;FIN
nástroja	inštrument	nástroj	inštrument	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
nástroja	instrument	nástroj	instrument	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
nástroja	orodje	nástroj	orodje	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
tennessee	tennessee	tennessa	tennesse	ADV	PROPN;NOM;MASC;SG
techniku	tehnika	technik	tehnika	N;ACC;FEM;SG	N;NOM;FEM;SG
raymond	raymond	raymond	raymond	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
cicavcov	sesalcev	cicavec	sesalec	N;ANIM;ACC;MASC;PL	N;GEN;MASC;PL
cicavcov	sesalci	cicavec	sesalec	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
cicavcov	sesalec	cicavec	sesalec	N;ANIM;ACC;MASC;PL	N;NOM;MASC;SG
public	javnosti	publica	javnost	N;NOM;FEM;SG	N;GEN;FEM;SG
public	javna	publica	javen	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
public	javno	publica	javno	N;NOM;FEM;SG	ADV
príznaky	znake	príznak	znak	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
príznaky	znakov	príznak	znak	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
prijatá	prejeti	prijatý	prejeti	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;NFIN
prijatá	sprejete	prijatý	sprejet	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;NOM;FEM;PL;V.PTCP
joan	joan	joan	joan	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
rozhodnuté	odločil	rozhodnutý	odločiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;V.PTCP
rozhodnuté	odločila	rozhodnutý	odločiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;V.PTCP
rozhodnuté	odločili	rozhodnutý	odločiti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;PL;V.PTCP
múr	steno	múr	stena	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
texase	teksas	texasa	teksas	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
texase	texas	texasa	texas	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
stráže	straža	stráža	straž	N;NOM;FEM;PL	N;NOM;FEM;SG
rozsiahly	obširno	rozsiahly	obširen	ADJ;INAN;NOM;MASC;SG	ADV
rozsiahly	obsežno	rozsiahly	obsežno	ADJ;INAN;NOM;MASC;SG	ADV
rozsiahly	obsežne	rozsiahly	obsežen	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;FEM;PL
edwards	edwards	edwards	edwards	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
financie	financiranje	financie	financiranje	N;NOM;FEM;PL	N;NOM;NEUT;SG
nedeľu	nedeljsko	nedeľa	nedeljsko	N;ACC;FEM;SG	ADJ;NOM;NEUT;SG
nedeľu	nedelje	nedeľa	nedelje	N;ACC;FEM;SG	N;NOM;FEM;PL
nedeľu	nedeljski	nedeľa	nedeljski	N;ACC;FEM;SG	ADJ;NOM;MASC;SG
nedeľu	nedelja	nedeľa	nedeljati	N;ACC;FEM;SG	N;NOM;FEM;SG
pomocný	pomožne	pomocný	pomožen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
maďarov	madžari	maďar	madžara	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
ibm	ibm	ibm	ibma		PROPN;NOM;MASC;SG
kľúč	ključno	kľúč	ključen	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
ochorenie	bolezni	ochorenie	bolezen	N;NOM;NEUT;SG	N;NOM;FEM;PL
ochorenie	bolezni	ochorenie	bolezen	N;NOM;NEUT;SG	N;NOM;FEM;PL
ochorenie	bolezni	ochorenie	bolezen	N;NOM;NEUT;SG	N;NOM;FEM;PL
kostolov	cerkva	kostol	cerkva	N;INAN;GEN;MASC;PL	N;GEN;FEM;SG
kostolov	cerkve	kostol	cerkev	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
nadal	nadal	nadať	nadati	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
jacob	jakob	jacob	jakob	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
jacob	jacob	jacob	jacob	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
ťažba	ekstrakcijo	ťažba	ekstrakcija	N;NOM;FEM;SG	N;ACC;FEM;SG
lesné	gozda	lesný	gozd	ADJ;NOM;NEUT;SG	N;GEN;MASC;SG
lesné	gozd	lesný	gozd	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
lesné	gozdovi	lesný	gozd	ADJ;NOM;NEUT;SG	N;NOM;MASC;PL
centrá	centrov	centrá	center	N;NOM;NEUT;PL	N;GEN;MASC;PL
indonézie	indonezija	indonézia	indonezija	N;NOM;FEM;PL	N;NOM;FEM;SG
vlastná	lastne	vlastný	lasten	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
vlastná	lastni	vlastný	lasten	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
vlastná	običaj	vlastný	običaj	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
ministrov	ministri	minister	minister	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
ministrov	ministrski	minister	ministrski	N;INAN;GEN;MASC;PL	ADJ;NOM;MASC;SG
múzeá	muzeje	múzeum	muzej	N;NOM;NEUT;PL	N;ACC;MASC;PL
šírenie	razširi	šírenie	razšir	N;NOM;NEUT;SG	V;PFV;IND;SG;3;PRS;FIN
kyselín	kisline	kyselina	kislina	N;GEN;FEM;PL	N;NOM;FEM;PL
benz	benz	bena	benz	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
zeman	zeman	zeman	zeman	N;ANIM;NOM;MASC;SG	
phoenix	phoenix	phoenix	phoenixa	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
gilmour	gilmour	gilmour	gilmour	N;INS;FEM;SG	N;NOM;MASC;SG
rozvíjať	razviti	rozvíjať	razviti	V;IPFV;POS;NFIN	V;PFV;NFIN
populárny	priljubljene	populárny	priljubljen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
populárny	priljubljeno	populárny	priljubljen	ADJ;ANIM;NOM;MASC;SG	ADV
populárny	priljubljeni	populárny	priljubljen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;PL
metre	metrov	meter	meter	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
metre	podzemna	meter	podzemen	N;INAN;NOM;MASC;PL	ADJ;NOM;FEM;SG
metre	podzemni	meter	podzemen	N;INAN;NOM;MASC;PL	ADJ;NOM;MASC;SG
metre	podzemno	meter	podzemen	N;INAN;NOM;MASC;PL	ADV
metre	metrov	meter	meter	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
rak	raku	rak	rak	PROPN;ANIM;NOM;MASC;SG	N;DAT;MASC;SG
rak	rak	rak	rak	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
rak	raka	rak	rak	PROPN;ANIM;NOM;MASC;SG	N;GEN;MASC;SG
obavy	strahove	obava	strah	N;NOM;FEM;PL	N;ACC;MASC;PL
obavy	zaskrbljenost	obava	zaskrbljenost	N;NOM;FEM;PL	N;NOM;FEM;SG
obavy	skrb	obava	skrb	N;NOM;FEM;PL	N;NOM;FEM;SG
obavy	zaskrbljenost	obava	zaskrbljenost	N;NOM;FEM;PL	N;NOM;FEM;SG
verlag	verlag	verlag	verlag	PROPN;ANIM;NOM;MASC;SG	
cit	cit	cit	cit	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
dlhší	dlje	dlhý	dolgo	ADJ;ANIM;NOM;CMPR;MASC;SG	ADV;CMPR
minútu	minuta	minúta	minuta	N;ACC;FEM;SG	N;NOM;FEM;SG
register	registrira	register	registrirati	N;INAN;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
bosna	bosna	bosna	bosen	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
tvoje	tvoje	tvoj	tvoj	DET;NOM;NEUT;SG;2	DET;NOM;NEUT;SG;1
tvoje	tvoji	tvoj	tvoj	DET;NOM;NEUT;SG;2	DET;NOM;MASC;SG;1
tvoje	vaš	tvoj	vaš	DET;NOM;NEUT;SG;2	DET;NOM;MASC;SG;2
tvoje	tvoj	tvoj	tvoj	DET;NOM;NEUT;SG;2	DET;NOM;MASC;SG;1
tvoje	tvoja	tvoj	tvoj	DET;NOM;NEUT;SG;2	DET;NOM;FEM;SG;1
tvoje	vaša	tvoj	vaš	DET;NOM;NEUT;SG;2	DET;NOM;FEM;SG;2
tvoje	tvojo	tvoj	tvoj	DET;NOM;NEUT;SG;2	DET;NOM;NEUT;SG;1
tvoje	tvoje	tvoj	tvoj	DET;NOM;NEUT;SG;2	DET;NOM;NEUT;SG;1
tvoje	tvoj	tvoj	tvoj	DET;NOM;NEUT;SG;2	DET;NOM;MASC;SG;1
tvoje	tvoji	tvoj	tvoj	DET;NOM;NEUT;SG;2	DET;NOM;MASC;SG;1
tvoje	tvoja	tvoj	tvoj	DET;NOM;NEUT;SG;2	DET;NOM;FEM;SG;1
maximum	največja	maximum	velik	N;INAN;NOM;MASC;SG	ADJ;NOM;RL;FEM;SG
coa	coa	coa	coa	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
cas	cas	cas	cas	INTJ	N;NOM;MASC;SG
cas	cass	cas	cass	INTJ	N;NOM;MASC;SG
prijaté	vzet	prijatý	vzet	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NFIN
prijaté	prejeti	prijatý	prejeti	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NFIN
prijaté	sprejete	prijatý	sprejet	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;NOM;FEM;PL;V.PTCP
dno	spodaj	dno	spodaj	N;NOM;NEUT;SG	ADV
dôstojníkov	častniki	dôstojník	častnik	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
dôstojníkov	policisti	dôstojník	policist	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
dôstojníkov	oficirji	dôstojník	oficir	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
frederick	frederick	frederick	frederick	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
zrážky	trčenje	zrážok	trčenje	N;NOM;FEM;PL	N;NOM;NEUT;SG
zrážky	trk	zrážok	trk	N;NOM;FEM;PL	N;NOM;MASC;SG
zrážky	padavin	zrážok	padavina	N;NOM;FEM;PL	N;GEN;FEM;PL
alberto	alberto	alberto	alberta	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
byzantský	bizantinski	byzantský	bizantinski	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;PL
russell	russell	russell	russeli	PROPN;ANIM;NOM;MASC;SG	
kopca	navzgor	kopec	navzgor	N;INAN;GEN;MASC;SG	ADV
kopca	hrib	kopec	hrib	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
kopca	grič	kopec	grič	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
kopca	hill	kopec	hill	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
kritici	kritiki	kritica	kritika	N;ANIM;NOM;MASC;PL	N;NOM;FEM;SG
autorstvo	avtorstva	autorstvo	avtorstvo	N;NOM;NEUT;SG	N;GEN;NEUT;SG
možná	možne	možný	možen	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
slávny	znani	slávny	znan	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
brazílie	brazilija	brazília	brazilij	N;NOM;FEM;PL	N;NOM;FEM;SG
nezávislých	neodvisen	nezávislý	neodvisen	ADJ;ANIM;GEN;MASC;PL	ADJ;NOM;INDF;MASC;SG
nezávislých	samostojna	nezávislý	samostojen	ADJ;ANIM;GEN;MASC;PL	ADJ;NOM;FEM;SG
nezávislých	samostojno	nezávislý	samostojen	ADJ;ANIM;GEN;MASC;PL	ADV
nezávislých	neodvisni	nezávislý	neodvisen	ADJ;ANIM;GEN;MASC;PL	ADJ;NOM;MASC;PL
nezávislých	neodvisno	nezávislý	neodvisen	ADJ;ANIM;GEN;MASC;PL	ADV
nezávislých	neodvisna	nezávislý	neodvisen	ADJ;ANIM;GEN;MASC;PL	ADJ;NOM;FEM;SG
planétu	planet	planéta	planet	N;ACC;FEM;SG	N;NOM;MASC;SG
planétu	planeta	planéta	planet	N;ACC;FEM;SG	N;NOM;MASC;SG
spoločenský	socialne	spoločenský	socialen	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
arnold	arnold	arnold	arnold	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
ľahšie	lažji	ľahko	lahek	ADV;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
ľahšie	enostavneje	ľahko	enostavno	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
ľahšie	lažja	ľahko	lahek	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
reaguje	odzivnost	reagovať	odzivnost	V;IPFV;IND;SG;3;POS;PRS;FIN	N;NOM;FEM;SG
harold	harold	harold	harold	PROPN;ANIM;NOM;MASC;SG	
studio	atelje	studio	atelj	INTJ	N;NOM;MASC;SG
studio	studio	studio	studio	INTJ	N;NOM;MASC;SG
bohuslav	bohuslav	bohuslav	bohuslav	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
černych	černih	černy	čeren	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
podporovať	podporo	podporovať	podpora	V;IPFV;POS;NFIN	N;ACC;FEM;SG
podporovať	podpore	podporovať	podpora	V;IPFV;POS;NFIN	N;NOM;FEM;PL
podporovať	podpora	podporovať	podpora	V;IPFV;POS;NFIN	N;NOM;FEM;SG
podporovať	spodbudi	podporovať	spodbuditi	V;IPFV;POS;NFIN	V;PFV;IND;SG;3;PRS;FIN
ľudmila	ljudmila	ľudmiť	ljudmil	N;ANIM;NOM;MASC;SG	V;FEM;SG;V.PTCP
nepriamo	posredne	nepriamo	posreden	ADV	ADJ;NOM;FEM;PL
nepriamo	posredna	nepriamo	posreden	ADV	ADJ;NOM;FEM;SG
pápeži	papežev	pápež	papež	N;ANIM;NOM;MASC;PL	N;GEN;MASC;PL
povedomia	ozaveščenost	povedomie	ozaveščenost	N;NOM;NEUT;PL	N;NOM;FEM;SG
povedomia	zavedanje	povedomie	zavedanje	N;NOM;NEUT;PL	N;NOM;NEUT;SG
povedomia	zavest	povedomie	zavest	N;NOM;NEUT;PL	N;NOM;FEM;SG
občianskeho	državljanska	občiansky	državljanski	ADJ;GEN;NEUT;SG	ADJ;NOM;FEM;SG
občianskeho	civic	občiansky	civica	ADJ;GEN;NEUT;SG	N;NOM;MASC;SG
blízkom	sredina	blízky	sredina	ADJ;INS;NEUT;SG	N;NOM;FEM;SG
blízkom	srednji	blízky	srednji	ADJ;INS;NEUT;SG	ADJ;NOM;DEF;MASC;SG
blízkom	srednja	blízky	srednji	ADJ;INS;NEUT;SG	ADJ;NOM;FEM;SG
vlk	volka	vlk	volka	N;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
vlk	wolf	vlk	wolf	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
vlk	volčji	vlk	volčja	N;ANIM;NOM;MASC;SG	ADJ;NOM;DEF;CMPR;MASC;SG
chemická	kemikalija	chemický	kemikalija	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
zur	zur	zur	zur	PROPN;ANIM;NOM;MASC;SG	
kongresu	kongres	kongresa	kongres	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
kongresu	kongresu	kongresa	kongres	N;INAN;GEN;MASC;SG	N;DAT;MASC;SG
lászló	lászló	lászló	lrszel	N;ANIM;NOM;MASC;SG	
námornej	pomorski	námorný	pomorski	ADJ;GEN;FEM;SG	ADJ;NOM;DEF;MASC;SG
námornej	pomorsko	námorný	pomorski	ADJ;GEN;FEM;SG	ADJ;NOM;NEUT;SG
námornej	pomorske	námorný	pomorski	ADJ;GEN;FEM;SG	ADJ;NOM;FEM;PL
pevný	trdni	pevný	trden	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;PL
pevný	trdne	pevný	trden	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
pevný	trdno	pevný	trdno	ADJ;ANIM;NOM;MASC;SG	ADV
zahraničné	tuje	zahraničný	tuj	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
zahraničné	tuji	zahraničný	tuj	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
stuttgart	stuttgart	stuttgart	stuttgart	PROPN;INAN;NOM;MASC;SG	
