til	pour	til	pour	ADV	ADP
danske	danoise	dansk	danois	ADJ;PL	ADJ;FEM;SG
danske	danske	dansk	danske	ADJ;PL	PROPN
senere	ultérieur	senere	ultérieur	ADV;CMPR	ADJ;MASC;SG
kun	seul	kun	seul	ADV	ADJ;MASC;SG
kun	seule	kun	seul	ADV	ADJ;FEM;SG
tidligere	ancien	tidligere	ancien	ADV;CMPR	ADJ;MASC;SG
tidligere	ancienne	tidligere	ancien	ADV;CMPR	ADJ;FEM;SG
tidligere	précédentes	tidligere	précédent	ADV;CMPR	ADJ;FEM;PL
tidligere	précédente	tidligere	précédent	ADV;CMPR	ADJ;FEM;SG
tidligere	précédent	tidligere	précédent	ADV;CMPR	ADJ;MASC;SG
tidligere	précédents	tidligere	précédent	ADV;CMPR	ADJ;MASC;PL
siden	depuis	siden	depuis	ADV	ADP
siden	puisque	siden	puisque	ADV	CONJ
siden	pages	siden	page	ADV	N;FEM;PL
siden	page	siden	page	ADV	N;FEM;SG
skal	devrait	skulle	devoir	V;IND;PRS;FIN;ACT	V;COND;SG;3;PRS;FIN
skal	devraient	skulle	devoir	V;IND;PRS;FIN;ACT	V;COND;PL;3;PRS;FIN
skal	devrais	skulle	devoir	V;IND;PRS;FIN;ACT	V;COND;SG;1;PRS;FIN
skal	coquillage	skulle	coquillage	V;IND;PRS;FIN;ACT	N;MASC;SG
skal	coquille	skulle	coquille	V;IND;PRS;FIN;ACT	N;FEM;SG
skal	shell	skulle	shell	V;IND;PRS;FIN;ACT	N;MASC;SG
skal	moût	skulle	moût	V;IND;PRS;FIN;ACT	N;MASC;SG
skal	devez	skulle	devoir	V;IND;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
have	jardins	have	jardin	V;NFIN;ACT	N;MASC;PL
have	jardin	have	jardin	V;NFIN;ACT	N;MASC;SG
have	ont	have	avoir	V;NFIN;ACT	V;IND;PL;3;PRS;FIN
store	grande	stor	grand	ADJ;PL	ADJ;FEM;SG
store	grand	stor	grand	ADJ;PL	ADJ;MASC;SG
store	gros	stor	gros	ADJ;PL	ADJ;MASC;SG
store	grosse	stor	gros	ADJ;PL	ADJ;FEM;SG
store	grande	stor	grand	ADJ;PL	ADJ;FEM;SG
store	big	stor	big	ADJ;PL	INTJ
store	grand	stor	grand	ADJ;PL	ADJ;MASC;SG
meget	très	meget	très	ADJ;INDF;SG	ADV
meget	trés	meget	trés	ADJ;INDF;SG	ADV
meget	much	meget	much	ADJ;INDF;SG	INTJ
meget	beaucoup	meget	beaucoup	ADJ;INDF;SG	ADV
sammen	together	sammen	together	ADV	PROPN
samme	pareil	samme	pareil	ADJ	INTJ
samme	meme	samme	même	ADJ	INTJ
samme	même	samme	même	ADJ	ADV
vil	will	ville	will	V;IND;PRS;FIN;ACT	PROPN
vil	volonté	ville	volonté	V;IND;PRS;FIN;ACT	N;FEM;SG
vil	fera	ville	faire	V;IND;PRS;FIN;ACT	V;IND;SG;3;FUT;FIN
vil	sera	ville	être	V;IND;PRS;FIN;ACT	V;IND;SG;3;FUT;FIN
vil	envie	ville	envie	V;IND;PRS;FIN;ACT	N;FEM;SG
vil	voulez	ville	vouloir	V;IND;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
seed	graine	seed	graine		N;FEM;SG
seed	semences	seed	semence		N;FEM;PL
seed	seed	seed	seed		PROPN
seed	graines	seed	graine		N;FEM;PL
seed	semence	seed	semence		N;FEM;SG
selv	meme	selv	même	PRO	INTJ
selv	même	selv	même	PRO	ADV
københavn	copenhague	københavn	copenhague	PROPN	PROPN
kom	viens	komme	venir	V;IND;PST;FIN;ACT	V;IND;SG;1;PRS;FIN
kom	venez	komme	venir	V;IND;PST;FIN;ACT	V;IMP;PL;2;PRS;FIN
skulle	devrait	skulle	devoir	V;IND;PST;FIN;ACT	V;COND;SG;3;PRS;FIN
skulle	devraient	skulle	devoir	V;IND;PST;FIN;ACT	V;COND;PL;3;PRS;FIN
skulle	devrais	skulle	devoir	V;IND;PST;FIN;ACT	V;COND;SG;1;PRS;FIN
and	canards	and	canard		N;MASC;PL
and	canard	and	canard		N;MASC;SG
and	duck	and	duck		PROPN
tre	tre	tre	tre	NUM	
tre	three	tre	three	NUM	PROPN
blandt	parmis	blandt	parmettre	ADP	INTJ
byen	villes	by	ville	N;DEF;MASC+FEM;SG	N;FEM;PL
maj	may	maj	may	N;INDF;MASC+FEM;SG	PROPN
maj	peut	maj	pouvoir	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
anden	second	anden	second	PRO;MASC+FEM;SG	ADJ;MASC;SG
anden	deuxième	anden	deuxième	PRO;MASC+FEM;SG	ADJ;MASC;SG
anden	deuxieme	anden	deuxieme	PRO;MASC+FEM;SG	ADJ;MASC;SG
anden	seconde	anden	second	PRO;MASC+FEM;SG	ADJ;FEM;SG
andet	second	anden	second	PRO;NEUT;SG	ADJ;MASC;SG
andet	deuxième	anden	deuxième	PRO;NEUT;SG	ADJ;MASC;SG
andet	deuxieme	anden	deuxieme	PRO;NEUT;SG	ADJ;MASC;SG
andet	seconde	anden	second	PRO;NEUT;SG	ADJ;FEM;SG
andet	autres	anden	autre	PRO;NEUT;SG	PRO;PL
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	PROPN
her	voilà	her	voilà	ADV	V
her	voici	her	voici	ADV	V
tilbage	dos	tilbage	dos	ADV	N;MASC;SG
tilbage	arrière	tilbage	arrière	ADV	N;MASC;SG
tilbage	retour	tilbage	retour	ADV	N;MASC;SG
tilbage	revenir	tilbage	revenir	ADV	V;NFIN
cest	cest	cest	cest		
død	death	død	death	N;INDF;MASC+FEM;SG	PROPN
død	mort	død	mourir	N;INDF;MASC+FEM;SG	V;MASC;SG;PST;V.PTCP
død	morts	død	mourir	N;INDF;MASC+FEM;SG	V;MASC;PL;PST;V.PTCP
død	morte	død	mourir	N;INDF;MASC+FEM;SG	V;FEM;SG;PST;V.PTCP
død	mort	død	mourir	N;INDF;MASC+FEM;SG	V;MASC;SG;PST;V.PTCP
forskellige	différente	forskellig	différent	ADJ;PL	ADJ;FEM;SG
forskellige	différent	forskellig	différent	ADJ;PL	ADJ;MASC;SG
nye	nouveau	ny	nouveau	ADJ;PL	ADJ;MASC;SG
nye	nouvelle	ny	nouveau	ADJ;PL	ADJ;FEM;SG
nye	nouveautés	ny	nouveauté	ADJ;PL	N;FEM;PL
både	bateaux	både	bateau	ADV	N;MASC;PL
både	both	både	both	ADV	PROPN
gennem	via	gennem	via	ADV	ADP
gennem	via	gennem	via	ADV	ADP
stor	grands	stor	grand	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
stor	grandes	stor	grand	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
stor	big	stor	big	ADJ;INDF;MASC+FEM;SG	INTJ
stor	super	stor	super	ADJ;INDF;MASC+FEM;SG	ADV
usa	amerique	usa	amerique	PROPN	ADJ;MASC;SG
usa	amérique	usa	amérique	PROPN	ADJ;MASC;SG
usa	usa	usa	usa	PROPN	PROPN
uden	sans	uden	sans	ADV	ADP
hold	tiens	holde	tenir	V;IMP	INTJ
hold	équipes	holde	équipe	V;IMP	N;FEM;PL
hold	equipes	holde	equipe	V;IMP	N;MASC;PL
hold	équipe	holde	équipe	V;IMP	N;FEM;SG
hold	equipe	holde	equipe	V;IMP	N;FEM;SG
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	PROPN
kendt	connues	kendt	connaître	ADJ;INDF;SG	V;FEM;PL;PST;V.PTCP
kendt	connue	kendt	connaître	ADJ;INDF;SG	V;FEM;SG;PST;V.PTCP
kendt	connus	kendt	connaître	ADJ;INDF;SG	V;MASC;PL;PST;V.PTCP
kendt	connu	kendt	connaître	ADJ;INDF;SG	V;MASC;SG;PST;V.PTCP
kendt	célèbres	kendt	célèbre	ADJ;INDF;SG	ADJ;MASC;PL
før	avant	før	avant	ADV	ADP
hvilket	lesquels	hvilken	lequel	PRO;NEUT;SG	PRO;MASC;PL
hvilket	laquelle	hvilken	lequel	PRO;NEUT;SG	PRO;FEM;SG
hvilket	lequel	hvilken	lequel	PRO;NEUT;SG	PRO;MASC;SG
mest	most	mest	most	ADV;RL	PROPN
hele	entiers	hel	entier	ADJ;DEF;SG	ADJ;MASC;PL
juli	juli	juli	juli	N;INDF;MASC+FEM;SG	PROPN
række	lignes	række	ligne	N;INDF;MASC+FEM;SG	N;FEM;PL
række	rangées	række	rangée	N;INDF;MASC+FEM;SG	V;FEM;PL;PST;V.PTCP
række	rangs	række	rang	N;INDF;MASC+FEM;SG	N;MASC;PL
række	rangées	række	rangée	N;INDF;MASC+FEM;SG	V;FEM;PL;PST;V.PTCP
række	rangée	række	rangée	N;INDF;MASC+FEM;SG	V;FEM;SG;PST;V.PTCP
style	style	style	style		N;MASC;SG
navn	nommer	navn	nommer	N;INDF;NEUT;SG	V;NFIN
navn	noms	navn	nom	N;INDF;NEUT;SG	N;MASC;PL
ofte	fréquent	ofte	fréquent	ADV	ADJ;MASC;SG
jpg	jpg	jpg	jpg		N;MASC;SG
ville	serait	ville	être	V;IND;PST;FIN;ACT	V;COND;SG;3;PRS;FIN
ville	aurait	ville	avoir	V;IND;PST;FIN;ACT	V;COND;SG;3;PRS;FIN
ville	ferait	ville	faire	V;IND;PST;FIN;ACT	V;COND;SG;3;PRS;FIN
først	première	først	premier	ADV	ADJ;FEM;SG
først	premières	først	premier	ADV	ADJ;FEM;PL
først	premier	først	premier	ADV	ADJ;MASC;SG
først	premiers	først	premier	ADV	ADJ;MASC;PL
mål	cibles	mål	cible	N;INDF;NEUT;SG	N;FEM;PL
mål	cibler	mål	cibler	N;INDF;NEUT;SG	V;NFIN
mål	objectifs	mål	objectif	N;INDF;NEUT;SG	N;MASC;PL
mål	buts	mål	but	N;INDF;NEUT;SG	N;MASC;PL
mål	objectifs	mål	objectif	N;INDF;NEUT;SG	N;MASC;PL
mål	cibles	mål	cible	N;INDF;NEUT;SG	N;FEM;PL
film	cinéma	film	cinéma	N;INDF;MASC+FEM;PL	N;MASC;SG
film	ciné	film	ciné	N;INDF;MASC+FEM;PL	N;MASC;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;MASC;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;MASC;SG
noget	quelquechose	nogen	quelquechose	PRO;NEUT;SG	N;MASC;SG
tyske	allemand	tysk	allemand	ADJ;PL	N;MASC;SG
tyske	allemande	tysk	allemand	ADJ;PL	ADJ;FEM;SG
gik	marchaient	gå	marcher	V;IND;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
vandt	won	vinde	won	V;IND;PST;FIN;ACT	
inden	avant	inden	avant	ADV	ADP
mindre	mineures	mindre	mineur	ADV;CMPR	ADJ;FEM;PL
mindre	mineure	mindre	mineur	ADV;CMPR	ADJ;FEM;SG
mindre	mineur	mindre	mineur	ADV;CMPR	N;MASC;SG
christian	chrétiens	christian	chrétien		N;MASC;PL
christian	christianisme	christian	christianisme		N;MASC;SG
christian	chrétienne	christian	chrétien		ADJ;FEM;SG
christian	christian	christian	christian		PROPN
christian	chrétien	christian	chrétien		ADJ;MASC;SG
frem	forward	frem	forward	ADV	PROPN
alt	tout	al	tout	ADJ;NEUT;SG	PRO;MASC;SG
alt	toute	al	tout	ADJ;NEUT;SG	DET;FEM;SG
alt	toutes	al	tout	ADJ;NEUT;SG	PRO;FEM;PL
alt	tous	al	tout	ADJ;NEUT;SG	PRO;MASC;PL
alt	tout	al	tout	ADJ;NEUT;SG	PRO;MASC;SG
alt	all	al	all	ADJ;NEUT;SG	
side	pages	side	page	N;INDF;MASC+FEM;SG	N;FEM;PL
side	latéraux	side	latéral	N;INDF;MASC+FEM;SG	ADJ;MASC;PL
side	latérale	side	latéral	N;INDF;MASC+FEM;SG	ADJ;FEM;SG
medlem	membres	medlem	membre	N;INDF;NEUT;SG	N;MASC;PL
igen	again	igen	again	ADV	V
grund	raisons	grund	raison	N;INDF;NEUT;SG	N;FEM;PL
tog	train	tage	train	V;IND;PST;FIN;ACT	N;MASC;SG
tog	trains	tage	train	V;IND;PST;FIN;ACT	N;MASC;PL
amerikansk	américaines	amerikansk	américain	ADJ;INDF;SG	ADJ;FEM;PL
amerikansk	américains	amerikansk	américain	ADJ;INDF;SG	ADJ;MASC;PL
lille	petits	lille	petit	ADJ;SG	ADJ;MASC;PL
lille	petites	lille	petit	ADJ;SG	ADJ;FEM;PL
lille	peu	lille	peu	ADJ;SG	ADV
lille	lille	lille	lille	ADJ;SG	N;FEM;SG
not	not	not	not		PRO;SG;3
not	non	not	non		ADV
not	pas	not	pas		ADV;NEG
hendes	her	hendes	her	DET;3	PRO;SG;3
von	von	von	von		PROPN
hvad	quel	hvad	quel	PRO;SG	DET;MASC;SG
hvad	quelle	hvad	quel	PRO;SG	DET;FEM;SG
kort	cartes	kort	carte	ADJ;INDF;SG	N;FEM;PL
kort	plan	kort	plan	ADJ;INDF;SG	N;MASC;SG
kort	carte	kort	carte	ADJ;INDF;SG	N;FEM;SG
kort	courts	kort	court	ADJ;INDF;SG	ADJ;MASC;PL
kort	courtes	kort	court	ADJ;INDF;SG	ADJ;FEM;PL
kort	cartes	kort	carte	ADJ;INDF;SG	N;FEM;PL
kort	cartes	kort	carte	ADJ;INDF;SG	N;FEM;PL
udgivet	libérés	udgive	libérer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
udgivet	publiées	udgive	publier	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
udgivet	publiés	udgive	publier	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
helt	héro	helt	héro	ADV	N;MASC;SG
helt	héros	helt	héros	ADV	N;MASC;SG
helt	hero	helt	hero	ADV	N;MASC;SG
gamle	ancienne	gammel	ancien	ADJ;PL	ADJ;FEM;SG
gamle	ancien	gammel	ancien	ADJ;PL	ADJ;MASC;SG
gamle	vieux	gammel	vieux	ADJ;PL	ADJ;MASC;SG
gamle	vieille	gammel	vieux	ADJ;PL	ADJ;FEM;SG
isbn	isbn	isbn	isbn	N;INDF;MASC+FEM;SG	
gange	fois	gang	fois	N;INDF;MASC+FEM;PL	N;FEM;SG
bedste	best	god	best	ADJ;DEF;RL	PROPN
døde	morts	død	mourir	ADJ;PL	V;MASC;PL;PST;V.PTCP
døde	morte	død	mourir	ADJ;PL	V;FEM;SG;PST;V.PTCP
døde	dead	død	dead	ADJ;PL	N;MASC;SG
døde	mort	død	mourir	ADJ;PL	V;MASC;SG;PST;V.PTCP
døde	morte	død	mourir	ADJ;PL	V;FEM;SG;PST;V.PTCP
døde	décédé	død	décéder	ADJ;PL	V;MASC;SG;PST;V.PTCP
døde	mort	død	mourir	ADJ;PL	V;MASC;SG;PST;V.PTCP
amerikanske	américaine	amerikansk	américain	ADJ;PL	ADJ;FEM;SG
amerikanske	américain	amerikansk	américain	ADJ;PL	ADJ;MASC;SG
tysk	allemand	tysk	allemand	ADJ;INDF;SG	N;MASC;SG
tysk	allemands	tysk	allemand	ADJ;INDF;SG	ADJ;MASC;PL
meter	mètre	meter	mètre	N;INDF;MASC+FEM;PL	N;MASC;SG
meter	compteur	meter	compteur	N;INDF;MASC+FEM;PL	N;MASC;SG
meter	mètre	meter	mètre	N;INDF;MASC+FEM;PL	N;MASC;SG
tyskland	allemagne	tyskland	allemagne	PROPN	PROPN
lige	hétéro	lige	hétéro	ADV	N;MASC;SG
lige	égales	lige	égal	ADV	ADJ;FEM;PL
lige	égaux	lige	égal	ADV	ADJ;MASC;PL
lige	égal	lige	égal	ADV	ADJ;MASC;SG
lige	égale	lige	égal	ADV	ADJ;FEM;SG
spillet	gibier	spille	gibier	V;INDF;SG;PST;V.PTCP	N;MASC;SG
spillet	match	spille	match	V;INDF;SG;PST;V.PTCP	N;MASC;SG
spillet	jeu	spille	jeu	V;INDF;SG;PST;V.PTCP	N;MASC;SG
spillet	joués	spille	jouer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
spillet	jouées	spille	joué	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
peter	peter	peter	peter		PROPN
peter	pierre	peter	pierre		N;FEM;SG
hver	chaque	hver	chaque	PRO;MASC+FEM;SG	DET;FEM;SG
hver	chaque	hver	chaque	PRO;MASC+FEM;SG	DET;FEM;SG
allerede	déja	allerede	déja	ADV	
allerede	deja	allerede	deja	ADV	INTJ
allerede	dejà	allerede	dejà	ADV	
ingen	néant	ingen	néant	PRO;MASC+FEM;SG	N;MASC;SG
ingen	aucune	ingen	aucun	PRO;MASC+FEM;SG	DET;FEM;SG;NEG
ingen	personne	ingen	personne	PRO;MASC+FEM;SG	N;FEM;SG
historie	historique	historie	historique	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
engelsk	anglais	engelsk	anglais	ADJ;INDF;SG	N;MASC;SG
århundrede	siècles	århundrede	siècle	N;INDF;NEUT;SG	N;MASC;PL
stadig	still	stadig	still	ADV	PROPN
john	jean	john	jean	PROPN	PROPN
john	john	john	john	PROPN	PROPN
gift	mariées	gift	marier	ADJ;INDF;SG	V;FEM;PL;PST;V.PTCP
gift	mariés	gift	marier	ADJ;INDF;SG	V;MASC;PL;PST;V.PTCP
gift	mariée	gift	marier	ADJ;INDF;SG	V;FEM;SG;PST;V.PTCP
gift	marié	gift	marier	ADJ;INDF;SG	V;MASC;SG;PST;V.PTCP
gift	venin	gift	venin	ADJ;INDF;SG	N;MASC;SG
gift	empoisonné	gift	empoisonner	ADJ;INDF;SG	V;MASC;SG;PST;V.PTCP
gift	poisons	gift	poison	ADJ;INDF;SG	N;MASC;PL
gift	empoisonner	gift	empoisonner	ADJ;INDF;SG	V;NFIN
gift	poison	gift	poison	ADJ;INDF;SG	N;MASC;SG
center	centrer	center	centrer	N;INDF;NEUT;SG	V;NFIN
forhold	relations	forhold	relation	N;INDF;NEUT;SG	N;FEM;PL
spiller	joueurs	spille	joueur	V;IND;PRS;FIN;ACT	N;MASC;PL
spiller	joueur	spille	joueur	V;IND;PRS;FIN;ACT	N;MASC;SG
spiller	lecteur	spille	lecteur	V;IND;PRS;FIN;ACT	N;MASC;SG
kampe	combat	kamp	combat	N;INDF;MASC+FEM;PL	N;MASC;SG
kampe	bagarre	kamp	bagarre	N;INDF;MASC+FEM;PL	N;FEM;SG
går	marche	gå	marche	V;IND;PRS;FIN;ACT	N;FEM;SG
går	goes	gå	goe	V;IND;PRS;FIN;ACT	N;MASC;SG
går	promenades	gå	promenade	V;IND;PRS;FIN;ACT	N;FEM;PL
går	balades	gå	balade	V;IND;PRS;FIN;ACT	N;FEM;PL
fordi	parce	fordi	parce	CONJ	ADV
fordi	car	fordi	car	CONJ	CONJ
fordi	parceque	fordi	parceque	CONJ	
syd	méridional	syd	méridional	N;INDF	ADJ;MASC;SG
syd	syd	syd	syd	N;INDF	PROPN
skrevet	écrites	skrive	écrire	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
skrevet	écrits	skrive	écrit	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
sverige	suède	sverig	suède	ADJ;PL	N;FEM;SG
frederik	frederik	frederik	frederik	N;INDF;MASC+FEM;SG	PROPN
frederik	frédéric	frederik	frédéric	N;INDF;MASC+FEM;SG	PROPN
frankrig	france	frankrig	france		N;FEM;SG
ned	down	ned	down	ADV	PROPN
ned	descendre	ned	descendre	ADV	V;NFIN
ned	ned	ned	ned	ADV	PROPN
gjorde	did	gøre	did	V;IND;PST;FIN;ACT	
nogen	someone	nogen	someone	PRO;MASC+FEM;SG	N;MASC;SG
godt	bons	godt	bon	ADV	ADJ;MASC;PL
godt	bonne	godt	bon	ADV	ADJ;FEM;SG
godt	bon	godt	bon	ADV	ADJ;MASC;SG
godt	bonnes	godt	bon	ADV	ADJ;FEM;PL
arbejde	travaux	arbejde	travail	N;INDF;NEUT;SG	N;MASC;PL
arbejde	travailler	arbejde	travailler	N;INDF;NEUT;SG	V;NFIN
arbejde	travaillant	arbejde	travailler	N;INDF;NEUT;SG	V;PRS;V.PTCP
arbejde	travailler	arbejde	travailler	N;INDF;NEUT;SG	V;NFIN
land	terres	land	terre	N;INDF;NEUT;SG	N;FEM;PL
begge	both	begge	both	PRO;PL	PROPN
norge	norvège	norge	norvège	PROPN	ADJ;MASC;SG
europa	europe	europa	europe	PROPN	N;FEM;SG
europa	europa	europa	europa	PROPN	PROPN
england	angleterre	england	angleterre	PROPN	N;MASC;SG
player	joueur	play	joueur	N;INDF;MASC+FEM;PL	N;MASC;SG
player	lecteur	play	lecteur	N;INDF;MASC+FEM;PL	N;MASC;SG
børn	enfant	barn	enfant	N;INDF;NEUT;PL	N;MASC;SG
verden	mondial	verden	mondial	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
verden	mondiale	verden	mondial	N;INDF;MASC+FEM;SG	ADJ;FEM;SG
lang	lang	lang	lang	ADJ;INDF;MASC+FEM;SG	PROPN
lang	longues	lang	long	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
lang	longs	lang	long	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
lang	longtemps	lang	longtemps	ADJ;INDF;MASC+FEM;SG	ADV
plads	seat	plads	seat	N;INDF;MASC+FEM;SG	PROPN
får	moutons	få	mouton	V;IND;PRS;FIN;ACT	N;MASC;PL
får	mouton	få	mouton	V;IND;PRS;FIN;ACT	N;MASC;SG
får	brebis	få	brebis	V;IND;PRS;FIN;ACT	N;FEM;PL
får	ovins	få	ovin	V;IND;PRS;FIN;ACT	N;MASC;PL
samtidig	simultané	samtidig	simultané	ADV	N;MASC;SG
samtidig	simultanées	samtidig	simultané	ADV	ADJ;FEM;PL
samtidig	simultanés	samtidig	simultané	ADV	ADJ;MASC;PL
samtidig	simultanée	samtidig	simultané	ADV	ADJ;FEM;SG
samtidig	simultané	samtidig	simultané	ADV	N;MASC;SG
stort	grands	stor	grand	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
stort	grandes	stor	grand	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
stort	big	stor	big	ADJ;INDF;NEUT;SG	INTJ
derefter	puis	derefter	puis	ADV	CONJ
sprog	langues	sprog	langue	N;INDF;NEUT;SG	N;FEM;PL
sprog	langues	sprog	langue	N;INDF;NEUT;SG	N;FEM;PL
set	repérés	se	repérer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
