med	med	med	mest	ADP	
listade	uzskaitīts	lisa	uzskaitīt	ADJ;NOM;PL;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
meter	metru	meter	metrs	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;SG
meter	metrus	meter	metrs	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;PL
meter	mērītājs	meter	mērītājs	N;NOM;INDF;MASC+FEM;PL	N;NOM;MASC;SG
havet	okeānā	hav	okeāns	N;NOM;DEF;NEUT;SG	N;ESS;MASC;SG
havet	okeāna	hav	okeāns	N;NOM;DEF;NEUT;SG	N;GEN;MASC;SG
kallaste	aukstākā	kalla	auksts	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;SG
invånare	pilsoņus	invånare	pilsonis	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;PL
januari	janvāra	januari	janvāris	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
januari	janvārī	januari	janvāris	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
millimeter	milimetriem	millimet	milimetrs	N;NOM;INDF;MASC+FEM;PL	N;DAT;MASC;PL
millimeter	milimetru	millimet	milimetrs	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;SG
genomsnitt	vidējais	genomsnitt	vidējs	N;NOM;INDF;NEUT;SG	ADJ;NOM;MASC;SG
genomsnitt	vidēji	genomsnitt	vidēji	N;NOM;INDF;NEUT;SG	ADV
genomsnitt	vidējā	genomsnitt	vidējs	N;NOM;INDF;NEUT;SG	ADJ;NOM;FEM;SG
genomsnittlig	vidēji	genomsnittlig	vidēji	ADJ;NOM;INDF;MASC+FEM;SG	ADV
var	bija	var	būt	PRO;INDF;MASC+FEM;SG	V;FH;IND;3;POS;PST;FIN;ACT
var	tika	var	tikt	PRO;INDF;MASC+FEM;SG	V;FH;IND;3;POS;PST;FIN;ACT
var	kur	var	kur	PRO;INDF;MASC+FEM;SG	ADV
var	ja	var	ja	PRO;INDF;MASC+FEM;SG	CONJ
juli	jūlija	juli	jūlijs	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
juli	jūlijā	juli	jūlijs	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
juli	juli	juli	jule	N;NOM;INDF;MASC+FEM;SG	
han	han	han	han	PRO;NOM;DEF;MASC+FEM;SG	
per	per	per	per	ADP	
vattendrag	ūdensteču	vattendrag	ūdenstecis	N;NOM;INDF;NEUT;SG	N;GEN;MASC;PL
vattendrag	ūdensteces	vattendrag	ūdenstece	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
vattendrag	upēm	vattendrag	upe	N;NOM;INDF;NEUT;SG	N;DAT;FEM;PL
vattendrag	upēs	vattendrag	upe	N;NOM;INDF;NEUT;SG	N;ESS;FEM;PL
från	no	från	no	ADP	
kanada	kanāda	kanad	kanāda	PROPN;NOM	PROPN;NOM;FEM;SG
provinsen	ils	provins	ils	N;NOM;DEF;MASC+FEM;SG	N;ESS;MASC;SG
högsta	augstākā	hög	augsta	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;SG
högsta	augstākās	hög	augsta	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;PL
högsta	maksimālais	hög	maksimāls	ADJ;NOM;DEF;RL	ADJ;NOM;MASC;SG
högsta	maksimums	hög	maksimums	ADJ;NOM;DEF;RL	N;NOM;MASC;SG
högsta	maksimālā	hög	maksimāls	ADJ;NOM;DEF;RL	ADJ;NOM;FEM;SG
högsta	maksimāli	hög	maksimāli	ADJ;NOM;DEF;RL	ADV
högsta	visaugstākā	hög	augsta	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;SG
högsta	augstākā	hög	augsta	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;SG
högsta	augstākais	hög	augsts	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
högsta	augstāko	hög	augsta	ADJ;NOM;DEF;RL	ADJ;ACC;CMPR;MASC;SG
augusti	augustā	augusti	augusts	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
kan	varēja	kunna	varēt	V;IND;PRS;FIN;ACT	V;FH;IND;3;POS;PST;FIN;ACT
kan	varētu	kunna	varēt	V;IND;PRS;FIN;ACT	V;COND;POS;FIN;ACT
kan	var	kunna	varēt	V;IND;PRS;FIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
kan	varam	kunna	varēt	V;IND;PRS;FIN;ACT	V;FH;IND;PL;1;POS;PRS;FIN;ACT
länkar	links	länka	links	N;NOM;INDF;MASC+FEM;PL	N;NOM;MASC;SG
externa	ārējais	ext	ārējs	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;MASC;SG
externa	ārējs	ext	ārējs	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;MASC;SG
externa	ārējā	ext	ārēja	N;NOM;DEF;MASC+FEM;PL	ADJ;NOM;FEM;SG
även	pat	även	pat	ADV	PART
även	arī	även	arī	ADV	PART
februari	februārī	februari	februāris	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
februari	februāra	februari	februāris	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
under	laikā	under	laiks	ADP	N;ESS;MASC;SG
lake	ezera	lake	ezers	N;NOM;INDF;NEUT;SG	N;GEN;MASC;SG
sjö	ezera	sjö	ezers	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
inte	nav	inte	nebūt	PART;NEG	V;FH;IND;3;NEG;PRS;FIN;ACT
två	divus	två	divi	NUM;NOM	NUM;ACC;MASC;PL
lac	lac	lac	lac	V;IMP;FIN;ACT	
terrängen	reljefa	terräng	reljefa	N;NOM;DEF;MASC+FEM;SG	N;GEN;MASC;SG
long	ilgi	long	ilgi	N;NOM;INDF;MASC+FEM;SG	ADV
long	garais	long	garais	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
long	gara	long	garš	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
long	garas	long	gara	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
long	garš	long	garš	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
juni	juni	juni	juns	N;NOM;INDF;MASC+FEM;SG	
juni	jūnija	juni	jūnijs	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
juni	jūnijā	juni	jūnijs	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
lat	lat	lat	lat	N;NOM;INDF;MASC+FEM;SG	
lat	slinks	lat	slinks	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
december	decembrī	december	decembris	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
december	decembra	december	decembris	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
december	decembrim	december	decembris	N;NOM;INDF;MASC+FEM;SG	N;DAT;MASC;SG
växer	audzēšanas	växa	audzēšana	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
växer	audzēšana	växa	audzēšana	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
många	daudz	mången	daudz	PRO;INDF;PL	ADV
nära	aizvērt	nära	aizvērt	ADV	V;POS;NFIN
väster	rietumu	väster	rietumi	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
väster	rietumos	väster	rietumi	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;PL
väster	rietumi	väster	rietumi	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;PL
väster	west	väster	west	N;NOM;INDF;MASC+FEM;SG	
provins	ils	provins	ils	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
öster	austrumos	öster	austrumi	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC
öster	austrumu	öster	austrumi	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC
öster	austrumi	öster	austrumi	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC
först	pirmais	först	pirmais	ADV	ADJ;NOM;DEF;MASC;SG
först	pirmā	först	pirmā	ADV	ADJ;NOM;DEF;FEM;SG
först	pirmās	först	pirmā	ADV	ADJ;NOM;DEF;FEM;PL
först	pirmie	först	pirmais	ADV	ADJ;NOM;DEF;MASC;PL
först	pirma	först	pirma	ADV	ADJ;NOM;FEM;SG
berg	kalnu	berg	kalns	N;NOM;INDF;NEUT;SG	N;ACC;MASC;SG
berg	berg	berg	bergt	N;NOM;INDF;NEUT;SG	
berg	kalni	berg	kalns	N;NOM;INDF;NEUT;SG	N;NOM;MASC;PL
berg	kalnos	berg	kalns	N;NOM;INDF;NEUT;SG	N;ESS;MASC;PL
indonesien	indonēzija	indonesien	indonēzija	PROPN;NOM	N;NOM;FEM;SG
usa	asv	usa	asv	PROPN;NOM	PROPN
usa	usa	usa	usa	PROPN;NOM	
mars	marta	mars	marts	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
mars	martā	mars	marts	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
mars	mars	mars	mars	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
mindre	mazākā	lite	mazs	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
mindre	mazāki	lite	mazs	ADV;CMPR	ADJ;NOM;CMPR;MASC;PL
mindre	mazākas	lite	maza	ADV;CMPR	ADJ;NOM;CMPR;FEM;PL
mindre	mazāks	lite	mazs	ADV;CMPR	ADJ;NOM;CMPR;MASC;SG
mindre	mazāka	lite	maza	ADV;CMPR	ADJ;NOM;CMPR;FEM;SG
mindre	maznozīmīgi	lite	maznozīmīgi	ADV;CMPR	ADV
mindre	nelielas	lite	neliela	ADV;CMPR	ADJ;NOM;FEM;PL
norr	ziemeļi	norr	ziemelis	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;PL
norr	ziemeļos	norr	ziemelis	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;PL
norr	ziemeļu	norr	ziemelis	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;PL
oktober	oktobrī	oktober	oktobris	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
man	cilvēks	man	cilvēks	PRO;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG
man	vīrietis	man	vīrietis	PRO;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG
man	vecīt	man	vecīt	PRO;NOM;INDF;MASC+FEM;SG	INTJ
september	septembrī	september	septembris	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
september	septembri	september	septembris	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
centrala	centrālā	central	centrāla	ADJ;NOM;PL	ADJ;NOM;FEM;SG
centrala	centrālais	central	centrāls	ADJ;NOM;PL	ADJ;NOM;MASC;SG
nordväst	ziemeļrietumu	nordväst	ziemeļrietums	ADV	N;ACC;MASC;SG
blev	kļuva	bli	kļūt	V;IND;PST;FIN;ACT	V;FH;IND;3;POS;PST;FIN;ACT
andra	otrais	annan	otrais	PRO;INDF;PL	ADJ;NOM;DEF;MASC;SG
andra	otrs	annan	otrs	PRO;INDF;PL	NUM;NOM;MASC;SG
andra	otrie	annan	otrais	PRO;INDF;PL	ADJ;NOM;DEF;MASC;PL
andra	otrā	annan	otrā	PRO;INDF;PL	ADJ;NOM;DEF;FEM;SG
andra	pārējie	annan	pārējs	PRO;INDF;PL	ADJ;NOM;MASC;PL
andra	cits	annan	cits	PRO;INDF;PL	PRO;NOM;MASC;SG
andra	citādi	annan	citādi	PRO;INDF;PL	ADV
andra	pārējie	annan	pārējs	PRO;INDF;PL	ADJ;NOM;MASC;PL
där	ja	där	ja	ADV	CONJ
nordost	ziemeļaustrumu	nordost	ziemeļaustrumi	ADV	N;GEN;MASC
nog	pietiek	nog	pietikt	ADV	V;FH;IND;3;POS;PRS;FIN;ACT
nog	pietiks	nog	pietikt	ADV	V;FH;IND;3;POS;FUT;FIN;ACT
ovanligt	neierasti	ovanlig	neierasti	ADJ;NOM;INDF;NEUT;SG	ADV
ovanligt	neparasti	ovanlig	neparasti	ADJ;NOM;INDF;NEUT;SG	ADV
ovanligt	retāk	ovanlig	reti	ADJ;NOM;INDF;NEUT;SG	ADV;CMPR
namngivna	nosaukta	namngiven	nosaukt	ADJ;NOM;PL;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
namngivna	nosaukts	namngiven	nosaukt	ADJ;NOM;PL;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
söder	dienvidu	söder	dienvidi	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
söder	dienvidos	söder	dienvidi	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;PL
jpg	jpg	jpg	jpg	N	
ottawa	otavas	ottal	otava	PROPN;NOM	N;NOM;FEM;PL
närmaste	tuvāko	nära	tuvs	ADJ;NOM;DEF;RL	ADJ;ACC;CMPR;MASC;SG
närmaste	tuvākā	nära	tuvs	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;SG
närmaste	tuvākais	nära	tuvs	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
närmaste	tuvākais	nära	tuvs	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
november	novembra	november	novembris	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
november	novembrī	november	novembris	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
maj	var	maj	varēt	N;NOM;INDF;MASC+FEM;SG	V;FH;IND;3;POS;PRS;FIN;ACT
maj	drīkst	maj	drīkstēt	N;NOM;INDF;MASC+FEM;SG	V;FH;IND;3;POS;PRS;FIN;ACT
maj	maj	maj	mēja	N;NOM;INDF;MASC+FEM;SG	
platt	plakana	platt	plakana	ADV	ADJ;NOM;FEM;SG
platt	vienotas	platt	vienota	ADV	ADJ;NOM;FEM;PL
platt	plakanas	platt	plakana	ADV	ADJ;NOM;FEM;PL
född	dzimuši	född	dzimt	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
född	dzimis	född	dzimt	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
född	dzimusi	född	dzimt	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
finland	somija	finland	somija	PROPN;NOM	PROPN;NOM;FEM;SG
finland	somijā	finland	somija	PROPN;NOM	PROPN;ESS;FEM;SG
samhälle	kopienu	samhälle	kopiena	N;NOM;INDF;NEUT;SG	N;ACC;MASC;SG
samhälle	kopienas	samhälle	kopiena	N;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
hon	vina	hon	vins	PRO;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG
platser	vietām	plats	vieta	N;NOM;INDF;MASC+FEM;PL	N;DAT;FEM;PL
första	vispirms	en	vispirms	ADJ;NOM	ADV
sydväst	dienvidrietumu	sydväst	dienvidrietums	ADV	N;ACC;MASC;SG
australien	austrālija	australien	austrālija	PROPN;NOM	PROPN;NOM;FEM;SG
sydöstra	dienvidaustrumu	sydöstra	dienvidaustrumi	ADJ;NOM;DEF;SG	N;ACC;MASC
april	aprīlī	april	aprīlis	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
april	aprīļa	april	aprīlis	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
bar	bāri	ba	bāri	N;NOM;INDF;NEUT;SG	N;NOM;MASC;PL
bar	bar	ba	bar	N;NOM;INDF;NEUT;SG	
sydost	dienvidaustrumu	sydost	dienvidaustrumi	ADV	N;ACC;MASC
hans	hans	han	hans	PRO;DEF	
hans	hanss	han	hanss	PRO;DEF	PROPN;NOM;MASC;SG
södra	dienvidu	södra	dienvidi	ADJ;NOM;DEF;SG	N;ACC;MASC;SG
södra	dienvidu	södra	dienvidi	ADJ;NOM;DEF;SG	N;ACC;MASC;SG
södra	dienvidos	södra	dienvidi	ADJ;NOM;DEF;SG	N;ESS;MASC;PL
södra	dienvidi	södra	dienvidi	ADJ;NOM;DEF;SG	N;NOM;MASC;SG
toppen	liels	topp	liels	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
toppen	liela	topp	liela	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;FEM;SG
toppen	lieliska	topp	lieliska	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;FEM;SG
toppen	lieliski	topp	lieliski	N;NOM;DEF;MASC+FEM;SG	ADV
toppen	top	topp	tapt	N;NOM;DEF;MASC+FEM;SG	V;FH;IND;3;POS;PRS;FIN;ACT
toppen	augšējā	topp	augšēja	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;FEM;SG
toppen	augšējais	topp	augšējs	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;MASC;SG
sverige	zviedrija	sverige	zviedrija	PROPN;NOM	PROPN;NOM;FEM;SG
sedan	kopš	sedan	kopš	ADV	ADP
östra	austrumos	östra	austrumi	ADJ;NOM;DEF;SG	N;ESS;MASC
östra	austrumu	östra	austrumi	ADJ;NOM;DEF;SG	N;GEN;MASC
östra	austrumi	östra	austrumi	ADJ;NOM;DEF;SG	N;NOM;MASC
östra	austrumu	östra	austrumi	ADJ;NOM;DEF;SG	N;GEN;MASC
genom	cauri	genom	cauri	ADP	ADV
sitt	sēdēt	sig	sēdēt	PRO;DEF;NEUT;SG	V;POS;NFIN
kilometer	kilometru	kilomet	kilometrs	N;NOM;INDF;MASC+FEM;PL	N;ACC;MASC;SG
norra	ziemeļi	norra	ziemelis	ADJ;NOM;DEF;SG	N;NOM;MASC;PL
norra	ziemeļos	norra	ziemelis	ADJ;NOM;DEF;SG	N;ESS;MASC;PL
norra	ziemeļu	norra	ziemelis	ADJ;NOM;DEF;SG	N;GEN;MASC;PL
norra	ziemeļu	norra	ziemelis	ADJ;NOM;DEF;SG	N;GEN;MASC;PL
också	arī	också	arī	ADV	PART
talet	runā	tal	runāt	N;NOM;DEF;NEUT;SG	V;FH;IND;2;POS;PRS;FIN;ACT
talet	runu	tal	runa	N;NOM;DEF;NEUT;SG	N;ACC;FEM;SG
talet	runas	tal	runa	N;NOM;DEF;NEUT;SG	N;NOM;FEM;PL
mot	mot	mot	mot	ADP	
västra	rietumu	onstra	rietumi	ADJ;NOM;DEF;SG	N;ACC;MASC;SG
västra	rietumos	onstra	rietumi	ADJ;NOM;DEF;SG	N;ESS;MASC;PL
västra	rietumi	onstra	rietumi	ADJ;NOM;DEF;SG	N;NOM;MASC;PL
västra	west	onstra	west	ADJ;NOM;DEF;SG	
västra	rietumu	onstra	rietumi	ADJ;NOM;DEF;SG	N;ACC;MASC;SG
västra	western	onstra	westerne	ADJ;NOM;DEF;SG	
del	del	del	del	N;NOM;INDF;MASC+FEM;SG	
namn	nosaukumi	namn	nosaukums	N;NOM;INDF;NEUT;SG	N;NOM;MASC;PL
namn	vārdi	namn	vārds	N;NOM;INDF;NEUT;SG	N;NOM;MASC;PL
vilket	kas	vilken	kas	PRO;INDF;NEUT;SG	PRO;NOM
vilket	kuras	vilken	kura	PRO;INDF;NEUT;SG	PRO;NOM;FEM;PL
vilket	kura	vilken	kura	PRO;INDF;NEUT;SG	PRO;NOM;FEM;SG
svenska	zviedru	svensk	zviedrs	ADJ;NOM;PL	N;ACC;MASC;SG
svenska	zviedrijas	svensk	zviedrija	ADJ;NOM;PL	PROPN;NOM;FEM;SG
svenska	svenska	svensk	svenska	ADJ;NOM;PL	PROPN;NOM;FEM;SG
svensk	zviedru	svensk	zviedrs	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
svensk	zviedrijas	svensk	zviedrija	N;NOM;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
svensk	svensk	svensk	svensk	N;NOM;INDF;MASC+FEM;SG	
frankrike	franciju	frankrike	francija	PROPN;NOM	PROPN;ACC;FEM;SG
frankrike	francijā	frankrike	francija	PROPN;NOM	PROPN;ESS;FEM;SG
frankrike	francija	frankrike	francija	PROPN;NOM	PROPN;NOM;FEM;SG
frankrike	france	frankrike	france	PROPN;NOM	
död	mirusi	död	mirt	N;NOM;INDF;MASC+FEM;SG	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
död	miris	död	mirt	N;NOM;INDF;MASC+FEM;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
död	beigts	död	beigt	N;NOM;INDF;MASC+FEM;SG	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
död	miruši	död	mirt	N;NOM;INDF;MASC+FEM;SG	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
kulle	kalnā	kulle	kalns	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
kina	ķīna	kina	ķīns	PROPN;NOM	PROPN;NOM;FEM;SG
kina	china	kina	chināt	PROPN;NOM	
kina	ķtr	kina	ķtr	PROPN;NOM	PROPN
est	est	est	est	PROPN;NOM	
lista	sarakstu	lista	saraksts	N;NOM;INDF;MASC+FEM;SG	N;ACC;MASC;SG
lista	saraksta	lista	saraksts	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
annat	pārējie	annan	pārējs	PRO;INDF;NEUT;SG	ADJ;NOM;MASC;PL
annat	citi	annan	cits	PRO;INDF;NEUT;SG	PRO;NOM;MASC;PL
annat	cits	annan	cits	PRO;INDF;NEUT;SG	PRO;NOM;MASC;SG
annat	citādi	annan	citādi	PRO;INDF;NEUT;SG	ADV
annat	citas	annan	cita	PRO;INDF;NEUT;SG	PRO;NOM;FEM;PL
edt	edt	edt	edt	NUM;NOM	
största	lielākais	stor	liels	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
största	vislielākais	stor	liels	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
största	lielākais	stor	liels	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
största	lielākais	stor	liels	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;MASC;SG
största	lielākā	stor	liela	ADJ;NOM;DEF;RL	ADJ;NOM;CMPR;FEM;SG
skulle	būtu	skola	būt	V;IND;PST;FIN;ACT	V;COND;POS;FIN;ACT
departementet	departamentā	departement	departaments	N;NOM;DEF;NEUT;SG	N;ESS;MASC;SG
tropiskt	tropu	tropisk	tropa	ADJ;NOM;INDF;NEUT;SG	N;ACC;MASC;SG
park	park	park	park	N;NOM;INDF;MASC+FEM;SG	
park	parkā	park	parks	N;NOM;INDF;MASC+FEM;SG	N;ESS;MASC;SG
park	parka	park	parks	N;NOM;INDF;MASC+FEM;SG	N;GEN;MASC;SG
hill	kalnā	hill	kalns	PROPN;NOM	N;ESS;MASC;SG
flera	vairāku	flera	vairākas	PRO;INDF;PL	PRO;ACC;MASC;SG
periodiskt	periodiskas	periodisk	periodiska	ADJ;NOM;INDF;NEUT;SG	ADJ;NOM;FEM;PL
periodiskt	periodiski	periodisk	periodiski	ADJ;NOM;INDF;NEUT;SG	ADV
periodiskt	periodiski	periodisk	periodiski	ADJ;NOM;INDF;NEUT;SG	ADV
nord	ziemeļi	nord	ziemelis	PROPN;NOM	N;NOM;MASC;PL
nord	ziemeļos	nord	ziemelis	PROPN;NOM	N;ESS;MASC;PL
nord	ziemeļu	nord	ziemelis	PROPN;NOM	N;GEN;MASC;PL
nord	nord	nord	nord	PROPN;NOM	
stockholm	stokholmā	stockholm	stokholma	PROPN;NOM	PROPN;ESS;FEM;SG
stockholm	stokholmas	stockholm	stokholma	PROPN;NOM	PROPN;NOM;FEM;SG
stockholm	stokholma	stockholm	stokholms	PROPN;NOM	PROPN;NOM;FEM;SG
alla	visu	all	viss	PRO;INDF;PL	PRO;ACC;MASC;SG
alla	visa	all	viss	PRO;INDF;PL	PRO;NOM;FEM;SG
alla	ikviens	all	ikviens	PRO;INDF;PL	PRO;NOM;MASC;SG
samma	pašas	samma	pati	DET;INDF	PRO;NOM;FEM;PL
samma	pašu	samma	pats	DET;INDF	PRO;ACC;MASC;SG
