til	בשביל	til	בשביל	ADV	ADP
maj	מיי	maj	מיי	N;INDF;MASC+FEM;SG	
maj	מאי	maj	מאי	N;INDF;MASC+FEM;SG	PROPN
anden	שניה	anden	שניה	PRO;MASC+FEM;SG	NUM;FEM;SG
anden	שנייה	anden	שנייה	PRO;MASC+FEM;SG	NUM;FEM;SG
anden	שני	anden	שני	PRO;MASC+FEM;SG	NUM;MASC;PL
anden	שנית	anden	שנית	PRO;MASC+FEM;SG	
mens	בזמן	mens	בזמן	CONJ	PROPN
andet	שניה	anden	שניה	PRO;NEUT;SG	NUM;FEM;SG
andet	שנייה	anden	שנייה	PRO;NEUT;SG	NUM;FEM;SG
andet	שני	anden	שני	PRO;NEUT;SG	NUM;MASC;PL
andet	שנית	anden	שנית	PRO;NEUT;SG	
andet	אחרים	anden	אחר	PRO;NEUT;SG	ADJ;MASC;PL
andet	אחר	anden	אחר	PRO;NEUT;SG	ADP
dag	day	dag	day	N;INDF;MASC+FEM;SG	
tilbage	בחזרה	tilbage	בחזרה	ADV	
kommune	קומונה	kommune	קומונה	N;INDF;MASC+FEM;SG	PROPN
kommune	עיריית	kommune	עירייה	N;INDF;MASC+FEM;SG	N;PSSD;FEM;SG
død	המוות	død	המווה	N;INDF;MASC+FEM;SG	
død	מות	død	מוות	N;INDF;MASC+FEM;SG	
død	מת	død	מת	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
død	מתים	død	מת	N;INDF;MASC+FEM;SG	N;MASC;PL
død	מתה	død	מת	N;INDF;MASC+FEM;SG	PROPN
findes	קיימות	findes	קיים	V;IND;PRS;FIN;ACT	ADJ;FEM;PL
findes	קיים	findes	קיים	V;IND;PRS;FIN;ACT	ADJ;MASC;SG
findes	קיימת	findes	קיים	V;IND;PRS;FIN;ACT	ADJ;FEM;SG
findes	קיימים	findes	קיים	V;IND;PRS;FIN;ACT	ADJ;MASC;PL
findes	קיים	findes	קיים	V;IND;PRS;FIN;ACT	ADJ;MASC;SG
findes	קיימת	findes	קיים	V;IND;PRS;FIN;ACT	ADJ;FEM;SG
august	אוגוסט	august	אוגוסט	N;INDF;MASC+FEM;SG	PROPN
gang	הזמן	gang	הזמן	N;INDF;MASC+FEM;SG	
gang	טיים	gang	טיים	N;INDF;MASC+FEM;SG	PROPN
forskellige	שונה	forskellig	שונה	ADJ;PL	
tid	הזמן	tid	הזמן	N;INDF;MASC+FEM;SG	
tid	טיים	tid	טיים	N;INDF;MASC+FEM;SG	PROPN
nye	חדש	ny	חדש	ADJ;PL	ADJ;MASC;SG
nye	חדשה	ny	חדש	ADJ;PL	ADJ;FEM;SG
både	סירות	både	סירה	ADV	N;FEM;PL
både	שתיהן	både	שתיים	ADV	PRO;FEM;PL;3
både	שניהם	både	שניים	ADV	
januar	ינואר	januar	ינואר	N;INDF;MASC+FEM;SG	PROPN
januar	בינואר	januar	בינואר	N;INDF;MASC+FEM;SG	
gennem	באמצעות	gennem	באמצעות	ADV	ADP
gennem	דרך	gennem	דרך	ADV	
gennem	ויה	gennem	ויה	ADV	PROPN
gennem	דרך	gennem	דרך	ADV	
stor	גדולים	stor	גדול	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
stor	ביג	stor	ביג	ADJ;INDF;MASC+FEM;SG	
stor	גדולים	stor	גדול	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
stor	מעולה	stor	מעולה	ADJ;INDF;MASC+FEM;SG	
stor	אחלה	stor	אחלה	ADJ;INDF;MASC+FEM;SG	
usa	אמריקה	usa	אמריקה	PROPN	PROPN
uden	מבלי	uden	מבלי	ADV	ADP
uden	ללא	uden	ללא	ADV	ADP
uden	בלי	uden	בלי	ADV	ADP
hold	החזק	holde	החזק	V;IMP	
hold	קבוצות	holde	קבוצה	V;IMP	N;FEM;PL
hold	צוותי	holde	צוות	V;IMP	N;FEM;PL
hold	צוותים	holde	צוות	V;IMP	N;FEM;PL
hold	צוות	holde	צוות	V;IMP	N;FEM;SG
hold	קבוצה	holde	קבוצה	V;IMP	N;FEM;SG
når	מתי	når	מתי	CONJ	ADV
juni	יוני	juni	יוני	N;INDF;MASC+FEM;SG	PROPN
kendt	ידוע	kendt	ידוע	ADJ;INDF;SG	N;MASC;SG
kendt	הידוע	kendt	הידוע	ADJ;INDF;SG	
kendt	ידועה	kendt	ידע	ADJ;INDF;SG	V;FEM;SG;V.PTCP;ACT
kendt	ידועים	kendt	ידוע	ADJ;INDF;SG	N;MASC;PL
kendt	מפורסם	kendt	מפורסם	ADJ;INDF;SG	V;MASC;SG;V.PTCP;PASS
kendt	מפורסמים	kendt	מפורסם	ADJ;INDF;SG	ADJ;MASC;PL
kendt	המפורסם	kendt	המפורסם	ADJ;INDF;SG	PROPN
kendt	מפורסמות	kendt	מפורסם	ADJ;INDF;SG	ADJ;FEM;PL
før	לפני	før	לפני	ADV	ADP
hvilket	אשר	hvilken	אשר	PRO;NEUT;SG	CONJ
hvilket	איזה	hvilken	איזה	PRO;NEUT;SG	
sogn	פאריש	sogn	פריש	N;INDF;NEUT;SG	PROPN
september	ספטמבר	september	ספטמבר	N;INDF;MASC+FEM;SG	PROPN
mest	רובם	mest	None	ADV;RL	N;MASC;SG
mest	רוב	mest	רוב	ADV;RL	N;MASC;SG
mest	הרוב	mest	הרוב	ADV;RL	
mest	הכי	mest	הכי	ADV;RL	
april	אפריל	april	אפריל	N;INDF;MASC+FEM;SG	PROPN
oktober	באוקטובר	oktober	באוקטובר	N;INDF;MASC+FEM;SG	PROPN
oktober	אוקטובר	oktober	אוקטובר	N;INDF;MASC+FEM;SG	PROPN
marts	מרץ	marts	מרץ	N;INDF;MASC+FEM;SG	PROPN
marts	במרץ	marts	במרץ	N;INDF;MASC+FEM;SG	PROPN
hele	שלמה	hel	שלמה	ADJ;DEF;SG	PROPN
juli	ביולי	juli	ביולי	N;INDF;MASC+FEM;SG	PROPN
juli	יולי	juli	יולי	N;INDF;MASC+FEM;SG	PROPN
kirke	כנסיה	kirke	כנסיה	N;INDF;MASC+FEM;SG	PROPN
række	שורות	række	שורה	N;INDF;MASC+FEM;SG	N;FEM;PL
derfor	ומכאן	derfor	ומכאן	ADV	PROPN
derfor	לפיכך	derfor	לפיכך	ADV	CONJ
derfor	לכן	derfor	לכן	ADV	CONJ
derfor	לפיכך	derfor	לפיכך	ADV	CONJ
style	הסגנון	style	הסגנון		PROPN
style	סטייל	style	סטייל		PROPN
style	סגנון	style	סגנון		N;MASC;SG
navn	השם	navn	השם	N;INDF;NEUT;SG	
navn	שם	navn	שם	N;INDF;NEUT;SG	ADV
november	נובמבר	november	נובמבר	N;INDF;MASC+FEM;SG	PROPN
november	בנובמבר	november	בנובמבר	N;INDF;MASC+FEM;SG	ADV
december	בדצמבר	december	בדצמבר	N;INDF;MASC+FEM;SG	PROPN
december	דצמבר	december	דצמבר	N;INDF;MASC+FEM;SG	PROPN
jpg	jpg	jpg	jpg		PROPN
først	ראשון	først	ראשון	ADV	PROPN
mål	יעד	mål	יעד	N;INDF;NEUT;SG	
mål	המטרה	mål	המטרה	N;INDF;NEUT;SG	PROPN
mål	מטרות	mål	מטרה	N;INDF;NEUT;SG	N;FEM;PL
mål	יעדים	mål	יעד	N;INDF;NEUT;SG	N;MASC;PL
mål	שערים	mål	שער	N;INDF;NEUT;SG	N;MASC;PL
mål	מטרות	mål	מטרה	N;INDF;NEUT;SG	N;FEM;PL
mål	יעדים	mål	יעד	N;INDF;NEUT;SG	N;MASC;PL
mål	המטרה	mål	המטרה	N;INDF;NEUT;SG	PROPN
mål	מטרות	mål	מטרה	N;INDF;NEUT;SG	N;FEM;PL
mål	יעדים	mål	יעד	N;INDF;NEUT;SG	N;MASC;PL
mål	יעד	mål	יעד	N;INDF;NEUT;SG	
mål	גול	mål	גול	N;INDF;NEUT;SG	PROPN
film	קולנוע	film	קולנוע	N;INDF;MASC+FEM;PL	N;MASC;SG
film	סרט	film	סרט	N;INDF;MASC+FEM;PL	N;MASC;SG
film	סרט	film	סרט	N;INDF;MASC+FEM;PL	N;MASC;SG
film	קולנוע	film	קולנוע	N;INDF;MASC+FEM;PL	N;MASC;SG
sidste	אחרונות	sidste	אחרון	ADJ	N;FEM;PL
sidste	האחרון	sidste	האחרון	ADJ	PROPN
noget	משהו	nogen	משהו	PRO;NEUT;SG	N;MASC;SG
noget	משו	nogen	משו	PRO;NEUT;SG	
tyske	גרמני	tysk	גרמני	ADJ;PL	N;MASC;SG
tyske	גרמנית	tysk	גרמנית	ADJ;PL	PROPN
tyske	גרמנים	tysk	גרמני	ADJ;PL	N;MASC;PL
tyske	גרמניה	tysk	גרמניה	ADJ;PL	PROPN
gik	הלכה	gå	הלכה	V;IND;PST;FIN;ACT	N;FEM;SG
gik	צעדת	gå	צעדה	V;IND;PST;FIN;ACT	N;FEM;SG
indtil	עד	indtil	עד	CONJ	ADP
februar	בפברואר	februar	בפברואר	N;INDF;MASC+FEM;SG	ADV
februar	פברואר	februar	פברואר	N;INDF;MASC+FEM;SG	PROPN
fire	four	fire	four	NUM	
inden	לפני	inden	לפני	ADV	ADP
mindre	קטין	mindre	קטין	ADV;CMPR	N;MASC;SG
mindre	שולי	mindre	שול	ADV;CMPR	
mindre	מינור	mindre	מינור	ADV;CMPR	N;MASC;SG
christian	כריסטיאן	christian	כריסטיאן		PROPN
christian	נוצרי	christian	נוצרי		PROPN
christian	נצרות	christian	נצרות		N;FEM;SG
hjemmeside	האתר	hjemmeside	האתר	N;INDF;MASC+FEM;SG	
cet	בלווייתן	cet	בלווייתן		PROPN
alt	הכול	al	הכול	ADJ;NEUT;SG	
alt	הכל	al	הכיל	ADJ;NEUT;SG	N
alt	כולם	al	None	ADJ;NEUT;SG	N;MASC;PL
alt	הכל	al	הכיל	ADJ;NEUT;SG	N
alt	כל	al	כול	ADJ;NEUT;SG	DET;PSSD
side	דף	side	דף	N;INDF;MASC+FEM;SG	
side	עמוד	side	עמוד	N;INDF;MASC+FEM;SG	
side	הדף	side	הדף	N;INDF;MASC+FEM;SG	
side	סייד	side	סייד	N;INDF;MASC+FEM;SG	PROPN
side	לצד	side	לצד	N;INDF;MASC+FEM;SG	ADP
side	הצד	side	הצד	N;INDF;MASC+FEM;SG	
spillede	שיחק	spille	שיחק	V;IND;PST;FIN;ACT	PROPN
spillede	ניגן	spille	ניגן	V;IND;PST;FIN;ACT	N;MASC;SG
søn	בני	søn	בני	N;INDF;MASC+FEM;SG	PROPN
søn	בן	søn	בן	N;INDF;MASC+FEM;SG	PROPN
grund	הסיבה	grund	הסיב	N;INDF;NEUT;SG	V;FEM;SG;3;PST;ACT
tog	הרכבת	tage	הרכבה	V;IND;PST;FIN;ACT	N;FEM;SG
tog	טריין	tage	טריין	V;IND;PST;FIN;ACT	PROPN
tog	רכבת	tage	רכבת	V;IND;PST;FIN;ACT	N;FEM;SG
tog	לקח	tage	לקח	V;IND;PST;FIN;ACT	N;MASC;SG
tog	צילם	tage	צילם	V;IND;PST;FIN;ACT	PROPN
tog	רכבות	tage	רכבה	V;IND;PST;FIN;ACT	N;FEM;PL
amerikansk	אמריקאים	amerikansk	אמריקני	ADJ;INDF;SG	N;MASC;PL
amerikansk	אמריקני	amerikansk	אמריקני	ADJ;INDF;SG	PROPN
amerikansk	אמריקאית	amerikansk	אמריקני	ADJ;INDF;SG	ADV
lille	קטנים	lille	קטן	ADJ;SG	ADJ;MASC;PL
lille	סמול	lille	סמול	ADJ;SG	
lille	קטנות	lille	קטן	ADJ;SG	ADJ;FEM;PL
lille	ליטל	lille	ניטל	ADJ;SG	PROPN
hendes	שלה	hendes	של	DET;3	
hendes	שלה	hendes	של	DET;3	
hendes	בה	hendes	ב	DET;3	
hendes	לה	hendes	ל	DET;3	
hendes	עליה	hendes	על	DET;3	
hendes	אותה	hendes	None	DET;3	PRO;ACC;FEM;SG;3
hvad	מה	hvad	מה	PRO;SG	ADV
nord	צפונה	nord	צפון	N;INDF	ADV
nord	הצפון	nord	הצפון	N;INDF	PROPN
nord	נורד	nord	נורד	N;INDF	PROPN
kort	מפת	kort	מפה	ADJ;INDF;SG	
kort	מפה	kort	מפה	ADJ;INDF;SG	N;FEM;SG
kort	המפה	kort	המפה	ADJ;INDF;SG	
kort	קיצור	kort	קיצור	ADJ;INDF;SG	N;MASC;SG
kort	קצרה	kort	קצר	ADJ;INDF;SG	ADV
kort	מפות	kort	מפות	ADJ;INDF;SG	N;FEM;PL
kort	כרטיסים	kort	כרטיס	ADJ;INDF;SG	N;MASC;PL
kort	קלפים	kort	קלף	ADJ;INDF;SG	N;MASC;PL
kort	קארד	kort	קארד	ADJ;INDF;SG	PROPN
kort	קלף	kort	קלף	ADJ;INDF;SG	PROPN
kort	כרטיס	kort	כרטיס	ADJ;INDF;SG	N;MASC;SG
begyndte	התחלת	begynde	התחלה	V;IND;PST;FIN;ACT	N;FEM;SG
begyndte	החל	begynde	None	V;IND;PST;FIN;ACT	ADP
udgivet	שוחררו	udgive	שוחרר	V;INDF;SG;PST;V.PTCP	V;PL;3;PST;PASS
helt	גיבורה	helt	גיבור	ADV	N;FEM;SG
helt	גיבור	helt	גיבור	ADV	N;MASC;SG
gamle	ישנה	gammel	ישן	ADJ;PL	ADJ;FEM;SG
gamle	זקן	gammel	זקן	ADJ;PL	
gamle	ישן	gammel	ישן	ADJ;PL	PROPN
gamle	זקנה	gammel	זקן	ADJ;PL	N;FEM;SG
isbn	isbn	isbn	isbn	N;INDF;MASC+FEM;SG	PROPN
gange	הטיימס	gang	הטיימס	N;INDF;MASC+FEM;PL	PROPN
gange	טיימס	gang	טיימס	N;INDF;MASC+FEM;PL	PROPN
bedste	best	god	best	ADJ;DEF;RL	
døde	מת	død	מת	ADJ;PL	ADJ;MASC;SG
døde	מתים	død	מת	ADJ;PL	N;MASC;PL
døde	מתה	død	מת	ADJ;PL	PROPN
døde	מת	død	מת	ADJ;PL	ADJ;MASC;SG
døde	מתו	død	מת	ADJ;PL	PROPN
døde	מתה	død	מת	ADJ;PL	PROPN
amerikanske	אמריקאים	amerikansk	אמריקני	ADJ;PL	N;MASC;PL
amerikanske	אמריקני	amerikansk	אמריקני	ADJ;PL	PROPN
amerikanske	אמריקאית	amerikansk	אמריקני	ADJ;PL	ADV
amerikanske	אמריקאי	amerikansk	אמריקני	ADJ;PL	ADJ;MASC;SG
tysk	גרמני	tysk	גרמני	ADJ;INDF;SG	N;MASC;SG
tysk	גרמנית	tysk	גרמנית	ADJ;INDF;SG	PROPN
tysk	גרמנים	tysk	גרמני	ADJ;INDF;SG	N;MASC;PL
tysk	גרמניה	tysk	גרמניה	ADJ;INDF;SG	PROPN
meter	מטר	meter	מטר	N;INDF;MASC+FEM;PL	PROPN
meter	מטר	meter	מטר	N;INDF;MASC+FEM;PL	PROPN
meter	מטר	meter	מטר	N;INDF;MASC+FEM;PL	PROPN
meter	מטר	meter	מטר	N;INDF;MASC+FEM;PL	PROPN
gruppe	הקבוצה	gruppe	הקבוצה	N;INDF;MASC+FEM;SG	PROPN
stedet	המקום	sted	המקום	N;DEF;NEUT;SG	
tyskland	גרמניה	tyskland	גרמניה	PROPN	PROPN
lige	סטרייט	lige	סטרייט	ADV	PROPN
lige	ישר	lige	ישר	ADV	
lige	שוות	lige	שווה	ADV	ADJ
lige	שווים	lige	שווה	ADV	ADJ;MASC;PL
lige	שווה	lige	שווה	ADV	PROPN
spillet	משחק	spille	משחק	V;INDF;SG;PST;V.PTCP	N;MASC;SG
spillet	המשחק	spille	המשחק	V;INDF;SG;PST;V.PTCP	PROPN
spillet	שיחק	spille	שיחק	V;INDF;SG;PST;V.PTCP	PROPN
spillet	ניגן	spille	ניגן	V;INDF;SG;PST;V.PTCP	N;MASC;SG
forbindelse	החיבור	forbindelse	החיבור	N;INDF;MASC+FEM;SG	PROPN
peter	פיטר	peter	פיטר		PROPN
peter	פטרוס	peter	פטרוס		PROPN
peter	פטר	peter	פטר		PROPN
ingen	אין	ingen	None	PRO;MASC+FEM;SG	ADV;NEG
engelsk	אנגלית	engelsk	אנגלית	ADJ;INDF;SG	PROPN
århundrede	מאות	århundrede	מאות	N;INDF;NEUT;SG	NUM;FEM;PL
århundrede	המאה	århundrede	המאה	N;INDF;NEUT;SG	
sted	המקום	sted	המקום	N;INDF;NEUT;SG	
gift	נישא	gift	נישא	ADJ;INDF;SG	V;MASC;SG;3;PST;MID
gift	נשוי	gift	נשוי	ADJ;INDF;SG	
gift	התחתן	gift	התחתן	ADJ;INDF;SG	V;MASC;SG;3;PST
gift	נשואים	gift	נשא	ADJ;INDF;SG	N;MASC;PL
gift	ארס	gift	ארס	ADJ;INDF;SG	
gift	רעל	gift	רעל	ADJ;INDF;SG	
center	המרכז	center	המרכז	N;INDF;NEUT;SG	PROPN
center	סנטר	center	סנטר	N;INDF;NEUT;SG	PROPN
center	המרכז	center	המרכז	N;INDF;NEUT;SG	PROPN
forhold	יחסים	forhold	יחסים	N;INDF;NEUT;SG	N;MASC;PL
forhold	זוגיות	forhold	זוגית	N;INDF;NEUT;SG	N;FEM;PL
forhold	יחסים	forhold	יחסים	N;INDF;NEUT;SG	N;MASC;PL
forhold	זוגיות	forhold	זוגית	N;INDF;NEUT;SG	N;FEM;PL
spiller	שחקן	spille	שחקן	V;IND;PRS;FIN;ACT	N;MASC;SG
spiller	נגן	spille	נגן	V;IND;PRS;FIN;ACT	
spiller	מנגן	spille	מנגן	V;IND;PRS;FIN;ACT	N;MASC;SG
spiller	הפעלות	spille	הפעלה	V;IND;PRS;FIN;ACT	N;FEM;PL
spiller	מחזות	spille	מחזה	V;IND;PRS;FIN;ACT	N;MASC;PL
spiller	משחק	spille	משחק	V;IND;PRS;FIN;ACT	N;MASC;SG
spiller	מנגן	spille	מנגן	V;IND;PRS;FIN;ACT	N;MASC;SG
kommer	בא	komme	בא	V;IND;PRS;FIN;ACT	V;MASC;SG;3;PST;ACT
kommer	באה	komme	בא	V;IND;PRS;FIN;ACT	N;FEM;SG
især	בייחוד	især	בייחוד	ADV	
især	ובמיוחד	især	ובמיוחד	ADV	PROPN
kampe	נלחם	kamp	נלחם	N;INDF;MASC+FEM;PL	V;MASC;SG;MID
kampe	לחימה	kamp	לחימה	N;INDF;MASC+FEM;PL	N;FEM;SG
kampe	נלחמים	kamp	נלחם	N;INDF;MASC+FEM;PL	V;MASC;PL;V.PTCP;MID
går	הליכה	gå	הליכה	V;IND;PRS;FIN;ACT	N;FEM;SG
går	הליכות	gå	הליכות	V;IND;PRS;FIN;ACT	N;FEM;SG
fordi	בגלל	fordi	בגלל	CONJ	ADP
syd	דרומה	syd	דרומה	N;INDF	
syd	הדרום	syd	הדרום	N;INDF	
syd	סיד	syd	סיד	N;INDF	PROPN
skrevet	כתובה	skrive	כתוב	V;INDF;SG;PST;V.PTCP	N;FEM;SG
skrevet	כתובים	skrive	כתוב	V;INDF;SG;PST;V.PTCP	N;MASC;PL
skrevet	כתוב	skrive	כתב	V;INDF;SG;PST;V.PTCP	
sverige	שוודיה	sverig	שוודיה	ADJ;PL	PROPN
sverige	שבדיה	sverig	שבדיה	ADJ;PL	PROPN
frederik	פרדריק	frederik	פרדריק	N;INDF;MASC+FEM;SG	PROPN
frankrig	צרפת	frankrig	צרפת		PROPN
ned	מטה	ned	מטה	ADV	N;MASC;SG
ned	למטה	ned	למטה	ADV	
ned	דאון	ned	דאון	ADV	PROPN
ned	נד	ned	נד	ADV	
form	הטופס	form	הטופס	N;INDF;MASC+FEM;SG	PROPN
