contraste	contrastes	contraste	contraste	N;MASC;SG	N;MASC;PL
acampamento	acampada	acampamento	acampado	N;MASC;SG	ADJ;FEM;SG;V.PTCP
graham	graham	grahar	graham	N;MASC;SG	PROPN
publicar	publicaciones	publicar	publicación	V;NFIN	N;FEM;PL
publicar	publicación	publicar	publicación	V;NFIN	N;FEM;SG
publicar	editorial	publicar	editorial	V;NFIN	N;FEM;SG
publicar	publico	publicar	publico	V;NFIN	ADJ;MASC;SG
publicar	post	publicar	post	V;NFIN	N;MASC;SG
publicar	poste	publicar	poste	V;NFIN	N;MASC;SG
publicar	publicación	publicar	publicación	V;NFIN	N;FEM;SG
vencido	perdedora	vencer	perdedor	V;MASC;SG;V.PTCP	ADJ;FEM;SG
vencido	perdedor	vencer	perdedor	V;MASC;SG;V.PTCP	ADJ;MASC;SG
vencido	golpeados	vencer	golpeado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
vencido	vencido	vencer	vencido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
vencido	golpeado	vencer	golpear	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
vencido	vencido	vencer	vencido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
vencido	derrotada	vencer	derrotado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
vencido	derrotado	vencer	derrotado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
vencido	vencidos	vencer	vencido	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
vencido	derrotados	vencer	derrotado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
gera	generan	gerar	generar	V;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
gera	genere	gerar	generar	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;FIN
pedindo	preguntado	pedir	preguntado	V;V.MSDR	ADJ;MASC;SG;V.PTCP
atribuída	asignadas	atribuir	asignado	V;FEM;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
atribuída	asignada	atribuir	asignar	V;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
atribuída	asignado	atribuir	asignar	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
atribuída	asignados	atribuir	asignado	V;FEM;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
atribuída	atribuida	atribuir	atribuido	V;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
atribuída	atribuidas	atribuir	atribuido	V;FEM;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
atribuída	atribuidos	atribuir	atribuido	V;FEM;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
atribuída	atribuido	atribuir	atribuido	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
maurice	mauricio	maurice	mauricio	N;MASC;SG	PROPN
maurice	maurice	maurice	maurizar	N;MASC;SG	PROPN
controvérsia	controversias	controvérsia	controversia	N;FEM;SG	N;FEM;PL
roman	romana	roman	romano	N;MASC;SG	ADJ;FEM;SG
roman	romanos	roman	romano	N;MASC;SG	N;MASC;PL
roman	romano	roman	romano	N;MASC;SG	ADJ;MASC;SG
aumentando	aumento	aumentar	aumento	V;V.MSDR	N;MASC;SG
aumentando	creciente	aumentar	creciente	V;V.MSDR	ADJ;SG
coloração	colorear	coloração	colorear	N;FEM;SG	V;NFIN
coloração	coloreado	coloração	coloreado	N;FEM;SG	ADJ;MASC;SG;V.PTCP
coloração	colorantes	coloração	colorante	N;FEM;SG	N;PL
coloração	colorear	coloração	colorear	N;FEM;SG	V;NFIN
semelhança	parecido	semelhança	parecido	N;FEM;SG	ADJ;MASC;SG;V.PTCP
semelhança	parecido	semelhança	parecido	N;FEM;SG	ADJ;MASC;SG;V.PTCP
expressa	expresas	esprimir	expresa	V;FEM;SG;V.PTCP	ADJ;FEM;PL
expressa	express	esprimir	express	V;FEM;SG;V.PTCP	N;MASC
expressa	expreso	esprimir	expreso	V;FEM;SG;V.PTCP	ADJ;MASC;SG
expressa	exprés	esprimir	exprés	V;FEM;SG;V.PTCP	
expressa	expresadas	esprimir	expresado	V;FEM;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
expressa	expresada	esprimir	expresado	V;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
expressa	expresado	esprimir	expresado	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
expressa	expresados	esprimir	expresado	V;FEM;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
mars	marte	mar	marte	N;MASC;SG	PROPN
polaco	polaca	polaco	polaco	N;MASC;SG	ADJ;FEM;SG
polaco	polonia	polaco	polonia	N;MASC;SG	PROPN
polaco	polacos	polaco	polaco	N;MASC;SG	N;MASC;PL
irlandês	irlandeses	irlandês	irlandés	N;MASC;SG	N;MASC;PL
irlandês	irlandesa	irlandês	irlandés	N;MASC;SG	ADJ;FEM;SG
enviados	enviada	enviar	enviado	V;MASC;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
enviados	enviado	enviar	enviado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
enviados	enviados	enviar	enviar	V;MASC;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
enviados	enviada	enviar	enviado	V;MASC;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
enviados	enviados	enviar	enviar	V;MASC;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
enviados	enviadas	enviar	enviado	V;MASC;PL;V.PTCP	ADJ;FEM;PL;V.PTCP
enviados	enviado	enviar	enviado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
enviados	envió	enviar	enviar	V;MASC;PL;V.PTCP	V;IND;SG;3;PST;FIN
saiba	conozca	saber	conocer	V;SBJV;SG;3;PRS;FIN	V;IMP;SG;3;FIN
saiba	sepa	saber	saber	V;SBJV;SG;3;PRS;FIN	V;IMP;SG;3;FIN
saiba	sé	saber	saber	V;SBJV;SG;3;PRS;FIN	V;IND;SG;1;PRS;FIN
saiba	know	saber	know	V;SBJV;SG;3;PRS;FIN	PROPN
divisa	divisas	divisa	divisa	N;FEM;SG	N;FEM;PL
longd	longd	longd	longd	N;MASC;SG	
fiscal	fiscal	fiscal	fiscal	ADJ;MASC;SG	N;SG
terrestres	terrestre	terrestre	terrestre	N;MASC;PL	ADJ;SG
terrestres	terrenal	terrestre	terrenal	N;MASC;PL	ADJ;SG
contínua	continuo	contínuo	continuo	N;FEM;SG	ADJ;MASC;SG
contínua	continuas	contínuo	continuo	N;FEM;SG	ADJ;FEM;PL
contínua	continua	contínuo	continuo	N;FEM;SG	ADJ;FEM;SG
pleno	full	pleno	full	ADJ;MASC;SG	INTJ
ofensiva	ofensivo	ofensiva	ofensivo	N;FEM;SG	ADJ;MASC;SG
quartel	barracas	quartel	barraca	N;MASC;SG	N;FEM;PL
quartel	cuarteles	quartel	cuartel	N;MASC;SG	N;MASC;PL
quartel	barracones	quartel	barracón	N;MASC;SG	N;MASC;PL
mamíferos	mamífero	mamífero	mamífero	N;MASC;PL	N;MASC;SG
