筋	τένοντες	筋	τένω	N	ADJ;NOM;MASC;PL
凱撒	καίσαρ	凱撒	καίσαρ	PROPN	PROPN;NOM;MASC;SG
凱撒	καίσαρα	凱撒	καίσαρος	PROPN	N;ACC;MASC;SG
馬達加斯加	μαδαγασκάρης	馬達加斯加	μαδαγασκάρης	PROPN	N;GEN;FEM;SG
馬達加斯加	μαδαγασκάρη	馬達加斯加	μαδαγασκάρης	PROPN	PROPN;NOM;FEM;SG
胖	χοντρός	胖	χοντρός	N	ADJ;NOM;MASC;SG
狹窄	στένωση	狹窄	στένωση	ADJ	N;ACC;FEM;SG
狹窄	στενό	狹窄	στενός	ADJ	N;NOM;NEUT;SG
狹窄	στενός	狹窄	στενός	ADJ	N;NOM;MASC;SG
裁決	ετυμηγορία	裁決	ετυμηγορία	V	N;ACC;FEM;SG
裁決	κυβερνών	裁決	κυβέρνα	V	N;GEN;FEM;PL
無力	ανίσχυρος	無力	ανίσχυρος	N	ADJ;NOM;MASC;SG
節省	αποταμιεύσεις	節省	αποταμίευση	V	N;NOM;FEM;PL
節省	οικονομίες	節省	οικονομία	V	N;NOM;FEM;PL
節省	εξοικονόμηση	節省	εξοικονόμηση	V	N;ACC;FEM;SG
節省	αποταμίευση	節省	αποταμίευση	V	N;NOM;FEM;SG
節省	εξοικονόμηση	節省	εξοικονόμηση	V	N;ACC;FEM;SG
節省	αποταμίευση	節省	αποταμίευση	V	N;NOM;FEM;SG
磚	μπρικ	磚	μπρικ	N	
壓制	καταπίεση	壓制	καταπίεση	V	N;ACC;FEM;SG
壓制	καταστολή	壓制	καταστολή	V	N;ACC;FEM;SG
壓制	καταστολή	壓制	καταστολή	V	N;ACC;FEM;SG
壓制	καταστολή	壓制	καταστολή	V	N;ACC;FEM;SG
進度	progress	進度	progress	N	
指稱	ισχυρισμούς	指稱	ισχυρισμός	V	N;ACC;MASC;PL
指稱	ισχυρισμοί	指稱	ισχυρισμός	V	N;NOM;MASC;PL
指稱	ισχυρισμός	指稱	ισχυρισμός	V	N;NOM;MASC;SG
哺乳	θηλαστικό	哺乳	θηλαστικός	N	ADJ;NOM;NEUT;SG
哺乳	θηλαστικά	哺乳	θηλαστικά	N	ADJ;NOM;NEUT;PL
突襲	έφοδος	突襲	έφοδος	V	N;NOM;FEM;SG
突襲	επιδρομή	突襲	επιδρομή	V	N;NOM;FEM;SG
突襲	επιδρομές	突襲	επιδρομή	V	N;NOM;FEM;PL
情侶	ερωμένες	情侶	ερώνω	N	V;PFV;NOM;FEM;PL;V.PTCP;PASS
示	μοντελο	示	μοντελο	V	N;NOM;NEUT;SG
示	υπόδειγμα	示	υπόδειγμα	V	N;NOM;NEUT;SG
示	μοντέλο	示	μοντέλο	V	N;NOM;NEUT;SG
示	πρότυπο	示	πρότυπο	V	N;NOM;NEUT;SG
示	διαδήλωση	示	διαδήλωση	V	N;ACC;FEM;SG
示	επίδειξη	示	επίδειξη	V	N;ACC;FEM;SG
示	demo	示	demo	V	
示	δοκιμαστικό	示	δοκιμαστικός	V	ADJ;NOM;NEUT;SG
示	ντέμο	示	ντέμο	V	
宮殿	palace	宮殿	palace	N	
智力	πνευματική	智力	πνευματικός	N	ADJ;NOM;FEM;SG
智力	διανοητική	智力	διανοητικός	N	ADJ;NOM;FEM;SG
發光	λαμπερό	發光	λαμπερός	V	N;NOM;NEUT;SG
發光	λαμπερή	發光	λαμπερής	V	ADJ;NOM;FEM;SG
發光	φωτεινή	發光	φωτεινός	V	ADJ;NOM;FEM;SG
發光	λάμψη	發光	λάμψη	V	N;ACC;FEM;SG
結盟	συμμαχία	結盟	συμμαχία	V	N;NOM;FEM;SG
阿拉伯	αραβικά	阿拉伯	αραβικά	PROPN	
阿拉伯	αραβική	阿拉伯	αραβικός	PROPN	ADJ;NOM;FEM;SG
阿拉伯	αραβικό	阿拉伯	αραβικός	PROPN	ADJ;NOM;NEUT;SG
窮	καημένε	窮	κατμένω		V;IPFV;IND;SG;1;PRS;FIN;ACT
窮	φτωχή	窮	φτωχή		ADJ;NOM;FEM;SG
窮	φτωχό	窮	φτωχός		ADJ;NOM;NEUT;SG
窮	φτωχός	窮	φτωχός		N;NOM;MASC;SG
窮	φτωχοί	窮	φτωχός		N;NOM;MASC;PL
投球	πίσσα	投球	πίσσα	V	N;NOM;NEUT;SG
銀色	ασημένια	銀色	ασημένιος	N	ADV
銀色	σίλβερ	銀色	σίλβερ	N	
銀色	silver	銀色	silver	N	
小牛	μοσχάρι	小牛	μοσχάρι	PROPN	N;NOM;NEUT;SG
訪談	συνέντευξη	訪談	συνέντευξη	V	N;ACC;FEM;SG
訪談	συνεντεύξεις	訪談	σύνεντευξη	V	N;NOM;FEM;PL
口味	γούστα	口味	γούστα	N	ADV
就	εγκαίνια	就	εγκαίνιος	ADV	N;NOM;NEUT;PL
噴發	έκρηξη	噴發	έκρηξη	V	N;ACC;FEM;SG
噴發	εκρήξεις	噴發	έκρηξη	V	N;NOM;FEM;PL
饒	ράο	饒	ράος	V	
溶解	διαλυμένο	溶解	διαλύω	V	N;NOM;NEUT;SG
主觀	υποκειμενική	主觀	υποκειμενικός	N	ADJ;NOM;FEM;SG
外國	εξωγήινοι	外國	εξωγώ	N	ADJ;NOM;MASC;PL
外國	εξωγήινους	外國	εξώγηινος	N	ADJ;NOM;MASC;PL
外國	ξένος	外國	ξένος	N	ADJ;NOM;MASC;SG
外國	αλλοδαπός	外國	αλλοδαπός	N	ADJ;NOM;MASC;SG
外國	ξένοι	外國	ξένος	N	ADJ;NOM;MASC;PL
外國	αλλοδαποί	外國	αλλοδαπός	N	ADJ;NOM;MASC;PL
反感	απέχθεια	反感	απέχθεια	V	N;ACC;FEM;SG
反感	αποστροφή	反感	αποστροφή	V	N;NOM;FEM;SG
反感	αηδιασμένος	反感	αηδιασμένος	V	ADJ;NOM;MASC;SG
李	δαμάσκηνο	李	δαμάσκηνος	PROPN	N;NOM;FEM;SG
李	δαμάσκηνα	李	δαμάσκηνος	PROPN	N;NOM;NEUT;PL
鹼	αλκαλική	鹼	αλκαλικός	N	ADJ;NOM;FEM;SG
液晶	lcd	液晶	lcd	N	
福爾摩斯	holmes	福爾摩斯	holmes	PROPN	
福爾摩斯	χόλμς	福爾摩斯	χόλμς	PROPN	N;NOM;MASC;SG
福爾摩斯	χολμς	福爾摩斯	χολμς	PROPN	N;NOM;MASC;SG
野心	φιλόδοξη	野心	φιλόδοξος	N	ADJ;NOM;FEM;SG
野心	φιλόδοξοι	野心	φιλόδοξος	N	ADJ;NOM;MASC;PL
別墅	villa	別墅	villa	N	
別墅	βίλα	別墅	βίλα	N	
別墅	βίλλα	別墅	βίλλα	N	PROPN;NOM;FEM;SG
幅度	κυμαίνεται	幅度	κυμαίνω	N	V;IPFV;IND;SG;3;PRS;FIN;PASS
印地安	ινδιάνους	印地安	ινδιάνος	PROPN	PROPN;ACC;MASC;PL
印地安	ινδιάνοι	印地安	ινδιάνος	PROPN	N;NOM;MASC;PL
印地安	ινδοί	印地安	ινδός	PROPN	PROPN;NOM;MASC;PL
顯示	εμφάνιση	顯示	εμφάνιση	V	N;ACC;FEM;SG
顯示	προβολή	顯示	προβολή	V	N;NOM;FEM;SG
顯示	απεικόνιση	顯示	απεικόνιση	V	N;NOM;FEM;SG
顯示	οθόνες	顯示	οθόνας	V	N;NOM;FEM;PL
有害	επιβλαβή	有害	επιβλαβή	N	ADV
銀河	γαλαξίας	銀河	γαλαξία	PROPN	N;NOM;MASC;SG
銀河	γαλαξία	銀河	γαλαξία	PROPN	N;NOM;MASC;SG
劍橋	κέιμπριτζ	劍橋	κέιμπριτζ	PROPN	
劍橋	κέμπριτζ	劍橋	κέμπριτζ	PROPN	
詛咒	κατάρα	詛咒	κατάρα	V	N;ACC;FEM;SG
達拉斯	ντάλλας	達拉斯	ντάλλας	PROPN	PROPN;NOM;MASC;SG
達拉斯	ντάλας	達拉斯	ντάλα	PROPN	PROPN;NOM;MASC;SG
草莓	φράουλα	草莓	φράουλα	V	N;NOM;NEUT;SG
草莓	φράουλας	草莓	φράουλα	V	N;GEN;FEM;SG
草莓	φράουλες	草莓	φράουλος	V	N;NOM;FEM;PL
補償	αντισταθμιστικά	補償	αντισταθμιστικά	N	ADV
蝙	μπάτμαν	蝙	μπάτμαν	N	
輕微	ελαφρά	輕微	ελαφρά	ADJ	ADV
廁	λεκάνη	廁	λεκάνη	V	N;NOM;FEM;SG
廁	τουαλέτα	廁	τουαλέτα	V	N;NOM;FEM;SG
廁	μπάνιο	廁	μπάνιο	V	N;NOM;NEUT;SG
廁	τουαλέτα	廁	τουαλέτα	V	N;NOM;FEM;SG
葉子	γιόκο	葉子	γιόκο	N	
激進	ριζοσπαστικό	激進	ριζοσπαστικός	N	ADJ;NOM;NEUT;SG
激進	ριζοσπαστική	激進	ριζοσπαστικός	N	ADJ;NOM;FEM;SG
激進	ριζική	激進	ριζικός	N	ADJ;NOM;FEM;SG
有罪	ένοχοι	有罪	ένοχος	V	ADJ;NOM;MASC;PL
有罪	ένοχος	有罪	ένοχος	V	ADJ;NOM;MASC;SG
有罪	ένοχη	有罪	ένοχος	V	ADJ;NOM;FEM;SG
樣式	στάιλς	樣式	στάιλς	N	
遷徙	μετανάστευση	遷徙	μετανάστευση	V	N;NOM;FEM;SG
遷徙	μετανάστευσης	遷徙	μετανάστευση	V	N;GEN;FEM;SG
遷徙	μεταναστεύσεις	遷徙	μετανάστευση	V	N;NOM;FEM;PL
抄襲	λογοκλοπή	抄襲	λογοκλοπή	V	N;NOM;FEM;SG
海倫	ελένη	海倫	ελένη	PROPN	PROPN;NOM;FEM;SG
海倫	ελενη	海倫	ελενώ	PROPN	N;NOM;FEM;SG
海倫	έλεν	海倫	έλεν	PROPN	
海倫	helen	海倫	helen	PROPN	
聖殿	βασιλική	聖殿	βασιλικός	N	ADJ;NOM;FEM;SG
聖殿	τεμπλ	聖殿	τεμπλ	N	
多瑙	δούναβη	多瑙	δούναβη	PROPN	N;FEM
阿爾及利亞	αλγερίας	阿爾及利亞	αλγερία	PROPN	PROPN;GEN;FEM;SG
阿爾及利亞	αλγερία	阿爾及利亞	αλγερία	PROPN	PROPN;ACC;FEM;SG
騷擾	παρενόχληση	騷擾	παρενόχληση	V	N;ACC;FEM;SG
攝影	φωτογραφική	攝影	φωτογραφικός	V	ADJ;NOM;FEM;SG
攝影	κάμερα	攝影	κάμερα	V	N;NOM;FEM;SG
拜	επισκέπτης	拜	επισκέπτης	PROPN	N;NOM;MASC;SG
皇宮	palace	皇宮	palace	N	
微小	μικροσκοπικά	微小	μικροσκοπικά	ADJ	ADV
出版	εκδότη	出版	εκδότης	V	N;VOC;MASC;SG
出版	εκδότης	出版	εκδότης	V	N;NOM;MASC;SG
出版	εκδότες	出版	εκδότης	V	N;NOM;MASC;PL
出版	εκδοτών	出版	εκδότης	V	N;GEN;MASC;PL
精美	εξαίσια	精美	εξαίσιο	ADJ	ADV
溫和	μέτρια	溫和	μέτρι	ADJ	N;NOM;FEM;SG
溫和	μέτριο	溫和	μέτριο	ADJ	N;NOM;NEUT;SG
公升	λίτρο	公升	λίτρο	V	N;NOM;NEUT;SG
公升	λίτρα	公升	λίτρα	V	N;NOM;NEUT;SG
公升	λίτρο	公升	λίτρο	V	N;NOM;NEUT;SG
公升	λίτρα	公升	λίτρα	V	N;NOM;NEUT;SG
相對	σχετικισμού	相對	σχετικισμός	ADJ	N;NOM;MASC;SG
相對	σχετικότητας	相對	σχετικότητα	ADJ	N;GEN;FEM;SG
對	αντίθετο	對	αντίθετο	ADP	ADJ;NOM;NEUT;SG
對	απέναντι	對	απέναντι	ADP	ADV
香料	μπαχαρικά	香料	μπαχαρικά	N	ADV
香料	μπαχαρικά	香料	μπαχαρικά	N	ADV
悼念	αφιέρωμα	悼念	αφιέρωμα	V	N;ACC;NEUT;SG
悼念	αφιερώματα	悼念	αφιέρωμα	V	N;NOM;NEUT;PL
悼念	πένθος	悼念	πένθος	V	N;NOM;NEUT;SG
賭場	casino	賭場	casino	N	
悲劇	τραγικός	悲劇	τραγικός	N	ADJ;NOM;MASC;SG
悲劇	τραγική	悲劇	τραγική	N	ADJ;NOM;FEM;SG
悲劇	τραγικό	悲劇	τραγικός	N	ADJ;NOM;NEUT;SG
鎖定	κλείδωμα	鎖定	κλείδωμα	V	N;NOM;NEUT;SG
鎖定	λοκ	鎖定	λοκ	V	
鎖定	κλειδαριά	鎖定	κλειδαριά	V	N;NOM;FEM;SG
鎖定	κλειδωμένα	鎖定	κλειδω	V	ADJ;NOM;NEUT;PL
租金	νοικιάζει	租金	νοικιάζω	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
光輝	λάμπει	光輝	λαμπένω	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
喀麥隆	καμερούν	喀麥隆	καμερώ	PROPN	PROPN;NOM;NEUT;SG
誤解	παρανόηση	誤解	παρανόηση	V	N;ACC;FEM;SG
誤解	παρανόηση	誤解	παρανόηση	V	N;ACC;FEM;SG
誤解	παρεξήγηση	誤解	παρεξήγηση	V	N;ACC;FEM;SG
誤解	παρεξηγήσεις	誤解	παρεξήγηση	V	N;NOM;FEM;PL
彎曲	μπεντ	彎曲	μπεντ	N	
彎曲	λύγισε	彎曲	λυγίζω	N	V;PFV;IND;SG;3;PST;FIN;ACT
溫暖	ζεστή	溫暖	ζεστός	N	ADJ;NOM;FEM;SG
溫暖	ζεστός	溫暖	ζεστός	N	ADJ;NOM;MASC;SG
溫暖	ζεστά	溫暖	ζεστά	N	ADV
解剖	ανατομία	解剖	ανατομία		N;NOM;FEM;SG
解剖	ανατομή	解剖	ανατομή		N
解剖	αυτοψία	解剖	αυτοψία		N;NOM;FEM;SG
解剖	νεκροψία	解剖	νεκροψία		N;NOM;FEM;SG
你	γεια	你	γεια	PRO;2	V;PFV;IND;SG;1;PRS;FIN;ACT
你	γειά	你	γειό	PRO;2	V;IPFV;IND;SG;1;PRS;FIN;ACT
承包	εργολάβους	承包	εργολάβος	V	N;ACC;MASC;PL
承包	ανάδοχο	承包	ανάδοχος	V	ADJ;NOM;FEM;SG
承包	ανάδοχος	承包	ανάδοχος	V	ADJ;NOM;MASC;SG
承包	εργολάβος	承包	εργολάβος	V	N;NOM;MASC;SG
方舟	κιβωτός	方舟	κιβωτός	PROPN	N;NOM;MASC;SG
方舟	κιβωτό	方舟	κιβωτός	PROPN	N;ACC;FEM;SG
鉛	οδηγήσει	鉛	οδηγώ	N	V;PFV;NFIN;ACT
界	καθορίζουν	界	καθορίζω	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
馬賽	μασσαλία	馬賽	μασσαλία	PROPN	PROPN;ACC;FEM;SG
彈性	ευέλικτο	彈性	ευέλικτος	N	ADJ;NOM;NEUT;SG
彈性	ευέλικτη	彈性	ευέλικτος	N	ADJ;NOM;FEM;SG
彈性	ελαστική	彈性	ελαστικός	N	ADJ;NOM;FEM;SG
彈性	ελαστική	彈性	ελαστικός	N	ADJ;NOM;FEM;SG
彈性	flex	彈性	flex	N	
長老	πρεσβύτερος	長老	πρεσβύς	N	ADJ;NOM;CMPR;MASC;SG
長老	γέροντας	長老	γέρω	N	V;IPFV;V.CVB;ACT
野牛	μπάφαλο	野牛	μπάφαλος	N	
戒指	ρινγκ	戒指	ρινγκ	N	
祭司	παπά	祭司	παπά	N	PROPN;NOM;MASC;SG
繪圖	γραφικά	繪圖	γραφικά	N	ADV
乙酸	οξικό	乙酸	οξικό	N	ADJ;NOM;NEUT;SG
大	σφαγή	大	σφαγή	PART	N;ACC;FEM;SG
大	ολοκαύτωμα	大	ολοκαύτωμα	PART	N;NOM;NEUT;SG
劫持	απαγωγή	劫持	απαγωγή	V	N;NOM;FEM;SG
劫持	αεροπειρατεία	劫持	αεροπειρατεία	V	N;NOM;SG
劫持	αεροπειρατεία	劫持	αεροπειρατεία	V	N;NOM;SG
基	βάθρο	基	βάθρο	V	N;NOM;NEUT;SG
損壞	διεφθαρμένη	損壞	διεφθαρμένος	N	V;PFV;NOM;FEM;SG;V.PTCP;PASS
損壞	κατεστραμμένο	損壞	κατεστρέφω	N	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
損壞	κατεστραμμένα	損壞	κατεστρέφω	N	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
損壞	κατεστραμμένο	損壞	κατεστρέφω	N	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
損壞	κατεστραμμένος	損壞	κατεστραμμένος	N	V;PFV;NOM;MASC;SG;V.PTCP;PASS
損壞	κατεστραμμένη	損壞	καταστρέφω	N	V;PFV;NOM;FEM;SG;V.PTCP;PASS
羅素	ράσελ	羅素	ράσελ	PROPN	
羅素	russell	羅素	russell	PROPN	
更	διορθώσεις	更	διορθώση	ADV	N;NOM;FEM;PL
更	διόρθωση	更	διόρθωση	ADV	N;ACC;FEM;SG
特種	swat	特種	swat	ADJ	
音速	ηχητικό	音速	ηχητικός	N	ADJ;NOM;NEUT;SG
叻	λατ	叻	λατ	PROPN	
密西西比	μισισιπή	密西西比	μισισιπή	PROPN	PROPN;NOM;MASC;SG
雙	διμερείς	雙	διμερής	NUM	ADJ;NOM;FEM;PL
雙	διμερές	雙	διμερής	NUM	ADJ;NOM;NEUT;SG
雙	διμερής	雙	διμερής	NUM	ADJ;NOM;FEM;SG
雙	διμερή	雙	διμερής	NUM	ADV
死亡	θνησιμότητας	死亡	θνησιμότητα	V	N;GEN;FEM;SG
死亡	θνησιμότητα	死亡	θνησιμότητα	V	N;NOM;FEM;SG
歌聲	τραγουδάει	歌聲	τραγούδαι	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
歌聲	τραγουδάμε	歌聲	τραγούδαι	N	V;IPFV;IND;PL;1;PRS;FIN;ACT
歌聲	τραγουδώντας	歌聲	τραγουδώ	N	V;IPFV;V.CVB;ACT
歌聲	τραγουδούν	歌聲	τραγούδαι	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
散射	scatter	散射	scatter	V	
布加勒斯特	βουκουρεστίου	布加勒斯特	βουκουρεστίο	PROPN	PROPN;GEN;NEUT;SG
布加勒斯特	βουκουρέστι	布加勒斯特	βουκουρίστι	PROPN	PROPN;NOM;NEUT;SG
存款	κατάθεση	存款	κατάθεση	V	N;ACC;FEM;SG
存款	προκαταβολή	存款	προκαταβολή	V	N;ACC;FEM;SG
存款	καταθέσεις	存款	καταθέτω	V	N;NOM;FEM;PL
獨裁	δικτατορικό	獨裁	δικτατορικό	N	ADJ;NOM;NEUT;SG
宮廷	palace	宮廷	palace	N	
想象	φαντάσου	想象	φάντασος	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
想象	φανταστείτε	想象	φαντάσσω	N	V;PFV;IND;PL;2;FIN;PASS
祈	προσευχή	祈	προσευχής	V	N;NOM;FEM;SG
祈	προσευχές	祈	προσευχής	V	N;NOM;FEM;PL
相容	συμβατά	相容	συμβατός	N	ADJ;NOM;NEUT;PL
相容	συμβατή	相容	συμβατός	N	ADJ;NOM;FEM;SG
相容	συμβατός	相容	συμβατός	N	ADJ;NOM;MASC;SG
廚師	chef	廚師	chef	N	
廚師	σεφ	廚師	σεφ	N	
廚師	κουκ	廚師	κουκ	N	
王	κορώνα	王	κορώνας	PROPN	N;GEN;FEM;PL
王	στέμμα	王	στέμμα	PROPN	N;NOM;NEUT;SG
王	κράουν	王	κράω	PROPN	
王	κορόνα	王	κορόνας	PROPN	N;NOM;NEUT;SG
王	κορώνες	王	κορώνας	PROPN	N;NOM;FEM;PL
營養	θρεπτική	營養	θρεπτικός	N	ADJ;NOM;FEM;SG
營養	θρεπτικών	營養	θρεπτικός	N	ADJ;GEN;NEUT;PL
凝聚	συνοχής	凝聚	συνοχή	V	N;GEN;FEM;SG
凝聚	συνοχή	凝聚	συνοχή	V	N;NOM;FEM;SG
探險	περιπέτεια	探險	περιπέτεια	V	N;NOM;FEM;SG
區塊	τετράγωνα	區塊	τετράγωνος	N	ADV
區塊	block	區塊	block	N	
亞熱帶	υποτροπικά	亞熱帶	υποτροπικά	PROPN	ADV
機長	καπετάνιος	機長	καπετάνιος	N	ADJ;NOM;MASC;SG
聲援	αλληλεγγύη	聲援	αλληλεγγύη	V	N;NOM;FEM;SG
核子	πυρηνικός	核子	πυρηνικός	N	ADJ;NOM;MASC;SG
核子	πυρηνικά	核子	πυρηνικός	N	ADV
核子	πυρηνική	核子	πυρηνικός	N	ADJ;NOM;FEM;SG
廢棄	εγκατάλειψη	廢棄	εγκατάλειψη	V	N;ACC;FEM;SG
檢視	θεα	檢視	θεα	V	N;NOM;FEM;SG
檢視	θέα	檢視	θέα	V	N;NOM;FEM;SG
檢視	όψη	檢視	όψο	V	N;NOM;FEM;SG
檢視	προβολή	檢視	προβολή	V	N;NOM;FEM;SG
檢視	view	檢視	view	V	
大	τσέλο	大	τσέλο	PART	
加熱	ζέστη	加熱	ζέστη	V	N;NOM;FEM;SG
加熱	θερμότητα	加熱	θερμότητα	V	N;NOM;FEM;SG
加熱	θέρμανση	加熱	θέρμανση	V	N;NOM;FEM;SG
加熱	θερμότητας	加熱	θερμότητα	V	N;GEN;FEM;SG
加熱	θέρμανση	加熱	θέρμανση	V	N;NOM;FEM;SG
加熱	θέρμανσης	加熱	θέρμανση	V	N;GEN;FEM;SG
還	επαναφορά	還	επαναφορά	ADV	N;NOM;FEM;SG
還	αποκαταστήσει	還	αποκαθιστώ	ADV	V;PFV;IND;3;NFIN;ACT
暴風	στορμ	暴風	στορμ	N	
巴頓	πάτον	巴頓	πάτον	PROPN	
華沙	βαρσοβία	華沙	βαρσοβία	PROPN	PROPN;NOM;FEM;SG
華沙	βαρσοβίας	華沙	βαρσοβία	PROPN	N;GEN;FEM;SG
掃	σάρωση	掃	σάρωση	V	N;ACC;FEM;SG
掃	σαρώσεις	掃	σάρωση	V	N;NOM;FEM;PL
掃	σάρωση	掃	σάρωση	V	N;ACC;FEM;SG
法典	codex	法典	codex	N	
壺	ποτ	壺	ποτ	N	
電報	telegraph	電報	telegraph	N	
升降	ανελκυστήρες	升降	ανελκυστήρας	V	N;NOM;FEM;PL
升降	ασανσέρ	升降	ασανσέρ	V	N;NOM;NEUT;SG
升降	ανελκυστήρας	升降	ανελκυστήρας	V	N;NOM;MASC;SG
機密	εμπιστευτική	機密	εμπιστευτικός	N	ADJ;NOM;FEM;SG
機密	εμπιστευτικό	機密	εμπιστευτικός	N	ADJ;NOM;NEUT;SG
