din	du	din	du	ADP;ACC	DET;MASC;SG
cunoscute	connue	cunoscut	connaître	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
cunoscute	connus	cunoscut	connaître	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
cunoscute	connu	cunoscut	connaître	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
trebuie	moût	trebui	moût	V;IND;3;PRS;FIN	N;MASC;SG
trebuie	devez	trebui	devoir	V;IND;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
cunoscuta	connues	cunoscuta	connaître	ADJ;DEF;FEM;SG	V;FEM;PL;PST;V.PTCP
cunoscuta	connue	cunoscuta	connaître	ADJ;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
cunoscuta	connus	cunoscuta	connaître	ADJ;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
cunoscuta	connu	cunoscuta	connaître	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
aici	voilà	aici	voilà	ADV	V
aici	voici	aici	voici	ADV	V
mari	gros	mare	gros	ADJ;INDF;PL	ADJ;MASC;SG
mari	grosse	mare	gros	ADJ;INDF;PL	ADJ;FEM;SG
mari	grande	mare	grand	ADJ;INDF;PL	ADJ;FEM;SG
mari	big	mare	big	ADJ;INDF;PL	INTJ
mari	grand	mare	grand	ADJ;INDF;PL	ADJ;MASC;SG
mari	mari	mare	mari	ADJ;INDF;PL	N;MASC;SG
mari	mers	mare	mer	ADJ;INDF;PL	N;FEM;PL
fata	avant	fată	avant	N;DEF;FEM;SG	ADP
fata	devant	fată	devant	N;DEF;FEM;SG	ADP
est	orientale	est	oriental	N;INDF;MASC;SG	ADJ;FEM;SG
est	est	est	être	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
nou	nouvelles	nou	nouveau	ADJ;INDF;MASC;SG	ADJ;FEM;PL
nou	nouveaux	nou	nouveau	ADJ;INDF;MASC;SG	ADJ;MASC;PL
nou	nouveautés	nou	nouveauté	ADJ;INDF;MASC;SG	N;FEM;PL
ales	choisi	ales	choisir	ADV	V;MASC;SG;PST;V.PTCP
ales	choisis	ales	choisir	ADV	V;MASC;PL;PST;V.PTCP
ales	choisie	ales	choisir	ADV	V;FEM;SG;PST;V.PTCP
numai	seul	numai	seul	ADV	ADJ;MASC;SG
numai	seule	numai	seul	ADV	ADJ;FEM;SG
avand	ayant	avand	avoir		V;PRS;V.PTCP
avand	avoir	avand	avoir		V;NFIN
avand	ayant	avand	avoir		V;PRS;V.PTCP
avand	avoir	avand	avoir		V;NFIN
ioan	jean	ioan	jean	PROPN	PROPN
ioan	john	ioan	john	PROPN	PROPN
ioan	ioan	ioan	ioan	PROPN	PROPN
ion	ion	ion	ion	N;INDF;MASC;SG	
ion	ionique	ion	ionique	N;INDF;MASC;SG	ADJ;MASC;SG
ion	ions	ion	ion	N;INDF;MASC;SG	N;MASC;PL
rusa	russes	rusa	russe	N;DEF;FEM;SG	ADJ;MASC;PL
rusa	russe	rusa	russe	N;DEF;FEM;SG	ADJ;MASC;SG
rusa	russes	rusa	russe	N;DEF;FEM;SG	ADJ;MASC;PL
rusa	russe	rusa	russe	N;DEF;FEM;SG	ADJ;MASC;SG
isbn	isbn	isbn	isbn		
populatia	populations	populatie	population	N;DEF;FEM;SG	N;FEM;PL
populatia	populations	populatie	population	N;DEF;FEM;SG	N;FEM;PL
doi	two	doi	two	NUM;MASC;PL	PROPN
acelasi	pareil	acelasi	pareil	DET;MASC;SG;3	INTJ
acelasi	meme	acelasi	même	DET;MASC;SG;3	INTJ
acelasi	identique	acelasi	identique	DET;MASC;SG;3	ADJ;MASC;SG
acelasi	mêmes	acelasi	même	DET;MASC;SG;3	ADJ;MASC;PL
acelasi	même	acelasi	même	DET;MASC;SG;3	ADV
membru	membres	membru	membre	N;INDF;MASC;SG	N;MASC;PL
numit	nommée	numit	nommer	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
numit	nommé	numit	nommer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
numit	nommés	numit	nommer	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
numit	appelée	numit	appeler	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
numit	appelé	numit	appeler	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
numit	appelés	numit	appeler	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
descrisa	décrites	descrisa	décrire	ADJ;DEF;FEM;SG	V;FEM;PL;PST;V.PTCP
descrisa	décrits	descrisa	décrire	ADJ;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
descrisa	décrit	descrisa	décrire	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
descrisa	décrite	descrisa	décrire	ADJ;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
oficial	fonctionnaire	oficial	fonctionnaire	ADJ;INDF;MASC;SG	N;MASC;SG
oficial	officielles	oficial	officiel	ADJ;INDF;MASC;SG	ADJ;FEM;PL
oficial	officiels	oficial	officiel	ADJ;INDF;MASC;SG	ADJ;MASC;PL
oficial	officiellement	oficial	officiellement	ADJ;INDF;MASC;SG	ADV
nici	ni	nici	ni	ADV	CONJ
nici	nor	nici	nor	ADV	
impotriva	contre	impotriva	contre	N;DEF;FEM;SG	ADP
impotriva	against	impotriva	against	N;DEF;FEM;SG	PROPN
impotriva	contre	impotriva	contre	N;DEF;FEM;SG	ADP
impotriva	against	impotriva	against	N;DEF;FEM;SG	PROPN
impotriva	contre	impotriva	contre	N;DEF;FEM;SG	ADP
impotriva	against	impotriva	against	N;DEF;FEM;SG	PROPN
desi	quoique	desi	quoique		ADV
desi	desi	desi	desi		
desi	quoique	desi	quoique		ADV
desi	quoique	desi	quoique		ADV
saint	sainte	saint	saint	N;INDF;MASC;SG	ADJ;FEM;SG
saint	saint	saint	saint	N;INDF;MASC;SG	PROPN
impreuna	ensemble	impreuna	ensemble		ADV
impreuna	together	impreuna	together		PROPN
impreuna	ensemble	impreuna	ensemble		ADV
impreuna	together	impreuna	together		PROPN
impreuna	ensemble	impreuna	ensemble		ADV
impreuna	together	impreuna	together		PROPN
specia	espèces	specie	espèce	N;DEF;FEM;SG	N;FEM;PL
vest	occidentale	vest	occidental	N;INDF;MASC;SG	ADJ;FEM;SG
vest	west	vest	west	N;INDF;MASC;SG	PROPN
vest	occidentale	vest	occidental	N;INDF;MASC;SG	ADJ;FEM;SG
vest	occidental	vest	occidental	N;INDF;MASC;SG	ADJ;MASC;SG
italia	italia	italia	italier	PROPN	PROPN
italia	italie	italia	italie	PROPN	PROPN
putin	petit	putin	petit		ADJ;MASC;SG
putin	peu	putin	peu		ADV
putin	petite	putin	petit		ADJ;FEM;SG
putin	poutine	putin	poutine		N;MASC;SG
putin	putin	putin	putin		INTJ
inca	still	inca	still		PROPN
inca	encore	inca	encore		ADV
inca	toujours	inca	toujours		ADV
inca	still	inca	still		PROPN
inca	encore	inca	encore		ADV
inca	toujours	inca	toujours		ADV
descoperit	découvert	descoperit	découvrir	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
descoperit	découverts	descoperit	découvrir	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
descoperit	découvertes	descoperit	découvrir	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
descoperit	découvert	descoperit	découvrir	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
descoperit	découverts	descoperit	découvrir	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
inainte	forward	inainte	forward		PROPN
inainte	auparavant	inainte	auparavant		ADV
inainte	avant	inainte	avant		ADP
inainte	forward	inainte	forward		PROPN
inainte	auparavant	inainte	auparavant		ADV
inainte	avant	inainte	avant		ADP
noi	nouveau	eu	nouveau	PRO;PL;1	ADJ;MASC;SG
noi	nouvelle	eu	nouveau	PRO;PL;1	ADJ;FEM;SG
noi	nouvelles	eu	nouveau	PRO;PL;1	ADJ;FEM;PL
noi	nouveaux	eu	nouveau	PRO;PL;1	ADJ;MASC;PL
noi	nouveautés	eu	nouveauté	PRO;PL;1	N;FEM;PL
nicolae	nicolas	nicolae	nicola	PROPN	N;MASC;SG
nicolae	nicholas	nicolae	nicholas	PROPN	PROPN
nicolae	nicolae	nicolae	nicolae	PROPN	PROPN
nationala	nationaux	national	national	N;DEF;FEM;SG	ADJ;MASC;PL
nationala	national	national	national	N;DEF;FEM;SG	ADJ;MASC;SG
nationala	nationale	national	national	N;DEF;FEM;SG	ADJ;FEM;SG
nationala	nationales	national	national	N;DEF;FEM;SG	ADJ;FEM;PL
nationala	nationaux	national	national	N;DEF;FEM;SG	ADJ;MASC;PL
nationala	national	national	national	N;DEF;FEM;SG	ADJ;MASC;SG
nationala	nationale	national	national	N;DEF;FEM;SG	ADJ;FEM;SG
nationala	nationales	national	national	N;DEF;FEM;SG	ADJ;FEM;PL
drept	hétéro	drept	hétéro		N;MASC;SG
american	américaines	american	américain	ADJ;INDF;MASC;SG	ADJ;FEM;PL
american	américains	american	américain	ADJ;INDF;MASC;SG	ADJ;MASC;PL
fiecare	chaque	fiecare	chaque	PRO;SG;3	DET;FEM;SG
fiecare	chaque	fiecare	chaque	PRO;SG;3	DET;FEM;SG
prezent	actuel	prezent	actuel	N;INDF;MASC;SG	ADJ;MASC;SG
prezent	présent	prezent	présent	N;INDF;MASC;SG	ADJ;MASC;SG
prezent	présents	prezent	présent	N;INDF;MASC;SG	ADJ;MASC;PL
prezent	présente	prezent	présent	N;INDF;MASC;SG	ADJ;FEM;SG
prezent	présenter	prezent	présenter	N;INDF;MASC;SG	V;NFIN
printre	parmis	printre	parmettre	ADP;ACC	INTJ
categorie	catégories	categorie	catégorie	N;INDF;FEM;SG	N;FEM;PL
text	textes	text	texte	N;INDF;MASC;SG	N;MASC;PL
cluj	cluj	cluj	cluj	PROPN	PROPN
bine	bons	bine	bon	ADV	ADJ;MASC;PL
bine	bonne	bine	bon	ADV	ADJ;FEM;SG
bine	bon	bine	bon	ADV	ADJ;MASC;SG
bine	bonnes	bine	bon	ADV	ADJ;FEM;PL
bine	okay	bine	okay	ADV	INTJ
bine	ok	bine	ok	ADV	
site	site	sită	site	N;INDF;FEM;PL	N;MASC;SG
alexandru	alexandru	alexandru	alexandru	PROPN	PROPN
alexandru	aleksandr	alexandru	aleksandr	PROPN	PROPN
alexandru	alexandre	alexandru	alexandre	PROPN	N;MASC;SG
alexandru	alexander	alexandru	alexander	PROPN	PROPN
milioane	million	milion	million	NUM;INDF;FEM;PL	N;MASC;SG
milioane	millions	milion	million	NUM;INDF;FEM;PL	N;MASC;PL
milioane	millions	milion	million	NUM;INDF;FEM;PL	N;MASC;PL
apa	eaux	apă	eau	N;DEF;FEM;SG	N;FEM;PL
apa	eaux	apă	eau	N;DEF;FEM;SG	N;FEM;PL
iasi	iasi	iași	iasi	PROPN	PROPN
iasi	iasi	iași	iasi	PROPN	PROPN
iasi	iasi	iași	iasi	PROPN	PROPN
ori	ori	ori	ori	CONJ;POS	
tara	tara	tară	tara	N;DEF;FEM;SG	PROPN
tarziu	tardive	tarziu	tardif		ADJ;FEM;SG
tarziu	tardif	tarziu	tardif		ADJ;MASC;SG
tarziu	retard	tarziu	retard		N;MASC;SG
tarziu	tard	tarziu	tard		ADV
tarziu	tardive	tarziu	tardif		ADJ;FEM;SG
tarziu	tardif	tarziu	tardif		ADJ;MASC;SG
tarziu	retard	tarziu	retard		N;MASC;SG
tarziu	tard	tarziu	tard		ADV
istoria	historique	istorie	historique	N;DEF;FEM;SG	ADJ;MASC;SG
maria	maría	maria	maría	N;DEF;FEM;SG	PROPN
maria	maria	maria	maria	N;DEF;FEM;SG	PROPN
cunoscut	connues	cunoscut	connaître	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
cunoscut	connue	cunoscut	connaître	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
cunoscut	connus	cunoscut	connaître	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
