間	przerwa	間	przerwa	N	
敵方	wroga	敵方	wróg	N	
繁榮	bum	繁榮	bum	N	
輪胎	opon	輪胎	opon	N	
輪胎	opon	輪胎	opon	N	
延期	rozszerzenia	延期	rozszerzenie	V	N;NOM;NEUT;SG
延期	przedłużenia	延期	przedłużyć	V	N;PFV;GEN;NEUT;SG;POS;V.MSDR
延期	rozszerzenia	延期	rozszerzenie	V	N;NOM;NEUT;SG
延期	rozbudowa	延期	rozbudowy	V	
延期	wydłużenie	延期	wydłużyć	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
延期	przedłużenie	延期	przedłużyć	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
延期	rozszerzenie	延期	rozszerzenie	V	N;NOM;NEUT;SG
衍生	pochodne	衍生	pochodny	V	
擴散	dyfuzji	擴散	dyfuzja	V	N;GEN;FEM;SG
擴散	rozprzestrzenianiu	擴散	rozprzestrzeniać	V	N;IPFV;DAT;NEUT;SG;POS;V.MSDR
醬	sos	醬	sos	N	
斧	topór	斧	topór	N	
斧	axe	斧	axe	N	
尼加拉	nikaragui	尼加拉	nikaragua	PROPN	PROPN;NOM;MASC;SG
非凡	nadzwyczajne	非凡	nadzwyczajny	PROPN	ADJ;NOM;NEUT;SG
非凡	niezwykła	非凡	niezwykły	PROPN	ADJ;NOM;FEM;SG
非凡	nadzwyczajny	非凡	nadzwyczajny	PROPN	ADJ;NOM;MASC;SG
非凡	niezwykłe	非凡	niezwykłe	PROPN	ADJ;NOM;NEUT;SG
焊接	weld	焊接	weld	N	
焊接	spawane	焊接	spawać	N	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
國防	idf	國防	idfa	N	
獎學	stypendium	獎學	stypendium	V	N;ACC;NEUT;SG
獎學	stypendia	獎學	stypendia	V	N;NOM;NEUT;PL
獎學	stypendium	獎學	stypendium	V	N;ACC;NEUT;SG
視訊	video	視訊	video	N	
視訊	wideo	視訊	wideo	N	
阻礙	niedrożność	阻礙	niedrożność	V	N;NOM;FEM;SG
阻礙	przeszkoda	阻礙	przeszkoda	V	N;NOM;FEM;SG
資本	kapitalistyczny	資本	kapitalistyczny	N	ADJ;NOM;MASC;SG
辛苦	hard	辛苦	hard	N	
辛苦	ciężko	辛苦	ciężko	N	ADV
辛苦	twarde	辛苦	twardy	N	
有	toksyczne	有	toksyczny	V	ADJ;NOM;NEUT;SG
有	toksyczny	有	toksyczny	V	ADJ;NOM;MASC;SG
有	trujące	有	truć	V	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
有	trujący	有	truć	V	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
排水	odpływ	排水	odpływ	V	N;NOM;MASC;SG
排水	drenaż	排水	drenaż	V	N;NOM;MASC;SG
排水	drenaż	排水	drenaż	V	N;NOM;MASC;SG
慢性	przewlekłe	慢性	przewlec	N	ADJ;NOM;NEUT;SG
慢性	przewlekłą	慢性	przewlec	N	ADJ;ACC;FEM;SG
馬達	motors	馬達	motors	N	
馬達	motor	馬達	motor	N	
光榮	chwała	光榮	chwały	N	V;IPFV;FEM;IND;SG;PST;FIN;ACT
光榮	chwały	光榮	chwały	N	
光榮	glory	光榮	glora	N	
胡	pieprz	胡	pieprz	PROPN	
胡	pepper	胡	pepper	PROPN	
胡	papryka	胡	papryka	PROPN	N;NOM;FEM;SG
殖民	kolonistów	殖民	kolonista	V	N;ACC;MASC;PL
染色	chromosomów	染色	chromosom	V	N;GEN;MASC;PL
染色	chromosom	染色	chromos	V	N;NOM;MASC;SG
相交	skrzyżowaniach	相交	skrzyżowanie	V	N;DAT;NEUT;PL
鈾	uranu	鈾	uran	N	
廚房	kuchenne	廚房	kuchenny	N	ADJ;NOM;NEUT;SG
溫柔	czuł	溫柔	czuć	N	V;IPFV;MASC;IND;SG;PST;FIN;ACT
溫柔	delikatny	溫柔	delikatny	N	ADJ;NOM;MASC;SG
溫柔	delikatnie	溫柔	delikatnie	N	ADV
溫柔	łagodny	溫柔	łagodny	N	ADJ;NOM;MASC;SG
陀螺	żyroskop	陀螺	żyroskop	N	
抒情	liryczne	抒情	liryczny	N	ADJ;NOM;NEUT;SG
愛麗絲	alicja	愛麗絲	alicja	PROPN	PROPN;NOM;FEM;SG
愛麗絲	alice	愛麗絲	alica	PROPN	PROPN;NOM;FEM;SG
申訴	skargi	申訴	skarga	N	
申訴	skarg	申訴	skarga	N	
申訴	skargi	申訴	skarga	N	
燈塔	beacon	燈塔	beacon	N	V;IPFV;IND;SG;PRS;FIN;ACT
加勒比	karaibów	加勒比	karaib	PROPN	N;GEN;MASC;PL
加勒比	karai	加勒比	karaić	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
陡	strome	陡	stroma	N	
無名	bezimienny	無名	bezimienny	N	ADJ;NOM;MASC;SG
血腥	krwawe	血腥	krwawy	N	ADJ;NOM;NEUT;SG
血腥	krwawy	血腥	krwaw	N	ADJ;NOM;MASC;SG
血腥	krwawa	血腥	krwawa	N	
粉碎	smash	粉碎	smash	V	
骨頭	bones	骨頭	bones	N	
骨頭	kości	骨頭	kość	N	
骨頭	kości	骨頭	kość	N	
堡壘	bastion	堡壘	bastion		N;NOM;MASC;SG
堡壘	fortecy	堡壘	fortek		N;GEN;FEM;SG
堡壘	forteca	堡壘	forteca		N;NOM;FEM;SG
堡壘	fortu	堡壘	fort		N;GEN;MASC;SG
堡壘	fort	堡壘	fort		N;NOM;MASC;SG
工資	płac	工資	płaca	N	
工資	płace	工資	płaca	N	
工資	płace	工資	płaca	N	
犀牛	rhino	犀牛	rhino	N	
乘車	przejazd	乘車	przejazd	V	N;NOM;MASC;SG
乘車	przejażdżka	乘車	przejażdżka	V	N;NOM;FEM;SG
乘車	jazda	乘車	jazdać	V	N;NOM;FEM;SG
寂寞	samotny	寂寞	samotny	N	ADJ;NOM;MASC;SG
寂寞	samotna	寂寞	samotny	N	ADJ;NOM;FEM;SG
寂寞	samotne	寂寞	samotny	N	ADJ;NOM;NEUT;SG
花卉	kwiatowy	花卉	kwiatowy	N	ADJ;NOM;MASC;SG
庭院	yard	庭院	yard	N	
庭院	stocznia	庭院	stocznia	N	
蘇維埃	sowieci	蘇維埃	sowiecić	PROPN	N;NOM;MASC;PL
蘇維埃	sowiecki	蘇維埃	sowiecki	PROPN	ADJ;NOM;MASC;SG
蘇維埃	radziecki	蘇維埃	radziecki	PROPN	ADJ;NOM;MASC;SG
筋	ścięgna	筋	ścięgny	N	
安藤	ando	安藤	ando	PROPN	
和	harmonii	和	harmonia	ADP	N;GEN;FEM;SG
和	harmony	和	harmon	ADP	
和	harmonia	和	harmonia	ADP	N;NOM;FEM;SG
室外	odkrytym	室外	odkryć	N	ADJ;PFV;INS;MASC;SG;POS;V.PTCP;PASS
室外	odkryty	室外	odkryć	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
鵝	gęsi	鵝	gęs	N	
鵝	gęsi	鵝	gęs	N	
刺殺	zabójstwa	刺殺	zabójstwo	V	N;GEN;NEUT;SG
刺殺	zamachu	刺殺	zamach	V	N;GEN;MASC;SG
刺殺	zabójstwo	刺殺	zabójstwo	V	N;NOM;NEUT;SG
刺殺	zamach	刺殺	zamach	V	N;NOM;MASC;SG
坐標	koordynować	坐標	koordynować	N	V;IPFV;NFIN;ACT
坐標	współrzędnych	坐標	współrzędny	N	ADJ;GEN;MASC;PL
坐標	współrzędne	坐標	współrzędny	N	ADJ;NOM;NEUT;SG
永恆	wiecznego	永恆	wieczny	N	ADJ;ACC;MASC;SG
永恆	wieczne	永恆	wieczny	N	ADJ;NOM;NEUT;SG
永恆	wieczna	永恆	wieczna	N	ADJ;NOM;FEM;SG
永恆	wieczny	永恆	wieczny	N	ADJ;NOM;MASC;SG
津	zasiłki	津	zasiłek	PROPN	N;NOM;MASC;PL
津	kieszonkowe	津	kieszonkowy	PROPN	ADJ;NOM;NEUT;SG
津	zasiłek	津	zasiłek	PROPN	N;NOM;MASC;SG
破解	pęknięcie	破解	pęknięcie	V	N;NOM;NEUT;SG
破解	crack	破解	cracki	V	
捲	roll	捲	roll	N	
卡車	truck	卡車	truck	N	
麻雀	wróble	麻雀	wróble	PROPN	
麻雀	wróbel	麻雀	wróbel	PROPN	PROPN;NOM;MASC;SG
麻雀	sparrow	麻雀	sparry	PROPN	
關	troska	關	troski	PROPN	N;NOM;FEM;SG
關	troskę	關	troska	PROPN	N;ACC;FEM;SG
耳朵	uszy	耳朵	ucho	N	
耳朵	uszy	耳朵	ucho	N	
啟發	inspiracja	啟發	inspiracja	V	N;NOM;FEM;SG
啟發	zainspirowany	啟發	zainspirować	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
啟發	inspirujące	啟發	inspirować	V	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
盧森堡	luksemburgu	盧森堡	luksemburg	PROPN	N;GEN;MASC;SG
盧森堡	luksemburg	盧森堡	luksemburg	PROPN	N;NOM;MASC;SG
盧森堡	luksemburga	盧森堡	luksemburga	PROPN	N;GEN;MASC;SG
佔有	posiadanie	佔有	posiadać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
佔有	posiadania	佔有	posiadać	V	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
獨家	wyłączność	獨家	wyłączność		N;ACC;FEM;SG
獨家	ekskluzywne	獨家	ekskluzywny		ADJ;NOM;NEUT;SG
獨家	ekskluzywny	獨家	ekskluzywny		ADJ;NOM;MASC;SG
獨家	wyłączne	獨家	wyłączny		ADJ;NOM;NEUT;SG
掩護	pokrycie	掩護	pokrycie	N	
鈍	blunt	鈍	blunt	N	
復原	przywrócenie	復原	przywrócenie	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
復原	odbudowa	復原	odbudowy	V	
復原	odtworzenie	復原	odtworzyć	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
復原	przywrócenia	復原	przywrócić	V	N;PFV;GEN;NEUT;SG;POS;V.MSDR
復原	odzyskanie	復原	odzyskać	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
復原	odzysk	復原	odzysk	V	N;NOM;MASC;SG
復原	odzyskiwanie	復原	odzyskiwać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
復原	odzysku	復原	odzysk	V	N;GEN;MASC;SG
真主	allah	真主	allah	PROPN	N;NOM;MASC;SG
真主	allaha	真主	allaha	PROPN	N;ACC;MASC;SG
清潔	czystość	清潔	czystość	V	N;NOM;FEM;SG
清潔	chemiczna	清潔	chemiczny	V	ADJ;NOM;FEM;SG
清潔	sprzątanie	清潔	sprzątanie	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
清潔	czyszczenie	清潔	czyszczenie	V	N;NOM;NEUT;SG;POS;V.MSDR
清潔	oczyszczanie	清潔	oczyszczanie	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
清潔	porządki	清潔	porządek	V	N;NOM;MASC;PL
清潔	czysty	清潔	czysty	V	ADJ;NOM;MASC;SG
清潔	czysta	清潔	czysty	V	
清潔	czyste	清潔	czysty	V	ADJ;NOM;NEUT;SG
友誼	przyjaźni	友誼	przyjaźń	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
多	zróżnicowanie	多	zróżnicowanie	NUM	N;NOM;NEUT;SG
多	dywersyfikacji	多	dywersyfikacja	NUM	N;GEN;FEM;SG
多	pluralizmu	多	pluralizm	NUM	N;GEN;MASC;SG
多	zróżnicowanie	多	zróżnicowanie	NUM	N;NOM;NEUT;SG
多	różnorodności	多	różnorodność	NUM	N;GEN;FEM;SG
多	różnorodność	多	różnorodność	NUM	N;NOM;FEM;SG
多	dywersyfikacji	多	dywersyfikacja	NUM	N;GEN;FEM;SG
多	pluralizmu	多	pluralizm	NUM	N;GEN;MASC;SG
友善	przyjacielski	友善	przyjacielski	N	ADJ;NOM;MASC;SG
友善	przyjazny	友善	przyjazny	N	ADJ;NOM;MASC;SG
友善	przyjazna	友善	przyjazny	N	ADJ;NOM;FEM;SG
友善	przyjazne	友善	przyjazny	N	ADJ;NOM;NEUT;SG
友善	friendly	友善	friendla	N	
山麓	pogórze	山麓	pogór	N	
甜蜜	słodki	甜蜜	słodki	N	
甜蜜	słodko	甜蜜	słodko	N	
甜蜜	sweet	甜蜜	sweet	N	
甜蜜	słodka	甜蜜	słodek	N	ADJ;NOM;FEM;SG
甜蜜	słodkie	甜蜜	słodki	N	ADJ;NOM;NEUT;SG
瘦	chude	瘦	chudy	N	
瘦	chuda	瘦	chudy	N	ADJ;NOM;FEM;SG
瘦	chudy	瘦	chudy	N	ADJ;NOM;MASC;SG
瘦	szczupła	瘦	szczupło	N	ADJ;NOM;FEM;SG
瘦	szczupły	瘦	szczupły	N	ADJ;NOM;MASC;SG
瘦	slim	瘦	slem	N	
瘦	chudy	瘦	chudy	N	ADJ;NOM;MASC;SG
瘦	chudego	瘦	chudy	N	ADJ;ACC;MASC;SG
瘦	szczupła	瘦	szczupło	N	ADJ;NOM;FEM;SG
瘦	cienkie	瘦	cienki	N	ADJ;NOM;NEUT;SG
瘦	cienka	瘦	cienki	N	ADJ;NOM;FEM;SG
瘦	chudy	瘦	chudy	N	ADJ;NOM;MASC;SG
瘦	cienki	瘦	cienki	N	ADJ;NOM;MASC;SG
學界	akademickie	學界	akademicki	N	ADJ;NOM;NEUT;SG
學界	academia	學界	academia	N	
優質	jakości	優質	jakość	N	
船員	załogi	船員	załoga	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
前衛	vanguard	前衛	vanguard	N	
山羊	kozie	山羊	kozić	N	
山羊	kozy	山羊	koza	N	
山羊	kóz	山羊	kóz	N	
山羊	kozy	山羊	koza	N	
山羊	kóz	山羊	kóz	N	
丟	rzut	丟	rzut	V	N;NOM;MASC;SG
雪梨	sydney	雪梨	sydney	PROPN	
鳳蝶	papilio	鳳蝶	papilio	N	
消化	trawienie	消化	trawić	V	N;NOM;NEUT;SG
消化	digest	消化	digest	V	
租賃	dzierżawa	租賃	dzierżawać	N	
租賃	dzierżawy	租賃	dzierżawy	N	
租賃	dzierżawa	租賃	dzierżawać	N	
租賃	dzierżawy	租賃	dzierżawy	N	
凱撒	caesar	凱撒	caesar	PROPN	N;NOM;MASC;SG
凱撒	cezara	凱撒	cezar	PROPN	
凱撒	cezar	凱撒	cezar	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
馬達加斯加	madagaskar	馬達加斯加	madagaskar	PROPN	N;NOM;FEM;SG
告別	pożegnanie	告別	pożegnać	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
胖	gruba	胖	gruba	N	
胖	grubo	胖	grubo	N	
胖	fat	胖	fato	N	
胖	gruby	胖	gruby	N	
狹窄	zwężeniem	狹窄	zwężenie	ADJ	N;PFV;INS;NEUT;SG;POS;V.MSDR
裁決	werdykt	裁決	werdykt	V	N;NOM;MASC;SG
裁決	wyrok	裁決	wyrok	V	N;NOM;MASC;SG
裁決	orzeczenie	裁決	orzeczenie	V	N;NOM;NEUT;SG
無力	bezsilny	無力	bezsilny	N	ADJ;NOM;MASC;SG
節省	oszczędność	節省	oszczędność	V	N;NOM;FEM;SG
節省	oszczędności	節省	oszczędność	V	N;ACC;FEM;PL
節省	oszczędnościowe	節省	oszczędnościowy	V	ADJ;NOM;NEUT;SG
節省	oszczędzania	節省	oszczędzanie	V	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
節省	uratowanie	節省	uratować	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
節省	oszczędność	節省	oszczędność	V	N;NOM;FEM;SG
節省	oszczędności	節省	oszczędność	V	N;ACC;FEM;PL
節省	ratowanie	節省	ratować	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
節省	zapisywanie	節省	zapisywać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
節省	oszczędzania	節省	oszczędzanie	V	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
磚	cegieł	磚	cegieł	N	
磚	cegły	磚	cegły	N	
磚	brick	磚	brick	N	
磚	cegły	磚	cegły	N	
利率	stawki	利率	stawka	N	
高大	wysoka	高大	wysoki	ADJ	
高大	wysoki	高大	wysoki	ADJ	
高大	wysokie	高大	wysoki	ADJ	V;PFV;IND;SG;FIN;ACT
水下	podwodny	水下	podwodny	N	ADJ;NOM;MASC;SG
水下	podwodne	水下	podwodny	N	ADJ;NOM;NEUT;SG
意向	zamiar	意向	zamiar	N	V;PFV;IND;PRS;FIN;ACT
意向	zamiar	意向	zamiar	N	V;PFV;IND;PRS;FIN;ACT
壓制	represji	壓制	represja	V	N;GEN;FEM;SG
壓制	represje	壓制	represja	V	N;NOM;FEM;PL
壓制	tłumienia	壓制	tłumienie	V	
進度	progress	進度	progress	N	
重溫	przeżywać	重溫	przeżywać	N	V;IPFV;NFIN;ACT
指稱	zarzuty	指稱	zarzut	V	N;NOM;MASC;PL
指稱	oskarżenia	指稱	oskarżenie	V	N;NOM;NEUT;PL
指稱	zarzut	指稱	zarzut	V	N;NOM;MASC;SG
突襲	nalot	突襲	nalot	V	N;NOM;MASC;SG
突襲	najazd	突襲	najazd	V	N;NOM;MASC;SG
突襲	naloty	突襲	nalót	V	N;NOM;MASC;PL
情侶	par	情侶	par	N	
情侶	pary	情侶	para	N	
情侶	para	情侶	para	N	
情侶	zakochani	情侶	zakochać	N	ADJ;NOM;MASC;PL
交接	przekazania	交接	przekazanie	V	N;NOM;NEUT;SG
示	wzór	示	wzór	V	N;NOM;MASC;SG
示	model	示	model	V	N;NOM;MASC;SG
示	modelka	示	modelka	V	N;NOM;FEM;SG
示	wykazanie	示	wykazać	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
示	demonstracja	示	demonstracja	V	N;NOM;FEM;SG
示	demonstracje	示	demonstracja	V	N;NOM;FEM;PL
示	demonstracji	示	demonstracja	V	N;GEN;FEM;SG
示	demo	示	demo	V	
示	demonstracja	示	demonstracja	V	N;NOM;FEM;SG
保全	zachować	保全	zachować	N	V;PFV;NFIN;ACT
保全	zachowaj	保全	zachować	N	V;PFV;IMP;SG;2;FIN;ACT
智力	intelektualnej	智力	intelektualny	N	ADJ;GEN;FEM;SG
羽田	haneda	羽田	haned	PROPN	
渡口	prom	渡口	prom	N	
渡口	promie	渡口	promieć	N	
糾紛	sporów	糾紛	spór	N	
糾紛	spory	糾紛	spór	N	
糾紛	sporu	糾紛	spór	N	
發光	shine	發光	shina	V	
發光	świecące	發光	świecić	V	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
發光	świetliste	發光	świetlisty	V	ADJ;NOM;NEUT;SG
發光	blask	發光	blask	V	N;NOM;MASC;SG
結盟	sojusz	結盟	sojusz	V	N;NOM;MASC;SG
結盟	sojuszu	結盟	sojusz	V	N;GEN;MASC;SG
結盟	przymierze	結盟	przymierz	V	
阿拉伯	arabskie	阿拉伯	arabski	PROPN	ADJ;NOM;NEUT;SG
阿拉伯	arabski	阿拉伯	arabski	PROPN	ADJ;NOM;MASC;SG
抱怨	narzekania	抱怨	narzekanie	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
窮	biedny	窮	biedny		ADJ;NOM;MASC;SG
窮	biedne	窮	biedny		ADJ;NOM;NEUT;SG
窮	biedna	窮	biedny		ADJ;NOM;FEM;SG
投球	pak	投球	pak	V	
投球	rzut	投球	rzut	V	N;NOM;MASC;SG
投球	boisko	投球	boisko	V	N;NOM;NEUT;SG
