valoroase	قيمة	valoros	قِيمَة	ADJ;INDF;FEM;PL	N;NOM;INDF;SG
scade	انخفاض	scădea	اِنخِفَاض	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
scade	النقصان	scădea	نِقصَان	V;IND;SG;3;PRS;FIN	N;NOM;DEF;SG
scade	نقصان	scădea	نقصان	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
scade	خفض	scădea	خَفض	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
ton	التونة	ton	تَونَة	N;INDF;MASC;SG	N;NOM;DEF;SG
cheia	المفتاح	cheie	مُفتَاح	N;DEF;FEM;SG	N;NOM;DEF;SG
cheia	مفتاح	cheie	مفتاح	N;DEF;FEM;SG	N;NOM;INDF;SG
romanov	رومانوف	romanov	رُومَانُوف	PROPN	
mecanice	ميكانيكي	mecanic	مِيكَانِيكِي	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG
mecanice	ميكانيكية	mecanic	مِيكَانِيكِيَّة	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;FEM;SG
mecanice	الميكانيكية	mecanic	مِيكَانِيكِيَّة	ADJ;INDF;FEM;PL	N;NOM;DEF;SG
ascunde	اخفاء	ascunde	إِخفَاء	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
ascunde	تبي	ascunde	بَاك	V;IND;SG;3;PRS;FIN	
ascunde	اخف	ascunde	أَخف	V;IND;SG;3;PRS;FIN	
mobil	جوال	mobil	جَوَال	N;INDF;MASC;SG	
mobil	الجوال	mobil	جَوَال	N;INDF;MASC;SG	N;NOM;DEF;SG
mobil	الموبايل	mobil	مُوبَايِل	N;INDF;MASC;SG	N;NOM;DEF;SG
mobil	موبايل	mobil	مَوبَايل	N;INDF;MASC;SG	
schi	تزلج	schi	زَلَّج	N;INDF;MASC;SG	
schi	سكي	schi	سَكَى	N;INDF;MASC;SG	
schi	تزلج	schi	زَلَّج	N;INDF;MASC;SG	
schi	التزحلق	schi	تَزَحُّل	N;INDF;MASC;SG	N;NOM;DEF;SG
schi	التزلج	schi	تَزَلُّج	N;INDF;MASC;SG	N;NOM;DEF;SG
fondarea	تاسيس	fondare	تاسيس	N;DEF;FEM;SG	N;NOM;INDF;SG
depozite	المخازن	depozit	مَخزَن	N;INDF;FEM;PL	N;NOM;DEF;PL
depozite	المستودعات	depozit	مُستَودَع	N;INDF;FEM;PL	N;NOM;DEF;PL
depozite	الودائع	depozit	وَدِيعَة	N;INDF;FEM;PL	N;NOM;DEF;PL
aeroport	المطار	aeroport	مَطَار	N;INDF;MASC;SG	N;NOM;DEF;SG
talentul	الموهبة	talent	مَوهِبَة	N;DEF;MASC;SG	N;NOM;DEF;SG
talentul	المواهب	talent	مَوهِب	N;DEF;MASC;SG	N;NOM;DEF;PL
talentul	موهبة	talent	مُوَهِّبَة	N;DEF;MASC;SG	N;NOM;INDF;SG
permisiunea	تصريح	permisiune	تَصرِيح	N;DEF;FEM;SG	N;NOM;INDF;SG
permisiunea	الاذن	permisiune	اَلذَذِن	N;DEF;FEM;SG	N;NOM;DEF;SG
pragul	العتبة	prag	عِتبَة	N;DEF;MASC;SG	N;NOM;DEF;SG
pragul	عتبة	prag	عِتبَة	N;DEF;MASC;SG	
ouă	البيض	ou	بَيض	N;INDF;FEM;PL	N;NOM;DEF;SG
ouă	بيض	ou	بَيض	N;INDF;FEM;PL	
ușa	باب	ușă	بَاب	N;DEF;FEM;SG	N;NOM;INDF;SG
ușa	الباب	ușă	بَاب	N;DEF;FEM;SG	N;NOM;DEF;SG
aristotel	ارسطو	aristotel	أَرسَطُو	N;INDF;MASC;SG	
alpha	الفا	alpha	أَلف		NUM;NOM;INDF;SG
firmă	شركة	firmă	شَرِكَة	N;INDF;FEM;SG	N;NOM;INDF;SG
firmă	الشركة	firmă	شَرِكَة	N;INDF;FEM;SG	N;NOM;DEF;SG
firmă	حازم	firmă	حازم	N;INDF;FEM;SG	
tipărită	مطبوعة	tipărit	مَطبُوع	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
tipărită	مطبوع	tipărit	مُطبَو	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
rica	ريكا	rica	ريكا	PROPN	
imnul	النشيد	imn	نَشِيد	N;DEF;MASC;SG	N;NOM;DEF;SG
imnul	نشيد	imn	نشيد	N;DEF;MASC;SG	N;NOM;INDF;SG
chirurgie	الجراحة	chirurgie	جِرَاحَة	N;INDF;FEM;SG	N;NOM;DEF;SG
chirurgie	جراحة	chirurgie	جِرَاحَة	N;INDF;FEM;SG	N;NOM;INDF;SG
madison	ماديسون	madison	ماديسون	N;INDF;MASC;SG	
icoana	رمز	icoană	رَمز	N;DEF;FEM;SG	N;NOM;INDF;SG
icoana	ايقونة	icoană	ايقونة	N;DEF;FEM;SG	N;NOM;INDF;SG
amy	ايمى	amy	ايمى	PROPN	
amy	ايمي	amy	ايمي	PROPN	
klaus	كلاوس	klaus	كلاوس	PROPN	
pași	الخطوات	pas	خَطوَة	N;INDF;MASC;PL	N;NOM;DEF;PL
spațial	المكاني	spațial	مَكَانِي	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
legislația	التشريعات	legislație	تَشرِيع	N;DEF;FEM;SG	N;NOM;DEF;PL
legislația	تشريعات	legislație	تَشرِيع	N;DEF;FEM;SG	N;NOM;INDF;PL
legislația	التشريع	legislație	تَشرِيع	N;DEF;FEM;SG	N;NOM;DEF;SG
legislația	تشريع	legislație	تَشرِيع	N;DEF;FEM;SG	N;NOM;INDF;SG
butler	باتلر	butler	باتلر	PROPN	
discutat	نوقشت	discuta	نَاقَش	ADJ;INDF;MASC;SG	V;PFV;FEM;SG;3;PASS
discutat	نوقش	discuta	نوقش	ADJ;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
discutat	ناقش	discuta	نَاقَش	ADJ;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
rolling	المتداول	rolling	مُتَدَاوَل	PROPN	ADJ;NOM;DEF;MASC;SG
explicație	الشرح	explicație	شَرح	N;INDF;FEM;SG	N;NOM;DEF;SG
explicație	شرح	explicație	شَرح	N;INDF;FEM;SG	
explicație	توضيح	explicație	تَوضِيح	N;INDF;FEM;SG	N;NOM;INDF;SG
explicație	التفسير	explicație	تَفسِير	N;INDF;FEM;SG	N;NOM;DEF;SG
explicație	تفسير	explicație	تَفسِير	N;INDF;FEM;SG	N;NOM;INDF;SG
explicație	تعليل	explicație	تَعلِيل	N;INDF;FEM;SG	N;NOM;INDF;SG
ritm	الايقاع	ritm	إِيقَاع	N;INDF;MASC;SG	N;NOM;DEF;SG
hudson	هادسون	hudson	هادسون	PROPN	
hudson	هادسن	hudson	هادسن	PROPN	
hudson	هدسون	hudson	هُدسُون	PROPN	
placa	البلاك	placă	بَلَك	N;DEF;FEM;SG	
bursa	بورصة	bursă	بُورصَة	N;DEF;FEM;SG	N;NOM;INDF;SG
nori	سحاب	nor	سَحَّاب	N;INDF;MASC;PL	N;NOM;INDF;SG
nori	السحب	nor	سَحب	N;INDF;MASC;PL	N;NOM;DEF;SG
nori	غيوم	nor	غِيَوم	N;INDF;MASC;PL	
nori	الغيوم	nor	غُيُوم	N;INDF;MASC;PL	N;NOM;DEF;PL
nori	سحب	nor	سَحب	N;INDF;MASC;PL	N;NOM;INDF;SG
edmund	ادموند	edmunde	ادموند	PROPN	
mercedes	مرسيدس	mercedes	مرسيدس	N;INDF;MASC;SG	
mercedes	المرسيدس	mercedes	مُرَسَّد	N;INDF;MASC;SG	
intelectuali	المثقفين	intelectual	مُثَقَّف	N;INDF;MASC;PL	N;NOM;DEF;PL
intelectuali	الفكرية	intelectual	فِكرِيّ	N;INDF;MASC;PL	ADJ;NOM;DEF;FEM;SG
intelectuali	فكرية	intelectual	فِكرِيّ	N;INDF;MASC;PL	ADJ;NOM;INDF;FEM;SG
împotrivă	ضد	împotriva	ضِدَّ		ADP;ACC
protejat	محمية	protejat	محمية	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
ronald	رونالد	ronald	رُونَالد	PROPN	
colective	جماعية	colectiv	جَمَاعِيّ	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;FEM;SG
colective	جماعي	colectiv	جَمَاعِيّ	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG
popularitate	شعبية	popularitate	شَعبِيَّة	N;INDF;FEM;SG	N;NOM;INDF;SG
popularitate	الشعبية	popularitate	شَعبِيّ	N;INDF;FEM;SG	ADJ;NOM;DEF;FEM;SG
gândit	اعتقدت	gândi	اِعتَقَد	ADJ;INDF;MASC;SG	V;PFV;FEM;SG;3;ACT
gândit	ظننت	gândi	ظَنَّن	ADJ;INDF;MASC;SG	V;PFV;MASC;SG;1;ACT
gândit	الفكر	gândi	فِكر	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
gândit	ظن	gândi	ظِن	ADJ;INDF;MASC;SG	
gândit	فكرت	gândi	فكرت	ADJ;INDF;MASC;SG	V;PFV;FEM;SG;3;ACT
castle	القلعة	castle	قَلعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
castle	كاسل	castle	كَاسِل	N;INDF;MASC;SG	
droguri	العقاقير	drog	عَقَّار	N;INDF;FEM;PL	N;NOM;DEF;PL
droguri	المخدرات	drog	مُخَدِّر	N;INDF;FEM;PL	N;NOM;DEF;PL
droguri	مخدر	drog	مَخدَر	N;INDF;FEM;PL	N;NOM;INDF;SG
droguri	عقار	drog	عَقَار	N;INDF;FEM;PL	N;NOM;INDF;SG
willem	ويلما	willem	ويلما	PROPN	
willem	ويلم	willem	ويلم	PROPN	
execuție	اعدام	execuție	إِعدَام	N;INDF;FEM;SG	N;NOM;INDF;SG
execuție	التنفيذ	execuție	تَنفِيذ	N;INDF;FEM;SG	N;NOM;DEF;SG
execuție	الاعدام	execuție	إِعدَام	N;INDF;FEM;SG	N;NOM;DEF;SG
jucând	اللعب	juca	لَعب	V;V.MSDR	N;NOM;DEF;SG
succese	النجاحات	succes	نَجَاح	N;INDF;FEM;PL	N;NOM;DEF;PL
succese	ناجحة	succes	نَاجِح	N;INDF;FEM;PL	ADJ;NOM;INDF;FEM;SG
succese	النجاح	succes	نَجَاح	N;INDF;FEM;PL	N;NOM;DEF;SG
succese	التوفيق	succes	تَوفِيق	N;INDF;FEM;PL	N;NOM;DEF;SG
succese	نجاح	succes	نَجَاح	N;INDF;FEM;PL	N;NOM;INDF;SG
bratislava	براتيسلافا	bratislavă	برَاتِيسلَافَا	N;DEF;FEM;SG	
nuvelă	رواية	nuvelă	رِوَايَة	N;INDF;FEM;SG	N;NOM;INDF;SG
publica	نشر	publica	نَشر	V;IND;SG;3;IPFV;FIN	N;NOM;INDF;SG
publica	انشر	publica	انشر	V;IND;SG;3;IPFV;FIN	
publica	النشر	publica	نَشر	V;IND;SG;3;IPFV;FIN	N;NOM;DEF;SG
card	البطاقة	card	بِطَاقَة	N;INDF;MASC;SG	N;NOM;DEF;SG
card	كارد	card	كارد	N;INDF;MASC;SG	
card	كارت	card	كَار	N;INDF;MASC;SG	
reformei	اصلاح	reformă	إِصلَاح	N;DEF;FEM;SG	N;NOM;INDF;SG
reformei	الاصلاح	reformă	إِصلَاح	N;DEF;FEM;SG	N;NOM;DEF;SG
necunoscute	مجهول	necunoscut	مَجهُول	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG
filipine	الفلبينية	filipine	فِلِبِّينِيّ	N;INDF;FEM;SG	ADJ;NOM;DEF;FEM;SG
filipine	الفلبين	filipine	الفلبين	N;INDF;FEM;SG	
filipine	بالفلبين	filipine	بالفلبين	N;INDF;FEM;SG	
secundară	الثانوية	secundar	ثَانَوِيّ	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
secundară	ثانوي	secundar	ثَانَوِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
secundară	ثانوية	secundar	ثَانَوِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
secundară	الثانوي	secundar	ثَانَوِيّ	ADJ;INDF;FEM;SG	
promis	الموعود	promite	مَوعُود	V;MASC;SG;V.PTCP	ADJ;NOM;DEF;MASC;SG
rin	رين	rin	رين	N;INDF;MASC;SG	
rin	الراين	rin	رَايِن	N;INDF;MASC;SG	
incident	الحادث	incident	حَادِث	N;INDF;MASC;SG	N;NOM;DEF;SG
incident	الحادثة	incident	حَادِث	N;INDF;MASC;SG	N;NOM;DEF;SG
semnificația	دلالة	semnificație	دَلَالَة	N;DEF;FEM;SG	N;NOM;INDF;SG
semnificația	الاهمية	semnificație	أَهَمِّيَّة	N;DEF;FEM;SG	N;NOM;DEF;SG
semnificația	اهمية	semnificație	أَهَمِّيَّة	N;DEF;FEM;SG	N;NOM;INDF;SG
plecare	رحيل	plecare	رَحِيل	N;INDF;FEM;SG	
plecare	الرحيل	plecare	رَحِيل	N;INDF;FEM;SG	N;NOM;DEF;SG
plecare	مغادرة	plecare	مُغَادَرَة	N;INDF;FEM;SG	N;NOM;INDF;SG
plecare	المغادرة	plecare	مُغَادَرَة	N;INDF;FEM;SG	N;NOM;DEF;SG
gândire	افكر	gândire	افكر	N;INDF;FEM;SG	
gândire	التفكير	gândire	تَفكِير	N;INDF;FEM;SG	N;NOM;DEF;SG
gândire	تفكير	gândire	تَفكِير	N;INDF;FEM;SG	N;NOM;INDF;SG
gândire	تفكر	gândire	فَكَّر	N;INDF;FEM;SG	V;IPFV;MASC;IND;SG;2;FIN;ACT
anatomia	التشريح	anatomie	تَشرِيح	N;DEF;FEM;SG	N;NOM;DEF;SG
anatomia	تشريح	anatomie	تَشرِيح	N;DEF;FEM;SG	N;NOM;INDF;SG
farmacie	الصيدلية	farmacie	صِيدلِيّ	N;INDF;FEM;SG	N;NOM;DEF;SG
farmacie	صيدلية	farmacie	صَيدَلِيّ	N;INDF;FEM;SG	N;NOM;INDF;SG
rightarm	r	rightarm	لَ	N;INDF;MASC;SG	
mexican	مكس	mexican	مَكس	ADJ;INDF;MASC;SG	
mexican	المكسيكي	mexican	مَكسِيكِيّ	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
five	خمسة	fiv	خَمسَة	N;INDF;MASC;SG	NUM;NOM;INDF;MASC
five	خمسه	fiv	خمسه	N;INDF;MASC;SG	
five	خمس	fiv	خَمسَة	N;INDF;MASC;SG	NUM;NOM;INDF;FEM
pictate	رسمت	picta	رَسمَت	ADJ;INDF;FEM;PL	V;PFV;FEM;SG;3;ACT
pictate	صبغ	picta	صبغ	ADJ;INDF;FEM;PL	N;NOM;INDF;SG
parcuri	الحدائق	parc	حَدِيقَة	N;INDF;FEM;PL	N;NOM;DEF;PL
pozitivă	ايجابي	pozitiv	إِيجَابِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
pozitivă	الايجابي	pozitiv	إِيجَابِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;MASC;SG
pozitivă	ايجابية	pozitiv	إِيجَابِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
pozitivă	الايجابية	pozitiv	إِيجَابِيّ	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;FEM;SG
pozitivă	موجب	pozitiv	مُوجِب	ADJ;INDF;FEM;SG	N;NOM;INDF;SG
sângele	دماء	sânge	دَم	N;DEF;MASC;SG	N;NOM;INDF;PL
sângele	دم	sânge	دَم	N;DEF;MASC;SG	N;NOM;INDF;SG
sângele	دما	sânge	دَم	N;DEF;MASC;SG	N;NOM;INDF;SG
sângele	الدم	sânge	دَم	N;DEF;MASC;SG	N;NOM;DEF;SG
marchiz	ماركيز	marchiz	ماركيز	N;INDF;MASC;SG	
yemen	اليمن	yemen	يَمَن	PROPN	N;NOM;DEF;SG
cântând	غناء	cânta	غناء	V;V.MSDR	N;NOM;INDF;SG
cântând	اغني	cânta	اغني	V;V.MSDR	
cântând	الغناء	cânta	غِنَاء	V;V.MSDR	N;NOM;DEF;SG
stiluri	موديلات	stil	مُودِيل	N;INDF;FEM;PL	
stiluri	الانماط	stil	إِنمَاط	N;INDF;FEM;PL	N;NOM;DEF;PL
stiluri	الاساليب	stil	أُسلُوب	N;INDF;FEM;PL	N;NOM;DEF;PL
norvegian	النرويجية	norvegian	نُروِيجِيّ	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
norvegian	النرويج	norvegian	نُرُويج	ADJ;INDF;MASC;SG	
împușcat	طلقة	împușca	طَلَقَة	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
sălbatică	البرية	sălbatic	بَرِّيّ	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
sălbatică	برية	sălbatic	بَرِّيّ	ADJ;INDF;FEM;SG	ADJ;NOM;INDF;FEM;SG
sălbatică	البري	sălbatic	بَرِّيّ	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
teamă	خو	teamă	خو	N;INDF;FEM;SG	
teamă	الخوف	teamă	خَوف	N;INDF;FEM;SG	N;NOM;DEF;SG
teamă	خوف	teamă	خَائِف	N;INDF;FEM;SG	N;NOM;INDF;SG
statui	التماثيل	statui	تَمثِيل	N;INDF;FEM;PL	N;NOM;DEF;PL
sâmbătă	سبت	sâmbătă	سَبت	N;INDF;FEM;SG	N;NOM;INDF;SG
sâmbătă	السبت	sâmbătă	سَبت	N;INDF;FEM;SG	N;NOM;DEF;SG
profesioniști	المحترفين	profesionist	مُحتَرِف	ADJ;INDF;MASC;PL	ADJ;NOM;DEF;MASC;PL
profesioniști	محترفين	profesionist	مُحتَرِف	ADJ;INDF;MASC;PL	N;NOM;INDF;PL
profesioniști	المهنيين	profesionist	مُهِنّ	ADJ;INDF;MASC;PL	ADJ;ACC;DEF;MASC;PL
profesioniști	محترفون	profesionist	مُحتَرَف	ADJ;INDF;MASC;PL	N;NOM;INDF;PL
irlandez	الايرلندية	irlandez	إِيرلَندِيّ	ADJ;INDF;MASC;SG	
consilieri	المستشارين	consilier	مُستَشَار	N;INDF;MASC;PL	N;NOM;DEF;PL
consilieri	المستشارون	consilier	مُستَشَار	N;INDF;MASC;PL	N;NOM;DEF;PL
consilieri	المستشارون	consilier	مُستَشَار	N;INDF;MASC;PL	N;NOM;DEF;PL
consilieri	المستشارين	consilier	مُستَشَار	N;INDF;MASC;PL	N;NOM;DEF;PL
consilieri	المستشارون	consilier	مُستَشَار	N;INDF;MASC;PL	N;NOM;DEF;PL
bunica	جدة	bunică	جِدَّة	N;DEF;FEM;SG	N;NOM;INDF;SG
bunica	الجدة	bunică	جِدَّة	N;DEF;FEM;SG	N;NOM;DEF;SG
bunica	جدة	bunică	جِدَّة	N;DEF;FEM;SG	N;NOM;INDF;SG
bunica	جدتي	bunică	جِدَة	N;DEF;FEM;SG	
lituaniei	ليتوانيا	lituanie	ليتوانيا	PROPN;DEF;FEM;SG	
lituaniei	وليتوانيا	lituanie	وليتوانيا	PROPN;DEF;FEM;SG	
limitate	المحدود	limitat	مَحدُود	ADJ;INDF;FEM;PL	ADJ;NOM;DEF;MASC;SG
limitate	محدود	limitat	مَحدُود	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG
limitate	محدودا	limitat	مَحدُود	ADJ;INDF;FEM;PL	ADJ;ACC;INDF;MASC;SG
limitate	محدودة	limitat	مَحدُود	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;FEM;SG
limitate	محدودية	limitat	مَحدُودِيَّة	ADJ;INDF;FEM;PL	N;NOM;INDF;SG
pereți	اسوار	perete	سُور	N;INDF;MASC;PL	
pereți	الحوائط	perete	حَائِط	N;INDF;MASC;PL	N;NOM;DEF;PL
pereți	الحيطان	perete	حِيطَان	N;INDF;MASC;PL	
pereți	جدران	perete	جِدرَان	N;INDF;MASC;PL	
pereți	الجدران	perete	جِدَار	N;INDF;MASC;PL	N;NOM;DEF;PL
perry	بيري	perry	بِيرِي	PROPN	
distincție	التمييز	distincție	تَميِيز	N;INDF;FEM;SG	N;NOM;DEF;SG
distincție	التفرقة	distincție	تَفرِقَة	N;INDF;FEM;SG	N;NOM;DEF;SG
distincție	تمييز	distincție	تَميِيز	N;INDF;FEM;SG	N;NOM;INDF;SG
platformă	المنصة	platformă	مِنَصَّة	N;INDF;FEM;SG	N;NOM;DEF;SG
platformă	الرصيف	platformă	رَصِيف	N;INDF;FEM;SG	N;NOM;DEF;SG
platformă	منصة	platformă	مِنَصَّة	N;INDF;FEM;SG	N;NOM;INDF;SG
rugăciune	الصلاة	rugăciune	صَلَاة	N;INDF;FEM;SG	N;NOM;DEF;SG
rugăciune	الدعاء	rugăciune	دُعَاء	N;INDF;FEM;SG	N;NOM;DEF;SG
rugăciune	دعاء	rugăciune	دِعَاء	N;INDF;FEM;SG	N;NOM;INDF;SG
rugăciune	صلاة	rugăciune	صَلَاة	N;INDF;FEM;SG	N;NOM;INDF;SG
luther	لوثر	luther	لوثر	PROPN	
personalitatea	شخصيه	personalitate	شخصيه	N;DEF;FEM;SG	
personalitatea	الشخصية	personalitate	شَخصِيّ	N;DEF;FEM;SG	ADJ;NOM;DEF;FEM;SG
personalitatea	شخصية	personalitate	شَخصِيَّة	N;DEF;FEM;SG	N;NOM;INDF;SG
atelierul	الورشة	atelier	وَرشَة	N;DEF;MASC;SG	N;NOM;DEF;SG
cook	الطباخ	cook	طَبِيخ	PROPN	N;NOM;DEF;SG
cook	طباخ	cook	طباخ	PROPN	N;NOM;INDF;SG
cook	كوك	cook	كُوك	PROPN	
tara	بلد	tară	بَلَد	N;DEF;FEM;SG	N;NOM;INDF;SG
tara	البلاد	tară	بَلَد	N;DEF;FEM;SG	N;NOM;DEF;PL
tara	بلاد	tară	بَلَد	N;DEF;FEM;SG	N;NOM;INDF;PL
tara	البلد	tară	بَلَد	N;DEF;FEM;SG	N;NOM;DEF;SG
tara	تارا	tară	تارا	N;DEF;FEM;SG	
abur	البخار	abur	بِخَار	N;INDF;MASC;SG	N;NOM;DEF;SG
oleg	اوليغ	oleg	أُولِيغ	PROPN	
respectarea	الامتثال	respectare	اِمتِثَال	N;DEF;FEM;SG	N;NOM;DEF;SG
respectarea	امتثال	respectare	اِمتِثَال	N;DEF;FEM;SG	N;NOM;INDF;SG
vama	الجمارك	vamă	جُمرُك	N;DEF;FEM;SG	N;NOM;DEF;PL
vama	جمارك	vamă	جُمرُك	N;DEF;FEM;SG	N;NOM;INDF;PL
vama	العادات	vamă	عَادَة	N;DEF;FEM;SG	N;NOM;DEF;PL
adult	بالغا	adult	بَالِغ	N;INDF;MASC;SG	ADJ;ACC;INDF;MASC;SG
adult	راشد	adult	راشد	N;INDF;MASC;SG	
adult	بالغ	adult	بَالِغ	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
împarte	انقسام	împărți	اِنقِسَام	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
împarte	التقسيم	împărți	تَقسِيم	V;IND;SG;3;PRS;FIN	N;NOM;DEF;SG
împarte	تقسيم	împărți	تَقسِيم	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
dir	دير	dir	دير		
logica	منطق	logică	مَنطِق	N;DEF;FEM;SG	N;NOM;INDF;SG
logica	المنطق	logică	مَنطِق	N;DEF;FEM;SG	N;NOM;DEF;SG
helsinki	هلسنكي	helsinki	هِلسِنكِي	PROPN	
julia	جوليا	julie	جوليا	N;DEF;FEM;SG	
julia	خوليا	julie	خُولِيَا	N;DEF;FEM;SG	ADJ;ACC;INDF;MASC;SG
mussolini	موسوليني	mussolină	موسوليني	N;INDF;MASC;PL	
scooby	سكوبي	scooby	سُكُوبِيّ	N;INDF;MASC;SG	
faimos	الشهيرة	faimos	شَهِير	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
nuntă	العرس	nuntă	عَرس	N;INDF;FEM;SG	N;NOM;DEF;SG
nuntă	زفاف	nuntă	زِفَاف	N;INDF;FEM;SG	N;NOM;INDF;SG
nuntă	عرس	nuntă	عَرس	N;INDF;FEM;SG	N;NOM;INDF;SG
nuntă	زواج	nuntă	زَوَاج	N;INDF;FEM;SG	N;NOM;INDF;SG
magdalena	ماجدالينا	magdalenă	ماجدالينا	N;DEF;FEM;SG	
studiourile	الاستوديوهات	studio	اِستَودَيُوه	N;DEF;FEM;PL	
studiourile	الاستديوهات	studio	اِستَدَاو	N;DEF;FEM;PL	N;NOM;DEF;PL
studiourile	استوديوهات	studio	استوديوهات	N;DEF;FEM;PL	
studiourile	استديوهات	studio	اِستَدَاو	N;DEF;FEM;PL	
studiourile	ستوديوهات	studio	ستوديوهات	N;DEF;FEM;PL	N;NOM;INDF;PL
bat	المضرب	bate	مِضرَب	V;IND;PL;3;PRS;FIN	N;NOM;DEF;SG
bat	مضرب	bate	مُضرِب	V;IND;PL;3;PRS;FIN	
mintea	البال	minte	بَال	N;DEF;FEM;SG	N;NOM;DEF;SG
mintea	مانع	minte	مَانِع	N;DEF;FEM;SG	N;NOM;INDF;SG
mintea	العقل	minte	عَقل	N;DEF;FEM;SG	N;NOM;DEF;SG
mintea	عقل	minte	عَقَل	N;DEF;FEM;SG	
dmitri	ديمتري	dmitru	دِيمترِي	PROPN	
dmitri	دميتري	dmitru	دَمِيت	PROPN	
americanii	الاميركيين	american	أَمِيرِكِيّ	N;DEF;MASC;PL	N;NOM;DEF;PL
americanii	امريكيون	american	أَمرِيكِيّ	N;DEF;MASC;PL	N;NOM;INDF;PL
alexei	الكسي	alexe	كَسِيّ	PROPN;DEF;FEM;SG	N;NOM;DEF;SG
sârb	صرب	sârb	صَرب	ADJ;INDF;MASC;SG	
sârb	الصرب	sârb	صَرب	ADJ;INDF;MASC;SG	N;NOM;DEF;PL
