tennessee	теннесси	tennessa	теннесси	ADV	N;INAN;NOM;MASC;SG
rozhodnuté	решено	rozhodnutý	решить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
múr	стене	múr	стена	N;INAN;NOM;MASC;SG	N;INAN;DAT;FEM;SG
manhattan	манхэттен	manhattan	манхэттный	N;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG
stráže	стража	stráža	страж	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
stráže	охранников	stráža	охранник	N;NOM;FEM;PL	N;ANIM;GEN;MASC;PL
rozsiahly	обширные	rozsiahly	обширный	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;PL
edwards	эдвардс	edwards	эдвардс	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
financie	финансирование	financie	финансирование	N;NOM;FEM;PL	N;INAN;NOM;NEUT;SG
plotarea	plotarea	plotare	plotarea	N;INAN;NOM;MASC;SG	PROPN
nedeľu	воскресенье	nedeľa	воскресенье	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
nedeľu	воскресение	nedeľa	воскресение	N;ACC;FEM;SG	N;INAN;NOM;NEUT;SG
pomocný	вспомогательные	pomocný	вспомогательный	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;PL
pomocný	вспомогательных	pomocný	вспомогательный	ADJ;ANIM;NOM;MASC;SG	ADJ;GEN;PL
maďarov	венгры	maďar	венгр	N;ANIM;GEN;MASC;PL	N;ANIM;NOM;MASC;PL
ibm	ibm	ibm	ibm		PROPN
kľúč	ключевых	kľúč	ключевой	N;INAN;NOM;MASC;SG	ADJ;GEN;PL
ochorenie	болезни	ochorenie	болезнь	N;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
ochorenie	заболевания	ochorenie	заболевание	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
ochorenie	болезни	ochorenie	болезнь	N;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
ochorenie	болезни	ochorenie	болезнь	N;NOM;NEUT;SG	N;INAN;NOM;FEM;PL
kostolov	церкви	kostol	церковь	N;INAN;GEN;MASC;PL	N;INAN;NOM;FEM;SG
nadal	надаль	nadať	надаль	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
jacob	иакова	jacob	иаков	PROPN;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
jacob	якоб	jacob	якоб	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
jacob	джейкоб	jacob	джейкоб	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
jacob	яков	jacob	яков	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
ťažba	добычи	ťažba	добыча	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
ťažba	добычи	ťažba	добыча	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
lesné	леса	lesný	лес	ADJ;NOM;NEUT;SG	N;INAN;NOM;MASC;PL
lesné	лесных	lesný	лесной	ADJ;NOM;NEUT;SG	ADJ;GEN;PL
lesné	лес	lesný	лес	ADJ;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
centrá	центров	centrá	центр	N;NOM;NEUT;PL	N;INAN;GEN;MASC;PL
centrá	центров	centrá	центр	N;NOM;NEUT;PL	N;INAN;GEN;MASC;PL
indonézie	индонезия	indonézia	индонезия	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
indonézie	индонезию	indonézia	индонезия	N;NOM;FEM;PL	N;INAN;ACC;FEM;SG
vlastná	собственных	vlastný	собственный	ADJ;NOM;FEM;SG	ADJ;GEN;PL
vlastná	собственные	vlastný	собственный	ADJ;NOM;FEM;SG	ADJ;NOM;PL
vlastná	индивидуально	vlastný	индивидуально	ADJ;NOM;FEM;SG	ADV
vlastná	обычай	vlastný	обычай	ADJ;NOM;FEM;SG	N;INAN;NOM;MASC;SG
ministrov	министры	minister	министр	N;INAN;GEN;MASC;PL	N;ANIM;NOM;MASC;PL
ministrov	министрами	minister	министр	N;INAN;GEN;MASC;PL	N;ANIM;INS;MASC;PL
ministrov	министров	minister	министр	N;INAN;GEN;MASC;PL	N;ANIM;GEN;MASC;PL
šírenie	распространяется	šírenie	распространяться	N;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
šírenie	распространения	šírenie	распространение	N;NOM;NEUT;SG	N;INAN;GEN;NEUT;SG
obnovená	возобновил	obnovený	возобновить	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
obnovená	восстановлено	obnovený	восстановить	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
obnovená	восстановлен	obnovený	восстановить	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
obnovená	восстановлены	obnovený	восстановить	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
benz	benz	bena	benz	PROPN;ANIM;NOM;MASC;SG	PROPN
phoenix	феникс	phoenix	феникс	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
rozvíjať	развить	rozvíjať	развить	V;IPFV;POS;NFIN	V;PFV;NFIN;ACT
populárny	популярных	populárny	популярный	ADJ;ANIM;NOM;MASC;SG	ADJ;GEN;PL
populárny	популярные	populárny	популярный	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;PL
metre	метрах	meter	метр	N;INAN;NOM;MASC;PL	N;INAN;ESS;MASC;PL
metre	метров	meter	метр	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL
metre	метро	meter	метро	N;INAN;NOM;MASC;PL	N;INAN;NOM;NEUT;SG
metre	метров	meter	метр	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;PL
rak	рак	rak	рак	PROPN;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG
obavy	страхов	obava	страх	N;NOM;FEM;PL	N;INAN;GEN;MASC;PL
obavy	озабоченности	obava	озабоченность	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
obavy	озабоченность	obava	озабоченность	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
obavy	беспокойство	obava	беспокойство	N;NOM;FEM;PL	N;INAN;NOM;NEUT;SG
obavy	забота	obava	забота	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
obavy	обеспокоенность	obava	обеспокоенность	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
verlag	verlag	verlag	verlag	PROPN;ANIM;NOM;MASC;SG	PROPN
dlhší	дольше	dlhý	долго	ADJ;ANIM;NOM;CMPR;MASC;SG	ADV;CMPR
minútu	минута	minúta	минута	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
register	зарегистрироваться	register	регистрироваться	N;INAN;NOM;MASC;SG	V;PFV;NFIN;MID
register	регистра	register	регистр	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
register	зарегистрировать	register	регистрировать	N;INAN;NOM;MASC;SG	V;PFV;NFIN;ACT
bosna	боснии	bosna	босния	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
bosna	боснию	bosna	босний	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
tvoje	ваши	tvoj	ваш	DET;NOM;NEUT;SG;2	DET;NOM;PL
tvoje	ваши	tvoj	ваш	DET;NOM;NEUT;SG;2	DET;NOM;PL
maximum	максимальный	maximum	максимальный	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
maximum	максимальное	maximum	максимальный	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
maximum	максимальная	maximum	максимальный	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
cas	касс	cas	касса	INTJ	N;INAN;GEN;FEM;PL
prijaté	принято	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
prijaté	принятых	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;GEN;PL;PST;V.PTCP;PASS
prijaté	взяты	prijatý	брать	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
prijaté	получено	prijatý	получить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
prijaté	получен	prijatý	получить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
prijaté	полученная	prijatý	получить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
prijaté	полученные	prijatý	получить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
prijaté	получены	prijatý	получить	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
prijaté	принят	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
prijaté	принята	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
prijaté	приняты	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
prijaté	принято	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
prijaté	признала	prijatý	признать	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN;ACT
prijaté	признал	prijatý	признать	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
prijaté	принято	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
prijaté	принята	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
prijaté	принятый	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
prijaté	принят	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
prijaté	принятые	prijatý	принять	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
dno	снизу	dno	снизу	N;NOM;NEUT;SG	ADV
hradiště	градиште	hradiště	градишт	N;NOM;FEM;SG	V;IPFV;IMP;SG;2;FIN;ACT
dôstojníkov	офицеры	dôstojník	офицер	N;ANIM;ACC;MASC;PL	N;ANIM;NOM;MASC;PL
frederick	фредерик	frederick	фредерик	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
frederick	фридрих	frederick	фридрий	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
oheň	fire	oheň	fire	N;INAN;NOM;MASC;SG	PROPN
garcía	гарсия	garcí	гарсия	N;ANIM;NOM;MASC;SG	N;INAN;NOM;FEM;SG
garcía	гарсиа	garcí	гарсиа	N;ANIM;NOM;MASC;SG	N;INAN;NOM;FEM;SG
zrážky	столкновение	zrážok	столкновение	N;NOM;FEM;PL	N;INAN;NOM;NEUT;SG
zrážky	осадков	zrážok	осадки	N;NOM;FEM;PL	N;INAN;GEN;MASC;PL
alberto	альберто	alberto	альберто	PROPN;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG
russell	расселл	russell	расселл	PROPN;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG
russell	рассел	russell	рассел	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
kopca	холм	kopec	холм	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
kopca	хилл	kopec	хилл	N;INAN;GEN;MASC;SG	
kopca	hill	kopec	hill	N;INAN;GEN;MASC;SG	PROPN
kritici	критиков	kritica	критик	N;ANIM;NOM;MASC;PL	N;ANIM;GEN;MASC;PL
demokracia	демократии	demokracia	демократия	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
slávny	знаменитость	slávny	знаменитость	ADJ;ANIM;NOM;MASC;SG	N;INAN;NOM;FEM;SG
turbo	турбо	turbo	турбо	N;INAN;NOM;MASC;SG	
brazílie	бразилия	brazília	бразилие	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
brazílie	бразилию	brazília	бразилие	N;NOM;FEM;PL	N;INAN;ACC;FEM;SG
nezávislých	независимый	nezávislý	независимый	ADJ;ANIM;GEN;MASC;PL	ADJ;NOM;MASC;SG
nezávislých	независимая	nezávislý	независимый	ADJ;ANIM;GEN;MASC;PL	ADJ;NOM;FEM;SG
nezávislých	независимое	nezávislý	независимый	ADJ;ANIM;GEN;MASC;PL	ADJ;NOM;NEUT;SG
nezávislých	независимые	nezávislý	независимый	ADJ;ANIM;GEN;MASC;PL	ADJ;NOM;PL
nezávislých	независимые	nezávislý	независимый	ADJ;ANIM;GEN;MASC;PL	ADJ;NOM;PL
planétu	планете	planéta	планета	N;ACC;FEM;SG	N;INAN;DAT;FEM;SG
planétu	планета	planéta	планета	N;ACC;FEM;SG	N;INAN;NOM;FEM;SG
spoločenský	социального	spoločenský	социальный	ADJ;ANIM;NOM;MASC;SG	ADJ;GEN;MASC;SG
spoločenský	социальные	spoločenský	социальный	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;PL
postupnosť	последовательности	postupnosť	последовательность	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
arnold	арнольд	arnold	арнольд	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
ľahšie	проще	ľahko	простой	ADV;CMPR	ADJ;CMPR
ľahšie	легче	ľahko	легкий	ADV;CMPR	ADJ;CMPR
usporiadané	организовал	usporiadaný	организовывать	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
harold	гарольд	harold	гарольд	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
studio	студии	studio	студия	INTJ	N;INAN;NOM;FEM;PL
studio	studio	studio	studio	INTJ	PROPN
studio	студия	studio	студия	INTJ	N;INAN;NOM;FEM;SG
podáva	домики	podávať	домик	V;IPFV;IND;SG;3;POS;PRS;FIN	N;INAN;NOM;MASC;PL
podporovať	поддержки	podporovať	поддержка	V;IPFV;POS;NFIN	N;INAN;GEN;FEM;SG
podporovať	поддержка	podporovať	поддержка	V;IPFV;POS;NFIN	N;INAN;NOM;FEM;SG
podporovať	поддержку	podporovať	поддержка	V;IPFV;POS;NFIN	N;INAN;ACC;FEM;SG
nepriamo	косвенной	nepriamo	косвенный	ADV	ADJ;INS;FEM;SG
nepriamo	косвенные	nepriamo	косвенный	ADV	ADJ;NOM;PL
nepriamo	косвенное	nepriamo	косвенный	ADV	ADJ;NOM;NEUT;SG
povedomia	осведомленность	povedomie	осведомленность	N;NOM;NEUT;PL	N;INAN;NOM;FEM;SG
povedomia	осознание	povedomie	осознание	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;SG
povedomia	осведомленности	povedomie	осведомленность	N;NOM;NEUT;PL	N;INAN;GEN;FEM;SG
modelka	модели	modelka	модель	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
modelka	model	modelka	model	N;NOM;FEM;SG	PROPN
občianskeho	гражданская	občiansky	гражданский	ADJ;GEN;NEUT;SG	ADJ;NOM;FEM;SG
občianskeho	гражданских	občiansky	гражданский	ADJ;GEN;NEUT;SG	ADJ;GEN;PL
občianskeho	гражданский	občiansky	гражданский	ADJ;GEN;NEUT;SG	ADJ;NOM;MASC;SG
blízkom	средняя	blízky	средний	ADJ;INS;NEUT;SG	ADJ;NOM;FEM;SG
blízkom	ближнем	blízky	ближний	ADJ;INS;NEUT;SG	ADJ;ESS;MASC;SG
blízkom	средний	blízky	средний	ADJ;INS;NEUT;SG	ADJ;NOM;MASC;SG
blízkom	среднее	blízky	средний	ADJ;INS;NEUT;SG	ADJ;NOM;NEUT;SG
vlk	вулф	vlk	вулф	N;ANIM;NOM;MASC;SG	N;INAN;NOM;FEM;SG
vlk	волка	vlk	волк	N;ANIM;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
volkswagen	volkswagen	volkswagen	volkswagen	N;NOM;FEM;SG	PROPN
chemická	химического	chemický	химический	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;SG
zur	zur	zur	zur	PROPN;ANIM;NOM;MASC;SG	PROPN
kongresu	съезд	kongresa	съезд	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
kongresu	конгресс	kongresa	конгресс	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
lászló	ласло	lászló	ласло	N;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG
robot	робот	robot	робот	N;INAN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
námornej	морские	námorný	морской	ADJ;GEN;FEM;SG	ADJ;NOM;PL
námornej	морской	námorný	морской	ADJ;GEN;FEM;SG	ADJ;NOM;MASC;SG
námornej	морская	námorný	морской	ADJ;GEN;FEM;SG	ADJ;NOM;FEM;SG
pevný	твердых	pevný	твердый	ADJ;ANIM;NOM;MASC;SG	ADJ;GEN;PL
pevný	твердые	pevný	твердый	ADJ;ANIM;NOM;MASC;SG	ADJ;NOM;PL
zahraničné	иностранных	zahraničný	иностранный	ADJ;NOM;NEUT;SG	ADJ;GEN;PL
stuttgart	штутгарт	stuttgart	штутгарт	PROPN;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
kovy	металла	kova	металл	N;INAN;NOM;MASC;PL	N;INAN;GEN;MASC;SG
kovy	метал	kova	метал	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;SG
kovy	metal	kova	metal	N;INAN;NOM;MASC;PL	PROPN
kovy	металлические	kova	металлический	N;INAN;NOM;MASC;PL	ADJ;NOM;PL
kovy	металл	kova	металл	N;INAN;NOM;MASC;PL	N;INAN;NOM;MASC;SG
oslobodenie	освобождения	oslobodenie	освобождение	N;NOM;NEUT;SG	N;INAN;NOM;NEUT;PL
bydlisko	резидента	bydlisko	резидент	N;NOM;NEUT;SG	N;ANIM;ACC;MASC;SG
bydlisko	резиденты	bydlisko	резидент	N;NOM;NEUT;SG	N;ANIM;NOM;MASC;PL
mag	мэг	mag	мэг		N;ANIM;NOM;FEM;SG
náhodou	нечаянно	náhodou	нечаянно	PART	ADV
náhodou	случайно	náhodou	случайно	PART	ADV
napísali	написано	napísať	писать	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;PFV;NEUT;SG;PST;V.PTCP;PASS
napísali	письменные	napísať	письменный	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	ADJ;NOM;PL
napísali	письменное	napísať	письменный	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	ADJ;NOM;NEUT;SG
napísali	письменный	napísať	письменный	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	ADJ;NOM;MASC;SG
napísali	писал	napísať	писать	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
napísali	написала	napísať	писать	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
napísali	написал	napísať	писать	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
kolektív	коллектив	kolektie	коллектив	N;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG
kolektív	коллективных	kolektie	коллективный	N;ANIM;NOM;MASC;SG	ADJ;GEN;PL
kolektív	коллективные	kolektie	коллективный	N;ANIM;NOM;MASC;SG	ADJ;NOM;PL
kolektív	коллективная	kolektie	коллективный	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
kolektív	коллективное	kolektie	коллективный	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
automobilový	автомобильной	automobilový	автомобильный	ADJ;ANIM;NOM;MASC;SG	ADJ;INS;FEM;SG
philippe	филипп	philippa	филипп	PROPN;ANIM;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
ľad	льда	ľad	лед	N;INAN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
ľad	ice	ľad	ice	N;INAN;NOM;MASC;SG	PROPN
lese	лесу	les	лес	N;INAN;ESS;MASC;SG	N;INAN;DAT;MASC;SG
lese	вудс	les	вудс	N;INAN;ESS;MASC;SG	N;ANIM;NOM;MASC;SG
lese	лес	les	лес	N;INAN;ESS;MASC;SG	N;INAN;NOM;MASC;SG
mostov	мосты	most	мост	N;INAN;GEN;MASC;PL	N;INAN;NOM;MASC;PL
jadrovej	ядерная	jadrový	ядерный	ADJ;GEN;FEM;SG	ADJ;NOM;FEM;SG
jadrovej	ядерные	jadrový	ядерный	ADJ;GEN;FEM;SG	ADJ;NOM;PL
jay	джей	jay	джей	PROPN;ANIM;NOM;MASC;SG	N;INAN;NOM;MASC;SG
podobnú	аналогичная	podobný	аналогичный	ADJ;ACC;FEM;SG	ADJ;NOM;FEM;SG
podobnú	похожие	podobný	похожий	ADJ;ACC;FEM;SG	ADJ;NOM;PL
podobnú	аналогичное	podobný	аналогичный	ADJ;ACC;FEM;SG	ADJ;NOM;NEUT;SG
podobnú	аналогичные	podobný	аналогичный	ADJ;ACC;FEM;SG	ADJ;NOM;PL
podobnú	схожие	podobný	схожий	ADJ;ACC;FEM;SG	ADJ;NOM;PL
teórií	теории	teória	теория	N;GEN;FEM;PL	N;INAN;NOM;FEM;PL
čou	чжоу	čo	чжоу	PROPN;NOM;FEM;SG	N;INAN;NOM;MASC;SG
záhreb	загребе	záhreb	загреб	PROPN;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
sľuby	обещает	sľub	обещать	N;INAN;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
sľuby	новички	sľub	новичок	N;INAN;NOM;MASC;PL	N;ANIM;NOM;MASC;PL
umiestnenia	размещение	umiestnenie	размещение	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;SG
umiestnenia	местах	umiestnenie	место	N;NOM;NEUT;PL	N;INAN;ESS;NEUT;PL
umiestnenia	местоположение	umiestnenie	местоположение	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;SG
umiestnenia	расположение	umiestnenie	расположение	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;SG
umiestnenia	местонахождение	umiestnenie	местонахождение	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;SG
umiestnenia	место	umiestnenie	место	N;NOM;NEUT;PL	N;INAN;NOM;NEUT;SG
formátu	формат	formát	формат	N;INAN;GEN;MASC;SG	N;INAN;NOM;MASC;SG
záhrade	гарден	záhrada	гарден	N;DAT;FEM;SG	N;INAN;NOM;MASC;SG
záhrade	сад	záhrada	сад	N;DAT;FEM;SG	N;INAN;NOM;MASC;SG
záhrade	garden	záhrada	garden	N;DAT;FEM;SG	PROPN
záujmov	интересы	záujem	интерес	N;INAN;GEN;MASC;PL	N;INAN;NOM;MASC;PL
derby	дерби	derba	дербь	N;INAN;NOM;MASC;PL	N;INAN;NOM;NEUT;SG
teréne	местности	terén	местность	N;INAN;ESS;MASC;SG	N;INAN;NOM;FEM;PL
teréne	местность	terén	местность	N;INAN;ESS;MASC;SG	N;INAN;NOM;FEM;SG
zubov	зубы	zub	зуб	N;INAN;GEN;MASC;PL	N;INAN;NOM;MASC;PL
portugalský	португалии	portugalský	португалия	ADJ;ANIM;NOM;MASC;SG	N;INAN;NOM;NEUT;PL
