что	o	что	o	PRO;NOM	DET
может	non	мочь	non	V;IPFV;IND;SG;3;PRS;FIN;ACT	PART
войны	a	война	o	N;INAN;NOM;FEM;PL	DET
можно	poden	можно	poder	ADV	V
можно	podo	можно	podar	ADV	V
можно	podes	можно	poder	ADV	V
можно	podemos	можно	poder	ADV	V
можно	pode	можно	poder	ADV	V
можно	non	можно	non	ADV	PART
когда	cando	когда	cando	CONJ	PRO
однако	con	однако	con	ADV	ADP
однако	todo	однако	todo	ADV	DET
однако	sen	однако	sen	ADV	ADP
однако	embargo	однако	embargo	ADV	N
однако	pero	однако	pero	ADV	CONJ
нет	hai	нет	haber	PART	V
село	da	село	da	N;INAN;NOM;NEUT;SG	V
стал	a	стать	o	V;PFV;MASC;IND;SG;PST;FIN;ACT	DET
стал	nunha	стать	nunha	V;PFV;MASC;IND;SG;PST;FIN;ACT	N
стал	nun	стать	nun	V;PFV;MASC;IND;SG;PST;FIN;ACT	PROPN
стал	en	стать	en	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADP
стал	se	стать	se	V;PFV;MASC;IND;SG;PST;FIN;ACT	CONJ
один	soa	один	só	NUM;NOM;MASC	DET
один	só	один	só	NUM;NOM;MASC	ADV
один	sós	один	só	NUM;NOM;MASC	PROPN
один	soas	один	so	NUM;NOM;MASC	N
один	en	один	en	NUM;NOM;MASC	ADP
один	paz	один	paz	NUM;NOM;MASC	N
один	unha	один	un	NUM;NOM;MASC	DET
один	un	один	un	NUM;NOM;MASC	DET
между	os	между	o	ADP	DET
населения	mundial	население	mundial	N;INAN;GEN;NEUT;SG	ADJ
через	través	через	través	ADP	N
через	via	через	via	ADP	PROPN
через	rúa	через	rúa	ADP	N
через	través	через	través	ADP	N
через	a	через	o	ADP	DET
область	do	область	do	N;INAN;NOM;FEM;SG	PROPN
область	do	область	do	N;INAN;NOM;FEM;SG	PROPN
область	sudeste	область	sudeste	N;INAN;NOM;FEM;SG	PROPN
против	os	против	o	ADP	DET
этот	isto	этот	isto	DET;NOM;MASC;SG	PRO
несколько	varios	несколько	varios	ADV	DET
несколько	varias	несколько	varios	ADV	DET
город	city	город	city	N;INAN;NOM;MASC;SG	PROPN
город	da	город	da	N;INAN;NOM;MASC;SG	V
мира	a	мир	o	N;INAN;GEN;MASC;SG	DET
чем	máis	чем	máis	CONJ	ADV
чем	que	чем	que	CONJ	PRO
чем	do	чем	do	CONJ	PROPN
чем	mellor	чем	mellor	CONJ	ADJ
всего	total	все	total	PRO;INAN;GEN;NEUT;SG	N
всего	de	все	de	PRO;INAN;GEN;NEUT;SG	ADP
среди	os	среди	o	ADP	DET
среди	as	среди	o	ADP	DET
карты	as	карта	o	N;INAN;NOM;FEM;PL	DET
два	dous	два	dous	NUM;NOM;MASC	N
два	dúas	два	dous	NUM;NOM;MASC	N
всех	todo	все	todo	PRO;ANIM;ACC;PL	DET
всех	todos	все	todo	PRO;ANIM;ACC;PL	DET
всех	todas	все	todo	PRO;ANIM;ACC;PL	DET
всех	todo	все	todo	PRO;ANIM;ACC;PL	DET
всех	o	все	o	PRO;ANIM;ACC;PL	DET
всех	mundo	все	mundo	PRO;ANIM;ACC;PL	N
всех	todos	все	todo	PRO;ANIM;ACC;PL	DET
раз	cando	раз	cando	CONJ	PRO
раз	unha	раз	un	CONJ	DET
раз	vez	раз	vez	CONJ	N
там	hai	там	haber	ADV	V
второй	segundo	второй	segundo	ADJ;NOM;MASC;SG	ADP
карта	de	карта	de	N;INAN;NOM;FEM;SG	ADP
карта	unha	карта	un	N;INAN;NOM;FEM;SG	DET
площадь	cadrado	площадь	cadrado	N;INAN;NOM;FEM;SG	ADJ
площадь	square	площадь	square	N;INAN;NOM;FEM;SG	V
площадь	cadradas	площадь	cadrada	N;INAN;NOM;FEM;SG	ADJ
площадь	limpo	площадь	limpo	N;INAN;NOM;FEM;SG	ADJ
всё	todo	все	todo	PRO;INAN;NOM;NEUT;SG	DET
всё	o	все	o	PRO;INAN;NOM;NEUT;SG	DET
даже	nin	даже	nin	PART	CONJ
даже	incluso	даже	incluso	PART	ADV
даже	aínda	даже	aínda	PART	ADV
даже	mesmo	даже	mesmo	PART	DET
даже	sequera	даже	sequera	PART	ADV
затем	e	затем	e	ADV	CONJ
группы	de	группа	de	N;INAN;NOM;FEM;PL	ADP
размер	do	размер	do	N;INAN;NOM;MASC;SG	PROPN
страны	dos	страна	dos	N;INAN;NOM;FEM;PL	PROPN
ему	o	он	o	PRO;DAT;MASC;SG;3	DET
улица	street	улица	street	N;INAN;NOM;FEM;SG	PROPN
население	mundial	население	mundial	N;INAN;NOM;NEUT;SG	ADJ
работы	traballar	работа	traballar	N;INAN;NOM;FEM;PL	V
имена	os	имя	o	N;INAN;NOM;NEUT;PL	DET
вместе	xuntos	вместе	xunto	ADV	ADJ
упоминание	mencionar	упоминание	mencionar	N;INAN;NOM;NEUT;SG	V
истории	as	история	o	N;INAN;NOM;FEM;PL	DET
истории	da	история	da	N;INAN;NOM;FEM;PL	V
александр	alexander	александр	alexander	N;ANIM;NOM;MASC;SG	ADJ
армии	do	армия	do	N;INAN;NOM;FEM;SG	PROPN
хотя	aínda	хотя	aínda	CONJ	ADV
хотя	que	хотя	que	CONJ	PRO
хотя	non	хотя	non	CONJ	PART
хотя	pero	хотя	pero	CONJ	CONJ
хотя	aínda	хотя	aínda	CONJ	ADV
хотя	que	хотя	que	CONJ	PRO
кроме	excepto	кроме	excepto	ADP	ADV
кроме	só	кроме	só	ADP	ADV
кроме	pero	кроме	pero	ADP	CONJ
кроме	menos	кроме	menos	ADP	ADV
другие	outra	другой	outro	ADJ;NOM;PL	DET
другие	outros	другой	outro	ADJ;NOM;PL	DET
другие	outro	другой	outro	ADJ;NOM;PL	DET
другие	outras	другой	outro	ADJ;NOM;PL	DET
другие	aos	другой	aos	ADJ;NOM;PL	PROPN
другие	outros	другой	outro	ADJ;NOM;PL	DET
другие	demais	другой	demais	ADJ;NOM;PL	DET
другие	outras	другой	outro	ADJ;NOM;PL	DET
получил	que	получить	que	V;PFV;MASC;IND;SG;PST;FIN;ACT	PRO
история	da	история	da	N;INAN;NOM;FEM;SG	V
себя	min	себя	min	PRO;ACC	
себя	mesma	себя	mesmo	PRO;ACC	DET
себя	mesmo	себя	mesmo	PRO;ACC	DET
себя	mesmo	себя	mesmo	PRO;ACC	DET
себя	ti	себя	ti	PRO;ACC	
себя	vostede	себя	vostede	PRO;ACC	PROPN
рождения	a	рождение	o	N;INAN;NOM;NEUT;SG	DET
рождения	de	рождение	de	N;INAN;NOM;NEUT;SG	ADP
пункты	os	пункт	o	N;INAN;NOM;MASC;PL	DET
либо	tampouco	либо	tampouco	CONJ	ADV
участник	da	участник	da	N;ANIM;NOM;MASC;SG	V
три	tres	три	tres	NUM;NOM	N
человека	humanos	человек	humano	N;ANIM;ACC;MASC;SG	ADJ
человека	humana	человек	humano	N;ANIM;ACC;MASC;SG	ADJ
человека	humano	человек	humano	N;ANIM;ACC;MASC;SG	ADJ
случае	se	случай	se	N;INAN;ESS;MASC;SG	CONJ
центр	center	центр	center	N;INAN;NOM;MASC;SG	PROPN
центр	de	центр	de	N;INAN;NOM;MASC;SG	ADP
округ	do	округ	do	N;INAN;NOM;MASC;SG	PROPN
округ	o	округ	o	N;INAN;NOM;MASC;SG	DET
округ	nado	округ	nacer	N;INAN;NOM;MASC;SG	V
округ	fiscal	округ	fiscal	N;INAN;NOM;MASC;SG	ADJ
округ	do	округ	do	N;INAN;NOM;MASC;SG	PROPN
жизни	a	жизнь	o	N;INAN;NOM;FEM;PL	DET
жизни	vive	жизнь	vivir	N;INAN;NOM;FEM;PL	V
генерал	xeral	генерал	xeral	N;ANIM;NOM;MASC;SG	ADJ
генерал	o	генерал	o	N;ANIM;NOM;MASC;SG	DET
мне	min	я	min	PRO;DAT;SG;1	
союза	do	союз	do	N;INAN;GEN;MASC;SG	PROPN
именно	exactamente	именно	exactamente	PART	ADV
именно	mesmo	именно	mesmo	PART	DET
именно	o	именно	o	PART	DET
период	a	период	o	N;INAN;NOM;MASC;SG	DET
группа	de	группа	de	N;INAN;NOM;FEM;SG	ADP
имя	se	имя	se	N;INAN;NOM;NEUT;SG	CONJ
игры	xogar	игра	xogar	N;INAN;NOM;FEM;PL	V
игры	os	игра	o	N;INAN;NOM;FEM;PL	DET
цифровой	dixitais	цифровой	dixital	ADJ;NOM;MASC;SG	N
поэтому	polo	поэтому	polo	ADV	N
поэтому	por	поэтому	por	ADV	ADP
поэтому	iso	поэтому	iso	ADV	PRO
идентификатор	de	идентификатор	de	N;INAN;NOM;MASC;SG	ADP
просто	de	просто	de	PART	ADP
просто	só	просто	só	PART	ADV
регион	do	регион	do	N;INAN;NOM;MASC;SG	PROPN
регион	sudeste	регион	sudeste	N;INAN;NOM;MASC;SG	PROPN
тогда	e	тогда	e	ADV	CONJ
вот	aquí	вот	aquí	PART	ADV
церкви	da	церковь	da	N;INAN;NOM;FEM;SG	V
наиболее	a	наиболее	o	ADV	DET
наиболее	maioría	наиболее	maioría	ADV	N
наиболее	parte	наиболее	parte	ADV	N
изображения	as	изображение	o	N;INAN;NOM;NEUT;PL	DET
степени	16	степень	16	N;INAN;NOM;FEM;PL	NUM
перед	antes	перед	antes	ADP	ADV
германии	alemán	германия	alemán	N;INAN;ESS;NEUT;SG	ADJ
германии	alemana	германия	alemanar	N;INAN;ESS;NEUT;SG	ADJ
германии	alemaña	германия	alemaña	N;INAN;ESS;NEUT;SG	PROPN
германии	alemaña	германия	alemaña	N;INAN;ESS;NEUT;SG	PROPN
владимир	vladimir	владимир	vladimir	N;ANIM;NOM;MASC;SG	V
москва	moscova	москва	moscovar	N;INAN;NOM;FEM;SG	PROPN
системы	dos	система	dos	N;INAN;NOM;FEM;PL	PROPN
стала	a	стать	o	V;PFV;FEM;IND;SG;PST;FIN;ACT	DET
стала	nunha	стать	nunha	V;PFV;FEM;IND;SG;PST;FIN;ACT	N
стала	nun	стать	nun	V;PFV;FEM;IND;SG;PST;FIN;ACT	PROPN
стала	en	стать	en	V;PFV;FEM;IND;SG;PST;FIN;ACT	ADP
стала	se	стать	se	V;PFV;FEM;IND;SG;PST;FIN;ACT	CONJ
стороны	dos	сторона	dos	N;INAN;NOM;FEM;PL	PROPN
две	dous	два	dous	NUM;NOM;FEM	N
две	dúas	два	dous	NUM;NOM;FEM	N
некоторые	algo	некоторый	algo	DET;NOM;PL	PRO
некоторые	de	некоторый	de	DET;NOM;PL	ADP
роль	rol	роль	rol	N;INAN;NOM;FEM;SG	PROPN
русский	ruso	русский	ruso	ADJ;NOM;MASC;SG	N
член	da	член	da	N;ANIM;NOM;MASC;SG	V
член	dick	член	dick	N;ANIM;NOM;MASC;SG	PROPN
орден	para	орден	para	N;INAN;NOM;MASC;SG	ADP
сам	min	сам	min	ADJ;NOM;MASC;SG	
сам	mesma	сам	mesmo	ADJ;NOM;MASC;SG	DET
сам	mesmo	сам	mesmo	ADJ;NOM;MASC;SG	DET
сам	eu	сам	eu	ADJ;NOM;MASC;SG	PRO
сам	me	сам	me	ADJ;NOM;MASC;SG	PRO
пока	adeus	пока	adeus	CONJ	PROPN
пока	logo	пока	logo	CONJ	ADV
пока	deica	пока	deica	CONJ	ADV
пока	chao	пока	chao	CONJ	PROPN
общины	as	община	o	N;INAN;NOM;FEM;PL	DET
эта	isto	этот	isto	DET;NOM;FEM;SG	PRO
нужно	precisamos	нужный	precisar	ADJ;NEUT;SG	V
нужно	necesitamos	нужный	necesitar	ADJ;NEUT;SG	V
нужно	que	нужный	que	ADJ;NEUT;SG	PRO
являются	están	являться	estar	V;IPFV;IND;PL;3;PRS;FIN;MID	V
компании	as	компания	o	N;INAN;NOM;FEM;PL	DET
церковь	da	церковь	da	N;INAN;NOM;FEM;SG	V
меня	min	я	min	PRO;ACC;SG;1	
много	moita	много	moito	ADV	DET
много	moreas	много	morea	ADV	N
много	moitas	много	moito	ADV	DET
много	moitos	много	moito	ADV	DET
много	moitos	много	moito	ADV	DET
много	cantas	много	canto	ADV	DET
много	moitas	много	moito	ADV	DET
много	cantos	много	canto	ADV	N
много	canto	много	canto	ADV	PRO
много	grazas	много	graza	ADV	N
образование	a	образование	o	N;INAN;NOM;NEUT;SG	DET
тоже	tamén	тоже	tamén	PART	ADV
тоже	demasiado	тоже	demasiado	PART	ADV
тоже	moi	тоже	moi	PART	ADV
момент	agora	момент	agora	N;INAN;NOM;MASC;SG	ADV
часто	frecuencia	часто	frecuencia	ADV	N
часто	a	часто	o	ADV	DET
часто	miúdo	часто	miúdo	ADV	N
часто	veces	часто	vez	ADV	N
партии	dos	партия	dos	N;INAN;NOM;FEM;PL	PROPN
настоящее	presentar	настоящий	presentar	ADJ;NOM;NEUT;SG	V
настоящее	agasallo	настоящий	agasallo	ADJ;NOM;NEUT;SG	N
стали	aceiro	стать	aceiro	V;PFV;IND;PL;PST;FIN;ACT	N
стали	de	стать	de	V;PFV;IND;PL;PST;FIN;ACT	ADP
стали	ferro	стать	ferro	V;PFV;IND;PL;PST;FIN;ACT	N
стали	o	стать	o	V;PFV;IND;PL;PST;FIN;ACT	DET
стали	raís	стать	raes	V;PFV;IND;PL;PST;FIN;ACT	N
европы	europa	европа	europa	N;INAN;NOM;FEM;SG	PROPN
европы	en	европа	en	N;INAN;NOM;FEM;SG	ADP
одна	só	один	só	DET;NOM;FEM;SG	ADV
одна	sós	один	só	DET;NOM;FEM;SG	PROPN
одна	soas	один	so	DET;NOM;FEM;SG	N
одна	en	один	en	DET;NOM;FEM;SG	ADP
одна	paz	один	paz	DET;NOM;FEM;SG	N
людей	a	человек	o	N;ANIM;GEN;MASC;PL	DET
возможно	se	возможный	se	ADJ;NEUT;SG	CONJ
возможно	quizáis	возможный	quizáis	ADJ;NEUT;SG	ADV
возможно	quizais	возможный	quizais	ADJ;NEUT;SG	ADV
возможно	cadra	возможный	cadra	ADJ;NEUT;SG	ADV
возможно	talvez	возможный	talvez	ADJ;NEUT;SG	ADV
возможно	se	возможный	se	ADJ;NEUT;SG	CONJ
возможно	cadra	возможный	cadra	ADJ;NEUT;SG	ADV
возможно	quizais	возможный	quizais	ADJ;NEUT;SG	ADV
возможно	pode	возможный	poder	ADJ;NEUT;SG	V
возможно	talvez	возможный	talvez	ADJ;NEUT;SG	ADV
возможно	sexa	возможный	ser	ADJ;NEUT;SG	V
возможно	posiblemente	возможный	posible	ADJ;NEUT;SG	ADV
возможно	a	возможный	o	ADJ;NEUT;SG	DET
возможно	ser	возможный	ser	ADJ;NEUT;SG	V
возможно	pode	возможный	poder	ADJ;NEUT;SG	V
возможно	probablemente	возможный	probable	ADJ;NEUT;SG	ADV
возможно	que	возможный	que	ADJ;NEUT;SG	PRO
такие	tan	такой	tan	DET;NOM;PL	ADV
такие	como	такой	como	DET;NOM;PL	PRO
шаблон	de	шаблон	de	N;INAN;NOM;MASC;SG	ADP
многие	moitos	много	moito	NUM	DET
многие	cantas	много	canto	NUM	DET
многие	moitas	много	moito	NUM	DET
многие	cantos	много	canto	NUM	N
жизнь	a	жизнь	o	N;INAN;NOM;FEM;SG	DET
серии	de	серия	de	N;INAN;NOM;FEM;PL	ADP
участники	do	участник	do	N;ANIM;NOM;MASC;PL	PROPN
начал	a	начать	o	V;PFV;MASC;IND;SG;PST;FIN;ACT	DET
часовой	sentinela	часовой	sentinela	ADJ;NOM;MASC;SG	N
команда	de	команда	de	N;INAN;NOM;FEM;SG	ADP
команда	comando	команда	comar	N;INAN;NOM;FEM;SG	V
команда	de	команда	de	N;INAN;NOM;FEM;SG	ADP
достаточно	abonda	достаточный	abondar	ADJ;NEUT;SG	V
достаточно	dabondo	достаточный	dabor	ADJ;NEUT;SG	V
достаточно	para	достаточный	para	ADJ;NEUT;SG	ADP
достаточно	abondo	достаточный	abondo	ADJ;NEUT;SG	ADV
краткое	informe	краткий	informe	ADJ;NOM;NEUT;SG	N
позже	tarde	поздно	tarde	ADV;CMPR	N
другой	outra	другой	outro	ADJ;NOM;MASC;SG	DET
другой	outros	другой	outro	ADJ;NOM;MASC;SG	DET
другой	outro	другой	outro	ADJ;NOM;MASC;SG	DET
другой	outras	другой	outro	ADJ;NOM;MASC;SG	DET
другой	outro	другой	outro	ADJ;NOM;MASC;SG	DET
другой	outra	другой	outro	ADJ;NOM;MASC;SG	DET
война	a	война	o	N;INAN;NOM;FEM;SG	DET
школы	as	школа	o	N;INAN;NOM;FEM;PL	DET
школы	nas	школа	nas	N;INAN;NOM;FEM;PL	PROPN
михаил	michael	михаил	michael	N;ANIM;NOM;MASC;SG	PROPN
текст	de	текст	de	N;INAN;NOM;MASC;SG	ADP
песни	escribir	песня	escribir	N;INAN;NOM;FEM;PL	V
женщин	as	женщина	o	N;ANIM;GEN;FEM;PL	DET
книги	os	книга	o	N;INAN;NOM;FEM;PL	DET
полностью	completo	полностью	completo	ADV	ADJ
полностью	por	полностью	por	ADV	ADP
честь	de	честь	de	N;INAN;NOM;FEM;SG	ADP
честь	súa	честь	seu	N;INAN;NOM;FEM;SG	DET
звание	última	звание	último	N;INAN;NOM;NEUT;SG	ADJ
россия	rusia	россия	rusia	N;INAN;NOM;FEM;SG	PROPN
ничего	non	ничто	non	PRO;GEN	PART
села	eu	сесть	eu	V;IPFV;NEUT;IND;SG;PST;FIN;MID	PRO
села	sentei	сесть	sentir	V;IPFV;NEUT;IND;SG;PST;FIN;MID	ADV
села	senteime	сесть	senteime	V;IPFV;NEUT;IND;SG;PST;FIN;MID	PROPN
села	onda	сесть	onda	V;IPFV;NEUT;IND;SG;PST;FIN;MID	N
названия	os	название	o	N;INAN;NOM;NEUT;PL	DET
сан	san	сан	ser		ADJ
сан	andrews	сан	andrews		PROPN
должен	debería	должен	deber	ADJ;MASC;SG	V
должен	que	должен	que	ADJ;MASC;SG	PRO
должен	debo	должен	deber	ADJ;MASC;SG	V
должен	que	должен	que	ADJ;MASC;SG	PRO
должен	debe	должен	deber	ADJ;MASC;SG	V
должен	debemos	должен	deber	ADJ;MASC;SG	V
должен	deben	должен	deber	ADJ;MASC;SG	V
должен	hai	должен	haber	ADJ;MASC;SG	V
права	os	право	o	N;INAN;NOM;NEUT;PL	DET
права	dos	право	dos	N;INAN;NOM;NEUT;PL	PROPN
король	king	король	king	N;ANIM;NOM;MASC;SG	PROPN
король	rei	король	rei	N;ANIM;NOM;MASC;SG	PROPN
король	o	король	o	N;ANIM;NOM;MASC;SG	DET
края	do	край	do	N;INAN;NOM;MASC;PL	PROPN
обычно	adoita	обычно	adoitar	ADV	V
обычно	xeral	обычно	xeral	ADV	ADJ
обычно	adoitan	обычно	adoitar	ADV	V
умер	morto	умереть	morto	V;PFV;MASC;IND;SG;PST;FIN;ACT	N
умер	mortos	умереть	morto	V;PFV;MASC;IND;SG;PST;FIN;ACT	N
умер	morto	умереть	morto	V;PFV;MASC;IND;SG;PST;FIN;ACT	N
умер	morta	умереть	morto	V;PFV;MASC;IND;SG;PST;FIN;ACT	N
службы	os	служба	o	N;INAN;NOM;FEM;PL	DET
службы	de	служба	de	N;INAN;NOM;FEM;PL	ADP
система	de	система	de	N;INAN;NOM;FEM;SG	ADP
университет	de	университет	de	N;INAN;NOM;MASC;SG	ADP
университет	da	университет	da	N;INAN;NOM;MASC;SG	V
университет	universitaria	университет	universitario	N;INAN;NOM;MASC;SG	ADJ
должны	debería	должен	deber	ADJ;PL	V
должны	que	должен	que	ADJ;PL	PRO
должны	debo	должен	deber	ADJ;PL	V
должны	que	должен	que	ADJ;PL	PRO
должны	debe	должен	deber	ADJ;PL	V
должны	debemos	должен	deber	ADJ;PL	V
должны	deben	должен	deber	ADJ;PL	V
должны	hai	должен	haber	ADJ;PL	V
слова	as	слово	o	N;INAN;NOM;NEUT;PL	DET
различных	varias	различный	varios	ADJ;GEN;PL	DET
различных	varios	различный	varios	ADJ;GEN;PL	DET
различных	con	различный	con	ADJ;GEN;PL	ADP
вновь	outra	вновь	outro	ADV	DET
вновь	vez	вновь	vez	ADV	N
вновь	novo	вновь	novo	ADV	ADJ
вновь	de	вновь	de	ADV	ADP
отец	papá	отец	papá	N;ANIM;NOM;MASC;SG	PROPN
отец	o	отец	o	N;ANIM;NOM;MASC;SG	DET
многих	moitos	много	moito	NUM	DET
многих	cantas	много	canto	NUM	DET
многих	moitas	много	moito	NUM	DET
многих	cantos	много	canto	NUM	N
войска	as	войска	o	N;INAN;NOM;NEUT;PL	DET
детей	os	ребенок	o	N;ANIM;ACC;MASC;PL	DET
детей	cativos	ребенок	cativo	N;ANIM;ACC;MASC;PL	ADJ
источник	de	источник	de	N;INAN;NOM;MASC;SG	ADP
вскоре	en	вскоре	en	ADV	ADP
вскоре	canto	вскоре	canto	ADV	PRO
члены	do	член	do	N;ANIM;NOM;MASC;PL	PROPN
действия	as	действие	o	N;INAN;NOM;NEUT;PL	DET
дома	fogar	дома	fogar	ADV	N
дома	casa	дома	casa	ADV	N
дома	á	дома	á	ADV	N
дома	na	дома	na	ADV	N
дома	casas	дома	casa	ADV	N
дома	vivendas	дома	vivenda	ADV	N
дома	casa	дома	casa	ADV	N
дома	fogares	дома	fogar	ADV	N
дома	atención	дома	atención	ADV	N
дома	casas	дома	casa	ADV	N
дома	fogares	дома	fogar	ADV	N
некоторых	algo	некоторый	algo	DET;GEN;PL	PRO
некоторых	de	некоторый	de	DET;GEN;PL	ADP
почему	por	почему	por	ADV	ADP
почему	que	почему	que	ADV	PRO
почему	iso	почему	iso	ADV	PRO
выше	máis	высокий	máis	ADJ;CMPR	ADV
выше	altos	высокий	alto	ADJ;CMPR	N
выше	sobre	высокий	sobre	ADJ;CMPR	ADP
выше	ascende	высокий	ascender	ADJ;CMPR	V
выше	por	высокий	por	ADJ;CMPR	ADP
выше	riba	высокий	riba	ADJ;CMPR	ADV
выше	da	высокий	da	ADJ;CMPR	V
выше	enriba	высокий	enriba	ADJ;CMPR	ADV
выше	arriba	высокий	arriba	ADJ;CMPR	ADV
выше	máis	высокий	máis	ADJ;CMPR	ADV
выше	altos	высокий	alto	ADJ;CMPR	N
выше	tan	высокий	tan	ADJ;CMPR	ADV
чел	home	человек	home		N
чел	meu	человек	meu		DET
режиссёр	director	режиссёр	director	N;ANIM;NOM;MASC;SG	ADJ
режиссёр	de	режиссёр	de	N;ANIM;NOM;MASC;SG	ADP
правила	as	правило	o	N;INAN;NOM;NEUT;PL	DET
линии	de	линия	de	N;INAN;NOM;FEM;PL	ADP
места	onde	место	onde	N;INAN;NOM;NEUT;PL	PRO
существует	real	существовать	real	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ
используется	antes	использовать	antes	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADV
тысяч	de	тысяча	de	N;INAN;GEN;FEM;PL	ADP
начало	a	начало	o	N;INAN;NOM;NEUT;SG	DET
начало	comezar	начало	comezar	N;INAN;NOM;NEUT;SG	V
начало	empezar	начало	empezar	N;INAN;NOM;NEUT;SG	V
начало	comezando	начало	comezar	N;INAN;NOM;NEUT;SG	V
начало	empezando	начало	empezar	N;INAN;NOM;NEUT;SG	V
начало	a	начало	o	N;INAN;NOM;NEUT;SG	DET
начало	comezando	начало	comezar	N;INAN;NOM;NEUT;SG	V
