par	pour	par	pour		ADP
atrodas	située	atrasties	situer	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V;FEM;SG;PST;V.PTCP
atrodas	localisé	atrasties	localiser	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V;MASC;SG;PST;V.PTCP
atrodas	situé	atrasties	situer	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	V;MASC;SG;PST;V.PTCP
gan	both	gan	both	CONJ	PROPN
tikai	seul	tikai	seul	PART	ADJ;MASC;SG
tikai	uniquement	tikai	uniquement	PART	ADV
tikai	seulement	tikai	seulement	PART	ADV
tikai	seule	tikai	seul	PART	ADJ;FEM;SG
tikai	just	tikai	just	PART	INTJ
tikai	simplement	tikai	simplement	PART	ADV
tikai	juste	tikai	juste	PART	ADV
latviešu	lettonie	latvietis	lettonie	N;GEN;MASC;PL	N;FEM;SG
latviešu	lettone	latvietis	letton	N;GEN;MASC;PL	ADJ;FEM;SG
latviešu	lettons	latvietis	letton	N;GEN;MASC;PL	ADJ;MASC;PL
latviešu	letton	latvietis	letton	N;GEN;MASC;PL	N;MASC;SG
viņa	sa	viņa	son	PRO;NOM;FEM;SG;3	DET;FEM;SG
viņa	his	viņa	his	PRO;NOM;FEM;SG;3	PROPN
viņa	ses	viņa	son	PRO;NOM;FEM;SG;3	DET;MASC;PL
viņa	son	viņa	son	PRO;NOM;FEM;SG;3	DET;MASC;SG
asv	usa	asv	usa	PROPN	PROPN
kad	lorsque	kad	lorsque	ADV	CONJ
kad	quand	kad	quand	ADV	CONJ
pilsētas	urbain	pilsēta	urbain	N;NOM;FEM;PL	ADJ;MASC;SG
pilsētas	urbaines	pilsēta	urbain	N;NOM;FEM;PL	ADJ;FEM;PL
pilsētas	urbains	pilsēta	urbain	N;NOM;FEM;PL	ADJ;MASC;PL
kur	oú	kur	oú	ADV	CONJ
kur	où	kur	où	ADV	PRO
kļuva	devenus	kļūt	devenir	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
kļuva	devenu	kļūt	devenir	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP
kļuva	devenue	kļūt	devenir	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP
kļuva	devint	kļūt	devenir	V;FH;IND;3;POS;PST;FIN;ACT	V;IND;SG;3;PST;FIN
iela	rues	iela	rue	N;NOM;FEM;SG	N;FEM;PL
iela	street	iela	street	N;NOM;FEM;SG	PROPN
jau	déja	jau	déja	ADV	
jau	deja	jau	deja	ADV	INTJ
jau	dejà	jau	dejà	ADV	
miris	décédés	mirt	décéder	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
miris	défunt	mirt	défunt	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;MASC;SG
miris	morts	mirt	mourir	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
miris	dead	mirt	dead	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;MASC;SG
novada	déchargé	novads	décharger	N;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
kopā	totale	kopā	total	ADV	ADJ;FEM;SG
kopā	total	kopā	total	ADV	N;MASC;SG
kopā	totaux	kopā	total	ADV	ADJ;MASC;PL
kopā	together	kopā	together	ADV	PROPN
krievijas	russes	krievija	russe	PROPN;NOM;FEM;SG	ADJ;MASC;PL
krievijas	russe	krievija	russe	PROPN;NOM;FEM;SG	ADJ;MASC;SG
pilsēta	villes	pilsēta	ville	N;NOM;FEM;SG	N;FEM;PL
vēlāk	ultérieur	vēlu	ultérieur	ADV;CMPR	ADJ;MASC;SG
viens	un	viens	un	NUM;NOM;MASC;SG	PRO;MASC;SG
viens	une	viens	un	NUM;NOM;MASC;SG	DET;INDF;FEM;SG
viens	one	viens	one	NUM;NOM;MASC;SG	PROPN
pret	against	pret	against	ADP	PROPN
eiropas	européens	eiropa	européen	PROPN;NOM;FEM;SG	ADJ;MASC;PL
eiropas	européennes	eiropa	européen	PROPN;NOM;FEM;SG	ADJ;FEM;PL
eiropas	européenne	eiropa	européen	PROPN;NOM;FEM;SG	ADJ;FEM;SG
eiropas	européen	eiropa	européen	PROPN;NOM;FEM;SG	ADJ;MASC;SG
utc	utc	utcs	utc	PROPN	N;MASC;SG
utc	tuc	utcs	tuc	PROPN	
tomēr	toutefois	tomēr	toutefois	CONJ	ADV
tomēr	cependant	tomēr	cependant	CONJ	ADV
kopš	puisque	kopš	puisque	ADP	CONJ
ļoti	tres	ļoti	tre	ADV	ADJ;MASC;SG
vācu	allemands	vāci	allemand	N;NOM;MASC;SG	ADJ;MASC;PL
vācu	allemande	vāci	allemand	N;NOM;MASC;SG	ADJ;FEM;SG
vēl	still	vēl	still	ADV	PROPN
viena	un	viena	un	NUM;NOM;FEM;SG	PRO;MASC;SG
viena	une	viena	un	NUM;NOM;FEM;SG	DET;INDF;FEM;SG
viena	one	viena	one	NUM;NOM;FEM;SG	PROPN
daļa	partager	daļa	partager	N;NOM;FEM;SG	V;NFIN
daļa	partagez	daļa	partager	N;NOM;FEM;SG	V;IMP;PL;2;PRS;FIN
jpg	jpg	jpg	jpg		N;MASC;SG
rīgā	riga	rīgs	riga	PROPN;ESS;FEM;SG	PROPN
tad	puis	tad	puis	ADV	CONJ
kuras	laquelle	kura	lequel	PRO;NOM;FEM;PL	PRO;FEM;SG
kuras	lequel	kura	lequel	PRO;NOM;FEM;PL	PRO;MASC;SG
tie	elles	tas	il	PRO;NOM;MASC;PL	PRO;FEM;PL;3
tie	ils	tas	il	PRO;NOM;MASC;PL	PRO;MASC;PL;3
pirms	auparavant	pirms	auparavant	ADP	ADV
zemes	earth	zeme	earth	N;NOM;FEM;PL	N;MASC;SG
zemes	terre	zeme	terre	N;NOM;FEM;PL	N;FEM;SG
zemes	terre	zeme	terre	N;NOM;FEM;PL	N;FEM;SG
zemes	terrain	zeme	terrain	N;NOM;FEM;PL	N;MASC;SG
zemes	moulu	zeme	moulu	N;NOM;FEM;PL	N;MASC;SG
šaha	échecs	šahs	échec	N;NOM;MASC;SG	N;MASC;PL
kura	lesquels	kura	lequel	PRO;NOM;FEM;SG	PRO;MASC;PL
kura	laquelle	kura	lequel	PRO;NOM;FEM;SG	PRO;FEM;SG
kura	lequel	kura	lequel	PRO;NOM;FEM;SG	PRO;MASC;SG
pirmā	premières	pirmā	premier	ADJ;NOM;DEF;FEM;SG	ADJ;FEM;PL
pirmā	premiers	pirmā	premier	ADJ;NOM;DEF;FEM;SG	ADJ;MASC;PL
centrs	centrer	centrs	centrer	N;NOM;MASC;SG	V;NFIN
psrs	urss	psrs	urss	PROPN	PROPN
kurš	qui	kurš	qui	PRO;NOM;MASC;SG	PRO
kurš	oms	kurš	om	PRO;NOM;MASC;SG	N;MASC;SG
kurš	who	kurš	who	PRO;NOM;MASC;SG	PROPN
trīs	three	trīs	three	NUM;NOM;MASC;PL	PROPN
viņu	leur	viņš	lui	PRO;ACC;MASC;SG;3	PRO;PL;3
viņu	leurs	viņš	son	PRO;ACC;MASC;SG;3	DET;MASC;PL
parasti	habituel	parasti	habituel	ADV	ADJ;MASC;SG
parasti	habituelle	parasti	habituel	ADV	ADJ;FEM;SG
pat	meme	pat	même	PART	INTJ
pat	même	pat	même	PART	ADV
pat	pat	pat	pat	PART	PROPN
jūras	marins	jūra	marin	N;NOM;FEM;SG	N;MASC;PL
pirmais	premières	pirmais	premier	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;PL
pirmais	premiers	pirmais	premier	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;PL
nosaukums	nommer	nosaukums	nommer	N;NOM;MASC;SG	V;NFIN
nosaukums	noms	nosaukums	nom	N;NOM;MASC;SG	N;MASC;PL
team	équipe	tu	équipe		N;FEM;SG
team	equipe	tu	equipe		N;FEM;SG
sezonas	saisonniers	sezona	saisonnier	N;NOM;FEM;PL	ADJ;MASC;PL
sezonas	saisonnier	sezona	saisonnier	N;NOM;FEM;PL	ADJ;MASC;SG
sezonas	saisonnière	sezona	saisonnier	N;NOM;FEM;PL	ADJ;FEM;SG
sezonas	saison	sezona	saison	N;NOM;FEM;PL	N;FEM;SG
visu	toute	viss	tout	PRO;ACC;MASC;SG	DET;FEM;SG
visu	toutes	viss	tout	PRO;ACC;MASC;SG	PRO;FEM;PL
visu	tous	viss	tout	PRO;ACC;MASC;SG	PRO;MASC;PL
visu	all	viss	all	PRO;ACC;MASC;SG	
grupas	groupe	grupa	groupe	N;NOM;FEM;PL	N;MASC;SG
vienu	un	viens	un	NUM;ACC;MASC;SG	PRO;MASC;SG
vienu	une	viens	un	NUM;ACC;MASC;SG	DET;INDF;FEM;SG
vienu	one	viens	one	NUM;ACC;MASC;SG	PROPN
rīga	riga	rīga	riga	PROPN;NOM;FEM;SG	PROPN
ieguva	won	iegūt	won	V;FH;IND;3;POS;PST;FIN;ACT	
laika	intempéries	laiks	intempérie	N;GEN;MASC;SG	ADJ;FEM;PL
padomju	soviétique	padome	soviétique	N;GEN;FEM;PL	ADJ;MASC;SG
padomju	soviet	padome	soviet	N;GEN;FEM;PL	N;MASC;SG
padomju	soviétiques	padome	soviétique	N;GEN;FEM;PL	ADJ;MASC;PL
krievu	russes	krievs	russe	N;ACC;MASC;SG	ADJ;MASC;PL
krievu	russe	krievs	russe	N;ACC;MASC;SG	ADJ;MASC;SG
krievu	russo	krievs	russo	N;ACC;MASC;SG	PROPN
score	marquer	score	marquer		V;NFIN
score	score	score	score		N;MASC;SG
score	partition	score	partition		N;FEM;SG
angļu	anglaise	anglis	anglais	N;GEN;MASC;PL	ADJ;FEM;SG
angļu	francais	anglis	francais	N;GEN;MASC;PL	ADJ;MASC;SG
angļu	anglais	anglis	anglais	N;GEN;MASC;PL	N;MASC;SG
profils	profils	profils	profil	N;NOM;MASC;SG	N;MASC;PL
vācijas	allemand	vācija	allemand	PROPN;NOM;FEM;SG	N;MASC;SG
vācijas	allemands	vācija	allemand	PROPN;NOM;FEM;SG	ADJ;MASC;PL
vācijas	allemande	vācija	allemand	PROPN;NOM;FEM;SG	ADJ;FEM;SG
vācijas	allemagne	vācija	allemagne	PROPN;NOM;FEM;SG	PROPN
tautas	populaires	tauta	populaire	N;NOM;FEM;PL	ADJ;MASC;PL
tautas	populaire	tauta	populaire	N;NOM;FEM;PL	ADJ;MASC;SG
tautas	folk	tauta	folk	N;NOM;FEM;PL	N;MASC;SG
garums	longueurs	garums	longueur	N;NOM;MASC;SG	N;FEM;PL
daudz	lots	daudz	lot	ADV	N;MASC;PL
daudz	nombreux	daudz	nombreux	ADV	ADJ;MASC;PL
daudz	nombreuses	daudz	nombreux	ADV	ADJ;FEM;PL
daudz	plusieurs	daudz	plusieurs	ADV	PRO;PL
daudz	much	daudz	much	ADV	INTJ
divas	two	divas	two	NUM;NOM;FEM;PL	PROPN
jānis	jānis	jānis	jāni	PROPN;NOM;MASC;SG	PROPN
pils	diss	pils	diss	N;NOM;FEM;SG	PROPN
vietas	spot	vieta	spot	N;NOM;FEM;PL	N;MASC;SG
reizes	plier	reize	plier	N;NOM;FEM;PL	V;NFIN
reizes	rabattre	reize	rabattre	N;NOM;FEM;PL	V;NFIN
reizes	plié	reize	plier	N;NOM;FEM;PL	V;MASC;SG;PST;V.PTCP
reizes	pli	reize	pli	N;NOM;FEM;PL	N;MASC;SG
romas	rome	roma	rome	N;NOM;FEM;PL	PROPN
sezonā	saisons	sezona	saison	N;ESS;FEM;SG	N;FEM;PL
sākumā	initialement	sākums	initialement	N;ESS;MASC;SG	ADV
šis	cette	šis	ce	PRO;NOM;MASC;SG	DET;FEM;SG
valodā	authentiques	valoda	authentique	N;ESS;FEM;SG	ADJ;MASC;PL
valodā	authentique	valoda	authentique	N;ESS;FEM;SG	ADJ;MASC;SG
ūdens	eaux	ūdens	eau	N;NOM;MASC;SG	N;FEM;PL
bieži	commune	bieži	commune	ADV	N;FEM;SG
bieži	fréquent	bieži	fréquent	ADV	ADJ;MASC;SG
bieži	fréquents	bieži	fréquent	ADV	ADJ;MASC;PL
bieži	commun	bieži	commun	ADV	ADJ;MASC;SG
tiesības	privilèges	tiesības	privilège	N;NOM;FEM	N;MASC;PL
tiesības	privilège	tiesības	privilège	N;NOM;FEM	N;MASC;SG
tiesības	droite	tiesības	droite	N;NOM;FEM	N;FEM;SG
tiesības	droit	tiesības	droit	N;NOM;FEM	N;MASC;SG
tiesības	droits	tiesības	droit	N;NOM;FEM	N;MASC;PL
valoda	langues	valoda	langue	N;NOM;FEM;SG	N;FEM;PL
polijas	polonaise	polija	polonais	PROPN;NOM;FEM;SG	ADJ;FEM;SG
polijas	polonaises	polija	polonais	PROPN;NOM;FEM;SG	ADJ;FEM;PL
polijas	polonais	polija	polonais	PROPN;NOM;FEM;SG	ADJ;MASC;SG
polijas	pologne	polija	pologne	PROPN;NOM;FEM;SG	N;FEM;SG
fon	von	fon	von		PROPN
sugas	espèce	suga	espèce	N;NOM;FEM;PL	N;FEM;SG
pasaulē	mondiale	pasaule	mondial	N;ESS;FEM;SG	ADJ;FEM;SG
pasaulē	mondial	pasaule	mondial	N;ESS;FEM;SG	ADJ;MASC;SG
pasaulē	mondial	pasaule	mondial	N;ESS;FEM;SG	ADJ;MASC;SG
pasaulē	mondiale	pasaule	mondial	N;ESS;FEM;SG	ADJ;FEM;SG
citas	autre	cita	autre	PRO;NOM;FEM;PL	PRO;SG
skaits	compter	skaits	compter	N;NOM;MASC;SG	V;NFIN
ziemeļu	nord	ziemelis	nord	N;GEN;MASC;PL	N;MASC;SG
ziemeļu	nordiques	ziemelis	nordique	N;GEN;MASC;PL	ADJ;MASC;PL
ziemeļu	nordique	ziemelis	nordique	N;GEN;MASC;PL	ADJ;MASC;SG
ziemeļu	septentrionale	ziemelis	septentrional	N;GEN;MASC;PL	ADJ;FEM;SG
ziemeļu	nordique	ziemelis	nordique	N;GEN;MASC;PL	ADJ;MASC;SG
ziemeļu	septentrional	ziemelis	septentrional	N;GEN;MASC;PL	ADJ;MASC;SG
ziemeļu	northern	ziemelis	northern	N;GEN;MASC;PL	PROPN
ziemeļu	nord	ziemelis	nord	N;GEN;MASC;PL	N;MASC;SG
suga	espèces	suga	espèce	N;NOM;FEM;SG	N;FEM;PL
spēlē	jouez	spēlēt	jouer	V;FH;IND;3;POS;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
aptuveni	env	aptuveni	env	ADV	N;MASC;SG
mūzikas	musicale	mūzika	musical	N;NOM;FEM;PL	ADJ;FEM;SG
mūzikas	musical	mūzika	musical	N;NOM;FEM;PL	ADJ;MASC;SG
upes	fleuves	upe	fleuve	N;NOM;FEM;SG	N;MASC;PL
upes	rivières	upe	rivière	N;NOM;FEM;SG	N;FEM;PL
izlases	random	izlase	random	N;NOM;FEM;PL	PROPN
izlases	hasard	izlase	hasard	N;NOM;FEM;PL	N;MASC;SG
izlases	aléatoire	izlase	aléatoire	N;NOM;FEM;PL	ADJ;MASC;SG
izlases	aléatoires	izlase	aléatoire	N;NOM;FEM;PL	ADJ;MASC;PL
amerikāņu	américaine	amerikānis	américain	N;GEN;MASC;PL	ADJ;FEM;SG
amerikāņu	américain	amerikānis	américain	N;GEN;MASC;PL	ADJ;MASC;SG
amerikāņu	américaines	amerikānis	américain	N;GEN;MASC;PL	ADJ;FEM;PL
amerikāņu	américains	amerikānis	américain	N;GEN;MASC;PL	ADJ;MASC;PL
lietuvas	lituanie	lietuva	lituanie	PROPN;NOM;FEM;SG	N;FEM;SG
lietuvas	lituaniens	lietuva	lituanien	PROPN;NOM;FEM;SG	ADJ;MASC;PL
lietuvas	lituanien	lietuva	lituanien	PROPN;NOM;FEM;SG	ADJ;MASC;SG
lietuvas	lituanienne	lietuva	lituanien	PROPN;NOM;FEM;SG	ADJ;FEM;SG
dienas	quotidien	diena	quotidien	N;NOM;FEM;PL	ADJ;MASC;SG
dienas	quotidiens	diena	quotidien	N;NOM;FEM;PL	ADJ;MASC;PL
dienas	journalier	diena	journalier	N;NOM;FEM;PL	ADJ;MASC;SG
dienas	quotidienne	diena	quotidien	N;NOM;FEM;PL	ADJ;FEM;SG
reizi	jadis	reize	jadis	N;ACC;FEM;SG	ADV
armijas	armées	armija	armer	N;NOM;FEM;PL	V;FEM;PL;PST;V.PTCP
armijas	armée	armija	armée	N;NOM;FEM;PL	N;FEM;SG
cilvēku	humaine	cilvēks	humain	N;ACC;MASC;SG	ADJ;FEM;SG
cilvēku	humains	cilvēks	humain	N;ACC;MASC;SG	ADJ;MASC;PL
cilvēku	humain	cilvēks	humain	N;ACC;MASC;SG	ADJ;MASC;SG
com	ocm	com	ocm		N;FEM;SG
līgas	league	līga	league	N;NOM;FEM;PL	N;MASC;SG
līgas	ligue	līga	ligue	N;NOM;FEM;PL	N;FEM;SG
dzelzceļa	ferroviaire	dzelzceļš	ferroviaire	N;GEN;MASC;SG	ADJ;MASC;SG
francijas	francais	francija	francais	PROPN;NOM;FEM;SG	ADJ;MASC;SG
francijas	française	francija	français	PROPN;NOM;FEM;SG	ADJ;FEM;SG
francijas	français	francija	français	PROPN;NOM;FEM;SG	ADJ;MASC;SG
francijas	françaises	francija	français	PROPN;NOM;FEM;SG	ADJ;FEM;PL
iespējams	éventuellement	iespējams	éventuellement	ADJ;NOM;MASC;SG	ADV
iespējams	possiblement	iespējams	possiblement	ADJ;NOM;MASC;SG	ADV
iespējams	possibles	iespējams	possible	ADJ;NOM;MASC;SG	ADJ;MASC;PL
baltijas	baltique	baltija	baltique	PROPN;NOM;FEM;SG	ADJ;MASC;SG
baltijas	baltes	baltija	balte	PROPN;NOM;FEM;SG	ADJ;MASC;PL
impērijas	imperia	impērija	imperier	N;NOM;FEM;PL	PROPN
izmanto	utilisées	izmantot	utiliser	V;IMP;SG;2;POS;FIN;ACT	V;FEM;PL;PST;V.PTCP
izmanto	utilisés	izmantot	utiliser	V;IMP;SG;2;POS;FIN;ACT	V;MASC;PL;PST;V.PTCP
austrumu	orientale	austrumi	oriental	N;GEN;MASC	ADJ;FEM;SG
austrumu	est	austrumi	être	N;GEN;MASC	V;IND;SG;3;PRS;FIN
austrumu	orient	austrumi	orier	N;GEN;MASC	N;MASC;SG
austrumu	orientale	austrumi	oriental	N;GEN;MASC	ADJ;FEM;SG
austrumu	oriental	austrumi	oriental	N;GEN;MASC	ADJ;MASC;SG
rietumu	occidentale	rietumi	occidental	N;ACC;MASC;SG	ADJ;FEM;SG
rietumu	west	rietumi	west	N;ACC;MASC;SG	PROPN
rietumu	occidentale	rietumi	occidental	N;ACC;MASC;SG	ADJ;FEM;SG
rietumu	occidental	rietumi	occidental	N;ACC;MASC;SG	ADJ;MASC;SG
dzimums	sexes	dzimums	sexe	N;NOM;MASC;SG	N;FEM;PL
tagad	now	tagad	now	ADV	INTJ
baznīcas	église	baznīca	église	N;NOM;FEM;PL	N;FEM;SG
baznīcas	eglise	baznīca	eglise	N;NOM;FEM;PL	N;FEM;SG
auto	automatique	auto	automatique	N	ADJ;MASC;SG
dzīvo	vivante	dzīvot	vivant	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;FEM;SG
dzīvo	vivants	dzīvot	vivant	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;MASC;PL
dzīvo	live	dzīvot	live	V;FH;IND;3;POS;PRS;FIN;ACT	PROPN
visas	toute	visa	tout	PRO;NOM;FEM;PL	DET;FEM;SG
visas	tout	visa	tout	PRO;NOM;FEM;PL	PRO;MASC;SG
visas	all	visa	all	PRO;NOM;FEM;PL	
sporta	sportif	sports	sportif	N;GEN;MASC;SG	ADJ;MASC;SG
sporta	sportive	sports	sportif	N;GEN;MASC;SG	ADJ;FEM;SG
sporta	sports	sports	sport	N;GEN;MASC;SG	N;MASC;PL
svg	svg	svg	svg		N;MASC;SG
zelta	dorée	zelts	doré	N;GEN;MASC	V;FEM;SG;PST;V.PTCP
zelta	golden	zelts	golden	N;GEN;MASC	N;MASC;SG
zelta	doré	zelts	dorer	N;GEN;MASC	V;MASC;SG;PST;V.PTCP
zelta	doré	zelts	dorer	N;GEN;MASC	V;MASC;SG;PST;V.PTCP
zelta	or	zelts	or	N;GEN;MASC	CONJ
zelta	gold	zelts	gold	N;GEN;MASC	
franču	francais	francis	francais	N;GEN;MASC;PL	ADJ;MASC;SG
franču	française	francis	français	N;GEN;MASC;PL	ADJ;FEM;SG
franču	français	francis	français	N;GEN;MASC;PL	ADJ;MASC;SG
franču	françaises	francis	français	N;GEN;MASC;PL	ADJ;FEM;PL
mājas	chalet	māja	chalet	N;NOM;FEM;PL	N;MASC;SG
mājas	cottage	māja	cottage	N;NOM;FEM;PL	N;MASC;SG
mājas	maison	māja	maison	N;NOM;FEM;PL	N;FEM;SG
mājas	domicile	māja	domicile	N;NOM;FEM;PL	N;MASC;SG
mājas	accueil	māja	accueil	N;NOM;FEM;PL	N;MASC;SG
for	pour	for	pour		ADP
diskusija	discussions	diskusija	discussion	N;NOM;FEM;SG	N;FEM;PL
citi	autre	cits	autre	PRO;NOM;MASC;PL	PRO;SG
nba	nba	nba	nba	PROPN	N;MASC;SG
varētu	pouvait	varēt	pouvoir	V;COND;POS;FIN;ACT	V;IND;SG;3;IPFV;FIN
krastā	rivages	krasts	rivage	N;ESS;MASC;SG	N;MASC;PL
krastā	shore	krasts	shore	N;ESS;MASC;SG	PROPN
lats	lat	lats	lat	N;NOM;MASC;SG	
longs	longus	longs	long	N;NOM;MASC;SG	PROPN
lauku	rurales	lauks	rural	N;ACC;MASC;SG	ADJ;FEM;PL
lauku	ruraux	lauks	rural	N;ACC;MASC;SG	ADJ;MASC;PL
lauku	rurale	lauks	rural	N;ACC;MASC;SG	ADJ;FEM;SG
lauku	rural	lauks	rural	N;ACC;MASC;SG	ADJ;MASC;SG
karalis	king	karalis	king	N;NOM;MASC;SG	PROPN
stacijas	station	stacija	station	N;NOM;FEM;PL	N;FEM;SG
stacijas	gare	stacija	gare	N;NOM;FEM;PL	N;FEM;SG
šeit	voilà	šeit	voilà	ADV	V
šeit	voici	šeit	voici	ADV	V
universitātes	université	universitāte	université	N;NOM;FEM;PL	N;FEM;SG
universitātes	universitaire	universitāte	universitaire	N;NOM;FEM;PL	ADJ;MASC;SG
iii	iii	būt	iii	ADJ	NUM
darba	travaillant	darbs	travailler	N;GEN;MASC;SG	V;PRS;V.PTCP
darba	travailler	darbs	travailler	N;GEN;MASC;SG	V;NFIN
republikas	république	republika	république	N;NOM;FEM;PL	N;FEM;SG
būtu	ferait	būt	faire	V;COND;POS;FIN;ACT	V;COND;SG;3;PRS;FIN
būtu	devrait	būt	devoir	V;COND;POS;FIN;ACT	V;COND;SG;3;PRS;FIN
būtu	devraient	būt	devoir	V;COND;POS;FIN;ACT	V;COND;PL;3;PRS;FIN
būtu	devrais	būt	devoir	V;COND;POS;FIN;ACT	V;COND;SG;1;PRS;FIN
britu	britanniques	brist	britannique	PROPN	ADJ;MASC;PL
britu	britannique	brist	britannique	PROPN	ADJ;MASC;SG
pilsētu	urbain	pilsēta	urbain	N;ACC;FEM;SG	ADJ;MASC;SG
