πολύχρωμα	رنگین	πολύχρωμα	رنگین	ADJ;NOM;NEUT;PL	PROPN;NOM;MASC;SG;3
επαναστάτη	سرکش	επαναστάτης	سرکش	N;ACC;MASC;SG	N;NOM;MASC;SG;3
ρυθμίζουν	اصول	ρυθμίζω	اصول	V;IPFV;IND;PL;3;PRS;FIN;ACT	N;NOM;MASC;SG;3
ελαστικότητα	لچکداری	ελαστικότητα	لچکداری	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ελαστικότητα	نرمی	ελαστικότητα	نرمی	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ελαστικότητα	لچک	ελαστικότητα	لچک	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ελαστικότητα	نرمی	ελαστικότητα	نرمی	N;ACC;FEM;SG	N;NOM;MASC;SG;3
απόσχιση	افتراق	απόσχιση	افتراق	N;ACC;FEM;SG	N;NOM;MASC;SG;3
μητρικό	مادرانہ.	μητρικός	مادرانہ.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ανθρώπινος	بَشری	ανθρώπινος	بَشری	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
ανθρώπινος	انسان.	ανθρώπινος	انسان.	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
ανθρώπινος	آدمی	ανθρώπινος	آدمی	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
μαγείρεμα	بگاڑنا	μαγείρεμα	بگاڑ	N;NOM;NEUT;SG	V;NFIN;ACT
μαγείρεμα	طباخ	μαγείρεμα	طباخ	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
μαγείρεμα	بگاڑنا	μαγείρεμα	بگاڑ	N;NOM;NEUT;SG	V;NFIN;ACT
μαγείρεμα	باورچی	μαγείρεμα	باورچی	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
μαγείρεμα	طباخ	μαγείρεμα	طباخ	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
μαγείρεμα	طبّاخی.	μαγείρεμα	طبّاخی.	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
λιθουανική	لتھوانی.	λιθουανικός	لتھوانی.	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
παρεξήγηση	ناراضگی.	παρεξήγηση	ناراضگی.	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
περιορισμένος	محدود	περιορισμένος	محدود	V;PFV;NOM;MASC;SG;V.PTCP;PASS	ADJ
περιορισμένος	کم	περιορισμένος	کم	V;PFV;NOM;MASC;SG;V.PTCP;PASS	ADJ
περιορισμένος	تھوڑا	περιορισμένος	تھوڑ	V;PFV;NOM;MASC;SG;V.PTCP;PASS	ADJ;NOM;MASC;SG
εναέρια	فضا	εναέριος	فضا	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
βιταμίνες	وٹامن	βιταμίνος	وٹامن	N;NOM;FEM;PL	N;NOM;MASC;SG;3
βιταμίνες	وٹامن	βιταμίνος	وٹامن	N;NOM;FEM;PL	N;NOM;MASC;SG;3
σπορά	بجائی	σπορά	بجائی	N;NOM;FEM;SG	V;PFV;FEM;SG;V.PTCP;ACT
κατόρθωμα	کارِنمایاں.	κατόρθωμα	کارِنمایاں.	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αγωγό	نالی	αγωγός	نالی	N;ACC;MASC;SG	N;NOM;FEM;SG;3
νευρική	بزدل	νευρικός	بزدل	ADJ;NOM;FEM;SG	
νευρική	ہراساں	νευρικός	ہراساں	ADJ;NOM;FEM;SG	;NOM;MASC;SG
νευρική	پریشان.	νευρικός	پریشان.	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
νευρική	حسّاس	νευρικός	حسّاس	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
νευρική	ڈھلمل	νευρικός	ڈھلمل	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
ασύρματο	لاسلکی.	άσυρμα	لاسلکی.	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
κλέι	گیلی	κλέι	گیلی		PROPN;NOM;MASC;SG;3
δίλημμα	تعطّل	δίλημμα	تعطّل	N;NOM;NEUT;SG	
αρμονικά	متوازن	αρμονικά	متوازن	ADV	ADJ
αρμονικά	مترنم	αρμονικά	مترنم	ADV	PROPN;NOM;MASC;SG;3
αρμονικά	ہموار	αρμονικά	ہموار	ADV	ADJ
μελλοντικός	مستقبل	μελλοντικός	مستقبل	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
μελλοντικός	شخص	μελλοντικός	شخص	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
ομοφυλόφιλος	وارہ	ομοφυλόφιλος	وارہ	ADJ;NOM;MASC;SG	
ομοφυλόφιλος	بدچلن	ομοφυλόφιλος	بدچلن	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
ομοφυλόφιλος	بدکار.	ομοφυλόφιλος	بدکار.	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
ομοφυλόφιλος	بافراغت	ομοφυλόφιλος	بافراغت	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
επαίνους	توصیف	επαίνος	توصیف	N;ACC;MASC;PL	PROPN;NOM;MASC;SG;3
επαίνους	تعریف	επαίνος	تعریف	N;ACC;MASC;PL	N;NOM;MASC;SG;3
επαίνους	توصیف	επαίνος	توصیف	N;ACC;MASC;PL	PROPN;NOM;MASC;SG;3
επαίνους	سراہنا	επαίνος	سراہ	N;ACC;MASC;PL	PROPN;NOM;MASC;SG;3
ράι	جودار	ραι	جودار		PROPN;NOM;MASC;SG;3
ραδιενέργεια	بکھراؤ.	ραδιενέργεια	بکھراو	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
ομηρική	عظیم	ομηρικός	عظیم	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
ομηρική	زبردست.	ομηρικός	زبردست.	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
σύμπραξη	شراکت	σύμπραξη	شراکت	N;ACC;FEM;SG	N;NOM;MASC;SG;3
σύμπραξη	ساجھا	σύμπραξη	ساجھا	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
σύμπραξη	شراکت	σύμπραξη	شراکت	N;ACC;FEM;SG	N;NOM;MASC;SG;3
εισπνοή	بھپارا	εισπνοή	بھپارا	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
φορέσει	معنی۲.	φορώ	معنی۲.	V;PFV;NFIN;ACT	PROPN;NOM;MASC;SG;3
φορέσει	ماندہ	φορώ	ماندہ	V;PFV;NFIN;ACT	
ταν	سنولانا	ο	سنولانا	N;SG	V;NFIN;ACT
πρωτοτυπία	اپج.	πρωτοτυπία	اپج.	N;NOM;FEM;SG	
πρωτοτυπία	ابداء	πρωτοτυπία	ابداء	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πρωτοτυπία	اپج.	πρωτοτυπία	اپج.	N;NOM;FEM;SG	
πρωτοτυπία	بداعت	πρωτοτυπία	بداعت	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πρωτοτυπία	ابداء	πρωτοτυπία	ابداء	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πρωτοτυπία	ابدائ.	πρωτοτυπία	ابدائ.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πόρνη	بیسوا	πόρνη	بیسوا	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πόρνη	چُلہائی	πόρνη	چُلہائی	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πόρνη	چھنال.	πόρνη	چھنال.	N;NOM;FEM;SG	V;MASC;SG;V.PTCP;ACT
πόρνη	ہرجائی.	πόρνη	ہرجائی.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πόρνη	گشتی	πόρνη	گشتی	N;NOM;FEM;SG	ADJ;NOM
πόρνη	چُلہائی	πόρνη	چُلہائی	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πόρνη	رنڈی	πόρνη	رنڈی	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πόρνη	چھنال.	πόρνη	چھنال.	N;NOM;FEM;SG	V;MASC;SG;V.PTCP;ACT
πόρνη	کسبی	πόρνη	کسبی	N;NOM;FEM;SG	
πόρνη	ہرجائی.	πόρνη	ہرجائی.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πόρνη	طوائف	πόρνη	طوائف	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πόρνη	رنڈی	πόρνη	رنڈی	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
ενήλικος	فحش	ενήλικος	فحش	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
ενήλικος	جوان	ενήλικος	جوان	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
ενήλικος	فحش	ενήλικος	فحش	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
πεύκο	رینجھنا.	πεύκο	رینجھنا.	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
τοκετό	زچگی	τοκετός	زچگی	N;ACC;MASC;SG	N;NOM;FEM;SG;3
ένδυση	پوشاک	ένδυση	پوشاک	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
ένδυση	پوشاک	ένδυση	پوشاک	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
ένδυση	ملبوسات	ένδυση	ملبوسات	N;NOM;FEM;SG	N;NOM;MASC;PL;3
υποβάθμιση	بگاڑ	υποβάθμιση	بگاڑ	N;ACC;FEM;SG	V;ACT
υποβάθμιση	ابتری	υποβάθμιση	ابتری	N;ACC;FEM;SG	ADJ
υποβάθμιση	بگاڑ	υποβάθμιση	بگاڑ	N;ACC;FEM;SG	V;ACT
υποβάθμιση	تنّزل	υποβάθμιση	تنّزل	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
υποβάθμιση	تذلیل	υποβάθμιση	تذلیل	N;ACC;FEM;SG	N;NOM;MASC;SG;3
υποβάθμιση	تنّزل	υποβάθμιση	تنّزل	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
αδιάφορο	سپاٹ.	αδιάφορο	سپاٹ.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδιάφορο	ادنیٰ.	αδιάφορο	ادنیٰ.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
διοικητικός	انتظام	διοικητικός	انتظام	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
υποτάξει	ہلکا-	υποτάγω	ہلکا-	V;PFV;NFIN;ACT	PROPN;NOM;MASC;SG;3
αύξοντα	رسالہ	αύξον	رسالہ	N;ACC;MASC;SG	N;NOM;MASC;SG;3
αύξοντα	جریدہ.	αύξον	جریدہ.	N;ACC;MASC;SG	PROPN;NOM;MASC;SG;3
επίτηδες	بالعمد	επίτηδα	بالعمد	ADV	PROPN;NOM;MASC;SG;3
επίτηδες	بالعمد	επίτηδα	بالعمد	ADV	PROPN;NOM;MASC;SG;3
υπέροχο	حسینہ	υπέροχος	حسینہ	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
δροσερό	تحمل	δροσερός	تحمل	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
δροσερό	بردباری	δροσερός	بردباری	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
δροσερό	ڈھیٹ	δροσερός	ڈھیٹ	ADJ;NOM;NEUT;SG	V;SG;ACT
δροσερό	ٹھنڈک	δροσερός	ٹھنڈک	ADJ;NOM;NEUT;SG	
δροσερό	خنکی.	δροσερός	خنکی.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
δροσερό	عوام	δροσερός	عوام	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
ιμαλαΐων	ہمالیائی.	ιμάλανος	ہمالیائی	N;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
καθαρός	صفائی	καθαρός	صفائی	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
καθαρός	قطعاً	καθαρός	قطعاً	ADJ;NOM;MASC;SG	N
καθαρός	سْتھرا	καθαρός	سْتھرا	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
καθαρός	کاملاً	καθαρός	کاملاً	ADJ;NOM;MASC;SG	ADV
καθαρός	پُھرتیلا	καθαρός	پُھرتیلا	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
καθαρός	بنانا	καθαρός	بنا	ADJ;NOM;MASC;SG	V;MASC;SG;NFIN;ACT
καθαρός	سڈول	καθαρός	سڈول	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
επικεφαλίδα	جمانا.	επικεφαλίδα	جمانا.	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
επικεφαλίδα	فصل.	επικεφαλίδα	فصل.	N;NOM;FEM;SG	
βαβέλ	افراتفری-	βαβέλα	افراتفرییی	N;NOM;FEM;SG	ADJ
σαρκοφάγο	کتّا	σαρκοφάγος	کتّا	N;NOM;NEUT;SG	
παρασκήνια	پوشیدہ.	παρασκήνιος	پوشیدہ.	N;NOM;NEUT;PL	PROPN;NOM;MASC;SG;3
ερευνήσει	تلاش	ερευνώ	تلاش	V;PFV;IND;3;NFIN;ACT	N;NOM;FEM;SG;3
δικαστικά	ناقدانہ.	δικαστικά	ناقدانہ.	ADV	ADJ
δικαστικά	ناقدانہ.	δικαστικά	ناقدانہ.	ADV	ADJ
δικαστικά	عدالتی	δικαστικά	عدالتی	ADV	ADJ;NOM
αγνοείται	غائب.	αγνοώ	غائب.	V;IPFV;IND;SG;3;PRS;FIN;PASS	
αγνοείται	گم	αγνοώ	گم	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ
αντιμόνιο	کحل	αντιμόνιος	کحل	N;NOM;NEUT;SG	
ελέφαντα	فیل	ελέφαν	فیل	N;NOM;NEUT;SG	V;ACT
αυστηρός	کامل-	αυστηρός	کامل-	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
χαρτοφυλάκιο	خریطہ	χαρτοφυλάκιο	خریطہ	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
σφίγγα	ببون	σφίγγα	ببون	N;NOM;FEM;SG	
σφίγγα	عجیب	σφίγγα	عجیب	N;NOM;FEM;SG	ADJ
μοναχικά	مہجور	μοναχικός	مہجور	ADJ;NOM;NEUT;PL	N;NOM;MASC;SG;3
μοναχικά	سونی	μοναχικός	سو	ADJ;NOM;NEUT;PL	PROPN;NOM;MASC;SG;3
μοναχικά	غمگین.	μοναχικός	غمگین.	ADJ;NOM;NEUT;PL	PROPN;NOM;MASC;SG;3
μοναχικά	مہجور	μοναχικός	مہجور	ADJ;NOM;NEUT;PL	N;NOM;MASC;SG;3
μοναχικά	اکیلا	μοναχικός	اکیلا	ADJ;NOM;NEUT;PL	V;PFV;MASC;SG;V.PTCP;ACT
μοναχικά	سونی	μοναχικός	سو	ADJ;NOM;NEUT;PL	PROPN;NOM;MASC;SG;3
μοναχικά	غمگین.	μοναχικός	غمگین.	ADJ;NOM;NEUT;PL	PROPN;NOM;MASC;SG;3
ασαφές	مبہم.	ασαφής	مبہم.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ασαφές	مگھم.	ασαφής	مگھم.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
άμαξα	چھکڑا	άμαξα	چھکڑا	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
άμαξα	ارابہ	άμαξα	ارابہ	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
ταμπού	مردود	ταμπού	مردود	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ταμπού	بندش	ταμπού	بندش	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ταμπού	مقدّس	ταμπού	مقدل	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ταμπού	مردود	ταμπού	مردود	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ταμπού	بندش	ταμπού	بندش	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ταμπού	مقدّس	ταμπού	مقدل	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ταμπού	ممنوع	ταμπού	ممنوع	N;NOM;NEUT;SG	ADJ
αδύναμο	ڈھیلا	αδύναμο	ڈھیلا	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	پھوٹک	αδύναμο	پھوٹک	ADJ;NOM;NEUT;SG	V;SG;ACT
αδύναμο	لڑبڑا.	αδύναμο	لڑبڑا.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	بودا-	αδύναμο	بودا-	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	پوچ-	αδύναμο	پوچ-	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	روگی	αδύναμο	روگی	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	مریضانہ-	αδύναμο	مریضانہ-	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	نزار	αδύναμο	نزار	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	ڈھیلا	αδύναμο	ڈھیلا	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	پھوٹک	αδύναμο	پھوٹک	ADJ;NOM;NEUT;SG	V;SG;ACT
αδύναμο	لڑبڑا.	αδύναμο	لڑبڑا.	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	بودا-	αδύναμο	بودا-	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	ماڑا	αδύναμο	ماڑا	ADJ;NOM;NEUT;SG	V;PFV;MASC;SG;V.PTCP;ACT
αδύναμο	پوچ-	αδύναμο	پوچ-	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	نحیف	αδύναμο	نحیف	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
αδύναμο	روگی	αδύναμο	روگی	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	مریضانہ-	αδύναμο	مریضانہ-	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	نزار	αδύναμο	نزار	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αδύναμο	پتلا	αδύναμο	پتلا	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
πολυτέλεια	مرغوب	πολυτέλεια	مرغوب	N;NOM;FEM;SG	ADJ
πολυτέλεια	تعیش	πολυτέλεια	تعیش	N;NOM;FEM;SG	
γραφίτη	کحل	γραφίτης	کحل	N;NOM;NEUT;SG	
γραφίτη	plumbago	γραφίτης	plumbago	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αναπνευστικού	تنفسی	αναπνευστικός	تنفسی	ADJ;GEN;NEUT;SG	N;NOM;MASC;SG;3
φτωχοί	معمولی	φτωχός	معمولی	N;NOM;MASC;PL	ADJ
φτωχοί	کچا	φτωχός	کچا	N;NOM;MASC;PL	N;NOM;MASC;SG;3
φτωχοί	گھٹیا	φτωχός	گھٹیا	N;NOM;MASC;PL	ADJ
φτωχοί	مفلس	φτωχός	مفلس	N;NOM;MASC;PL	N;NOM;MASC;SG;3
φτωχοί	نادار	φτωχός	نادار	N;NOM;MASC;PL	ADJ
φτωχοί	معمولی	φτωχός	معمولی	N;NOM;MASC;PL	ADJ
φτωχοί	کچا	φτωχός	کچا	N;NOM;MASC;PL	N;NOM;MASC;SG;3
φτωχοί	گھٹیا	φτωχός	گھٹیا	N;NOM;MASC;PL	ADJ
φτωχοί	مفلس	φτωχός	مفلس	N;NOM;MASC;PL	N;NOM;MASC;SG;3
φτωχοί	غریب	φτωχός	غریب	N;NOM;MASC;PL	ADJ
άφθονη	فراواں	άφθονος	فراواں	ADJ;NOM;FEM;SG	
άφθονη	کثیر	άφθονος	کثیر	ADJ;NOM;FEM;SG	
κλιμάκωση	چاندنا.	κλιμάκωση	چاندنا.	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
κλιμάκωση	چھلکا.	κλιμάκωση	چھلکا.	N;ACC;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
κλιμάκωση	ورقہ	κλιμάκωση	ورقہ	N;ACC;FEM;SG	
κλιμάκωση	پر	κλιμάκωση	پر	N;ACC;FEM;SG	ADP
κλιμάκωση	ترازو	κλιμάκωση	ترازو	N;ACC;FEM;SG	N;NOM;MASC;SG;3
κλιμάκωση	تلاراس.	κλιμάκωση	تلاراس.	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
κλιμάκωση	(	κλιμάκωση	(	N;ACC;FEM;SG	
κλιμάκωση	مانجھنا.	κλιμάκωση	مانجھنان	N;ACC;FEM;SG	PROPN;ACC;MASC;SG;3
κλιμάκωση	ترفّع	κλιμάκωση	ترفّع	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
κλιμάκωση	تفریط	κλιμάκωση	تفریط	N;ACC;FEM;SG	N;NOM;MASC;SG;3
πανέμορφη	دلکش	πανέμορφος	دلکش	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
πανέμορφη	عمدہ	πανέμορφος	عمدہ	N;NOM;FEM;SG	ADJ
πανέμορφη	نفیس	πανέμορφος	نفیس	N;NOM;FEM;SG	
πανέμορφη	اعلیٰ	πανέμορφος	اعلیٰ	N;NOM;FEM;SG	ADJ
πανέμορφη	خوبصورت	πανέμορφος	خوبصورت	N;NOM;FEM;SG	ADJ
πανέμορφη	شاندار	πανέμορφος	شاندار	N;NOM;FEM;SG	ADJ
αυθεντικά	اصلی	αυθεντικά	اصلی	ADV	ADJ
αναλογικό	تقابلی	αναλογικός	تقابلی	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
αναλογικό	وزن	αναλογικός	وزن	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
ακοή	اظہارات	ακοή	اظہار	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
μπριτζ	land-bridge	μπριτζ	land-bridge		PROPN;NOM;MASC;SG;3
συμπληρωματική	ضمنی.	συμπληρωματικός	ضمنی.	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
φτιάξω	ٹانگنا	φτιάχω	ٹانگنا	V;PFV;IND;SG;1;FIN;ACT	PROPN;NOM;MASC;SG;3
φτιάξω	شکنجہ	φτιάχω	شکنجہ	V;PFV;IND;SG;1;FIN;ACT	N;NOM;MASC;SG;3
φτιάξω	رشوت.	φτιάχω	رشوت.	V;PFV;IND;SG;1;FIN;ACT	PROPN;NOM;MASC;SG;3
φτιάξω	ٹانگنا	φτιάχω	ٹانگنا	V;PFV;IND;SG;1;FIN;ACT	PROPN;NOM;MASC;SG;3
φτιάξω	شکنجہ	φτιάχω	شکنجہ	V;PFV;IND;SG;1;FIN;ACT	N;NOM;MASC;SG;3
φτιάξω	رشوت.	φτιάχω	رشوت.	V;PFV;IND;SG;1;FIN;ACT	PROPN;NOM;MASC;SG;3
συνοπτικό	تحریر	συνοπτικός	تحریر	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
οικεία	شناسا	οικεία	شناسا	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
δίκαιος	مُبّیضہ	δίκαιος	مُبّیضہ	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
δίκαιος	حتمی.	δίκαιος	حتمی.	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
δίκαιος	گورا	δίκαιος	گورا	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
δίκαιος	حسین	δίκαιος	حسین	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
δίκαιος	حسینہ.	δίκαιος	حسینہ.	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
δίκαιος	مہربان	δίκαιος	مہربان	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
συμπερίληψη	ملفوف.	συμπερίληψη	ملفوف.	N;ACC;FEM;SG	ADJ
συμπερίληψη	شمولیت	συμπερίληψη	شمولیت	N;ACC;FEM;SG	N;NOM;FEM;SG;3
μπαλκόνι	برآمدہ	μπαλκόνι	برآمدہ	N;NOM;NEUT;SG	ADJ
κάταγμα	ٹوٹنا	κάταγμα	ٹوٹنا	N;NOM;NEUT;SG	V;NFIN;ACT
κάταγμα	درز	κάταγμα	درز	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
κάταγμα	دراڑ.	κάταγμα	دراڑ.	N;NOM;NEUT;SG	
κάταγμα	تڑقن	κάταγμα	تڑقن	N;NOM;NEUT;SG	
συμβατή	(	συμβατός	(	ADJ;NOM;FEM;SG	
παθολογία	امراضیات	παθολογία	امراضیات	N;NOM;FEM;SG	N;NOM;MASC;PL;3
δεσποινίς	بچنا	δεσποινίς	بچ	N;NOM;FEM;SG	V;MASC;SG;NFIN;ACT
δεσποινίς	خطا	δεσποινίς	خطا	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
