から	din	から	din	CONJ	ADP;ACC
変更	modificări	変更	modificare	V	N;INDF;FEM;PL
変更	schimbări	変更	schimbare	V	N;INDF;FEM;PL
変更	modificari	変更	modificare	V	
変更	schimbari	変更	schimbari	V	N;INDF;FEM;PL
変更	schimbare	変更	schimbare	V	N;INDF;FEM;SG
変更	schimbarea	変更	schimbare	V	N;DEF;FEM;SG
編曲	aranjată	編曲	aranja	N	ADJ;INDF;FEM;SG
編曲	aranjate	編曲	aranja	N	ADJ;INDF;FEM;PL
編曲	aranjat	編曲	aranja	N	ADJ;INDF;MASC;SG
記録	înregistrare	記録	înregistrare	V	N;INDF;FEM;SG
記録	înregistrarea	記録	înregistrare	V	N;DEF;FEM;SG
記録	record	記録	record	V	N;INDF;MASC;SG
記録	înregistrare	記録	înregistrare	V	N;INDF;FEM;SG
中央	centrala	中央	centrală	N	ADJ;DEF;FEM;SG
中央	centrală	中央	central	N	ADJ;INDF;FEM;SG
中央	central	中央	central	N	ADJ;INDF;MASC;SG
同じ	același	同じ	același	ADJ	DET;MASC;SG;3
設立	stabilit	設立	stabili	V	ADJ;INDF;MASC;SG
設立	stabilită	設立	stabilit	V	ADJ;INDF;FEM;SG
設立	încorporarea	設立	încorporare	V	N;DEF;FEM;SG
設立	stabilirea	設立	stabilire	V	N;DEF;FEM;SG
設立	stabilire	設立	stabilire	V	N;INDF;FEM;SG
考え	gândire	考える	gândire	V	N;INDF;FEM;SG
考え	gândirea	考える	gândire	V	N;DEF;FEM;SG
考え	gânduri	考える	gând	V	N;INDF;FEM;PL
考え	gândurile	考える	gând	V	N;DEF;FEM;PL
考え	ganduri	考える	gand	V	N;INDF;FEM;PL
設置	instalație	設置	instalație	V	N;INDF;FEM;SG
設置	montare	設置	montare	V	N;INDF;FEM;SG
設置	instalarea	設置	instalare	V	N;DEF;FEM;SG
設置	instalare	設置	instalare	V	N;INDF;FEM;SG
発表	anuntul	発表	anunt	V	N;DEF;MASC;SG
発表	anunt	発表	anunt	V	N;INDF;MASC;SG
発表	anunț	発表	anunț	V	N;INDF;MASC;SG
発表	anunțul	発表	anunț	V	N;DEF;MASC;SG
発表	anunturi	発表	anunt	V	
小学校	elementar	小学校	elementar	N	ADJ;INDF;MASC;SG
小学校	elementară	小学校	elementar	N	ADJ;INDF;FEM;SG
小学校	elementare	小学校	elementar	N	ADJ;INDF;FEM;PL
編集	editare	編集	editare	V	N;INDF;FEM;SG
編集	editări	編集	editare	V	N;INDF;FEM;PL
編集	montajul	編集	montaj	V	N;DEF;MASC;SG
編集	editare	編集	editare	V	N;INDF;FEM;SG
編集	editarea	編集	editare	V	N;DEF;FEM;SG
フランス	franţa	フランス	frangă	PROPN	PROPN
フランス	franța	フランス	franța	PROPN	PROPN
フランス	franta	フランス	frantă	PROPN	PROPN
フランス	france	フランス	francă	PROPN	N;INDF;MASC;SG
出版	editor	出版	editor	V	N;INDF;MASC;SG
出版	editura	出版	editură	V	N;DEF;FEM;SG
出版	publicare	出版	publicare	V	N;INDF;FEM;SG
出版	publicarea	出版	publicare	V	N;DEF;FEM;SG
出版	publicare	出版	publicare	V	N;INDF;FEM;SG
出版	publicarea	出版	publicare	V	N;DEF;FEM;SG
会社	fermi	会社	ferm	N	ADJ;INDF;MASC;PL
会社	ferm	会社	ferm	N	ADV
世紀	century	世紀	century	N	PROPN
京都	kyoto	京都	kyoto	PROPN	PROPN
ドイツ	germania	ドイツ	germania	PROPN	PROPN
開催	ţinut	開催	ţinut	V	ADJ;INDF;MASC;SG
シングル	singură	シングル	singur	N	ADJ;INDF;FEM;SG
シングル	singur	シングル	singur	N	ADJ;INDF;MASC;SG
終了	sfârșit	終了	sfârșit	V	N;INDF;MASC;SG
終了	sfarsit	終了	sfarsi	V	
終了	final	終了	final	V	N;INDF;MASC;SG
終了	terminat	終了	termina	V	ADJ;INDF;MASC;SG
終了	ieşirea	終了	ieșire	V	N;DEF;FEM;SG
終了	ieşire	終了	ieşire	V	N;INDF;FEM;SG
終了	ieșire	終了	ieșire	V	N;INDF;FEM;SG
終了	iesire	終了	iesire	V	N;INDF;FEM;SG
イギリス	anglia	イギリス	anglie	PROPN	PROPN
イギリス	england	イギリス	england	PROPN	PROPN
中国	china	中国	chină	PROPN	PROPN
撮影	cinematografie	撮影	cinematografie	V	N;INDF;FEM;SG
撮影	cinematografia	撮影	cinematografie	V	N;DEF;FEM;SG
撮影	fotografie	撮影	fotografie	V	N;INDF;FEM;SG
撮影	fotografia	撮影	fotografie	V	N;DEF;FEM;SG
撮影	filmarea	撮影	filmare	V	N;DEF;FEM;SG
撮影	filmare	撮影	filmar	V	N;INDF;FEM;SG
指定	desemnarea	指定	desemnare	V	N;DEF;FEM;SG
指定	desemnare	指定	desemnare	V	N;INDF;FEM;SG
指定	specifica	指定	specifica	V	N;DEF;FEM;SG
位置	pozitie	位置	pozitie	V	N;INDF;FEM;SG
位置	poziția	位置	poziție	V	N;DEF;FEM;SG
位置	poziţia	位置	pozigie	V	N;DEF;FEM;SG
位置	poziţie	位置	poziţie	V	N;INDF;FEM;SG
位置	poziție	位置	poziție	V	N;INDF;FEM;SG
以下	dedesubt	以下	dedesubt	N	
マン	mann	マン	mann	N	PROPN
卒業	absolvit	卒業	absolvi	V	ADJ;INDF;MASC;SG
卒業	absolvirea	卒業	absolvire	V	N;DEF;FEM;SG
卒業	absolvire	卒業	absolvire	V	N;INDF;FEM;SG
公開	publice	公開	public	V	ADJ;INDF;FEM;PL
公開	public	公開	public	V	ADJ;INDF;MASC;SG
北海道	hokkaido	北海道	hokkaido	PROPN	PROPN
北海道	hokkaidō	北海道	hokkaidō	PROPN	PROPN
最終	ultimele	最終	ultim	N	NUM;DEF;FEM;PL
最終	ultima	最終	ultim	N	NUM;DEF;FEM;SG
最終	ultimul	最終	ultim	N	NUM;DEF;MASC;SG
確認	confirmarea	確認	confirmare	V	N;DEF;FEM;SG
確認	confirmare	確認	confirmare	V	N;INDF;FEM;SG
確認	confirmare	確認	confirmare	V	N;INDF;FEM;SG
一般	generale	一般	general	N	ADJ;INDF;FEM;PL
一般	general	一般	general	N	ADJ;INDF;MASC;SG
歴史	istoric	歴史	istoric	N	ADJ;INDF;MASC;SG
計画	planificate	計画	planificat	N	ADJ;INDF;FEM;PL
計画	plănuit	計画	plănui	N	ADJ;INDF;MASC;SG
計画	planificat	計画	planificat	N	ADJ;INDF;MASC;SG
計画	planificată	計画	planifica	N	ADJ;INDF;FEM;SG
女性	feminin	女性	feminin	N	ADJ;INDF;MASC;SG
コメント	comment	コメント	comment	N	
コメント	comentează	コメント	comenta	N	V;IND;3;PRS;FIN
コメント	comentat	コメント	comenta	N	ADJ;INDF;MASC;SG
漫画	manga	漫画	manga	N	
他の	altele	他の	altul	ADJ	PRO;FEM;PL;3
他の	altii	他の	altul	ADJ	
他の	alții	他の	altul	ADJ	PRO;MASC;PL;3
就任	presupunere	就任	presupunere	V	N;INDF;FEM;SG
就任	presupunerea	就任	presupunere	V	N;DEF;FEM;SG
廃止	abolit	廃止	aboli	V	ADJ;INDF;MASC;SG
廃止	abolirea	廃止	abolire	V	N;DEF;FEM;SG
販売	vind	販売	vinde	V	
販売	vand	販売	vand	V	
販売	vânzările	販売	vânzare	V	N;DEF;FEM;PL
販売	vanzari	販売	vanzar	V	N;INDF;MASC;PL
販売	vânzări	販売	vânzare	V	N;INDF;FEM;PL
攻撃	atacuri	攻撃	atac	V	N;INDF;FEM;PL
攻撃	atacurile	攻撃	atac	V	N;DEF;FEM;PL
攻撃	atac	攻撃	atac	V	N;INDF;MASC;SG
リー	lee	リー	lee	N	PROPN
デビュー	debut	デビュー	debut	V	N;INDF;MASC;SG
デビュー	debutul	デビュー	debut	V	N;DEF;MASC;SG
フジ	fuji	フジ	fujă	PROPN	N;INDF;MASC;SG
戦争	razboaie	戦争	razboi	N	ADJ;INDF;FEM
製作	producere	製作	producere	V	N;INDF;FEM;SG
製作	producție	製作	producție	V	N;INDF;FEM;SG
製作	producția	製作	producție	V	N;DEF;FEM;SG
製作	productie	製作	productie	V	N;INDF;FEM;SG
当初	initial	当初	initial	N	ADJ;INDF;MASC;SG
当初	iniţial	当初	iniţial	N	ADJ;INDF;MASC;SG
当初	inițial	当初	inițial	N	ADV
最初	primii	最初	prim	N	NUM;DEF;MASC;PL
最初	prima	最初	prim	N	NUM;DEF;FEM;SG
最初	primul	最初	prim	N	NUM;DEF;MASC;SG
受賞	premii	受賞	premiu	V	N;INDF;FEM;PL
受賞	premiile	受賞	premiu	V	N;DEF;FEM;PL
受賞	premiu	受賞	premiu	V	N;INDF;MASC;SG
受賞	premiul	受賞	premiu	V	N;DEF;MASC;SG
広島	hiroshima	広島	hiroshimă	PROPN	PROPN
リンク	legătura	リンク	legătură	V	N;DEF;FEM;SG
リンク	legătură	リンク	legătură	V	N;INDF;FEM;SG
リンク	link	リンク	link	V	N;INDF;MASC;SG
リンク	linkul	リンク	link	V	N;DEF;MASC;SG
リンク	linkuri	リンク	link	V	N;INDF;FEM;PL
リンク	legaturi	リンク	legatură	V	N;INDF;FEM;PL
リンク	linkurile	リンク	link	V	N;DEF;FEM;PL
リンク	legături	リンク	legătură	V	N;INDF;FEM;PL
合併	fuziune	合併	fuziune	V	N;INDF;FEM;SG
合併	fuziunea	合併	fuziune	V	N;DEF;FEM;SG
合併	fuziuni	合併	fuziune	V	N;INDF;FEM;PL
特定	specific	特定	specific		ADJ;INDF;MASC;SG
特定	specifică	特定	specifica		V;IND;SG;3;PST;FIN
特定	specifice	特定	specific		ADJ;INDF;FEM;PL
特定	precizată	特定	preciza		ADJ;INDF;FEM;SG
特定	specificate	特定	specifica		ADJ;INDF;FEM;PL
特定	specificat	特定	specificat		ADJ;INDF;MASC;SG
特定	specificată	特定	specificat		ADJ;INDF;FEM;SG
朝日	asahi	朝日	asahi	PROPN	
意味	sensul	意味	sens	V	N;DEF;MASC;SG
意味	semnificație	意味	semnificație	V	N;INDF;FEM;SG
意味	sensuri	意味	sens	V	N;INDF;FEM;PL
建設	construcții	建設	construcție	V	N;INDF;FEM;PL
建設	constructie	建設	constructie	V	N;INDF;FEM;SG
建設	construcție	建設	construcție	V	N;INDF;FEM;SG
建設	constructii	建設	construct	V	N;INDF;FEM;PL
とき	cand	とき	cand	N	
とき	când	とき	când	N	ADV
最後	ultimele	最後	ultim	N	NUM;DEF;FEM;PL
最後	ultima	最後	ultim	N	NUM;DEF;FEM;SG
最後	ultimul	最後	ultim	N	NUM;DEF;MASC;SG
そして	si	そして	sine	CONJ	
一	una	一	unul	NUM	PRO;FEM;SG;3
一	unul	一	unul	NUM	PRO;MASC;SG;3
大正	taisho	大正	taisho	N	
大正	taishō	大正	taishō	N	
ブロック	blochează	ブロック	bloca	N	V;IND;3;PRS;FIN
発生	apariție	発生	apariție	V	N;INDF;FEM;SG
連続	continuitatea	連続	continuitate	ADJ	N;DEF;FEM;SG
連続	continuitate	連続	continuitate	ADJ	N;INDF;FEM;SG
連続	continuu	連続	continuu	ADJ	ADV
構成	configurare	構成	configurare	V	N;INDF;FEM;SG
構成	configurația	構成	configurație	V	N;DEF;FEM;SG
構成	compoziția	構成	compoziție	V	N;DEF;FEM;SG
構成	compoziţia	構成	compoziţia	V	N;DEF;FEM;SG
構成	compoziție	構成	compoziție	V	N;INDF;FEM;SG
構成	structură	構成	structură	V	N;INDF;FEM;SG
構成	structura	構成	structură	V	N;DEF;FEM;SG
構成	structurii	構成	structură	V	N;DEF;FEM;SG
構成	configurații	構成	configurație	V	N;INDF;FEM;PL
最大	maximă	最大	maxim	N	ADJ;INDF;FEM;SG
最大	maxim	最大	maxim	N	ADJ;INDF;MASC;SG
それぞれ	fiecare	それぞれ	fiecare	ADV	PRO;SG;3
参照	referință	参照	referință	V	N;INDF;FEM;SG
参照	referința	参照	referință	V	N;DEF;FEM;SG
参照	trimitere	参照	trimitere	V	N;INDF;FEM;SG
参照	referințe	参照	referință	V	N;INDF;FEM;PL
参照	referinte	参照	referint	V	
参照	trimiteri	参照	trimitere	V	N;INDF;FEM;PL
参照	corelarea	参照	corelare	V	N;DEF;FEM;SG
発行	eliberat	発行	elibera	N	ADJ;INDF;MASC;SG
発行	emis	発行	emite	N	ADJ;INDF;MASC;SG
発行	emisă	発行	emite	N	ADJ;INDF;FEM;SG
発行	emise	発行	emite	N	V;IND;SG;3;PST;FIN
名称	name	名称	name	N	
ダム	dam	ダム	da	N	
ホーム	acasa	ホーム	acasa	N	
ホーム	acasă	ホーム	acasă	N	ADV
ホーム	home	ホーム	homă	N	
運行	operație	運行	operație	V	N;INDF;FEM;SG
運行	operațiune	運行	operațiune	V	N;INDF;FEM;SG
運行	operațiunea	運行	operațiune	V	N;DEF;FEM;SG
運行	operaţiunea	運行	operagiune	V	N;DEF;FEM;SG
投稿	post	投稿	post	V	N;INDF;MASC;SG
投稿	postare	投稿	postare	V	N;INDF;FEM;SG
投稿	postarea	投稿	postare	V	N;DEF;FEM;SG
投稿	postările	投稿	postare	V	N;DEF;FEM;PL
投稿	posturi	投稿	post	V	N;INDF;FEM;PL
投稿	postări	投稿	postare	V	N;INDF;FEM;PL
投稿	postarea	投稿	postare	V	N;DEF;FEM;SG
名前	name	名前	name	N	
福岡	fukuoka	福岡	fukuoka	PROPN	PROPN
調査	anchete	調査	anchetă	V	N;INDF;FEM;PL
調査	anchetă	調査	anchetă	V	N;INDF;FEM;SG
調査	ancheta	調査	anchetă	V	N;DEF;FEM;SG
調査	investigație	調査	investigație	V	N;INDF;FEM;SG
調査	sondaj	調査	sondaj	V	N;INDF;MASC;SG
製造	fabricate	製造	fabrica	V	ADJ;INDF;FEM;PL
製造	fabricat	製造	fabrica	V	ADJ;INDF;MASC;SG
製造	fabricată	製造	fabrica	V	ADJ;INDF;FEM;SG
イタリア	italia	イタリア	italia	PROPN	PROPN
ロシア	rusă	ロシア	rus	PROPN	ADJ;INDF;FEM;SG
ロシア	rusesc	ロシア	rusesc	PROPN	ADV
ロシア	rusa	ロシア	rusa	PROPN	N;DEF;FEM;SG
ロシア	rus	ロシア	rus	PROPN	ADJ;INDF;MASC;SG
ロシア	rusia	ロシア	rusie	PROPN	PROPN
独立	independent	独立	independent	ADJ	ADV
独立	independenta	独立	independent	ADJ	N;DEF;FEM;SG
独立	independență	独立	independență	ADJ	N;INDF;FEM;SG
独立	independența	独立	independență	ADJ	N;DEF;FEM;SG
独立	independenta	独立	independent	ADJ	N;DEF;FEM;SG
サン	san	サン	san	N	PROPN
名古屋	nagoya	名古屋	nagoyă	PROPN	PROPN
企業	enterprise	企業	enterpri	N	
スーパー	super	スーパー	super	N	
影響	influența	影響	influență	V	N;DEF;FEM;SG
影響	influență	影響	influență	V	N;INDF;FEM;SG
影響	influenta	影響	influenta	V	N;DEF;FEM;SG
影響	influente	影響	influent	V	N;INDF;FEM;PL
勝利	victoriile	勝利	victorie	V	N;DEF;FEM;PL
勝利	victorii	勝利	victorie	V	N;INDF;FEM;PL
勝利	victorie	勝利	victorie	V	N;INDF;FEM;SG
勝利	victorii	勝利	victorie	V	N;INDF;FEM;PL
勝利	victorie	勝利	victorie	V	N;INDF;FEM;SG
勝利	câștigătoare	勝利	câștigător	V	ADJ;INDF;FEM
全て	totul	全て	tot	ADV	PRO;MASC;SG;3
人間	umane	人間	uman	N	ADJ;INDF;FEM;PL
人間	umană	人間	uman	N	ADJ;INDF;FEM;SG
人間	uman	人間	uman	N	ADJ;INDF;MASC;SG
千葉	chiba	千葉	chibă	PROPN	N;DEF;FEM;SG
アン	anne	アン	anne	PROPN	PROPN
アン	ang	アン	ang	PROPN	N;INDF;MASC;SG
アン	ann	アン	ann	PROPN	PROPN
戦い	luptă	戦う	luptă	V	N;INDF;FEM;SG
戦い	bătălia	戦う	bătălie	V	N;DEF;FEM;SG
戦い	bătălie	戦う	bătălie	V	N;INDF;FEM;SG
実施	implementarea	実施	implementare	V	N;DEF;FEM;SG
実施	implementare	実施	implementare	V	N;INDF;FEM;SG
ここ	aici	ここ	aici	PRO	ADV
以前	inainte	以前	inainte	N	
以前	înainte	以前	înainte	N	ADV
統合	integrate	統合	integra	V	ADJ;INDF;FEM;PL
統合	integrat	統合	integrat	V	ADJ;INDF;MASC;SG
統合	integrată	統合	integra	V	ADJ;INDF;FEM;SG
統合	îmbinare	統合	îmbinare	V	N;INDF;FEM;SG
統合	unire	統合	unire	V	N;INDF;FEM;SG
統合	unificare	統合	unificare	V	N;INDF;FEM;SG
統合	integrare	統合	integrare	V	N;INDF;FEM;SG
統合	integrarea	統合	integrare	V	N;DEF;FEM;SG
テーマ	tematică	テーマ	tematic	N	ADJ;INDF;FEM;SG
ビル	bill	ビル	bill	N	PROPN
日本語	japonez	日本語	japonez	N	ADJ;INDF;MASC;SG
日本語	japoneze	日本語	japona	N	ADJ;INDF;FEM;PL
日本語	japoneză	日本語	japonez	N	ADJ;INDF;FEM;SG
契約	contractele	契約	contract	V	N;DEF;FEM;PL
契約	contracte	契約	contract	V	N;INDF;FEM;PL
契約	contractul	契約	contract	V	N;DEF;MASC;SG
契約	contract	契約	contract	V	N;INDF;MASC;SG
契約	contractului	契約	contract	V	N;DEF;MASC;SG
設定	preferințe	設定	preferință	V	N;INDF;FEM;PL
設定	setările	設定	setare	V	N;DEF;FEM;PL
設定	setări	設定	setară	V	N;INDF;FEM;PL
設定	înscenare	設定	înscenare	V	N;INDF;FEM;SG
設定	setare	設定	setare	V	N;INDF;FEM;SG
設定	configurare	設定	configurare	V	N;INDF;FEM;SG
設定	configurarea	設定	configurare	V	N;DEF;FEM;SG
設定	configurare	設定	configurare	V	N;INDF;FEM;SG
設定	configurația	設定	configurație	V	N;DEF;FEM;SG
設定	configurare	設定	configurare	V	N;INDF;FEM;SG
ライブ	trăiască	ライブ	trăi	N	V;SBJV;3;PRS;FIN
ライブ	live	ライブ	livă	N	
含む	inclusiv	含む	inclusiv	V	ADV
含む	incluzand	含む	incluza	V	N;INDF;MASC;SG
専門	specializat	専門	specializat	N	ADJ;INDF;MASC;SG
専門	specializate	専門	specializat	N	ADJ;INDF;FEM;PL
専門	specializată	専門	specializat	N	ADJ;INDF;FEM;SG
身長	inaltime	身長	inaltim	N	
完成	completarea	完成	completare	V	N;DEF;FEM;SG
完成	finalizarea	完成	finalizare	V	N;DEF;FEM;SG
完成	finalizare	完成	finalizare	V	N;INDF;FEM;SG
完成	completare	完成	completare	V	N;INDF;FEM;SG
表記	notația	表記	notație	V	N;DEF;FEM;SG
運転	conducere	運転	conducere	V	N;INDF;FEM;SG
写真	photo	写真	photo	N	
写真	foto	写真	foto	N	
関連	relevant	関連	relevant	V	ADJ;INDF;MASC;SG
関連	relevantă	関連	relevant	V	ADJ;INDF;FEM;SG
関連	relevante	関連	relevant	V	ADJ;INDF;FEM;PL
関連	legate	関連	legat	V	ADJ;INDF;FEM;PL
高い	high	高い	high	ADJ	
高い	scump	高い	scump	ADJ	ADV
高い	scumpi	高い	scump	ADJ	
生産	producere	生産	producere	V	N;INDF;FEM;SG
生産	producție	生産	producție	V	N;INDF;FEM;SG
生産	producția	生産	producție	V	N;DEF;FEM;SG
生産	productie	生産	productie	V	N;INDF;FEM;SG
横浜	yokohama	横浜	yokohamă	PROPN	PROPN
上	deasupra	上	deasupra	N	ADP;GEN
管理	gestionare	管理	gestionare	V	N;INDF;FEM;SG
管理	conducerea	管理	conducere	V	N;DEF;FEM;SG
管理	managementul	管理	management	V	N;DEF;MASC;SG
管理	gestionarea	管理	gestionare	V	N;DEF;FEM;SG
管理	management	管理	management	V	N;INDF;MASC;SG
ジョン	john	ジョン	john	PROPN	PROPN
ジョン	ioan	ジョン	ioan	PROPN	PROPN
公園	parks	公園	parks	N	PROPN
生活	life	生活	life	V	
生活	viaţa	生活	viapă	V	N;DEF;FEM;SG
生活	viaţă	生活	viaţă	V	N;INDF;FEM;SG
生活	viața	生活	viață	V	N;DEF;FEM;SG
生活	viață	生活	viață	V	N;INDF;FEM;SG
生活	viata	生活	viată	V	N;DEF;FEM;SG
基本	fundamentale	基本	fundamental	N	ADJ;INDF;FEM;PL
新潟	niigata	新潟	niigată	PROPN	N;DEF;FEM;SG
政治	politică	政治	politic	N	ADJ;INDF;FEM;SG
電気	electrice	電気	electric	N	ADJ;INDF;FEM;PL
電気	electric	電気	electric	N	ADJ;INDF;MASC;SG
電気	electrică	電気	electric	N	ADJ;INDF;FEM;SG
作成	creare	作成	creare	V	N;INDF;FEM;SG
作成	crearea	作成	creare	V	N;DEF;FEM;SG
作成	creatie	作成	creatie	V	N;INDF;FEM;SG
作成	creare	作成	creare	V	N;INDF;FEM;SG
作成	create	作成	crea	V	ADJ;INDF;FEM;PL
作成	creată	作成	crea	V	ADJ;INDF;FEM;SG
作成	creata	作成	crea	V	ADJ;DEF;FEM;SG
作成	creat	作成	crea	V	ADJ;INDF;MASC;SG
予定	programată	予定	programat	N	ADJ;INDF;FEM;SG
予定	programat	予定	programa	N	ADJ;INDF;MASC;SG
予定	programate	予定	programa	N	ADJ;INDF;FEM;PL
予定	planificate	予定	planificat	N	ADJ;INDF;FEM;PL
予定	plănuit	予定	plănui	N	ADJ;INDF;MASC;SG
予定	planificat	予定	planificat	N	ADJ;INDF;MASC;SG
予定	planificată	予定	planifica	N	ADJ;INDF;FEM;SG
スター	stea	スター	sta	N	V;IND;3;PRS;FIN
スター	star	スター	star	N	
経営	gestionare	経営	gestionare	V	N;INDF;FEM;SG
経営	conducerea	経営	conducere	V	N;DEF;FEM;SG
経営	managementul	経営	management	V	N;DEF;MASC;SG
経営	gestionarea	経営	gestionare	V	N;DEF;FEM;SG
経営	management	経営	management	V	N;INDF;MASC;SG
自由	libertate	自由	libertate	ADJ	N;INDF;FEM;SG
自由	libertatea	自由	libertate	ADJ	N;DEF;FEM;SG
自由	freedom	自由	freedom	ADJ	N;INDF;MASC;SG
自由	libertate	自由	libertate	ADJ	N;INDF;FEM;SG
自由	liberty	自由	liberty	ADJ	N;INDF;MASC;SG
自由	liber	自由	liber	ADJ	ADV
自由	free	自由	free	ADJ	
過去	trecut	過去	trecut	N	ADJ;INDF;MASC;SG
運営	operație	運営	operație	V	N;INDF;FEM;SG
運営	operațiune	運営	operațiune	V	N;INDF;FEM;SG
