月	moon	月	moon	N	
中國	kina	中國	kina	PROPN	PROPN
六	six	六	six	NUM	
主要	majoren	主要	major	ADV	N;DEF;MASC+FEM;SG
主要	major	主要	major	ADV	
主要	vigtigste	主要	vigtig	ADV	ADJ;DEF;RL
主要	main	主要	main	ADV	
城	city	城	city	N	
法	metoden	法	metod	PROPN	N;DEF;MASC+FEM;SG
法	metode	法	metode	PROPN	N;INDF;MASC+FEM;SG
中心	centreret	中心	centerere	N	V;INDF;SG;PST;V.PTCP
中心	centreret	中心	centerere	N	V;INDF;SG;PST;V.PTCP
線	line	線	lin	N	
第二	sekund	第二	sekund	NUM	N;INDF;NEUT;SG
第二	andet	第二	anden	NUM	PRO;NEUT;SG
第二	anden	第二	anden	NUM	PRO;MASC+FEM;SG
山	mountain	山	mountain	N	
山	mount	山	mount	N	
山	montere	山	mont	N	V;NFIN;ACT
山	hill	山	hill	N	
加	add	加	add	ADP	N;INDF;NEUT;SG
加	tilføj	加	tilføj	ADP	V;IMP
加	tilføjer	加	tilføje	ADP	V;IND;PRS;FIN;ACT
加	tilføje	加	tilføje	ADP	V;NFIN;ACT
加	føj	加	fyj	ADP	N;INDF;NEUT;SG
加	plus	加	plus	ADP	N;INDF;MASC+FEM;SG
張	chang	張	chang	PROPN	N;INDF;NEUT;SG
張	zhang	張	zhang	PROPN	
內	inderste	內	inderste	N	ADJ;PL
內	indre	內	indre	N	ADJ
內	inder	內	inder	N	ADJ;INDF;MASC+FEM;SG
內	indvendig	內	indvendig	N	ADJ;INDF;MASC+FEM;SG
主	lord	主	lord	PART	N;INDF;MASC+FEM;SG
主	herre	主	herre	PART	N;INDF;MASC+FEM;SG
雷	ray	雷	ray	PROPN	
管理	management	管理	management	V	N;INDF;NEUT;SG
管理	forvaltning	管理	forvaltning	V	N;INDF;MASC+FEM;SG
管理	ledelsen	管理	ledelse	V	N;DEF;MASC+FEM;SG
管理	ledelse	管理	ledelse	V	N;INDF;MASC+FEM;SG
建	build	建	build	V	
性	seksuelt	性	seksuelt	N	ADJ;INDF;SG
性	seksuel	性	seksuel	N	ADJ;INDF;MASC+FEM;SG
代表	repræsentative	代表	repræsentativ	N	ADJ;PL
代表	repræsentativt	代表	repræsentativt	N	ADV
代表	repræsentativ	代表	repræsentativ	N	ADJ;INDF;MASC+FEM;SG
代表	delegerede	代表	delegere	N	V;PL;PST;V.PTCP
代表	uddelegere	代表	uddeleger	N	V;NFIN;ACT
代表	delegeret	代表	delegere	N	V;INDF;SG;PST;V.PTCP
那	derefter	那	derefter	PRO	ADV
那	så	那	så	PRO	ADV
海	sea	海	sea	N	
海	ocean	海	ocean	N	
版	edition	版	edition	N	
從	fra	從	fra	ADP	ADV
羅	luo	羅	luo	PROPN	
原	originalt	原	originalt	PART	ADJ;INDF;NEUT;SG
原	oprindelige	原	oprindelig	PART	ADJ;PL
原	oprindelig	原	oprindelig	PART	ADV
原	originale	原	original	PART	ADJ;PL
原	oprindeligt	原	oprindeligt	PART	ADV
原	original	原	original	PART	ADJ;INDF;MASC+FEM;SG
原	hara	原	hara	PART	
工作	arbejder	工作	arbejde	N	V;IND;PRS;FIN;ACT
工作	arbejd	工作	arbejd	N	V;IMP
工作	arbejder	工作	arbejde	N	V;IND;PRS;FIN;ACT
工作	arbejdende	工作	arbejde	N	ADJ
北	kita	北	kita	N	
北	nordpå	北	nordpå	N	ADV
北	nordlige	北	nordlig	N	ADJ;PL
政治	politisk	政治	politisk	N	ADV
星	star	星	star	N	
陳	chen	陳	chen	PROPN	
陳	chan	陳	chan	PROPN	
陳	trần	陳	trần	PROPN	
他	hans	他	hans	PRO;3	DET;3
作品	arbejder	作品	arbejde	N	V;IND;PRS;FIN;ACT
作品	virker	作品	virke	N	V;IND;PRS;FIN;ACT
馬	horse	馬	horse	N	
更	flere	更	mange	ADV	ADJ;CMPR;PL
曼	mann	曼	mann	PROPN	N;INDF;MASC+FEM;SG
電影	movie	電影	movie	N	
電影	filme	電影	filme	N	V;NFIN;ACT
龍	drager	龍	drage	N	V;IND;PRS;FIN;ACT
龍	lung	龍	lung	N	
龍	drage	龍	drage	N	V;NFIN;ACT
龍	dragon	龍	dragon	N	
女	woman	女	woman	N	
女	kvindelig	女	kvindelig	N	ADJ;INDF;MASC+FEM;SG
女	kvindelige	女	kvindelig	N	ADJ;PL
外	udenfor	外	udenfor	N	ADV
外	udvendig	外	udvendig	N	ADJ;INDF;MASC+FEM;SG
外	udvendigt	外	udvendig	N	ADV
明	ming	明	ming	PROPN	
美	smukt	美	smuk	PROPN	ADJ;INDF;NEUT;SG
美	smukke	美	smukke	PROPN	ADJ;PL
美	smuk	美	smuk	PROPN	ADJ;INDF;MASC+FEM;SG
美	smukkeste	美	smuk	PROPN	ADJ;DEF;RL
美	skønhed	美	skønhed	PROPN	N;INDF;MASC+FEM;SG
美	beauty	美	beauty	PROPN	
美	skønheden	美	skønheden	PROPN	N;DEF;MASC+FEM;SG
因為	fordi	因為	fordi	ADP	CONJ
北京	beijing	北京	beijing	PROPN	
北京	peking	北京	peking	PROPN	
北京	peking	北京	peking	PROPN	
不同	forskelligt	不同	forskelligt	ADJ	ADV
目前	aktuel	目前	aktuel	N	ADJ;INDF;MASC+FEM;SG
目前	aktuelt	目前	aktuel	N	ADJ;INDF;NEUT;SG
目前	løbende	目前	løbende	N	ADJ
目前	nuværende	目前	nuværende	N	ADJ
目前	aktuelt	目前	aktuel	N	ADJ;INDF;NEUT;SG
所有	alle	所有	al	DET	ADJ;PL
所有	alt	所有	al	DET	ADJ;NEUT;SG
部分	partiel	部分	partiel	N	ADJ;INDF;MASC+FEM;SG
部分	delvist	部分	delvist	N	ADV
部分	delvise	部分	delvis	N	ADJ;PL
部分	delvis	部分	delvis	N	ADV
部分	delvist	部分	delvist	N	ADV
部分	delvis	部分	delvis	N	ADV
中央	centralt	中央	centralt	N	ADJ;INDF;NEUT;SG
森	sen	森	sen	PROPN	ADJ;INDF;MASC+FEM;SG
森	mori	森	mori	PROPN	
國家	state	國家	state	N	
國家	nationale	國家	national	N	ADJ;PL
國家	nationalt	國家	nationalt	N	ADV
國家	national	國家	national	N	
國家	landsdækkende	國家	landsdækkende	N	ADJ
球	ball	球	ball	N	
生	rå	生	rå	N	ADJ;INDF;SG
生	ubehandlet	生	ubehandlet	N	ADJ;INDF;SG
生	råt	生	råt	N	ADJ;INDF;NEUT;SG
生	raw	生	raw	N	
但是	men	但是	men	ADV	CONJ
城市	city	城市	city	N	
一些	nogle	一些	nogen	ADJ	PRO;PL
長	lang	長	lang	PART	ADJ;INDF;MASC+FEM;SG
長	lange	長	lang	PART	ADJ;PL
長	længe	長	længe	PART	ADV
加入	tiltrædelsen	加入	tiltrædelse	V	N;DEF;MASC+FEM;SG
加入	tiltrædelse	加入	tiltrædelse	V	N;INDF;MASC+FEM;SG
英	ying	英	ying	PROPN	
上海	shanghai	上海	shanghai	PROPN	N;INDF;NEUT;SG
史	shi	史	shi	N	
第三	tredje	第三	tredje	NUM	ADJ
魚	fiske	魚	fisk	N	V;NFIN;ACT
回	retur	回	retur	PROPN	N;INDF;MASC+FEM;SG
回	ryg	回	ryg	PROPN	N;INDF;MASC+FEM;SG
回	tilbage	回	tilbage	PROPN	ADV
無	ingen	無	ingen	V	PRO;MASC+FEM;SG
吉	kat	吉	kat	PROPN	N;INDF;MASC+FEM;SG
方	fang	方	fang	N	
東	østpå	東	østpå	N	ADV
東	dong	東	dong	N	
英國	englands	英國	englands	PROPN	N;GEN;INDF;MASC+FEM;SG
英國	england	英國	england	PROPN	PROPN
周	ugen	周	uge	PROPN	N;DEF;MASC+FEM;SG
周	uge	周	uge	PROPN	N;INDF;MASC+FEM;SG
周	ugerne	周	uge	PROPN	N;DEF;MASC+FEM;PL
周	uger	周	uge	PROPN	N;INDF;MASC+FEM;PL
周	zhou	周	zhou	PROPN	
周	chow	周	chow	PROPN	N;INDF;MASC+FEM;SG
石	shi	石	shi	N	
石	stone	石	stone	N	
建立	skabelse	建立	skabelse	V	N;INDF;MASC+FEM;SG
建立	oprettelse	建立	oprettelse	V	N;INDF;MASC+FEM;SG
建立	oprettelse	建立	oprettelse	V	N;INDF;MASC+FEM;SG
建立	opstilling	建立	opstilling	V	N;INDF;MASC+FEM;SG
建立	etablering	建立	etablering	V	N;INDF;MASC+FEM;SG
建立	build	建立	build	V	
生活	living	生活	living	V	N;INDF;MASC+FEM;SG
生活	levende	生活	levende	V	ADJ
生活	liv	生活	liv	V	N;INDF;NEUT;SG
生活	livet	生活	liv	V	N;DEF;NEUT;SG
生活	livstid	生活	livstid	V	N;INDF;MASC+FEM;SG
生活	life	生活	life	V	
派	tærte	派	tær	V;CAUS	N;INDF;MASC+FEM;SG
派	tærter	派	tært	V;CAUS	N;INDF;MASC+FEM;PL
派	pie	派	pie	V;CAUS	
教育	pædagogisk	教育	pædagogisk	N	ADV
教育	uddannelsesmæssige	教育	uddannelsesmæssig	N	ADJ;PL
教育	lærerigt	教育	lærerig	N	ADJ;INDF;NEUT;SG
之後	efter	之後	efter	N	ADV
萬	wan	萬	wan	PROPN	
國際	international	國際	international	N	ADJ;INDF;MASC+FEM;SG
國際	internationalt	國際	international	N	ADJ;INDF;NEUT;SG
國際	internationale	國際	international	N	ADJ;PL
獎	awards	獎	award	N	
獎	tilslag	獎	tilslag	N	
完成	færdig	完成	færdig	V	ADJ;INDF;MASC+FEM;SG
完成	færdigt	完成	færdig	V	ADJ;INDF;NEUT;SG
完成	færdige	完成	færdig	V	ADJ;PL
完成	færdig	完成	færdig	V	ADJ;INDF;MASC+FEM;SG
完成	done	完成	done	V	
完成	fuldstændig	完成	fuldstændig	V	ADV
完成	komplet	完成	komplet	V	ADJ;INDF;SG
白	hvid	白	hvid	N	ADJ;INDF;MASC+FEM;SG
白	white	白	white	N	
白	hvidt	白	hvid	N	ADJ;INDF;NEUT;SG
白	hvide	白	hvid	N	ADJ;PL
白	bai	白	bai	N	
音樂	music	音樂	music	N	
音樂	musikalske	音樂	musikalsk	N	ADJ;PL
音樂	musikalsk	音樂	musikalsk	N	ADV
沙	sha	沙	sha	PROPN	
沙	sand	沙	sand	PROPN	N;INDF;MASC+FEM;SG
沙	sandet	沙	sand	PROPN	N;DEF;NEUT;SG
沙	shah	沙	shah	PROPN	
可能	muligt	可能	mulig	N	ADJ;INDF;NEUT;SG
可能	mulige	可能	mulig	N	ADJ;PL
可能	mulig	可能	mulig	N	ADJ;INDF;MASC+FEM;SG
分布	fordeling	分布	fordeling	V	N;INDF;MASC+FEM;SG
分布	distribution	分布	distribution	V	N;INDF;MASC+FEM;SG
分布	uddeling	分布	uddeling	V	N;INDF;MASC+FEM;SG
分布	omdeling	分布	omdeling	V	N;INDF;MASC+FEM;SG
車	car	車	car	N	
官	betjent	官	betjene	N	ADJ;INDF;SG
梅	may	梅	may	PROPN	
梅	maj	梅	maj	PROPN	N;INDF;MASC+FEM;SG
梅	kan	梅	kunne	PROPN	V;IND;PRS;FIN;ACT
梅	mei	梅	mei	PROPN	
中文	kinesiske	中文	kinesisk	N	ADJ;PL
中文	kinesisk	中文	kinesisk	N	ADJ;INDF;SG
自由	freedom	自由	freedom	N	
自由	fri	自由	fri	N	ADJ;INDF;MASC+FEM;SG
自由	frit	自由	frit	N	ADV
自由	free	自由	free	N	
自由	gratis	自由	gratis	N	ADV
黃	wong	黃	wong	PROPN	
黃	hwang	黃	hwang	PROPN	
黃	huang	黃	huang	PROPN	
黃	gult	黃	gult	PROPN	ADJ;INDF;NEUT;SG
黃	gule	黃	gul	PROPN	ADJ;PL
黃	yellow	黃	yellow	PROPN	
黃	gul	黃	gul	PROPN	ADJ;INDF;MASC+FEM;SG
光	tænd	光	tænd	N	V;IMP
光	light	光	light	N	
光	let	光	let	N	ADJ;INDF;SG
光	hikari	光	hikari	N	
重要	vigtighed	重要	vigtighed	ADJ	N;INDF;MASC+FEM;SG
重要	betydning	重要	betydning	ADJ	N;INDF;MASC+FEM;SG
工程	arbejder	工程	arbejde	N	V;IND;PRS;FIN;ACT
工程	virker	工程	virke	N	V;IND;PRS;FIN;ACT
港	harbor	港	harbor	PROPN	
港	havne	港	havne	PROPN	N;INDF;MASC+FEM;PL
港	portvin	港	portvin	PROPN	N;INDF;MASC+FEM;SG
港	havn	港	havn	PROPN	N;INDF;MASC+FEM;SG
港	port	港	port	PROPN	
港	havn	港	havn	PROPN	N;INDF;MASC+FEM;SG
港	harbour	港	harbour	PROPN	N;INDF;MASC+FEM;SG
列	søjle	列	søjle	V	N;INDF;MASC+FEM;SG
列	kolonne	列	kolon	V	N;INDF;MASC+FEM;SG
最後	sidste	最後	sidste	N	ADJ
最後	sidst	最後	sidst	N	ADV
提交	indgivelse	提交	indgivelse	V	N;INDF;MASC+FEM;SG
提交	forelæggelse	提交	forelæggelse	V	N;INDF;MASC+FEM;SG
提交	fremlæggelse	提交	fremlæggelse	V	N;INDF;MASC+FEM;SG
提交	underkastelse	提交	underkastelse	V	N;INDF;MASC+FEM;SG
經	sutra	經	sutra	ADP	N;INDF;MASC+FEM;SG
需要	behov	需要	behov	V	N;INDF;NEUT;SG
需要	nødvendig	需要	nødvendig	V	ADJ;INDF;MASC+FEM;SG
需要	behov	需要	behov	V	N;INDF;NEUT;SG
江	river	江	rive	PROPN	N;INDF;MASC+FEM;PL
江	floden	江	flod	PROPN	N;DEF;MASC+FEM;SG
江	flod	江	flod	PROPN	N;INDF;MASC+FEM;SG
江	jiang	江	jiang	PROPN	
臺灣	taiwans	臺灣	taiwan	PROPN	
臺灣	taiwan	臺灣	taiwan	PROPN	
臺灣	taiwanske	臺灣	taiwansk	PROPN	ADJ;PL
最佳	optimalt	最佳	optimalt	ADJ	ADV
最佳	optimalt	最佳	optimalt	ADJ	ADV
這	dette	這	denne	DET	PRO;NEUT;SG
這	denne	這	denne	DET	PRO;MASC+FEM;SG
泰	tae	泰	tae	PROPN	
泰	tai	泰	tai	PROPN	
地方	place	地方	place	N	
登	deng	登	deng	N	
黑	dark	黑	dark	N	
黑	mørkt	黑	mørk	N	ADJ;INDF;NEUT;SG
黑	mørk	黑	mørk	N	ADJ;INDF;MASC+FEM;SG
黑	sort	黑	sort	N	ADJ;INDF;SG
黑	black	黑	black	N	
黑	sorte	黑	sort	N	ADJ;PL
花	hana	花	hana	N	
遊戲	vildt	遊戲	vildt	N	ADJ;INDF;NEUT;SG
遊戲	spillet	遊戲	spille	N	V;INDF;SG;PST;V.PTCP
宗	zong	宗	zong	PROPN	
清	qing	清	qing	PROPN	
最高	top	最高	top	ADJ	N;INDF;MASC+FEM;SG
最高	toppen	最高	top	ADJ	N;DEF;MASC+FEM;SG
最高	supreme	最高	suprem	ADJ	
要求	krav	要求	krav	V	N;INDF;NEUT;SG
要求	krav	要求	krav	V	N;INDF;NEUT;SG
要求	forespørgsel	要求	forespørgsel	V	N;INDF;MASC+FEM;SG
要求	anmodning	要求	anmodning	V	N;INDF;MASC+FEM;SG
要求	efterspørgsel	要求	efterspørgsel	V	N;INDF;MASC+FEM;SG
要求	efterspørgslen	要求	efterspørgsel	V	N;DEF;MASC+FEM;SG
要求	forespørgsler	要求	forespørgsel	V	N;INDF;MASC+FEM;PL
要求	anmodninger	要求	anmodning	V	N;INDF;MASC+FEM;PL
讓	jean	讓	jean	V;CAUS	
發現	opdagelser	發現	opdagelse	V	N;INDF;MASC+FEM;PL
發現	opdagelse	發現	opdagelse	V	N;INDF;MASC+FEM;SG
發現	discovery	發現	discovery	V	
只有	kun	只有	kun	ADP	ADV
最大	max	最大	max	ADJ	N;INDF;NEUT;SG
最大	maks	最大	maks	ADJ	
華	hua	華	hua	PROPN	N;INDF;NEUT;SG
華	wah	華	wah	PROPN	
製作	produktion	製作	produktion	V	N;INDF;MASC+FEM;SG
製作	fremstilling	製作	fremstilling	V	N;INDF;MASC+FEM;SG
製作	produktioner	製作	produktion	V	N;INDF;MASC+FEM;PL
出生	born	出生	born	V	
出生	fødsler	出生	fødsel	V	N;INDF;MASC+FEM;PL
出生	fødsel	出生	fødsel	V	N;INDF;MASC+FEM;SG
出生	fødslen	出生	fødsel	V	N;DEF;MASC+FEM;SG
朱	zhu	朱	zhu	PROPN	
朱	joo	朱	joo	PROPN	N;INDF;NEUT;SG
航空	aviation	航空	aviation	N	
航空	aero	航空	aero	N	
航空	air	航空	air	N	
數	tæller	數	tælle	N	V;IND;PRS;FIN;ACT
數	tælle	數	tælle	N	V;NFIN;ACT
數	tæller	數	tælle	N	V;IND;PRS;FIN;ACT
數	tælle	數	tælle	N	V;NFIN;ACT
出版	offentliggjorte	出版	offentliggøre	V	ADJ;PL
出版	offentliggørelse	出版	offentliggørelse	V	N;INDF;MASC+FEM;SG
出版	udgivelse	出版	udgivelse	V	N;INDF;MASC+FEM;SG
出版	forlagsvirksomhed	出版	forlagsvirksomhed	V	N;INDF;MASC+FEM;SG
出版	offentliggørelse	出版	offentliggørelse	V	N;INDF;MASC+FEM;SG
出版	udgivelse	出版	udgivelse	V	N;INDF;MASC+FEM;SG
出版	publikation	出版	publikation	V	N;INDF;MASC+FEM;SG
發展	udviklingen	發展	udvikling	V	N;DEF;MASC+FEM;SG
發展	udvikling	發展	udvikling	V	N;INDF;MASC+FEM;SG
成功	vellykket	成功	vellykket	N	ADJ;INDF;SG
成功	succesfuld	成功	succesfuld	N	ADJ;INDF;MASC+FEM;SG
成功	succesrig	成功	succesrig	N	ADJ;INDF;MASC+FEM;SG
蘭	lan	蘭	lan	PROPN	
蘭	ian	蘭	ian	PROPN	PROPN
劉	yoo	劉	yoo	PROPN	
劉	liu	劉	liu	PROPN	
劉	lau	劉	lau	PROPN	
班	trup	班	trup	PROPN	N;INDF;MASC+FEM;SG
冠軍	champ	冠軍	champ	N	
康	kang	康	kang	PROPN	
海拔	elevation	海拔	elevation	N	
島	øen	島	ø	PROPN	N;DEF;MASC+FEM;SG
島	isle	島	isle	PROPN	N;INDF;MASC+FEM;SG
官方	officielt	官方	officielt	N	ADV
愛	kærlighed	愛	kærlighed	V	N;INDF;MASC+FEM;SG
愛	love	愛	love	V	N;INDF;MASC+FEM;SG
愛	vild	愛	vild	V	ADJ;INDF;MASC+FEM;SG
平	flad	平	flad		ADJ;INDF;MASC+FEM;SG
平	lejlighed	平	lejlighed		N;INDF;MASC+FEM;SG
平	fladt	平	fladt		ADV
平	flade	平	flad		ADJ;PL
平	ping	平	ping		
印度	india	印度	india	PROPN	
印度	indien	印度	indien	PROPN	PROPN
存在	eksistensen	存在	eksistens	V	N;DEF;MASC+FEM;SG
存在	eksistens	存在	eksistens	V	N;INDF;MASC+FEM;SG
存在	forekomst	存在	forekomst	V	N;INDF;MASC+FEM;SG
存在	nærvær	存在	nærvær	V	N;INDF;MASC+FEM;SG
存在	tilstedeværelse	存在	tilstedeværelse	V	N;INDF;MASC+FEM;SG
存在	nærværelse	存在	nærværelse	V	N;INDF;MASC+FEM;SG
刪除	strøget	刪除	strøg	V	N;DEF;NEUT;SG
刪除	sletning	刪除	sletning	V	N;INDF;MASC+FEM;SG
刪除	sletning	刪除	sletning	V	N;INDF;MASC+FEM;SG
刪除	slet	刪除	slet	V	ADV
設計	designs	設計	designs	V	N;INDF;NEUT;PL
設計	design	設計	design	V	N;INDF;NEUT;SG
設計	mønstre	設計	mønster	V	N;INDF;NEUT;PL
設計	udformning	設計	udformning	V	N;INDF;MASC+FEM;SG
設計	projektering	設計	projektering	V	N;INDF;MASC+FEM;SG
設計	konstruktion	設計	konstruktion	V	N;INDF;MASC+FEM;SG
設計	design	設計	design	V	N;INDF;NEUT;SG
設計	designer	設計	designe	V	N;INDF;MASC+FEM;SG
發行	udstedelse	發行	udstedelse	V	N;INDF;MASC+FEM;SG
發行	udstedelsen	發行	udstedelse	V	N;DEF;MASC+FEM;SG
卡特	carter	卡特	carter	PROPN	N;INDF;MASC+FEM;SG
負責	ansvarlig	負責	ansvarlig	V	ADJ;INDF;MASC+FEM;SG
負責	ansvarlige	負責	ansvarlig	V	ADJ;PL
負責	ansvarligt	負責	ansvarligt	V	ADJ;INDF;NEUT;SG
服務	tjenester	服務	tjenester	V	N;INDF;MASC+FEM;PL
服務	tjenesteydelser	服務	tjenesteydelse	V	N;INDF;MASC+FEM;PL
服務	ydelser	服務	ydelse	V	N;INDF;MASC+FEM;PL
服務	serviceydelser	服務	serviceydelse	V	N;INDF;MASC+FEM;PL
服務	serv	服務	serv	V	N;INDF;MASC+FEM;SG
服務	betjening	服務	betjening	V	N;INDF;MASC+FEM;SG
服務	forkyndelse	服務	forkyndelse	V	N;INDF;MASC+FEM;SG
服務	tjenesteydelse	服務	tjenesteydelse	V	N;INDF;MASC+FEM;SG
服務	tjeneste	服務	tjen	V	N;INDF;MASC+FEM;SG
