auseinander	בנפרד	auseinander	בנפרד	ADV	PROPN
selbständige	בעצמאות	selbständig	בעצמאות	ADJ;NOM;FEM;PL	ADV
selbständige	העצמאיים	selbständig	העצמאי	ADJ;NOM;FEM;PL	N
güterverkehr	משא	güterverkehr	משא	ADJ	N;MASC;SG
alternativen	אלטרנטיבית	alternativ	אלטרנטיבי	ADJ	ADV
alternativen	אלטרנטיבי	alternativ	אלטרנטיבי	ADJ	PROPN
alternativen	חלופה	alternativ	חלופה	ADJ	N;FEM;SG
alternativen	האלטרנטיבי	alternativ	האלטרנטיבי	ADJ	PROPN
alternativen	אלטרנטיבה	alternativ	אלטרנטיבה	ADJ	N;FEM;SG
alternativen	חלופות	alternativ	חלופה	ADJ	N;FEM;PL
alternativen	חלופה	alternativ	חלופה	ADJ	N;FEM;SG
altenburg	אלטנבורג	altenburg	אלטנבורג	PROPN;NOM;NEUT;SG	PROPN
schaffung	היצירה	schaffung	היצירה	N	ADV
flachen	שטחית	flach	שטחי	ADJ	ADV
flachen	שטחי	flach	שטח	ADJ	PROPN
bestritten	במחלוקת	bestreiten	במחלוקת	V;V.PTCP	ADV
bestritten	מחלוקת	bestreiten	מחלוקת	V;V.PTCP	N;FEM;SG
kiew	קייב	keißen	קייב		PROPN
kiew	קייב	keißen	קייב		PROPN
hard	קשה	hard	קשה	PROPN	ADV
hard	קשיח	hard	קשיח	PROPN	
faust	פאוסט	fausen	פאוסט		PROPN
faust	אגרוף	fausen	אגרוף		N;MASC;SG
vita	ויטה	vita	ויטה		PROPN
evans	אוונס	evans	אוונס	PROPN;NOM;MASC;SG	PROPN
anlehnung	שיוך	anlehnung	שיוך	ADJ	N;MASC;SG
interessante	מענין	interessant	None	ADJ;NOM;FEM;PL	V;MASC;SG;V.PTCP;ACT
interessante	מעניינות	interessant	מעניין	ADJ;NOM;FEM;PL	
interessante	מעניינת	interessant	עניין	ADJ;NOM;FEM;PL	V;FEM;SG;V.PTCP;ACT
interessante	מעניינים	interessant	מעניין	ADJ;NOM;FEM;PL	N;MASC;PL
interessante	מעניין	interessant	מעניין	ADJ;NOM;FEM;PL	ADJ;MASC;SG
holding	מחזיקים	holding	החזיק		V;MASC;PL;V.PTCP;ACT
holding	מחזיקה	holding	החזיק		V;FEM;SG;V.PTCP;ACT
holding	מחזיק	holding	החזיק		V;MASC;SG;V.PTCP;ACT
ausserdem	וגם	ausserdem	וגם	ADV	
schlage	הצע	schlage	הצע	V;SG;FIN	PROPN
schwanz	פלי	schwanzen	פלי	N	PROPN
schwanz	זנב	schwanzen	None	N	PROPN
schwanz	הזנב	schwanzen	הזנב	N	PROPN
schwanz	דיק	schwanzen	שדיק	N	PROPN
schwanz	זין	schwanzen	זין	N	
fisch	פיש	fisch	פיש		PROPN
fisch	דגים	fisch	דג		N;MASC;PL
rapper	ראפרים	rapper	ראפר		N;MASC;PL
rapper	ראפר	rapper	ראפר		PROPN
rapper	הראפר	rapper	הראפר		PROPN
ozean	אושיאניק	ozean	אושיאניק		PROPN
ozean	האוקיינוסים	ozean	האוקיינוסי		N
ozean	האוקיינוס	ozean	האוקיינוס		PROPN
ozean	אוקיינוס	ozean	אוקיינוס		N;MASC;SG
konservatorium	הקונסרבטוריון	konservatorium	הקונסרבטוריון	PROPN	PROPN
konservatorium	הקונסרבטואר	konservatorium	הקונסרבטואר	PROPN	PROPN
untergrund	מחתרת	untergrund	מחתרת	ADJ	N;FEM;SG
untergrund	סובסטרט	untergrund	סובסטרט	ADJ	PROPN
senior	בכיר	senior	בכיר	PROPN;NOM;SG	ADJ;MASC;SG
cooper	קופר	cooper	קופר	PROPN;NOM;SG	PROPN
rechner	מחשבים	rechner	מחשב		N;MASC;PL
rechner	מארחים	rechner	מארח		N;MASC;PL
rechner	המארח	rechner	המארח		PROPN
rechner	מארח	rechner	מרח		PROPN
rechner	פונדקאי	rechner	פונדקאי		N
rechner	מחשב	rechner	מחשב		N;MASC;SG
rechner	מארחים	rechner	מארח		N;MASC;PL
rechner	מארח	rechner	מרח		PROPN
schubert	שוברט	schubern	שוברט		PROPN
barry	ברי	barry	ברי	PROPN;SG	
barry	בארי	barry	בארי	PROPN;SG	PROPN
brüdern	אחים	brüdern	אח		N;PL
patent	פטנט	patent	פטנט	PROPN	N;MASC;SG
patent	פטנטים	patent	פטנט	PROPN	N;MASC;PL
webseiten	אתר	webseiten	אתר	V;NFIN	N;MASC;SG
webseiten	האתר	webseiten	האתר	V;NFIN	
webseiten	אינטרנט	webseiten	אינטרנט	V;NFIN	
webseiten	אתרים	webseiten	אתר	V;NFIN	N;MASC;PL
webseiten	אתרים	webseiten	אתר	V;NFIN	N;MASC;PL
knochen	עצמות	knochen	עצם	V;NFIN	N;FEM;PL
knochen	בונס	knochen	בונס	V;NFIN	PROPN
knochen	בונז	knochen	בונז	V;NFIN	PROPN
knochen	בון	knochen	בון	V;NFIN	PROPN
knochen	עצם	knochen	עצם	V;NFIN	
posen	בפוזנן	pos	בפוזנן	PROPN	PROPN
posen	מהווה	pos	היווה	PROPN	V;FEM;SG;V.PTCP
posen	תנוחות	pos	תנוחה	PROPN	N;FEM;PL
posen	פוזן	pos	פוזן	PROPN	PROPN
rechtlich	חוקית	rechtlich	חוקי	ADJ	ADV
pionier	חלוצי	pionier	חלוץ	ADJ	PROPN
pionier	חלוץ	pionier	חלוץ	ADJ	N;MASC;SG
pionier	החלוץ	pionier	החלוץ	ADJ	PROPN
pionier	פיוניר	pionier	פיוניר	ADJ	PROPN
pionier	חלוצים	pionier	חלוץ	ADJ	N;MASC;PL
type	סוג	type	סוג		N;MASC;SG
blütezeit	פורח	blütezeit	פורח	ADJ	
blütezeit	בלום	blütezeit	בלום	ADJ	PROPN
blütezeit	יפרח	blütezeit	פרח	ADJ	PROPN
rumänischen	רומניה	rumänisch	רומניה	ADJ	PROPN
rumänischen	רומנים	rumänisch	רומני	ADJ	N;MASC;PL
rumänischen	רומני	rumänisch	רומני	ADJ	PROPN
metz	מץ	metz	מץ	PROPN;NOM;MASC;SG	PROPN
harold	הארולד	harold	הארולד	PROPN;NOM;MASC;SG	PROPN
harold	הרולד	harold	הרולד	PROPN;NOM;MASC;SG	PROPN
brothers	אחים	brothers	אח	PROPN;NOM;SG	N;PL
entfernten	מרוחק	entfernt	מרוחק	V;IND;PL;3;PST;FIN	V;MASC;SG;V.PTCP;PASS
entfernten	מרוחקת	entfernt	מרוחק	V;IND;PL;3;PST;FIN	ADJ;FEM;SG
ausgehen	היכרויות	ausgehen	היכרות	V;NFIN	N;FEM;PL
ausgehen	הכרויות	ausgehen	הכרות	V;NFIN	N;FEM;PL
ausgehen	דייטים	ausgehen	דייטי	V;NFIN	N;MASC;PL
ausgehen	בחוץ	ausgehen	בחוץ	V;NFIN	
ausgehen	החוצה	ausgehen	החוצה	V;NFIN	ADV
lebenslauf	ביוגרפיה	lebenslauf	ביוגרפיה		PROPN
lebenslauf	הביוגרפיה	lebenslauf	הביוגרפיה		PROPN
lebenslauf	קורות	lebenslauf	קורה		N;FEM;PL
alkohol	אלכוהול	alkohol	אלכוהול		N;MASC;SG
alkohol	ליקר	alkohol	ליקר		PROPN
gene	גן	gen	גן		N;MASC;SG
gene	גנים	gen	גן		N;MASC;PL
trasse	נתיב	trassen	נתיב	N	
trasse	שביל	trassen	שביל	N	
trasse	הנתיב	trassen	הנתיב	N	ADV
rechnen	חשבון	rechnen	חשבון	V;NFIN	N;MASC;SG
rechnen	מתמטיקה	rechnen	מתמטיקה	V;NFIN	N;FEM;SG
silva	סילבה	silva	סילבה	PROPN	PROPN
bemerkenswert	מורגש	bemerkenswert	הורגש	ADJ	V;MASC;SG;V.PTCP;PASS
menschheit	אנושיות	menschheit	אנושיות		N;FEM;SG
menschheit	האנושות	menschheit	האנושה		N;FEM;SG
menschheit	האנושיות	menschheit	האנושיות		N;FEM;SG
menschheit	האנושות	menschheit	האנושה		N;FEM;SG
ehre	תפארת	ehr	תפארת		PROPN
ehre	תהילה	ehr	תהילה		PROPN
ehre	גלורי	ehr	גלורי		PROPN
öffentlicher	ציבורית	öffentlich	ציבורי	ADJ	ADV
öffentlicher	ציבור	öffentlich	ציבור	ADJ	N;MASC;SG
öffentlicher	הציבור	öffentlich	הציבור	ADJ	
toll	מעולה	toll	מעולה	ADJ	
toll	אחלה	toll	אחלה	ADJ	
christ	כריסטיאן	christ	כריסטיאן	PROPN	PROPN
christ	נוצרי	christ	נוצרי	PROPN	PROPN
christ	נצרות	christ	נצרות	PROPN	N;FEM;SG
christ	ישו	christ	ישו	PROPN	
christ	המשיח	christ	המשיח	PROPN	V;MASC;SG;3;PST;ACT
vergrößert	מוגדלת	vergrößern	מוגדל	V;V.PTCP	ADJ;FEM;SG
tropischen	טרופית	tropisch	טרופי	ADJ	ADV
tropischen	טרופי	tropisch	טרוף	ADJ	PROPN
miami	מיאמי	miami	מיאמי	PROPN;NOM;MASC;SG	PROPN
shanghai	שנחאי	shanghai	שנחאי	PROPN;NOM;MASC;SG	PROPN
mexico	מקסיקו	mexico	מקסיקו	PROPN;NOM;SG	PROPN
bischofs	בישופ	bischofs	בישופ		PROPN
bischofs	בישוף	bischofs	בישוף		PROPN
vertretung	לייצוג	vertretung	לייצוג	N;FEM;SG	V;NFIN;ACT
vertretung	הנציג	vertretung	הנציג	N;FEM;SG	PROPN
fauna	פאונה	fauna	פאונה		N;FEM;SG
protokoll	דקות	protokoll	דקה	ADJ	N;FEM;PL
protokoll	תעתיק	protokoll	העתיק	ADJ	PROPN
protokoll	פרוטוקול	protokoll	פרוטוקול	ADJ	N;MASC;SG
protokoll	הפרוטוקול	protokoll	הפרוטוקול	ADJ	PROPN
protokoll	יומן	protokoll	יומן	ADJ	PROPN
protokoll	יומנים	protokoll	יומן	ADJ	N;MASC;PL
athleten	אתלט	athlet	אתלט	V;IND;PL;3;PST;FIN	PROPN
athleten	ספורטאי	athlet	ספורטאי	V;IND;PL;3;PST;FIN	N;MASC;SG
athleten	אתלטים	athlet	אתלט	V;IND;PL;3;PST;FIN	N;MASC;PL
athleten	ספורטאים	athlet	ספורטאי	V;IND;PL;3;PST;FIN	N;MASC;PL
teilnehmern	נוכחים	teilnehmern	נוכח	V;NFIN	N;MASC;PL
baker	אופה	bak	אופה	PROPN	PROPN
baker	בייקר	bak	ייקר	PROPN	PROPN
ethnischen	אתני	ethnisch	אתני	ADJ;PL	N;MASC;SG
copa	קופה	copa	קופה	PROPN;NOM;SG	N;FEM;SG
konzipiert	יזום	konzipieren	זם	V;V.PTCP	N;MASC;SG
konzipiert	עיצב	konzipieren	עיצב	V;V.PTCP	PROPN
breiter	רחבה	breit	רחבה	ADJ	N;FEM;SG
breiter	רחבות	breit	רחבה	ADJ	N;FEM;PL
breiter	רחב	breit	רחב	ADJ	
breiter	רחבה	breit	רחבה	ADJ	N;FEM;SG
breiter	רחב	breit	רחב	ADJ	
udo	אודו	udo	אודו	PROPN;NOM;MASC;SG	PROPN
steuerung	בקרה	steuerung	בקרה	ADJ	N;FEM;SG
steuerung	שליטה	steuerung	שליטה	ADJ	N;FEM;SG
steuerung	פיקוח	steuerung	פיקוח	ADJ	N;MASC;SG
steuerung	בקר	steuerung	בקר	ADJ	
steuerung	ממשל	steuerung	ממשל	ADJ	N;MASC;SG
vortrag	ההרצאה	vortragen	ההרצאה	N;SG	PROPN
vortrag	לדבר	vortragen	דיבר	N;SG	V;NFIN;ACT
vortrag	דברי	vortragen	דבר	N;SG	N;PSSD;MASC;PL
prinzipien	העקרונות	prinzip	העקרונות	V;NFIN	PROPN
prinzipien	עקרונות	prinzip	עיקרון	V;NFIN	N;MASC;PL
dienstleistungen	שירותי	dienstleistungen	שירותי	N;NOM;FEM;PL	PROPN
comedy	קומדיה	comedy	קומדיה	PROPN	N;FEM;SG
basketballspieler	כדורסל	basketballspieler	כדורסל	ADJ	N;MASC;SG
hansen	הנסן	hansen	הנסן	PROPN;NOM;SG	PROPN
catherine	קתרין	catherine	קתרין	PROPN;NOM;SG	PROPN
philologe	ופילולוג	philologe	ופילולוג	ADJ	PROPN
aufteilung	הקצאת	aufteilung	הקצאה	ADJ;SG	N;PSSD;FEM;SG
aufteilung	התמוטטות	aufteilung	התמוטטות	ADJ;SG	N;FEM;SG
aufteilung	פירוט	aufteilung	פירוט	ADJ;SG	
aufteilung	הפצה	aufteilung	הפצה	ADJ;SG	N;FEM;SG
aufteilung	התפלגות	aufteilung	התפלגות	ADJ;SG	N;FEM;SG
aufteilung	פיצול	aufteilung	פיצול	ADJ;SG	N;MASC;SG
böhmischen	בוהמי	böhmisch	בוהמי	ADJ;NOM;PL	PROPN
erwachsene	גדל	erwachsen	גדל	ADJ;NOM;FEM;PL	
erwachsene	בוגרים	erwachsen	בוגר	ADJ;NOM;FEM;PL	N;MASC;PL
erwachsene	מבוגרים	erwachsen	מבוגר	ADJ;NOM;FEM;PL	N;MASC;PL
erwachsene	בוגרת	erwachsen	בוגר	ADJ;NOM;FEM;PL	N;FEM;SG
erwachsene	בוגר	erwachsen	בוגר	ADJ;NOM;FEM;PL	
erwachsene	מבוגר	erwachsen	מבוגר	ADJ;NOM;FEM;PL	ADJ;MASC;SG
werfen	הגבס	werfen	הגבס	V;NFIN	PROPN
werfen	גבס	werfen	גבס	V;NFIN	N;MASC;SG
werfen	זרוק	werfen	None	V;NFIN	
mexikanischen	מקסיקני	mexikanisch	מקסיקני	ADJ;NOM;MASC;PL	PROPN
mexikanischen	מקסיקנית	mexikanisch	מקסיקני	ADJ;NOM;MASC;PL	PROPN
philosophen	פילוסופים	philosophen	פילוסוף		N
philosophen	פילוסוף	philosophen	פילוסוף		PROPN
frag	תשאל	frag	תשאל		V;MASC;SG;2;FUT;ACT
frag	תשאלי	frag	תשאלי		V;SG;1;FUT;ACT
frag	בקש	frag	בקש		PROPN
frag	שאל	frag	שאל		N;MASC;SG
dicke	עבה	dick	עבה	N;NOM;FEM;PL	
dicke	עבות	dick	עבה	N;NOM;FEM;PL	
dicke	עובי	dick	עובי	N;NOM;FEM;PL	N;MASC;SG
irischen	אירי	irisch	אירי		PROPN
irischen	אירית	irisch	אירי		PROPN
ländlichen	כפרי	ländlich	כפר	ADJ	PROPN
ländlichen	כפרית	ländlich	כפרי	ADJ	ADV
ländlichen	הכפרית	ländlich	הכפרית	ADJ	ADV
han	האן	han	האן		PROPN
vielfalt	מגוון	vielfalt	מגוון	N;NOM;FEM;SG	
wettbewerbe	תחרות	wettbewerb	תחרות	N;NOM;PL	N;FEM;SG
rowohlt	rowohlt	rowohlt	rowohlt	PROPN	PRO;MASC;SG;3
heiraten	חתונה	heiraten	חתונה	V;NFIN	N;FEM;SG
heiraten	נישואים	heiraten	נישואין	V;NFIN	N;MASC;PL
heiraten	נישואין	heiraten	נישואין	V;NFIN	N;MASC;PL
heiraten	חתונה	heiraten	חתונה	V;NFIN	N;FEM;SG
heiraten	החתונה	heiraten	החתונה	V;NFIN	ADV
murray	מורי	murray	מורי	PROPN;NOM;SG	
murray	מוריי	murray	מורי	PROPN;NOM;SG	PROPN
murray	מארי	murray	מארי	PROPN;NOM;SG	PROPN
archäologe	ארכיאולוג	archäologe	ארכיאולוג		PROPN
austin	אוסטין	austin	אוסטין	PROPN;NOM;MASC;SG	PROPN
stellungnahme	הדעה	stellungnahme	הדעה	N;NOM;FEM;SG	ADV
zelle	תאים	zellen	תא		N;MASC;PL
wälder	וודס	wald	ודס		PROPN
wälder	יערות	wald	עירה		N;MASC;PL
schließung	סגירה	schließung	סגירה	ADJ	N;FEM;SG
schließung	סוגרת	schließung	סגר	ADJ	V;FEM;SG;V.PTCP;ACT
schließung	סוגרים	schließung	סגר	ADJ	N;MASC;PL
schließung	סגירת	schließung	סגירה	ADJ	N;PSSD;FEM;SG
schließung	סגירה	schließung	סגירה	ADJ	N;FEM;SG
schließung	סוגר	schließung	סגר	ADJ	V;MASC;SG;V.PTCP;ACT
schließung	נסגר	schließung	נסגר	ADJ	V;MASC;SG;3;PST;MID
maßnahme	פעולה	maßnahmen	פעולה	ADJ	N;FEM;SG
maßnahme	עשייה	maßnahmen	עשייה	ADJ	N;FEM;SG
maßnahme	אקשן	maßnahmen	אקשן	ADJ	N;MASC;SG
maßnahme	מדידה	maßnahmen	מדידה	ADJ	N;FEM;SG
maßnahme	מידה	maßnahmen	מידה	ADJ	N;FEM;SG
chief	המפקדת	chief	המפקד	PROPN	N;FEM;SG
chief	ראשי	chief	ראש	PROPN	N;PSSD;MASC;PL
grundlegende	בסיסי	grundlegend	בסיסי	ADJ;NOM;FEM;PL	ADJ;MASC;SG
grundlegende	בסיסית	grundlegend	בסיסי	ADJ;NOM;FEM;PL	ADV
geschmack	טעם	geschmack	טעם	ADJ	N;MASC;SG
geschmack	לטעום	geschmack	טעם	ADJ	V;NFIN;ACT
geschmack	טעם	geschmack	טעם	ADJ	N;MASC;SG
geschmack	טעם	geschmack	טעם	ADJ	N;MASC;SG
geschmack	טעמים	geschmack	טעם	ADJ	N;MASC;PL
porto	פורטו	porto	פורט	PROPN;SG	PROPN
konzentration	ריכוזים	konzentration	ריכוזי	ADJ	N;MASC;PL
konzentration	ריכוז	konzentration	ריכוז	ADJ	N;MASC;SG
interviews	ראיונות	interviews	ריאיון		N;MASC;PL
ansprüche	תביעות	ansprechen	תביעה		N;FEM;PL
ansprüche	טענות	ansprechen	טענה		N;FEM;PL
ansprüche	טוען	ansprechen	טען		V;MASC;SG;V.PTCP;ACT
wiedervereinigung	האיחוד	wiedervereinigung	האיחוד	ADJ	PROPN
wiedervereinigung	איחוד	wiedervereinigung	None	ADJ	N;MASC;SG
kabel	כבלים	kabel	כבל		N;MASC;PL
kabel	כבלים	kabel	כבל		N;MASC;PL
kabel	כבל	kabel	כבל		PROPN
bemüht	אנדוור	bemüht	אנדוור	ADJ	PROPN
berner	ברן	bern	ברן		PROPN
konzentrierte	מרוכזת	konzentrieren	מרוכז	V;IND;SG;3;PST;FIN	V;FEM;SG;V.PTCP;PASS
konzentrierte	מרוכז	konzentrieren	רוכז	V;IND;SG;3;PST;FIN	V;MASC;SG;V.PTCP;PASS
konzentrierte	מרוכזים	konzentrieren	רוכז	V;IND;SG;3;PST;FIN	V;MASC;PL;V.PTCP;PASS
konzentrierte	ממוקדת	konzentrieren	ממוקד	V;IND;SG;3;PST;FIN	ADJ;FEM;SG
konzentrierte	ממוקד	konzentrieren	ממוקד	V;IND;SG;3;PST;FIN	PROPN
konzentrierte	מרוכז	konzentrieren	רוכז	V;IND;SG;3;PST;FIN	V;MASC;SG;V.PTCP;PASS
keramik	קדרות	keramik	קדרות		N;FEM;SG
keramik	קרמיקה	keramik	קרמיקה		N;FEM;SG
keramik	קרמיקה	keramik	קרמיקה		N;FEM;SG
bismarck	ביסמרק	bismarck	ביסמרק	PROPN;NOM;MASC;SG	PROPN
monika	מוניקה	monika	מוניקה	PROPN;NOM;FEM;SG	PROPN
flensburg	פלנסבורג	flensburg	פלנסבורג	PROPN;NOM	PROPN
pakistan	פקיסטן	pakistan	פקיסטן	PROPN;NOM;MASC;SG	PROPN
grant	גרנט	granen	גרנט	PROPN;NOM;SG	PROPN
grant	מענק	granen	מענק	PROPN;NOM;SG	N;MASC;SG
grant	גראנט	granen	גראנט	PROPN;NOM;SG	PROPN
brasilianischen	ברזילאית	brasilianisch	ברזילאית	ADJ;NOM;MASC;PL	PROPN
brasilianischen	ברזילאי	brasilianisch	ברזילאי	ADJ;NOM;MASC;PL	PROPN
löwe	אריה	löwe	אריה		PROPN
löwe	האריה	löwe	האריה		PROPN
löwe	אריות	löwe	אריה		N;FEM;PL
löwe	ליאו	löwe	ליאו		PROPN
gerechtfertigt	מוצדק	gerechtfertigt	הוצדק	ADJ	V;MASC;SG;V.PTCP;PASS
gerechtfertigt	מוצדקת	gerechtfertigt	הוצדק	ADJ	V;FEM;SG;V.PTCP;PASS
gerechtfertigt	מוצדק	gerechtfertigt	הוצדק	ADJ	V;MASC;SG;V.PTCP;PASS
gerechtfertigt	מוצדקת	gerechtfertigt	הוצדק	ADJ	V;FEM;SG;V.PTCP;PASS
pädagogik	פדגוגיה	pädagogik	פדגוגיה		N;FEM;SG
melodie	לחן	melodie	לחן		PROPN
melodie	מלודי	melodie	מלודי		PROPN
melodie	מנגינה	melodie	מנגין		N;FEM;SG
melodie	המנגינה	melodie	המנגינה		N;FEM;SG
melodie	לחן	melodie	לחן		PROPN
melodie	מנגינה	melodie	מנגין		N;FEM;SG
canadian	קנדית	canadian	קנדי	PROPN	PROPN
canadian	קנדי	canadian	קנדי	PROPN	PROPN
beratung	עצות	beratung	עצות	N;NOM;FEM;SG	N;FEM;PL
beratung	עצה	beratung	עצה	N;NOM;FEM;SG	
bäumen	עצים	bäumen	עץ		N;MASC;PL
boeing	בואינג	boeing	בואינג	PROPN;NOM;SG	PROPN
externe	חיצוניים	extern	חיצוני		ADJ;MASC;PL
externe	חיצוניות	extern	חיצוני		ADJ;FEM;PL
externe	חיצונית	extern	חיצוני		ADV
externe	חיצוני	extern	חיצוני		ADJ;MASC;SG
prinzen	נסיכים	prinzen	נסיך		N;MASC;PL
prinzen	הנסיכים	prinzen	הנסיך		N;MASC;PL
prinzen	נסיך	prinzen	נסיך		PROPN
prinzen	פרינס	prinzen	פרינס		PROPN
prinzen	הנסיך	prinzen	הנסיך		PROPN
mängel	החולשות	mängeln	החולשות	ADJ	N
mängel	חולשות	mängeln	חולשה	ADJ	N;FEM;PL
