伴侶	partenere	伴侶	partenere	N	ADJ;INDF;FEM;PL
獨家	exclusivitate	獨家	exclusivitate		N;INDF;FEM;SG
獨家	exclusiv	獨家	exclusiv		ADV
掩護	acoperi	掩護	acoperi	N	
掩護	acoperă	掩護	acoperi	N	V;IND;3;PRS;FIN
鈍	blunt	鈍	blunt	N	PROPN
復原	restaurare	復原	restaurare	V	N;INDF;FEM;SG
復原	restaurarea	復原	restaurare	V	N;DEF;FEM;SG
復原	recuperarea	復原	recuperare	V	N;DEF;FEM;SG
復原	redresare	復原	redresare	V	N;INDF;FEM;SG
復原	redresarea	復原	redresare	V	N;DEF;FEM;SG
復原	recuperare	復原	recuperare	V	N;INDF;FEM;SG
真主	alah	真主	alah	PROPN	
真主	allah	真主	allah	PROPN	
清潔	curățenie	清潔	curățenie	V	N;INDF;FEM;SG
清潔	curățarea	清潔	curățare	V	N;DEF;FEM;SG
清潔	curățare	清潔	curățare	V	N;INDF;FEM;SG
清潔	curatenie	清潔	curatenie	V	N;INDF;FEM;SG
清潔	curat	清潔	curat	V	ADJ;INDF;MASC;SG
清潔	curată	清潔	curat	V	ADJ;INDF;FEM;SG
清潔	curate	清潔	curat	V	ADJ;INDF;FEM;PL
清潔	clean	清潔	clean	V	N;INDF;MASC;SG
多	diversificarea	多	diversificare	NUM	N;DEF;FEM;SG
多	pluralitate	多	pluralitate	NUM	N;INDF;FEM;SG
多	diversitatea	多	diversitate	NUM	N;DEF;FEM;SG
多	diversitate	多	diversitate	NUM	N;INDF;FEM;SG
多	pluralismul	多	pluralism	NUM	N;DEF;MASC;SG
友善	prietenoasă	友善	prietenos	N	ADJ;INDF;FEM;SG
友善	prietenos	友善	prietenos	N	ADJ;INDF;MASC;SG
甜蜜	dulce	甜蜜	dulce	N	
甜蜜	dulci	甜蜜	dulce	N	ADJ;INDF;PL
瘦	skinny	瘦	skinny	N	
瘦	slab	瘦	slab	N	ADV
瘦	slim	瘦	slim	N	
瘦	subțire	瘦	subțire	N	
瘦	subtire	瘦	subtire	N	
瘦	subțire	瘦	subțire	N	
雪梨	sydney	雪梨	sydney	PROPN	PROPN
鳳蝶	papilio	鳳蝶	papilio	N	PROPN
消化	digerat	消化	digera	V	ADJ;INDF;MASC;SG
消化	digestie	消化	digestie	V	N;INDF;FEM;SG
消化	digestiv	消化	digestiv	V	ADJ;INDF;MASC;SG
凱撒	caesar	凱撒	caesar	PROPN	N;INDF;MASC;SG
凱撒	cezar	凱撒	cezar	PROPN	N;INDF;MASC;SG
馬達加斯加	madagascar	馬達加斯加	madagascar	PROPN	N;INDF;MASC;SG
告別	adio	告別	adio	V	
胖	grasă	胖	gras	N	ADJ;INDF;FEM;SG
狹窄	stenoză	狹窄	stenoză	ADJ	N;INDF;FEM;SG
狹窄	restrânge	狹窄	restrânge	ADJ	V;IND;SG;3;PRS;FIN
裁決	verdictul	裁決	verdict	V	N;DEF;MASC;SG
裁決	verdict	裁決	verdict	V	N;INDF;MASC;SG
裁決	guvernământ	裁決	guvernământ	V	N;INDF;MASC;SG
無力	neputincios	無力	neputincios	N	ADJ;INDF;MASC;SG
節省	economii	節省	economie	V	N;INDF;FEM;PL
節省	economiile	節省	economie	V	N;DEF;FEM;PL
節省	economisire	節省	economisire	V	N;INDF;FEM;SG
節省	salvarea	節省	salvare	V	N;DEF;FEM;SG
水下	subacvatice	水下	subacvatic	N	ADJ;INDF;FEM;PL
水下	subacvatic	水下	subacvatic	N	ADJ;INDF;MASC;SG
意向	intentii	意向	intent	N	
壓制	reprimarea	壓制	reprimare	V	N;DEF;FEM;SG
壓制	represiune	壓制	represiune	V	N;INDF;FEM;SG
壓制	represiunea	壓制	represiune	V	N;DEF;FEM;SG
壓制	suprimarea	壓制	suprimare	V	N;DEF;FEM;SG
壓制	suprimarea	壓制	suprimare	V	N;DEF;FEM;SG
重溫	retrăiască	重溫	retrăi	N	V;SBJV;3;PRS;FIN
突襲	raid	突襲	raid	V	N;INDF;MASC;SG
突襲	raidul	突襲	raid	V	N;DEF;MASC;SG
突襲	raiduri	突襲	raid	V	N;INDF;FEM;PL
突襲	raidurile	突襲	raid	V	N;DEF;FEM;PL
情侶	iubitori	情侶	iubitor	N	ADJ;INDF;MASC;PL
情侶	iubiți	情侶	iubi	N	V;IND;PL;2;IPFV;FIN
交接	predare	交接	predare	V	N;INDF;FEM;SG
交接	predarea	交接	predare	V	N;DEF;FEM;SG
示	model	示	model	V	N;INDF;MASC;SG
示	modelul	示	model	V	N;DEF;MASC;SG
示	fotomodel	示	fotomodel	V	N;INDF;MASC;SG
示	demonstrație	示	demonstrație	V	N;INDF;FEM;SG
示	demo	示	demo	V	N;INDF;MASC;SG
示	demonstrație	示	demonstrație	V	N;INDF;FEM;SG
智力	intelectuale	智力	intelectual	N	ADJ;INDF;FEM;PL
智力	intelectual	智力	intelectual	N	ADJ;INDF;MASC;SG
智力	intelectuală	智力	intelectual	N	ADJ;INDF;FEM;SG
渡口	bac	渡口	bac	N	
糾紛	dispută	糾紛	disputa	N	V;IND;SG;3;PST;FIN
糾紛	contestă	糾紛	contesta	N	V;IND;SG;3;PST;FIN
糾紛	disputa	糾紛	disputa	N	V;IND;SG;3;IPFV;FIN
發光	strălucitoare	發光	strălucitor	V	ADJ;INDF;FEM
發光	strălucitor	發光	strălucitor	V	ADJ;INDF;MASC;SG
發光	stralucitoare	發光	stralucitor	V	ADJ;INDF;FEM
發光	luminoasă	發光	luminos	V	ADJ;INDF;FEM;SG
發光	luminos	發光	luminos	V	ADJ;INDF;MASC;SG
發光	luminoasa	發光	luminos	V	ADJ;DEF;FEM;SG
發光	strălucire	發光	strălucire	V	N;INDF;FEM;SG
結盟	alianta	結盟	aliantă	V	N;DEF;FEM;SG
結盟	alianță	結盟	alianță	V	N;INDF;FEM;SG
結盟	alianța	結盟	alianță	V	N;DEF;FEM;SG
阿拉伯	araba	阿拉伯	araba	PROPN	N;DEF;FEM;SG
阿拉伯	arabă	阿拉伯	arab	PROPN	N;INDF;FEM;SG
窮	săracul	窮	sărac		N;DEF;MASC;SG
窮	săraci	窮	sărac		ADJ;INDF;MASC;PL
窮	saraca	窮	saracă		ADJ;DEF;FEM;SG
投球	smoală	投球	smoală	V	N;INDF;FEM;SG
投球	aruncare	投球	aruncare	V	N;INDF;FEM;SG
訪談	interviu	訪談	interviu	V	N;INDF;MASC;SG
訪談	interviul	訪談	interviu	V	N;DEF;MASC;SG
訪談	interviurile	訪談	interviu	V	N;DEF;FEM;PL
訪談	interviuri	訪談	interviu	V	N;INDF;FEM;PL
宗派	sectare	宗派	sectare	N	ADJ;INDF;FEM;PL
揚州	yangzhou	揚州	yangzhou	PROPN	
就	inaugurare	就	inaugurare	ADV	N;INDF;FEM;SG
就	inaugurarea	就	inaugurare	ADV	N;DEF;FEM;SG
噴發	ventilare	噴發	ventilare	V	N;INDF;FEM;SG
饒	rao	饒	rao	V	N;INDF;MASC;SG
溶解	dizolvarea	溶解	dizolvare	V	N;DEF;FEM;SG
溶解	dizolvat	溶解	dizolva	V	ADJ;INDF;MASC;SG
主觀	subiectiv	主觀	subiectiv	N	ADJ;INDF;MASC;SG
外國	strain	外國	strain	N	ADJ;INDF;MASC;SG
外國	străin	外國	străin	N	ADJ;INDF;MASC;SG
外國	straini	外國	strain	N	
外國	străini	外國	străin	N	ADJ;INDF;MASC;PL
反感	aversiune	反感	aversiune	V	N;INDF;FEM;SG
反感	dezgustat	反感	dezgusta	V	ADJ;INDF;MASC;SG
李	plum	李	plum	PROPN	N;INDF;MASC;SG
李	prune	李	prune	PROPN	N;INDF;FEM;PL
李	prune	李	prune	PROPN	N;INDF;FEM;PL
腸	intestin	腸	intestin	N	
腸	intestin	腸	intestin	N	
腸	intestine	腸	intestine	N	
腸	intestine	腸	intestine	N	
秋山	akiyama	秋山	akiyama	PROPN	N;INDF;MASC;SG
福爾摩斯	holmes	福爾摩斯	holmes	PROPN	PROPN
野心	ambițios	野心	ambițios	N	ADJ;INDF;MASC;SG
印地安	indieni	印地安	indian	PROPN	N;INDF;MASC;PL
印地安	indienii	印地安	indien	PROPN	N;DEF;MASC;PL
顯示	afișare	顯示	afișare	V	N;INDF;FEM;SG
顯示	monitoare	顯示	monitor	V	N;INDF;FEM;PL
有害	nocive	有害	nociv	N	ADJ;INDF;FEM;PL
有害	nociv	有害	nociv	N	ADJ;INDF;MASC;SG
有害	dăunătoare	有害	dăunător	N	ADJ;INDF;FEM
有害	dăunător	有害	dăunător	N	ADJ;INDF;MASC;SG
銀河	galaxie	銀河	galaxie	PROPN	N;INDF;FEM;SG
銀河	galaxia	銀河	galaxia	PROPN	N;DEF;FEM;SG
銀河	galaxy	銀河	galaxy	PROPN	N;INDF;MASC;SG
劍橋	cambridge	劍橋	cambridge	PROPN	N;INDF;MASC;SG
詛咒	blestem	詛咒	blea	V	N;INDF;MASC;SG
詛咒	blestemul	詛咒	blestem	V	N;DEF;MASC;SG
達拉斯	dallas	達拉斯	dallas	PROPN	PROPN
補償	compensatorie	補償	compensatoriu	N	ADJ;INDF;FEM;SG
廁	toaletă	廁	toaletă	V	N;INDF;FEM;SG
廁	toaleta	廁	toaletă	V	N;DEF;FEM;SG
廁	wc	廁	wc	V	N;INDF;MASC;SG
廁	baia	廁	baie	V	N;DEF;FEM;SG
廁	baie	廁	baie	V	N;INDF;FEM;SG
葉子	yoko	葉子	yoko	N	PROPN
激進	radical	激進	radical	N	ADV
激進	radicale	激進	radical	N	ADJ;INDF;FEM;PL
激進	radicală	激進	radical	N	ADJ;INDF;FEM;SG
有罪	vinovat	有罪	vinovat	V	ADJ;INDF;MASC;SG
有罪	vinovată	有罪	vinovat	V	ADJ;INDF;FEM;SG
樣式	styles	樣式	styles	N	PROPN
遷徙	migrarea	遷徙	migrare	V	N;DEF;FEM;SG
遷徙	migratoare	遷徙	migrator	V	ADJ;INDF;FEM
遷徙	migrare	遷徙	migrare	V	N;INDF;FEM;SG
遷徙	migrație	遷徙	migrație	V	N;INDF;FEM;SG
遷徙	migrarea	遷徙	migrare	V	N;DEF;FEM;SG
抄襲	plagiat	抄襲	plagia	V	N;INDF;MASC;SG
海倫	helen	海倫	helen	PROPN	PROPN
螢	ying	螢	ying	N	PROPN
多瑙	dunăre	多瑙	dunăre	PROPN	
多瑙	dunărea	多瑙	dunăre	PROPN	
多瑙	dunării	多瑙	dunăre	PROPN	PROPN;DEF;FEM;SG
阿爾及利亞	algeria	阿爾及利亞	algeria	PROPN	PROPN
拜	vizitând	拜	vizita	PROPN	V;V.MSDR
拜	vizită	拜	vizită	PROPN	N;INDF;FEM;SG
微小	tiny	微小	tiny	ADJ	N
出版	editor	出版	editor	V	N;INDF;MASC;SG
出版	editura	出版	editură	V	N;DEF;FEM;SG
出版	editorii	出版	editoare	V	N;DEF;MASC;PL
出版	editori	出版	editor	V	N;INDF;MASC;PL
溫和	blând	溫和	blând	ADJ	ADV
公升	litru	公升	litru	V	N;INDF;MASC;SG
公升	litri	公升	litru	V	N;INDF;MASC;PL
公升	litru	公升	litru	V	N;INDF;MASC;SG
公升	litri	公升	litru	V	N;INDF;MASC;PL
相對	relativism	相對	relativism	ADJ	N;INDF;MASC;SG
相對	relativitatea	相對	relativitate	ADJ	N;DEF;FEM;SG
對	opus	對	opune	ADP	ADJ;INDF;MASC;SG
對	opusul	對	opus	ADP	N;DEF;MASC;SG
對	opusă	對	opus	ADP	ADJ;INDF;FEM;SG
香料	spice	香料	spice	N	
悼念	tributul	悼念	tribut	V	N;DEF;MASC;SG
悼念	omagiu	悼念	omagiu	V	N;INDF;MASC;SG
悼念	tribut	悼念	tribut	V	N;INDF;MASC;SG
悼念	tributuri	悼念	tribut	V	N;INDF;FEM;PL
悼念	doliu	悼念	doliu	V	N;INDF;MASC;SG
悼念	jale	悼念	jale	V	
辣椒	ardei	辣椒	ardei	N	
悲劇	tragica	悲劇	tragica	N	ADJ;DEF;FEM;SG
悲劇	tragice	悲劇	tragic	N	ADJ;INDF;FEM;PL
悲劇	tragică	悲劇	tragic	N	ADJ;INDF;FEM;SG
悲劇	tragic	悲劇	tragic	N	ADJ;INDF;MASC;SG
鎖定	blocare	鎖定	blocare	V	N;INDF;FEM;SG
鎖定	lacăt	鎖定	lacăt	V	N;INDF;MASC;SG
鎖定	lock	鎖定	lock	V	N;INDF;MASC;SG
鎖定	blocat	鎖定	bloca	V	ADJ;INDF;MASC;SG
鎖定	încuiat	鎖定	încuia	V	ADJ;INDF;MASC;SG
喀麥隆	camerun	喀麥隆	camerun	PROPN	N;INDF;MASC;SG
彎曲	curbat	彎曲	curbat	N	ADJ;INDF;MASC;SG
彎曲	îndoi	彎曲	îndoi	N	V;IND;SG;3;PST;FIN
彎曲	îndoaie	彎曲	îndoaie	N	V;IND;3;PRS;FIN
溫暖	calde	溫暖	cald	N	ADJ;INDF;FEM;PL
溫暖	cald	溫暖	cald	N	ADJ;INDF;MASC;SG
溫暖	caldă	溫暖	cald	N	ADJ;INDF;FEM;SG
解剖	anatomie	解剖	anatomie		N;INDF;FEM;SG
解剖	anatomia	解剖	anatomie		N;DEF;FEM;SG
解剖	autopsia	解剖	autopsie		N;DEF;FEM;SG
解剖	autopsie	解剖	autopsie		N;INDF;FEM;SG
神像	gato	神像	gato	N	
手套	mittens	手套	mittens	N	
承包	contractori	承包	contractor	V	N;INDF;MASC;PL
承包	antreprenori	承包	antreprenor	V	N;INDF;MASC;PL
承包	antreprenor	承包	antreprenor	V	N;INDF;MASC;SG
承包	contractor	承包	contractor	V	N;INDF;MASC;SG
方舟	ark	方舟	ark	PROPN	N;INDF;MASC;SG
方舟	arca	方舟	arca	PROPN	N;DEF;FEM;SG
方舟	arcă	方舟	arcă	PROPN	N;INDF;FEM;SG
編譯	compilat	編譯	compila	V	ADJ;INDF;MASC;SG
編譯	compilarea	編譯	compilare	V	N;DEF;FEM;SG
編譯	compilarea	編譯	compilare	V	N;DEF;FEM;SG
界	defineste	界	definest	N	V;IND;SG;3;PRS;FIN
界	definește	界	defini	N	V;IND;SG;3;PRS;FIN
界	defini	界	defini	N	V;IND;SG;3;PRS;FIN
界	definesc	界	defini	N	V;IND;PL;3;PRS;FIN
馬賽	marseille	馬賽	marseillă	PROPN	N;DEF;FEM;SG
馬賽	marsilia	馬賽	marsilie	PROPN	PROPN
彈性	flexibile	彈性	flexibil	N	ADJ;INDF;FEM;PL
彈性	flexibilă	彈性	flexibil	N	ADJ;INDF;FEM;SG
彈性	flexibil	彈性	flexibil	N	ADJ;INDF;MASC;SG
彈性	elastice	彈性	elastic	N	ADJ;INDF;FEM;PL
彈性	elastic	彈性	elastic	N	ADJ;INDF;MASC;SG
酒井	sakai	酒井	sakai	PROPN	PROPN
繪圖	grafice	繪圖	grafic	N	ADJ;INDF;FEM;PL
繪圖	desenez	繪圖	deseni	N	V;IND;SG;1;PRS;FIN
大	masacrul	大	masacru	PART	N;DEF;MASC;SG
大	masacru	大	masacru	PART	N;INDF;MASC;SG
大	holocaustului	大	holocaust	PART	N;DEF;MASC;SG
大	holocaust	大	holocaust	PART	N;INDF;MASC;SG
劫持	răpire	劫持	răpire	V	N;INDF;FEM;SG
劫持	deturnare	劫持	deturnare	V	N;INDF;FEM;SG
劫持	deturnarea	劫持	deturnare	V	N;DEF;FEM;SG
劫持	deturnare	劫持	deturnare	V	N;INDF;FEM;SG
基	piedestal	基	piedestal	V	N;INDF;MASC;SG
損壞	coruptă	損壞	corupt	N	ADJ;INDF;FEM;SG
損壞	corupt	損壞	corupt	N	ADJ;INDF;MASC;SG
損壞	deteriorat	損壞	deteriora	N	ADJ;INDF;MASC;SG
損壞	deteriorată	損壞	deteriora	N	ADJ;INDF;FEM;SG
損壞	avariate	損壞	avaria	N	ADJ;INDF;FEM;PL
損壞	avariat	損壞	avariat	N	ADJ;INDF;MASC;SG
損壞	deteriorate	損壞	deteriorat	N	ADJ;INDF;FEM;PL
羅素	russel	羅素	russel	PROPN	PROPN
羅素	russell	羅素	russell	PROPN	PROPN
更	corecții	更	corecție	ADV	N;INDF;FEM;PL
更	corecție	更	corecție	ADV	N;INDF;FEM;SG
更	corectarea	更	corectare	ADV	N;DEF;FEM;SG
更	corectare	更	corectare	ADV	N;INDF;FEM;SG
特種	swat	特種	swat	ADJ	N;INDF;MASC;SG
叻	lat	叻	lat	PROPN	ADJ;INDF;MASC;SG
密西西比	mississippi	密西西比	mississipp	PROPN	PROPN
雙	bilateral	雙	bilateral	NUM	ADV
雙	bilaterale	雙	bilateral	NUM	ADJ;INDF;FEM;PL
雙	bilateral	雙	bilateral	NUM	ADV
雙	bilaterală	雙	bilateral	NUM	ADJ;INDF;FEM;SG
迷失	pierdut	迷失	pierdut	V	ADJ;INDF;MASC;SG
迷失	pierdute	迷失	pierdut	V	ADJ;INDF;FEM;PL
迷失	pierdută	迷失	pierde	V	ADJ;INDF;FEM;SG
迷失	lost	迷失	lost	V	N;INDF;MASC;SG
仙女	andromedae	仙女	andromedae	N	
橘子	portocaliu	橘子	portocaliu	N	ADV
死亡	mortalitate	死亡	mortalitate	V	N;INDF;FEM;SG
死亡	mortalitatea	死亡	mortalitate	V	N;DEF;FEM;SG
歌聲	cântând	歌聲	cânta	N	V;V.MSDR
歌聲	cantand	歌聲	cantand	N	
布加勒斯特	bucurești	布加勒斯特	bucuresc	PROPN	PROPN
布加勒斯特	bucuresti	布加勒斯特	bucurest	PROPN	PROPN
布加勒斯特	bucureşti	布加勒斯特	bucureant	PROPN	PROPN
存款	depozit	存款	depozit	V	N;INDF;MASC;SG
存款	depunere	存款	depunere	V	N;INDF;FEM;SG
存款	depozite	存款	depozit	V	N;INDF;FEM;PL
存款	depuneri	存款	depunere	V	N;INDF;FEM;PL
獨裁	dictatoriale	獨裁	dictatorial	N	ADJ;INDF;FEM;PL
朝倉	asakura	朝倉	asakura	PROPN	N;DEF;FEM;SG
想象	imagina	想象	imagina	N	V;IND;SG;3;IPFV;FIN
祈	rugăciune	祈	rugăciune	V	N;INDF;FEM;SG
祈	rugăciunea	祈	rugăciune	V	N;DEF;FEM;SG
祈	rugaciunea	祈	rugaciune	V	N;DEF;FEM;SG
祈	rugaciune	祈	rugaciune	V	N;INDF;FEM;SG
祈	rugăciuni	祈	rugăciune	V	N;INDF;FEM;PL
祈	rugăciunile	祈	rugăciune	V	N;DEF;FEM;PL
相容	compatibile	相容	compatibil	N	ADJ;INDF;FEM;PL
相容	compatibilă	相容	compatibil	N	ADJ;INDF;FEM;SG
相容	compatibil	相容	compatibil	N	ADJ;INDF;MASC;SG
廚師	cook	廚師	cook	N	PROPN
廚師	gătesc	廚師	găti	N	V;IND;PL;3;PRS;FIN
王	coroana	王	coroană	PROPN	N;DEF;FEM;SG
王	coroană	王	coroană	PROPN	N;INDF;FEM;SG
王	crown	王	crown	PROPN	PROPN
王	coroane	王	coroană	PROPN	N;INDF;FEM;PL
營養	nutriționale	營養	nutrițional	N	ADJ;INDF;FEM;PL
愛媛	ehime	愛媛	ehimă	N	
凝聚	coeziune	凝聚	coeziune	V	N;INDF;FEM;SG
凝聚	coeziunii	凝聚	coeziune	V	N;DEF;FEM;SG
凝聚	coeziunea	凝聚	coeziune	V	N;DEF;FEM;SG
扳機	trăgaci	扳機	trăgaci	N	
探險	aventură	探險	aventură	V	N;INDF;FEM;SG
探險	aventura	探險	aventură	V	N;DEF;FEM;SG
探險	aventuri	探險	avent	V	N;INDF;FEM;PL
探險	expeditie	探險	expeditie	V	N;INDF;FEM;SG
探險	expediție	探險	expediție	V	N;INDF;FEM;SG
區塊	blochează	區塊	bloca	N	V;IND;3;PRS;FIN
亞熱帶	subtropicale	亞熱帶	subtropical	PROPN	ADJ;INDF;FEM;PL
所	solomon	所	solomon	N	PROPN
聲援	solidaritate	聲援	solidaritate	V	N;INDF;FEM;SG
聲援	solidaritatea	聲援	solidaritate	V	N;DEF;FEM;SG
核子	nuclear	核子	nuclear	N	ADJ;INDF;MASC;SG
核子	nucleare	核子	nuclear	N	ADJ;INDF;FEM;PL
核子	nucleară	核子	nuclear	N	ADJ;INDF;FEM;SG
廢棄	abandon	廢棄	abandon	V	N;INDF;MASC;SG
廢棄	abandonarea	廢棄	abandonare	V	N;DEF;FEM;SG
廢棄	abandonat	廢棄	abandona	V	ADJ;INDF;MASC;SG
廢棄	abandonata	廢棄	abandonat	V	ADJ;DEF;FEM;SG
廢棄	abandonate	廢棄	abandona	V	ADJ;INDF;FEM;PL
廢棄	abandonată	廢棄	abandonat	V	ADJ;INDF;FEM;SG
檢視	vizionare	檢視	vizionare	V	N;INDF;FEM;PL
檢視	vizualizarea	檢視	vizualizare	V	N;DEF;FEM;SG
檢視	vizualizare	檢視	vizualizare	V	N;INDF;FEM;SG
檢視	vedere	檢視	vedere	V	N;INDF;FEM;SG
大	violoncel	大	violoncel	PART	N;INDF;MASC;SG
大	violoncelul	大	violoncel	PART	N;DEF;MASC;SG
加熱	caldura	加熱	caldura	V	N;DEF;FEM;SG
加熱	heat	加熱	heat	V	N;INDF;MASC;SG
加熱	căldură	加熱	căldură	V	N;INDF;FEM;SG
加熱	căldura	加熱	căldură	V	N;DEF;FEM;SG
加熱	incalzire	加熱	incalzire	V	N;INDF;FEM;SG
加熱	încălzire	加熱	încălzire	V	N;INDF;FEM;SG
加熱	încălzită	加熱	încălzi	V	ADJ;INDF;FEM;SG
加熱	încălzite	加熱	încălzit	V	ADJ;INDF;FEM;PL
加熱	încălzit	加熱	încălzi	V	ADJ;INDF;MASC;SG
還	restaurare	還	restaurare	ADV	N;INDF;FEM;SG
還	restabili	還	restabili	ADV	
還	reveni	還	reveni	ADV	V;IND;SG;3;PST;FIN
巴頓	patton	巴頓	patton	PROPN	PROPN
華沙	varșovia	華沙	varșovie	PROPN	PROPN
華沙	varşovia	華沙	varcovie	PROPN	N;DEF;FEM;SG
掃	scanarea	掃	scanare	V	N;DEF;FEM;SG
掃	scanare	掃	scanare	V	N;INDF;FEM;SG
掃	scanări	掃	scanare	V	N;INDF;FEM;PL
掃	scanare	掃	scanare	V	N;INDF;FEM;SG
升降	liftul	升降	lift	V	N;DEF;MASC;SG
升降	lift	升降	lift	V	N;INDF;MASC;SG
升降	ascensor	升降	ascensor	V	N;INDF;MASC;SG
機密	confidențiale	機密	confidențial	N	ADJ;INDF;FEM;PL
機密	confidențial	機密	confidențial	N	ADV
諾曼	norman	諾曼	norman	PROPN	PROPN
斐濟	fiji	斐濟	fiji	PROPN	PROPN
潛在	potențial	潛在	potențial	V	N;INDF;MASC;SG
潛在	potențialul	潛在	potențial	V	N;DEF;MASC;SG
潛在	potential	潛在	potential	V	ADJ;INDF;MASC;SG
呼叫	apel	呼叫	apel	V	N;INDF;MASC;SG
呼叫	call	呼叫	call	V	N;INDF;MASC;SG
呼叫	chemarea	呼叫	chemare	V	N;DEF;FEM;SG
呼叫	chemare	呼叫	chemare	V	N;INDF;FEM;SG
