til	برای	til	برای	ADV	ADP
dette	این	denne	این	PRO;NEUT;SG	DET
alle	همه	al	همه	ADJ;PL	PRO
alle	همه	al	همه	ADJ;PL	PRO
danmark	دانمارک	danmark	دانمارک		N;SG
mange	بسیار	mange	بسیار	ADJ;PL	ADV
danske	دانمارکی	dansk	دانمارکی	ADJ;PL	N;SG
danske	دانمارک	dansk	دانمارک	ADJ;PL	N;SG
senere	دیرتر	senere	دیر	ADV;CMPR	ADJ;CMPR
senere	بعدا	senere	بعداً	ADV;CMPR	
dog	هرچند	dog	هرچند	ADV	CONJ
tidligere	سابق	tidligere	سابق	ADV;CMPR	ADJ
tidligere	پیشین	tidligere	پیشین	ADV;CMPR	N;SG
tidligere	پیشین	tidligere	پیشین	ADV;CMPR	N;SG
tidligere	قبلی	tidligere	قبل	ADV;CMPR	ADJ
siden	صفحۀ	siden	صفحۀ	ADV	N;SG
siden	صفحه	siden	صفحه	ADV	N;SG
skal	شل	skulle	None	V;IND;PRS;FIN;ACT	N;SG
skal	پوسته	skulle	پوسته	V;IND;PRS;FIN;ACT	N;SG
skal	باید	skulle	بایست#باید	V;IND;PRS;FIN;ACT	V;NFIN
have	باغچه	have	باغچه	V;NFIN;ACT	N;SG
have	باغ	have	باغ	V;NFIN;ACT	N;SG
have	گاردن	have	گاردن	V;NFIN;ACT	N;SG
have	بهشت	have	بهشت	V;NFIN;ACT	N;SG
mere	بیشتر	mere	بیش	ADV;CMPR	ADJ;CMPR
store	بیگ	stor	بیگ	ADJ;PL	N;SG
store	b	stor	b	ADJ;PL	N;SG
store	بزرگی	stor	بزرگی	ADJ;PL	N;SG
meget	خیلی	meget	خیلی	ADJ;INDF;SG	ADV
meget	بسیار	meget	بسیار	ADJ;INDF;SG	ADV
meget	زیاد	meget	زیاد	ADJ;INDF;SG	N;SG
meget	بسیار	meget	بسیار	ADJ;INDF;SG	ADV
bliver	موندن	blive	موندن	V;IND;PRS;FIN;ACT	N;SG
bliver	ماندن	blive	ماندن	V;IND;PRS;FIN;ACT	N;SG
bliver	اقامت	blive	اقامت	V;IND;PRS;FIN;ACT	N;SG
end	than	end	than	ADP	
samme	همون	samme	همون	ADJ	
vil	ویل	ville	ویل	V;IND;PRS;FIN;ACT	N;SG
seed	بذر	seed	بذر		N;SG
seed	دانه	seed	دانه		N;SG
seed	نسل	seed	نسل		N;SG
omkring	درباره	omkring	درباره	ADV	ADP
omkring	دربارۀ	omkring	دربارۀ	ADV	ADP
omkring	اطراف	omkring	اطراف	ADV	N;PL
omkring	حوالی	omkring	حوالی	ADV	N;PL
blevet	شده	blive	کرد#کن	V;INDF;SG;PST;V.PTCP	V;SG;3;V.PTCP
selv	حتی	selv	حتی	PRO	ADV
selv	حتى	selv	حتى	PRO	
selv	وحتی	selv	وحتی	PRO	CONJ
københavn	کپنهاگ	københavn	کپنهاگ	PROPN	N;SG
kom	بیا	komme	آمد#آ	V;IND;PST;FIN;ACT	V;IMP;SG;2
kom	بیاید	komme	آمد#آ	V;IND;PST;FIN;ACT	V;SBJV;SG;3;PRS
and	داک	and	داک		N;SG
and	اردک	and	اردک		N;SG
and	مرغابی	and	مرغابی		N;SG
tre	تره	tre	تره	NUM	INTJ
blandt	درمیان	blandt	درمی	ADP	
disse	اینا	denne	اینا	PRO;PL	
nogle	بعضیها	nogen	بعضی	PRO;PL	N;PL
maj	می	maj	می	N;INDF;MASC+FEM;SG	
maj	تا	maj	تا	N;INDF;MASC+FEM;SG	ADP
anden	دوم	anden	دوم	PRO;MASC+FEM;SG	ADJ
anden	ثانیه	anden	ثانیه	PRO;MASC+FEM;SG	N;SG
anden	دومی	anden	None	PRO;MASC+FEM;SG	ADJ
andet	دوم	anden	دوم	PRO;NEUT;SG	ADJ
andet	ثانیه	anden	ثانیه	PRO;NEUT;SG	N;SG
andet	دومی	anden	None	PRO;NEUT;SG	ADJ
andet	دیگر	anden	دیگر	PRO;NEUT;SG	ADV
andet	غیره	anden	غیره	PRO;NEUT;SG	N;SG
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	
tilbage	عقب	tilbage	عقب	ADV	N;SG
tilbage	پشت	tilbage	پشت	ADV	ADP
tilbage	باز	tilbage	باز	ADV	ADJ
tilbage	برگشت	tilbage	بر#گشت#گرد	ADV	V;SG;3;PST
død	مُرده	død	مُرده	N;INDF;MASC+FEM;SG	ADJ
død	مردگان	død	مرده	N;INDF;MASC+FEM;SG	N;PL
dem	آنها	de	آن	PRO;ACC;PL;3	PRO;PL
dem	آنان	de	آن	PRO;ACC;PL;3	PRO;PL
gang	time	gang	time	N;INDF;MASC+FEM;SG	
tid	time	tid	time	N;INDF;MASC+FEM;SG	
nye	تازه	ny	تازه	ADJ;PL	ADV
nye	نیو	ny	نیو	ADJ;PL	N;SG
både	قایقهای	både	قایق	ADV	N;PL
både	قایقها	både	قایق	ADV	N;PL
både	هردو	både	هردو	ADV	
gennem	via	gennem	via	ADV	N;SG
gennem	طریق	gennem	طریق	ADV	N;SG
stor	بیگ	stor	بیگ	ADJ;INDF;MASC+FEM;SG	N;SG
stor	b	stor	b	ADJ;INDF;MASC+FEM;SG	N;SG
stor	بزرگی	stor	بزرگی	ADJ;INDF;MASC+FEM;SG	N;SG
stor	عالیه	stor	عالیه	ADJ;INDF;MASC+FEM;SG	N;SG
usa	آمریکای	usa	آمریکا	PROPN	N;SG
usa	امریکا	usa	امریکا	PROPN	N;SG
usa	آمریکا	usa	آمریکا	PROPN	N;SG
uden	بى	uden	بى	ADV	
uden	بدون	uden	بدون	ADV	ADP
hold	تیمهای	holde	تیم	V;IMP	N;PL
hold	تیم	holde	تیم	V;IMP	N;SG
hold	تیمی	holde	تیم	V;IMP	N;SG
juni	june	juni	june	N;INDF;MASC+FEM;SG	
kendt	دانسته	kendt	دانست#دان	ADJ;INDF;SG	V;SG;3;V.PTCP
kendt	مشهور	kendt	مشهور	ADJ;INDF;SG	N;SG
kendt	مشهوره	kendt	مشهوره	ADJ;INDF;SG	N;SG
før	پیش	før	پیش	ADV	ADP
hvilket	کدام	hvilken	کدام	PRO;NEUT;SG	N;SG
mest	اکثر	mest	اکثر	ADV;RL	ADJ
mest	بیشتر	mest	بیش	ADV;RL	ADJ;CMPR
mest	بیشترین	mest	بیش	ADV;RL	ADJ;RL
række	سطرها	række	سطر	N;INDF;MASC+FEM;SG	N;PL
style	سبک	style	سبک		N;SG
jpg	jpg	jpg	jpg		N;SG
først	اول	først	اول	ADV	ADJ
først	ابتدا	først	ابتدا	ADV	N;SG
først	نخستین	først	نخستین	ADV	ADJ;RL
mål	اهداف	mål	هدف	N;INDF;NEUT;SG	N;PL
mål	اهداف	mål	هدف	N;INDF;NEUT;SG	N;PL
mål	goal	mål	goal	N;INDF;NEUT;SG	
film	سینما	film	سینما	N;INDF;MASC+FEM;PL	N;SG
film	فیلم	film	فیلم	N;INDF;MASC+FEM;PL	N;SG
film	فیلم	film	فیلم	N;INDF;MASC+FEM;PL	N;SG
film	film	film	film	N;INDF;MASC+FEM;PL	
film	فیلمی	film	فیلم	N;INDF;MASC+FEM;PL	N;SG
film	فیلم	film	فیلم	N;INDF;MASC+FEM;PL	N;SG
film	فیلمش	film	فیلمش	N;INDF;MASC+FEM;PL	
film	سینمایی	film	سینمایی	N;INDF;MASC+FEM;PL	ADJ
sidste	آخری	sidste	آخری	ADJ	N;SG
sidste	لست	sidste	لست	ADJ	ADP
sidste	واپسین	sidste	واپسین	ADJ	ADJ;RL
sidste	آخرین	sidste	آخرین	ADJ	ADJ;RL
sidste	اخرین	sidste	اخرین	ADJ	ADJ;RL
tyske	آلمان	tysk	آلمان	ADJ;PL	N;SG
tyske	آلمانی	tysk	آلمانی	ADJ;PL	N;SG
indtil	تا	indtil	تا	CONJ	ADP
vandt	وون	vinde	وون	V;IND;PST;FIN;ACT	N;SG
inden	پیش	inden	پیش	ADV	ADP
mindre	کوچکتر	mindre	کوچک	ADV;CMPR	ADJ;CMPR
mindre	کوچک	mindre	کوچک	ADV;CMPR	ADJ
mindre	خردسال	mindre	خردسال	ADV;CMPR	N;SG
mindre	کوچکی	mindre	کوچک	ADV;CMPR	N;SG
mindre	کمتر	mindre	کم	ADV;CMPR	ADJ;CMPR
mindre	less	mindre	less	ADV;CMPR	N;SG
christian	کریستین	christian	کریستین		N;SG
christian	کریستیان	christian	کریستی		N;SG
christian	مسیحی	christian	مسیحی		N;SG
christian	کریستن	christian	کریستن		N;SG
frem	جلو	frem	جلو	ADV	N;SG
alt	همه	al	همه	ADJ;NEUT;SG	PRO
side	کنار	side	کنار	N;INDF;MASC+FEM;SG	ADP
tog	قطار	tage	قطار	V;IND;PST;FIN;ACT	N;SG
tog	قطارها	tage	قطار	V;IND;PST;FIN;ACT	N;PL
tog	متقاضیان	tage	متقاضی	V;IND;PST;FIN;ACT	N;PL
tog	قطاری	tage	قطاری	V;IND;PST;FIN;ACT	N;SG
tog	قطار	tage	قطار	V;IND;PST;FIN;ACT	N;SG
amerikansk	امریکایی	amerikansk	None	ADJ;INDF;SG	N;SG
amerikansk	امریکن	amerikansk	None	ADJ;INDF;SG	N;SG
amerikansk	آمریکن	amerikansk	آمریکن	ADJ;INDF;SG	N;SG
lille	small	lille	small	ADJ;SG	
lille	کوچکی	lille	کوچک	ADJ;SG	N;SG
lille	اسمال	lille	اسمال	ADJ;SG	N;SG
lille	لیتل	lille	لیتل	ADJ;SG	N;SG
lille	کوچولو	lille	کوچولو	ADJ;SG	N;SG
lille	لیل	lille	لیل	ADJ;SG	N;SG
hendes	تختی	hendes	تختی	DET;3	N;SG
hendes	او	hendes	او	DET;3	PRO;SG;3
von	فون	von	فون		N;SG
von	فن	von	فن		N;SG
hvad	چی	hvad	چه	PRO;SG	ADV
hvad	چه	hvad	چه	PRO;SG	CONJ
kort	نگاشت	kort	نگاشت#گار	ADJ;INDF;SG	N;SG
kort	نقشه	kort	None	ADJ;INDF;SG	N;SG
kort	کوتاهی	kort	کوتاه	ADJ;INDF;SG	N;SG
kort	کارتها	kort	کارت	ADJ;INDF;SG	N;PL
kort	ورق	kort	ورق	ADJ;INDF;SG	N;SG
kort	کارتهای	kort	کارت	ADJ;INDF;SG	N;PL
kort	کارت	kort	کارت	ADJ;INDF;SG	N;SG
kort	ورق	kort	ورق	ADJ;INDF;SG	N;SG
artikler	مقاله	artikel	مقاله	N;INDF;MASC+FEM;PL	N;SG
helt	قهرمان	helt	قهرمان	ADV	N;SG
helt	پهلوان	helt	None	ADV	N;SG
gamle	پیر	gammel	پیر	ADJ;PL	N;SG
gamle	قدیمی	gammel	قدیمی	ADJ;PL	N;SG
gamle	قدمت	gammel	قدمت	ADJ;PL	N;SG
gange	times	gang	times	N;INDF;MASC+FEM;PL	
gange	تایمز	gang	تایمز	N;INDF;MASC+FEM;PL	N;SG
bedste	بهتر	god	به	ADJ;DEF;RL	ADJ;CMPR
bedste	best	god	best	ADJ;DEF;RL	N;SG
døde	مرده	død	مرده	ADJ;PL	N;SG
døde	مردن	død	مردن	ADJ;PL	N;SG
døde	مردگان	død	مرده	ADJ;PL	N;PL
døde	درگذشت	død	در#گذشت#گذر	ADJ;PL	N;SG
amerikanske	امریکایی	amerikansk	None	ADJ;PL	N;SG
amerikanske	امریکن	amerikansk	None	ADJ;PL	N;SG
amerikanske	آمریکن	amerikansk	آمریکن	ADJ;PL	N;SG
tysk	آلمان	tysk	آلمان	ADJ;INDF;SG	N;SG
tysk	آلمانی	tysk	آلمانی	ADJ;INDF;SG	N;SG
meter	متر	meter	متر	N;INDF;MASC+FEM;PL	N;SG
meter	کنتور	meter	کنتور	N;INDF;MASC+FEM;PL	N;SG
meter	متر	meter	متر	N;INDF;MASC+FEM;PL	N;SG
meter	متری	meter	متری	N;INDF;MASC+FEM;PL	N;SG
meter	متر	meter	متر	N;INDF;MASC+FEM;PL	N;SG
meter	متر	meter	متر	N;INDF;MASC+FEM;PL	N;SG
tyskland	آلمان	tyskland	آلمان	PROPN	N;SG
lige	برابر	lige	برابر	ADV	ADP
lige	مساوی	lige	مساوی	ADV	N;SG
spillet	بازی	spille	بازی	V;INDF;SG;PST;V.PTCP	N;SG
spillet	گیم	spille	گیم	V;INDF;SG;PST;V.PTCP	N;SG
peter	پتر	peter	پتر		N;SG
peter	پیتر	peter	پیتر		N;SG
peter	پطرس	peter	پطرس		N;SG
hver	هر	hver	هر	PRO;MASC+FEM;SG	DET
hver	هرکدوم	hver	هرکدوم	PRO;MASC+FEM;SG	N;SG
hver	هریک	hver	هریک	PRO;MASC+FEM;SG	N;SG
ingen	هیچکدام	ingen	هیچکدام	PRO;MASC+FEM;SG	PRO
ingen	هیچکس	ingen	هیچکس	PRO;MASC+FEM;SG	PRO
engelsk	انگلیسی	engelsk	انگلیسی	ADJ;INDF;SG	N;SG
engelsk	english	engelsk	english	ADJ;INDF;SG	N;SG
århundrede	قرنها	århundrede	قرن	N;INDF;NEUT;SG	N;PL
john	جان	john	جان	PROPN	N;SG
john	یوحنا	john	یوحنا	PROPN	N;SG
gift	married	gift	married	ADJ;INDF;SG	N;SG
gift	متاهل	gift	متاهل	ADJ;INDF;SG	N;SG
gift	ازدواج	gift	ازدواج	ADJ;INDF;SG	N;SG
gift	زهر	gift	زهر	ADJ;INDF;SG	N;SG
gift	زهر	gift	زهر	ADJ;INDF;SG	N;SG
gift	مسموم	gift	None	ADJ;INDF;SG	N;SG
forhold	روابط	forhold	رابطه	N;INDF;NEUT;SG	N;PL
forhold	نسبت	forhold	نسبت	N;INDF;NEUT;SG	ADP
spiller	بازیکن	spille	بازیکن	V;IND;PRS;FIN;ACT	N;SG
spiller	پخش	spille	پخش	V;IND;PRS;FIN;ACT	N;SG
kommer	آید	komme	آمد#آ	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS
kommer	آمدن	komme	آمدن	V;IND;PRS;FIN;ACT	N;SG
især	بخصوص	især	بخصوص	ADV	CONJ
kampe	کبریت	kamp	کبریت	N;INDF;MASC+FEM;PL	N;SG
kampe	جنگیدن	kamp	None	N;INDF;MASC+FEM;PL	N;SG
kampe	دعوا	kamp	None	N;INDF;MASC+FEM;PL	N;SG
kampe	بازی	kamp	بازی	N;INDF;MASC+FEM;PL	N;SG
sverige	سوئد	sverig	سوئد	ADJ;PL	N;SG
frankrig	فرانس	frankrig	فرانس		N;SG
frankrig	فرانسه	frankrig	فرانسه		N;SG
ned	فرود	ned	فرود	ADV	N;SG
ned	ند	ned	هست	ADV	V;PL;3;PRS
nogen	یکی	nogen	یک	PRO;MASC+FEM;SG	NUM
nogen	کسی	nogen	کس	PRO;MASC+FEM;SG	N;SG
godt	خوبی	godt	خوبی	ADV	N;SG
godt	good	godt	good	ADV	
godt	خوبش	godt	خوبش	ADV	
begge	هردو	begge	هردو	PRO;PL	
norge	نروژ	norge	نروژ	PROPN	N;SG
europa	اروپای	europa	اروپا	PROPN	N;SG
europa	اروپا	europa	اروپا	PROPN	N;SG
europa	اروپا	europa	اروپا	PROPN	N;SG
england	انگلستان	england	انگلستان	PROPN	N;SG
england	انگلیس	england	انگلیس	PROPN	N;SG
player	بازیکن	play	بازیکن	N;INDF;MASC+FEM;PL	N;SG
lang	لنگ	lang	لنگ	ADJ;INDF;MASC+FEM;SG	N;SG
lang	لانگ	lang	لانگ	ADJ;INDF;MASC+FEM;SG	N;SG
får	گوسفند	få	گوسفند	V;IND;PRS;FIN;ACT	N;SG
får	گوسفندی	få	گوسفندی	V;IND;PRS;FIN;ACT	N;SG
får	شدن	få	شدن	V;IND;PRS;FIN;ACT	N;SG
stort	بیگ	stor	بیگ	ADJ;INDF;NEUT;SG	N;SG
stort	b	stor	b	ADJ;INDF;NEUT;SG	N;SG
stort	بزرگی	stor	بزرگی	ADJ;INDF;NEUT;SG	N;SG
indeholder	حاوی	indeholde	حاوی	V;IND;PRS;FIN;ACT	ADJ
indeholder	حاوی	indeholde	حاوی	V;IND;PRS;FIN;ACT	ADJ
indeholder	حاوی	indeholde	حاوی	V;IND;PRS;FIN;ACT	ADJ
sprog	زبانهای	sprog	زبان	N;INDF;NEUT;SG	N;PL
sprog	زبانها	sprog	زبان	N;INDF;NEUT;SG	N;PL
set	خالدار	se	خالدار	V;INDF;SG;PST;V.PTCP	N;SG
london	لندن	london	لندن	PROPN	N;SG
london	london	london	None	PROPN	N;SG
kendte	معلوم	kende	معلوم	V;IND;PST;FIN;ACT	ADJ
kendte	مشاهیر	kende	مشهور	V;IND;PST;FIN;ACT	N;PL
vest	غربی	vest	غربی	N;INDF	ADJ
vest	غربی	vest	غربی	N;INDF	ADJ
lande	کانتری	land	کان	N;INDF;NEUT;PL	N;SG
lande	کشوری	land	کشوری	N;INDF;NEUT;PL	N;SG
lande	کشور	land	کشور	N;INDF;NEUT;PL	N;SG
lande	مملکت	land	مملکت	N;INDF;NEUT;PL	N;SG
lande	ییلاق	land	ییلاق	N;INDF;NEUT;PL	N;SG
dele	عورت	del	عورت	N;INDF;MASC+FEM;PL	N;SG
fem	فایو	fem	فایو	NUM	N;SG
personer	مردم	person	مردم	N;INDF;MASC+FEM;PL	N;SG
nok	کافیه	nok	کافیه	ADV	N;SG
brugt	صرف	bruge	صرف	V;INDF;SG;PST;V.PTCP	N;SG
hansen	هانسن	hans	هانسن	PROPN	N;SG
hansen	هنسن	hans	هنسن	PROPN	N;SG
album	آلبومهای	album	آلبوم	N;INDF;NEUT;SG	N;PL
næsten	نزدیک	næsten	نزدیک	ADV	ADP
næsten	نمانده	næsten	ماند#مان	ADV	V;SG;3;NEG;V.PTCP
giver	دادن	give	دادن	V;IND;PRS;FIN;ACT	N;SG
giver	نعم	give	نعم	V;IND;PRS;FIN;ACT	
giver	بده	give	داد#ده	V;IND;PRS;FIN;ACT	V;IMP;SG;2
nuværende	جریان	nuværende	جریان	ADJ	N;SG
nuværende	هدیه	nuværende	هدیه	ADJ	N;SG
indbyggere	جمعیت	indbygger	جمعیت	N;INDF;MASC+FEM;PL	N;SG
indbyggere	جمعیتی	indbygger	جمعیتی	N;INDF;MASC+FEM;PL	N;SG
gør	کند	gøre	کرد#کن	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS
gør	بکند	gøre	None	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS
mennesker	بشر	menneske	بشر	N;INDF;NEUT;PL	N;SG
mennesker	مردم	menneske	مردم	N;INDF;NEUT;PL	N;SG
står	قیام	stå	قیام	V;IND;PRS;FIN;ACT	N;SG
står	ایستادن	stå	None	V;IND;PRS;FIN;ACT	N;SG
står	حایل	stå	حا	V;IND;PRS;FIN;ACT	N;SG
imidlertid	هرچند	imidlertid	هرچند	ADV	CONJ
dens	its	dens	its	DET;3	
franske	فرنچ	fransk	فرنچ	ADJ;PL	N;SG
franske	فرانسه	fransk	فرانسه	ADJ;PL	N;SG
franske	فرانسوی	fransk	فرانسوی	ADJ;PL	N;SG
paris	paris	paris	paris	PROPN	N;SG
paris	پاریسی	paris	پاریسی	PROPN	N;SG
paris	پاریس	paris	پاریس	PROPN	N;SG
world	جهان	world	جهان		N;SG
world	دنیا	world	دنیا		N;SG
world	جهانی	world	جهانی		N;SG
fransk	فرنچ	fransk	فرنچ	ADJ;INDF;SG	N;SG
fransk	فرانسه	fransk	فرانسه	ADJ;INDF;SG	N;SG
fransk	فرانسوی	fransk	فرانسوی	ADJ;INDF;SG	N;SG
folk	مردم	folk	مردم	N;INDF;NEUT;PL	N;SG
york	یورک	york	یورک	PROPN	N;SG
ses	ses	se	ses	V;NFIN;PASS	N;SG
langt	دور	langt	دور	ADV	ADP
tiden	time	tid	time	N;DEF;MASC+FEM;SG	
nielsen	نیلسن	nielsen	نیلسن	PROPN	N;SG
#aaa	#aaa	#aaa	#aaa		
jensen	جنسن	jens	جنسن	PROPN	N;SG
solid	توپر	solid	توپر	ADJ;INDF;MASC+FEM;SG	N;SG
solid	جامد	solid	جامد	ADJ;INDF;MASC+FEM;SG	N;SG
små	small	lille	small	ADJ;PL	
små	کوچکی	lille	کوچک	ADJ;PL	N;SG
små	اسمال	lille	اسمال	ADJ;PL	N;SG
små	لیتل	lille	لیتل	ADJ;PL	N;SG
små	کوچولو	lille	کوچولو	ADJ;PL	N;SG
dage	روزگار	dag	روزگار	N;INDF;MASC+FEM;PL	N;SG
aldrig	هیچوقت	aldrig	هیچوقت	ADV	CONJ
aarhus	آرهوس	aarhus	آرهوس	PROPN	N;SG
via	via	via	via	ADP	N;SG
via	طریق	via	طریق	ADP	N;SG
britiske	بریتانیایی	britisk	بریتانی	ADJ;PL	N;SG
britiske	بریتانیا	britisk	None	ADJ;PL	N;SG
henrik	هنریک	henrik	هنریک	PROPN	N;SG
henrik	هنری	henrik	هنری	PROPN	N;SG
henrik	آنری	henrik	آنری	PROPN	N;SG
min	مین	min	مین	DET;MASC+FEM;SG;1	N;SG
min	min	min	min	DET;MASC+FEM;SG;1	N;SG
jan	jan	jan	jan	PROPN	N;SG
jan	یان	jan	یان	PROPN	N;SG
michael	میکائیل	michael	میکائیل		N;SG
michael	مایکل	michael	مایکل		N;SG
engelske	انگلیسی	engelsk	انگلیسی	ADJ;PL	N;SG
engelske	english	engelsk	english	ADJ;PL	N;SG
finde	یافتن	finde	یافتن	V;NFIN;ACT	N;SG
periode	دورهای	periode	دور	N;INDF;MASC+FEM;SG	N;PL
kong	پادشاه	kong	پادشاه		N;SG
kong	کینگ	kong	کینگ		N;SG
kong	شاه	kong	شاه		N;SG
kong	کنگ	kong	کرد#کن		N;SG
kong	انتر	kong	انتر		
kong	کونگ	kong	کونگ		N;SG
thomas	توماس	thomas	None		N;SG
thomas	تامس	thomas	تامس		N;SG
thomas	توما	thomas	توما		N;SG
taget	سقف	tage	سقف	V;INDF;SG;PST;V.PTCP	N;SG
taget	بام	tage	None	V;INDF;SG;PST;V.PTCP	N;SG
instrueret	کارگردانی	instruere	کارگردانی	V;INDF;SG;PST;V.PTCP	N;SG
international	اینترنشنال	international	اینترنشنال	ADJ;INDF;MASC+FEM;SG	N;SG
international	بینالمللی	international	بینالمللی	ADJ;INDF;MASC+FEM;SG	N;SG
international	جهانی	international	جهانی	ADJ;INDF;MASC+FEM;SG	N;SG
internationale	اینترنشنال	international	اینترنشنال	ADJ;PL	N;SG
internationale	بینالمللی	international	بینالمللی	ADJ;PL	N;SG
internationale	جهانی	international	جهانی	ADJ;PL	N;SG
tredje	سومی	tredje	None	ADJ	N;SG
angreb	حملات	angreb	None	N;INDF;NEUT;SG	N;PL
tage	برداشت	tage	برداشت	V;NFIN;ACT	N;SG
perioden	دورهای	periode	دور	N;DEF;MASC+FEM;SG	N;PL
moderne	مدرن	moderne	مدرن	ADJ	N;SG
moderne	امروزی	moderne	امروزی	ADJ	N;SG
moderne	modern	moderne	modern	ADJ	N;SG
moderne	معاصر	moderne	معاصر	ADJ	N;SG
erik	اریک	erik	اریک		N;SG
nordlige	شمالی	nordlig	شمالی	ADJ;PL	N;SG
nordlige	نورث	nordlig	نورث	ADJ;PL	N;SG
nordlige	شمال	nordlig	شمال	ADJ;PL	N;SG
nordlige	شمالی	nordlig	شمالی	ADJ;PL	N;SG
nordlige	شمال	nordlig	شمال	ADJ;PL	N;SG
højde	قد	højde	قد	N;INDF;MASC+FEM;SG	
seks	سیکس	seks	سیکس	NUM	N;SG
direkte	دایرکت	direkte	دایرکت	ADV	N;SG
direkte	direct	direkte	None	ADV	N;SG
sydlige	جنوب	sydlig	جنوب	ADJ;PL	N;SG
sydlige	جنوبی	sydlig	جنوبی	ADJ;PL	N;SG
sydlige	ساوت	sydlig	ساوت	ADJ;PL	N;SG
sydlige	جنوب	sydlig	جنوب	ADJ;PL	N;SG
sydlige	جنوبی	sydlig	جنوبی	ADJ;PL	N;SG
give	فراهم	give	فراهم	V;NFIN;ACT	N;SG
førte	led	føre	led	V;IND;PST;FIN;ACT	N;SG
førte	رفاقت	føre	رفاقت	V;IND;PST;FIN;ACT	N;SG
måske	شایدم	måske	شایدم	ADV	
haft	had	have	had	V;INDF;SG;PST;V.PTCP	
millioner	میلیون	million	میلیون	N;INDF;MASC+FEM;PL	NUM
millioner	میلیونی	million	میلیونی	N;INDF;MASC+FEM;PL	N;SG
millioner	ملیون	million	ملیون	N;INDF;MASC+FEM;PL	N;SG
nåede	رسید	nå	رسید#رس	V;IND;PST;FIN;ACT	N;SG
ser	نگاه	se	نگاه	V;IND;PRS;FIN;ACT	N;SG
ser	نظاره	se	نظاره	V;IND;PRS;FIN;ACT	N;SG
ser	نظاره	se	نظاره	V;IND;PRS;FIN;ACT	N;SG
ser	مراقبه	se	مراقبه	V;IND;PRS;FIN;ACT	N;SG
ser	تماشای	se	تماشا	V;IND;PRS;FIN;ACT	N;SG
yderligere	اضافی	yderligere	None	ADV;CMPR	N;SG
resultat	نتیجۀ	resultat	نتیجۀ	N;INDF;NEUT;SG	
resultat	نتایج	resultat	نتیجه	N;INDF;NEUT;SG	N;PL
resultat	نتایجی	resultat	None	N;INDF;NEUT;SG	N;PL
italien	ایتالیا	italie	ایتالیا	PROPN	N;SG
par	زوجهای	par	زوج	N;INDF;NEUT;SG	N;PL
