של	shel	של	shel	PART;GEN	N;NOM;INDF;MASC+FEM;SG
העיר	ort	העיר	ort	V;MASC;SG;3;PST;ACT	N;NOM;INDF;MASC+FEM;SG
העיר	stad	העיר	stad	V;MASC;SG;3;PST;ACT	N;NOM;INDF;MASC+FEM;SG
העיר	orten	העיר	ort	V;MASC;SG;3;PST;ACT	N;NOM;DEF;MASC+FEM;SG
במהלך	under	במהלך	under	ADV	ADP
כן	ja	כן	ja	ADV	INTJ
כן	ja	כן	ja	ADV	INTJ
שנים	years	שנה	years	N;FEM;PL	N;NOM;INDF;MASC+FEM;SG
שנים	år	שנה	år	N;FEM;PL	N;NOM;INDF;NEUT;SG
אף	näsan	אף	näsan	CONJ	N;NOM;DEF;MASC+FEM;SG
אף	näsa	אף	näsa	CONJ	N;NOM;INDF;MASC+FEM;SG
אף	nos	אף	nos	CONJ	N;NOM;INDF;MASC+FEM;SG
רבים	många	רב	mången	V;MASC;PL;V.PTCP;ACT	PRO;INDF;PL
רבים	plural	רב	plural	V;MASC;PL;V.PTCP;ACT	N;NOM;INDF;NEUT;SG
בה	hennes	ב	hon		PRO;DEF
בה	her	ב	her		N;NOM;INDF;MASC+FEM;SG
בה	henne	ב	hon		PRO;ACC;DEF;MASC+FEM;SG
אין	ingen	None	ingen	ADV;NEG	PRO;INDF;MASC+FEM;SG
אין	inga	None	ingen	ADV;NEG	PRO;INDF;PL
אביב	aviv	אביב	aviv	N;MASC;SG	PROPN;NOM
שנה	åratal	שנה	åratal	N;FEM;SG	N;NOM;INDF;NEUT;PL
שנה	åren	שנה	år	N;FEM;SG	N;NOM;DEF;NEUT;PL
נולד	född	נולד	född	V;MASC;SG;3;PST;MID	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
נולד	born	נולד	born	V;MASC;SG;3;PST;MID	N;NOM;INDF;MASC+FEM;SG
נולד	födda	נולד	född	V;MASC;SG;3;PST;MID	ADJ;NOM;PL;PST;V.PTCP
הערות	noterar	הערה	notera	N;FEM;PL	V;IND;PRS;FIN;ACT
חלק	slät	חלק	släta	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
חלק	jämn	חלק	jämn	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
חלק	slätt	חלק	slätta	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
חלק	smidigt	חלק	smidig	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG
חלק	smidig	חלק	smidig	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
לפני	förut	לפני	förut	ADP	ADV
לפני	innan	לפני	innan	ADP	CONJ
אחת	one	אחת	one	NUM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ביולי	juli	ביולי	juli	PROPN	N;NOM;INDF;MASC+FEM;SG
שוליים	marginella	שול	marginell	N;MASC;PL	ADJ;NOM;PL
שוליים	marginal	שול	marginal	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
באוקטובר	oktober	באוקטובר	oktober	PROPN	N;NOM;INDF;MASC+FEM;SG
באוקטובר	okt	באוקטובר	okt	PROPN	N
בשם	namngivna	בשם	namngiven		ADJ;NOM;PL;PST;V.PTCP
במקום	istället	במקום	istället	ADP	ADV
אותה	her	None	her	PRO;ACC;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
החל	började	None	börja	ADP	V;IND;PST;FIN;ACT
החל	startar	None	starta	ADP	V;IND;PRS;FIN;ACT
החל	börjar	None	börja	ADP	V;IND;PRS;FIN;ACT
הרב	herb	הרב	herb		N;NOM;INDF;MASC+FEM;SG
הרב	örter	הרב	ört		N;NOM;INDF;MASC+FEM;PL
מן	manna	מן	manna	ADP	N;NOM;INDF;MASC+FEM;PL
בינואר	januari	בינואר	januari		N;NOM;INDF;MASC+FEM;SG
במרץ	marsch	במרץ	marsch	PROPN	N;NOM;INDF;MASC+FEM;SG
במרץ	marschera	במרץ	marschera	PROPN	V;IMP;FIN;ACT
במרץ	march	במרץ	march	PROPN	N;NOM;INDF;MASC+FEM;SG
במרץ	demonstrationståg	במרץ	demonstrationståg	PROPN	N;NOM;INDF;NEUT;SG
במרץ	mars	במרץ	mars	PROPN	N;NOM;INDF;MASC+FEM;SG
ראש	rusa	ראש	rusa	N;MASC;SG	V;IMP;FIN;ACT
חיים	life	חיים	life	PROPN	N;NOM;INDF;MASC+FEM;SG
חיים	livet	חיים	liv	PROPN	N;NOM;DEF;NEUT;SG
חיים	livstid	חיים	livstid	PROPN	N;NOM;INDF;MASC+FEM;SG
חיים	liv	חיים	liv	PROPN	N;NOM;INDF;NEUT;SG
חיים	chaim	חיים	chaim	PROPN	PROPN;NOM
חיים	haim	חיים	haim	PROPN	PROPN;NOM
המאה	sekel	המאה	sekel		N;NOM;INDF;NEUT;SG
המאה	århundrade	המאה	århundrad		N;NOM;INDF;NEUT;SG
המאה	århundradet	המאה	århundrad		N;NOM;DEF;NEUT;SG
בנובמבר	november	בנובמבר	november	ADV	N;NOM;INDF;MASC+FEM;SG
בדצמבר	december	בדצמבר	december	PROPN	N;NOM;INDF;MASC+FEM;SG
לי	lee	ל	lee		PROPN;NOM
בבית	hem	בבית	hem		N;NOM;INDF;NEUT;SG
בבית	hemma	בבית	hemma		ADV
בבית	hemmet	בבית	hem		N;NOM;DEF;NEUT;SG
בבית	home	בבית	home		N;NOM;INDF;NEUT;SG
בפברואר	februari	בפברואר	februari	ADV	N;NOM;INDF;MASC+FEM;SG
אחר	annan	אחר	annan	ADP	ADJ;NOM;INDF;MASC+FEM;SG
אחר	övrig	אחר	övrig	ADP	ADJ;NOM;INDF;MASC+FEM;SG
אחר	övriga	אחר	övrig	ADP	ADJ;NOM;PL
אחר	andra	אחר	annan	ADP	PRO;INDF;PL
אחר	övrigt	אחר	övrigt	ADP	ADJ;NOM;INDF;NEUT;SG
אחר	annat	אחר	annan	ADP	PRO;INDF;NEUT;SG
אחר	else	אחר	else	ADP	N;NOM;INDF;NEUT;SG
בני	benny	בני	benny	PROPN	PROPN;NOM
בני	sonen	בני	son	PROPN	N;NOM;DEF;MASC+FEM;SG
בני	son	בני	son	PROPN	N;NOM;INDF;MASC+FEM;SG
בעיקר	mestadels	בעיקר	mestadel	ADV	N;NOM;INDF;MASC+FEM;SG
שונים	annorlunda	שונה	annorlunda	ADJ;MASC;PL	ADV
שונים	diverse	שונה	diverse	ADJ;MASC;PL	N;NOM;INDF;MASC+FEM;PL
אדם	adam	אדם	adam	N;MASC;SG	PROPN;NOM
אדם	mänskliga	אדם	mänsklig	N;MASC;SG	ADJ;NOM;PL
אדם	mänsklig	אדם	mänsklig	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
אדם	mänskligt	אדם	mänsklig	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG
אדם	man	אדם	man	N;MASC;SG	PRO;NOM;INDF;MASC+FEM;SG
כלל	regeln	כלל	regel	ADV	N;NOM;DEF;MASC+FEM;SG
כלל	regel	כלל	regel	ADV	N;NOM;INDF;MASC+FEM;SG
כלל	härska	כלל	härsk	ADV	V;IMP;FIN;ACT
עוד	more	עוד	more	ADV	
עוד	fler	עוד	mången	ADV	PRO;INDF;PL
דבר	snacka	דבר	snacka	N;MASC;SG	V;IMP;FIN;ACT
דבר	prata	דבר	prata	N;MASC;SG	V;IMP;FIN;ACT
דבר	tala	דבר	tala	N;MASC;SG	V;IMP;FIN;ACT
דבר	talar	דבר	tala	N;MASC;SG	V;IND;PRS;FIN;ACT
אחרים	annan	אחר	annan	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
אחרים	övrig	אחר	övrig	ADJ;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
אחרים	andra	אחר	annan	ADJ;MASC;PL	PRO;INDF;PL
אחרים	övrigt	אחר	övrigt	ADJ;MASC;PL	ADJ;NOM;INDF;NEUT;SG
אחרים	annat	אחר	annan	ADJ;MASC;PL	PRO;INDF;NEUT;SG
אחרים	andra	אחר	annan	ADJ;MASC;PL	PRO;INDF;PL
ספר	boka	ספר	boka	N;MASC;SG	V;IMP;FIN;ACT
ספר	berätta	ספר	berätta	N;MASC;SG	V;IMP;FIN;ACT
נגד	emot	נגד	emot	ADP	ADV
לה	hennes	ל	hon		PRO;DEF
לה	her	ל	her		N;NOM;INDF;MASC+FEM;SG
לה	henne	ל	hon		PRO;ACC;DEF;MASC+FEM;SG
זכה	vunna	זכה	vunna	V;MASC;SG;3;PST;ACT	ADJ;NOM;PL
זכה	won	זכה	won	V;MASC;SG;3;PST;ACT	N;NOM;INDF;NEUT;SG
אחרי	efteråt	אחרי	efteråt	ADP	ADV
אחרי	after	אחרי	after	ADP	N;NOM;INDF;MASC+FEM;SG
אולם	dock	אולם	dock	CONJ	ADV
אולם	emellertid	אולם	emellertid	CONJ	ADV
יום	hume	יום	hume	N;MASC;SG	PROPN;NOM
אלה	ella	אלה	ell	PRO;MASC;PL;3	PROPN;NOM
אלה	gudinna	אלה	gudinn	PRO;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
אלה	gudinnan	אלה	gudinna	PRO;MASC;PL;3	N;NOM;DEF;MASC+FEM;SG
כיום	nuförtiden	כיום	nuförtid	ADV	N;NOM;DEF;MASC+FEM;SG
ירושלים	jerusalem	ירושלים	jerusalem	PROPN	N;NOM;INDF;NEUT;SG
ירושלים	jerusalems	ירושלים	jerusalem	PROPN	N;NOM;INDF;NEUT;SG
המדינה	stat	המדין	stat	V;FEM;SG;3;PST;ACT	N;NOM;INDF;MASC+FEM;SG
המדינה	statliga	המדין	statlig	V;FEM;SG;3;PST;ACT	ADJ;NOM;PL
המדינה	delstat	המדין	delstad	V;FEM;SG;3;PST;ACT	N;NOM;INDF;MASC+FEM;SG
המדינה	statligt	המדין	statlig	V;FEM;SG;3;PST;ACT	ADJ;NOM;INDF;NEUT;SG
מקום	placera	מקום	placera	N;MASC;SG	V;IMP;FIN;ACT
יהודים	judinna	יהודי	judin	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
יהודים	judiskt	יהודי	judisk	N;MASC;PL	ADJ;NOM;INDF;NEUT;SG
יהודים	judiska	יהודי	judisk	N;MASC;PL	ADJ;NOM;PL
יהודים	judisk	יהודי	judisk	N;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
רבות	många	רב	mången	N;FEM;PL	PRO;INDF;PL
כמה	några	כמה	någon	DET;PSSD	DET;INDF;PL
כמה	vissa	כמה	vissa	DET;PSSD	PRO;INDF;PL
כמה	somliga	כמה	somlig	DET;PSSD	PRO;INDF;PL
מטר	fot	מטר	fot	PROPN	N;NOM;INDF;MASC+FEM;SG
מטר	fötterna	מטר	fött	PROPN	N;NOM;DEF;MASC+FEM;PL
מטר	fötter	מטר	fötta	PROPN	N;NOM;INDF;MASC+FEM;PL
מטר	meter	מטר	meter	PROPN	N;NOM;INDF;MASC+FEM;PL
מטר	mätare	מטר	mäta	PROPN	N;NOM;INDF;MASC+FEM;PL
מטר	meter	מטר	meter	PROPN	N;NOM;INDF;MASC+FEM;PL
מטר	mätare	מטר	mäta	PROPN	N;NOM;INDF;MASC+FEM;PL
מטר	meter	מטר	meter	PROPN	N;NOM;INDF;MASC+FEM;PL
מטר	meter	מטר	meter	PROPN	N;NOM;INDF;MASC+FEM;PL
דרך	via	דרך	via		N;NOM;INDF;MASC+FEM;SG
דרך	igenom	דרך	igenom		ADP
דרך	genom	דרך	genom		ADP
דרך	sätt	דרך	sätt		N;NOM;INDF;NEUT;SG
דרך	way	דרך	way		N;NOM;INDF;MASC+FEM;SG
שנת	year	שנה	yea	N;PSSD;FEM;SG	N;NOM;INDF;NEUT;SG
שנת	årsmodell	שנה	årsmodell	N;PSSD;FEM;SG	N;NOM;INDF;MASC+FEM;SG
שנת	året	שנה	år	N;PSSD;FEM;SG	N;NOM;DEF;NEUT;SG
שנת	år	שנה	år	N;PSSD;FEM;SG	N;NOM;INDF;NEUT;SG
יכול	kunde	None	kunna	V;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
יכול	can	None	can	V;MASC;SG;V.PTCP	N;NOM;INDF;MASC+FEM;SG
באמצעות	via	באמצעות	via	ADP	N;NOM;INDF;MASC+FEM;SG
בעלי	maken	בעל	make	N;PSSD;MASC;PL	N;NOM;DEF;MASC+FEM;SG
בעלי	make	בעל	make	N;PSSD;MASC;PL	N;NOM;INDF;MASC+FEM;SG
בשל	mogen	בשל	mogen	ADP	ADJ;NOM;INDF;MASC+FEM;SG
בשל	mogna	בשל	mogen	ADP	ADJ;NOM;PL
בשל	vederbörlig	בשל	vederbörlig	ADP	ADJ;NOM;INDF;MASC+FEM;SG
בשל	due	בשל	due	ADP	N;NOM;INDF;NEUT;SG
פרס	belöna	פרס	belöna	PROPN	V;IMP;FIN;ACT
פרס	belöning	פרס	belöning	PROPN	N;NOM;INDF;MASC+FEM;SG
פרס	pris	פרס	pris	PROPN	N;NOM;INDF;NEUT;SG
פרס	utmärkelse	פרס	utmärkelse	PROPN	N;NOM;INDF;MASC+FEM;SG
פרס	tilldelning	פרס	tilldelning	PROPN	N;NOM;INDF;MASC+FEM;SG
דוד	dodd	דוד	dödd	PROPN	PROPN;NOM
דוד	onkel	דוד	onkel	PROPN	N;NOM;INDF;MASC+FEM;SG
דוד	morbror	דוד	morbro	PROPN	N;NOM;INDF;MASC+FEM;SG
דוד	uncle	דוד	uncle	PROPN	N;NOM;INDF;MASC+FEM;SG
דוד	farbror	דוד	farbro	PROPN	N;NOM;INDF;MASC+FEM;SG
דוד	david	דוד	david	PROPN	PROPN;NOM
בעל	baal	בעל	baal	N;MASC;SG	PROPN;NOM
שלה	hennes	של	hon		PRO;DEF
שלה	hennes	של	hon		PRO;DEF
שלה	her	של	her		N;NOM;INDF;MASC+FEM;SG
שלה	henne	של	hon		PRO;ACC;DEF;MASC+FEM;SG
תחת	ass	תחת	ass	ADP	N;NOM;INDF;NEUT;SG
תחת	häck	תחת	häck	ADP	N;NOM;INDF;MASC+FEM;SG
תחת	rumpa	תחת	rumpa	ADP	N;NOM;INDF;MASC+FEM;SG
תחת	häck	תחת	häck	ADP	N;NOM;INDF;MASC+FEM;SG
תחת	stjärt	תחת	stjärta	ADP	N;NOM;INDF;MASC+FEM;SG
תחת	rumpan	תחת	rumpa	ADP	N;NOM;DEF;MASC+FEM;SG
כתב	skrev	כתב	skriva	N;MASC;SG	V;IMP;PST;FIN;ACT
כתב	skrivit	כתב	skriva	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
עצמו	själv	עצמו	själv	PRO;MASC;SG;3;REFL	ADJ;NOM;INDF;MASC+FEM;SG
הקבוצה	gruppen	הקבוצה	grupp	PROPN	N;NOM;DEF;MASC+FEM;SG
הקבוצה	grupp	הקבוצה	grupp	PROPN	N;NOM;INDF;MASC+FEM;SG
הקבוצה	gruppera	הקבוצה	gruppera	PROPN	V;IMP;FIN;ACT
הערך	värde	הערך	värde		N;NOM;INDF;NEUT;SG
רבי	rabbi	רבי	rabbi	PROPN	PROPN;NOM
רבי	rabbin	רבי	rabbi	PROPN	N;NOM;INDF;MASC+FEM;SG
מי	vilka	מי	vilken	ADV	PRO;INDF;PL
מי	vem	מי	vem	ADV	PRO;INDF;MASC+FEM;SG
מי	who	מי	who	ADV	N;NOM;INDF;NEUT;SG
למרות	fastän	למרות	fastän	ADP	ADV
אחרות	andra	אחר	annan	ADJ;FEM;PL	PRO;INDF;PL
אותם	dom	None	de	PRO;ACC;MASC;PL;3	PRO;NOM;DEF;PL
החברה	företag	החברה	företag	N;FEM;SG	N;NOM;INDF;NEUT;PL
המלחמה	kriga	המלחם	krig	PROPN	V;IMP;FIN;ACT
המלחמה	kriget	המלחם	krig	PROPN	N;NOM;DEF;NEUT;SG
המלחמה	krig	המלחם	krig	PROPN	N;NOM;INDF;NEUT;SG
המלחמה	war	המלחם	war	PROPN	V;IMP;FIN;ACT
שונות	annorlunda	שונה	annorlunda	ADJ;FEM;PL	ADV
שונות	övrigt	שונה	övrigt	ADJ;FEM;PL	ADJ;NOM;INDF;NEUT;SG
שונות	diverse	שונה	diverse	ADJ;FEM;PL	N;NOM;INDF;MASC+FEM;PL
הארץ	jorden	הארץ	jord		N;NOM;DEF;MASC+FEM;SG
הארץ	earth	הארץ	earth		N;NOM;INDF;MASC+FEM;SG
הארץ	jord	הארץ	jord		N;NOM;INDF;MASC+FEM;SG
תאריך	date	תאריך	date	PROPN	N;NOM;INDF;MASC+FEM;SG
תאריך	dejt	תאריך	de	PROPN	N;NOM;INDF;MASC+FEM;SG
תאריך	datum	תאריך	datum	PROPN	N;NOM;INDF;NEUT;SG
תאריך	träff	תאריך	träff	PROPN	N;NOM;INDF;MASC+FEM;SG
עבר	förbi	עבר	förbi	N;MASC;SG	ADV
עבר	förflutet	עבר	förfluten	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
עבר	förflutna	עבר	förfluten	N;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
עבר	flyttade	עבר	flytta	N;MASC;SG	V;IND;PST;FIN;ACT
עבר	flyttat	עבר	flytta	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
עבר	flyttad	עבר	flytta	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
עבר	passerat	עבר	passera	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
עבר	passerade	עבר	passera	N;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
עבר	gått	עבר	gå	N;MASC;SG	V;V.CVB;ACT
אפשר	aktivera	אפשר	aktivera	V	V;IMP;FIN;ACT
אפשר	tillåta	אפשר	tillåta	V	V;IMP;FIN;ACT
אפשר	tillåt	אפשר	tillåt	V	V;IMP;FIN;ACT
נוסף	tillagda	None	tillagd	ADP	ADJ;NOM;PL;PST;V.PTCP
נוסף	tillagt	None	tillägga	ADP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
נוסף	tillagd	None	tillagd	ADP	N;NOM;INDF;MASC+FEM;SG
נוסף	tillsatt	None	tillsatt	ADP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
מרכז	centrala	מרכז	central	N;MASC;SG	ADJ;NOM;PL
מרכז	centralt	מרכז	central	N;MASC;SG	ADV
מרכז	mellersta	מרכז	mellersta	N;MASC;SG	ADJ;NOM;DEF;RL
שימוש	använda	שימוש	använda	N;MASC;SG	V;IMP;FIN;ACT
שימוש	använder	שימוש	använda	N;MASC;SG	V;IND;PRS;FIN;ACT
שימוש	använda	שימוש	använda	N;MASC;SG	V;IMP;FIN;ACT
שימוש	använd	שימוש	använda	N;MASC;SG	V;IMP;FIN;ACT
שיש	marmor	שיש	marma		N;NOM;INDF;MASC+FEM;SG
שיש	marble	שיש	marble		PROPN;NOM
רוב	mest	רוב	mycket	N;MASC;SG	ADV;RL
רוב	råna	רוב	råna	N;MASC;SG	V;IMP;FIN;ACT
רוב	rob	רוב	rob	N;MASC;SG	PROPN;NOM
כולל	inkluderande	כלל	inkludera	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;PRS;V.PTCP
כולל	inbegripet	כלל	inbegrip	V;MASC;SG;V.PTCP;ACT	N;NOM;DEF;NEUT;SG
כולל	inkluderat	כלל	inkludera	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
כולל	inklusive	כלל	inklusive	V;MASC;SG;V.PTCP;ACT	ADP
כולל	inkluderade	כלל	inkludera	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;PL;PST;V.PTCP
כולל	inkluderat	כלל	inkludera	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
כולל	inkluderad	כלל	inkludera	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
גדול	large	גדול	large	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
גדול	stora	גדול	stor	ADJ;MASC;SG	ADJ;NOM;PL
גדול	big	גדול	big	ADJ;MASC;SG	N;NOM;INDF;NEUT;SG
גדול	stora	גדול	stor	ADJ;MASC;SG	ADJ;NOM;PL
גדול	jättebra	גדול	jättebra	ADJ;MASC;SG	N;NOM;INDF;NEUT;SG
גדול	toppen	גדול	topp	ADJ;MASC;SG	N;NOM;DEF;MASC+FEM;SG
ישראלים	israelisk	ישראלי	israelisk	N;MASC;PL	ADJ;NOM;INDF;MASC+FEM;SG
ישראלים	israeliska	ישראלי	israelisk	N;MASC;PL	ADJ;NOM;PL
יהודי	judiskt	יהודי	judisk	N;MASC;SG	ADJ;NOM;INDF;NEUT;SG
יהודי	judiska	יהודי	judisk	N;MASC;SG	ADJ;NOM;PL
יהודי	judisk	יהודי	judisk	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
סוג	snäll	סוג	snäll	N;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
ראשון	söndag	ראשון	söndag	PROPN	N;NOM;INDF;MASC+FEM;SG
ראשון	söndags	ראשון	söndag	PROPN	N;GEN;INDF;MASC+FEM;SG
ראשון	först	ראשון	först	PROPN	ADV
ראשון	första	ראשון	en	PROPN	ADJ;NOM
מידע	upplysningar	מידע	upplysning	N;MASC;SG	N;NOM;INDF;MASC+FEM;PL
מידע	uppgifter	מידע	uppgift	N;MASC;SG	N;NOM;INDF;MASC+FEM;PL
מידע	data	מידע	data	N;MASC;SG	N;NOM;INDF;NEUT;PL
מידע	uppgifter	מידע	uppgift	N;MASC;SG	N;NOM;INDF;MASC+FEM;PL
ערכים	mått	ערך	mått	N;MASC;PL	N;NOM;INDF;NEUT;SG
אנשים	people	איש	people	N;MASC;PL	N;NOM;INDF;MASC+FEM;SG
קובץ	arkiv	קובץ	arkiv	PROPN	N;NOM;INDF;NEUT;SG
קובץ	file	קובץ	file	PROPN	N;NOM;INDF;NEUT;SG
קובץ	fil	קובץ	fil	PROPN	N
צריך	behov	צריך	behov	V;MASC;SG	N;NOM;INDF;NEUT;SG
