של	shel	של	shel	PART;GEN	N;INDF;MASC;SG
בדצמבר	decembrie	בדצמבר	decembrie	PROPN	N;INDF;MASC;SG
לי	lee	ל	lee		PROPN
בבית	casă	בבית	casă		N;INDF;FEM;SG
בבית	acasă	בבית	acasă		ADV
בפברואר	februarie	בפברואר	februarie	ADV	N;INDF;MASC;SG
אלו	aceste	אלו	acest	PRO;PL;3	DET;FEM;PL;3
אחר	altele	אחר	altul	ADP	PRO;FEM;PL;3
אחר	alte	אחר	alt	ADP	DET;FEM;PL;3
אחר	alți	אחר	alt	ADP	DET;MASC;PL;3
בני	beni	בני	beni	PROPN	
בני	benny	בני	benny	PROPN	PROPN
בני	fiule	בני	fiu	PROPN	
בני	fiul	בני	fiu	PROPN	N;DEF;MASC;SG
בני	fiu	בני	fiu	PROPN	N;INDF;MASC;SG
אתר	website	אתר	websit	N;MASC;SG	
אתר	site	אתר	sită	N;MASC;SG	N;INDF;FEM;PL
אתר	eter	אתר	eter	N;MASC;SG	
ללא	fara	ללא	fară	ADP	
שונים	diferit	שונה	diferit	ADJ;MASC;PL	ADJ;INDF;MASC;SG
שונים	diferită	שונה	diferit	ADJ;MASC;PL	ADJ;INDF;FEM;SG
שונים	diferita	שונה	diferita	ADJ;MASC;PL	ADJ;DEF;FEM;SG
אדם	adam	אדם	adăma	N;MASC;SG	PROPN
אדם	umane	אדם	uman	N;MASC;SG	ADJ;INDF;FEM;PL
אדם	umană	אדם	uman	N;MASC;SG	ADJ;INDF;FEM;SG
אדם	uman	אדם	uman	N;MASC;SG	ADJ;INDF;MASC;SG
אדם	man	אדם	man	N;MASC;SG	
כלל	regula	כלל	regulă	ADV	N;DEF;FEM;SG
כלל	regulă	כלל	regulă	ADV	N;INDF;FEM;SG
דבר	vorbim	דבר	vorbi	N;MASC;SG	V;IND;PL;1;PRS;FIN
דבר	vorbește	דבר	vorbi	N;MASC;SG	V;IND;SG;3;PRS;FIN
אחרים	altele	אחר	altul	ADJ;MASC;PL	PRO;FEM;PL;3
אחרים	alte	אחר	alt	ADJ;MASC;PL	DET;FEM;PL;3
אחרים	alți	אחר	alt	ADJ;MASC;PL	DET;MASC;PL;3
אחרים	altele	אחר	altul	ADJ;MASC;PL	PRO;FEM;PL;3
אחרים	altii	אחר	altul	ADJ;MASC;PL	
אחרים	alții	אחר	altul	ADJ;MASC;PL	PRO;MASC;PL;3
ספר	bărbier	ספר	bărbier	N;MASC;SG	
נגד	contra	נגד	contra	ADP	
נגד	impotriva	נגד	impotriva	ADP	N;DEF;FEM;SG
נגד	împotrivă	נגד	împotriva	ADP	
לה	ea	ל	el		PRO;FEM;SG;3
זכה	won	זכה	won	V;MASC;SG;3;PST;ACT	PROPN
זכה	câștigat	זכה	câștiga	V;MASC;SG;3;PST;ACT	ADJ;INDF;MASC;SG
אחרי	dupa	אחרי	dupa	ADP	N;DEF;FEM;SG
הן	au	הוא	avea	PRO;FEM;PL;3	V;PL;3
יום	hume	יום	humă	N;MASC;SG	PROPN
אלה	aceste	אלה	acest	PRO;MASC;PL;3	DET;FEM;PL;3
אלה	ella	אלה	ella	PRO;MASC;PL;3	N;INDF;MASC;SG
אלה	zeita	אלה	zeita	PRO;MASC;PL;3	N;DEF;FEM;SG
אלה	zeiţa	אלה	zeipă	PRO;MASC;PL;3	N;DEF;FEM;SG
ירושלים	ierusalimul	ירושלים	ierusalim	PROPN	N;DEF;MASC;SG
ירושלים	ierusalim	ירושלים	ierusalim	PROPN	N;INDF;MASC;SG
המדינה	stare	המדין	stare	V;FEM;SG;3;PST;ACT	N;INDF;FEM;SG
המדינה	stat	המדין	stat	V;FEM;SG;3;PST;ACT	N;INDF;MASC;SG
המדינה	state	המדין	stat	V;FEM;SG;3;PST;ACT	N;INDF;FEM;PL
המדינה	statul	המדין	stat	V;FEM;SG;3;PST;ACT	N;DEF;MASC;SG
יהודים	evreică	יהודי	evreic	N;MASC;PL	ADJ;INDF;FEM;SG
יהודים	evreu	יהודי	evreu	N;MASC;PL	N;INDF;MASC;SG
יהודים	evreiesc	יהודי	evreiesc	N;MASC;PL	ADJ;INDF;MASC;SG
רבות	multi	רב	mult	N;FEM;PL	
רבות	mulți	רב	mult	N;FEM;PL	PRO;MASC;PL;3
רבות	multe	רב	mult	N;FEM;PL	PRO;FEM;PL;3
כמה	unele	כמה	unul	DET;PSSD	PRO;FEM;PL;3
כמה	unii	כמה	unul	DET;PSSD	PRO;MASC;PL;3
מטר	picioarele	מטר	picior	PROPN	N;DEF;FEM;PL
מטר	picioare	מטר	picior	PROPN	N;INDF;FEM;PL
מטר	metru	מטר	metru	PROPN	N;INDF;MASC;SG
מטר	metri	מטר	metru	PROPN	N;INDF;MASC;PL
מטר	contoare	מטר	contoare	PROPN	N;INDF;FEM;PL
מטר	contor	מטר	contor	PROPN	N;INDF;MASC;SG
מטר	metru	מטר	metru	PROPN	N;INDF;MASC;SG
מטר	metri	מטר	metru	PROPN	N;INDF;MASC;PL
דרך	prin	דרך	prin		ADP;ACC
דרך	way	דרך	way		N;INDF;MASC;SG
שנת	anul	שנה	an	N;PSSD;FEM;SG	N;DEF;MASC;SG
שנת	an	שנה	an	N;PSSD;FEM;SG	N;INDF;MASC;SG
יכול	putea	None	putea	V;MASC;SG;V.PTCP	V;IND;SG;3;IPFV;FIN
יכול	pot	None	putea	V;MASC;SG;V.PTCP	V;IND;PL;3;PRS;FIN
יכול	can	None	can	V;MASC;SG;V.PTCP	
באמצעות	via	באמצעות	via	ADP	
בעלי	soț	בעל	soț	N;PSSD;MASC;PL	N;INDF;MASC;SG
בעלי	soțul	בעל	soț	N;PSSD;MASC;PL	N;DEF;MASC;SG
בעלי	sotul	בעל	sot	N;PSSD;MASC;PL	N;DEF;MASC;SG
בעלי	sot	בעל	sot	N;PSSD;MASC;PL	
יחד	împreuna	יחד	împreuna	ADV	
יחד	impreuna	יחד	impreuna	ADV	
בשל	coaptă	בשל	coaptă	ADP	N;INDF;FEM;SG
בשל	copt	בשל	copt	ADP	N;INDF;MASC;SG
בשל	coapte	בשל	coapte	ADP	N;INDF;FEM;PL
בשל	datorate	בשל	datorat	ADP	ADJ;INDF;FEM;PL
בשל	datorată	בשל	datorat	ADP	ADJ;INDF;FEM;SG
פרס	recompensa	פרס	recompensa	PROPN	N;DEF;FEM;SG
פרס	recompensă	פרס	recompensă	PROPN	N;INDF;FEM;SG
פרס	răsplată	פרס	răsplată	PROPN	N;INDF;FEM;SG
פרס	premiu	פרס	premiu	PROPN	N;INDF;MASC;SG
פרס	premiul	פרס	premiu	PROPN	N;DEF;MASC;SG
פרס	premiu	פרס	premiu	PROPN	N;INDF;MASC;SG
פרס	premiul	פרס	premiu	PROPN	N;DEF;MASC;SG
ראו	rao	ראה	rao	V;PL;3;PST;ACT	N;INDF;MASC;SG
דוד	dodd	דוד	dodd	PROPN	PROPN
דוד	unchiul	דוד	unchi	PROPN	N;DEF;MASC;SG
דוד	unchi	דוד	unchi	PROPN	N;INDF;MASC;SG
דוד	david	דוד	david	PROPN	PROPN
בעל	baal	בעל	baal	N;MASC;SG	PROPN
בעל	sot	בעל	sot	N;MASC;SG	
שלה	ea	של	el		PRO;FEM;SG;3
תחת	ass	תחת	ass	ADP	
תחת	fund	תחת	fund	ADP	N;INDF;MASC;SG
תחת	cur	תחת	cur	ADP	N;INDF;MASC;SG
תחת	fund	תחת	fund	ADP	N;INDF;MASC;SG
תחת	fundul	תחת	fund	ADP	N;DEF;MASC;SG
תחת	cur	תחת	cur	ADP	N;INDF;MASC;SG
תמונה	photo	תמונה	photo	N;FEM;SG	
תמונה	foto	תמונה	foto	N;FEM;SG	
כתב	scria	כתב	scrie	N;MASC;SG	V;IND;SG;3;IPFV;FIN
הקבוצה	grupa	הקבוצה	grupă	PROPN	N;DEF;FEM;SG
הקבוצה	grup	הקבוצה	grup	PROPN	N;INDF;MASC;SG
הקבוצה	grupul	הקבוצה	grup	PROPN	N;DEF;MASC;SG
הקבוצה	grupă	הקבוצה	grupă	PROPN	N;INDF;FEM;SG
הערך	valoare	הערך	valoare		N;INDF;FEM;SG
הערך	valoarea	הערך	valoare		N;DEF;FEM;SG
היום	astazi	היום	astazi	ADV	
רבי	rabbi	רבי	rabbi	PROPN	N;INDF;MASC;SG
רבי	rabinul	רבי	rabin	PROPN	N;DEF;MASC;SG
רבי	rabin	רבי	rabin	PROPN	N;INDF;MASC;SG
מי	cine	מי	cine	ADV	PRO;3
מי	care	מי	care	ADV	PRO;3
למרות	deşi	למרות	deşi	ADP	CONJ;POS
למרות	deși	למרות	deși	ADP	CONJ;POS
למרות	desi	למרות	desi	ADP	
למרות	deşi	למרות	deşi	ADP	CONJ;POS
למרות	deși	למרות	deși	ADP	CONJ;POS
למרות	desi	למרות	desi	ADP	
אחרות	altele	אחר	altul	ADJ;FEM;PL	PRO;FEM;PL;3
אחרות	altii	אחר	altul	ADJ;FEM;PL	
אחרות	alții	אחר	altul	ADJ;FEM;PL	PRO;MASC;PL;3
דה	duh	דה	duh	PROPN	N;INDF;MASC;SG
אותם	ei	None	el	PRO;ACC;MASC;PL;3	PRO;MASC;PL;3
המלחמה	razboi	המלחם	razboi	PROPN	N;INDF;MASC;SG
המלחמה	războiul	המלחם	război	PROPN	N;DEF;MASC;SG
המלחמה	război	המלחם	război	PROPN	N;INDF;MASC;SG
שונות	diferit	שונה	diferit	ADJ;FEM;PL	ADJ;INDF;MASC;SG
שונות	diferită	שונה	diferit	ADJ;FEM;PL	ADJ;INDF;FEM;SG
שונות	diferita	שונה	diferita	ADJ;FEM;PL	ADJ;DEF;FEM;SG
הארץ	earth	הארץ	earth		N
הארץ	pămînt	הארץ	pămînt		N;INDF;MASC;SG
הארץ	pământul	הארץ	pământ		N;DEF;MASC;SG
הארץ	pământ	הארץ	pământ		N;INDF;MASC;SG
תאריך	data	תאריך	dată	PROPN	N;DEF;FEM;SG
תאריך	dată	תאריך	dată	PROPN	N;INDF;FEM;SG
עבר	trecut	עבר	trecut	N;MASC;SG	ADJ;INDF;MASC;SG
עבר	mutate	עבר	muta	N;MASC;SG	ADJ;INDF;FEM;PL
עבר	mutat	עבר	muta	N;MASC;SG	ADJ;INDF;MASC;SG
עבר	mutată	עבר	muta	N;MASC;SG	ADJ;INDF;FEM;SG
אפשר	activează	אפשר	activa	V	V;IND;3;PRS;FIN
אפשר	permite	אפשר	permite	V	V;IND;SG;3;PRS;FIN
אפשר	permit	אפשר	permite	V	V;IND;PL;3;PRS;FIN
נוסף	adăugată	None	adăugat	ADP	ADJ;INDF;FEM;SG
נוסף	adaugat	None	adauga	ADP	ADJ;INDF;MASC;SG
נוסף	adăugate	None	adăuga	ADP	ADJ;INDF;FEM;PL
נוסף	adăugat	None	adăuga	ADP	ADJ;INDF;MASC;SG
מרכז	centrala	מרכז	centrală	N;MASC;SG	ADJ;DEF;FEM;SG
מרכז	centrale	מרכז	centrală	N;MASC;SG	N;INDF;FEM;PL
מרכז	centrală	מרכז	central	N;MASC;SG	ADJ;INDF;FEM;SG
מרכז	central	מרכז	central	N;MASC;SG	ADJ;INDF;MASC;SG
שימוש	folosind	שימוש	folosi	N;MASC;SG	V;V.MSDR
שימוש	utilizând	שימוש	utiliza	N;MASC;SG	V;V.MSDR
שימוש	utilizează	שימוש	utiliza	N;MASC;SG	V;IND;3;PRS;FIN
שימוש	folosește	שימוש	folosi	N;MASC;SG	V;IND;SG;3;PRS;FIN
שיש	marmură	שיש	marmura		N;INDF;FEM;SG
שיש	marmura	שיש	marmura		N;DEF;FEM;SG
כולל	include	כלל	include	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
כולל	inclusiv	כלל	inclusiv	V;MASC;SG;V.PTCP;ACT	ADV
כולל	incluzand	כלל	incluza	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
כולל	inclusă	כלל	include	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;FEM;SG
כולל	inclus	כלל	include	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC;SG
כולל	incluse	כלל	inclus	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;FEM;PL
גדול	mari	גדול	mare	ADJ;MASC;SG	ADJ;INDF;PL
גדול	big	גדול	big	ADJ;MASC;SG	N;INDF;MASC;SG
ישראלים	israelieni	ישראלי	israelian	N;MASC;PL	ADJ;INDF;MASC;PL
ישראלים	israeliene	ישראלי	israelian	N;MASC;PL	ADJ;INDF;FEM;PL
ישראלים	israelian	ישראלי	israelian	N;MASC;PL	ADJ;INDF;MASC;SG
ישראלים	israeliană	ישראלי	israelian	N;MASC;PL	ADJ;INDF;FEM;SG
ישראלים	israelieni	ישראלי	israelian	N;MASC;PL	ADJ;INDF;MASC;PL
יהודי	evreică	יהודי	evreic	N;MASC;SG	ADJ;INDF;FEM;SG
יהודי	evreiesc	יהודי	evreiesc	N;MASC;SG	ADJ;INDF;MASC;SG
סוג	tastează	סוג	tasta	N;MASC;SG	V;IND;3;PRS;FIN
ראשון	duminica	ראשון	duminică	PROPN	N;DEF;FEM;SG
ראשון	duminică	ראשון	duminică	PROPN	N;INDF;FEM;SG
ראשון	rishon	ראשון	rishon	PROPN	PROPN
ראשון	primii	ראשון	prim	PROPN	NUM;DEF;MASC;PL
ראשון	prima	ראשון	prim	PROPN	NUM;DEF;FEM;SG
ראשון	primul	ראשון	prim	PROPN	NUM;DEF;MASC;SG
מידע	info	מידע	info	N;MASC;SG	
מידע	informatii	מידע	informat	N;MASC;SG	N;INDF;FEM;PL
מידע	informaţii	מידע	informah	N;MASC;SG	N;INDF;FEM;PL
מידע	informatii	מידע	informat	N;MASC;SG	N;INDF;FEM;PL
מידע	informații	מידע	informație	N;MASC;SG	N;INDF;FEM;PL
מידע	informaţii	מידע	informah	N;MASC;SG	N;INDF;FEM;PL
מידע	date	מידע	dată	N;MASC;SG	N;INDF;FEM;PL
מידע	datele	מידע	dată	N;MASC;SG	N;DEF;FEM;PL
ערכים	înscrieri	ערך	înscriere	N;MASC;PL	
קובץ	fișierul	קובץ	fișier	PROPN	N;DEF;MASC;SG
קובץ	fişier	קובץ	fişier	PROPN	N;INDF;MASC;SG
קובץ	fișier	קובץ	fișier	PROPN	N;INDF;MASC;SG
קובץ	dosar	קובץ	dosar	PROPN	N;INDF;MASC;SG
חבר	prietene	חבר	prieten	N;MASC;SG	N;INDF;FEM;PL
חבר	iubit	חבר	iubit	N;MASC;SG	ADJ;INDF;MASC;SG
צריך	nevoie	צריך	nevoie	V;MASC;SG	N;INDF;FEM;SG
ויקיפדיה	wikipedia	ויקיפדיה	wikipedia	PROPN	N;DEF;FEM;SG
בת	beth	בת	beth	N;FEM;SG	PROPN
השם	nume	השם	nume		N;INDF
השם	numele	השם	nume		N;DEF;MASC;SG
השם	denumire	השם	denumire		N;INDF;FEM;SG
בתוך	interior	בתוך	interior	ADP	N;INDF;MASC;SG
בתוך	înăuntru	בתוך	înăuntru	ADP	
האדם	persoană	האדם	persoană		N;INDF;FEM;SG
האדם	persoana	האדם	persoană		N;DEF;FEM;SG
מול	mol	מול	mol	ADP	N;INDF;MASC;SG
שלהם	lor	של	lui		DET;3
הכנסת	knesset	הכנסה	knesset	N;PSSD;FEM;SG	PROPN
הכנסת	sinagogă	הכנסה	sinagogă	N;PSSD;FEM;SG	N;INDF;FEM;SG
רבה	rabba	רב	rabba	ADV	
הים	mare	הים	mare		ADJ;INDF;MASC;SG
הים	marea	הים	mare		N;DEF;FEM;SG
השיר	cantec	השיר	cantec	ADV	N;INDF;MASC;SG
השיר	song	השיר	song	ADV	N;INDF;MASC;SG
השיר	melodie	השיר	melodie	ADV	N;INDF;FEM;SG
השיר	cântec	השיר	cântec	ADV	N;INDF;MASC;SG
חדש	noi	חדש	eu	ADJ;MASC;SG	PRO;PL;1
חדש	nouă	חדש	nou	ADJ;MASC;SG	
השלישי	iii	השליש	trei	PROPN	NUM;SG
משה	moise	משה	moi	PROPN	V;IND;SG;3;PST+PRF;FIN
משה	moses	משה	moses	PROPN	PROPN
משה	moshe	משה	mosh	PROPN	PROPN
גרמניה	german	גרמניה	german	PROPN	ADJ;INDF;MASC;SG
גרמניה	germana	גרמניה	germană	PROPN	N;DEF;FEM;SG
גרמניה	germană	גרמניה	germană	PROPN	N;INDF;FEM;SG
גרמניה	germania	גרמניה	germania	PROPN	PROPN
יורק	york	יורק	york	PROPN	PROPN
הממשלה	guvernul	הממשלה	guvern	PROPN	N;DEF;MASC;SG
הממשלה	guvernare	הממשלה	guvernare	PROPN	N;INDF;FEM;SG
הממשלה	guvern	הממשלה	guvern	PROPN	N;INDF;MASC;SG
חיל	corps	חיל	corps	PROPN	N;INDF;MASC;SG
יהודה	yehuda	יהודה	yehudă	PROPN	PROPN
יהודה	iuda	יהודה	iuda	PROPN	N;DEF;FEM;SG
יהודה	judah	יהודה	judah	PROPN	PROPN
יהודה	iuda	יהודה	iuda	PROPN	N;DEF;FEM;SG
מעל	over	מעל	over	ADP	N;INDF;MASC;SG
ארץ	terenuri	ארץ	teren	N;FEM;SG	N;INDF;FEM;PL
ארץ	pamant	ארץ	pamant	N;FEM;SG	
צרפת	franţa	צרפת	frangă	PROPN	PROPN
צרפת	franța	צרפת	franța	PROPN	PROPN
צרפת	franta	צרפת	frantă	PROPN	PROPN
צרפת	france	צרפת	francă	PROPN	N;INDF;MASC;SG
הרבה	loturi	הרבה	lot	ADV	N;INDF;FEM;PL
הרבה	loturile	הרבה	lot	ADV	N;DEF;FEM;PL
הרבה	multi	הרבה	mult	ADV	
הרבה	mulți	הרבה	mult	ADV	PRO;MASC;PL;3
הרבה	multe	הרבה	mult	ADV	PRO;FEM;PL;3
הרבה	much	הרבה	much	ADV	
אתה	ai	הוא	avea	PRO;MASC;SG;2	V;SG;2
נמצא	găsită	נמצא	găsi	V;MASC;SG;V.PTCP;MID	ADJ;INDF;FEM;SG
נמצא	găsite	נמצא	găsi	V;MASC;SG;V.PTCP;MID	ADJ;INDF;FEM;PL
נמצא	găsit	נמצא	găsi	V;MASC;SG;V.PTCP;MID	ADJ;INDF;MASC;SG
טוב	bine	טוב	bine	ADJ;MASC;SG	ADV
אי	insulă	אי	insulă	ADV	N;INDF;FEM;SG
אי	insula	אי	insulă	ADV	N;DEF;FEM;SG
שלושה	trei	שלושה	trei	NUM;MASC;SG	NUM;PL
שלושה	three	שלושה	three	NUM;MASC;SG	N;INDF;MASC;SG
אירופה	europe	אירופה	europă	PROPN	
אירופה	europei	אירופה	europă	PROPN	PROPN;DEF;FEM;SG
אירופה	europa	אירופה	europa	PROPN	PROPN
אירופה	europă	אירופה	europă	PROPN	N;INDF;FEM;SG
אירופה	europa	אירופה	europa	PROPN	PROPN
אירופה	europene	אירופה	european	PROPN	ADJ;INDF;FEM;PL
אירופה	europeană	אירופה	european	PROPN	ADJ;INDF;FEM;SG
אירופה	europeni	אירופה	european	PROPN	ADJ;INDF;MASC;PL
אירופה	european	אירופה	european	PROPN	ADJ;INDF;MASC;SG
המלך	regele	המלך	rege		N;DEF;MASC;SG
