бретань	bretagne	бретання	bretagny	PROPN;INAN;NOM;MASC;SG	
типові	domyślny	тип	domyślny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
типові	domyślnie	тип	domyślnie	ADJ;NOM;PL	ADV
типові	domyślne	тип	domyślny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
типові	domyślne	тип	domyślny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
типові	typowe	тип	typowy	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
типові	typowa	тип	typowy	ADJ;NOM;PL	ADJ;NOM;FEM;SG
типові	typowo	тип	typowo	ADJ;NOM;PL	
типові	typowy	тип	typowy	ADJ;NOM;PL	ADJ;NOM;MASC;SG
співака	singer	співак	singer	N;ANIM;ACC;MASC;SG	
співака	piosenkarz	співак	piosenkarz	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
співака	wokalista	співак	wokalista	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
співака	piosenkarka	співак	piosenkarka	N;ANIM;ACC;MASC;SG	N;NOM;FEM;SG
стрілець	strzelca	стрілець	strzelec	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
золоте	złote	золотий	złoty	ADJ;NOM;NEUT;SG	
золоте	golden	золотий	golden	ADJ;NOM;NEUT;SG	
золоте	złoty	золотий	złoty	ADJ;NOM;NEUT;SG	
золоте	złota	золотий	złoty	ADJ;NOM;NEUT;SG	
латвія	łotwa	латвія	łotwy	PROPN;INAN;NOM;FEM;SG	
латвія	łotwy	латвія	łotwy	PROPN;INAN;NOM;FEM;SG	
латвія	łotwie	латвія	łotwo	PROPN;INAN;NOM;FEM;SG	
серйозні	poważna	серйозний	poważny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
серйозні	poważne	серйозний	poważny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
серйозні	poważny	серйозний	poważny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
спрямування	delegacji	спрямування	delegacja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
присутня	teraźniejszość	присутня	teraźniejszość	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
присутня	obecni	присутня	obecny	ADJ;NOM;FEM;SG	N;NOM;MASC;PL
присутня	prezent	присутня	prezent	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
померлих	zmarłego	померлий	zmarły	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS	N;ACC;MASC;SG
померлих	zmarły	померлий	zemrzeć	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
померлих	zmarli	померлий	zemrzeć	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS	V;PFV;MASC;IND;PL;PST;FIN;ACT
померлих	zmarła	померлий	zemrzeć	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN;ACT
старт	start	старт	start	N;INAN;NOM;MASC;SG	
старт	zacznij	старт	zacząć	N;INAN;NOM;MASC;SG	V;PFV;IMP;SG;2;FIN;ACT
згадував	wspomniano	згадувати	wspomnieć	V;IPFV;MASC;IND;SG;PST;FIN	V;PFV;IND;0;PST;FIN;ACT
згадував	wspomniana	згадувати	wspomnieć	V;IPFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
згадував	wspomniał	згадувати	wspomnieć	V;IPFV;MASC;IND;SG;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
згадував	wspomniany	згадувати	wspomnieć	V;IPFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
тіні	cieni	тінь	cień	N;INAN;NOM;FEM;PL	
тіні	cień	тінь	cień	N;INAN;NOM;FEM;PL	
тіні	cieniowanie	тінь	cieniować	N;INAN;NOM;FEM;PL	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
тан	tang	тан	tang		
тан	tan	тан	tan		
шекспіра	sonety	шекспір	sonet	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
змінено	zmienione	змінити	zmienić	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
змінено	zmieniony	змінити	zmienić	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
змінено	zmodyfikowane	змінити	zmodyfikować	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
змінено	zmienione	змінити	zmienić	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
змінено	zmodyfikowany	змінити	zmodyfikować	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
змінено	modyfikowane	змінити	modyfikować	V;PFV;IND;0;FIN	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
змінено	zmieniony	змінити	zmienić	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
рейх	rzeszy	рій	rzeszyć	N;INAN;NOM;MASC;SG	
есе	esej	есе	esej		N;NOM;MASC;SG
есе	wypracowanie	есе	wypracować		N;NOM;NEUT;SG
есе	ese	есе	ese		
італійською	włoska	італійський	włoski	ADJ;INS;FEM;SG	ADJ;NOM;FEM;SG
італійською	włochy	італійський	włochy	ADJ;INS;FEM;SG	
італійською	włoski	італійський	włoski	ADJ;INS;FEM;SG	
італійською	włoch	італійський	wąć	ADJ;INS;FEM;SG	
італійською	włoskie	італійський	włoski	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG
казка	bajkowe	казка	bajkowy	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
подати	przedstawienia	подати	przedstawienie	V;PFV;NFIN	N;GEN;NEUT;SG
зруйновано	zniszczona	зруйновано	zniszczyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
зруйновано	zniszczone	зруйновано	zniszczyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
зруйновано	zniszczony	зруйновано	zniszczyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
знаменитий	znana	знаменитий	znany	ADJ;NOM;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
знаменитий	znany	знаменитий	znany	ADJ;NOM;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
залізо	żelazna	залізо	żelazny	N;INAN;NOM;NEUT;SG	ADJ;NOM;FEM;SG
залізо	żelaza	залізо	żelazo	N;INAN;NOM;NEUT;SG	
залізо	iron	залізо	iron	N;INAN;NOM;NEUT;SG	
відходів	odpady	відхід	odpad	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
трофей	trophy	трофія	trophy	N;INAN;NOM;MASC;SG	
трофей	trofea	трофія	trofe	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
трофей	trofeum	трофія	trofeum	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
денні	danny	денний	danny	ADJ;NOM;PL	N;NOM;MASC;SG
денні	denny	денний	denny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
тунісу	tunezja	туніс	tunezja	PROPN;INAN;GEN;MASC;SG	
знищили	zniszczona	знищити	zniszczyć	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
знищили	zniszczone	знищити	zniszczyć	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
знищили	zniszczony	знищити	zniszczyć	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
родичі	rodzeństwo	родич	rodzeństwo	N;ANIM;NOM;MASC;PL	N;NOM;NEUT;SG
родичі	rodzeństwa	родич	rodzeństwo	N;ANIM;NOM;MASC;PL	N;NOM;NEUT;SG
родичі	krewnych	родич	krewny	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
рідний	rdzenni	рідний	rdzenny	ADJ;NOM;MASC;SG	N;NOM;MASC;PL
рідний	rodzimy	рідний	rodzić	ADJ;NOM;MASC;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
бачення	wizji	бачення	wizja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
олеся	olesia	олесь	olesia	PROPN;ANIM;NOM;FEM;SG	
іллінойс	illinois	іллінойс	illinois	PROPN;INAN;NOM;MASC;SG	
раси	ras	раса	rasa	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
раси	rasy	раса	rasa	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
казимир	kazimierz	казимир	kazimierz	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
казимир	kazimierz	казимир	kazimierz	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
казимир	kazimierza	казимир	kazimierz	PROPN;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
білка	wiewiórki	білок	wiewiórka	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
чоловіча	samiec	чоловічий	samiec	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
чоловіча	męska	чоловічий	męski	ADJ;NOM;FEM;SG	
чоловіча	mężczyzna	чоловічий	mężczyzna	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
аудіо	audio	аудіо	audio	N;INAN;NOM;NEUT;SG	
аудіо	dźwięk	аудіо	dźwięk	N;INAN;NOM;NEUT;SG	N;ACC;MASC;SG
розділена	dzielone	розділений	dzielić	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
розділена	podział	розділений	podziać	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
розділена	podziel	розділений	podziel	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;PFV;IMP;SG;2;FIN;ACT
розділена	split	розділений	split	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	
дорослі	dorosłe	дорослий	dorosły	ADJ;NOM;PL	V;PFV;NEUT;IND;SG;PST;FIN;ACT
дорослі	dorośli	дорослий	dorosły	ADJ;NOM;PL	V;PFV;MASC;IND;PL;PST;FIN;ACT
дорослі	dorosłych	дорослий	dorosły	ADJ;NOM;PL	ADJ;GEN;MASC;PL
дорослі	dorośli	дорослий	dorosły	ADJ;NOM;PL	V;PFV;MASC;IND;PL;PST;FIN;ACT
дорослі	dorosły	дорослий	dorosnąć	ADJ;NOM;PL	V;PFV;FEM;IND;PL;PST;FIN;ACT
дорослі	dorosłych	дорослий	dorosły	ADJ;NOM;PL	ADJ;GEN;MASC;PL
дорослі	dorosła	дорослий	dorosnąć	ADJ;NOM;PL	V;PFV;FEM;IND;SG;PST;FIN;ACT
перевага	przysługi	перевага	przysługa	N;INAN;NOM;FEM;SG	N;ACC;FEM;PL
перевага	przysługę	перевага	przysługa	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
перевага	przewagę	перевага	przewaga	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
ширину	szerokość	ширина	szerokość	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
ширину	szerokości	ширина	szerokość	N;INAN;ACC;FEM;SG	N;GEN;FEM;SG
отримано	otrzymana	отримати	otrzymać	V;PFV;IND;0;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
отримано	otrzymany	отримати	otrzymać	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
отримано	otrzymane	отримати	otrzymać	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
отримано	odzyskane	отримати	odzyskać	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
експонатів	wystawy	експонат	wystawa	N;INAN;GEN;MASC;PL	N;ACC;FEM;SG
джонні	johny	джонний	johny	PROPN;ANIM;NOM;MASC;SG	
джонні	johnny	джонний	johnny	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
джонні	jonny	джонний	jonny	PROPN;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
сосна	pinus	сосна	pinus	N;INAN;NOM;FEM;SG	
сосна	sosna	сосна	sosna	N;INAN;NOM;FEM;SG	
сосна	pine	сосна	pin	N;INAN;NOM;FEM;SG	
сосна	sosny	сосна	sosna	N;INAN;NOM;FEM;SG	
танець	dance	танець	danka	N;INAN;NOM;MASC;SG	
танець	tańcz	танець	tańczyć	N;INAN;NOM;MASC;SG	V;IPFV;IMP;SG;2;FIN;ACT
орн	orne	орн	orny		
барабани	beczki	барабан	beczka	N;ANIM;NOM;MASC;PL	N;ACC;FEM;PL
наведення	unosić	наведення	unosić	N;INAN;NOM;NEUT;SG	V;IPFV;NFIN;ACT
палата	komory	палата	komora	N;INAN;NOM;FEM;SG	N;ACC;FEM;PL
палата	izbie	палата	izba	N;INAN;NOM;FEM;SG	N;DAT;FEM;SG
знищені	zniszczona	знищений	zniszczyć	ADJ;PFV;NOM;PL;V.PTCP;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
знищені	zniszczone	знищений	zniszczyć	ADJ;PFV;NOM;PL;V.PTCP;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
знищені	zniszczony	знищений	zniszczyć	ADJ;PFV;NOM;PL;V.PTCP;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
симфонія	symphony	симфонія	symphon	N;INAN;NOM;FEM;SG	
цікавий	ciekawie	цікавий	ciekawie	ADJ;NOM;MASC;SG	ADV
трагедія	tragiczne	трагедія	tragiczny	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
трагедія	tragiczna	трагедія	tragiczny	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG
трагедія	tragiczny	трагедія	tragiczny	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
трагедія	tragedii	трагедія	tragedia	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
трагедія	tragedię	трагедія	tragedia	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
бачили	widział	бачити	widzieć	V;IPFV;IND;PL;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
бачили	widziane	бачити	widzieć	V;IPFV;IND;PL;PST;FIN	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
бачили	widziany	бачити	widzieć	V;IPFV;IND;PL;PST;FIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
пацієнтів	pacjenci	пацієнт	pacjent	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
маргарита	margaret	маргарит	margaret	N;ANIM;NOM;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
маргарита	małgorzata	маргарит	małgorzata	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
маргарита	małgorzata	маргарит	małgorzata	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
маргарита	margarita	маргарит	margarit	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
творець	twórcy	творець	twórca	N;ANIM;NOM;MASC;SG	N;NOM;MASC;PL
творець	twórcą	творець	twórca	N;ANIM;NOM;MASC;SG	N;INS;MASC;SG
докази	dowód	доказ	dowód	N;INAN;NOM;MASC;PL	N;ACC;MASC;SG
балки	płaskorzeźby	балка	płaskorzeźba	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
побачили	widział	побачити	widzieć	V;PFV;IND;PL;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
побачили	piły	побачити	pić	V;PFV;IND;PL;PST;FIN	
побачили	piła	побачити	pić	V;PFV;IND;PL;PST;FIN	
ендр	indre	ендр	indry		V;IPFV;IND;SG;PRS;FIN;ACT
священики	księży	священик	ksiądz	N;ANIM;NOM;MASC;PL	
священики	kler	священик	kler	N;ANIM;NOM;MASC;PL	N;NOM;MASC;SG
кейт	kasia	кейт	kasia	PROPN;ANIM;NOM;FEM;SG	N;NOM;FEM;SG
кейт	kate	кейт	kat	PROPN;ANIM;NOM;FEM;SG	
максимович	maksimović	максимович	maksimović	PROPN;ANIM;NOM;MASC;SG	V;IPFV;NFIN;ACT
складність	trudności	складність	trudność	N;INAN;NOM;FEM;SG	N;ACC;FEM;PL
складність	złożoności	складність	złożoność	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
марс	marsie	марс	marsa	PROPN;ANIM;NOM;MASC;SG	
марс	marsa	марс	marsa	PROPN;ANIM;NOM;MASC;SG	
марс	mars	марс	mars	PROPN;ANIM;NOM;MASC;SG	
бтр	btr	бтр	btr		
промінь	wiązki	промінь	wiązka	N;INAN;NOM;MASC;SG	N;ACC;FEM;PL
зима	winter	зима	winter	N;INAN;NOM;FEM;SG	
зима	zimowy	зима	zimowy	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
зима	zimy	зима	zima	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
зима	zimowe	зима	zimowy	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
вирішувати	zdecydować	вирішувати	zdecydować	V;IPFV;NFIN	V;PFV;NFIN;ACT
гельсінкі	helsinkach	гельсінка	helsinka	PROPN;INAN;NOM;FEM;SG	N;DAT;FEM;PL
душ	prysznic	душ	prysznic		N;NOM;MASC;SG
душ	dusz	душ	dusza		
душ	dusze	душ	dusza		N;NOM;FEM;SG
литві	litwy	литво	litwa	PROPN;INAN;NOM;FEM;SG	PROPN;GEN;FEM;SG
литві	litwa	литво	litwa	PROPN;INAN;NOM;FEM;SG	
гост	gost	гост	gost		
вагітності	ciężarna	вагітність	ciężarny	N;INAN;GEN;FEM;SG	ADJ;NOM;FEM;SG
професійні	zawodowe	професійний	zawodowy	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
професійні	zawodowych	професійний	zawodowy	ADJ;NOM;PL	ADJ;GEN;MASC;PL
професійні	profesjonalne	професійний	profesjonalny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
професійні	profesjonalna	професійний	profesjonalny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
професійні	profesjonalny	професійний	profesjonalny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
професійні	profesjonalnie	професійний	profesjonalnie	ADJ;NOM;PL	ADV
спільне	joint	спільний	joint	ADJ;NOM;NEUT;SG	
спільне	wspólnego	спільний	wspólny	ADJ;NOM;NEUT;SG	ADJ;ACC;MASC;SG
спільне	wspólnej	спільний	wspólny	ADJ;NOM;NEUT;SG	ADJ;GEN;FEM;SG
спільне	częste	спільний	częsty	ADJ;NOM;NEUT;SG	
спільне	często	спільний	często	ADJ;NOM;NEUT;SG	ADV
можлива	mozliwe	можливий	mozliwy	ADJ;NOM;FEM;SG	
йосиф	iosif	йосиф	iosif	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ярмарки	targach	ярмарка	targi	N;INAN;NOM;MASC;PL	N;DAT;FEM;PL
меншин	mniejszości	меншина	mniejszość	ADJ;GEN;RL;PL	N;GEN;FEM;SG
бондаренко	bondarenko	бондаренко	bondarenko	PROPN;ANIM;NOM;MASC;SG	
міцність	siłę	міцність	siła	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
міцність	siły	міцність	siła	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
товщина	szerokości	товщина	szerokość	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
товщина	grubości	товщина	grubość	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
атак	napastników	атак	napastnik	N;INAN;GEN;FEM;PL	N;ACC;MASC;PL
піч	kuchenki	піч	kuchenka	N;INAN;NOM;FEM;SG	N;ACC;FEM;PL
пряма	wiersz	пряма	wiersz	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
пряма	linia	пряма	linia	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
пряма	line	пряма	liny	ADJ;NOM;FEM;SG	
пряма	linii	пряма	linia	ADJ;NOM;FEM;SG	N;GEN;FEM;SG
пряма	bezpośredni	пряма	bezpośredni	ADJ;NOM;FEM;SG	
пряма	direct	пряма	direct	ADJ;NOM;FEM;SG	
вказана	wskazał	вказаний	wskazać	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
вказана	wskazała	вказаний	wskazać	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;PFV;FEM;IND;SG;PST;FIN;ACT
вказана	określony	вказаний	określić	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	
вказана	określonych	вказаний	określony	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
вказана	określono	вказаний	określić	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;PFV;IND;0;PST;FIN;ACT
валюти	walutę	валюти	waluta	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
валюти	waluty	валюти	waluta	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
валюти	waluta	валюти	walutać	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
валюти	walut	валюти	walut	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;2;FIN;ACT
валюти	waluty	валюти	waluta	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
вагу	ciężary	вага	ciężar	N;INAN;ACC;FEM;SG	N;NOM;MASC;PL
вагу	ważenia	вага	ważenie	N;INAN;ACC;FEM;SG	N;GEN;NEUT;SG
вагу	ważenie	вага	ważenie	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
вагу	ciężar	вага	ciężar	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
вагу	waga	вага	waga	N;INAN;ACC;FEM;SG	
випустили	zwolnione	випустити	zwolnić	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
випустили	wydane	випустити	wydać	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
випустили	wydany	випустити	wydać	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
випустили	zwolniony	випустити	zwolnić	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
випустили	wydana	випустити	wydać	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
відмовилися	opuszczony	відмовитися	opuszczony	V;PFV;IND;PL;PST;FIN	ADJ;NOM;MASC;SG
відмовилися	porzucona	відмовитися	porzucić	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
відмовилися	porzucony	відмовитися	porzucić	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
відмовилися	porzucone	відмовитися	porzucić	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
відмовилися	opuszczona	відмовитися	opuścić	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
відмовилися	odmówił	відмовитися	odmówić	V;PFV;IND;PL;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
відмовилися	odrzucona	відмовитися	odrzucić	V;PFV;IND;PL;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
відмовилися	odmówił	відмовитися	odmówić	V;PFV;IND;PL;PST;FIN	V;PFV;MASC;IND;SG;PST;FIN;ACT
відмовилися	odmówiła	відмовитися	odmówić	V;PFV;IND;PL;PST;FIN	V;PFV;FEM;IND;SG;PST;FIN;ACT
мостів	mosty	місто	most	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
зелене	zieleń	зелений	zieleń	ADJ;NOM;NEUT;SG	
зелене	zielony	зелений	zielony	ADJ;NOM;NEUT;SG	
зелене	zielono	зелений	zielono	ADJ;NOM;NEUT;SG	
зелене	zielona	зелений	zielony	ADJ;NOM;NEUT;SG	
зелене	zielone	зелений	zielony	ADJ;NOM;NEUT;SG	
гнізда	gniazda	гніздо	gniazda	N;INAN;NOM;NEUT;PL	N;ACC;NEUT;SG
гнізда	gniazda	гніздо	gniazda	N;INAN;NOM;NEUT;PL	N;ACC;NEUT;SG
гнізда	gniazda	гніздо	gniazda	N;INAN;NOM;NEUT;PL	N;ACC;NEUT;SG
гнізда	gniazdo	гніздо	gniazdo	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
гнізда	socket	гніздо	socket	N;INAN;NOM;NEUT;PL	
дистриб	dystrybutorów	дистриб	dystrybutor	N;INAN;NOM;MASC;SG	N;ACC;MASC;PL
дистриб	dystry	дистриб	dystry	N;INAN;NOM;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
експозиція	narażenia	експозиція	narażenie	N;INAN;NOM;FEM;SG	N;GEN;NEUT;SG
