در	drzwi	در	drzwi	ADP	N;NOM;NEUT;PL
دیگر	inne	دیگر	inny	ADV	ADJ;NOM;NEUT;SG
دیگر	pozostał	دیگر	pozostać	ADV	V;PFV;MASC;IND;SG;PST;FIN;ACT
دیگر	inny	دیگر	inny	ADV	ADJ;NOM;MASC;SG
دیگر	kolejny	دیگر	kolejny	ADV	ADJ;ACC;MASC;SG
دیگر	inny	دیگر	inny	ADV	ADJ;NOM;MASC;SG
دیگر	kolejna	دیگر	kolejny	ADV	ADJ;NOM;FEM;SG
دیگر	inne	دیگر	inny	ADV	ADJ;NOM;NEUT;SG
دیگر	pozostał	دیگر	pozostać	ADV	V;PFV;MASC;IND;SG;PST;FIN;ACT
دیگر	inni	دیگر	inny	ADV	ADJ;NOM;MASC;PL
می	majowe	می	majowy		ADJ;NOM;NEUT;SG
می	może	می	móc		V;IPFV;IND;SG;3;PRS;FIN;ACT
می	majowy	می	majowy		ADJ;NOM;MASC;SG
عنوان	opis	عنوان	opis	N;SG	
پیوند	łącze	پیوند	łączyć	N;SG	
پیوند	link	پیوند	link	N;SG	V;PFV;IND;SG;FIN;ACT
پیوند	ogniwo	پیوند	ogniwo	N;SG	
پیوند	połączone	پیوند	połączyć	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
پیوند	powiązane	پیوند	powiązać	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
پیوند	bond	پیوند	bond	N;SG	
پیش	zanim	پیش	zanim	ADP	CONJ
پیش	wcześniej	پیش	wcześnie	ADP	ADV;CMPR
بحث	dyskusje	بحث	dyskusja	N;SG	N;NOM;FEM;PL
بیرون	out	بیرون	out	ADV;ESS	
افراد	people	فرد	peopło	N;PL	
دوره	epoki	دوره	epoka	N;SG	
دوره	era	دوره	era	N;SG	
دهه	dekady	دهه	dekada	N;SG	
دهه	dekad	دهه	dekad	N;SG	
دهه	dekady	دهه	dekada	N;SG	
متر	metrów	متر	metr	N;SG	N;GEN;MASC;PL
متر	liczniki	متر	licznik	N;SG	N;NOM;MASC;PL
متر	metr	متر	metr	N;SG	
متر	metrach	متر	metr	N;SG	N;GEN;MASC;PL
متر	metrów	متر	metr	N;SG	N;GEN;MASC;PL
متر	metr	متر	metr	N;SG	
متر	metrów	متر	metr	N;SG	N;GEN;MASC;PL
هر	dowolny	هر	dowolny	DET	ADJ;NOM;MASC;SG
باشگاه	club	باشگاه	club	N;SG	
باشگاه	gym	باشگاه	gym	N;SG	
شهرهای	gmin	شهر	gmina	N;PL	
شهرهای	gminy	شهر	gmina	N;PL	
دانشگاه	uniwersytety	دانشگاه	uniwersytet	N;SG	N;NOM;MASC;PL
دانشگاه	university	دانشگاه	universit	N;SG	
دانشگاه	studia	دانشگاه	studia	N;SG	N;NOM;NEUT;PL
مورد	case	مورد	cas	N;SG	
ثبت	log	ثبت	log	N;SG	V;IPFV;IMP;SG;2;FIN;ACT
زبان	języki	زبان	język	N;SG	N;NOM;MASC;PL
زبان	języków	زبان	język	N;SG	N;GEN;MASC;PL
زادگان	potomka	زاده	potomek	N;PL	N;ACC;MASC;SG
زادگان	potomek	زاده	potomek	N;PL	N;NOM;MASC;SG
مسکونی	mieszkaniowe	None	mieszkaniowy	N;SG	ADJ;NOM;NEUT;SG
مسکونی	mieszkalnych	None	mieszkalny	N;SG	ADJ;GEN;MASC;PL
کار	pracuj	کار	pracować	N;SG	V;IPFV;IMP;SG;2;FIN;ACT
کار	prace	کار	praca	N;SG	N;NOM;FEM;PL
کار	roboty	کار	robota	N;SG	N;ACC;FEM;PL
کار	pracujący	کار	pracować	N;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
کار	pracujemy	کار	pracować	N;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
روی	roy	رو	roy	ADP	PROPN;NOM;MASC;SG
روی	roya	رو	roya	ADP	N;ACC;MASC;SG
روی	cynku	رو	cynek	ADP	N;GEN;MASC;SG
روی	cynk	رو	cynk	ADP	N;NOM;MASC;SG
صورت	face	صورت	faka	N;SG	
مرکز	centralnego	مرکز	centralny	N;SG	ADJ;ACC;MASC;SG
مرکز	central	مرکز	centrala	N;SG	
مرکز	centralny	مرکز	centralny	N;SG	ADJ;NOM;MASC;SG
مرکز	środkowa	مرکز	środkowy	N;SG	ADJ;NOM;FEM;SG
مرکز	centralne	مرکز	centralny	N;SG	ADJ;NOM;NEUT;SG
مرکز	centralna	مرکز	centralny	N;SG	ADJ;NOM;FEM;SG
مرکز	center	مرکز	center	N;SG	
مرکز	centre	مرکز	centry	N;SG	
زمان	zaman	زمان	zaman	N;SG	
شرکت	korporacje	شرکت	korporacja	N;SG	N;NOM;FEM;PL
شرکت	firmowe	شرکت	firmowy	N;SG	ADJ;NOM;NEUT;SG
شرکت	firmy	شرکت	firma	N;SG	N;NOM;FEM;PL
شرکت	spółka	شرکت	spółka	N;SG	
شرکت	uczestniczyć	شرکت	uczestniczyć	N;SG	V;IPFV;NFIN;ACT
مقاله	wyroby	مقاله	wyrób	N;SG	N;NOM;MASC;PL
مقاله	artykułów	مقاله	artykuł	N;SG	N;GEN;MASC;PL
مقاله	artykuły	مقاله	artykuł	N;SG	N;NOM;MASC;PL
تیم	tim	تیم	ten	N;SG	PROPN;NOM;MASC;SG
تیم	tima	تیم	tima	N;SG	
تیم	team	تیم	team	N;SG	
تیم	drużyny	تیم	drużyna	N;SG	N;ACC;FEM;PL
مرد	man	مرد	mana	N;SG	
انگلیسی	angielski	انگلیسی	angielski	N;SG	ADJ;NOM;MASC;SG
نظر	komentować	نظر	komentować	N;SG	V;IPFV;NFIN;ACT
جهانی	international	جهانی	international	N;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
جهانی	międzynarodowe	جهانی	międzynarodowy	N;SG	ADJ;NOM;NEUT;SG
جهانی	międzynarodowy	جهانی	międzynarodowy	N;SG	ADJ;NOM;MASC;SG
جهانی	międzynarodowych	جهانی	międzynarodowy	N;SG	ADJ;GEN;MASC;PL
جهانی	międzynarodowa	جهانی	międzynarodowy	N;SG	ADJ;NOM;FEM;SG
جهانی	uniwersalne	جهانی	uniwersalny	N;SG	ADJ;NOM;NEUT;SG
جهانی	universal	جهانی	universal	N;SG	
جهانی	uniwersalny	جهانی	uniwersalny	N;SG	ADJ;NOM;MASC;SG
جهانی	powszechnej	جهانی	powszechny	N;SG	ADJ;GEN;FEM;SG
جهانی	powszechne	جهانی	powszechny	N;SG	ADJ;NOM;NEUT;SG
جهانی	globalny	جهانی	globalny	N;SG	ADJ;NOM;MASC;SG
جهانی	global	جهانی	global	N;SG	
جهانی	globalna	جهانی	globalny	N;SG	ADJ;NOM;FEM;SG
جهانی	globalnego	جهانی	globalny	N;SG	ADJ;ACC;MASC;SG
جهانی	globalne	جهانی	globalny	N;SG	ADJ;NOM;NEUT;SG
جهانی	swiat	جهانی	swiat	N;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
جهانی	world	جهانی	world	N;SG	
همچنین	także	همچنین	także	CONJ	PART
همچنین	też	همچنین	też	CONJ	PART
همچنین	również	همچنین	również	CONJ	PART
همچنین	tez	همچنین	tez	CONJ	
همچنین	też	همچنین	też	CONJ	PART
همچنین	too	همچنین	too	CONJ	
همچنین	zbyt	همچنین	zbyt	CONJ	PART
همچنین	podobnie	همچنین	podobnie	CONJ	ADV
زندگی	żyjący	زندگی	żyć	N;SG	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
زندگی	żywe	زندگی	żywy	N;SG	
زندگی	zycie	زندگی	zyt	N;SG	V;IPFV;IND;SG;1;FIN;ACT
زندگی	life	زندگی	lifa	N;SG	
زن	kobiety	زن	kobieta	N;SG	N;NOM;FEM;PL
زن	damskie	زن	damski	N;SG	ADJ;NOM;NEUT;SG
زن	kobiety	زن	kobieta	N;SG	N;NOM;FEM;PL
زیر	niżej	زیر	nisko	ADP	ADV;CMPR
زیر	poniżej	زیر	poniżej	ADP	
آنها	je	آن	on	PRO;PL	PRO;ACC;NEUT;PL;3
آنها	ich	آن	on	PRO;PL	PRO;GEN;MASC;PL;3
آنها	im	آن	on	PRO;PL	PRO;DAT;MASC;PL;3
آنها	oni	آن	on	PRO;PL	PRO;NOM;MASC;PL;3
جوایز	nagród	جایزه	nagroda	N;PL	
جوایز	nagród	جایزه	nagroda	N;PL	
بازی	game	بازی	gam	N;SG	
بازی	gry	بازی	gra	N;SG	
بازی	gra	بازی	grać	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
بازی	mecze	بازی	mecz	N;SG	N;NOM;MASC;PL
بازی	gier	بازی	gier	N;SG	
بازی	gry	بازی	gra	N;SG	
بازی	graj	بازی	graj	N;SG	V;IPFV;IMP;SG;2;FIN;ACT
بازی	zagraj	بازی	zagrać	N;SG	V;PFV;IMP;SG;2;FIN;ACT
بازی	play	بازی	pla	N;SG	
فرانسه	francuski	فرانسه	francuski	N;SG	ADJ;NOM;MASC;SG
فرانسه	francuska	فرانسه	francuski	N;SG	ADJ;NOM;FEM;SG
فرانسه	french	فرانسه	fren	N;SG	
فرانسه	francuskie	فرانسه	francuski	N;SG	ADJ;NOM;NEUT;SG
فرانسه	francji	فرانسه	francja	N;SG	PROPN;GEN;FEM;SG
فرانسه	france	فرانسه	franka	N;SG	PROPN;NOM;MASC;SG
جنگ	war	جنگ	war	N;SG	
باید	musi	بایست#باید	musieć	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
باید	muszą	بایست#باید	musieć	V;NFIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
دست	ręce	دست	ręka	N;SG	N;NOM;FEM;PL
دست	dłonie	دست	dłoń	N;SG	N;NOM;FEM;PL
دست	ręka	دست	ręka	N;SG	
دست	ręka	دست	ręka	N;SG	
شورای	council	شورا	council	N;SG	
های	hai	ها	haić	N;PL	V;IPFV;IND;SG;2;PRS;FIN;ACT
های	hal	ها	hala	N;PL	
توابع	funkcje	توابع	funkcja	N;SG	N;NOM;FEM;PL
کتاب	książki	کتاب	książka	N;SG	N;NOM;FEM;PL
کتاب	księga	کتاب	ksiągać	N;SG	
کتاب	książki	کتاب	książka	N;SG	N;NOM;FEM;PL
کتاب	książek	کتاب	książka	N;SG	N;GEN;FEM;PL
آلمان	niemiecka	آلمان	niemiecki	N;SG	ADJ;NOM;FEM;SG
آلمان	niemcy	آلمان	niemiec	N;SG	PROPN;NOM;MASC;PL
آلمان	niemieckim	آلمان	niemiecki	N;SG	ADJ;INS;MASC;SG
آلمان	niemieckie	آلمان	niemiecki	N;SG	ADJ;NOM;NEUT;SG
آلمان	niemiecki	آلمان	niemiecki	N;SG	ADJ;NOM;MASC;SG
آلمان	niemcami	آلمان	niemiec	N;SG	N;INS;MASC;PL
آلمان	niemcy	آلمان	niemiec	N;SG	PROPN;NOM;MASC;PL
سطح	poziomy	سطح	poziom	N;SG	N;NOM;MASC;PL
سطح	poziomów	سطح	poziom	N;SG	N;GEN;MASC;PL
اصلی	główna	اصلی	główna	ADJ	
اصلی	main	اصلی	main	ADJ	
اصلی	oryginał	اصلی	oryginał	ADJ	N;ACC;MASC;SG
اصلی	podstawowa	اصلی	podstawowy	ADJ	
ساخت	budowa	ساخت	budowa	N;SG	
المپیک	olimpijski	المپیک	olimpijski	N;SG	ADJ;NOM;MASC;SG
المپیک	olympic	المپیک	olympic	N;SG	
المپیک	olimpijskie	المپیک	olimpijski	N;SG	ADJ;NOM;NEUT;SG
المپیک	olimpijskich	المپیک	olimpijski	N;SG	ADJ;GEN;MASC;PL
اول	najpierw	اول	najpierw	ADJ	ADV
دارای	znana	دارا	znany	ADJ	V;IPFV;IND;SG;PRS;FIN;ACT
کند	robi	کرد#کن	robić	V;SBJV;SG;3;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
مرکزی	central	مرکزی	centrala	ADJ	
ایالت	state	ایالت	staty	N;SG	
زنده	żywe	زنده	żywy	ADJ	
زنده	żywy	زنده	żywy	ADJ	
زنده	żyje	زنده	żyć	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
فارسی	perski	فارسی	perski	N;SG	ADJ;NOM;MASC;SG
بین	fasola	بین	fasola	ADP	N;NOM;FEM;SG
بین	bean	بین	bean	ADP	
بین	pomiędzy	بین	pomiędzy	ADP	
انگلستان	anglia	انگلستان	anglia	N;SG	
انگلستان	anglii	انگلستان	anglia	N;SG	
انگلستان	england	انگلستان	england	N;SG	
موسیقی	music	موسیقی	musieć	N;SG	
موسیقی	muzyki	موسیقی	muzyka	N;SG	
گروه	band	گروه	band	N;SG	
جایزه	premia	جایزه	premia	N;SG	
جایزه	premie	جایزه	prema	N;SG	N;NOM;MASC;PL
جایزه	nagrody	جایزه	nagroda	N;SG	N;NOM;FEM;PL
جایزه	nagrody	جایزه	nagroda	N;SG	N;NOM;FEM;PL
بیشتر	większość	بیش	większość	ADJ;CMPR	N;NOM;FEM;SG
بیشتر	najczęściej	بیش	często	ADJ;CMPR	ADV;RL
بیشتر	większości	بیش	większość	ADJ;CMPR	N;GEN;FEM;SG
بیشتر	najbardziej	بیش	bardzo	ADJ;CMPR	ADV;RL
بیشتر	more	بیش	more	ADJ;CMPR	
بیشتر	bardziej	بیش	bardzo	ADJ;CMPR	ADV;CMPR
بیشتر	więcej	بیش	dużo	ADJ;CMPR	ADV;CMPR
جنوبی	południowa	جنوبی	południowy	N;SG	ADJ;NOM;FEM;SG
جنوبی	południowej	جنوبی	południowy	N;SG	ADJ;GEN;FEM;SG
جنوبی	południowe	جنوبی	południowy	N;SG	ADJ;NOM;NEUT;SG
روز	dzien	روز	dzien	N;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
روز	dzienne	روز	dzienny	N;SG	ADJ;NOM;NEUT;SG
جمهوری	republiki	جمهوری	republika	N;SG	
مرگ	death	مرگ	death	N;SG	
داد	dodd	داد#ده	dodd	V;SG;3;PST	PROPN;NOM;MASC;SG
آمریکایی	american	آمریکایی	american	ADJ	
آمریکایی	amerykanin	آمریکایی	amerykanin	ADJ	N;NOM;MASC;SG
نقش	role	نقش	role	N;SG	V;IPFV;IND;SG;PRS;FIN;ACT
منطقه	regiony	منطقه	regić	N;SG	N;NOM;MASC;PL
منطقه	zone	منطقه	zon	N;SG	
منطقه	strefy	منطقه	strefa	N;SG	N;ACC;FEM;PL
منطقه	powiat	منطقه	powiat	N;SG	
بسیار	wielu	بسیار	wiele	ADV	DET;ACC;MASC;PL
بسیار	wiele	بسیار	wiele	ADV	DET;ACC;MASC;PL
بسیار	much	بسیار	much	ADV	
بسیار	wiele	بسیار	wiele	ADV	DET;ACC;MASC;PL
بزرگ	big	بزرگ	big	ADJ	
اروپا	europa	اروپا	europa	N;SG	
روستایی	wiejskich	روستایی	wiejski	N;SG	ADJ;GEN;MASC;PL
روستایی	wiejski	روستایی	wiejski	N;SG	ADJ;NOM;MASC;SG
آمار	statystyki	آمار	statystyka	N;SG	N;NOM;FEM;PL
اشاره	podpowiedź	اشاره	podpowiedź	N;SG	V;IPFV;IMP;SG;2;FIN;ACT
زاده	urodzony	زاده	urodzić	N;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
زاده	urodzona	زاده	urodzić	N;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
زاده	urodzone	زاده	urodzić	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
بریتانیا	brytyjskie	None	brytyjski	N;SG	ADJ;NOM;NEUT;SG
بریتانیا	brytyjska	None	brytyjski	N;SG	ADJ;NOM;FEM;SG
بریتانیا	brytyjski	None	brytyjski	N;SG	ADJ;NOM;MASC;SG
مانند	like	مانند	lik	ADV	
چند	kilka	چند	kilka	ADJ	DET;ACC;MASC;PL
چند	niewielu	چند	niewiele	ADJ	
چند	multi	چند	multa	ADJ	
شمالی	północnej	شمالی	północny	N;SG	ADJ;GEN;FEM;SG
شمالی	north	شمالی	north	N;SG	
شمالی	północna	شمالی	północny	N;SG	
شمالی	północne	شمالی	północny	N;SG	ADJ;NOM;NEUT;SG
شمالی	północnej	شمالی	północny	N;SG	ADJ;GEN;FEM;SG
شمالی	carolina	شمالی	carolina	N;SG	
شمالی	karolina	شمالی	karolin	N;SG	PROPN;NOM;FEM;SG
ایرانی	perski	ایرانی	perski	N;SG	ADJ;NOM;MASC;SG
ایرانی	irani	ایرانی	irani	N;SG	
ایرانی	irański	ایرانی	irański	N;SG	ADJ;NOM;MASC;SG
اطلاعات	info	اطلاع	info	N;PL	
اطلاعات	informacja	اطلاع	informacja	N;PL	N;NOM;FEM;SG
اطلاعات	informacja	اطلاع	informacja	N;PL	N;NOM;FEM;SG
ایجاد	tworzy	ایجاد	tworzyć	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
ایجاد	stwórz	ایجاد	stwórz	N;SG	V;PFV;IMP;SG;2;FIN;ACT
ایجاد	tworzyć	ایجاد	tworzyć	N;SG	V;IPFV;NFIN;ACT
ایجاد	utwórz	ایجاد	utwórzyć	N;SG	V;PFV;IMP;SG;2;FIN;ACT
مالک	malik	مالک	malik	N;SG	PROPN;NOM;MASC;SG
نوع	wpisz	نوع	wpić	N;SG	V;PFV;IMP;SG;2;FIN;ACT
نوع	typ	نوع	typ	N;SG	
مردم	ludzi	مردم	człowiek	N;SG	N;ACC;MASC;PL
مردم	osoby	مردم	osoba	N;SG	N;NOM;FEM;PL
مردم	people	مردم	peopło	N;SG	
مردم	ludzie	مردم	człowiek	N;SG	N;NOM;MASC;PL
دلیل	powody	دلیل	powód	N;SG	N;NOM;MASC;PL
دلیل	powodu	دلیل	powodu	N;SG	ADP
دور	daleki	دور	daleki	ADP	ADJ;NOM;MASC;SG
دور	dalekie	دور	daleki	ADP	ADJ;NOM;NEUT;SG
دور	dala	دور	dala	ADP	
اولین	evelyn	اولین	evelyn	ADJ;RL	PROPN;NOM;FEM;SG
اولین	ewelina	اولین	ewelina	ADJ;RL	PROPN;NOM;FEM;SG
مربوط	istotne	مربوط	istotny	ADJ	
مربوط	pokrewne	مربوط	pokrewny	ADJ	
بار	obciążenia	بار	obciążenie	N;SG	N;NOM;NEUT;PL
بار	barr	بار	barr	N;SG	
شما	ciebie	شما	ty	PRO;PL;2	PRO;GEN;MASC;SG;2
شما	ty	شما	ty	PRO;PL;2	PRO;NOM;MASC;SG;2
شما	twoje	شما	twój	PRO;PL;2	DET;NOM;MASC;SG;2
شما	twój	شما	twój	PRO;PL;2	DET;NOM;MASC;SG;2
شما	twoja	شما	twój	PRO;PL;2	DET;NOM;FEM;SG;2
شما	twojego	شما	twój	PRO;PL;2	DET;GEN;MASC;SG;1
شما	twoim	شما	twój	PRO;PL;2	DET;INS;MASC;SG;2
برابر	równe	برابر	równy	ADP	
برابر	równa	برابر	równać	ADP	V;IPFV;IND;SG;3;PRS;FIN;ACT
برابر	równy	برابر	równy	ADP	
برابر	równi	برابر	równić	ADP	
تولید	generuje	تولید	generować	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
تولید	wygenerować	تولید	wygenerować	N;SG	V;PFV;NFIN;ACT
تولید	generować	تولید	generować	N;SG	V;IPFV;NFIN;ACT
تپه	hill	تپه	hill	N;SG	
تنها	sama	تنها	sam	ADV	ADJ;NOM;FEM;SG
تنها	sam	تنها	sam	ADV	ADJ;NOM;MASC;SG
تنها	tylko	تنها	tylko	ADV	PART
تنها	samotny	تنها	samotny	ADV	ADJ;NOM;MASC;SG
تنها	samotna	تنها	samotny	ADV	ADJ;NOM;FEM;SG
تنها	samotni	تنها	samotnia	ADV	N;NOM;MASC;PL
تنها	samotne	تنها	samotny	ADV	ADJ;NOM;NEUT;SG
تنها	samotność	تنها	samotność	ADV	N;NOM;FEM;SG
علی	ali	علی	ali	N;SG	PROPN;NOM;MASC;SG
شرقی	wschodnie	شرقی	wschodni	N;SG	ADJ;NOM;NEUT;SG
شرقی	east	شرقی	east	N;SG	V;IPFV;IND;SG;PRS;FIN;ACT
شرقی	wschodni	شرقی	wschodni	N;SG	ADJ;NOM;MASC;SG
شرقی	wschodnia	شرقی	wschodnia	N;SG	ADJ;NOM;FEM;SG
شرقی	wschodnie	شرقی	wschodni	N;SG	ADJ;NOM;NEUT;SG
شرقی	wschodni	شرقی	wschodni	N;SG	ADJ;NOM;MASC;SG
شرقی	wschodniej	شرقی	wschodni	N;SG	ADJ;GEN;FEM;SG
شرقی	wschodnia	شرقی	wschodnia	N;SG	ADJ;NOM;FEM;SG
یونسکو	unesco	یونسکو	unesco	N;SG	
یونسکو	witryny	یونسکو	witryna	N;SG	N;GEN;FEM;PL
یونسکو	witryn	یونسکو	witryna	N;SG	N;GEN;FEM;PL
برخی	niektóre	برخی	niektóry	PRO	DET;NOM;MASC;SG
برخی	niektórzy	برخی	niektóry	PRO	DET;NOM;MASC;PL
برخی	trochę	برخی	trochę	PRO	ADV
میان	mian	میان	mieć	ADP	
میان	pomiędzy	میان	pomiędzy	ADP	
جهان	swiat	جهان	swiat	N;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
جهان	world	جهان	world	N;SG	
جام	cup	جام	cup	N;SG	
ها	hmmm	None	hm	N;SG	
کد	code	کرد#کن	cod	N;SG	
کشف	odkryte	کشف	odkryć	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
کشف	odkrył	کشف	odkryć	N;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
کشف	odkryto	کشف	odkryć	N;SG	V;PFV;IND;0;PST;FIN;ACT
کشف	odkryć	کشف	odkryć	N;SG	V;PFV;NFIN;ACT
کشف	discovery	کشف	discover	N;SG	
نشان	odznaka	نشان	odznak	N;SG	
حذف	usuń	حذف	usiń	N;SG	V;PFV;IMP;SG;2;FIN;ACT
حذف	usunąć	حذف	usunąć	N;SG	V;PFV;NFIN;ACT
حذف	usuń	حذف	usiń	N;SG	V;PFV;IMP;SG;2;FIN;ACT
حذف	usunąć	حذف	usunąć	N;SG	V;PFV;NFIN;ACT
تلویزیونی	telewizja	تلویزیونی	telewizja	ADJ	N;NOM;FEM;SG
تلویزیونی	tv	تلویزیونی	TV	ADJ	
تلویزیونی	telewizor	تلویزیونی	telewizor	ADJ	N;NOM;MASC;SG
تلویزیونی	telewizji	تلویزیونی	telewizja	ADJ	N;DAT;FEM;SG
غربی	zachodnia	غربی	zachodni	ADJ	
غربی	west	غربی	wysta	ADJ	
غربی	zachodni	غربی	zachodni	ADJ	N;NOM;MASC;SG
غربی	zachód	غربی	zachód	ADJ	N;NOM;MASC;SG
غربی	zachodnia	غربی	zachodni	ADJ	
غربی	zachodni	غربی	zachodni	ADJ	N;NOM;MASC;SG
غربی	western	غربی	western	ADJ	
گرفته	zrobione	گرفت#گیر	zrobić	V;SG;3;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
گرفته	podjęte	گرفت#گیر	podjąć	V;SG;3;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
دوران	okresy	دوره	okres	N;SG	N;NOM;MASC;PL
دوران	okresów	دوره	okres	N;SG	N;GEN;MASC;PL
دوران	era	دوره	era	N;SG	
دوران	ery	دوره	ery	N;SG	
شامل	dołącz	شامل	dołączyć	ADJ	V;PFV;IMP;SG;2;FIN;ACT
شامل	obejmować	شامل	obejmować	ADJ	V;IPFV;NFIN;ACT
شامل	zawiera	شامل	zawierać	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
شامل	obejmuje	شامل	obejmować	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
