operze	opéra	operz	opéra		N;MASC;SG
oskarżony	accusés	oskarżyć	accuser		V;MASC;PL;PST;V.PTCP
oskarżony	inculpé	oskarżyć	inculper		V;MASC;SG;PST;V.PTCP
oskarżony	accusé	oskarżyć	accuser		V;MASC;SG;PST;V.PTCP
oskarżony	accusée	oskarżyć	accuser		V;FEM;SG;PST;V.PTCP
oskarżony	accusé	oskarżyć	accuser		V;MASC;SG;PST;V.PTCP
oskarżony	défendeur	oskarżyć	défendeur		N;MASC;SG
oskarżony	accusée	oskarżyć	accuser		V;FEM;SG;PST;V.PTCP
got	got	gotować	got		
mezoregionie	méso	mezoregian	méso	N;GEN;MASC;SG	ADJ;MASC;SG
harold	harold	harold	harold	PROPN;NOM;MASC;SG	PROPN
katalonii	catalogne	katalonia	catalogne		N;FEM;SG
kadłub	hull	kadłub	hull	N;ACC;MASC;SG	PROPN
kadłub	coques	kadłub	coque	N;ACC;MASC;SG	N;FEM;PL
zawierał	contenues	zawierać	contenu	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
zawierał	contenaient	zawierać	contenir	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
murowana	murowana	murować	murowana	ADJ;NOM;FEM;SG	PROPN
arkadiusz	arkadiusz	arkadiusz	arkadiusz	PROPN;NOM;MASC;SG	PROPN
pochodząca	originaires	pochodzić	originaire	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;ACT	ADJ;MASC;PL
ustanowiony	établies	ustanowić	établir	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
ustanowiony	établie	ustanowić	établir	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
ustanowiony	établi	ustanowić	établir	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
ustanowiony	établis	ustanowić	établir	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
but	démarrer	but	démarrer		V;NFIN
but	botte	but	botte		N;FEM;SG
but	amorcer	but	amorcer		V;NFIN
but	chaussure	but	chaussure		N;FEM;SG
but	soulier	but	soulier		N;MASC;SG
marion	marion	marion	marion	PROPN;NOM;MASC;SG	PROPN
niemożliwe	impossibles	niemożliwy	impossible	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
emma	emma	emma	emma	PROPN;NOM;FEM;SG	N;FEM;SG
gniazda	nids	gniazda	nid	N;ACC;NEUT;SG	N;MASC;PL
gniazda	nest	gniazda	nest	N;ACC;NEUT;SG	
gniazda	nids	gniazda	nid	N;ACC;NEUT;SG	N;MASC;PL
gniazda	douilles	gniazda	douille	N;ACC;NEUT;SG	N;FEM;PL
lyon	lyonnais	lyon	lyonnais	PROPN;NOM;MASC;SG	N;MASC;SG
lyon	lyon	lyon	lyon	PROPN;NOM;MASC;SG	PROPN
robinson	robinson	robinson	robinson	N;NOM;MASC;SG	PROPN
louise	louise	louis	louise	V;IPFV;IND;SG;2;PRS;FIN;ACT	N;FEM;SG
budżetu	budgétaire	budżet	budgétaire	N;GEN;MASC;SG	ADJ;MASC;SG
dot	dot	dot	dot		N;FEM;SG
sedan	sedan	sedan	sedan		N;MASC;SG
sedan	berline	sedan	berline		N;FEM;SG
heleny	helena	helen	helener	N;GEN;FEM;SG	PROPN
know	connaitre	know	connaître		V;NFIN
know	connaître	know	connaître		V;NFIN
know	sais	know	savoir		INTJ
know	sachez	know	savoir		V;IMP;PL;2;PRS;FIN
know	savoir	know	savoir		V;NFIN
gloria	gloria	gloria	gloria		PROPN
hubert	hubert	hubert	hubert	PROPN;NOM;MASC;SG	N;MASC;SG
iihf	iihf	iihf	iihf		PROPN
porażka	défaites	porażka	défaite	N;NOM;FEM;SG	N;FEM;PL
porażka	vaincre	porażka	vaincre	N;NOM;FEM;SG	V;NFIN
curie	curie	curieć	curie		N;FEM;SG
włączone	incluses	włączyć	inclure	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
włączone	inclus	włączyć	inclure	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
włączone	incluse	włączyć	inclure	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
włączone	compris	włączyć	comprendre	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
włączone	activées	włączyć	activer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
włączone	activés	włączyć	activer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
włączone	activée	włączyć	activer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
włączone	activé	włączyć	activer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
short	courte	short	court		ADJ;FEM;SG
short	court	short	court		ADJ;MASC;SG
short	courts	short	court		ADJ;MASC;PL
short	courtes	short	court		ADJ;FEM;PL
jules	jules	jules	jule	PROPN;NOM;MASC;SG	N;MASC;SG
napoleon	napoléon	napoleon	napoléon		N;MASC;SG
zlokalizowane	situés	zlokalizować	situer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
zlokalizowane	située	zlokalizować	situer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
zlokalizowane	localisé	zlokalizować	localiser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zlokalizowane	situé	zlokalizować	situer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zlokalizowane	localisées	zlokalizować	localiser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
zlokalizowane	localisée	zlokalizować	localiser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
zlokalizowane	localisés	zlokalizować	localiser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
zlokalizowane	localisé	zlokalizować	localiser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zlokalizowane	localisés	zlokalizować	localiser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
zlokalizowane	localisées	zlokalizować	localiser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
zlokalizowane	localisée	zlokalizować	localiser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
zlokalizowane	localisé	zlokalizować	localiser	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
craig	craig	craig	craig	PROPN;NOM;MASC;SG	PROPN
poznać	rencontre	poznać	rencontre	V;PFV;NFIN;ACT	N;FEM;SG
konferencja	conférences	konferencja	conférence	N;NOM;FEM;SG	N;FEM;PL
lloyd	lloyd	lloyd	lloyd	PROPN;NOM;MASC;SG	PROPN
produktu	produit	produkt	produire	N;GEN;MASC;SG	V;MASC;SG;PST;V.PTCP
produktu	produits	produkt	produire	N;GEN;MASC;SG	V;MASC;PL;PST;V.PTCP
judy	judy	judy	judy		PROPN
amy	amy	amy	amy	PROPN;NOM;FEM;SG	PROPN
romans	romantique	romans	romantique	N;NOM;MASC;SG	ADJ;MASC;SG
rolnych	agricole	rolny	agricole	ADJ;GEN;MASC;PL	ADJ;MASC;SG
współpracownicy	associés	współpracownik	associer	N;NOM;MASC;PL	V;MASC;PL;PST;V.PTCP
ofiara	vic	ofiara	vic	N;NOM;FEM;SG	PROPN
ofiara	sacrifices	ofiara	sacrifice	N;NOM;FEM;SG	N;MASC;PL
ofiara	sacrifié	ofiara	sacrifier	N;NOM;FEM;SG	V;MASC;SG;PST;V.PTCP
ofiara	sacrifier	ofiara	sacrifier	N;NOM;FEM;SG	V;NFIN
leonardo	léonard	leonardo	léonard		PROPN
leonardo	leonardo	leonardo	leonardo		PROPN
harrison	harrison	harrison	harrison		PROPN
ice	verglas	icey	verglas		N;MASC;SG
ice	ice	icey	ice		N;MASC;SG
ice	glace	icey	glace		N;FEM;SG
sánchez	sánchez	sánchez	sánc	PROPN;NOM;MASC;SG	PROPN
naturalny	naturelles	naturalny	naturel	ADJ;NOM;MASC;SG	ADJ;FEM;PL
naturalny	naturels	naturalny	naturel	ADJ;NOM;MASC;SG	ADJ;MASC;PL
podobno	supposé	podobno	supposer	PART	V;MASC;SG;PST;V.PTCP
podobno	prétendument	podobno	prétendument	PART	ADV
złożona	composites	złożyć	composite	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;MASC;PL
złożona	composée	złożyć	composer	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
złożona	composées	złożyć	composer	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
złożona	composé	złożyć	composer	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
złożona	complexes	złożyć	complexe	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;MASC;PL
złożona	plié	złożyć	plier	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
złożona	pliés	złożyć	plier	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
złożona	pliée	złożyć	plier	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
niski	basses	niski	bas	ADJ;NOM;MASC;SG	ADJ;FEM;PL
niski	faibles	niski	faible	ADJ;NOM;MASC;SG	ADJ;MASC;PL
zwraca	retours	zwracać	retour	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
maksymalny	maximales	maksymalny	maximal	ADJ;NOM;MASC;SG	ADJ;FEM;PL
jewgienij	yevgeny	jewgień	yevgeny	PROPN;NOM;MASC;SG	PROPN
jewgienij	evgeny	jewgień	evgeny	PROPN;NOM;MASC;SG	PROPN
deportivo	deportivo	deportivo	deportivo	PROPN;NOM;MASC;SG	N;MASC;SG
wcześniejsze	précédentes	wczesny	précédent	ADJ;NOM;CMPR;NEUT;SG	ADJ;FEM;PL
wcześniejsze	précédents	wczesny	précédent	ADJ;NOM;CMPR;NEUT;SG	ADJ;MASC;PL
summer	eté	summer	être		PROPN
summer	été	summer	être		V;MASC;SG;PST;V.PTCP
niedziela	sunday	niedziela	sunday		PROPN
niedziela	dimanches	niedziela	dimanche		N;MASC;PL
niedziela	dimanche	niedziela	dimanche		N;MASC;SG
gorzów	gorzów	gorze	gorzów		PROPN
sporadycznie	occasionnels	sporadycznie	occasionnel	ADV	ADJ;MASC;PL
sporadycznie	occasionnelles	sporadycznie	occasionnel	ADV	ADJ;FEM;PL
sporadycznie	occasionnelle	sporadycznie	occasionnel	ADV	ADJ;FEM;SG
sporadycznie	occasionnel	sporadycznie	occasionnel	ADV	ADJ;MASC;SG
sporadycznie	sporadique	sporadycznie	sporadique	ADV	ADJ;MASC;SG
sporadycznie	sporadiques	sporadycznie	sporadique	ADV	ADJ;MASC;PL
after	after	after	after		PROPN
after	après	after	après		ADP
skrzyżowaniu	carrefours	skrzyżowanie	carrefours	N;DAT;NEUT;SG	N;MASC;PL
budapeszt	budapest	budapeszt	budapest	N;NOM;MASC;SG	PROPN
wady	déficiences	wada	déficience	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	lacunes	wada	lacune	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	carences	wada	carence	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	insuffisances	wada	insuffisance	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	insuffisances	wada	insuffisance	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	faiblesses	wada	faiblesse	V;IPFV;IND;SG;FIN;ACT	N;FEM;PL
wady	défauts	wada	défaut	V;IPFV;IND;SG;FIN;ACT	N;MASC;PL
wady	défauts	wada	défaut	V;IPFV;IND;SG;FIN;ACT	N;MASC;PL
wady	inconvénients	wada	inconvénient	V;IPFV;IND;SG;FIN;ACT	N;MASC;PL
wady	désavantages	wada	désavantage	V;IPFV;IND;SG;FIN;ACT	N;MASC;PL
wady	inconvénient	wada	inconvénient	V;IPFV;IND;SG;FIN;ACT	N;MASC;SG
oryginalne	originaux	oryginalny	original	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
owadów	insecte	owad	insecte	N;GEN;MASC;PL	N;MASC;SG
owadów	insecte	owad	insecte	N;GEN;MASC;PL	N;MASC;SG
human	humaine	human	humain		ADJ;FEM;SG
human	humains	human	humain		ADJ;MASC;PL
human	humain	human	humain		ADJ;MASC;SG
przepływu	flow	przepływ	flow	N;GEN;MASC;SG	PROPN
starożytnych	antiquité	starożytny	antiquité	ADJ;GEN;MASC;PL	N;FEM;SG
starożytnych	ancien	starożytny	ancien	ADJ;GEN;MASC;PL	ADJ;MASC;SG
starożytnych	ancienne	starożytny	ancien	ADJ;GEN;MASC;PL	ADJ;FEM;SG
podręcznik	manual	podręcznik	manual	N;ACC;MASC;SG	PROPN
podręcznik	manuels	podręcznik	manuel	N;ACC;MASC;SG	N;MASC;PL
podręcznik	manuelle	podręcznik	manuelle	N;ACC;MASC;SG	ADJ;FEM;SG
mayer	mayer	mayer	mayer	PROPN;NOM;MASC;SG	PROPN
możliwa	possibles	możliwy	possible	ADJ;NOM;FEM;SG	ADJ;MASC;PL
alonso	alonso	alonso	alonso	N;NOM;MASC;SG	PROPN
collins	collins	collins	collin	PROPN;NOM;MASC;SG	PROPN
turecki	turques	turecka	turc	ADJ;NOM;MASC;SG	ADJ;FEM;PL
turecki	turcs	turecka	turc	ADJ;NOM;MASC;SG	N;MASC;PL
juliana	julian	juliany	julian		PROPN
juliana	julien	juliany	julien		PROPN
juliana	juliana	juliany	juliana		PROPN
dodatkowa	supplémentaires	dodatkowy	supplémentaire	ADJ;NOM;FEM;SG	ADJ;MASC;PL
dodatkowa	supplémentaires	dodatkowy	supplémentaire	ADJ;NOM;FEM;SG	ADJ;MASC;PL
dodatkowa	extra	dodatkowy	extra	ADJ;NOM;FEM;SG	N;MASC;SG
prosta	simple	prosty	simple		ADJ;MASC;SG
prosta	simples	prosty	simple		ADJ;MASC;PL
western	occidentale	western	occidental		ADJ;FEM;SG
western	occidental	western	occidental		ADJ;MASC;SG
western	ouest	western	ouest		N;MASC;SG
western	western	western	western		N;MASC;SG
helen	hélène	helen	hélène	PROPN;NOM;FEM;SG	N;FEM;SG
helen	helen	helen	helen	PROPN;NOM;FEM;SG	PROPN
strój	déguisements	strój	déguisement	N;ACC;MASC;SG	N;MASC;PL
strój	tenues	strój	tenir	N;ACC;MASC;SG	V;FEM;PL;PST;V.PTCP
strój	tenue	strój	tenir	N;ACC;MASC;SG	V;FEM;SG;PST;V.PTCP
klientów	clientèle	klient	clientèle	N;ACC;MASC;PL	N;FEM;SG
norfolk	norfolk	norfolk	norfolk	V;IPFV;IND;SG;PRS;FIN;ACT	PROPN
win	victoire	wina	victoire		N;FEM;SG
win	gagnez	wina	gagner		V;IMP;PL;2;PRS;FIN
win	gagner	wina	gagner		V;NFIN
win	gagnant	wina	gagner		V;PRS;V.PTCP
win	vins	wina	vin		N;MASC;PL
nadzór	superviser	nadzór	superviser	N;NOM;MASC;SG	V;NFIN
mas	mas	mas	mas		N;MASC;SG
klasyczne	classiques	klasyczny	classique	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
klasyczne	classic	klasyczny	classic	ADJ;NOM;NEUT;SG	N;MASC;SG
klasyczne	classiques	klasyczny	classique	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
phoenix	phoenix	phoenik	phoenix	N;NOM;MASC;SG	PROPN
wnętrz	interieur	wnętrz	interieur		ADJ;MASC;SG
wnętrz	intérieur	wnętrz	intérieur		N;MASC;SG
wnętrz	intérieurs	wnętrz	intérieur		ADJ;MASC;PL
wnętrz	intérieurs	wnętrz	intérieur		ADJ;MASC;PL
jelenia	cerf	jeleń	cerf		N;MASC;SG
jelenia	cerf	jeleń	cerf		N;MASC;SG
jelenia	cerfs	jeleń	cerf		N;MASC;PL
jelenia	daim	jeleń	daim		N;MASC;SG
jelenia	biche	jeleń	biche		N;FEM;SG
jelenia	chevreuil	jeleń	chevreuil		N;MASC;SG
euroncap	euroncap	euroncap	euroncap		N;MASC;SG
konfliktów	conflit	konflikt	conflit	N;GEN;MASC;PL	N;MASC;SG
wikicytaty	wikiquote	wikicytat	wikiquote		N;MASC;SG
piersi	poitrine	pierś	poitrine		N;FEM;SG
piersi	thoracique	pierś	thoracique		ADJ;MASC;SG
piersi	torse	pierś	torse		N;MASC;SG
piersi	coffre	pierś	coffre		N;MASC;SG
piersi	seins	pierś	sein		N;MASC;PL
piersi	mammaire	pierś	mammaire		ADJ;FEM;SG
piersi	poitrine	pierś	poitrine		N;FEM;SG
piersi	seins	pierś	sein		N;MASC;PL
piersi	sein	pierś	sein		N;MASC;SG
piersi	mammaire	pierś	mammaire		ADJ;FEM;SG
piersi	seins	pierś	sein		N;MASC;PL
piersi	poitrines	pierś	poitrine		N;FEM;PL
uderzenia	impact	uderzenie	impact	N;NOM;NEUT;PL	N;MASC;SG
uderzenia	incidence	uderzenie	incidence	N;NOM;NEUT;PL	N;FEM;SG
operacje	fonctionnement	operacja	fonctionnement	N;NOM;FEM;PL	N;MASC;SG
operacje	opération	operacja	opération	N;NOM;FEM;PL	N;FEM;SG
kentucky	kentucky	kentucki	kentucky		PROPN
ważna	importantes	ważny	important	ADJ;NOM;FEM;SG	ADJ;FEM;PL
ważna	importants	ważny	important	ADJ;NOM;FEM;SG	ADJ;MASC;PL
ważna	valables	ważny	valable	ADJ;NOM;FEM;SG	ADJ;MASC;PL
ważna	valides	ważny	valide	ADJ;NOM;FEM;SG	ADJ;MASC;PL
agata	agathe	agata	agathe	PROPN;NOM;FEM;SG	PROPN
agata	agatha	agata	agatha	PROPN;NOM;FEM;SG	N;FEM;SG
agata	agata	agata	agata	PROPN;NOM;FEM;SG	PROPN
szanse	hasard	szansa	hasard	N;NOM;FEM;PL	N;MASC;SG
szanse	chance	szansa	chance	N;NOM;FEM;PL	N;FEM;SG
rezygnacji	démissions	rezygnacja	démission	N;GEN;FEM;SG	N;FEM;PL
niezależny	indépendantes	niezależny	indépendant	ADJ;NOM;MASC;SG	ADJ;FEM;PL
niezależny	indépendants	niezależny	indépendant	ADJ;NOM;MASC;SG	ADJ;MASC;PL
niezależny	freelance	niezależny	freelance	ADJ;NOM;MASC;SG	N;FEM;SG
olivier	olivier	olivier	olivier	N;NOM;MASC;SG	PROPN
luigi	luigi	luig	luigi	PROPN;NOM;MASC;SG	PROPN
fritz	fritz	frić	fritz	PROPN;NOM;MASC;SG	PROPN
ron	ron	ron	ron	PROPN;NOM;MASC;SG	PROPN
ncaa	ncaa	ncaa	ncaa		PROPN
włosy	cheveu	włos	cheveu	N;NOM;MASC;PL	N;MASC;SG
włosy	coiffure	włos	coiffure	N;NOM;MASC;PL	N;FEM;SG
starsze	âgées	stary	âgé	ADJ;NOM;CMPR;NEUT;SG	ADJ;FEM;PL
pancerna	panzer	pancerny	panzer	ADJ;NOM;FEM;SG	N;MASC;SG
mieszkalnych	résidentiel	mieszkalny	résidentiel	ADJ;GEN;MASC;PL	ADJ;MASC;SG
mieszkalnych	résidentielle	mieszkalny	résidentiel	ADJ;GEN;MASC;PL	ADJ;FEM;SG
żydowska	juives	żydowski	juif	ADJ;NOM;FEM;SG	ADJ;FEM;PL
żydowska	juifs	żydowski	juif	ADJ;NOM;FEM;SG	N;MASC;PL
ball	boule	ball	boule		N;FEM;SG
ball	ball	ball	ball		PROPN
ball	balle	ball	balle		N;FEM;SG
ball	ballon	ball	ballon		N;MASC;SG
pozytywnie	positive	pozytywnie	positif	ADV	ADJ;FEM;SG
pozytywnie	positives	pozytywnie	positif	ADV	ADJ;FEM;PL
pozytywnie	positif	pozytywnie	positif	ADV	ADJ;MASC;SG
pozytywnie	positifs	pozytywnie	positif	ADV	ADJ;MASC;PL
wątroby	hépatique	wątroba	hépatique		ADJ;MASC;SG
wątroby	foies	wątroba	foie		N;MASC;PL
wątroby	foie	wątroba	foie		N;MASC;SG
wątroby	hépatiques	wątroba	hépatique		ADJ;MASC;PL
wątroby	foies	wątroba	foie		N;MASC;PL
pasy	ceinture	pas	ceinture	N;NOM;MASC;PL	N;FEM;SG
przedstawiony	dépeint	przedstawić	dépeindre	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
przedstawiony	représenté	przedstawić	représenter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
przedstawiony	soumise	przedstawić	soumettre	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
przedstawiony	soumises	przedstawić	soumettre	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
przedstawiony	présenté	przedstawić	présenter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
przedstawiony	soumis	przedstawić	soumettre	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
przedstawiony	présentés	przedstawić	présenter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
przedstawiony	présentées	przedstawić	présenter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
przedstawiony	présentée	przedstawić	présenter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
przedstawiony	présenté	przedstawić	présenter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
girls	filles	girls	fille		N;FEM;PL
potter	potter	potter	potter		PROPN
julien	julien	julien	julien	PROPN;NOM;MASC;SG	PROPN
kalendarza	calendriers	kalendarz	calendrier	N;GEN;MASC;SG	N;MASC;PL
wyborczych	électorale	wyborczy	électoral	ADJ;GEN;MASC;PL	ADJ;FEM;SG
marshall	marshall	marshall	marshall	PROPN;NOM;MASC;SG	ADJ;MASC;SG
znaczący	substantielle	znaczący	substantiel		ADJ;FEM;SG
znaczący	substantiel	znaczący	substantiel		ADJ;MASC;SG
znaczący	significative	znaczący	significatif		ADJ;FEM;SG
znaczący	significatif	znaczący	significatif		ADJ;MASC;SG
znaczący	significative	znaczący	significatif		ADJ;FEM;SG
znaczący	significatif	znaczący	significatif		ADJ;MASC;SG
znaczący	significatifs	znaczący	significatif		ADJ;MASC;PL
autostrady	routes	autostrada	route		N;FEM;PL
autostrady	autoroutes	autostrada	autoroute		N;FEM;PL
autostrady	autoroute	autostrada	autoroute		N;FEM;SG
autostrady	autoroutes	autostrada	autoroute		N;FEM;PL
autostrady	autoroutes	autostrada	autoroute		N;FEM;PL
autostrady	route	autostrada	route		N;FEM;SG
autostrady	autoroute	autostrada	autoroute		N;FEM;SG
autostrady	autoroutes	autostrada	autoroute		N;FEM;PL
morris	morris	morris	morris		PROPN
lipsku	leipzig	lipski	leipzig	N;DAT;NEUT;SG	PROPN
zakupu	achats	zakup	achat	N;GEN;MASC;SG	N;MASC;PL
zakupu	acheter	zakup	acheter	N;GEN;MASC;SG	V;NFIN
zakupu	achetez	zakup	acheter	N;GEN;MASC;SG	V;IMP;PL;2;PRS;FIN
zakupu	achats	zakup	achat	N;GEN;MASC;SG	N;MASC;PL
znaczące	notable	znaczący	notable		ADJ;MASC;SG
znaczące	notables	znaczący	notable		ADJ;MASC;PL
znaczące	remarquable	znaczący	remarquable		ADJ;MASC;SG
znaczące	remarquables	znaczący	remarquable		ADJ;MASC;PL
znaczące	significative	znaczący	significatif		ADJ;FEM;SG
znaczące	significatif	znaczący	significatif		ADJ;MASC;SG
znaczące	significative	znaczący	significatif		ADJ;FEM;SG
znaczące	significatif	znaczący	significatif		ADJ;MASC;SG
znaczące	significatifs	znaczący	significatif		ADJ;MASC;PL
samiec	masculin	samiec	masculin	N;NOM;MASC;SG	ADJ;MASC;SG
lokalizacji	localisations	lokalizacja	localisation	N;GEN;FEM;SG	N;FEM;PL
lokalizacji	lieux	lokalizacja	lieu	N;GEN;FEM;SG	N;MASC;PL
panna	virgo	panna	virgo	N;NOM;FEM;SG	PROPN
panna	vierge	panna	vierge	N;NOM;FEM;SG	ADJ;MASC;SG
