در	porta	در	porta	ADP	N;FEM;SG
دیگر	outro	دیگر	outro	ADV	PRO;MASC;SG
دیگر	outra	دیگر	outro	ADV	PRO;FEM;SG
دیگر	outros	دیگر	outro	ADV	PRO;MASC;PL
دیگر	outras	دیگر	outro	ADV	PRO;FEM;PL
می	may	می	may		N;MASC;SG
می	maio	می	maio		N;MASC;SG
می	pode	می	poder		V;IND;SG;3;PRS;FIN
می	mei	می	mei		N;MASC;SG
پیوند	vinculado	پیوند	vincular	N;SG	V;MASC;SG;V.PTCP
پیوند	ligados	پیوند	ligar	N;SG	V;MASC;PL;V.PTCP
پیوند	ligado	پیوند	ligar	N;SG	V;MASC;SG;V.PTCP
پیوند	ligada	پیوند	ligar	N;SG	V;FEM;SG;V.PTCP
پیش	antes	پیش	antes	ADP	ADV
بحث	discutindo	بحث	discutir	N;SG	V;V.MSDR
بحث	argumentar	بحث	argumentar	N;SG	V;NFIN
بحث	argumentando	بحث	argumentar	N;SG	V;V.MSDR
بحث	discussões	بحث	discussão	N;SG	N;FEM;PL
بیرون	out	بیرون	out	ADV;ESS	N;MASC;SG
افراد	povo	فرد	povo	N;PL	N;MASC;SG
افراد	gente	فرد	gente	N;PL	N;FEM;SG
دهه	décadas	دهه	década	N;SG	N;FEM;PL
متر	contadores	متر	contador	N;SG	N;MASC;PL
متر	metros	متر	metro	N;SG	N;MASC;PL
متر	medidores	متر	medidor	N;SG	N;MASC;PL
متر	metros	متر	metro	N;SG	N;MASC;PL
کاربر	usuários	کاربر	usuário	N;SG	N;MASC;PL
زبان	linguas	زبان	lingua	N;SG	N;FEM;PL
زبان	idiomas	زبان	idiomo	N;SG	N;MASC;PL
زبان	línguas	زبان	língua	N;SG	N;FEM;PL
زادگان	descendente	زاده	descendente	N;PL	N;MASC;SG
مسکونی	residenciais	None	residencial	N;SG	N;MASC;PL
کار	trabalhos	کار	trabalho	N;SG	N;MASC;PL
کار	trabalhar	کار	trabalhar	N;SG	V;NFIN
کار	trabalhe	کار	trabalher	N;SG	V;SBJV;SG;3;PRS;FIN
کار	trabalhando	کار	trabalhar	N;SG	V;V.MSDR
کار	trabalhar	کار	trabalhar	N;SG	V;NFIN
کار	funcionando	کار	funcionar	N;SG	V;V.MSDR
بازیگران	filmando	بازیگر	filmar	N;PL	V;V.MSDR
بازیگران	filmar	بازیگر	filmar	N;PL	V;NFIN
بازیگران	filmagem	بازیگر	filmagem	N;PL	N;FEM;SG
روی	roy	رو	roy	ADP	N;MASC;SG
روی	zinco	رو	zinco	ADP	N;MASC;SG
صورت	face	صورت	face	N;SG	ADV
مرکز	centrais	مرکز	central	N;SG	N;MASC;PL
مرکز	centralizar	مرکز	centralizar	N;SG	V;NFIN
مرکز	centrar	مرکز	centrar	N;SG	V;NFIN
مرکز	centrar	مرکز	centrar	N;SG	V;NFIN
مرکز	centralizar	مرکز	centralizar	N;SG	V;NFIN
شرکت	corporativo	شرکت	corporativo	N;SG	ADJ;MASC;SG
شرکت	empresarial	شرکت	empresarial	N;SG	ADJ;MASC;SG
شرکت	participe	شرکت	participe	N;SG	V;SBJV;SG;3;PRS;FIN
شرکت	participa	شرکت	participar	N;SG	V;IND;SG;3;PRS;FIN
شرکت	participem	شرکت	participar	N;SG	V;SBJV;PL;3;PRS;FIN
شرکت	participar	شرکت	participar	N;SG	V;NFIN
مقاله	artigos	مقاله	artigo	N;SG	N;MASC;PL
نظر	comentem	نظر	comentar	N;SG	V;SBJV;PL;3;PRS;FIN
نظر	comente	نظر	comente	N;SG	V;SBJV;SG;3;PRS;FIN
نظر	comentar	نظر	comentar	N;SG	V;NFIN
نظر	comenta	نظر	comentar	N;SG	V;IND;SG;3;PRS;FIN
جهانی	internacional	جهانی	internacional	N;SG	ADJ;MASC;SG
جهانی	internacionais	جهانی	internacional	N;SG	ADJ;MASC;PL
جهانی	universais	جهانی	universal	N;SG	ADJ;MASC;PL
جهانی	global	جهانی	global	N;SG	ADJ;MASC;SG
جهانی	globais	جهانی	global	N;SG	ADJ;MASC;PL
همچنین	igualmente	همچنین	igualmente	CONJ	ADV
همچنین	também	همچنین	também	CONJ	ADV
همچنین	também	همچنین	também	CONJ	ADV
همچنین	demais	همچنین	demais	CONJ	ADV
زندگی	vivos	زندگی	vivo	N;SG	N;MASC;PL
زندگی	vivendo	زندگی	viver	N;SG	V;V.MSDR
زندگی	viver	زندگی	viver	N;SG	V;NFIN
زن	feminino	زن	feminino	N;SG	ADJ;MASC;SG
زیر	abaixo	زیر	abaixo	ADP	ADV
زیر	under	زیر	under	ADP	N;MASC;SG
آنها	eles	آن	eles	PRO;PL	PRO;NOM;MASC;PL;3
آنها	eles	آن	eles	PRO;PL	PRO;NOM;MASC;PL;3
آنها	elas	آن	ele	PRO;PL	PRO;NOM;FEM;PL;3
هستند	são	هست	ser	V;PL;3;PRS	V;IND;PL;3;PRS;FIN
هستند	estão	هست	estar	V;PL;3;PRS	V;IND;PL;3;PRS;FIN
هستند	are	هست	are	V;PL;3;PRS	N;MASC;SG
جوایز	premiação	جایزه	premiação	N;PL	N;FEM;SG
جوایز	awards	جایزه	award	N;PL	N;MASC;SG
بازی	games	بازی	game	N;SG	N;MASC;PL
بازی	jogos	بازی	jogo	N;SG	N;MASC;PL
بازی	jogar	بازی	jogar	N;SG	V;NFIN
بازی	joga	بازی	jogar	N;SG	V;IND;SG;3;PRS;FIN
بازی	jogue	بازی	joguar	N;SG	V;SBJV;SG;3;PRS;FIN
بازی	reproduzir	بازی	reproduzir	N;SG	V;NFIN
فرانسه	franceses	فرانسه	francês	N;SG	N;MASC;PL
جنگ	guerras	جنگ	guerra	N;SG	N;FEM;PL
باید	mosto	بایست#باید	mosto	V;NFIN	N;MASC;SG
باید	deve	بایست#باید	dever	V;NFIN	V;IND;SG;3;PRS;FIN
باید	must	بایست#باید	must	V;NFIN	N;MASC;SG
دست	mãos	دست	mão	N;SG	N;FEM;PL
دست	armar	دست	armar	N;SG	V;NFIN
های	hai	ها	hai	N;PL	N;MASC;SG
توابع	funções	توابع	função	N;SG	N;FEM;PL
کتاب	reservar	کتاب	reservar	N;SG	V;NFIN
کتاب	livros	کتاب	livro	N;SG	N;MASC;PL
کتاب	livros	کتاب	livro	N;SG	N;MASC;PL
آلمان	alemães	آلمان	alemão	N;SG	N;MASC;PL
سطح	níveis	سطح	nível	N;SG	N;MASC;PL
اصلی	main	اصلی	main	ADJ	N;MASC;SG
اصلی	originais	اصلی	original	ADJ	N;MASC;PL
اصلی	primária	اصلی	primária	ADJ	N;FEM;SG
اصلی	primário	اصلی	primário	ADJ	N;MASC;SG
اصلی	primárias	اصلی	primária	ADJ	N;FEM;PL
اصلی	primários	اصلی	primário	ADJ	N;MASC;PL
ساخت	construções	ساخت	construção	N;SG	N;FEM;PL
المپیک	olímpicos	المپیک	olímpico	N;SG	N;MASC;PL
المپیک	olimpíadas	المپیک	olimpíar	N;SG	N;FEM;PL
اول	primeiramente	اول	primeiramente	ADJ	ADV
اول	primeiro	اول	primeiro	ADJ	ADV
سه	three	سه	three	NUM	N;MASC;SG
دارای	renomado	دارا	renomar	ADJ	V;MASC;SG;V.PTCP
کند	faz	کرد#کن	fazer	V;SBJV;SG;3;PRS	V;IND;SG;3;PRS;FIN
مرکزی	centralizado	مرکزی	centralizar	ADJ	V;MASC;SG;V.PTCP
مرکزی	centrada	مرکزی	centrada	ADJ	V;FEM;SG;V.PTCP
مرکزی	centradas	مرکزی	centrado	ADJ	V;FEM;PL;V.PTCP
مرکزی	centrado	مرکزی	centrar	ADJ	V;MASC;SG;V.PTCP
مرکزی	centrado	مرکزی	centrar	ADJ	V;MASC;SG;V.PTCP
مرکزی	centrada	مرکزی	centrada	ADJ	V;FEM;SG;V.PTCP
مرکزی	centralizado	مرکزی	centralizar	ADJ	V;MASC;SG;V.PTCP
مرکزی	centradas	مرکزی	centrado	ADJ	V;FEM;PL;V.PTCP
مرکزی	centrais	مرکزی	central	ADJ	N;MASC;PL
مرکزی	central	مرکزی	central	ADJ	N;FEM;SG
ایالت	estaduais	ایالت	estadual	N;SG	N;MASC;PL
ایالت	estadual	ایالت	estadual	N;SG	ADJ;MASC;SG
زنده	viva	زنده	vivo	ADJ	N;FEM;SG
زنده	vivos	زنده	vivo	ADJ	N;MASC;PL
زنده	vivas	زنده	viva	ADJ	N;FEM;PL
زنده	vivo	زنده	vivo	ADJ	N;MASC;SG
زنده	alive	زنده	alive	ADJ	N;MASC;SG
فارسی	persas	فارسی	persa	N;SG	N;MASC;PL
بین	feijão	بین	feijão	ADP	N;MASC;SG
بین	bean	بین	bean	ADP	N;MASC;SG
دوم	second	دوم	second	ADJ	N;MASC;SG
دوم	segundo	دوم	segundo	ADJ	ADV
موسیقی	músicas	موسیقی	música	N;SG	N;FEM;PL
گروه	agrupar	گروه	agrupar	N;SG	V;NFIN
بیشتر	most	بیش	most	ADJ;CMPR	N;MASC;SG
بیشتر	mais	بیش	mais	ADJ;CMPR	ADV
بیشتر	more	بیش	more	ADJ;CMPR	N;MASC;SG
جنوبی	sulistas	جنوبی	sulista	N;SG	N;MASC;PL
جنوبی	sulista	جنوبی	sulista	N;SG	ADJ;MASC;SG
جنوبی	meridional	جنوبی	meridional	N;SG	ADJ;MASC;SG
روز	diurno	روز	diurno	N;SG	ADJ;MASC;SG
داد	dodd	داد#ده	dodd	V;SG;3;PST	N;MASC;SG
آمریکایی	americano	آمریکایی	americano	ADJ	N;MASC;SG
آمریکایی	americanos	آمریکایی	americano	ADJ	N;MASC;PL
آمریکایی	american	آمریکایی	american	ADJ	N;MASC;SG
آمریکایی	americana	آمریکایی	americana	ADJ	N;FEM;SG
بسیار	muitos	بسیار	muito	ADV	PRO;MASC;PL
بسیار	muitas	بسیار	muito	ADV	PRO;FEM;PL
بسیار	much	بسیار	much	ADV	N;MASC;SG
اسلامی	islâmica	اسلامی	islâmico	ADJ	N;FEM;SG
اسلامی	islâmicos	اسلامی	islâmico	ADJ	N;MASC;PL
اسلامی	islâmicas	اسلامی	islâmico	ADJ	N;FEM;PL
بزرگ	large	بزرگ	large	ADJ	N;MASC;SG
بزرگ	grandes	بزرگ	grande	ADJ	N;MASC;PL
بزرگ	big	بزرگ	big	ADJ	N;MASC;SG
بزرگ	grandes	بزرگ	grande	ADJ	N;MASC;PL
روستایی	rural	روستایی	rural	N;SG	ADJ;MASC;SG
روستایی	rurais	روستایی	rural	N;SG	N;MASC;PL
آمار	estatísticas	آمار	estatística	N;SG	N;FEM;PL
فعالیت	atividades	فعالیت	atividade	N;SG	N;FEM;PL
زاده	nascido	زاده	nascer	N;SG	V;MASC;SG;V.PTCP
زاده	nascida	زاده	nascer	N;SG	V;FEM;SG;V.PTCP
زاده	nasceu	زاده	nascer	N;SG	V;IND;SG;3;PST;FIN
بریتانیا	britânico	None	britânico	N;SG	ADJ;MASC;SG
بریتانیا	britânicos	None	britânico	N;SG	N;MASC;PL
مانند	like	مانند	like	ADV	N;MASC;SG
مانند	curta	مانند	curto	ADV	ADJ;FEM;SG
چند	poucas	چند	pouco	ADJ	PRO;FEM;PL
چند	poucos	چند	pouco	ADJ	PRO;MASC;PL
چند	multi	چند	multi	ADJ	N;MASC;SG
شمالی	setentrional	شمالی	setentrional	N;SG	ADJ;MASC;SG
آب	águas	آب	água	N;SG	N;FEM;PL
ایرانی	persas	ایرانی	persa	N;SG	N;MASC;PL
ایرانی	iranianos	ایرانی	iraniano	N;SG	N;MASC;PL
اطلاعات	info	اطلاع	info	N;PL	ADJ;FEM;SG
اطلاعات	informação	اطلاع	informação	N;PL	N;FEM;SG
ایجاد	crie	ایجاد	criar	N;SG	V;SBJV;SG;3;PRS;FIN
ایجاد	criar	ایجاد	criar	N;SG	V;NFIN
ایجاد	cria	ایجاد	criar	N;SG	V;IND;SG;3;PRS;FIN
ایجاد	criando	ایجاد	criar	N;SG	V;V.MSDR
ایجاد	criar	ایجاد	criar	N;SG	V;NFIN
ایجاد	construir	ایجاد	construir	N;SG	V;NFIN
امنیت	seguranças	امنیت	segurança	N;SG	N;FEM;PL
نوع	digite	نوع	digitir	N;SG	V;SBJV;SG;3;PRS;FIN
مردم	pessoas	مردم	pessoa	N;SG	N;FEM;PL
دلیل	cause	دلیل	cause	N;SG	V;SBJV;SG;3;PRS;FIN
دور	far	دور	far	ADP	N;MASC;SG
دور	longe	دور	longe	ADP	ADV
دور	away	دور	away	ADP	N;MASC;SG
اولین	evelyn	اولین	evelyn	ADJ;RL	N;FEM;SG
مربوط	relacionados	مربوط	relacionar	ADJ	V;MASC;PL;V.PTCP
مربوط	relacionada	مربوط	relacionar	ADJ	V;FEM;SG;V.PTCP
مربوط	relacionadas	مربوط	relacionar	ADJ	V;FEM;PL;V.PTCP
مربوط	relacionado	مربوط	relacionar	ADJ	V;MASC;SG;V.PTCP
بار	carregar	بار	carregar	N;SG	V;NFIN
شما	tu	شما	tu	PRO;PL;2	INTJ
شما	você	شما	você	PRO;PL;2	PRO;NOM;SG;3
شما	vc	شما	vc	PRO;PL;2	PRO;NOM;MASC;SG;3
شما	seu	شما	seu	PRO;PL;2	DET;MASC;SG
شما	sua	شما	seu	PRO;PL;2	DET;FEM;SG
برابر	iguais	برابر	igual	ADP	ADJ;MASC;PL
برابر	igualar	برابر	igualar	ADP	V;NFIN
برابر	equal	برابر	equal	ADP	N;MASC;SG
برابر	igual	برابر	igual	ADP	N;MASC;SG
برابر	iguais	برابر	igual	ADP	ADJ;MASC;PL
برابر	igual	برابر	igual	ADP	N;MASC;SG
تولید	gerar	تولید	gerar	N;SG	V;NFIN
تولید	gera	تولید	gerar	N;SG	V;IND;SG;3;PRS;FIN
تنها	alone	تنها	alone	ADV	N;MASC;SG
تنها	sozinha	تنها	sozinha	ADV	N;FEM;SG
تنها	sozinho	تنها	sozinho	ADV	ADJ;MASC;SG
تنها	sozinhos	تنها	sozinho	ADV	ADJ;MASC;PL
تنها	solitária	تنها	solitário	ADV	ADJ;FEM;SG
تنها	solidão	تنها	solidão	ADV	N;FEM;SG
تنها	solitário	تنها	solitário	ADV	ADJ;MASC;SG
تنها	solitários	تنها	solitário	ADV	ADJ;MASC;PL
علی	ali	علی	ali	N;SG	ADV
شرقی	orientais	شرقی	oriental	N;SG	N;MASC;PL
شرقی	oriental	شرقی	oriental	N;SG	ADJ;MASC;SG
شرقی	orientais	شرقی	oriental	N;SG	N;MASC;PL
شرقی	oriental	شرقی	oriental	N;SG	ADJ;MASC;SG
یونسکو	sítios	یونسکو	sítio	N;SG	N;MASC;PL
یونسکو	sites	یونسکو	site	N;SG	N;MASC;PL
برخی	algum	برخی	algum	PRO	DET;MASC;SG
میان	mian	میان	mian	ADP	N;MASC;SG
ها	hein	None	hein	N;SG	INTJ
ها	né	None	né	N;SG	INTJ
ها	heim	None	heim	N;SG	INTJ
ها	hummm	None	hummm	N;SG	INTJ
ها	hmmm	None	hmmm	N;SG	INTJ
کشف	descobriram	کشف	descobrir	N;SG	V;IND;PL;3;FIN
کشف	descoberto	کشف	descobrir	N;SG	V;MASC;SG;V.PTCP
کشف	descobertos	کشف	descobrir	N;SG	V;MASC;PL;V.PTCP
کشف	descubra	کشف	descubrar	N;SG	V;SBJV;SG;3;PRS;FIN
کشف	descobre	کشف	descobrir	N;SG	V;IND;SG;3;PRS;FIN
کشف	descobrir	کشف	descobrir	N;SG	V;NFIN
کشف	descubram	کشف	descubrar	N;SG	V;SBJV;PL;3;PRS;FIN
کشف	descobertas	کشف	descobrir	N;SG	V;FEM;PL;V.PTCP
حذف	removendo	حذف	remover	N;SG	V;V.MSDR
حذف	remover	حذف	remover	N;SG	V;NFIN
حذف	excluindo	حذف	excluir	N;SG	V;V.MSDR
حذف	apagar	حذف	apagar	N;SG	V;NFIN
حذف	apagando	حذف	apagar	N;SG	V;V.MSDR
حذف	remova	حذف	removo	N;SG	V;SBJV;SG;3;PRS;FIN
حذف	remover	حذف	remover	N;SG	V;NFIN
حذف	eliminar	حذف	eliminar	N;SG	V;NFIN
حذف	apagar	حذف	apagar	N;SG	V;NFIN
حذف	excluir	حذف	excluir	N;SG	V;NFIN
حذف	apaga	حذف	apagar	N;SG	V;IND;SG;3;PRS;FIN
حذف	eliminar	حذف	eliminar	N;SG	V;NFIN
تلویزیونی	televisão	تلویزیونی	televisão	ADJ	N;FEM;SG
غربی	west	غربی	west	ADJ	N;MASC;SG
غربی	ocidente	غربی	ocidente	ADJ	N;MASC;SG
غربی	oeste	غربی	oeste	ADJ	N;MASC;SG
غربی	ocidental	غربی	ocidental	ADJ	N;FEM;SG
غربی	ocidentais	غربی	ocidental	ADJ	N;MASC;PL
غربی	western	غربی	western	ADJ	N;MASC;SG
غربی	oeste	غربی	oeste	ADJ	N;MASC;SG
گرفته	tomadas	گرفت#گیر	tomar	V;SG;3;V.PTCP	V;FEM;PL;V.PTCP
گرفته	tiradas	گرفت#گیر	tirar	V;SG;3;V.PTCP	V;FEM;PL;V.PTCP
دوران	períodos	دوره	período	N;SG	N;MASC;PL
شامل	incluído	شامل	incluir	ADJ	V;MASC;SG;V.PTCP
شامل	incluídas	شامل	incluir	ADJ	V;FEM;PL;V.PTCP
شامل	incluso	شامل	incluso	ADJ	V;MASC;SG;V.PTCP
شامل	incluido	شامل	incluir	ADJ	V;MASC;SG;V.PTCP
شامل	incluídos	شامل	incluir	ADJ	V;MASC;PL;V.PTCP
شامل	inclua	شامل	incluar	ADJ	V;SBJV;SG;3;PRS;FIN
شامل	inclui	شامل	incluir	ADJ	V;IND;SG;3;PRS;FIN
شامل	incluem	شامل	incluir	ADJ	V;IND;PL;3;PRS;FIN
شامل	incluir	شامل	incluir	ADJ	V;NFIN
شامل	inclui	شامل	incluir	ADJ	V;IND;SG;3;PRS;FIN
شدن	obtendo	شدن	obter	N;SG	V;V.MSDR
شدن	recebendo	شدن	receber	N;SG	V;V.MSDR
شدن	ficando	شدن	ficar	N;SG	V;V.MSDR
بهترین	melhor	به	melhor	ADJ;RL	ADV
بهترین	best	به	best	ADJ;RL	N;MASC;SG
دولت	estaduais	دولت	estadual	N;SG	N;MASC;PL
دولت	estadual	دولت	estadual	N;SG	ADJ;MASC;SG
همراه	móvel	همراه	móvel	ADP	N;MASC;SG
همراه	telemóvel	همراه	telemóvel	ADP	N;MASC;SG
همراه	celular	همراه	celular	ADP	N;MASC;SG
همراه	móveis	همراه	móvel	ADP	N;MASC;PL
همراه	acompanhadas	همراه	acompanhar	ADP	V;FEM;PL;V.PTCP
همراه	acompanhada	همراه	acompanhar	ADP	V;FEM;SG;V.PTCP
همراه	acompanhado	همراه	acompanhar	ADP	V;MASC;SG;V.PTCP
همراه	acompanhados	همراه	acompanhar	ADP	V;MASC;PL;V.PTCP
همراه	acompanhou	همراه	acompanhar	ADP	V;IND;SG;3;PST;FIN
همراه	conjunção	همراه	conjunção	ADP	N;FEM;SG
همراه	acompanhamento	همراه	acompanhamento	ADP	N;MASC;SG
همراه	acompanhando	همراه	acompanhar	ADP	V;V.MSDR
چپ	partiu	چپ	partir	N;SG	V;IND;SG;3;PST;FIN
ایتالیا	italianos	ایتالیا	italiano	N;SG	N;MASC;PL
تحت	under	تحت	under	ADP	N;MASC;SG
آغاز	comece	آغاز	começar	N;SG	V;SBJV;SG;3;PRS;FIN
آغاز	comecem	آغاز	começar	N;SG	V;SBJV;PL;3;PRS;FIN
آغاز	iniciar	آغاز	iniciar	N;SG	V;NFIN
آغاز	começa	آغاز	começar	N;SG	V;IND;SG;3;PRS;FIN
آغاز	começar	آغاز	começar	N;SG	V;NFIN
آغاز	começando	آغاز	começar	N;SG	V;V.MSDR
آغاز	iniciando	آغاز	iniciar	N;SG	V;V.MSDR
آغاز	começando	آغاز	começar	N;SG	V;V.MSDR
آغاز	iniciando	آغاز	iniciar	N;SG	V;V.MSDR
کشتی	navios	کشتی	navio	N;SG	N;MASC;PL
کشتی	naves	کشتی	nave	N;SG	N;FEM;PL
بودند	estavam	بود	estar	V;PL;3;PST	V;IND;PL;3;IPFV;FIN
بودند	foram	بود	ser	V;PL;3;PST	V;IND;PL;3;PST;FIN
بودند	eram	بود	ser	V;PL;3;PST	V;IND;PL;3;IPFV;FIN
بن	ben	بن	ben		N;MASC;SG
همه	todas	همه	todo	PRO	DET;FEM;PL
همه	tudo	همه	tudo	PRO	PRO;MASC;SG
کوچک	small	کوچک	small	ADJ	N;MASC;SG
کوچک	pouco	کوچک	pouco	ADJ	ADV
کوچک	little	کوچک	little	ADJ	N;MASC;SG
کوچک	menores	کوچک	pequeno	ADJ	N;MASC;PL
کوچک	minor	کوچک	minor	ADJ	N;MASC;SG
رسمی	funcionário	رسمی	funcionário	ADJ	N;MASC;SG
رسمی	official	رسمی	official	ADJ	N;MASC;SG
رسمی	oficiais	رسمی	oficial	ADJ	N;MASC;PL
ماه	meses	ماه	mês	N;SG	N;MASC;PL
هزار	milhares	هزار	milhar	NUM	N;MASC;PL
تابستانی	verão	تابستانی	ver	N;SG	V;IND;PL;3;FUT;FIN
چون	pq	چون	pq	CONJ	
چون	quando	چون	quando	CONJ	ADV
چون	when	چون	when	CONJ	N;MASC;SG
تغییر	mudando	تغییر	mudar	N;SG	V;V.MSDR
تغییر	modificar	تغییر	modificar	N;SG	V;NFIN
تغییر	modifica	تغییر	modificar	N;SG	V;IND;SG;3;PRS;FIN
تغییر	mudar	تغییر	mudar	N;SG	V;NFIN
تغییر	mudanças	تغییر	mudança	N;SG	N;FEM;PL
سیاسی	politico	سیاسی	politico	ADJ	N;MASC;SG
سیاسی	político	سیاسی	político	ADJ	N;MASC;SG
شکل	formar	شکل	formar	N;SG	V;NFIN
شکل	moldado	شکل	moldar	N;SG	V;MASC;SG;V.PTCP
مارس	marchar	مارس	marchar	N;SG	V;NFIN
درخواست	pedir	درخواست	pedir	N;SG	V;NFIN
درخواست	solicitar	درخواست	solicitar	N;SG	V;NFIN
کیلومتر	quilómetros	کیلومتر	quilómetro	N;SG	N;MASC;PL
کیلومتر	quilômetros	کیلومتر	quilômetro	N;SG	N;MASC;PL
کیلومتر	quilómetros	کیلومتر	quilómetro	N;SG	N;MASC;PL
کیلومتر	quilômetros	کیلومتر	quilômetro	N;SG	N;MASC;PL
گردشگری	turistas	گردشگری	turista	N;SG	N;MASC;PL
شهری	urbanas	شهر	urbano	N;SG	N;FEM;PL
شهری	urbanos	شهر	urbano	N;SG	N;MASC;PL
روسیه	russas	روسیه	russa	N;SG	N;FEM;PL
روسیه	russos	روسیه	russo	N;SG	N;MASC;PL
نخستین	primeiramente	نخستین	primeiramente	ADJ;RL	ADV
نخستین	primeiro	نخستین	primeiro	ADJ;RL	ADV
جنوب	sulistas	جنوب	sulista	N;SG	N;MASC;PL
جنوب	sulista	جنوب	sulista	N;SG	ADJ;MASC;SG
جنوب	meridional	جنوب	meridional	N;SG	ADJ;MASC;SG
طور	montar	طور	montar	N;SG	V;NFIN
تشکیل	formado	تشکیل	formar	N;SG	V;MASC;SG;V.PTCP
تشکیل	formada	تشکیل	formar	N;SG	V;FEM;SG;V.PTCP
تشکیل	formados	تشکیل	formar	N;SG	V;MASC;PL;V.PTCP
امکان	possivel	امکان	possivel	N;SG	ADJ;MASC;SG
امکان	possíveis	امکان	possível	N;SG	ADJ;MASC;PL
امکان	possível	امکان	possível	N;SG	ADJ;MASC;SG
سر	cabeças	سر	cabeça	N;SG	N;FEM;PL
سر	cabeças	سر	cabeça	N;SG	N;FEM;PL
سر	chefes	سر	chefe	N;SG	N;MASC;PL
ما	nossa	ما	nosso	PRO;PL;1	DET;FEM;SG
ما	nossas	ما	nosso	PRO;PL;1	DET;FEM;PL
ما	nossos	ما	nosso	PRO;PL;1	DET;MASC;PL
ما	nosso	ما	nosso	PRO;PL;1	DET;MASC;SG
دیگری	outro	دیگر	outro	ADJ	PRO;MASC;SG
