von	출신	von	출신	ADP	N
jetzt	이제	jetzt	이제	ADV	
jetzt	지금	jetzt	지금	ADV	N
friedrich	프레더릭	friedrich	프레더릭	PROPN;NOM;SG	PROPN
friedrich	프리드리히	friedrich	프리드리히	PROPN;NOM;SG	PROPN
ihren	그들의	ihr	그+들+의	DET;ACC;MASC;SG	PRO
saison	시즌	saison	시즌	N;NOM;FEM;SG	
art	형식	art	형식	N;NOM;FEM;SG	
art	타입	art	타입	N;NOM;FEM;SG	
art	친절한	art	친절+하+ㄴ	N;NOM;FEM;SG	V
stand	부스	stehen	부스	V;IND;SG;3;PST;FIN	
stand	스탠드	stehen	스탠드	V;IND;SG;3;PST;FIN	N
würde	위엄	werden	위엄	V;SBJV;SG;3;PST;FIN	
würde	존엄	werden	존엄	V;SBJV;SG;3;PST;FIN	
würde	품위	werden	품위	V;SBJV;SG;3;PST;FIN	
politiker	정치	politik	정치	ADJ	N
politiker	정치학	politik	정치학	ADJ	N
politiker	정치인들	politik	정치인+들	ADJ	N
politiker	정치인	politik	정치인	ADJ	N
politiker	정치가	politik	정치+가	ADJ	N
politiker	정치인	politik	정치인	ADJ	N
politiker	정치가	politik	정치+가	ADJ	N
politiker	정치	politik	정치	ADJ	N
personen	팍스	Person	팍스	N;NOM;FEM;PL	
personen	개인	Person	개인	N;NOM;FEM;PL	
personen	명인	Person	명인	N;NOM;FEM;PL	
titel	트랙	titel	트랙		N
titel	제목	titel	제목		N
titel	제목	titel	제목		N
karl	샤를	karlen	샤+를	PROPN;NOM;MASC;SG	PROPN
karl	찰스	karlen	찰스	PROPN;NOM;MASC;SG	PROPN
karl	카를	karlen	카+를	PROPN;NOM;MASC;SG	PROPN
gut	미세먼지	gut	미세지+ㄴ지	ADJ	
statt	대신	statt	대신	ADP	
statt	대신에	statt	대신+에	ADP	ADV
daher	그러므로	daher	그러므로	ADV	CONJ
familie	가족	familie	가족	N;NOM;FEM;SG	
familie	가족과	familie	가족+과	N;NOM;FEM;SG	CONJ
familie	패밀리	familie	패밀리	N;NOM;FEM;SG	
weiter	계속	weiter	계속	ADV	
weiter	계속하기	weiter	계속+하+기	ADV	V
behalten	유지	behalten	유지	V;NFIN	N
außerdem	또한	außerdem	또한	ADV	CONJ
großen	대형	groß	대형	ADJ;PL	N
großen	전공	groß	전공	ADJ;PL	N
großen	메이저	groß	메이저	ADJ;PL	
ins	ins	ins	ins		
gehört	소유	gehören	소유	V;V.PTCP	
bild	사진	bild	사진		N
bild	그림	bild	그림		N
bild	그림	bild	그림		N
nichts	아무것도	nichts	아무것+도	PRO;INDF	ADV
wien	비엔나	weinen	비엔나		PROPN
große	대형	groß	대형	ADJ;NOM;FEM;PL	N
denn	왜냐면	denn	왜+이면	CONJ	
peter	베드로	peter	베드+로	PROPN;NOM;MASC;SG	ADV
peter	피터	peter	피터	PROPN;NOM;MASC;SG	
kommt	도착	kommen	도착	V;IND;SG;3;PRS;FIN	N
kommt	출시	kommen	출시	V;IND;SG;3;PRS;FIN	N
kommt	coming	kommen	coming	V;IND;SG;3;PRS;FIN	
menschen	인간인	menschen	인간인	N;NOM;PL	V
menschen	명인	menschen	명인	N;NOM;PL	
jahrhunderts	세기	jahrhundert	세기	ADV	N
fall	대소문자	fall	대소문자	ADV	
fall	케이스	fall	케이스	ADV	N
fall	사례	fall	사례	ADV	N
fall	떨어지지	fall	떨어지+지	ADV	V
fall	떨어지는	fall	떨어지+는	ADV	V
fall	떨어짐	fall	떨어지+ㄹ	ADV	
wilhelm	윌리엄	wilhelm	윌리엄	PROPN;NOM;MASC;SG	PROPN
englisch	영어	englisch	영어	ADJ	
englisch	잉글리시	englisch	잉글리시	ADJ	
danach	그렇다면	danach	그렇다면	ADV	CONJ
danach	그러면	danach	그러면	ADV	CONJ
danach	그때	danach	그때	ADV	
fünf	파이브	fünf	파이브	NUM	
welche	어느	welch	어느	PRO;NOM;SG	DET
mehrere	여러개	mehrere	여러개	PRO;NOM;INDF;PL	
mehrere	다중	mehrere	다중	PRO;NOM;INDF;PL	N
form	형식	form	형식	N;SG	
meter	미터	meter	미터	ADV	
meter	미터	meter	미터	ADV	
meter	미터	meter	미터	ADV	
meter	미터	meter	미터	ADV	
schloss	잠금	schließen	잠금	V;SG	N
schloss	자물쇠	schließen	자물쇠	V;SG	
schloss	궁궐	schließen	궁궐	V;SG	
schloss	궁전	schließen	궁전	V;SG	N
gruppe	그룹	grappe	그룹	N;NOM;FEM;SG	
heinrich	하인리히	heinrich	하인리히	PROPN;NOM;MASC;SG	PROPN
heinrich	헨리	heinrich	헨리	PROPN;NOM;MASC;SG	PROPN
letzten	마지막	letzt	마지막	ADJ;PL	N
letzten	라스트	letzt	라스트	ADJ;PL	
spielte	출연	spielen	출연	V;IND;SG;3;PST;FIN	N
machen	make	machen	make	V;NFIN	
beispiel	표본	beispiel	표본	ADV	N
beispiel	견본	beispiel	견보+ㄴ	ADV	
beispiel	샘플링	beispiel	샘플링	ADV	N
beispiel	샘플	beispiel	샘플	ADV	N
beispiel	예제	beispiel	예제	ADV	N
beispiel	예시	beispiel	예시	ADV	N
beispiel	예시	beispiel	예시	ADV	N
beispiel	예제	beispiel	예제	ADV	N
usa	usa	usa	usa	PROPN;NOM;MASC;PL	
usa	미국	usa	미국	PROPN;NOM;MASC;PL	PROPN
recht	오른쪽	recht	오른쪽	ADV	N
recht	법칙	recht	법칙	ADV	N
recht	법률	recht	법률	ADV	N
recht	법학	recht	법학	ADV	N
york	요크	york	요크	PROPN;NOM;NEUT;SG	
paul	파울로스	paul	파울로스	PROPN;NOM;MASC;SG	
paul	파울로	paul	파울+로	PROPN;NOM;MASC;SG	
paul	바울	paul	바울	PROPN;NOM;MASC;SG	
paul	파울	paul	파울	PROPN;NOM;MASC;SG	
insgesamt	총액	insgesamt	총액	ADV	N
insgesamt	전체	insgesamt	전체	ADV	N
insgesamt	전반	insgesamt	전반	ADV	N
insgesamt	합계	insgesamt	합계	ADV	N
eher	다소	eher	다소	ADV	N
kurz	간략하게	kurz	간략+하+게	ADJ	CONJ
kurz	짧게	kurz	짧+게	ADJ	
kurz	쇼트	kurz	쇼트	ADJ	
unternehmen	비즈니스	unternehmen	비즈니스	N;NOM;NEUT;PL	
unternehmen	컴퍼니	unternehmen	컴퍼니	N;NOM;NEUT;PL	
unternehmen	비즈니스	unternehmen	비즈니스	N;NOM;NEUT;PL	
verwendet	사용	verwenden	사용	V;V.PTCP	N
verwendet	사용	verwenden	사용	V;V.PTCP	N
straße	해협	straß	해협	ADJ	N
straße	도로	straß	도로	ADJ	
straße	거리가	straß	거리+가	ADJ	N
straße	스트리트	straß	스트리트	ADJ	
straße	거리	straß	거리	ADJ	N
straße	길거리	straß	길거리	ADJ	
straße	거리	straß	거리	ADJ	N
straße	길거리	straß	길거리	ADJ	
straße	도로	straß	도로	ADJ	
straße	로드	straß	로드	ADJ	
rund	라운드	rund	라운드	ADV	
rund	주위	rund	주위	ADV	N
rund	주변	rund	주변	ADV	N
einfach	단순	einfach	단순	ADV	
einfach	간단	einfach	간단	ADV	
einfach	심플	einfach	심플	ADV	
einfach	단순한	einfach	단순+하+ㄴ	ADV	V
einfach	간단하다	einfach	간단+하+다	ADV	V
einfach	간단한	einfach	간단+하+ㄴ	ADV	V
einfach	단순하게	einfach	단순+하+게	ADV	CONJ
einfach	쉽게	einfach	쉽+게	ADV	CONJ
einfach	쉬운	einfach	쉽+ㄴ	ADV	ADJ
einfach	쉬워	einfach	쉽+어	ADV	ADJ
einfach	아쉬운	einfach	아쉽+ㄴ	ADV	ADJ
datei	파일	datei	파일		N
frau	여인	frau	여인	N;NOM;FEM;SG	
frau	마누라	frau	마누라	N;NOM;FEM;SG	
frau	와이프	frau	와이프	N;NOM;FEM;SG	
land	나라	land	나라		N
land	국가	land	국가		N
trat	사임	treten	사임	V;IND;SG;3;PST;FIN	N
trat	사직	treten	사직	V;IND;SG;3;PST;FIN	N
tod	죽음	tod	죽음		N
tod	사망	tod	사망		N
tod	죽음	tod	죽음		N
arbeit	퇴근	arbeit	퇴근	N;NOM;FEM;SG	
macht	파워	machen	파우+어	V;IND;SG;3;PRS;FIN	
macht	전력	machen	전력	V;IND;SG;3;PRS;FIN	N
macht	권력	machen	권력	V;IND;SG;3;PRS;FIN	N
paris	파리	paris	파리	PROPN;NOM;NEUT;SG	PROPN
alles	모두	alle	모두	PRO;NOM;INDF;NEUT;SG	ADV
alles	전체	alle	전체	PRO;NOM;INDF;NEUT;SG	N
alles	무엇이든	alle	무엇+이든	PRO;NOM;INDF;NEUT;SG	
alles	뭐든	alle	뭐+든	PRO;NOM;INDF;NEUT;SG	
alles	아무거나	alle	아무+거나	PRO;NOM;INDF;NEUT;SG	
oft	잦은	oft	잦+은	ADV	
führte	led	führen	led	V;IND;SG;3;PST;FIN	
bedeutung	관련성	bedeutung	관련성	ADJ	N
bedeutung	중요성	bedeutung	중요성	ADJ	N
bedeutung	의미	bedeutung	의미	ADJ	N
bedeutung	의미	bedeutung	의미	ADJ	N
gilt	적용	gelten	적용	V;IND;SG;3;PRS;FIN	N
relevant	관련성	relevant	관련성	ADJ	N
relevant	관련	relevant	관련	ADJ	N
relevant	관련성	relevant	관련성	ADJ	N
bereich	섹터	bereich	섹터	ADV	
bereich	부문	bereich	부문	ADV	N
bereich	도메인	bereich	도메인	ADV	N
bereich	영역	bereich	영역	ADV	N
bereich	범위	bereich	범위	ADV	N
bereich	섹션	bereich	섹션	ADV	N
bereich	구역	bereich	구역	ADV	N
bereich	영역	bereich	영역	ADV	N
bereich	지역	bereich	지역	ADV	N
bereich	면적	bereich	면적	ADV	
welt	월드	welt	월드	N;NOM;FEM;SG	
welt	글로브	welt	글로브	N;NOM;FEM;SG	
verein	협회	verein	협회		N
anfang	시작하기	anfang	시작+하+기	N;ACC;MASC;SG	V
anfang	일찍	anfang	일찍	N;ACC;MASC;SG	ADV
insbesondere	특정	insbesondere	특정	ADV	
quelle	소스	quelle	소스	ADJ;NOM;SG	
quelle	원본	quelle	원본	ADJ;NOM;SG	
quelle	출처	quelle	출처	ADJ;NOM;SG	N
haus	하우스	haus	하우스	N;NOM;NEUT;SG	
haus	haus	haus	haus	N;NOM;NEUT;SG	
haus	집에	haus	집+에	N;NOM;NEUT;SG	ADV
haus	고향	haus	고향	N;NOM;NEUT;SG	
haus	집으로	haus	집+으로	N;NOM;NEUT;SG	ADV
haus	가정	haus	가정	N;NOM;NEUT;SG	
michael	마이클	michael	마이클	PROPN;NOM;MASC;SG	
michael	미하엘	michael	미하엘	PROPN;NOM;MASC;SG	PROPN
michael	미카엘	michael	미카엘	PROPN;NOM;MASC;SG	
region	지방	Region	지방		N
region	지역	Region	지역		N
meist	보통	meist	보통	ADV	N
meist	대부분의	meist	대부분+의	ADV	N
meist	대부분	meist	대부분	ADV	N
meist	대부분	meist	대부분	ADV	N
eigenen	소유	eigen	소유	ADJ;ACC;MASC;SG	
allen	앨런	alle	앨런	PRO;ACC;INDF;PL	PROPN
hamburg	함부르크	hamburg	함부르크	PROPN;NOM;NEUT;SG	PROPN
einmal	한번	einmal	한번	ADV	
einmal	once	einmal	once	ADV	
besonders	특정	besonders	특정	ADV	
deutsch	독일	deutsch	독일	ADJ	PROPN
deutsch	독일인	deutsch	독일인	ADJ	N
deutsch	독일어	deutsch	독일어	ADJ	
deutsch	영어	deutsch	영어	ADJ	
deutsch	잉글리시	deutsch	잉글리시	ADJ	
franz	프란츠	franz	프란츠	PROPN;NOM;MASC;SG	PROPN
franz	프랜시스	franz	프랜시스	PROPN;NOM;MASC;SG	PROPN
begriff	어구	begreifen	어구	N;MASC;SG	
begriff	concept	begreifen	concept	N;MASC;SG	
begriff	컨셉	begreifen	컨셉	N;MASC;SG	
gegründet	설립	gründen	설립	V;V.PTCP	N
gegründet	설립	gründen	설립	V;V.PTCP	N
gebiet	터프	gebieten	터프	ADJ	
gebiet	지방	gebieten	지방	ADJ	N
gebiet	지역	gebieten	지역	ADJ	N
gebiet	영토	gebieten	영토	ADJ	N
gebiet	준주	gebieten	준주	ADJ	N
gebiet	지대	gebieten	지대	ADJ	N
gebiet	zone	gebieten	zone	ADJ	
gebiet	영역	gebieten	영역	ADJ	N
gebiet	구역	gebieten	구역	ADJ	N
gebiet	영역	gebieten	영역	ADJ	N
gebiet	지역	gebieten	지역	ADJ	N
gebiet	면적	gebieten	면적	ADJ	
website	웹사이트	websit	웹사이트	N;SG	
website	사이트	websit	사이트	N;SG	
gesellschaft	사회	gesellschaft	사회	ADJ	N
gesellschaft	회사	gesellschaft	회사	ADJ	N
gesellschaft	컴퍼니	gesellschaft	컴퍼니	ADJ	
gesellschaft	기업	gesellschaft	기업	ADJ	N
folge	팔로우	folge	팔로우	N;NOM;FEM;SG	
folge	에피소드	folge	에피소드	N;NOM;FEM;SG	
beide	둘다	beide	두+ㄴ다	PRO;NOM;INDF;PL	
georg	조지	georgen	조지	PROPN;NOM;MASC;SG	
georg	죠지	georgen	죠지	PROPN;NOM;MASC;SG	
erhalten	받기	erhalten	받+기	ADJ;V.PTCP	V
erhalten	받았습니다	erhalten	받+았+습니다	ADJ;V.PTCP	V
erhalten	받은	erhalten	받+ㄴ	ADJ;V.PTCP	V
erhalten	받음	erhalten	받+ㅁ	ADJ;V.PTCP	
erhalten	수신	erhalten	수신	ADJ;V.PTCP	N
erhalten	get	erhalten	get	ADJ;V.PTCP	
erhalten	받기	erhalten	받+기	ADJ;V.PTCP	V
einwohner	레지던트	einwohner	레지던트	N;NOM;MASC;PL	
innerhalb	인사이드	innerhalb	인사이드	ADV	
innerhalb	내부	innerhalb	내부	ADV	N
eigentlich	사실	eigentlich	사실	ADV	N
london	런던	london	런던	PROPN;NOM;NEUT;SG	PROPN
alten	고대	alt	고대	ADJ;NOM;MASC;PL	N
alten	늙은	alt	늙+ㄴ	ADJ;NOM;MASC;PL	
alten	오래된	alt	오래+되+ㄴ	ADJ;NOM;MASC;PL	V
kinder	키즈	kinder	키즈	N;NOM;NEUT;PL	
kinder	아동	kinder	아동	N;NOM;NEUT;PL	
kinder	아동	kinder	아동	N;NOM;NEUT;PL	
gerade	똑바로	gerade	똑바로	ADV	
gerade	스트레이트	gerade	스트레이트	ADV	
österreich	오스트리아	österreich	오스트리아	PROPN;SG	PROPN
weg	gone	weg	gone	ADV	
weg	웨이팅	weg	웨이팅	ADV	
weg	way	weg	way	ADV	
weg	웨이	weg	웨+이	ADV	
weg	경로	weg	경로	ADV	
