hábito	o	hábito	o	N;MASC;SG	DET
forzado	a	forzado	o	ADJ;MASC;SG;V.PTCP	DET
forzado	forzado	forzado	forzar	ADJ;MASC;SG;V.PTCP	V
forzado	todo	forzado	todo	ADJ;MASC;SG;V.PTCP	DET
forzado	obrigoume	forzado	obrigoume	ADJ;MASC;SG;V.PTCP	V
forzado	recrutado	forzado	recrutar	ADJ;MASC;SG;V.PTCP	V
costes	custa	coste	custar	N;MASC;PL	V
costes	custar	coste	custar	N;MASC;PL	V
costes	sanitarios	coste	sanitario	N;MASC;PL	ADJ
dependen	das	depender	das	V;IND;PL;3;PRS;FIN	N
dependen	dos	depender	dos	V;IND;PL;3;PRS;FIN	PROPN
entrado	entrou	entrar	entrar	ADJ;MASC;SG;V.PTCP	V
entrado	na	entrar	na	ADJ;MASC;SG;V.PTCP	N
entrado	entra	entrar	entrar	ADJ;MASC;SG;V.PTCP	V
gasto	pasar	gasto	pasar	N;MASC;SG	V
misterioso	misterio	misterioso	misterio	ADJ;MASC;SG	N
intervalo	de	intervalo	de	N;MASC;SG	ADP
intervalo	montañosa	intervalo	montañoso	N;MASC;SG	ADJ
subterráneo	metro	subterráneo	metro	ADJ;MASC;SG	N
subterráneo	sen	subterráneo	sen	ADJ;MASC;SG	ADP
subterráneo	pantalóns	subterráneo	pantalón	ADJ;MASC;SG	N
fino	ben	fino	ben	ADJ;MASC;SG	ADV
fino	moi	fino	moi	ADJ;MASC;SG	ADV
criado	servo	criado	servo	ADJ;MASC;SG;V.PTCP	N
criado	criado	criado	criar	ADJ;MASC;SG;V.PTCP	V
criado	bedel	criado	bedel	ADJ;MASC;SG;V.PTCP	N
criado	criados	criado	criar	ADJ;MASC;SG;V.PTCP	V
criado	a	criado	o	ADJ;MASC;SG;V.PTCP	DET
criado	crecín	criado	crecín	ADJ;MASC;SG;V.PTCP	PROPN
criado	criamos	criado	criar	ADJ;MASC;SG;V.PTCP	V
redonda	arredor	redonda	arredor	N;FEM;SG	ADV
redonda	preto	redonda	preto	N;FEM;SG	ADV
orejas	oídos	oreja	oír	N;FEM;PL	V
conectado	en	conectado	en	ADJ;MASC;SG;V.PTCP	ADP
conectado	liña	conectado	liña	ADJ;MASC;SG;V.PTCP	N
conectado	conectados	conectado	conectar	ADJ;MASC;SG;V.PTCP	V
conectado	conectada	conectado	conectar	ADJ;MASC;SG;V.PTCP	V
conectado	conectado	conectado	conectar	ADJ;MASC;SG;V.PTCP	V
conectado	con	conectado	con	ADJ;MASC;SG;V.PTCP	ADP
conectado	conectadas	conectado	conectar	ADJ;MASC;SG;V.PTCP	V
conectado	conectan	conectado	conectar	ADJ;MASC;SG;V.PTCP	V
redondo	redondo	redondo	redordo	ADJ;MASC;SG	N
redondo	redondos	redondo	redondo	ADJ;MASC;SG	N
redondo	xira	redondo	xira	ADJ;MASC;SG	N
redondo	arredor	redondo	arredor	ADJ;MASC;SG	ADV
redondo	preto	redondo	preto	ADJ;MASC;SG	ADV
forever	para	forever	para	N;SG	ADP
forever	sempre	forever	sempre	N;SG	ADV
forever	eternamente	forever	eternamente	N;SG	ADV
recto	en	recto	en	ADJ;MASC;SG	ADP
recto	dereito	recto	dereito	ADJ;MASC;SG	N
llaves	as	llave	o	N;FEM;PL	DET
moto	en	moto	en	N;FEM;SG	ADP
moto	moto	moto	moto	N;FEM;SG	PROPN
moto	bici	moto	bici	N;FEM;SG	PROPN
bloquear	mazá	bloquear	mazá	V;NFIN	N
bloquear	bloque	bloquear	bloque	V;NFIN	N
bloquear	acceso	bloquear	acceso	V;NFIN	N
bloquear	barracón	bloquear	barracón	V;NFIN	N
parto	a	parto	o	N;MASC;SG	DET
parto	de	parto	de	N;MASC;SG	ADP
complicado	complicado	complicado	complicar	ADJ;MASC;SG;V.PTCP	V
complicado	complexas	complicado	complexo	ADJ;MASC;SG;V.PTCP	N
complicado	complicadas	complicado	complicar	ADJ;MASC;SG;V.PTCP	V
invita	convidei	invitar	convidir	V;IND;SG;3;PRS;FIN	PROPN
invita	a	invitar	o	V;IND;SG;3;PRS;FIN	DET
invita	a	invitar	o	V;IND;SG;3;PRS;FIN	DET
mortalidad	infantil	mortalidad	infantil	N;FEM;SG	ADJ
made	fixen	mader	facer	N	V
made	fixo	mader	facer	N	V
falls	cae	falls	caer	N;MASC;PL	V
sendero	seu	sendero	seu	N;MASC;SG	DET
barca	bote	barca	bote	N;FEM;SG	PROPN
barca	chalana	barca	chalanar	N;FEM;SG	ADJ
docentes	os	docente	o	N;PL	DET
small	pequeno	small	pequeno	N	ADJ
small	pequenos	small	pequeno	N	ADJ
small	pequenas	small	pequeno	N	ADJ
small	pequena	small	pequeno	N	ADJ
inconsciente	inconsciente	inconsciente	inconsciente	ADJ;SG	N
distinguido	distinguido	distinguido	distinguir	ADJ;MASC;SG;V.PTCP	V
distinguido	distinguidos	distinguido	distinguir	ADJ;MASC;SG;V.PTCP	V
atómica	núcleo	atómico	núcleo	ADJ;FEM;SG	N
construyendo	edificio	construir	edificio	V;V.MSDR	N
construyendo	construción	construir	construción	V;V.MSDR	N
aislado	illado	aislado	illar	ADJ;MASC;SG;V.PTCP	V
aislado	illada	aislado	illado	ADJ;MASC;SG;V.PTCP	V
bailar	baile	bailar	baile	V;NFIN	N
bailar	danza	bailar	danza	V;NFIN	N
bailar	baile	bailar	baile	V;NFIN	N
acusados	dos	acusado	dos	ADJ;MASC;PL;V.PTCP	PROPN
acusados	acusados	acusado	acusar	ADJ;MASC;PL;V.PTCP	V
acusados	acusado	acusado	acusar	ADJ;MASC;PL;V.PTCP	V
acusados	os	acusado	o	ADJ;MASC;PL;V.PTCP	DET
acusados	imputados	acusado	imputar	ADJ;MASC;PL;V.PTCP	V
born	nacín	born	nacín	N	V
born	naceu	born	nacer	N	V
born	nacer	born	nacer	N	V
born	naciches	born	naciches	N	V
born	nacen	born	nacer	N	V
ampliado	a	ampliar	o	ADJ;MASC;SG;V.PTCP	DET
economistas	mellores	economista	mellor	N;PL	ADJ
moverse	mover	moverse	mover		V
moverse	moverse	moverse	moverse		PROPN
moverse	a	moverse	o		DET
pidiendo	lle	pedir	lle	V;V.MSDR	PRO
pidiendo	pregunta	pedir	pregunta	V;V.MSDR	N
pidiendo	a	pedir	o	V;V.MSDR	DET
classic	clásico	classic	clásico	N	ADJ
escogido	escollida	escogido	escollida	ADJ;MASC;SG;V.PTCP	V
difundir	a	difundir	o	V;NFIN	DET
difundir	se	difundir	se	V;NFIN	CONJ
friends	os	friends	o	N	DET
disturbios	raciais	disturbio	racial	N;MASC;PL	ADJ
nervios	os	nervio	o	N;MASC;PL	DET
kenny	kenny	kenny	kenny	N;MASC;SG	PROPN
another	outro	another	outro	N	DET
another	outra	another	outro	N	DET
short	pouco	short	pouco	N	ADV
short	curto	short	curto	N	ADJ
short	curta	short	curto	N	ADJ
leales	leal	leal	leal	N;PL	ADJ
olvidar	non	olvidar	non	V;NFIN	PART
olvidar	a	olvidar	o	V;NFIN	DET
olvidar	o	olvidar	o	V;NFIN	DET
sorteo	debuxar	sorteo	debuxar	N;MASC;SG	V
sorteo	que	sorteo	que	N;MASC;SG	PRO
sorteo	os	sorteo	o	N;MASC;SG	DET
sorteo	absorber	sorteo	absorber	N;MASC;SG	V
sorteo	debuxaría	sorteo	debuxar	N;MASC;SG	V
sorteo	lotería	sorteo	lotería	N;MASC;SG	V
sorteo	de	sorteo	de	N;MASC;SG	ADP
sorteo	lotaría	sorteo	lotaría	N;MASC;SG	V
iniciando	a	iniciar	o	V;V.MSDR	DET
incursión	redadas	incursión	redar	N;FEM;SG	V
juramento	xurou	juramento	xurar	N;MASC;SG	V
juramento	o	juramento	o	N;MASC;SG	DET
salvación	de	salvación	de	N;FEM;SG	ADP
quema	queimaduras	quema	queimadura	V;IND;SG;3;PRS;FIN	N
quema	arde	quema	arde	V;IND;SG;3;PRS;FIN	N
quema	queimade	quema	queimade	V;IND;SG;3;PRS;FIN	N
greatest	maior	greatest	maior	N	ADJ
greatest	máis	greatest	máis	N	ADV
greatest	grande	greatest	grande	N	ADJ
greatest	mellor	greatest	mellor	N	ADJ
avanza	os	avanzar	o	V;IND;SG;3;PRS;FIN	DET
avanza	avances	avanzar	avance	V;IND;SG;3;PRS;FIN	N
brillo	brillar	brillo	brillar	N;MASC;SG	V
mentales	mentais	mental	mental	ADJ;PL	N
roto	roto	roto	roto	ADJ;MASC;SG;V.PTCP	N
roto	a	roto	o	ADJ;MASC;SG;V.PTCP	DET
roto	rompeu	roto	rompar	ADJ;MASC;SG;V.PTCP	V
roto	crebou	roto	crebar	ADJ;MASC;SG;V.PTCP	V
roto	entraron	roto	entrar	ADJ;MASC;SG;V.PTCP	V
roto	rompín	roto	rompon	ADJ;MASC;SG;V.PTCP	PROPN
most	a	most	o	N	DET
most	máis	most	máis	N	ADV
parar	de	parar	de	V;NFIN	ADP
parar	para	parar	para	V;NFIN	ADP
vestidos	de	vestido	de	ADJ;MASC;PL;V.PTCP	ADP
vestidos	vestida	vestido	vestida	ADJ;MASC;PL;V.PTCP	V
vestidos	vestidos	vestido	vestido	ADJ;MASC;PL;V.PTCP	V
vestidos	vestidas	vestido	vestida	ADJ;MASC;PL;V.PTCP	V
vestidos	vestir	vestido	vestir	ADJ;MASC;PL;V.PTCP	V
vestidos	traxes	vestido	traxe	ADJ;MASC;PL;V.PTCP	N
vestidos	vestido	vestido	vestido	ADJ;MASC;PL;V.PTCP	V
vestidos	roupa	vestido	roupa	ADJ;MASC;PL;V.PTCP	N
vestidos	vestidos	vestido	vestido	ADJ;MASC;PL;V.PTCP	V
tácticas	táctica	táctico	táctica	ADJ;FEM;PL	N
porqué	por	porqué	por		ADP
porqué	que	porqué	que		PRO
porqué	iso	porqué	iso		PRO
foco	centre	foco	centrar	N;MASC;SG	PROPN
foco	centrarse	foco	centrarse	N;MASC;SG	PROPN
foco	centramos	foco	centrar	N;MASC;SG	V
foco	centrarme	foco	centrarme	N;MASC;SG	V
foco	focalizar	foco	focalizar	N;MASC;SG	V
mirando	a	mirar	o	V;V.MSDR	DET
mirando	a	mirar	o	V;V.MSDR	DET
mirando	as	mirar	o	V;V.MSDR	DET
restante	para	restante	para	ADJ;SG	ADP
beso	bícame	beso	bícame	N;MASC;SG	PROPN
beso	bicar	beso	bicar	N;MASC;SG	V
beso	un	beso	un	N;MASC;SG	DET
beso	biquiño	beso	biquiño	N;MASC;SG	PROPN
corriendo	a	correr	o	V;V.MSDR	DET
pensamientos	que	pensamiento	que	N;MASC;PL	PRO
doméstico	caseira	doméstico	caseira	ADJ;MASC;SG	N
capacitación	estudan	capacitación	estudar	N;FEM;SG	V
adelantado	avanzado	adelantar	avanzar	ADJ;MASC;SG;V.PTCP	V
adelantado	avanzada	adelantar	avanzar	ADJ;MASC;SG;V.PTCP	V
oculto	oculto	oculto	oculto	ADJ;MASC;SG	N
oculto	oculta	oculto	oculto	ADJ;MASC;SG	V
oculto	ocultas	oculto	oculto	ADJ;MASC;SG	N
oculto	escondidos	oculto	esconder	ADJ;MASC;SG	V
oculto	escondidas	oculto	esconder	ADJ;MASC;SG	V
oculto	agochados	oculto	agochar	ADJ;MASC;SG	V
oculto	escondida	oculto	esconder	ADJ;MASC;SG	V
vecinas	os	vecino	o	ADJ;FEM;PL	DET
vecinas	veciños	vecino	veciño	ADJ;FEM;PL	N
metálico	de	metálico	de	ADJ;MASC;SG	ADP
metálico	metal	metálico	metal	ADJ;MASC;SG	N
ocio	libre	ocio	libre	N;MASC;SG	ADJ
esperado	se	esperado	se	ADJ;MASC;SG;V.PTCP	CONJ
esperado	esperaba	esperado	esperar	ADJ;MASC;SG;V.PTCP	V
esperado	que	esperado	que	ADJ;MASC;SG;V.PTCP	PRO
esperado	agardaba	esperado	agardar	ADJ;MASC;SG;V.PTCP	V
máster	o	máster	o	N;MASC;SG	DET
adulta	adultos	adultar	adulto	ADJ;FEM;SG	N
adulta	adulto	adultar	adulto	ADJ;FEM;SG	N
adulta	dun	adultar	dun	ADJ;FEM;SG	PROPN
sopa	xantar	sopa	xantar	N;FEM;SG	V
vinculados	conectadas	vinculado	conectar	ADJ;MASC;PL;V.PTCP	V
americanas	os	americano	o	ADJ;FEM;PL	DET
americanas	americanos	americano	americano	ADJ;FEM;PL	N
americanas	ianquis	americano	ianqui	ADJ;FEM;PL	N
niñez	da	niñez	da	N;FEM;SG	V
niñez	os	niñez	o	N;FEM;SG	DET
niñez	cativos	niñez	cativo	N;FEM;SG	ADJ
sabiduría	a	sabiduría	o	N;FEM;SG	DET
muscular	músculos	muscular	músculo	ADJ;SG	N
muscular	os	muscular	o	ADJ;SG	DET
muscular	músculo	muscular	músculo	ADJ;SG	N
exacto	exactamente	exacto	exactamente	ADJ;MASC;SG	ADV
exacto	mesmo	exacto	mesmo	ADJ;MASC;SG	DET
exacto	o	exacto	o	ADJ;MASC;SG	DET
exacto	exacto	exacto	exacto	ADJ;MASC;SG	N
exacto	mesmas	exacto	mesmo	ADJ;MASC;SG	DET
exacto	exactamente	exacto	exactamente	ADJ;MASC;SG	ADV
exacto	mesma	exacto	mesmo	ADJ;MASC;SG	DET
entusiasmo	a	entusiasmo	o	N;MASC;SG	DET
army	do	army	do	N	PROPN
expresado	se	expresado	se	ADJ;MASC;SG;V.PTCP	CONJ
prime	primeiro	prime	primeiro	N	ADJ
bombardeos	do	bombardeo	do	N;MASC;PL	PROPN
bombardeos	o	bombardeo	o	N;MASC;PL	DET
presentados	a	presentado	o	ADJ;MASC;PL;V.PTCP	DET
too	tamén	too	tamén	N	ADV
too	demasiado	too	demasiado	N	ADV
too	moi	too	moi	N	ADV
vladímir	vladimir	vladímir	vladimir	ADJ;SG	V
enteros	todo	entero	todo	ADJ;MASC;PL	DET
enteros	toda	entero	todo	ADJ;MASC;PL	DET
enteros	a	entero	o	ADJ;MASC;PL	DET
enteros	enteiro	entero	enteiro	ADJ;MASC;PL	N
enteros	toda	entero	todo	ADJ;MASC;PL	DET
enteros	todo	entero	todo	ADJ;MASC;PL	DET
enteros	enteiro	entero	enteiro	ADJ;MASC;PL	N
enteros	a	entero	o	ADJ;MASC;PL	DET
dormir	sono	dormir	sono	V;NFIN	N
dormir	durme	dormir	durme	V;NFIN	N
dormir	somníferos	dormir	somnífer	V;NFIN	N
señorita	a	señorita	o	N;FEM;SG	DET
lágrimas	chorar	lágrima	chorar	N;FEM;PL	V
venir	que	venir	que	V;NFIN	PRO
balas	as	bala	o	N;FEM;PL	DET
dawn	alborecer	dawn	alborecer	N;SG	V
tortugas	de	tortuga	de	N;FEM;PL	ADP
extraños	descoñecidos	extraño	descoñecido	ADJ;MASC;PL	N
innumerables	myriad	innumerable	myriad	ADJ;PL	PROPN
caminar	pola	caminar	pola	V;NFIN	N
caminar	polas	caminar	pola	V;NFIN	N
yes	si	yes	si	N	ADV
relleno	disecado	relleno	disecar	N;MASC;SG	V
relleno	cubrir	relleno	cubrir	N;MASC;SG	V
relleno	encher	relleno	encher	N;MASC;SG	V
than	ca	than	ca	N	CONJ
than	máis	than	máis	N	ADV
than	que	than	que	N	PRO
than	do	than	do	N	PROPN
than	mellor	than	mellor	N	ADJ
extinta	extinguiron	extinto	extinguir	ADJ;FEM;SG	V
partícula	de	partícula	de	N;FEM;SG	ADP
profeta	profeta	profeta	profeta	N;MASC;SG	V
peste	peste	peste	peste	N;FEM;SG	PROPN
travesía	cruzar	travesía	cruzar	N;FEM;SG	V
travesía	cruzando	travesía	cruzar	N;FEM;SG	V
jordania	jordan	jordania	jordar	N;FEM;SG	V
einstein	einstein	einstein	einstein	N;MASC;SG	PROPN
cristián	christian	cristián	christian	N;MASC;SG	V
fbi	fbi	fbi	ser	N;MASC;SG	PROPN
entrenar	tren	entrenar	tren	V;NFIN	N
entrenar	entreno	entrenar	entreno	V;NFIN	PROPN
entrenar	metro	entrenar	metro	V;NFIN	N
practica	unha	practicar	un	V;IND;SG;3;PRS;FIN	DET
practica	práctica	practicar	práctica	V;IND;SG;3;PRS;FIN	N
amado	me	amado	me	ADJ;MASC;SG;V.PTCP	PRO
amado	queridos	amado	querer	ADJ;MASC;SG;V.PTCP	V
amado	amas	amado	ama	ADJ;MASC;SG;V.PTCP	N
amado	amaba	amado	amabar	ADJ;MASC;SG;V.PTCP	V
amado	encantábache	amado	encantábache	ADJ;MASC;SG;V.PTCP	PROPN
amado	amado	amado	amado	ADJ;MASC;SG;V.PTCP	N
amado	querido	amado	querer	ADJ;MASC;SG;V.PTCP	V
mirar	coidado	mirar	coidado	V;NFIN	N
cosmos	cosmos	cosmo	cosmo	N;MASC;SG	V
annie	annie	annie	annie	N;FEM;SG	PROPN
amigas	os	amiga	o	N;FEM;PL	DET
ain	non	ain	non	N;MASC;SG	PART
ain	é	ain	ser	N;MASC;SG	V
ministra	cabinet	ministra	cabinet	N;FEM;SG	PROPN
ministra	o	ministra	o	N;FEM;SG	DET
joey	joey	joey	joey	PROPN	PROPN
joey	pío	joey	pío	PROPN	PROPN
joey	joska	joey	joska	PROPN	N
afectadas	afectados	afectado	afectado	ADJ;FEM;PL;V.PTCP	N
prohibida	prohibido	prohibido	prohibir	ADJ;FEM;SG;V.PTCP	V
prohibida	prohibidas	prohibido	prohibir	ADJ;FEM;SG;V.PTCP	V
challenge	desafiar	challenge	desafiar	N;SG	V
pluma	boli	pluma	boli	N;FEM;SG	PROPN
sentado	sentada	sentado	sentar	ADJ;MASC;SG;V.PTCP	V
sentado	sentados	sentado	sentar	ADJ;MASC;SG;V.PTCP	V
sentado	sentado	sentado	sentado	ADJ;MASC;SG;V.PTCP	V
six	6	six	6	N	NUM
cruel	cruel	cruel	cruel	ADJ;SG	N
