leningrad	lenjingrad	leningrad	lenjingrad		N;NOM;MASC;SG
şiddetle	nasilja	şiddet	nasilje	N;INS;SG;3	N;NOM;NEUT;SG
ajan	agenti	aj	agent		N;NOM;MASC;PL
ajan	agent	aj	agent		N;NOM;MASC;SG
harrison	harrisona	harrison	harrison	PROPN;NOM;SG;3	N;ANIM;ACC;MASC;SG
harrison	harrison	harrison	harrison	PROPN;NOM;SG;3	N;NOM;MASC;SG
kaçak	bjegunac	kaçak	bjegunac		N;NOM;MASC;SG
kaçak	trkač	kaçak	trkač		N;NOM;MASC;SG
kaçak	bjegunac	kaçak	bjegunac		N;NOM;MASC;SG
kaçak	odbjegli	kaçak	odbjeći		V;MASC;PL;PST;V.PTCP;ACT
çevirmen	prevoditelj	çevir	prevoditelj		N;NOM;MASC;SG
çevirmen	prevodilac	çevir	prevodilac		N;NOM;MASC;SG
çevirmen	prevoditelj	çevir	prevoditelj		N;NOM;MASC;SG
çevirmen	prevodilac	çevir	prevodilac		N;NOM;MASC;SG
çevirmen	prijevod	çevir	prijevod		N;NOM;MASC;SG
korunma	zaštita	korun	zaštita		N;NOM;FEM;SG
korunma	zaštitu	korun	zaštita		N;ACC;FEM;SG
işçiler	radnika	işçi	radnik	N;NOM;PL;3	N;GEN;MASC;PL
işçiler	radnicima	işçi	radnik	N;NOM;PL;3	N;DAT;MASC;PL
işçiler	zaposleni	işçi	zaposlen	N;NOM;PL;3	ADJ;NOM;DEF;MASC;PL
işçiler	zaposlenima	işçi	zaposlen	N;NOM;PL;3	ADJ;INS;DEF;MASC;PL
işçiler	zaposlenika	işçi	zaposlenik	N;NOM;PL;3	N;ACC;MASC;PL
devil	vrag	devil	vrag		N;NOM;MASC;SG
devil	đavo	devil	đavo		N;NOM;MASC;SG
connecticut	connecticut	connecticut	connecticut		N;NOM;FEM;SG
connecticut	connecticutu	connecticut	connecticut		N;ACC;FEM;SG
uyku	spavanje	uyku	spavanje		N;NOM;NEUT;SG
uyku	spavaj	uyku	spavaj		V;IND;SG;3;PRS;FIN
uyku	spavam	uyku	spavati		V;IND;SG;1;PRS;FIN
uyku	spavanje	uyku	spavanje		N;NOM;NEUT;SG
uyku	spava	uyku	spavati		V;IND;SG;3;PRS;FIN
meksikalı	meksička	meksikalı	meksički		ADJ;NOM;DEF;FEM;SG
meksikalı	meksički	meksikalı	meksički		ADJ;NOM;DEF;MASC;SG
meksikalı	meksikanac	meksikalı	meksikanac		N;NOM;MASC;SG
tanıma	priznavanje	tanım	priznavanje		N;NOM;NEUT;SG
tanıma	priznanje	tanım	priznanje		N;NOM;NEUT;SG
tanıma	prepoznavanje	tanım	prepoznavanje		N;NOM;NEUT;SG
colin	colin	colin	colin		N;NOM;MASC;SG
kubbe	kupola	kubbe	kupola		N;NOM;FEM;SG
rakam	znamenke	rakam	znamenka		N;NOM;FEM;PL
rakam	znamenke	rakam	znamenka		N;NOM;FEM;PL
rakam	broj	rakam	broj		N;NOM;MASC;SG
jules	jules	jules	jules		N;NOM;MASC;SG
görüşmeler	intervjue	görüşme	intervju	N;NOM;PL;3	N;ACC;MASC;PL
görüşmeler	intervjua	görüşme	intervju	N;NOM;PL;3	N;ACC;MASC;SG
görüşmeler	sastanke	görüşme	sastanak	N;NOM;PL;3	N;ACC;MASC;PL
imal	proizveden	imal	proizvesti		ADJ;NOM;MASC;SG;V.PTCP;PASS
patrik	patrijarh	patrik	patrijarh		N;NOM;MASC;SG
marsilya	marseilleu	marsilya	marseille	N;NOM;SG;3	N;DAT;MASC;SG
marsilya	marseillesu	marsilya	marseilles	N;NOM;SG;3	N;DAT;MASC;SG
asil	plemenito	asil	plemenito		ADJ;NOM;DEF;NEUT;SG
asil	plemeniti	asil	plemeniti		ADJ;NOM;DEF;MASC;SG
sürpriz	iznenađenje	sürpriz	iznenađenje		N;NOM;NEUT;SG
hotspur	hotspur	hotspur	hotspur	PROPN;NOM;SG;3	N;NOM;MASC;SG
biter	završava	bit	završavati	V;IPFV;IND;SG;3;POS	V;IND;SG;3;PRS;FIN
esnek	fleksibilan	esnek	fleksibilan		ADJ;NOM;INDF;MASC;SG
esnek	fleksibilnost	esnek	fleksibilnost		N;NOM;FEM;SG
esnek	elastična	esnek	elastičan		ADJ;NOM;DEF;FEM;SG
esnek	flex	esnek	flex		N;NOM;MASC;SG
cameron	cameron	cameron	cameron	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG
lopez	lopez	lopez	lopez		N;NOM;FEM;SG
rıfat	rifat	rıfat	rifat	PROPN;NOM;SG;3	N;NOM;MASC;SG
kalıntılar	ostaje	kalıntı	ostajati	N;NOM;PL;3	V;IND;SG;3;PRS;FIN
kalıntılar	talog	kalıntı	tal	N;NOM;PL;3	N;NOM;MASC;SG
kalıntılar	ruševinama	kalıntı	ruševina	N;NOM;PL;3	N;INS;FEM;PL
kalıntılar	ruševina	kalıntı	ruševina	N;NOM;PL;3	N;NOM;FEM;SG
günah	grijeha	günah	grijeha		N;ACC;MASC;SG
günah	grijeh	günah	grijeh		N;NOM;MASC;SG
günah	greh	günah	greh		N;NOM;MASC;SG
günah	grijesi	günah	grijesiti		N;NOM;MASC;PL
günah	grijehe	günah	grijeha		N;ACC;MASC;PL
mide	trbuh	mide	trbuh		N;NOM;MASC;SG
mide	želudac	mide	želudac		N;NOM;MASC;SG
mide	stomak	mide	stomak		N;NOM;MASC;SG
parma	parma	parma	parma	PROPN;NOM;SG;3	PROPN;NOM;FEM;SG
mehdi	mehdi	mehdi	mehd		N;NOM;MASC;SG
denizci	pomorci	denizci	pomorac		N;NOM;MASC;PL
denizci	mornaru	denizci	mornar		N;DAT;MASC;SG
denizci	mornar	denizci	mornar		N;NOM;MASC;SG
denizci	marine	denizci	marina		N;NOM;FEM;PL
denizci	marinac	denizci	marinac		N;NOM;MASC;SG
joel	joel	joel	joel		PROPN;NOM;MASC;SG
elena	elena	elen	elena		N;NOM;FEM;SG
elena	elenu	elen	elena		N;ACC;FEM;SG
volga	volgi	volga	volga		N;DAT;FEM;SG
kanatlı	krilati	kanatlı	krilati		N;NOM;MASC;PL
vestfalya	vestfalija	vestfalya	vestfalija	PROPN;NOM;SG;3	N;NOM;FEM;SG
crystal	kristal	crystal	kristal	PROPN;NOM;SG;3	N;NOM;MASC;SG
crystal	kristalno	crystal	kristalno	PROPN;NOM;SG;3	ADV
crystal	kristalna	crystal	kristalan	PROPN;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
crystal	crystal	crystal	crystal	PROPN;NOM;SG;3	ADP
julian	julian	julian	julian		PROPN;NOM;MASC;SG
beklenmedik	neočekivana	bekle	neočekivan	V;PFV;POT;PL;1;NEG;PST	ADJ;NOM;DEF;FEM;SG;V.PTCP
beklenmedik	neočekivano	bekle	neočekivan	V;PFV;POT;PL;1;NEG;PST	ADV
beklenmedik	neočekivani	bekle	neočekivan	V;PFV;POT;PL;1;NEG;PST	ADJ;NOM;DEF;MASC;SG
pasaportu	putovnica	pasaport	putovnica	N;ACC;SG;3	N;NOM;FEM;SG
duyarlı	reagira	duyarlı	reagirati		V;IND;SG;3;PRS;FIN
duyarlı	osjetljivo	duyarlı	osjetljiv		ADJ;NOM;DEF;NEUT;SG
duyarlı	osjetljiva	duyarlı	osjetljiv		ADJ;NOM;DEF;FEM;SG
duyarlı	osjetljiv	duyarlı	osjetljiv		ADJ;NOM;INDF;MASC;SG
duyarlı	osjetljive	duyarlı	osjetljiv		ADJ;NOM;DEF;FEM;PL
duyarlı	osjetljivi	duyarlı	osjetljiv		ADJ;NOM;DEF;MASC;PL
nedim	nedim	ne	nediti		N;NOM;MASC;SG
fritz	fritz	fritz	fritz	PROPN;NOM;SG;3	N;NOM;MASC;SG
etken	čimbenik	etken	čimbenik		N;NOM;MASC;SG
etken	faktor	etken	faktor		N;NOM;MASC;SG
zincir	lanaca	zincir	lanac	N;NOM;SG;3	N;GEN;MASC;PL
zincir	lanci	zincir	lanac	N;NOM;SG;3	N;NOM;MASC;PL
depo	skladišta	depo	skladište		N;NOM;NEUT;PL
depo	skladište	depo	skladište		N;NOM;NEUT;SG
depo	skladištenje	depo	skladištenje		N;NOM;NEUT;SG
depo	spremište	depo	spremište		N;NOM;NEUT;SG
depo	skladište	depo	skladište		N;NOM;NEUT;SG
depo	repozitorij	depo	repozitorij		N;NOM;MASC;SG
depo	spremište	depo	spremište		N;NOM;NEUT;SG
nişan	april	nişan	april		N;NOM;MASC;SG
nişan	travanj	nişan	travanj		N;NOM;MASC;SG
nişan	travnja	nişan	travanj		N;GEN;MASC;SG
nişan	zaruke	nişan	zaruke		N;NOM;FEM;PL
nişan	angažman	nişan	angažman		N;NOM;MASC;SG
emine	emine	em	emina		N;NOM;FEM;SG
burton	burton	burton	burton		N;NOM;MASC;SG
stanford	stanford	stanford	stanford	PROPN;NOM;SG;3	N;NOM;MASC;SG
başlıkları	naslovi	başlık	naslov	N;ACC;PL;3	N;NOM;MASC;PL
hac	hodočašće	hac	hodočašće		N;NOM;NEUT;SG
planlı	zakazan	planlı	zakazati		ADJ;NOM;MASC;SG;V.PTCP;PASS
planlı	zakazani	planlı	zakazati		ADJ;NOM;DEF;MASC;PL;V.PTCP
planlı	planirano	planlı	planirati		ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
planlı	zakazano	planlı	zakazati		ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
planlı	planirana	planlı	planirati		ADJ;NOM;DEF;FEM;SG;V.PTCP
planlı	planirao	planlı	planirati		V;MASC;SG;PST;V.PTCP;ACT
planlı	planirani	planlı	planiran		ADJ;NOM;DEF;MASC;PL;V.PTCP
planlı	planirano	planlı	planirati		ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
planlı	planiran	planlı	planirati		ADJ;NOM;MASC;SG;V.PTCP;PASS
çerçeve	okvire	çerçev	okvir	N;NOM;SG;3	N;ACC;MASC;PL
artı	plus	artı	plus		N;NOM;MASC;SG
protokol	protokol	protokol	protokol		N;NOM;MASC;SG
edinburgh	edinburghu	edinburgh	edinburgh	PROPN;NOM;SG;3	N;DAT;MASC;SG
cadde	street	cadde	street	N;NOM;SG;3	ADP
cadde	ulicu	cadde	ulica	N;NOM;SG;3	N;ACC;FEM;SG
tanımlama	definicije	tanımla	definicija	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;PL
tanımlama	definicija	tanımla	definicija	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
tanımlama	definiranje	tanımla	definiranje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
tanımlama	identifikacija	tanımla	identifikacija	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
tanımlama	opis	tanımla	opis	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG
tanımlama	opisa	tanımla	opis	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;GEN;MASC;SG
tanımlama	karakterizacija	tanımla	karakterizacija	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;FEM;SG
yatan	polaganje	yat	polaganje		N;NOM;NEUT;SG
disiplin	disciplinu	dis	disciplina	N;NOM;SG;3	N;ACC;FEM;SG
disiplin	disciplini	dis	disciplina	N;NOM;SG;3	N;DAT;FEM;SG
disiplin	disciplinski	dis	disciplinski	N;NOM;SG;3	ADV
tutulması	pomrčine	tut	pomrčin	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;NOM;FEM;PL
tutulması	eclipse	tut	eclips	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;NOM;MASC;SG
torres	torres	torres	torres	PROPN;NOM;SG;3	N;NOM;MASC;SG
genişletilmiş	proširio	genişle	proširiti	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP;ACT
kompleks	složeno	kompleks	složen		ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
kompleks	kompleks	kompleks	kompleks		N;NOM;MASC;SG
kompleks	složena	kompleks	složen		ADJ;NOM;DEF;FEM;SG;V.PTCP
lazio	lazio	lazio	laziti	PROPN;NOM;SG;3	N;NOM;MASC;SG
nevada	nevadi	neva	nevad	PROPN;NOM;SG;3	PROPN;DAT;FEM;SG
nevada	nevada	neva	nevad	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG
nevada	nevade	neva	nevada	PROPN;NOM;SG;3	N;NOM;FEM;SG
irfan	irfan	irfan	irfan		N;NOM;MASC;SG
eskimo	eskimi	eskimo	esk		N;NOM;MASC;PL
ekvador	ekvadoru	ekvador	ekvador	PROPN;NOM;SG;3	N;DAT;MASC;SG
çeşitlilik	raznolikosti	çeşitlilik	raznolikost	N;NOM;SG;3	N;NOM;FEM;PL
çeşitlilik	različitosti	çeşitlilik	različitost	N;NOM;SG;3	N;NOM;FEM;PL
barselona	barcelonu	barselon	barcelon	PROPN;NOM;SG;3	N;ACC;FEM;SG
barselona	barcelone	barselon	barcelon	PROPN;NOM;SG;3	N;NOM;FEM;PL
barselona	barceloni	barselon	barcelon	PROPN;NOM;SG;3	N;DAT;FEM;SG
barselona	barcelona	barselon	barcelon	PROPN;NOM;SG;3	N;NOM;FEM;SG
çekilmesi	povlačenje	çek	povlačenje	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS	N;NOM;NEUT;SG
fosil	fosila	fosil	fositi		N;GEN;MASC;SG
fosil	fosil	fosil	fosil		N;NOM;MASC;SG
hüsrev	hozroje	hüsrev	hozroj		N;NOM;MASC;SG
tevrat	tora	tevrat	tor		N;NOM;MASC;SG
silindir	cilindar	sil	cilindar	V;PFV;IND;SG;3;POS;PST;PASS	N;NOM;MASC;SG
silindir	cilindara	sil	cilindar	V;PFV;IND;SG;3;POS;PST;PASS	N;GEN;MASC;PL
market	tržište	market	tržište		N;NOM;NEUT;SG
market	tržištu	market	tržište		N;DAT;NEUT;SG
market	plac	market	plac		N;NOM;MASC;SG
market	tržnica	market	tržnica		N;NOM;FEM;SG
chi	chi	chi	chi		PROPN;NOM;MASC;SG
nitelikli	kvalificirana	nitelikli	kvalificiran		ADJ;NOM;DEF;FEM;SG;V.PTCP
nitelikli	kvalificiran	nitelikli	kvalificirati		ADJ;NOM;INDF;MASC;SG
nitelikli	kvalificirani	nitelikli	kvalificiran		ADJ;NOM;DEF;MASC;PL
defteri	notes	defteri	notes	N;NOM;SG;3	ADP
defteri	bilježnicu	defteri	bilježnica	N;NOM;SG;3	N;ACC;FEM;SG
nbc	nbc	nbc	nbc		PROPN;NOM;MASC;SG
milyonlarca	milijuni	milyonlarca	milijun	NUM	N;NOM;MASC;PL
yaratmak	kreiranje	yarat	kreiranje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
yaratmak	stvaranje	yarat	stvaranje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
dâhil	uključeno	dâhil	uključiti		ADJ;NOM;NEUT;SG;V.PTCP;PASS
dâhil	uključen	dâhil	uključiti		ADJ;NOM;MASC;SG;V.PTCP
savcı	tužitelj	savcı	tužitelj		N;NOM;MASC;SG
winter	zime	winte	zima	PROPN;NOM;SG;3	N;NOM;FEM;PL
winter	zima	winte	zima	PROPN;NOM;SG;3	N;NOM;FEM;SG
winter	zimi	winte	zim	PROPN;NOM;SG;3	ADV
israilli	izraelci	israilli	izraelac		N;NOM;MASC;PL
israilli	izraelski	israilli	izraelski		ADJ;NOM;DEF;MASC;SG
israilli	izraelska	israilli	izraelski		ADJ;NOM;DEF;FEM;SG
iade	povrat	iade	povrat		N;NOM;MASC;SG
iade	povratak	iade	povratak		N;NOM;MASC;SG
iade	izručenju	iade	izručenje		N;DAT;NEUT;SG
iade	izručenje	iade	izručenje		N;NOM;NEUT;SG
sola	lijevo	sola	lijevo		ADV
sola	lijeva	sola	lijevo		N;NOM;FEM;SG
maggie	maggie	maggie	maggia		N;NOM;FEM;SG
maggie	megi	maggie	meg		PROPN;NOM;FEM;SG
bıçak	blade	bıçak	blad		N;NOM;MASC;SG
bıçak	oštrica	bıçak	oštrica		N;NOM;FEM;SG
bıçak	noževi	bıçak	nož		N;NOM;MASC;PL
bıçak	noževe	bıçak	nož		N;ACC;MASC;PL
bıçak	nož	bıçak	nož		N;NOM;MASC;SG
bıçak	noz	bıçak	noz		N;NOM;MASC;SG
nikola	nicola	nikol	nicol		PROPN;NOM;MASC;SG
nikola	nikola	nikol	nikola		PROPN;NOM;MASC;SG
hıristiyanlık	kršćanstva	hıristiyanlık	kršćanstvo	N;NOM;SG;3	N;NOM;NEUT;PL
kararları	rezolucije	karar	rezolucija	N;ACC;PL;3	N;NOM;FEM;PL
kararları	odluke	karar	odluka	N;ACC;PL;3	N;NOM;FEM;PL
kaldırmak	uklanjanje	kal	uklanjanje	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;NOM;NEUT;SG
kaldırmak	dizanje	kal	dizanje	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS	N;NOM;NEUT;SG
desteklenen	podržavao	destekle	podržavati	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP;ACT
nietzsche	nietzsche	nietzsche	nietzsche		N;NOM;MASC;SG
ntv	ntv	itv	ntv		PROPN;NOM;MASC;SG
komut	naredbe	komut	naredba		N;NOM;FEM;PL
komut	naredba	komut	naredba		N;NOM;FEM;SG
kayalık	rocky	kayalık	rocky		PROPN;NOM;MASC;SG
görüşme	intervju	görüşme	intervju		N;NOM;MASC;SG
statik	statički	statik	statički		ADV
lima	lima	lima	lima	PROPN;NOM;SG;3	N;GEN;MASC;SG
baltimore	baltimore	baltimore	baltimor	PROPN;NOM;SG;3	N;NOM;FEM;PL
pazarı	tržište	pazar	tržište	N;ACC;SG;3	N;NOM;NEUT;SG
pazarı	tržištu	pazar	tržište	N;ACC;SG;3	N;DAT;NEUT;SG
pazarı	plac	pazar	plac	N;ACC;SG;3	N;NOM;MASC;SG
pazarı	tržnica	pazar	tržnica	N;ACC;SG;3	N;NOM;FEM;SG
diferansiyel	diferencijalna	diferansiyel	diferencijalan	N;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
aydınlık	svijetlo	aydınlık	svijetlo	N;NOM;SG;3	ADV
aydınlık	svijetlo	aydınlık	svijetlo	N;NOM;SG;3	ADV
aydınlık	bistar	aydınlık	bistar	N;NOM;SG;3	ADJ;NOM;INDF;MASC;SG
aydınlık	bright	aydınlık	bright	N;NOM;SG;3	ADP
aydınlık	sjaja	aydınlık	sjaj	N;NOM;SG;3	N;GEN;MASC;SG
bizanslılar	bizantinaca	bizanslı	bizantinac	N;NOM;PL;3	N;ACC;MASC;SG
ine	ine	in	ini		N;NOM;FEM;PL
felix	felix	felix	felix		N;NOM;MASC;SG
neolitik	neolita	neolitik	neolit		N;NOM;MASC;SG
maryland	maryland	marylan	maryland	PROPN;NOM;SG;3	PROPN;NOM;MASC;SG
glory	slava	glory	slava		N;NOM;FEM;SG
glory	slavu	glory	slava		N;ACC;FEM;SG
glory	slave	glory	slava		N;NOM;FEM;PL
sorar	pita	sor	pit		V;IND;SG;3;PRS;FIN
brad	brad	brad	brad		PROPN;NOM;MASC;SG
randy	randy	randy	randy		PROPN;NOM;MASC;SG
kilit	zaključavanje	kilit	zaključavanje		N;NOM;NEUT;SG
kilit	zaključavanje	kilit	zaključavanje		N;NOM;NEUT;SG
kilit	brave	kilit	braviti		N;NOM;FEM;PL
kıdemli	senior	kıdemli	senior		N;NOM;MASC;SG
kıdemli	stariji	kıdemli	star		ADJ;NOM;DEF;CMPR;MASC;SG
kıdemli	viši	kıdemli	visok		ADJ;NOM;DEF;CMPR;MASC;SG
sektörü	sektor	sektör	sektor		N;NOM;MASC;SG
sektörü	sektora	sektör	sektor		N;GEN;MASC;SG
igor	igor	igor	igor		PROPN;NOM;MASC;SG
miles	milje	miles	milje		N;NOM;FEM;SG
miles	miles	miles	miles		ADP
miles	milja	miles	milj		N;NOM;MASC;SG
tecrübeli	iskusio	tecrübeli	iskusiti		V;MASC;SG;PST;V.PTCP;ACT
tecrübeli	iskusan	tecrübeli	iskusan		ADJ;NOM;INDF;MASC;SG
tecrübeli	iskusni	tecrübeli	iskusan		ADJ;NOM;DEF;MASC;PL
borç	dugovi	borç	dug		N;NOM;MASC;PL
borç	dugova	borç	dug		N;GEN;MASC;PL
borç	dugove	borç	dug		N;ACC;MASC;PL
borç	kredit	borç	kredit		N;NOM;MASC;SG
borç	zajam	borç	zajam		N;NOM;MASC;SG
borç	duga	borç	dug		N;NOM;FEM;SG
borç	dugovi	borç	dug		N;NOM;MASC;PL
borç	dug	borç	dug		N;NOM;MASC;SG
aralıklarla	intervalima	aralık	interval	N;INS;PL;3	N;DAT;MASC;PL
viktor	viktora	viktor	viktor		N;ANIM;ACC;MASC;SG
viktor	viktor	viktor	viktor		N;NOM;MASC;SG
sincan	xinjiang	sincan	xinjiang	PROPN;NOM;SG;3	N;NOM;MASC;SG
claire	kler	claire	kler		N;NOM;MASC;SG
claire	claire	claire	claira		N;NOM;FEM;SG
spurs	spursa	spurs	spurs	PROPN;NOM;SG;3	N;GEN;MASC;SG
çifti	par	çift	par	ADJ;NOM;SG;3	N;NOM;MASC;SG
çifti	par	çift	par	ADJ;NOM;SG;3	N;NOM;MASC;SG
tanık	svjedoci	tanık	svjedok		N;NOM;MASC;PL
tanık	svjedok	tanık	svjedok		N;NOM;MASC;SG
hafız	hafiz	hafız	hafiz		N;NOM;MASC;SG
belarus	bjelorusiji	belarus	bjelorusija	PROPN;NOM;SG;3	N;DAT;FEM;SG
periyodik	periodične	periyodik	periodičan		ADJ;NOM;DEF;FEM;PL
çömlek	lončarstvo	çömlek	lončarstvo		N;NOM;NEUT;SG
asistanı	pomoćnik	asistan	pomoćnik	N;ACC;SG;3	N;NOM;MASC;SG
asistanı	pomoćnica	asistan	pomoćnica	N;ACC;SG;3	N;NOM;FEM;SG
asistanı	asistent	asistan	asistent	N;ACC;SG;3	N;NOM;MASC;SG
aileleri	obitelji	aile	obitelj	N;ACC;PL;3	N;NOM;FEM;PL
aileleri	obiteljima	aile	obitelj	N;ACC;PL;3	N;INS;MASC;PL
aileleri	porodice	aile	porodica	N;ACC;PL;3	N;NOM;FEM;PL
falcon	falcon	falcon	falcon		N;NOM;MASC;SG
falcon	jastreb	falcon	jastreb		N;NOM;MASC;SG
falcon	sokol	falcon	sokol		N;NOM;MASC;SG
jamie	jamie	jamie	jamia		PROPN;NOM;MASC;SG
boğa	bik	boğa	bik		N;NOM;MASC;SG
boğa	taurus	boğa	taurus		N;NOM;MASC;SG
boğa	bika	boğa	bikati		N;ACC;MASC;SG
boğa	bik	boğa	bik		N;NOM;MASC;SG
boğa	bull	boğa	bull		N;NOM;MASC;SG
oranları	stope	oran	stopa	N;ACC;PL;3	N;NOM;FEM;PL
norveçli	norveški	norveçli	norveški		ADJ;NOM;DEF;MASC;SG
mutfak	kuhinje	mutfak	kuhinja		N;NOM;FEM;PL
mutfak	kuhinja	mutfak	kuhinja		N;NOM;FEM;SG
eleştirmen	kritičara	eleştir	kritičar		N;ACC;MASC;SG
eleştirmen	kritičar	eleştir	kritičar		N;NOM;MASC;SG
gilbert	gilbert	gilbert	gilbert		PROPN;NOM;MASC;SG
spartak	spartak	spartak	spartak		N;NOM;MASC;SG
carolina	carolina	carol	carolina	PROPN;NOM;SG;3	PROPN;NOM;FEM;SG
carolina	karolina	carol	karolina	PROPN;NOM;SG;3	N;NOM;FEM;SG
cihazlar	uređaje	cihaz	uređaj	N;NOM;PL;3	N;ACC;MASC;PL
janet	janet	janet	janet		N;NOM;FEM;SG
okumak	pročitaj	oku	pročitaj	V;PFV;NOM;IND;POS;PRS;V.MSDR	INTJ
okumak	pročitajte	oku	pročitati	V;PFV;NOM;IND;POS;PRS;V.MSDR	V;IMP;PL;2;FIN
okumak	čitaj	oku	čitaj	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;MASC;SG
okumak	čitanje	oku	čitanje	V;PFV;NOM;IND;POS;PRS;V.MSDR	N;NOM;NEUT;SG
ural	ural	ural	ural		PROPN;NOM;MASC;SG
sembol	simbol	sembol	simbol		N;NOM;MASC;SG
christina	christina	christin	christina	PROPN;DAT;SG;3	N;NOM;FEM;SG
christina	kristina	christin	kristina	PROPN;DAT;SG;3	N;NOM;FEM;SG
uzmanlık	stručnosti	uzmanlık	stručnost	N;NOM;SG;3	N;NOM;FEM;PL
