категорія	kategori	категорія	kategori	N;INAN;NOM;FEM;SG	
через	aracılığıyla	через	aracılık	ADP;ACC	N;INS;SG;3
через	via	через	via	ADP;ACC	PROPN;NOM;SG;3
через	yoluyla	через	yol	ADP;ACC	N;INS;SG;3
через	üzerinden	через	üzer	ADP;ACC	N;AT+ABL;SG;3
через	vadesi	через	vade	ADP;ACC	N;NOM;SG;3
через	nedeniyle	через	neden	ADP;ACC	N;INS;SG;3
через	aracılığıyla	через	aracılık	ADP;ACC	N;INS;SG;3
через	yoluyla	через	yol	ADP;ACC	N;INS;SG;3
через	geçerek	через	geç	ADP;ACC	V;PFV;IND;POS;PRS;V.CVB
села	köyleri	село	köy	N;INAN;NOM;NEUT;SG	N;ACC;PL;3
села	sela	село	sela	N;INAN;NOM;NEUT;SG	
так	evet	так	evet	INTJ	N;NOM;SG;3
так	evet	так	evet	INTJ	N;NOM;SG;3
так	yes	так	yes	INTJ	
рік	rick	рік	rick	N;INAN;NOM;MASC;SG	
рік	yıl	рік	yıl	N;INAN;NOM;MASC;SG	
рік	yılı	рік	yıl	N;INAN;NOM;MASC;SG	
рік	sene	рік	sene	N;INAN;NOM;MASC;SG	
відстань	mesafeler	відстань	mesafe	N;INAN;NOM;FEM;SG	N;NOM;PL;3
ради	konsey	рада	konsey	N;INAN;NOM;FEM;PL	
ради	konseyi	рада	konse	N;INAN;NOM;FEM;PL	
сша	amerika	сШа	amerik	PROPN;INAN;GEN	
сша	abd	сШа	abd	PROPN;INAN;GEN	
сша	usa	сШа	us	PROPN;INAN;GEN	
область	oblastı	область	obla	N;INAN;NOM;FEM;SG	
область	bölge	область	bölge	N;INAN;NOM;FEM;SG	
область	alan	область	al	N;INAN;NOM;FEM;SG	V;PFV;IND;POS;PRS;V.PTCP
того	togo	те	togo	PRO;INAN;GEN;NEUT;SG	PROPN;NOM;SG;3
яка	ne	який	ne	DET;NOM;FEM;SG	
яка	hangi	який	hangi	DET;NOM;FEM;SG	ADJ
яка	hangisi	який	hangi	DET;NOM;FEM;SG	
сайті	site	сайт	sit	N;INAN;DAT;MASC;SG	N;NOM;SG;3
близько	yakın	близько	yakın	ADV	
близько	kapat	близько	kapat	ADV	V;PFV;IMP;SG;2;POS;PRS
близько	yakına	близько	yakın	ADV	
близько	yakin	близько	yakin	ADV	
близько	yakın	близько	yakın	ADV	
близько	yakınında	близько	yakın	ADV	ADJ;ESS;SG;3
близько	yakınındaki	близько	yakınındaki	ADV	ADJ;ESS;SG;3
війни	savaşları	війна	savaş	N;INAN;NOM;FEM;SG	N;NOM;PL;3
війни	savaşlar	війна	savaş	N;INAN;NOM;FEM;SG	N;NOM;PL;3
файл	dosya	файл	dosya	N;INAN;NOM;MASC;SG	
між	arasında	між	ara	ADP;INS	ADJ;ESS;SG;3
між	arasına	між	ara	ADP;INS	ADJ;DAT;SG;3
між	arası	між	ara	ADP;INS	ADJ;NOM;SG;3
між	arasındaki	між	ara	ADP;INS	ADJ;ESS;SG;3
роки	yıllarca	рік	yıllarca	N;INAN;NOM;MASC;PL	ADV
роки	yıllardır	рік	yıl	N;INAN;NOM;MASC;PL	V;IPFV;IND;PL;3;POS
роки	yılların	рік	yıl	N;INAN;NOM;MASC;PL	N;GEN;PL;3
роки	seneler	рік	sene	N;INAN;NOM;MASC;PL	
обговорення	tartışma	обговорення	tartış	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
обговорення	tartışma	обговорення	tartış	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
обговорення	tartışmaları	обговорення	tartış	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
обговорення	tartışmalar	обговорення	tartış	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
обговорення	görüşmeler	обговорення	görüşme	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
обговорення	tartışmak	обговорення	tartış	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
лише	yalnızca	лише	yalnızca	PART	ADV
лише	sadece	лише	sadece	PART	ADV
список	liste	список	lis	N;INAN;NOM;MASC;SG	
список	listeyi	список	liste	N;INAN;NOM;MASC;SG	N;ACC;SG;3
вересня	eylül	вересень	eylül	N;INAN;GEN;MASC;SG	
цей	bu	цей	bu	DET;NOM;MASC;SG	
цей	bunu	цей	bu	DET;NOM;MASC;SG	PRO;ACC;SG;3
березня	mart	березень	mart	N;INAN;GEN;MASC;SG	
березня	marş	березень	marş	N;INAN;GEN;MASC;SG	
березня	yürüyüş	березень	yürüyüş	N;INAN;GEN;MASC;SG	
місце	nokta	місце	nokta	N;INAN;NOM;NEUT;SG	
місце	spot	місце	spot	N;INAN;NOM;NEUT;SG	
місце	konumu	місце	konum	N;INAN;NOM;NEUT;SG	N;ACC;SG;3
місце	yeri	місце	yer	N;INAN;NOM;NEUT;SG	N;ACC;SG;3
муніципалітет	belediye	муніципалітет	beledi	N;INAN;NOM;MASC;SG	
муніципалітет	belediyesi	муніципалітет	belediye	N;INAN;NOM;MASC;SG	
муніципалітет	belediyeye	муніципалітет	belediye	N;INAN;NOM;MASC;SG	N;DAT;SG;3
україні	ukrayna	україна	ukra	PROPN;INAN;DAT;FEM;SG	PROPN;NOM;SG;3
серпня	ağustos	серпень	ağustos	N;INAN;GEN;MASC;SG	
серпня	august	серпень	august	N;INAN;GEN;MASC;SG	
січня	ocak	січень	ocak	N;INAN;GEN;MASC;SG	
травня	may	травень	may	N;INAN;GEN;MASC;SG	
травня	mayis	травень	mayis	N;INAN;GEN;MASC;SG	
травня	mayıs	травень	mayıs	N;INAN;GEN;MASC;SG	
грудня	aralık	грудень	aralık	N;INAN;GEN;MASC;SG	N;NOM;SG;3
інших	diğer	інший	diğer	DET;GEN;PL	ADJ
інших	diğeri	інший	diğer	DET;GEN;PL	N;NOM;SG;3
інших	öteki	інший	öteki	DET;GEN;PL	
інших	diger	інший	diger	DET;GEN;PL	
інших	diger	інший	diger	DET;GEN;PL	
інших	diğerleri	інший	diğer	DET;GEN;PL	N;ACC;PL;3
інших	diğerlerini	інший	diğer	DET;GEN;PL	N;ACC;PL;3
інших	başkaları	інший	başka	DET;GEN;PL	ADJ;ACC;PL;3
жовтня	ekim	жовтень	ekim	N;INAN;GEN;MASC;SG	
жовтня	ekim	жовтень	ekim	N;INAN;GEN;MASC;SG	
серед	arasında	серед	ara	ADP;GEN	ADJ;ESS;SG;3
один	biri	один	biri	NUM;NOM;MASC	PRO;NOM;SG;3
один	bir	один	bir	NUM;NOM;MASC	
липня	temmuz	липень	temmuz	N;INAN;GEN;MASC;SG	
участь	katılan	участь	kat	N;INAN;ACC;FEM;SG	V;PFV;IND;POS;PRS;V.PTCP;PASS
участь	katılım	участь	katılım	N;INAN;ACC;FEM;SG	
участь	katılımcı	участь	katılımcı	N;INAN;ACC;FEM;SG	
участь	katılım	участь	katılım	N;INAN;ACC;FEM;SG	
участь	katılmak	участь	kat	N;INAN;ACC;FEM;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;PASS
вид	kibar	вид	kibar	N;INAN;NOM;MASC;SG	
вид	nazik	вид	nazik	N;INAN;NOM;MASC;SG	ADJ
вид	tür	вид	tür	N;INAN;NOM;MASC;SG	
вид	türler	вид	tür	N;INAN;NOM;MASC;SG	N;NOM;PL;3
вид	gör	вид	gör	N;INAN;NOM;MASC;SG	V;PFV;IMP;SG;2;POS;PRS
можна	can	можна	can	ADV	
червня	june	червень	ju	N;INAN;GEN;MASC;SG	
червня	haziran	червень	haziran	N;INAN;GEN;MASC;SG	
місто	town	місто	town	N;INAN;NOM;NEUT;SG	PROPN;NOM;SG;3
місто	kasaba	місто	kasaba	N;INAN;NOM;NEUT;SG	
місто	şehir	місто	şehir	N;INAN;NOM;NEUT;SG	
місто	sehir	місто	sehir	N;INAN;NOM;NEUT;SG	
місто	city	місто	city	N;INAN;NOM;NEUT;SG	PROPN;NOM;SG;3
місто	şehir	місто	şehir	N;INAN;NOM;NEUT;SG	
вже	çoktan	вже	çok	ADV	ADJ;AT+ABL;SG;3
життя	life	життя	life	N;INAN;NOM;NEUT;SG	
життя	hayat	життя	hayat	N;INAN;NOM;NEUT;SG	
життя	ömür	життя	ömür	N;INAN;NOM;NEUT;SG	
срср	sscb	срср	sscb	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;SG;3
квітня	nişan	квітень	nişan	N;INAN;GEN;MASC;SG	
квітня	nisan	квітень	nisan	N;INAN;GEN;MASC;SG	
листопада	kasım	листопад	kasım	N;INAN;GEN;MASC;SG	
лютого	şubat	лютий	şubat	N;INAN;GEN;MASC;SG	
лютого	şubat	лютий	şubat	N;INAN;GEN;MASC;SG	
опис	tanım	опис	tanım	N;INAN;NOM;MASC;SG	
опис	açıklama	опис	açıkla	N;INAN;NOM;MASC;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
опис	tanımlama	опис	tanımla	N;INAN;NOM;MASC;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
опис	tarif	опис	tarif	N;INAN;NOM;MASC;SG	
опис	açıklaması	опис	açıkla	N;INAN;NOM;MASC;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR
опис	ediniz	опис	et	N;INAN;NOM;MASC;SG	V;PFV;IMP;PL;2;POS;PRS
центр	merkezi	центр	merkez	N;INAN;NOM;MASC;SG	N;ACC;SG;3
центр	merkez	центр	merkez	N;INAN;NOM;MASC;SG	
центр	orta	центр	orta	N;INAN;NOM;MASC;SG	
центр	merkezi	центр	merkez	N;INAN;NOM;MASC;SG	N;ACC;SG;3
центр	merkez	центр	merkez	N;INAN;NOM;MASC;SG	
центр	orta	центр	orta	N;INAN;NOM;MASC;SG	
центр	centre	центр	centre	N;INAN;NOM;MASC;SG	PROPN;NOM;SG;3
захід	west	захід	west	N;INAN;NOM;MASC;SG	PROPN;NOM;SG;3
захід	batıya	захід	bat	N;INAN;NOM;MASC;SG	N;DAT;SG;3
захід	batı	захід	batı	N;INAN;NOM;MASC;SG	
захід	batıda	захід	batı	N;INAN;NOM;MASC;SG	N;ESS;SG;3
тільки	yalnızca	тільки	yalnızca	PART	ADV
тільки	sadece	тільки	sadece	PART	ADV
франції	fransa	франція	fra	PROPN;INAN;GEN;FEM;SG	PROPN;NOM;SG;3
франції	france	франція	france	PROPN;INAN;GEN;FEM;SG	PROPN;NOM;SG;3
століття	yüzyıllar	століття	yüzyıl	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
століття	yüzyıllarca	століття	yüzyıllarca	N;INAN;NOM;NEUT;SG	ADV
століття	asırlar	століття	asır	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
століття	yüzyıl	століття	yüzyıl	N;INAN;NOM;NEUT;SG	
століття	asır	століття	asır	N;INAN;NOM;NEUT;SG	
рада	konsey	рада	konsey	N;INAN;NOM;FEM;SG	
рада	konseyi	рада	konse	N;INAN;NOM;FEM;SG	
рада	rada	рада	rada	N;INAN;NOM;FEM;SG	
схід	doğuya	схід	doğu	N;INAN;NOM;MASC;SG	ADJ;DAT;SG;3
схід	doğu	схід	doğu	N;INAN;NOM;MASC;SG	
схід	doğuda	схід	doğu	N;INAN;NOM;MASC;SG	N;ESS;SG;3
статті	makale	стаття	makale	N;INAN;NOM;FEM;PL	N;NOM;SG;3
склад	depo	склад	depo	N;INAN;NOM;MASC;SG	
склад	ambar	склад	ambar	N;INAN;NOM;MASC;SG	
міні	mini	міні	mini		
особи	kişi	особа	kişi	N;ANIM;NOM;FEM;PL	N;NOM;SG;3
особи	şahıs	особа	şahıs	N;ANIM;NOM;FEM;PL	
особи	kişiye	особа	kişi	N;ANIM;NOM;FEM;PL	N;DAT;SG;3
особи	insan	особа	insan	N;ANIM;NOM;FEM;PL	N;NOM;SG;3
особи	kisi	особа	kisi	N;ANIM;NOM;FEM;PL	
над	üzeri	над	üzer	ADP;ACC	
над	bitti	над	bit	ADP;ACC	V;PFV;IND;SG;3;POS;PST
історія	hikâye	історія	hiku	N;INAN;NOM;FEM;SG	
історія	öykü	історія	öykü	N;INAN;NOM;FEM;SG	
історія	masal	історія	masal	N;INAN;NOM;FEM;SG	
історія	tarihi	історія	tarih	N;INAN;NOM;FEM;SG	
історія	geçmiş	історія	geç	N;INAN;NOM;FEM;SG	
зображення	görüntüler	зображення	görüntü	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
зображення	resimler	зображення	resim	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
зображення	görseller	зображення	görsel	N;INAN;NOM;NEUT;SG	V;PFV;PL;3;POS;PRS
зображення	fotoğraf	зображення	fotoğraf	N;INAN;NOM;NEUT;SG	
зображення	resim	зображення	resim	N;INAN;NOM;NEUT;SG	
зображення	resmi	зображення	resmi	N;INAN;NOM;NEUT;SG	
зображення	görsel	зображення	görsel	N;INAN;NOM;NEUT;SG	
зображення	resim	зображення	resim	N;INAN;NOM;NEUT;SG	
зображення	imaj	зображення	imaj	N;INAN;NOM;NEUT;SG	
зображення	resimler	зображення	resim	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
зображення	fotoğraflar	зображення	fotoğraf	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
зображення	resimleri	зображення	resim	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
пункти	puan	пункт	pu	N;INAN;NOM;MASC;PL	
пункти	seçenek	пункт	seçenek	N;INAN;NOM;MASC;PL	
пункти	girdileri	пункт	gir	N;INAN;NOM;MASC;PL	V;PFV;IND;POS;PST;V.PTCP
пункти	girdiler	пункт	gir	N;INAN;NOM;MASC;PL	V;PFV;IND;PL;3;POS;PST
код	kodu	код	kodu	N;INAN;NOM;MASC;SG	
код	kod	код	kod	N;INAN;NOM;MASC;SG	
сайт	sitede	сайт	site	N;INAN;NOM;MASC;SG	N;ESS;SG;3
разом	beraber	разом	beraber	ADV	
разом	beraberce	разом	beraberce	ADV	
разом	birlikte	разом	birlikte	ADV	
інші	diğer	інший	diğer	DET;NOM;PL	ADJ
інші	diğeri	інший	diğer	DET;NOM;PL	N;NOM;SG;3
інші	öteki	інший	öteki	DET;NOM;PL	
інші	diger	інший	diger	DET;NOM;PL	
інші	diger	інший	diger	DET;NOM;PL	
інші	diğerleri	інший	diğer	DET;NOM;PL	N;ACC;PL;3
інші	diğerlerini	інший	diğer	DET;NOM;PL	N;ACC;PL;3
інші	başkaları	інший	başka	DET;NOM;PL	ADJ;ACC;PL;3
проти	karsi	проти	karsi	ADV	
проти	aleyhinde	проти	aleyh	ADV	N;ESS;SG;3
проти	karşı	проти	karşı	ADV	
тут	burada	тут	bura	ADV	N;ESS;SG;3
тут	burda	тут	bura	ADV	N;ESS;SG;3
початку	başlangıç	початок	başlangıç	N;INAN;GEN;MASC;SG	
мова	dil	мова	dil	N;INAN;NOM;FEM;SG	
мова	dile	мова	dile	N;INAN;NOM;FEM;SG	
мова	dili	мова	dili	N;INAN;NOM;FEM;SG	
мова	lisan	мова	lisan	N;INAN;NOM;FEM;SG	
історії	tarihi	історія	tarih	N;INAN;NOM;FEM;PL	
історії	geçmiş	історія	geç	N;INAN;NOM;FEM;PL	
історії	tarih	історія	tarih	N;INAN;NOM;FEM;PL	N;NOM;SG;3
всі	all	весь	all	DET;NOM;PL	
всі	hepsini	весь	hepsi	DET;NOM;PL	PRO;ACC;PL;3
всі	tamamı	весь	tamam	DET;NOM;PL	
всі	hepsi	весь	hepsi	DET;NOM;PL	PRO;NOM;PL;3
всі	tümü	весь	tümü	DET;NOM;PL	
багато	birçok	багато	birçok	ADV	DET
багато	çok	багато	çok	ADV	
більше	devamı	більше	devam	ADV;CMPR	
більше	more	більше	more	ADV;CMPR	
кількість	sayar	кількість	sayar	N;INAN;NOM;FEM;SG	
кількість	say	кількість	say	N;INAN;NOM;FEM;SG	
кількість	kont	кількість	kont	N;INAN;NOM;FEM;SG	
кількість	rakam	кількість	rakam	N;INAN;NOM;FEM;SG	
кількість	numara	кількість	numar	N;INAN;NOM;FEM;SG	
кількість	sayı	кількість	say	N;INAN;NOM;FEM;SG	
кількість	miktar	кількість	miktar	N;INAN;NOM;FEM;SG	
шаблони	şablon	шаблон	şablon	N;INAN;NOM;MASC;PL	
шаблони	desenleri	шаблон	desen	N;INAN;NOM;MASC;PL	V;PFV;IND;PL;3;POS;PRS
дуже	cok	дуже	cok	ADV	
дуже	çok	дуже	çok	ADV	
два	iki	два	iki	NUM;NOM;MASC	
перший	öncelikle	перший	öncelik	ADJ;NOM;MASC;SG	N;INS;SG;3
перший	önce	перший	önce	ADJ;NOM;MASC;SG	
перший	ilk	перший	ilk	ADJ;NOM;MASC;SG	
перший	once	перший	once	ADJ;NOM;MASC;SG	
площа	plaza	площа	plaza	N;INAN;NOM;FEM;SG	PROPN;NOM;SG;3
площа	karesi	площа	kare	N;INAN;NOM;FEM;SG	
площа	meydan	площа	meydan	N;INAN;NOM;FEM;SG	
площа	kare	площа	kare	N;INAN;NOM;FEM;SG	
площа	bölge	площа	bölge	N;INAN;NOM;FEM;SG	
площа	alan	площа	al	N;INAN;NOM;FEM;SG	V;PFV;IND;POS;PRS;V.PTCP
країни	ülke	країна	ülke	N;INAN;NOM;FEM;PL	
країни	vatan	країна	vat	N;INAN;NOM;FEM;PL	
країни	ülkelere	країна	ülke	N;INAN;NOM;FEM;PL	N;DAT;PL;3
країни	ülkeleri	країна	ülke	N;INAN;NOM;FEM;PL	N;ACC;PL;3
назва	adın	назва	ad	N;INAN;NOM;FEM;SG	
назва	başlık	назва	başlık	N;INAN;NOM;FEM;SG	
назва	unvan	назва	unvan	N;INAN;NOM;FEM;SG	
назва	ünvan	назва	ünvan	N;INAN;NOM;FEM;SG	
наук	bilimleri	наука	bilim	N;INAN;GEN;FEM;PL	N;ACC;PL;3
наук	bilimler	наука	bilim	N;INAN;GEN;FEM;PL	N;NOM;PL;3
розташований	bulunan	розташований	bulun	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	
без	olmadan	без	ol	ADP;GEN	V;PFV;IND;NEG;PRS;V.CVB
без	onsuz	без	onsuz	ADP;GEN	
голова	kafa	голова	kafa	N;ANIM;NOM;FEM;SG	
голова	başkan	голова	başkan	N;ANIM;NOM;FEM;SG	
голова	baskan	голова	baskan	N;ANIM;NOM;FEM;SG	
народився	doğan	народитися	doğ	V;PFV;MASC;IND;SG;PST;FIN	
народився	doğuştan	народитися	doğuş	V;PFV;MASC;IND;SG;PST;FIN	N;AT+ABL;SG;3
щодо	hakkında	щодо	hak	ADP;GEN	N;ESS;SG;3
щодо	yaklaşık	щодо	yaklaşık	ADP;GEN	
сторінка	sayfaya	сторінка	sayfa	N;INAN;NOM;FEM;SG	N;DAT;SG;3
сторінка	sayfa	сторінка	sayf	N;INAN;NOM;FEM;SG	
сторінка	sayfada	сторінка	sayfa	N;INAN;NOM;FEM;SG	N;ESS;SG;3
сторінка	sayfayı	сторінка	sayfa	N;INAN;NOM;FEM;SG	N;ACC;SG;3
той	bu	той	bu	DET;NOM;MASC;SG	
той	bunu	той	bu	DET;NOM;MASC;SG	PRO;ACC;SG;3
росії	rusya	росія	rusya	PROPN;INAN;GEN;FEM;SG	PROPN;NOM;SG;3
все	herşey	все	herşey	PRO;INAN;NOM;NEUT;SG	
все	herşeyi	все	herşey	PRO;INAN;NOM;NEUT;SG	N;ACC;SG;3
все	hersey	все	hersey	PRO;INAN;NOM;NEUT;SG	
все	all	все	all	PRO;INAN;NOM;NEUT;SG	
все	hepsini	все	hepsi	PRO;INAN;NOM;NEUT;SG	PRO;ACC;PL;3
все	tamamı	все	tamam	PRO;INAN;NOM;NEUT;SG	
все	hepsi	все	hepsi	PRO;INAN;NOM;NEUT;SG	PRO;NOM;PL;3
все	tümü	все	tümü	PRO;INAN;NOM;NEUT;SG	
київ	kiev	Київ	kiev	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;SG;3
київ	kiev	Київ	kiev	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;SG;3
зокрема	dahil	зокрема	dahil	ADV	
роботи	çalış	робота	çalış	N;INAN;NOM;FEM;PL	
роботи	çalışma	робота	çalış	N;INAN;NOM;FEM;PL	V;PFV;NOM;IND;POS;PRS;V.MSDR
роботи	iş	робота	iş	N;INAN;NOM;FEM;PL	N;NOM;SG;3
роботи	çalışmak	робота	çalış	N;INAN;NOM;FEM;PL	V;PFV;NOM;IND;POS;PRS;V.MSDR
біля	yakın	біля	yakın	ADP;GEN	
біля	yakınında	біля	yakın	ADP;GEN	ADJ;ESS;SG;3
біля	yakınındaki	біля	yakınındaki	ADP;GEN	ADJ;ESS;SG;3
веб	web	вебти	web		
веб	ağ	вебти	ağ		
веб	internet	вебти	internet		N;NOM;SG;3
статтю	yazı	стаття	yazı	N;INAN;ACC;FEM;SG	
статтю	madde	стаття	madde	N;INAN;ACC;FEM;SG	N;NOM;SG;3
статтю	makale	стаття	makale	N;INAN;ACC;FEM;SG	N;NOM;SG;3
праворуч	doğru	праворуч	doğru	ADV	
праворуч	sağa	праворуч	sağ	ADV	
праворуч	sağ	праворуч	sağ	ADV	
праворуч	dogru	праворуч	dogru	ADV	
потім	öyleyse	потім	öyleyse	ADV	
потім	ozaman	потім	oza	ADV	
землі	earth	земля	earth	N;INAN;NOM;FEM;PL	
землі	toprak	земля	toprak	N;INAN;NOM;FEM;PL	
землі	dünya	земля	dünya	N;INAN;NOM;FEM;PL	
землі	yeryüzü	земля	yeryüzü	N;INAN;NOM;FEM;PL	
армії	ordular	армія	ordu	N;INAN;GEN;FEM;SG	N;NOM;PL;3
армії	ordu	армія	ordu	N;INAN;GEN;FEM;SG	
однак	ancak	однак	ancak	CONJ	
саме	aynen	саме	aynen	PART	
саме	kesinlikle	саме	kesinlik	PART	N;INS;SG;3
північний	kuzey	північний	kuzey	ADJ;NOM;MASC;SG	
північний	kuzeyde	північний	kuzeyde	ADJ;NOM;MASC;SG	N;ESS;SG;3
північний	north	північний	north	ADJ;NOM;MASC;SG	PROPN;NOM;SG;3
північний	kuzeye	північний	kuze	ADJ;NOM;MASC;SG	N;DAT;SG;3
північний	kuzey	північний	kuzey	ADJ;NOM;MASC;SG	
день	gündüz	день	gündüz	N;INAN;NOM;MASC;SG	
день	gun	день	gun	N;INAN;NOM;MASC;SG	
частина	kısım	частина	kısım	N;INAN;NOM;FEM;SG	
частина	bölüm	частина	bölüm	N;INAN;NOM;FEM;SG	
частина	part	частина	part	N;INAN;NOM;FEM;SG	
частина	kısmen	частина	kısmen	N;INAN;NOM;FEM;SG	
південний	güney	південний	güney	ADJ;NOM;MASC;SG	
південний	güneyli	південний	güneyli	ADJ;NOM;MASC;SG	
південний	güney	південний	güney	ADJ;NOM;MASC;SG	
південний	güneye	південний	güne	ADJ;NOM;MASC;SG	N;DAT;SG;3
смерті	olum	смерть	ol	N;INAN;NOM;FEM;PL	
смерті	ölüm	смерть	ölüm	N;INAN;NOM;FEM;PL	
смерті	death	смерть	death	N;INAN;NOM;FEM;PL	
період	adet	період	adet	N;INAN;NOM;MASC;SG	
період	nokta	період	nokta	N;INAN;NOM;MASC;SG	
період	dönem	період	dön	N;INAN;NOM;MASC;SG	
перша	öncelikle	перший	öncelik	ADJ;NOM;FEM;SG	N;INS;SG;3
перша	önce	перший	önce	ADJ;NOM;FEM;SG	
перша	ilk	перший	ilk	ADJ;NOM;FEM;SG	
перша	once	перший	once	ADJ;NOM;FEM;SG	
такі	takip	такий	takip	DET;NOM;PL	
двох	iki	два	iki	NUM;ACC	
навіть	bile	навіть	bile	PART	ADV
навіть	hatta	навіть	hatta	PART	CONJ
розташування	yerleştirme	розташування	yerleş	N;INAN;NOM;NEUT;SG	V;PFV;IMP;SG;2;NEG;PRS;CAUS
розташування	konumlandırma	розташування	konumla	N;INAN;NOM;NEUT;SG	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
розташування	mekanlar	розташування	mekan	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
розташування	konumlar	розташування	konum	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
розташування	yerler	розташування	yer	N;INAN;NOM;NEUT;SG	N;NOM;PL;3
розташування	konumları	розташування	konum	N;INAN;NOM;NEUT;SG	N;ACC;PL;3
розташування	yerleri	розташування	yer	N;INAN;NOM;NEUT;SG	N;ACC;PL;3
розташування	ayarlama	розташування	ayarlam	N;INAN;NOM;NEUT;SG	
