til	for	til	for	ADV	
københavn	koppenhágai	københavn	koppenhág	PROPN	N;NOM;SG
kom	gyere	komme	gyere	V;IND;PST;FIN;ACT	V;DEF;IMP;SG;1;PRS;FIN;ACT
skulle	kéne	skulle	kéne	V;IND;PST;FIN;ACT	V;INDF;COND;SG;3;PRS;FIN;ACT
skulle	kellene	skulle	kell	V;IND;PST;FIN;ACT	V;INDF;COND;SG;3;PRS;FIN;ACT
and	kacsa	and	kacsa		
and	duck	and	duck		
byen	town	by	town	N;DEF;MASC+FEM;SG	
byen	city	by	city	N;DEF;MASC+FEM;SG	
byen	városi	by	városi	N;DEF;MASC+FEM;SG	ADJ;NOM;SG
nogle	néhány	nogen	néhány	PRO;PL	DET;INDF
maj	may	maj	may	N;INDF;MASC+FEM;SG	
maj	májusi	maj	májusi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
anden	másodszor	anden	másod	PRO;MASC+FEM;SG	
anden	másodperc	anden	másodperc	PRO;MASC+FEM;SG	
anden	második	anden	második	PRO;MASC+FEM;SG	
mens	miközben	mens	miközben	CONJ	ADV
mens	mialatt	mens	mialatt	CONJ	ADV
mens	míg	mens	míg	CONJ	ADV
mens	amíg	mens	amíg	CONJ	ADV
andet	másodszor	anden	másod	PRO;NEUT;SG	
andet	másodperc	anden	másodperc	PRO;NEUT;SG	
andet	második	anden	második	PRO;NEUT;SG	
andet	egyéb	anden	egyéb	PRO;NEUT;SG	
dag	dag	dag	dag	N;INDF;MASC+FEM;SG	
kommune	kommuna	kommune	kommuna	N;INDF;MASC+FEM;SG	
død	halott	død	halott	N;INDF;MASC+FEM;SG	
død	halottak	død	halott	N;INDF;MASC+FEM;SG	N;NOM;PL
dem	ők	de	ők	PRO;ACC;PL;3	PRO;NOM;PL;3
august	august	august	augus	N;INDF;MASC+FEM;SG	
forskellige	más	forskellig	más	ADJ;PL	PRO;NOM;SG;3
forskellige	különböző	forskellig	különböző	ADJ;PL	
forskellige	eltérő	forskellig	eltérő	ADJ;PL	ADJ;NOM;SG
forskellige	többféle	forskellig	többfél	ADJ;PL	
forskellige	különféle	forskellig	különféle	ADJ;PL	
forskellige	különböző	forskellig	különböző	ADJ;PL	
nye	újdonság	ny	újdonság	ADJ;PL	N;NOM;SG
nye	új	ny	új	ADJ;PL	ADJ;NOM;SG
både	csónak	både	csó	ADV	N;NOM;SG
både	hajók	både	hajó	ADV	N;NOM;PL
både	mindkettő	både	mindkettő	ADV	
både	mindketten	både	mindkett	ADV	
januar	januári	januar	januári	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
gennem	via	gennem	via	ADV	
gennem	keresztül	gennem	keresztül	ADV	ADP
stor	nagyok	stor	nagy	ADJ;INDF;MASC+FEM;SG	N;NOM;PL
stor	nagyok	stor	nagy	ADJ;INDF;MASC+FEM;SG	N;NOM;PL
stor	nagyszerű	stor	nagyszerű	ADJ;INDF;MASC+FEM;SG	
usa	amerika	usa	amerika	PROPN	N;NOM;SG
usa	america	usa	america	PROPN	
usa	usa	usa	usa	PROPN	
uden	nélkül	uden	nélkül	ADV	ADP
uden	anélkül	uden	anélkül	ADV	
hold	csapatok	holde	csapat	V;IMP	N;NOM;PL
hold	csapat	holde	csapat	V;IMP	N;NOM;SG
hold	team	holde	team	V;IMP	
når	mikor	når	mikor	CONJ	ADV
når	amikor	når	amikor	CONJ	ADV
juni	juni	juni	juni	N;INDF;MASC+FEM;SG	
juni	júniusi	juni	júniusi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
juni	june	juni	june	N;INDF;MASC+FEM;SG	
kendt	ismeretes	kendt	ismeretes	ADJ;INDF;SG	
kendt	ismertek	kendt	ismer	ADJ;INDF;SG	V;INDF;IND;PL;3;PST;FIN;ACT
kendt	ismert	kendt	ismert	ADJ;INDF;SG	
kendt	híres	kendt	híres	ADJ;INDF;SG	
kendt	híresség	kendt	híresség	ADJ;INDF;SG	N;NOM;SG
før	előtte	før	előtte	ADV	
før	előtt	før	előtt	ADV	ADP
hvilket	ami	hvilken	ami	PRO;NEUT;SG	PRO;NOM;SG;3
hvilket	melyik	hvilken	melyik	PRO;NEUT;SG	
hvilket	mely	hvilken	mely	PRO;NEUT;SG	
hvilket	amely	hvilken	amely	PRO;NEUT;SG	PRO;NOM;SG;3
sogn	parish	sogn	parish	N;INDF;NEUT;SG	
september	szeptemberi	september	szeptemberi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
mest	legtöbb	mest	legtöbb	ADV;RL	
april	april	april	ap	N;INDF;MASC+FEM;SG	
april	áprilisi	april	áprilisi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
oktober	októberi	oktober	októberi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
marts	márciusi	marts	márciusi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
hele	egészben	hel	egészben	ADJ;DEF;SG	N;IN+ESS;SG
hele	egész	hel	egész	ADJ;DEF;SG	
juli	júliusi	juli	júliusi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
juli	juli	juli	juli	N;INDF;MASC+FEM;SG	
række	sorok	række	sor	N;INDF;MASC+FEM;SG	N;NOM;PL
række	sor	række	sor	N;INDF;MASC+FEM;SG	
derfor	ennélfogva	derfor	ennélfogva	ADV	
derfor	ezért	derfor	ezért	ADV	CONJ
style	stílus	style	stílus		N;NOM;SG
ofte	gyakran	ofte	gyakran	ADV	
ofte	gyakran	ofte	gyakran	ADV	
november	novemberi	november	novemberi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
december	decemberi	december	decemberi	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
jpg	jpg	jpg	jpg		
ville	volna	ville	volna	V;IND;PST;FIN;ACT	V;INDF;COND;SG;3;PRS;ACT
ville	lenne	ville	lesz	V;IND;PST;FIN;ACT	V;INDF;COND;SG;3;PRS;FIN;ACT
først	első	først	első	ADV	ADJ;NOM;SG
mål	célkitűzések	mål	célkitűzés	N;INDF;NEUT;SG	N;NOM;PL
mål	célok	mål	cél	N;INDF;NEUT;SG	N;NOM;PL
mål	célkitűzések	mål	célkitűzés	N;INDF;NEUT;SG	N;NOM;PL
mål	célokat	mål	cél	N;INDF;NEUT;SG	N;ACC;PL
mål	célok	mål	cél	N;INDF;NEUT;SG	N;NOM;PL
mål	célkitűzések	mål	célkitűzés	N;INDF;NEUT;SG	N;NOM;PL
mål	célpontok	mål	célpont	N;INDF;NEUT;SG	N;NOM;PL
mål	célok	mål	cél	N;INDF;NEUT;SG	N;NOM;PL
film	mozi	film	mozi	N;INDF;MASC+FEM;PL	N;NOM;SG
film	fólia	film	fólia	N;INDF;MASC+FEM;PL	N;NOM;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;NOM;SG
film	filmet	film	film	N;INDF;MASC+FEM;PL	N;ACC;SG
film	mozi	film	mozi	N;INDF;MASC+FEM;PL	N;NOM;SG
film	film	film	film	N;INDF;MASC+FEM;PL	N;NOM;SG
sidste	utoljára	sidste	utoljára	ADJ	ADV
sidste	utolsónak	sidste	utolsó	ADJ	ADV
sidste	last	sidste	last	ADJ	
sidste	utolsó	sidste	utolsó	ADJ	
noget	valami	nogen	valami	PRO;NEUT;SG	
noget	valamit	nogen	valamit	PRO;NEUT;SG	
tyske	németül	tysk	németül	ADJ;PL	
tyske	német	tysk	német	ADJ;PL	ADJ;NOM;SG
februar	februári	februar	februári	N;INDF;MASC+FEM;SG	ADJ;NOM;SG
inden	előtte	inden	előtte	ADV	
inden	előtt	inden	előtt	ADV	ADP
mindre	kisebbet	mindre	kis	ADV;CMPR	N;ACC;SG
mindre	kisebbek	mindre	kis	ADV;CMPR	PRO;NOM;PL;3
mindre	kisebb	mindre	kis	ADV;CMPR	ADJ;NOM;CMPR;SG
mindre	kiskorú	mindre	kiskorú	ADV;CMPR	N;NOM;SG
mindre	kisebb	mindre	kis	ADV;CMPR	ADJ;NOM;CMPR;SG
mindre	kevesebbet	mindre	kevesebb	ADV;CMPR	
mindre	kevesebb	mindre	kevesebb	ADV;CMPR	
christian	keresztény	christian	keresztény		
christian	christian	christian	christian		
christian	keresztények	christian	keresztény		N;NOM;PL
frem	előre	frem	előre	ADV	
alt	mindent	al	minden	ADJ;NEUT;SG	
alt	minden	al	minden	ADJ;NEUT;SG	PRO;NOM;SG;3
alt	mindegyik	al	mindegyik	ADJ;NEUT;SG	
alt	mind	al	mind	ADJ;NEUT;SG	CONJ
alt	minden	al	minden	ADJ;NEUT;SG	PRO;NOM;SG;3
side	side	side	side	N;INDF;MASC+FEM;SG	
større	nagyobbak	stor	nagy	ADJ;CMPR	ADV
større	nagyobbak	stor	nagy	ADJ;CMPR	ADV
tog	szerelvény	tage	szerelvény	V;IND;PST;FIN;ACT	N;NOM;SG
tog	vonattal	tage	vonat	V;IND;PST;FIN;ACT	N;NOM;SG
tog	vonaton	tage	vonat	V;IND;PST;FIN;ACT	N;ON+ESS;SG
tog	vonat	tage	vonat	V;IND;PST;FIN;ACT	N;NOM;SG
tog	vonatok	tage	vonat	V;IND;PST;FIN;ACT	N;NOM;PL
lille	kicsik	lille	kicsik	ADJ;SG	
lille	kicsi	lille	kicsi	ADJ;SG	
lille	kicsi	lille	kicsi	ADJ;SG	
lille	kevés	lille	kevés	ADJ;SG	
lille	lille	lille	lille	ADJ;SG	PROPN;NOM;SG
not	nem	not	nem		ADV
hendes	övé	hendes	övé	DET;3	V;DEF;IND;SG;3;PRS;FIN;ACT
von	von	von	von		
nord	észak	nord	észak	N;INDF	
nord	északi	nord	északi	N;INDF	
nord	nord	nord	nord	N;INDF	
kort	térkép	kort	térkép	ADJ;INDF;SG	
kort	térképet	kort	térkép	ADJ;INDF;SG	N;ACC;SG
kort	rövid	kort	rövid	ADJ;INDF;SG	
kort	röviden	kort	röviden	ADJ;INDF;SG	
kort	térkép	kort	térkép	ADJ;INDF;SG	
kort	térképeket	kort	térkép	ADJ;INDF;SG	N;ACC;PL
kort	térképek	kort	térkép	ADJ;INDF;SG	N;NOM;PL
kort	kártyák	kort	kártya	ADJ;INDF;SG	N;NOM;PL
kort	lapok	kort	lap	ADJ;INDF;SG	N;NOM;PL
kort	kártya	kort	kártya	ADJ;INDF;SG	N;NOM;SG
kort	kártya	kort	kártya	ADJ;INDF;SG	N;NOM;SG
udgivet	közzétette	udgive	közzétet	V;INDF;SG;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
helt	teljesen	helt	teljes	ADV	ADJ;FRML;SG
helt	hős	helt	hős	ADV	N;NOM;SG
gamle	idős	gammel	idős	ADJ;PL	
gamle	régit	gammel	régit	ADJ;PL	N;ACC;SG
gamle	régi	gammel	régi	ADJ;PL	
gamle	öreg	gammel	öreg	ADJ;PL	
gamle	régiek	gammel	régiek	ADJ;PL	N;NOM;PL
isbn	isbn	isbn	isbn	N;INDF;MASC+FEM;SG	
gange	idők	gang	idő	N;INDF;MASC+FEM;PL	
gange	times	gang	times	N;INDF;MASC+FEM;PL	N;NOM;SG
bedste	legjobbak	god	jó	ADJ;DEF;RL	N;NOM;PL
bedste	legjobb	god	jó	ADJ;DEF;RL	
bedste	best	god	best	ADJ;DEF;RL	
døde	halott	død	halott	ADJ;PL	
døde	halottak	død	halott	ADJ;PL	N;NOM;PL
døde	meghalt	død	meg+hal	ADJ;PL	V;INDF;IND;SG;3;PST;FIN;ACT
amerikanske	amerikai	amerikansk	amerikai	ADJ;PL	ADJ;NOM;SG
tysk	németül	tysk	németül	ADJ;INDF;SG	
meter	méter	meter	méter	N;INDF;MASC+FEM;PL	N;NOM;SG
meter	méter	meter	méter	N;INDF;MASC+FEM;PL	N;NOM;SG
meter	mérő	meter	mérő	N;INDF;MASC+FEM;PL	
meter	méter	meter	méter	N;INDF;MASC+FEM;PL	N;NOM;SG
meter	méter	meter	méter	N;INDF;MASC+FEM;PL	N;NOM;SG
tyskland	németország	tyskland	németország	PROPN	N;NOM;SG
lige	egyenesen	lige	egyenesen	ADV	
lige	egyenes	lige	egyenes	ADV	
lige	egyenlők	lige	egyenlő	ADV	N;NOM;PL
lige	egyenlőek	lige	egyenlő	ADV	N;NOM;PL
lige	egyenlő	lige	egyenlő	ADV	
spillet	játék	spille	játék	V;INDF;SG;PST;V.PTCP	N;NOM;SG
spillet	game	spille	gam	V;INDF;SG;PST;V.PTCP	
spillet	meccs	spille	meccs	V;INDF;SG;PST;V.PTCP	N;NOM;SG
peter	peter	peter	peter		PROPN;NOM;SG
peter	péter	peter	péter		
hver	minden	hver	minden	PRO;MASC+FEM;SG	PRO;NOM;SG;3
hver	mindegyik	hver	mindegyik	PRO;MASC+FEM;SG	
allerede	máris	allerede	máris	ADV	
ingen	senki	ingen	senki	PRO;MASC+FEM;SG	
historie	story	historie	story	N;INDF;MASC+FEM;SG	
historie	előzmények	historie	előzmény	N;INDF;MASC+FEM;SG	N;NOM;PL
engelsk	angolul	engelsk	angolul	ADJ;INDF;SG	
engelsk	angol	engelsk	angol	ADJ;INDF;SG	
århundrede	évszázadok	århundrede	évszázad	N;INDF;NEUT;SG	N;NOM;PL
århundrede	évszázadokkal	århundrede	évszázad	N;INDF;NEUT;SG	N;INS;PL
john	john	john	john	PROPN	
john	jános	john	jános	PROPN	N;NOM;SG
gift	házas	gift	házas	ADJ;INDF;SG	
gift	házasok	gift	házas	ADJ;INDF;SG	N;NOM;PL
gift	méreg	gift	méreg	ADJ;INDF;SG	N;NOM;SG
gift	méreg	gift	méreg	ADJ;INDF;SG	N;NOM;SG
center	center	center	center	N;INDF;NEUT;SG	
forhold	kapcsolatok	forhold	kapcsolat	N;INDF;NEUT;SG	N;NOM;PL
spiller	lejátszó	spille	lejátszó	V;IND;PRS;FIN;ACT	N;NOM;SG
spiller	játékos	spille	játékos	V;IND;PRS;FIN;ACT	N;NOM;SG
især	különösen	især	különös	ADV	ADJ;FRML;SG
især	különösen	især	különös	ADV	ADJ;FRML;SG
især	főleg	især	főleg	ADV	
kampe	gyufa	kamp	gyufa	N;INDF;MASC+FEM;PL	N;NOM;SG
kampe	egyezés	kamp	egyezés	N;INDF;MASC+FEM;PL	N;NOM;SG
kampe	egyezik	kamp	egyezik	N;INDF;MASC+FEM;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
kampe	harcol	kamp	harcol	N;INDF;MASC+FEM;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
kampe	harc	kamp	harc	N;INDF;MASC+FEM;PL	N;NOM;SG
kampe	harcol	kamp	harcol	N;INDF;MASC+FEM;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
kampe	küzdelem	kamp	küzdelem	N;INDF;MASC+FEM;PL	N;NOM;SG
kampe	verekedés	kamp	verekedés	N;INDF;MASC+FEM;PL	N;NOM;SG
kampe	harcolni	kamp	harcol	N;INDF;MASC+FEM;PL	V;NFIN;ACT
kampe	játék	kamp	játék	N;INDF;MASC+FEM;PL	N;NOM;SG
går	séta	gå	séta	V;IND;PRS;FIN;ACT	N;NOM;SG
går	gyalog	gå	gyalog	V;IND;PRS;FIN;ACT	
syd	dél	syd	dél	N;INDF	
syd	délre	syd	délre	N;INDF	ADV
syd	déli	syd	déli	N;INDF	
syd	syd	syd	syd	N;INDF	
skrevet	megírva	skrive	megírva	V;INDF;SG;PST;V.PTCP	ADV;V.CVB
skrevet	írásbeli	skrive	írásbeli	V;INDF;SG;PST;V.PTCP	ADJ;NOM;SG
skrevet	írta	skrive	ír	V;INDF;SG;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
sverige	svédország	sverig	svédország	ADJ;PL	N;NOM;SG
frederik	frederik	frederik	frederik	N;INDF;MASC+FEM;SG	
frederik	frederick	frederik	frederick	N;INDF;MASC+FEM;SG	
frankrig	franciaország	frankrig	franciaország		N;NOM;SG
frankrig	france	frankrig	france		
ned	lefelé	ned	lefelé	ADV	
ned	ned	ned	ned	ADV	
nogen	bárkinek	nogen	bárki	PRO;MASC+FEM;SG	
nogen	valaki	nogen	valaki	PRO;MASC+FEM;SG	
nogen	bárkit	nogen	bárki	PRO;MASC+FEM;SG	
nogen	bárki	nogen	bárki	PRO;MASC+FEM;SG	
nogen	valaki	nogen	valaki	PRO;MASC+FEM;SG	
nogen	valaki	nogen	valaki	PRO;MASC+FEM;SG	
nogen	valakit	nogen	valakit	PRO;MASC+FEM;SG	
godt	jó	godt	jó	ADV	
arbejde	dolgozó	arbejde	dolgozó	N;INDF;NEUT;SG	ADJ;NOM;SG
arbejde	dolgozik	arbejde	dolgozik	N;INDF;NEUT;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
arbejde	dolgozom	arbejde	dolgozik	N;INDF;NEUT;SG	V;INDF;IND;SG;1;PRS;FIN;ACT
arbejde	dolgozok	arbejde	dolgozik	N;INDF;NEUT;SG	V;INDF;IND;SG;1;PRS;FIN;ACT
land	földterületek	land	földterület	N;INDF;NEUT;SG	N;NOM;PL
begge	mindkettő	begge	mindkettő	PRO;PL	
begge	mindketten	begge	mindkett	PRO;PL	
norge	norvégia	norge	norvégia	PROPN	N;NOM;SG
europa	európa	europa	európa	PROPN	
europa	europe	europa	europe	PROPN	
europa	európában	europa	európa	PROPN	N;IN+ESS;SG
europa	europa	europa	europa	PROPN	
england	anglia	england	anglia	PROPN	N;NOM;SG
england	england	england	england	PROPN	
england	angliai	england	angliai	PROPN	ADJ;NOM;SG
player	lejátszó	play	lejátszó	N;INDF;MASC+FEM;PL	N;NOM;SG
player	játékos	play	játékos	N;INDF;MASC+FEM;PL	N;NOM;SG
børn	gyermek	barn	gyermek	N;INDF;NEUT;PL	N;NOM;SG
http	http	http	http	N;INDF;MASC+FEM;SG	
lidt	enyhén	lidt	enyhén	ADV	
lidt	kissé	lidt	kissé	ADV	
lidt	kevéssé	lidt	kevéssé	ADV	
verden	világ	verden	világ	N;INDF;MASC+FEM;SG	
verden	world	verden	world	N;INDF;MASC+FEM;SG	
lang	lang	lang	lang	ADJ;INDF;MASC+FEM;SG	
lang	hosszú	lang	hosszú	ADJ;INDF;MASC+FEM;SG	
får	bárány	få	bárány	V;IND;PRS;FIN;ACT	
får	juh	få	juh	V;IND;PRS;FIN;ACT	N;NOM;SG
får	birkák	få	birka	V;IND;PRS;FIN;ACT	
får	juhok	få	juhok	V;IND;PRS;FIN;ACT	N;NOM;PL
får	birka	få	birka	V;IND;PRS;FIN;ACT	
samtidig	egyidejű	samtidig	egyidejű	ADV	ADJ;NOM;SG
samtidig	egyidejűleg	samtidig	egyidejű	ADV	ADJ;FRML;SG
samtidig	egyszerre	samtidig	egyszer	ADV	
samtidig	egyidejűleg	samtidig	egyidejű	ADV	ADJ;FRML;SG
stort	nagyok	stor	nagy	ADJ;INDF;NEUT;SG	N;NOM;PL
stort	nagyok	stor	nagy	ADJ;INDF;NEUT;SG	N;NOM;PL
derefter	aztán	derefter	aztán	ADV	
indeholder	tartalmazó	indeholde	tartalmazó	V;IND;PRS;FIN;ACT	
sprog	nyelveket	sprog	nyelv	N;INDF;NEUT;SG	N;ACC;PL
sprog	nyelvek	sprog	nyelv	N;INDF;NEUT;SG	N;NOM;PL
sprog	nyelveken	sprog	nyelv	N;INDF;NEUT;SG	N;ON+ESS;PL
set	foltos	se	foltos	V;INDF;SG;PST;V.PTCP	N;NOM;SG
set	láttam	se	lát	V;INDF;SG;PST;V.PTCP	V;DEF;IND;SG;1;PST;FIN;ACT
set	látta	se	lát	V;INDF;SG;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
set	látták	se	lát	V;INDF;SG;PST;V.PTCP	V;DEF;IND;PL;3;PST;FIN;ACT
set	megtekintett	se	megtekintett	V;INDF;SG;PST;V.PTCP	
set	néztem	se	néz	V;INDF;SG;PST;V.PTCP	V;DEF;IND;SG;1;PRS;FIN;ACT
set	nézte	se	néz	V;INDF;SG;PST;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
london	londoni	london	londoni	PROPN	
london	londonban	london	london	PROPN	N;IN+ESS;SG
london	london	london	london	PROPN	N;NOM;SG
london	londonba	london	london	PROPN	
endnu	mégis	endnu	mégis	ADV	CONJ
kendte	ismeretes	kende	ismeretes	V;IND;PST;FIN;ACT	
kendte	ismert	kende	ismert	V;IND;PST;FIN;ACT	
kendte	sztárok	kende	sztár	V;IND;PST;FIN;ACT	N;NOM;PL
kendte	hírességek	kende	híresség	V;IND;PST;FIN;ACT	N;NOM;PL
kilder	forrás	kilde	forrás	N;INDF;MASC+FEM;PL	N;NOM;SG
vest	nyugat	vest	nyugat	N;INDF	
vest	nyugati	vest	nyugati	N;INDF	
vest	nyugati	vest	nyugati	N;INDF	
vest	nyugat	vest	nyugat	N;INDF	
vest	western	vest	western	N;INDF	
brug	használni	brug	használ	N;INDF;MASC+FEM;SG	V;NFIN;ACT
lande	ország	land	ország	N;INDF;NEUT;PL	N;NOM;SG
lande	országban	land	ország	N;INDF;NEUT;PL	N;IN+ESS;SG
liv	life	liv	life	N;INDF;NEUT;SG	
