kategória	kategorii	kategória	kategoria	N;NOM;FEM;SG	N;GEN;FEM;SG
odkazy	referencji	odkaz	referencja	N;INAN;NOM;MASC;PL	N;GEN;FEM;SG
odkazy	odnośniki	odkaz	odnośnik	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
odkazy	linków	odkaz	link	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
odkazy	łącza	odkaz	łączyć	N;INAN;NOM;MASC;PL	
odkazy	odnośniki	odkaz	odnośnik	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
socorro	socorro	socorro	socorro	N;NOM;NEUT;SG	V;IPFV;IND;SG;PRS;FIN;ACT
iné	innych	iný	inny	DET;NOM;NEUT;SG	ADJ;GEN;MASC;PL
iné	inne	iný	inny	DET;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
iné	pozostał	iný	pozostać	DET;NOM;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
iné	inny	iný	inny	DET;NOM;NEUT;SG	ADJ;NOM;MASC;SG
iné	inne	iný	inny	DET;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
iné	pozostał	iný	pozostać	DET;NOM;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
iné	inni	iný	inny	DET;NOM;NEUT;SG	ADJ;NOM;MASC;PL
boli	były	byť	być	V;IPFV;MASC;PL;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
miesto	spot	miesto	spot	N;NOM;NEUT;SG	
miesto	witryny	miesto	witryna	N;NOM;NEUT;SG	N;GEN;FEM;PL
obcí	gminy	obec	gmina	N;GEN;FEM;PL	
obcí	gmin	obec	gmina	N;GEN;FEM;PL	
obcí	gminy	obec	gmina	N;GEN;FEM;PL	
jej	jego	ona	on	PRO;DAT;FEM;SG;3	PRO;GEN;MASC;SG;3
jej	jej	ona	on	PRO;DAT;FEM;SG;3	PRO;GEN;FEM;SG;3
jej	ją	ona	on	PRO;DAT;FEM;SG;3	PRO;ACC;FEM;SG;3
ich	ich	on	on	PRO;NOM;MASC;PL;3	PRO;GEN;MASC;PL;3
ich	je	on	on	PRO;NOM;MASC;PL;3	PRO;ACC;NEUT;PL;3
ich	ich	on	on	PRO;NOM;MASC;PL;3	PRO;GEN;MASC;PL;3
ich	im	on	on	PRO;NOM;MASC;PL;3	PRO;DAT;MASC;PL;3
ich	ich	on	on	PRO;NOM;MASC;PL;3	PRO;GEN;MASC;PL;3
medzi	pomiędzy	medzi	pomiędzy	ADP;INS	
projekty	projektów	projekt	projekt	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
team	ekipa	team	ekipa	PROPN;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
team	team	team	team	PROPN;ANIM;NOM;MASC;SG	
team	drużyny	team	drużyna	PROPN;ANIM;NOM;MASC;SG	N;ACC;FEM;PL
team	drużyna	team	drużyna	PROPN;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
team	zespół	team	zespół	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
byť	bycie	byť	bycie	V;IPFV;POS;NFIN	
byť	będąc	byť	być	V;IPFV;POS;NFIN	V;IPFV;PRS;V.CVB;ACT
byť	bycia	byť	być	V;IPFV;POS;NFIN	
francúzska	francuski	francúzsky	francuski	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
francúzska	francuska	francúzsky	francuski	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
francúzska	french	francúzsky	fren	N;NOM;FEM;SG	
francúzska	francuskie	francúzsky	francuski	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
francúzska	francji	francúzsky	francja	N;NOM;FEM;SG	PROPN;GEN;FEM;SG
francúzska	france	francúzsky	franka	N;NOM;FEM;SG	PROPN;NOM;MASC;SG
najvyšší	najwyższa	vysoký	wysoki	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;CMPR;FEM;SG
najvyšší	najwyższy	vysoký	wysoki	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;CMPR;MASC;SG
najvyšší	najwyższa	vysoký	wysoki	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;CMPR;FEM;SG
najvyšší	najwyższy	vysoký	wysoki	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;CMPR;MASC;SG
najvyšší	najwyższe	vysoký	wysoki	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;CMPR;NEUT;SG
však	jakkolwiek	však	jakkolwiek	PART	
však	jednakże	však	jednakże	PART	
pod	niżej	pod	nisko	ADP;INS	ADV;CMPR
pod	poniżej	pod	poniżej	ADP;INS	
pod	pączek	pod	pączek	ADP;INS	N;NOM;MASC;SG
pod	kapsuła	pod	kapsuć	ADP;INS	N;NOM;FEM;SG
pred	pre	pred	pro	ADP;INS	
pred	zanim	pred	zanim	ADP;INS	CONJ
pred	wcześniej	pred	wcześnie	ADP;INS	ADV;CMPR
vývoj	rozwoju	vývoj	rozwój	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
vývoj	ewolucję	vývoj	ewolucja	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
vývoj	ewolucji	vývoj	ewolucja	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
najnižší	najniższy	žízky	niski	ADJ;INAN;NOM;RL;MASC;SG	ADJ;NOM;CMPR;MASC;SG
najnižší	najniższym	žízky	możki	ADJ;INAN;NOM;RL;MASC;SG	ADJ;INS;CMPR;MASC;SG
najnižší	najniższej	žízky	mażki	ADJ;INAN;NOM;RL;MASC;SG	ADJ;GEN;CMPR;FEM;SG
najnižší	najniższe	žízky	mełko	ADJ;INAN;NOM;RL;MASC;SG	ADJ;NOM;CMPR;MASC;SG
kde	kde	kde	kder	ADV	
kde	gdzie	kde	gdzie	ADV	ADV
môže	majowe	môcť	majowy	V;IPFV;IND;SG;3;POS;PRS;FIN	ADJ;NOM;NEUT;SG
môže	maja	môcť	mieć	V;IPFV;IND;SG;3;POS;PRS;FIN	
môže	majowy	môcť	majowy	V;IPFV;IND;SG;3;POS;PRS;FIN	ADJ;NOM;MASC;SG
môže	maj	môcť	maj	V;IPFV;IND;SG;3;POS;PRS;FIN	
môže	can	môcť	can	V;IPFV;IND;SG;3;POS;PRS;FIN	
nasledujúci	następnym	nasledujúci	następny	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	ADJ;INS;MASC;SG
nasledujúci	następna	nasledujúci	następny	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT	
zobrazuje	pokazy	zobrazovať	pokazać	V;IPFV;IND;SG;3;POS;PRS;FIN	N;NOM;MASC;PL
keď	kiedy	keď	kiedy	CONJ	ADV
mesto	town	mesto	town	N;NOM;NEUT;SG	
mesto	miasta	mesto	miasto	N;NOM;NEUT;SG	N;GEN;NEUT;SG
mesto	city	mesto	city	N;NOM;NEUT;SG	
mesto	miasta	mesto	miasto	N;NOM;NEUT;SG	N;GEN;NEUT;SG
usa	stany	usa	stany		N;NOM;MASC;PL
usa	ameryka	usa	ameryka		
usa	usa	usa	usać		PROPN;NOM;NEUT;PL
rokov	lata	rok	rok	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
september	wrzesień	september	wrzesień	N;INAN;NOM;MASC;SG	
september	września	september	wrzesień	N;INAN;NOM;MASC;SG	
úmrtia	śmierci	úmrtie	śmierć	N;NOM;NEUT;PL	N;GEN;FEM;SG
úmrtia	death	úmrtie	death	N;NOM;NEUT;PL	
úmrtia	śmierć	úmrtie	śmierć	N;NOM;NEUT;PL	N;NOM;FEM;SG
úmrtia	zmarli	úmrtie	zemrzeć	N;NOM;NEUT;PL	V;PFV;MASC;IND;PL;PST;FIN;ACT
neskôr	pozniej	neskôr	pozno	ADV	V;PFV;IND;SG;FIN;ACT
neskôr	później	neskôr	późno	ADV	ADV;CMPR
slovenský	słowackiej	slovenský	słowacki	ADJ;ANIM;NOM;MASC;SG	ADJ;GEN;FEM;SG
aby	make	aby	maka	CONJ;COND	
storočia	wieków	storočie	wiek	N;NOM;NEUT;PL	N;GEN;MASC;PL
storočia	wieki	storočie	wiek	N;NOM;NEUT;PL	N;ACC;MASC;PL
storočia	stulecia	storočie	stulecie	N;NOM;NEUT;PL	N;NOM;NEUT;SG
storočia	wieku	storočie	wiek	N;NOM;NEUT;PL	N;GEN;MASC;SG
storočia	wiek	storočie	wiek	N;NOM;NEUT;PL	N;NOM;MASC;SG
nad	wyżej	nad	wysoko	ADP;INS	ADV;CMPR
nad	ponad	nad	ponad	ADP;INS	PART
nad	powyżej	nad	powyżej	ADP;INS	
utc	utc	utc	utco		
jpg	jpg	jpg	jeść		
časti	części	časť	część	N;DAT;FEM;SG	N;ACC;FEM;PL
stránka	stronę	stránka	strona	N;NOM;FEM;SG	N;ACC;FEM;SG
stránka	stronie	stránka	strona	N;NOM;FEM;SG	N;DAT;FEM;SG
stránka	page	stránka	page	N;NOM;FEM;SG	
stránka	strony	stránka	strona	N;NOM;FEM;SG	N;NOM;FEM;PL
stránka	witryny	stránka	witryna	N;NOM;FEM;SG	N;GEN;FEM;PL
skupiny	grupie	skupina	grupa	N;NOM;FEM;PL	N;DAT;FEM;SG
skupiny	grupy	skupina	grupa	N;NOM;FEM;PL	N;ACC;FEM;SG
skupiny	grupa	skupina	grupa	N;NOM;FEM;PL	N;NOM;FEM;SG
skupiny	grup	skupina	grupa	N;NOM;FEM;PL	
skupiny	grupy	skupina	grupa	N;NOM;FEM;PL	N;ACC;FEM;SG
skupiny	grupach	skupina	grupa	N;NOM;FEM;PL	N;GEN;MASC;PL
html	html	htmly	htąl	N;INAN;NOM;MASC;SG	
roka	rok	rok	rok	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
ktorú	które	ktorý	który	DET;ACC;FEM;SG	DET;ACC;MASC;SG
ktorú	która	ktorý	który	DET;ACC;FEM;SG	DET;NOM;FEM;SG
ktorú	który	ktorý	który	DET;ACC;FEM;SG	DET;NOM;MASC;SG
časť	sekcję	časť	sekcja	N;NOM;FEM;SG	N;ACC;FEM;SG
časť	sekcji	časť	sekcja	N;NOM;FEM;SG	N;GEN;FEM;SG
časť	częściowo	časť	częściowo	N;NOM;FEM;SG	ADV
ngc	ngc	my	ngc	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
október	października	október	październik	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
mesta	town	mesto	town	N;NOM;NEUT;SG	
mesta	miasta	mesto	miasto	N;NOM;NEUT;SG	N;GEN;NEUT;SG
mesta	city	mesto	city	N;NOM;NEUT;SG	
mesta	miasta	mesto	miasto	N;NOM;NEUT;SG	N;GEN;NEUT;SG
marec	marzec	marec	marzec	N;INAN;NOM;MASC;SG	
marec	marca	marec	marza	N;INAN;NOM;MASC;SG	
august	sierpnia	august	sierpień	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
august	augusta	august	augusta	N;INAN;NOM;MASC;SG	
august	sierpień	august	sierpienie	N;INAN;NOM;MASC;SG	
august	sierpień	august	sierpienie	N;INAN;NOM;MASC;SG	
skupina	grupie	skupina	grupa	N;NOM;FEM;SG	N;DAT;FEM;SG
skupina	grupy	skupina	grupa	N;NOM;FEM;SG	N;ACC;FEM;SG
oficiálna	urzędnik	oficiálny	urzędnik	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
oficiálna	urzędowym	oficiálny	urzędowy	ADJ;NOM;FEM;SG	ADJ;INS;MASC;SG
oficiálna	oficjalnie	oficiálny	oficjalnie	ADJ;NOM;FEM;SG	ADV
narodenia	urodzenia	narodenie	urodzić	N;NOM;NEUT;PL	N;NOM;NEUT;SG
narodenia	poród	narodenie	poród	N;NOM;NEUT;PL	N;NOM;MASC;SG
narodenia	narodziny	narodenie	narodziny	N;NOM;NEUT;PL	N;NOM;NEUT;SG
tento	tym	tento	to	DET;INAN;NOM;MASC;SG	PRO;INS;NEUT;SG
osobnosti	osobowości	osobnosť	osobowość	N;NOM;FEM;PL	N;GEN;FEM;SG
osobnosti	osobowość	osobnosť	osobowość	N;NOM;FEM;PL	N;NOM;FEM;SG
osobnosti	osobowości	osobnosť	osobowość	N;NOM;FEM;PL	N;GEN;FEM;SG
bratislava	bratysława	bratislava	bratysława	N;NOM;FEM;SG	
november	listopada	november	listopada	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
november	listopadzie	november	listopad	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
november	listopad	november	listopad	N;INAN;NOM;MASC;SG	
november	listopada	november	listopada	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
november	listopad	november	listopad	N;INAN;NOM;MASC;SG	
december	grudnia	december	grudzień	N;INAN;NOM;MASC;SG	
december	grudniu	december	grudzień	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
december	dec	december	dec	N;INAN;NOM;MASC;SG	
roky	lat	rok	rok	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
oblasti	teren	oblasť	teren	N;NOM;FEM;PL	N;NOM;MASC;SG
oblasti	powierzchnia	oblasť	powierzchnia	N;NOM;FEM;PL	N;NOM;FEM;SG
oblasti	obszarze	oblasť	obszarz	N;NOM;FEM;PL	N;ACC;MASC;SG
oblasti	obszar	oblasť	obszar	N;NOM;FEM;PL	N;NOM;MASC;SG
oblasti	obszarach	oblasť	obszary	N;NOM;FEM;PL	N;GEN;MASC;PL
január	styczeń	január	styczenie	N;INAN;NOM;MASC;SG	
január	stycznia	január	styczeń	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
január	styczniu	január	styczeń	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
súbor	plik	súbor	plik	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
súbor	pliku	súbor	plik	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
mal	mal	mať	mala	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	
proti	przeciw	proti	przeciw	ADP;DAT	
apríl	apr	aprila	apr	N;INAN;NOM;MASC;SG	
apríl	kwietnia	aprila	kwiecia	N;INAN;NOM;MASC;SG	
apríl	april	aprila	april	N;INAN;NOM;MASC;SG	
sveta	świat	svet	świat	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
sveta	swiat	svet	swiat	N;INAN;GEN;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
sveta	świecie	svet	świat	N;INAN;GEN;MASC;SG	N;DAT;MASC;SG
sveta	world	svet	world	N;INAN;GEN;MASC;SG	
najmä	głownie	najmä	głownie	PART	ADV
najmä	szczególnie	najmä	szczególnie	PART	ADV
viac	more	viac	more	NUM;NOM;NEUT;SG	
viac	bardziej	viac	bardzo	NUM;NOM;NEUT;SG	ADV;CMPR
viac	więcej	viac	dużo	NUM;NOM;NEUT;SG	ADV;CMPR
február	luty	február	luty	N;INAN;NOM;MASC;SG	
február	lutego	február	luty	N;INAN;NOM;MASC;SG	
február	luty	február	luty	N;INAN;NOM;MASC;SG	
február	lutego	február	luty	N;INAN;NOM;MASC;SG	
náhľad	podgląd	náhľad	podgląd	N;INAN;NOM;MASC;SG	
mužov	męskie	muž	męski	N;ANIM;ACC;MASC;PL	ADJ;NOM;NEUT;SG
mužov	faceci	muž	facet	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
mužov	men	muž	men	N;ANIM;ACC;MASC;PL	
mužov	mężczyźni	muž	mężczyzna	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
názov	nominał	názov	nominać	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
názov	tytuł	názov	tytuł	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
názov	tytuł	názov	tytuł	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
okolo	okolice	okolo	okolica	ADP;GEN	N;ACC;FEM;SG
okolo	dookoła	okolo	dookoła	ADP;GEN	
ešte	acz	ešte	acz	PART	
prvý	najpierw	prvý	najpierw	ADJ;ANIM;NOM;MASC;SG	ADV
text	text	text	text	N;INAN;NOM;MASC;SG	
text	tekstowe	text	tekstowy	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
máj	majowe	mať	majowy	INTJ	ADJ;NOM;NEUT;SG
máj	maja	mať	mieć	INTJ	
máj	może	mať	móc	INTJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
máj	majowy	mať	majowy	INTJ	ADJ;NOM;MASC;SG
máj	maj	mať	maj	INTJ	
slovenskej	słowacki	slovenský	słowacki	ADJ;GEN;FEM;SG	ADJ;NOM;MASC;SG
spolu	całkowita	spolu	całkowity	ADV	ADJ;NOM;FEM;SG
spolu	ogółem	spolu	ogół	ADV	N;INS;MASC;SG
spolu	suma	spolu	suma	ADV	N;NOM;FEM;SG
tom	tomek	to	tomek	DET;NOM;NEUT;SG	N;NOM;MASC;SG
tom	tom	to	tom	DET;NOM;NEUT;SG	
majstrovstvá	championship	majstrovstvo	championship	N;NOM;NEUT;PL	
majstrovstvá	mistrzostw	majstrovstvo	mistrzostwa	N;NOM;NEUT;PL	N;GEN;NEUT;PL
majstrovstvá	mistrzostwo	majstrovstvo	mistrzostwo	N;NOM;NEUT;PL	N;NOM;NEUT;SG
majstrovstvá	biathlon	majstrovstvo	biathlon	N;NOM;NEUT;PL	N;NOM;MASC;SG
saint	święty	saint	święty	PROPN;ANIM;NOM;MASC;SG	
saint	święta	saint	święto	PROPN;ANIM;NOM;MASC;SG	
saint	saint	saint	saint	PROPN;ANIM;NOM;MASC;SG	
americký	american	americký	american	ADJ;ANIM;NOM;MASC;SG	
americký	amerykanin	americký	amerykanin	ADJ;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
júl	lipca	júl	lipiec	N;INAN;NOM;MASC;SG	
júl	lipiec	júl	lipiec	N;INAN;NOM;MASC;SG	
júl	jul	júl	jul	N;INAN;NOM;MASC;SG	
cez	via	cez	via	ADP;ACC	
cez	poprzez	cez	poprzez	ADP;ACC	
asi	prawdopodobnie	asi	prawdopodobnie	PART	ADV
asi	zgadnij	asi	zgadnąć	PART	V;PFV;IMP;SG;2;FIN;ACT
jeden	jeden	jeden	jeden	NUM;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
jeden	jedna	jeden	jeden	NUM;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
objavil	odkryte	objaviť	odkryć	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ktorých	czyja	ktorý	czyj	DET;ANIM;ACC;MASC;PL	
ktorých	czyj	ktorý	czyj	DET;ANIM;ACC;MASC;PL	N;NOM;MASC;SG
ktorých	czyje	ktorý	czyj	DET;ANIM;ACC;MASC;PL	
vojny	wojnę	vojna	wojna	N;NOM;FEM;PL	N;ACC;FEM;SG
vojny	wojna	vojna	wojna	N;NOM;FEM;PL	N;NOM;FEM;SG
vojny	wojny	vojna	wojna	N;NOM;FEM;PL	N;GEN;FEM;SG
vojny	war	vojna	war	N;NOM;FEM;PL	
vojny	wojen	vojna	wojen	N;NOM;FEM;PL	
vojny	wojny	vojna	wojna	N;NOM;FEM;PL	N;GEN;FEM;SG
rok	roku	rok	rok	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
ulica	street	ulica	street	N;NOM;FEM;SG	
ulica	ulicy	ulica	ulica	N;NOM;FEM;SG	N;DAT;FEM;SG
album	albumu	album	album	N;INAN;NOM;MASC;SG	
dátum	data	dátum	datać	N;INAN;NOM;MASC;SG	
žien	samica	žena	samica	N;GEN;FEM;PL	N;NOM;FEM;SG
žien	kobieta	žena	kobieta	N;GEN;FEM;PL	N;NOM;FEM;SG
žien	damskie	žena	damski	N;GEN;FEM;PL	ADJ;NOM;NEUT;SG
žien	kobiety	žena	kobieta	N;GEN;FEM;PL	N;NOM;FEM;PL
žien	suczka	žena	suczka	N;GEN;FEM;PL	N;NOM;FEM;SG
žien	kobiet	žena	kobieta	N;GEN;FEM;PL	
žien	kobietki	žena	kobietka	N;GEN;FEM;PL	N;NOM;FEM;PL
žien	kobiety	žena	kobieta	N;GEN;FEM;PL	N;NOM;FEM;PL
žien	damskie	žena	damski	N;GEN;FEM;PL	ADJ;NOM;NEUT;SG
tieto	tych	tento	ten	DET;NOM;MASC;PL	DET;GEN;MASC;PL
januára	styczeń	január	styczenie	N;INAN;GEN;MASC;SG	
toto	tym	toto	to	DET;NOM;NEUT;SG	PRO;INS;NEUT;SG
toto	toto	toto	toto	DET;NOM;NEUT;SG	
ktorí	kto	ktorý	kto	DET;ANIM;NOM;MASC;PL	PRO;NOM;MASC;SG
ktorí	kogo	ktorý	kto	DET;ANIM;NOM;MASC;PL	PRO;ACC;MASC;SG
ktorí	who	ktorý	who	DET;ANIM;NOM;MASC;PL	
všetky	wszystko	všetok	wszystko	DET;INAN;NOM;MASC;PL	PRO;NOM;NEUT;SG
všetky	all	všetok	all	DET;INAN;NOM;MASC;PL	
všetky	wszyscy	všetok	wszyscy	DET;INAN;NOM;MASC;PL	PRO;NOM;MASC;PL
francúzsky	francuski	francúzsky	francuski	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
francúzsky	francuska	francúzsky	francuski	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
francúzsky	french	francúzsky	fren	N;ANIM;NOM;MASC;SG	
francúzsky	francuskie	francúzsky	francuski	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
mestá	miasta	mesto	miasto	N;NOM;NEUT;PL	N;GEN;NEUT;SG
mestá	miejscowości	mesto	miejscowość	N;NOM;NEUT;PL	N;GEN;FEM;SG
mestá	miasteczka	mesto	miasteczko	N;NOM;NEUT;PL	N;NOM;NEUT;SG
mestá	miasta	mesto	miasto	N;NOM;NEUT;PL	N;GEN;NEUT;SG
svoje	jego	svoj	on	DET;ACC;NEUT;SG;REFL	PRO;GEN;MASC;SG;3
český	czech	český	czech	ADJ;ANIM;NOM;MASC;SG	
český	czeskiej	český	czeski	ADJ;ANIM;NOM;MASC;SG	ADJ;GEN;FEM;SG
český	český	český	český	ADJ;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
často	czesto	často	czesto	ADV	
ján	jan	ján	jan	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ján	ján	ján	jani	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ján	jan	ján	jan	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ján	johna	ján	johny	PROPN;ANIM;NOM;MASC;SG	
ján	janek	ján	janek	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ján	john	ján	john	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ján	jana	ján	jani	PROPN;ANIM;NOM;MASC;SG	
niekoľko	kilkanaście	niekoľko	kilkanaście	DET;NOM;NEUT;SG	DET;ACC;MASC;PL
niekoľko	kilka	niekoľko	kilka	DET;NOM;NEUT;SG	DET;ACC;MASC;PL
niekoľko	kilku	niekoľko	kilka	DET;NOM;NEUT;SG	DET;ACC;MASC;PL
okres	okręg	okres	okręg	INTJ	N;NOM;MASC;SG
okres	dzielnicy	okres	dzielnica	INTJ	N;GEN;FEM;SG
okres	dystrykt	okres	dystrykt	INTJ	N;NOM;MASC;SG
okres	dzielnica	okres	dzielnica	INTJ	N;NOM;FEM;SG
okres	rejon	okres	rejon	INTJ	N;NOM;MASC;SG
okres	powiat	okres	powiat	INTJ	
jún	jun	jún	jun	INTJ	
jún	czerwiec	jún	czerwiec	INTJ	
jún	czerwca	jún	czerwiec	INTJ	N;GEN;MASC;SG
jún	june	jún	juny	INTJ	
jún	czerwiec	jún	czerwiec	INTJ	
šablóny	wzorzec	šablón	wzorzec	N;INAN;NOM;MASC;PL	N;NOM;MASC;SG
šablóny	szablon	šablón	szablon	N;INAN;NOM;MASC;PL	N;NOM;MASC;SG
šablóny	szablonu	šablón	szablon	N;INAN;NOM;MASC;PL	N;GEN;MASC;SG
dnes	today	dnes	toda	ADV	
slovensko	słowacji	slovensko	słowacja	N;NOM;NEUT;SG	PROPN;GEN;FEM;SG
pretože	ponieważ	pretože	ponieważ	CONJ	PART
ani	ani	ani	ani	PART	CONJ
ani	ani	ani	ani	PART	CONJ
ktorého	czyja	ktorý	czyj	DET;ANIM;GEN;MASC;SG	
ktorého	czyj	ktorý	czyj	DET;ANIM;GEN;MASC;SG	N;NOM;MASC;SG
ktorého	czyje	ktorý	czyj	DET;ANIM;GEN;MASC;SG	
slovenska	slovenska	slovensky	slovenski	N;NOM;NEUT;SG	ADJ;NOM;FEM;SG
nové	nowości	nový	nowość	ADJ;NOM;NEUT;SG	N;ACC;FEM;PL
nové	nowość	nový	nowość	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG
nové	nowa	nový	nowy	ADJ;NOM;NEUT;SG	
všetkých	wszystkie	všetok	wszystek	DET;ANIM;ACC;MASC;PL	DET;NOM;MASC;PL
všetkých	wszystko	všetok	wszystko	DET;ANIM;ACC;MASC;PL	PRO;NOM;NEUT;SG
