और	oraz	और	oraz		CONJ
पूर्व	wschodnie	पूर्व	wschodni	ADV;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
पूर्व	east	पूर्व	east	ADV;NOM;MASC;SG;3	V;IPFV;IND;SG;PRS;FIN;ACT
पूर्व	wschód	पूर्व	wschód	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
पूर्व	wschodni	पूर्व	wschodni	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पूर्व	wschodnia	पूर्व	wschodnia	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पूर्व	były	पूर्व	być	ADV;NOM;MASC;SG;3	V;IPFV;MASC;IND;SG;PST;FIN;ACT
पूर्व	poprzedni	पूर्व	poprzedni	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पूर्व	dawne	पूर्व	dawny	ADV;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
पूर्व	poprzednie	पूर्व	poprzednie	ADV;NOM;MASC;SG;3	
बाद	pozniej	बाद	pozno	ADV;NOM;MASC;SG;3	V;PFV;IND;SG;FIN;ACT
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	
बाद	po	बाद	po	ADV;NOM;MASC;SG;3	INTJ
अपने	własne	अपना	własny	PRO;NOM;MASC	ADJ;NOM;NEUT;SG
अपने	własny	अपना	własny	PRO;NOM;MASC	ADJ;NOM;MASC;SG
अपने	własna	अपना	własny	PRO;NOM;MASC	ADJ;NOM;FEM;SG
अपने	twoje	अपना	twój	PRO;NOM;MASC	DET;NOM;MASC;SG;2
अपने	twój	अपना	twój	PRO;NOM;MASC	DET;NOM;MASC;SG;2
अपने	twoja	अपना	twój	PRO;NOM;MASC	DET;NOM;FEM;SG;2
अपने	twojego	अपना	twój	PRO;NOM;MASC	DET;GEN;MASC;SG;1
अपने	twoim	अपना	twój	PRO;NOM;MASC	DET;INS;MASC;SG;2
जिले	dzielnice	जिला	dzielnica	N;NOM;MASC;SG;3	N;NOM;FEM;PL
जिले	okręgi	जिला	okręga	N;NOM;MASC;SG;3	N;NOM;MASC;PL
जिले	okręgów	जिला	okręg	N;NOM;MASC;SG;3	N;GEN;MASC;PL
था	mial	था	mial	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
था	miał	था	mieć	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
था	miała	था	mieć	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
था	miał	था	mieć	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
था	była	था	być	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
था	był	था	być	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
था	było	था	być	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
राज्य	stany	राज्य	stany	N;NOM;MASC;SG;3	N;NOM;MASC;PL
राज्य	stanów	राज्य	stan	N;NOM;MASC;SG;3	N;GEN;MASC;PL
राज्य	state	राज्य	staty	N;NOM;MASC;SG;3	
बाहरी	odkrytym	बाहरी	odkryć	ADJ;NOM	ADJ;PFV;INS;MASC;SG;POS;V.PTCP;PASS
कुछ	trochę	कुछ	trochę	DET	ADV
कुछ	coś	कुछ	coś	DET	PRO;NOM;NEUT;SG
ईसा	jezu	ईसा	jezus	N;NOM;MASC;SG;3	
गाँव	wiosce	गाँव	wioska	N;NOM;MASC;PL;3	N;DAT;FEM;SG
गाँव	wioska	गाँव	wioska	N;NOM;MASC;PL;3	N;NOM;FEM;SG
गाँव	village	गाँव	village	N;NOM;MASC;PL;3	N;NOM;MASC;SG
गाँव	wioski	गाँव	wioska	N;NOM;MASC;PL;3	N;ACC;FEM;SG
गाँव	wieś	गाँव	wieś	N;NOM;MASC;PL;3	N;NOM;FEM;SG
सरकार	rządowe	सरकार	rządowy	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
सरकार	rządowy	सरकार	rządowy	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
कड़ियाँ	łańcuchów	कड़ी	łańcuch	N;NOM;FEM;PL;3	N;GEN;MASC;PL
कड़ियाँ	linków	कड़ी	link	N;NOM;FEM;PL;3	N;GEN;MASC;PL
कड़ियाँ	łącza	कड़ी	łączyć	N;NOM;FEM;PL;3	
कड़ियाँ	odnośniki	कड़ी	odnośnik	N;NOM;FEM;PL;3	N;ACC;MASC;PL
प्रदेश	regionie	प्रदेश	region	N;NOM;MASC;SG;3	N;ACC;MASC;SG
प्रदेश	regiony	प्रदेश	regić	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रदेश	regionu	प्रदेश	regić	N;NOM;MASC;SG;3	N;GEN;MASC;SG
इसके	jego	यह	on	PRO;MASC;SG;3	PRO;GEN;MASC;SG;3
दिया	podane	दे	podać	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
दिया	podana	दे	podać	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
दिया	dały	दे	dać	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;FEM;IND;PL;PST;FIN;ACT
अन्य	innych	अन्य	inny	N;NOM;MASC;SG;3	ADJ;GEN;MASC;PL
अन्य	inne	अन्य	inny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अन्य	pozostał	अन्य	pozostać	N;NOM;MASC;SG;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
अन्य	inny	अन्य	inny	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अन्य	inne	अन्य	inny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अन्य	pozostał	अन्य	pozostać	N;NOM;MASC;SG;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
अन्य	inni	अन्य	inny	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
वर्ष	lat	वर्ष	rok	N;NOM;MASC;SG;3	N;GEN;MASC;PL
वर्ष	lata	वर्ष	rok	N;NOM;MASC;SG;3	N;NOM;MASC;PL
वर्ष	roku	वर्ष	rok	N;NOM;MASC;SG;3	N;GEN;MASC;SG
समय	czasu	समय	czas	N;NOM;MASC;SG;3	N;GEN;MASC;SG
वे	oni	वह	on	PRO;NOM;SG;3	PRO;NOM;MASC;PL;3
प्रकार	wpisz	प्रकार	wpić	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;FIN;ACT
प्रकार	typ	प्रकार	typ	N;NOM;MASC;SG;3	
प्रकार	typy	प्रकार	typ	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रकार	rodzaje	प्रकार	rodzawać	N;NOM;MASC;SG;3	N;NOM;MASC;PL
भारतीय	indyjskie	भारतीय	indyjski	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
भारतीय	indian	भारतीय	indian	PROPN;NOM;SG;3	
भारतीय	indianin	भारतीय	indianin	PROPN;NOM;SG;3	N;NOM;MASC;SG
भारतीय	indyjska	भारतीय	indyjski	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
भारतीय	indyjski	भारतीय	indyjski	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
किसी	ktoś	कोई	ktoś	PRO;ACC;SG;3	PRO;NOM;MASC;SG
क्षेत्र	obszarze	क्षेत्र	obszarz	N;NOM;MASC;SG;3	N;ACC;MASC;SG
क्षेत्र	regionie	क्षेत्र	region	N;NOM;MASC;SG;3	N;ACC;MASC;SG
क्षेत्र	regiony	क्षेत्र	regić	N;NOM;MASC;SG;3	N;NOM;MASC;PL
क्षेत्र	regionu	क्षेत्र	regić	N;NOM;MASC;SG;3	N;GEN;MASC;SG
क्षेत्र	tereny	क्षेत्र	teren	N;NOM;MASC;SG;3	N;NOM;MASC;PL
क्षेत्र	obszary	क्षेत्र	obszar	N;NOM;MASC;SG;3	N;NOM;MASC;PL
क्षेत्र	obszarach	क्षेत्र	obszary	N;NOM;MASC;SG;3	N;GEN;MASC;PL
क्षेत्र	powierzchnie	क्षेत्र	powierzchnie	N;NOM;MASC;SG;3	N;NOM;FEM;PL
अधिक	more	अधिक	more	DET	
अधिक	bardziej	अधिक	bardzo	DET	ADV;CMPR
अधिक	więcej	अधिक	dużo	DET	ADV;CMPR
स्थित	położony	स्थित	położyć	ADJ	
मण्डल	strefie	मण्डल	strefa	PROPN;NOM;MASC;SG;3	N;DAT;FEM;SG
मण्डल	obszar	मण्डल	obszar	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मण्डल	zone	मण्डल	zon	PROPN;NOM;MASC;SG;3	
मण्डल	strefy	मण्डल	strefa	PROPN;NOM;MASC;SG;3	N;ACC;FEM;PL
मण्डल	strefa	मण्डल	strefa	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
आधिकारिक	urzędnik	आधिकारिक	urzędnik	ADJ	N;NOM;MASC;SG
आधिकारिक	oficjalnie	आधिकारिक	oficjalnie	ADJ	ADV
कारण	powody	कारण	powód	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कारण	przyczyny	कारण	przyczyna	N;NOM;MASC;SG;3	N;ACC;FEM;PL
कारण	powody	कारण	powód	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कारण	powodu	कारण	powodu	N;NOM;MASC;SG;3	ADP
कारण	powoduje	कारण	powodować	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
कारण	przyczyny	कारण	przyczyna	N;NOM;MASC;SG;3	N;ACC;FEM;PL
कारण	przyczyn	कारण	przyczyna	N;NOM;MASC;SG;3	N;GEN;FEM;PL
होने	bycie	हो	bycie	V;MASC;NFIN;ACT	
होने	bycia	हो	być	V;MASC;NFIN;ACT	
जैसे	jak	जैसे	jak	CONJ	ADV
जैसे	like	जैसे	lik	CONJ	
उनके	ich	वह	on	PRO;MASC;SG;3;FORM	PRO;GEN;MASC;PL;3
उनके	je	वह	on	PRO;MASC;SG;3;FORM	PRO;ACC;NEUT;PL;3
उनके	ich	वह	on	PRO;MASC;SG;3;FORM	PRO;GEN;MASC;PL;3
उनके	im	वह	on	PRO;MASC;SG;3;FORM	PRO;DAT;MASC;PL;3
सबसे	większość	सबसे	większość	ADJ;NOM	N;NOM;FEM;SG
सबसे	najczęściej	सबसे	często	ADJ;NOM	ADV;RL
सबसे	większości	सबसे	większość	ADJ;NOM	N;GEN;FEM;SG
सबसे	najbardziej	सबसे	bardzo	ADJ;NOM	ADV;RL
हिन्दी	hindi	हिन्दी	hindia	PROPN;NOM;FEM;SG;3	
बहुत	bardzo	बहुत	bardzo	DET	ADV
पहले	zanim	पहले	zanim	ADV;NOM;MASC;SG;3	CONJ
पहले	przed	पहले	przed	ADV;NOM;MASC;SG;3	ADP
पहले	temu	पहले	to	ADV;NOM;MASC;SG;3	PRO;DAT;NEUT;SG
पहले	wczesniej	पहले	wczesnie	ADV;NOM;MASC;SG;3	V;PFV;IND;SG;3;NFIN;ACT
पहले	wcześniejszy	पहले	wczesny	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR;MASC;SG
पहले	wcześniejsza	पहले	wczesny	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR;FEM;SG
पहले	wcześniejsze	पहले	wczesny	ADV;NOM;MASC;SG;3	ADJ;NOM;CMPR;NEUT;SG
पहले	pierwszy	पहले	pierwszy	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पहले	pierwsze	पहले	pierwszy	ADV;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
पहले	pierwsza	पहले	pierwszy	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अपनी	własne	अपना	własny	PRO;NOM;FEM	ADJ;NOM;NEUT;SG
अपनी	własny	अपना	własny	PRO;NOM;FEM	ADJ;NOM;MASC;SG
अपनी	własna	अपना	własny	PRO;NOM;FEM	ADJ;NOM;FEM;SG
अपनी	carnal	अपना	carnal	PRO;NOM;FEM	
जिला	dzielnicy	जिला	dzielnica	N;NOM;MASC;SG;3	N;GEN;FEM;SG
जिला	powiat	जिला	powiat	N;NOM;MASC;SG;3	
जब	gdy	जब	gdy	PRO;NOM	CONJ
जब	kiedy	जब	kiedy	PRO;NOM	ADV
उन्होंने	oni	वह	on	PRO;SG;3;FORM	PRO;NOM;MASC;PL;3
उन्होंने	egipcjanie	वह	egipcjanin	PRO;SG;3;FORM	N;NOM;MASC;PL
जन्म	urodzony	जन्म	urodzić	N;NOM;MASC;SG;3	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
जन्म	urodzona	जन्म	urodzić	N;NOM;MASC;SG;3	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
जन्म	urodzone	जन्म	urodzić	N;NOM;MASC;SG;3	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
कोई	koi	कोई	koi	PRO;NOM;SG;3	
कोई	jakikolwiek	कोई	jakikolwiek	PRO;NOM;SG;3	DET;NOM;MASC;SG
कोई	dowolny	कोई	dowolny	PRO;NOM;SG;3	ADJ;NOM;MASC;SG
कोई	jakiekolwiek	कोई	jakiekolwiek	PRO;NOM;SG;3	DET;NOM;MASC;SG
इन	inn	यह	inn	DET;ACC;PL;3	
ये	tym	यह	to	PRO;NOM;PL;3	PRO;INS;NEUT;SG
ये	tych	यह	ten	PRO;NOM;PL;3	DET;GEN;MASC;PL
ये	te	यह	ten	PRO;NOM;PL;3	DET;NOM;MASC;PL
कम	niska	कम	niska	DET	
कम	niskie	कम	niski	DET	ADJ;NOM;NEUT;SG
कम	niski	कम	niski	DET	ADJ;NOM;MASC;SG
कम	low	कम	low	DET	
कम	nisko	कम	nisko	DET	ADV
कम	mniej	कम	mało	DET	ADV;CMPR
कम	mniejsza	कम	mały	DET	ADJ;NOM;CMPR;FEM;SG
कम	mniej	कम	mało	DET	ADV;CMPR
कहा	said	कह	said	V;PFV;MASC;SG;V.PTCP;ACT	PROPN;NOM;MASC;SG
लोग	ludzi	लोग	człowiek	N;NOM;MASC;PL;3	N;ACC;MASC;PL
लोग	people	लोग	peopło	N;NOM;MASC;PL;3	
आदि	etc	आदि	etc	PART	
आदि	itd	आदि	itd	PART	
आदि	itp	आदि	itp	PART	
आदि	more	आदि	more	PART	
आदि	bardziej	आदि	bardzo	PART	ADV;CMPR
आदि	więcej	आदि	dużo	PART	ADV;CMPR
आदि	adi	आदि	adi	PART	
उसके	jego	वह	on	PRO;MASC;SG;3	PRO;GEN;MASC;SG;3
उसके	jej	वह	on	PRO;MASC;SG;3	PRO;GEN;FEM;SG;3
उसके	ją	वह	on	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
प्राचीन	starożytnych	प्राचीन	starożytny	ADJ;NOM	ADJ;GEN;MASC;PL
प्राचीन	starożytni	प्राचीन	starożytnia	ADJ;NOM	N;NOM;MASC;PL
देखें	zegarek	देख	zegarek	V;SBJV;PL;FIN;ACT	N;ACC;MASC;SG
देखें	obserwuj	देख	obserwować	V;SBJV;PL;FIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
देखें	patrz	देख	patrzeć	V;SBJV;PL;FIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
देखें	zobacz	देख	zobaczyć	V;SBJV;PL;FIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
देखें	widok	देख	widok	V;SBJV;PL;FIN;ACT	N;NOM;MASC;SG
देखें	zobacz	देख	zobaczyć	V;SBJV;PL;FIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
उत्तर	odpowiedz	उत्तर	odpowiedzieć	PROPN;NOM;MASC;SG;3	
उत्तर	odpowiedź	उत्तर	odpowiedź	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्तर	północnej	उत्तर	północny	PROPN;NOM;MASC;SG;3	ADJ;GEN;FEM;SG
उत्तर	północ	उत्तर	północ	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्तर	north	उत्तर	north	PROPN;NOM;MASC;SG;3	
उत्तर	odpowiedzi	उत्तर	odpowiedź	PROPN;NOM;MASC;SG;3	N;ACC;FEM;PL
भाषा	języki	भाषा	język	N;NOM;FEM;SG;3	N;NOM;MASC;PL
भाषा	języków	भाषा	język	N;NOM;FEM;SG;3	N;GEN;MASC;PL
भाषा	języku	भाषा	język	N;NOM;FEM;SG;3	N;ACC;MASC;SG
लिये	na	ले	na	V;PFV;MASC;SG;V.PTCP;ACT	INTJ
लिये	dla	ले	dla	V;PFV;MASC;SG;V.PTCP;ACT	ADP
लिये	za	ले	za	V;PFV;MASC;SG;V.PTCP;ACT	PART
सभी	wszystkie	सब	wszystek	PRO;NOM;3	DET;NOM;MASC;PL
सभी	wszystko	सब	wszystko	PRO;NOM;3	PRO;NOM;NEUT;SG
सभी	all	सब	all	PRO;NOM;3	
सभी	wszyscy	सब	wszyscy	PRO;NOM;3	PRO;NOM;MASC;PL
प्राप्त	uzyskano	प्राप्त	uzyskać	ADJ	V;PFV;IND;0;PST;FIN;ACT
प्राप्त	otrzymała	प्राप्त	otrzymać	ADJ	V;PFV;FEM;IND;SG;PST;FIN;ACT
प्राप्त	otrzymano	प्राप्त	otrzymać	ADJ	V;PFV;IND;0;PST;FIN;ACT
प्राप्त	otrzymywać	प्राप्त	otrzymywać	ADJ	V;IPFV;NFIN;ACT
प्राप्त	odbierać	प्राप्त	odbierać	ADJ	V;IPFV;NFIN;ACT
प्राप्त	otrzymać	प्राप्त	otrzymać	ADJ	V;PFV;NFIN;ACT
जाने	jaane	जा	jaane	V;SG;FIN;ACT	
इसका	jego	यह	on	PRO;MASC;SG;3	PRO;GEN;MASC;SG;3
प्रयोग	eksperymentów	प्रयोग	eksperyment	N;NOM;MASC;SG;3	N;GEN;MASC;PL
प्रयोग	eksperymenty	प्रयोग	eksperyment	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रयोग	eksperyment	प्रयोग	eksperyment	N;NOM;MASC;SG;3	N;ACC;MASC;SG
शामिल	zamieszany	शामिल	zamieszany	ADJ	V;PFV;IND;SG;PST;FIN;ACT
शामिल	zawiera	शामिल	zawierać	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
शामिल	obejmuje	शामिल	obejmować	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
शामिल	dołącz	शामिल	dołączyć	ADJ	V;PFV;IMP;SG;2;FIN;ACT
शामिल	obejmować	शामिल	obejmować	ADJ	V;IPFV;NFIN;ACT
उन्हें	je	वह	on	PRO;SG;3;FORM	PRO;ACC;NEUT;PL;3
उन्हें	ich	वह	on	PRO;SG;3;FORM	PRO;GEN;MASC;PL;3
उन्हें	im	वह	on	PRO;SG;3;FORM	PRO;DAT;MASC;PL;3
उस	że	वह	że	DET;ACC;SG;3	PART
स्थान	lokale	स्थान	lokał	N;NOM;MASC;SG;3	N;NOM;MASC;PL
स्थान	miejsca	स्थान	miejsce	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
स्थान	miejsc	स्थान	miejsce	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
स्थान	lokalizacji	स्थान	lokalizacja	N;NOM;MASC;SG;3	N;GEN;FEM;SG
स्थान	lokalizacje	स्थान	lokalizacja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
स्थान	miejsca	स्थान	miejsce	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
प्रमुख	główne	प्रमुख	główny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
प्रमुख	główna	प्रमुख	główna	N;NOM;MASC;SG;3	
प्रमुख	main	प्रमुख	main	N;NOM;MASC;SG;3	
प्रमुख	główny	प्रमुख	główny	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
हुई	hui	हो	huia	V;PFV;FEM;SG;V.PTCP;ACT	PROPN;NOM;MASC;SG
बीच	plaża	बीच	plaża	ADV;NOM;MASC;SG;3	
बीच	środek	बीच	środek	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
बीच	centrum	बीच	centrum	ADV;NOM;MASC;SG;3	N;ACC;NEUT;SG
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	
बीच	ośrodek	बीच	ośrodek	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
गए	odszedł	जा	odejść	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
गए	poszedł	जा	pójść	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
गए	poszło	जा	pójść	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;NEUT;IND;SG;PST;FIN;ACT
मुख्य	szef	मुख्य	szef	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मुख्य	główne	मुख्य	główny	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मुख्य	główna	मुख्य	główna	PROPN;NOM;MASC;SG;3	
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	
मुख्य	główny	मुख्य	główny	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
थी	była	था	być	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
थी	był	था	być	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
थी	było	था	być	V;FEM;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
बिहार	bihar	बिहार	bihar	PROPN;NOM;MASC;SG;3	
उसे	go	वह	on	PRO;SG;3	PRO;ACC;MASC;SG;3
उसे	jej	वह	on	PRO;SG;3	PRO;GEN;FEM;SG;3
उसे	ją	वह	on	PRO;SG;3	PRO;ACC;FEM;SG;3
कार्य	zadań	कार्य	zadanie	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
कार्य	pracy	कार्य	praca	N;NOM;MASC;SG;3	N;GEN;FEM;SG
कार्य	pracuj	कार्य	pracować	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN;ACT
कार्य	prace	कार्य	praca	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कार्य	pracy	कार्य	praca	N;NOM;MASC;SG;3	N;GEN;FEM;SG
कार्य	roboty	कार्य	robota	N;NOM;MASC;SG;3	N;ACC;FEM;PL
उनकी	ich	वह	on	PRO;FEM;SG;3;FORM	PRO;GEN;MASC;PL;3
आंध्र	andhra	आंध्र	andhrać	PROPN;NOM;MASC;SG;3	V;IPFV;IND;SG;PRS;FIN;ACT
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	V;IPFV;IND;SG;2;PRS;FIN;ACT
जिसमें	domieszki	जो	domieszka	PRO;SG;3	V;IPFV;IND;SG;FIN;ACT
नगर	town	नगर	town	N;NOM;MASC;SG;3	
नगर	miasta	नगर	miasto	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
नगर	city	नगर	city	N;NOM;MASC;SG;3	
नगर	miasta	नगर	miasto	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
नगर	nagar	नगर	nagar	N;NOM;MASC;SG;3	
उपयोग	użyć	उपयोग	użyć	N;NOM;MASC;SG;3	V;PFV;NFIN;ACT
उपयोग	użyj	उपयोग	użyj	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;FIN;ACT
उपयोग	wykorzystuje	उपयोग	wykorzystywać	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
उपयोग	używa	उपयोग	używać	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
उपयोग	zastosowań	उपयोग	zastosowanie	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
उपयोग	zastosowania	उपयोग	zastosowanie	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
लोगों	osoby	लोग	osoba	N;ACC;MASC;PL;3	N;NOM;FEM;PL
लोगों	people	लोग	peopło	N;ACC;MASC;PL;3	
लोगों	ludzie	लोग	człowiek	N;ACC;MASC;PL;3	N;NOM;MASC;PL
आधार	base	आधार	bas	N;NOM;MASC;SG;3	
आधार	bazy	आधार	baza	N;NOM;MASC;SG;3	N;GEN;FEM;SG
आधार	założeniu	आधार	założyć	N;NOM;MASC;SG;3	N;DAT;NEUT;SG
आधार	podstawie	आधार	podstawa	N;NOM;MASC;SG;3	N;DAT;FEM;SG
आधार	podstawy	आधार	podstawa	N;NOM;MASC;SG;3	N;ACC;FEM;PL
काम	pracuj	काम	pracować	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN;ACT
काम	prace	काम	praca	N;NOM;MASC;SG;3	N;NOM;FEM;PL
काम	pracy	काम	praca	N;NOM;MASC;SG;3	N;GEN;FEM;SG
काम	roboty	काम	robota	N;NOM;MASC;SG;3	N;ACC;FEM;PL
जीवन	zycie	जीवन	zyt	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;FIN;ACT
जीवन	life	जीवन	lifa	N;NOM;MASC;SG;3	
