और	ve	और	ve		CONJ
साथ	beraberce	साथ	beraberce	ADV;NOM;MASC;SG;3	
साथ	birlikte	साथ	birlikte	ADV;NOM;MASC;SG;3	
पूर्व	doğuya	पूर्व	doğu	ADV;NOM;MASC;SG;3	ADJ;DAT;SG;3
पूर्व	doğu	पूर्व	doğu	ADV;NOM;MASC;SG;3	
पूर्व	doğuda	पूर्व	doğu	ADV;NOM;MASC;SG;3	N;ESS;SG;3
बाद	sonradan	बाद	sonradan	ADV;NOM;MASC;SG;3	
बाद	sonrası	बाद	sonra	ADV;NOM;MASC;SG;3	
बाद	sonrasında	बाद	sonra	ADV;NOM;MASC;SG;3	N;ESS;SG;3
तक	tak	तक	tak	CONJ	
अपने	sizin	अपना	siz	PRO;NOM;MASC	PRO;GEN;PL;2
अपने	senin	अपना	sen	PRO;NOM;MASC	PRO;GEN;SG;2
जिले	ilçeleri	जिला	ilçe	N;NOM;MASC;SG;3	N;ACC;PL;3
जिले	bölgeler	जिला	bölge	N;NOM;MASC;SG;3	N;NOM;PL;3
था	vardı	था	var	V;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;POS;PST
राज्य	devletler	राज्य	devlet	N;NOM;MASC;SG;3	N;NOM;PL;3
राज्य	eyaletler	राज्य	eyalet	N;NOM;MASC;SG;3	N;NOM;PL;3
राज्य	state	राज्य	state	N;NOM;MASC;SG;3	
राज्य	eyalet	राज्य	eyalet	N;NOM;MASC;SG;3	
बाहरी	dış	बाहरी	dış	ADJ;NOM	
बाहरी	harici	बाहरी	harici	ADJ;NOM	
कुछ	bazıları	कुछ	bazı	DET	
कुछ	bazılarını	कुछ	bazı	DET	PRO;ACC;PL;3
कुछ	kimisi	कुछ	kimi	DET	
कुछ	birşeyler	कुछ	birşey	DET	N;NOM;PL;3
कुछ	birşey	कुछ	birşey	DET	
ईसा	isa	ईसा	isa	N;NOM;MASC;SG;3	
गाँव	köyü	गाँव	köy	N;NOM;MASC;PL;3	
गाँव	köy	गाँव	köy	N;NOM;MASC;PL;3	
सरकार	sürüngenler	सरकार	sürünge	N;NOM;FEM;SG;3	N;NOM;PL;3
सरकार	hükümet	सरकार	hükümet	N;NOM;FEM;SG;3	
कड़ियाँ	zincir	कड़ी	zincir	N;NOM;FEM;PL;3	N;NOM;SG;3
कड़ियाँ	bağlar	कड़ी	bağla	N;NOM;FEM;PL;3	
प्रदेश	bölge	प्रदेश	bölge	N;NOM;MASC;SG;3	
प्रदेश	bölgede	प्रदेश	bölge	N;NOM;MASC;SG;3	N;ESS;SG;3
दिया	verildi	दे	ver	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST;PASS
दिया	verilmiş	दे	ver	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NFH;IND;SG;3;POS;PST;PASS
दिया	verilen	दे	ver	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;POS;PRS;V.PTCP;PASS
अन्य	diğer	अन्य	diğer	N;NOM;MASC;SG;3	ADJ
अन्य	öteki	अन्य	öteki	N;NOM;MASC;SG;3	
अन्य	diger	अन्य	diger	N;NOM;MASC;SG;3	
अन्य	diger	अन्य	diger	N;NOM;MASC;SG;3	
अन्य	diğerleri	अन्य	diğer	N;NOM;MASC;SG;3	N;ACC;PL;3
अन्य	diğerlerini	अन्य	diğer	N;NOM;MASC;SG;3	N;ACC;PL;3
अन्य	başkaları	अन्य	başka	N;NOM;MASC;SG;3	ADJ;ACC;PL;3
जा	jaa	जा	jaa	V;ACT	
वर्ष	yıllarca	वर्ष	yıllarca	N;NOM;MASC;SG;3	ADV
वर्ष	yıllardır	वर्ष	yıl	N;NOM;MASC;SG;3	V;IPFV;IND;PL;3;POS
वर्ष	yıllar	वर्ष	yıl	N;NOM;MASC;SG;3	N;NOM;PL;3
वर्ष	yılların	वर्ष	yıl	N;NOM;MASC;SG;3	N;GEN;PL;3
वर्ष	seneler	वर्ष	sene	N;NOM;MASC;SG;3	
वर्ष	yıl	वर्ष	yıl	N;NOM;MASC;SG;3	
वर्ष	yılı	वर्ष	yıl	N;NOM;MASC;SG;3	
वर्ष	sene	वर्ष	sene	N;NOM;MASC;SG;3	
समय	zamanlaması	समय	zamanla	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
समय	zamanlama	समय	zamanla	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
समय	vakit	समय	vakit	N;NOM;MASC;SG;3	
समय	time	समय	tim	N;NOM;MASC;SG;3	
नाम	adın	नाम	ad	N;NOM;MASC;SG;3	
वे	onlar	वह	o	PRO;NOM;SG;3	PRO;NOM;PL;3
प्रकार	kibar	प्रकार	kibar	N;NOM;MASC;SG;3	
प्रकार	nazik	प्रकार	nazik	N;NOM;MASC;SG;3	ADJ
प्रकार	tipi	प्रकार	tip	N;NOM;MASC;SG;3	
प्रकार	tip	प्रकार	tip	N;NOM;MASC;SG;3	
प्रकार	türü	प्रकार	tür	N;NOM;MASC;SG;3	
प्रकार	tür	प्रकार	tür	N;NOM;MASC;SG;3	
प्रकार	type	प्रकार	type	N;NOM;MASC;SG;3	
प्रकार	çeşitleri	प्रकार	çeşit	N;NOM;MASC;SG;3	N;ACC;PL;3
प्रकार	türler	प्रकार	tür	N;NOM;MASC;SG;3	N;NOM;PL;3
प्रकार	tipler	प्रकार	tip	N;NOM;MASC;SG;3	N;NOM;PL;3
प्रकार	türleri	प्रकार	tür	N;NOM;MASC;SG;3	ADJ;NOM;PL;3
भारतीय	yerli	भारतीय	yerli	PROPN;NOM;SG;3	
भारतीय	kızılderili	भारतीय	kızılderili	PROPN;NOM;SG;3	V;PFV;IND;POS;PRS;PASS
भारतीय	hintli	भारतीय	hintli	PROPN;NOM;SG;3	
भारतीय	hint	भारतीय	hint	PROPN;NOM;SG;3	
किसी	biri	कोई	biri	PRO;ACC;SG;3	PRO;NOM;SG;3
किसी	birini	कोई	biri	PRO;ACC;SG;3	PRO;ACC;SG;3
किसी	birisi	कोई	biri	PRO;ACC;SG;3	PRO;NOM;SG;3
किसी	birileri	कोई	biri	PRO;ACC;SG;3	PRO;NOM;PL;3
क्षेत्र	bölge	क्षेत्र	bölge	N;NOM;MASC;SG;3	
क्षेत्र	alan	क्षेत्र	al	N;NOM;MASC;SG;3	V;PFV;IND;POS;PRS;V.PTCP
क्षेत्र	bölge	क्षेत्र	bölge	N;NOM;MASC;SG;3	
क्षेत्र	bölgede	क्षेत्र	bölge	N;NOM;MASC;SG;3	N;ESS;SG;3
क्षेत्र	alanlar	क्षेत्र	alan	N;NOM;MASC;SG;3	N;NOM;PL;3
क्षेत्र	alanları	क्षेत्र	alan	N;NOM;MASC;SG;3	N;ACC;PL;3
क्षेत्र	bölgeler	क्षेत्र	bölge	N;NOM;MASC;SG;3	N;NOM;PL;3
अधिक	daha	अधिक	daha	DET	ADV
अधिक	devamı	अधिक	devam	DET	
अधिक	more	अधिक	more	DET	
कई	birkaçı	कई	birkaçı	DET	PRO;NOM;PL;3
वाले	wale	वाला	wal	V;MASC;PL;FIN;ACT	
स्थित	bulunan	स्थित	bulun	ADJ	
मण्डल	bölge	मण्डल	bölge	PROPN;NOM;MASC;SG;3	
मण्डल	zone	मण्डल	zone	PROPN;NOM;MASC;SG;3	
आधिकारिक	resmî	आधिकारिक	resmî	ADJ	
आधिकारिक	official	आधिकारिक	official	ADJ	N;NOM;SG;3
आधिकारिक	resmi	आधिकारिक	resmi	ADJ	
कारण	sebepleri	कारण	sebep	N;NOM;MASC;SG;3	N;NOM;PL;3
कारण	nedenler	कारण	neden	N;NOM;MASC;SG;3	N;NOM;PL;3
कारण	sebepler	कारण	sebep	N;NOM;MASC;SG;3	N;NOM;PL;3
कारण	nedenleri	कारण	neden	N;NOM;MASC;SG;3	N;ACC;PL;3
कारण	sebep	कारण	sebep	N;NOM;MASC;SG;3	
कारण	sebebi	कारण	sebep	N;NOM;MASC;SG;3	
कारण	sebebi	कारण	sebep	N;NOM;MASC;SG;3	
कारण	çünkü	कारण	çünkü	N;NOM;MASC;SG;3	CONJ
कारण	nedenler	कारण	neden	N;NOM;MASC;SG;3	N;NOM;PL;3
कारण	nedenleri	कारण	neden	N;NOM;MASC;SG;3	N;ACC;PL;3
जैसे	like	जैसे	like	CONJ	
जैसे	beğen	जैसे	beğen	CONJ	
जैसे	gibi	जैसे	gibi	CONJ	
करता	zorbalar	कर	zorba	V;IPFV;MASC;SG;V.PTCP;ACT	N;NOM;PL;3
उनके	onların	वह	o	PRO;MASC;SG;3;FORM	PRO;GEN;PL;3
उनके	onlarin	वह	o	PRO;MASC;SG;3;FORM	
उनके	onlar	वह	o	PRO;MASC;SG;3;FORM	PRO;NOM;PL;3
उनके	onları	वह	o	PRO;MASC;SG;3;FORM	PRO;ACC;PL;3
सबसे	çoğu	सबसे	çok	ADJ;NOM	
सबसे	çogu	सबसे	çogu	ADJ;NOM	
हिन्दी	hintçe	हिन्दी	hintçe	PROPN;NOM;FEM;SG;3	
बहुत	cok	बहुत	cok	DET	
बहुत	çok	बहुत	çok	DET	
पहले	önceki	पहले	önceki	ADV;NOM;MASC;SG;3	
पहले	önce	पहले	önce	ADV;NOM;MASC;SG;3	
पहले	öncesi	पहले	önce	ADV;NOM;MASC;SG;3	N;NOM;SG;3
पहले	öncesinde	पहले	önce	ADV;NOM;MASC;SG;3	N;ESS;SG;3
पहले	öncelikle	पहले	öncelik	ADV;NOM;MASC;SG;3	N;INS;SG;3
पहले	önce	पहले	önce	ADV;NOM;MASC;SG;3	
पहले	ilk	पहले	ilk	ADV;NOM;MASC;SG;3	
पहले	once	पहले	once	ADV;NOM;MASC;SG;3	
दो	iki	दो	iki	NUM	
जिला	bölge	जिला	bölge	N;NOM;MASC;SG;3	
जिला	bahşı	जिला	bahşı	N;NOM;MASC;SG;3	
जिला	ilçe	जिला	ilçe	N;NOM;MASC;SG;3	
उन्होंने	onlar	वह	o	PRO;SG;3;FORM	PRO;NOM;PL;3
उन्होंने	mısırlılar	वह	mısırlı	PRO;SG;3;FORM	N;NOM;PL;3
जन्म	doğan	जन्म	doğ	N;NOM;MASC;SG;3	
जन्म	doğuştan	जन्म	doğuş	N;NOM;MASC;SG;3	N;AT+ABL;SG;3
जन्म	doğdu	जन्म	doğ	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;POS;PST
जन्म	doğmuş	जन्म	doğ	N;NOM;MASC;SG;3	V;PFV;NFH;IND;SG;3;POS;PST
जन्म	doğdum	जन्म	doğ	N;NOM;MASC;SG;3	V;PFV;IND;SG;1;POS;PST
जन्म	doğumu	जन्म	doğum	N;NOM;MASC;SG;3	N;ACC;SG;3
जन्म	dogum	जन्म	dogum	N;NOM;MASC;SG;3	
कोई	koi	कोई	koi	PRO;NOM;SG;3	
कोई	herhangi	कोई	herhangi	PRO;NOM;SG;3	
इन	inn	यह	inn	DET;ACC;PL;3	N;NOM;SG;3
लेकिन	fakat	लेकिन	fakat	CONJ	
ये	bu	यह	bu	PRO;NOM;PL;3	
ये	bunu	यह	bu	PRO;NOM;PL;3	PRO;ACC;SG;3
ये	bunlar	यह	bu	PRO;NOM;PL;3	PRO;NOM;PL;3
ये	bunları	यह	bu	PRO;NOM;PL;3	PRO;ACC;PL;3
ये	şunlar	यह	şu	PRO;NOM;PL;3	
कम	alçak	कम	alçak	DET	
कम	düşük	कम	düşük	DET	
कम	az	कम	az	DET	ADV
लोग	halk	लोग	halk	N;NOM;MASC;PL;3	
लोग	millet	लोग	millet	N;NOM;MASC;PL;3	
आदि	vb	आदि	vb	PART	
आदि	daha	आदि	daha	PART	ADV
आदि	devamı	आदि	devam	PART	
आदि	more	आदि	more	PART	
आदि	adi	आदि	adi	PART	
उसके	onunki	वह	onunki	PRO;MASC;SG;3	
उसके	onun	वह	o	PRO;MASC;SG;3	PRO;GEN;SG;3
उसके	onun	वह	o	PRO;MASC;SG;3	PRO;GEN;SG;3
उसके	onu	वह	o	PRO;MASC;SG;3	PRO;ACC;SG;3
प्राचीन	ilkel	प्राचीन	ilkel	ADJ;NOM	
प्राचीन	antik	प्राचीन	antik	ADJ;NOM	
प्राचीन	kadim	प्राचीन	kadim	ADJ;NOM	
प्राचीन	praetor	प्राचीन	praetor	ADJ;NOM	
देखें	izle	देख	izle	V;SBJV;PL;FIN;ACT	
देखें	izleyin	देख	izle	V;SBJV;PL;FIN;ACT	V;PFV;IMP;PL;2;POS;PRS
देखें	gör	देख	gör	V;SBJV;PL;FIN;ACT	V;PFV;IMP;SG;2;POS;PRS
देखें	görün	देख	görün	V;SBJV;PL;FIN;ACT	V;PFV;IMP;PL;2;POS;PRS
देखें	görmek	देख	gör	V;SBJV;PL;FIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR
देखें	gör	देख	gör	V;SBJV;PL;FIN;ACT	V;PFV;IMP;SG;2;POS;PRS
देखें	görünüm	देख	görün	V;SBJV;PL;FIN;ACT	N;NOM;SG;3
देखें	görünümü	देख	görün	V;SBJV;PL;FIN;ACT	N;NOM;SG;3
देखें	manzara	देख	manzara	V;SBJV;PL;FIN;ACT	N;NOM;SG;3
उत्तर	cevap	उत्तर	cevap	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
उत्तर	yanıt	उत्तर	yanıt	PROPN;NOM;MASC;SG;3	
उत्तर	cevapla	उत्तर	cevap	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
उत्तर	kuzey	उत्तर	kuzey	PROPN;NOM;MASC;SG;3	
उत्तर	kuzeyde	उत्तर	kuzeyde	PROPN;NOM;MASC;SG;3	N;ESS;SG;3
उत्तर	north	उत्तर	north	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
उत्तर	kuzeye	उत्तर	kuze	PROPN;NOM;MASC;SG;3	N;DAT;SG;3
उत्तर	cevap	उत्तर	cevap	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
उत्तर	cevaplar	उत्तर	cevap	PROPN;NOM;MASC;SG;3	N;NOM;PL;3
उत्तर	yanıtlar	उत्तर	yanıt	PROPN;NOM;MASC;SG;3	N;NOM;PL;3
भाषा	dil	भाषा	dil	N;NOM;FEM;SG;3	
भाषा	diller	भाषा	dil	N;NOM;FEM;SG;3	N;NOM;PL;3
भाषा	dilleri	भाषा	dil	N;NOM;FEM;SG;3	N;NOM;PL;3
भाषा	dil	भाषा	dil	N;NOM;FEM;SG;3	
भाषा	dile	भाषा	dile	N;NOM;FEM;SG;3	
भाषा	dili	भाषा	dili	N;NOM;FEM;SG;3	
भाषा	lisan	भाषा	lisan	N;NOM;FEM;SG;3	
लिये	icin	ले	icin	V;PFV;MASC;SG;V.PTCP;ACT	
लिये	için	ले	için	V;PFV;MASC;SG;V.PTCP;ACT	
सभी	all	सब	all	PRO;NOM;3	
सभी	hepsini	सब	hepsi	PRO;NOM;3	PRO;ACC;PL;3
सभी	tamamı	सब	tamam	PRO;NOM;3	
सभी	hepsi	सब	hepsi	PRO;NOM;3	PRO;NOM;PL;3
सभी	tümü	सब	tümü	PRO;NOM;3	
प्राप्त	alındı	प्राप्त	al	ADJ	V;PFV;IND;SG;3;POS;PST;PASS
प्राप्त	alınan	प्राप्त	al	ADJ	V;PFV;IND;POS;PRS;V.PTCP;PASS
प्राप्त	aldı	प्राप्त	al	ADJ	V;PFV;IND;SG;3;POS;PST
प्रयोग	deneyler	प्रयोग	deney	N;NOM;MASC;SG;3	N;NOM;PL;3
प्रयोग	deney	प्रयोग	deney	N;NOM;MASC;SG;3	
प्रयोग	kullanım	प्रयोग	kullanım	N;NOM;MASC;SG;3	
प्रयोग	deney	प्रयोग	deney	N;NOM;MASC;SG;3	
शामिल	içerir	शामिल	içeri	ADJ	
शामिल	dahil	शामिल	dahil	ADJ	
शामिल	dâhil	शामिल	dâhil	ADJ	
शामिल	dahil	शामिल	dahil	ADJ	
शामिल	dahil	शामिल	dahil	ADJ	
उन्हें	onlar	वह	o	PRO;SG;3;FORM	PRO;NOM;PL;3
उन्हें	onları	वह	o	PRO;SG;3;FORM	PRO;ACC;PL;3
उस	bu	वह	bu	DET;ACC;SG;3	
उस	bunu	वह	bu	DET;ACC;SG;3	PRO;ACC;SG;3
स्थान	mekanlar	स्थान	mekan	N;NOM;MASC;SG;3	N;NOM;PL;3
स्थान	yerleri	स्थान	yer	N;NOM;MASC;SG;3	N;ACC;PL;3
स्थान	yerler	स्थान	yer	N;NOM;MASC;SG;3	N;NOM;PL;3
स्थान	mekanı	स्थान	mekan	N;NOM;MASC;SG;3	N;ACC;SG;3
स्थान	mekan	स्थान	mekan	N;NOM;MASC;SG;3	
स्थान	mekân	स्थान	mekân	N;NOM;MASC;SG;3	
स्थान	mekanlar	स्थान	mekan	N;NOM;MASC;SG;3	N;NOM;PL;3
स्थान	konumlar	स्थान	konum	N;NOM;MASC;SG;3	N;NOM;PL;3
स्थान	yerler	स्थान	yer	N;NOM;MASC;SG;3	N;NOM;PL;3
स्थान	konumları	स्थान	konum	N;NOM;MASC;SG;3	N;ACC;PL;3
स्थान	yerleri	स्थान	yer	N;NOM;MASC;SG;3	N;ACC;PL;3
स्थान	konumu	स्थान	konum	N;NOM;MASC;SG;3	N;ACC;SG;3
स्थान	yeri	स्थान	yer	N;NOM;MASC;SG;3	N;ACC;SG;3
प्रमुख	şef	प्रमुख	şef	N;NOM;MASC;SG;3	
प्रमुख	reis	प्रमुख	reis	N;NOM;MASC;SG;3	
प्रमुख	major	प्रमुख	major	N;NOM;MASC;SG;3	
प्रमुख	binbaşı	प्रमुख	binbaşı	N;NOM;MASC;SG;3	
प्रमुख	main	प्रमुख	main	N;NOM;MASC;SG;3	
प्रमुख	ana	प्रमुख	ana	N;NOM;MASC;SG;3	
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	
बीच	sahilde	बीच	sahilde	ADV;NOM;MASC;SG;3	N;ESS;SG;3
बीच	kumsal	बीच	kumsal	ADV;NOM;MASC;SG;3	
बीच	plaj	बीच	plaj	ADV;NOM;MASC;SG;3	
बीच	sahil	बीच	sahil	ADV;NOM;MASC;SG;3	
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	N;NOM;SG;3
बीच	merkezi	बीच	merkez	ADV;NOM;MASC;SG;3	N;ACC;SG;3
बीच	merkez	बीच	merkez	ADV;NOM;MASC;SG;3	
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	N;NOM;SG;3
बीच	orta	बीच	orta	ADV;NOM;MASC;SG;3	
गए	gitti	जा	git	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST
गए	gitmiş	जा	git	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;NFH;IND;SG;3;POS;PST
मुख्य	şef	मुख्य	şef	PROPN;NOM;MASC;SG;3	
मुख्य	reis	मुख्य	reis	PROPN;NOM;MASC;SG;3	
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	
मुख्य	ana	मुख्य	ana	PROPN;NOM;MASC;SG;3	
बिहार	bihar	बिहार	bihar	PROPN;NOM;MASC;SG;3	
उसे	onu	वह	o	PRO;SG;3	PRO;ACC;SG;3
उसे	onun	वह	o	PRO;SG;3	PRO;GEN;SG;3
उसे	onu	वह	o	PRO;SG;3	PRO;ACC;SG;3
कार्य	görevler	कार्य	görev	N;NOM;MASC;SG;3	N;NOM;PL;3
कार्य	eyüp	कार्य	eyüp	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
कार्य	çalış	कार्य	çalış	N;NOM;MASC;SG;3	
कार्य	çalışma	कार्य	çalış	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
कार्य	çalışmak	कार्य	çalış	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
कार्य	işler	कार्य	iş	N;NOM;MASC;SG;3	N;NOM;PL;3
कार्य	görevler	कार्य	görev	N;NOM;MASC;SG;3	N;NOM;PL;3
उनकी	onların	वह	o	PRO;FEM;SG;3;FORM	PRO;GEN;PL;3
उनकी	onlarin	वह	o	PRO;FEM;SG;3;FORM	
आंध्र	andhra	आंध्र	an	PROPN;NOM;MASC;SG;3	
आंध्र	andra	आंध्र	an	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
नगर	town	नगर	town	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
नगर	kasaba	नगर	kasaba	N;NOM;MASC;SG;3	
नगर	şehir	नगर	şehir	N;NOM;MASC;SG;3	
नगर	sehir	नगर	sehir	N;NOM;MASC;SG;3	
नगर	city	नगर	city	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
नगर	şehir	नगर	şehir	N;NOM;MASC;SG;3	
नगर	nagar	नगर	nagar	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
उपयोग	kullanım	उपयोग	kullanım	N;NOM;MASC;SG;3	
उपयोग	kullanın	उपयोग	kullan	N;NOM;MASC;SG;3	V;PFV;IMP;PL;2;POS;PRS
उपयोग	kullanım	उपयोग	kullanım	N;NOM;MASC;SG;3	
उपयोग	kullanmak	उपयोग	kullan	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
उपयोग	kullan	उपयोग	kullan	N;NOM;MASC;SG;3	
उपयोग	kullandığı	उपयोग	kullan	N;NOM;MASC;SG;3	V;PFV;IND;POS;PST;V.PTCP
उपयोग	kullanıyor	उपयोग	kullan	N;NOM;MASC;SG;3	V;PROG;IND;SG;3;POS;INFM;PRS
उपयोग	kullanılıyor	उपयोग	kullan	N;NOM;MASC;SG;3	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
लोगों	halk	लोग	halk	N;ACC;MASC;PL;3	
लोगों	kişiler	लोग	kişi	N;ACC;MASC;PL;3	N;NOM;PL;3
लोगों	insanlar	लोग	insan	N;ACC;MASC;PL;3	N;NOM;PL;3
लोगों	millet	लोग	millet	N;ACC;MASC;PL;3	
आधार	üs	आधार	üs	N;NOM;MASC;SG;3	
आधार	baz	आधार	baz	N;NOM;MASC;SG;3	
आधार	üssü	आधार	üss	N;NOM;MASC;SG;3	
आधार	taban	आधार	taban	N;NOM;MASC;SG;3	
आधार	öncül	आधार	öncül	N;NOM;MASC;SG;3	
काम	çalış	काम	çalış	N;NOM;MASC;SG;3	
काम	çalışma	काम	çalış	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
काम	çalışmak	काम	çalış	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
जीवन	hayat	जीवन	hayat	N;NOM;MASC;SG;3	
जीवन	ömür	जीवन	ömür	N;NOM;MASC;SG;3	
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	
विश्व	dünya	विश्व	dünya	N;NOM;MASC;SG;3	
विश्व	dunya	विश्व	dunya	N;NOM;MASC;SG;3	
भाग	bölümleri	भाग	bölüm		N;ACC;PL;3
भाग	kısımlar	भाग	kısım		N;NOM;PL;3
भाग	bölümler	भाग	bölüm		N;NOM;PL;3
भाग	parçası	भाग	parça		N;NOM;SG;3
भाग	parçalar	भाग	parça		N;NOM;PL;3
भाग	parçaları	भाग	parça		N;ACC;PL;3
निर्माण	yaratma	निर्माण	yarat	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
निर्माण	oluşturma	निर्माण	oluş	N;NOM;MASC;SG;3	V;PFV;IND;SG;2;POS;PRS;CAUS
निर्माण	inşaat	निर्माण	inşaat	N;NOM;MASC;SG;3	
निर्माण	inşa	निर्माण	inşa	N;NOM;MASC;SG;3	
निर्माण	imalat	निर्माण	imalat	N;NOM;MASC;SG;3	
निर्माण	imalatı	निर्माण	imalat	N;NOM;MASC;SG;3	
निर्माण	üretim	निर्माण	üretim	N;NOM;MASC;SG;3	
दोनों	ikisi	दो	iki	N;ACC;MASC;PL;3	
दोनों	darısı	दो	darı	N;ACC;MASC;PL;3	ADJ;NOM;SG;3
दोनों	ikiside	दो	iki	N;ACC;MASC;PL;3	NUM;ESS;SG;3
राष्ट्रीय	millî	राष्ट्रीय	millî	PROPN;NOM;MASC;SG;3	
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	N;DAT;SG;3
राष्ट्रीय	milli	राष्ट्रीय	milli	PROPN;NOM;MASC;SG;3	ADJ
राष्ट्रीय	ulusal	राष्ट्रीय	ulusal	PROPN;NOM;MASC;SG;3	
जानकारी	bilgileri	जानकारी	bilgi	N;NOM;FEM;SG;3	N;ACC;PL;3
जानकारी	bilgiler	जानकारी	bilgi	N;NOM;FEM;SG;3	N;NOM;PL;3
जानकारी	bilgilendirme	जानकारी	bilgilen	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
जानकारी	bilgiler	जानकारी	bilgi	N;NOM;FEM;SG;3	N;NOM;PL;3
पोर्टल	portal	पोर्टल	portal	N;NOM;MASC;SG;3	
पोर्टल	geçit	पोर्टल	geçit	N;NOM;MASC;SG;3	
शहर	sehir	शहर	sehir	N;NOM;MASC;SG;3	
शहर	city	शहर	city	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
