skapande	creación	skapande	creación	ADJ;NOM;PRS;V.PTCP	N
slow	tranquilo	slow	tranquilo	N;NOM;INDF;MASC+FEM;SG	ADJ
anonyma	anónimos	anonym	anónir	ADJ;NOM;PL	N
enormt	enormes	enorm	enorme	ADV	ADJ
enormt	enorme	enorm	enorme	ADV	ADJ
enormt	gran	enorm	gran	ADV	ADJ
enormt	xigante	enorm	xigante	ADV	ADJ
enormt	grande	enorm	grande	ADV	ADJ
enormt	enorme	enorm	enorme	ADV	ADJ
enormt	enormes	enorm	enorme	ADV	ADJ
amerikan	estadounidense	amerika	estadounidense	N;NOM;INDF;MASC+FEM;SG	ADJ
amerikan	americana	amerika	americano	N;NOM;INDF;MASC+FEM;SG	ADJ
amerikan	americano	amerika	americano	N;NOM;INDF;MASC+FEM;SG	ADJ
salen	hall	sal	hall	N;NOM;DEF;MASC+FEM;SG	PROPN
salen	civil	sal	civil	N;NOM;DEF;MASC+FEM;SG	ADJ
beväpnade	armados	beväpna	armar	ADJ;NOM;PL;PST;V.PTCP	N
beväpnade	armado	beväpna	armar	ADJ;NOM;PL;PST;V.PTCP	N
beväpnade	armada	beväpna	armada	ADJ;NOM;PL;PST;V.PTCP	N
beväpnade	armadas	beväpna	armado	ADJ;NOM;PL;PST;V.PTCP	N
andlig	senda	andlig	senda	ADJ;NOM;INDF;MASC+FEM;SG	N
vilkas	cuxo	vilka	cuxo	PRO;DEF	N
vilkas	cuxa	vilka	cuxa	PRO;DEF	N
vilkas	cuxos	vilka	cuxo	PRO;DEF	N
vilkas	de	vilka	de	PRO;DEF	ADP
vilkas	a	vilka	o	PRO;DEF	DET
stay	quedar	stay	quedar	N;NOM;INDF;MASC+FEM;SG	V
stay	ficar	stay	ficar	N;NOM;INDF;MASC+FEM;SG	V
stay	queda	stay	quedar	N;NOM;INDF;MASC+FEM;SG	V
fonden	de	fond	de	N;NOM;DEF;NEUT;PL	ADP
strike	¡	strike	¡	N;NOM;INDF;MASC+FEM;SG	
strike	que	strike	que	N;NOM;INDF;MASC+FEM;SG	PRO
strike	empece	strike	empecer	N;NOM;INDF;MASC+FEM;SG	V
fbi	fbi	fbi	ser	PROPN;NOM	PROPN
straight	en	straight	en	N;NOM;INDF;MASC+FEM;SG	ADP
straight	directo	straight	directo	N;NOM;INDF;MASC+FEM;SG	ADJ
garrett	garrett	garrett	garrett	N;NOM;INDF;NEUT;SG	PROPN
objektiv	obxectiva	objektiv	obxectivo	N;NOM;INDF;MASC+FEM;SG	ADJ
experimentell	experimental	experimentell	experimental	N;NOM;INDF;MASC+FEM;SG	ADJ
fantastiska	abraiante	fantastisk	abraiante	ADJ;NOM;PL	ADV
fantastiska	o	fantastisk	o	ADJ;NOM;PL	DET
fantastiska	asombroso	fantastisk	asombroso	ADJ;NOM;PL	N
utdrag	extraer	utdrag	extraer	N;NOM;INDF;NEUT;SG	V
utdrag	extraen	utdrag	extraer	N;NOM;INDF;NEUT;SG	V
kommunistisk	comunista	kommunistisk	comunista	ADJ;NOM;INDF;MASC+FEM;SG	N
kommunistisk	partido	kommunistisk	partido	ADJ;NOM;INDF;MASC+FEM;SG	N
kommunistisk	comunistas	kommunistisk	comunista	ADJ;NOM;INDF;MASC+FEM;SG	N
kvarstår	a	kvarstå	o	V;IND;PRS;FIN;ACT	DET
kvarstår	restos	kvarstå	resto	V;IND;PRS;FIN;ACT	N
förena	unídevos	förena	unídevo	V;IMP;FIN;ACT	N
förena	irmandádevos	förena	irmandádevo	V;IMP;FIN;ACT	N
förena	vosas	förena	voso	V;IMP;FIN;ACT	DET
tillhandahåller	a	tillhandahålla	o	V;IND;PRS;FIN;ACT	DET
satan	satanás	satan	sataná	N;NOM;INDF;MASC+FEM;SG	V
satan	satán	satan	satán	N;NOM;INDF;MASC+FEM;SG	
lovar	promesa	lova	promesar	V;IND;PRS;FIN;ACT	N
lovar	prométolle	lova	prométolle	V;IND;PRS;FIN;ACT	PROPN
lovar	prométocho	lova	prométocho	V;IND;PRS;FIN;ACT	N
keys	chaves	key	chave	PROPN;NOM	N
keys	as	key	o	PROPN;NOM	DET
sammanlagda	agregada	sammanlagd	agregar	ADJ;NOM;PL;PST;V.PTCP	V
användbar	para	användbar	para	ADJ;NOM;INDF;MASC+FEM;SG	ADP
gräva	cáptasme	gräva	cáptasme	V;IMP;FIN;ACT	N
gräva	capto	gräva	capto	V;IMP;FIN;ACT	N
gräva	píllalo	gräva	píllalo	V;IMP;FIN;ACT	PROPN
bentley	bentley	bentley	bentley	N;NOM;INDF;MASC+FEM;SG	PROPN
muskler	os	muskl	o	N;NOM;INDF;NEUT;PL	DET
muskler	muscular	muskl	muscular	N;NOM;INDF;NEUT;PL	ADJ
inkludera	moitos	inkludera	moito	V;IMP;FIN;ACT	DET
inkludera	de	inkludera	de	V;IMP;FIN;ACT	ADP
kompletta	total	komplett	total	ADJ;NOM;PL	N
kompletta	completa	komplett	completar	ADJ;NOM;PL	V
kompletta	completar	komplett	completar	ADJ;NOM;PL	V
uppenbara	fixo	uppenbar	facer	ADJ;NOM;PL	V
rhodes	rhodes	rhoda	rhode	PROPN;NOM	PROPN
verkligt	de	verklig	de	ADJ;NOM;INDF;NEUT;SG	ADP
verkligt	verdade	verklig	verdade	ADJ;NOM;INDF;NEUT;SG	N
mäktigaste	ó	mäktig	ó	ADJ;NOM;DEF;RL	DET
förfäder	devanceiros	förfäder	devanceiro	N;NOM;INDF;MASC+FEM;PL	ADJ
förfäder	os	förfäder	o	N;NOM;INDF;MASC+FEM;PL	DET
barrett	barrett	barrett	barrett	N;NOM;DEF;NEUT;SG	PROPN
barrett	barret	barrett	barret	N;NOM;DEF;NEUT;SG	PROPN
grannar	os	granna	o	N;NOM;INDF;MASC+FEM;PL	DET
hotar	a	hota	o	V;IND;PRS;FIN;ACT	DET
won	non	won	non	N;NOM;INDF;NEUT;SG	PART
won	vai	won	ir	N;NOM;INDF;NEUT;SG	V
won	vou	won	var	N;NOM;INDF;NEUT;SG	V
satsning	aposta	satsning	apostar	N;NOM;INDF;MASC+FEM;SG	V
satsning	apostar	satsning	apostar	N;NOM;INDF;MASC+FEM;SG	V
satsning	a	satsning	o	N;NOM;INDF;MASC+FEM;SG	DET
satsning	que	satsning	que	N;NOM;INDF;MASC+FEM;SG	PRO
grip	deter	grip	deter	N;NOM;INDF;MASC+FEM;SG	V
philips	phillips	philips	phillips	N;NOM;INDF;MASC+FEM;SG	PROPN
japanskt	xaponés	japansk	xaponés	ADJ;NOM;INDF;NEUT;SG	PROPN
japanskt	xaponeses	japansk	xaponés	ADJ;NOM;INDF;NEUT;SG	N
editor	de	editor	de	N;NOM;INDF;MASC+FEM;SG	ADP
förklarat	explicou	förklara	explicar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
årskurs	de	årskurs	de	N;NOM;INDF;MASC+FEM;SG	ADP
blockeringar	de	blockering	de	N;NOM;INDF;MASC+FEM;PL	ADP
fälla	trampa	fälla	trampa	V;IMP;FIN;ACT	N
fälla	boca	fälla	boca	V;IMP;FIN;ACT	N
lenin	lenin	lenin	lenin	PROPN;NOM	PROPN
hämnas	vinganza	hämna	vinganza	V;FIN;PASS	N
dödat	a	döda	o	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	DET
dödat	mataron	döda	matar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
dödat	matou	döda	matar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
dödat	asasinado	döda	asasinar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
dödat	mortos	döda	morto	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N
gillade	lle	gilla	lle	V;IND;PST;FIN;ACT	PRO
gillade	me	gilla	me	V;IND;PST;FIN;ACT	PRO
gillade	gustáballe	gilla	gustáballe	V;IND;PST;FIN;ACT	N
leverera	pásao	leverera	pásao	V;IMP;NFIN;ACT	PROPN
evigt	eterna	evigt	eterno	ADV	N
omtyckt	gustaba	omtyckt	gustar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
omtyckt	lle	omtyckt	lle	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	PRO
omtyckt	gustara	omtyckt	gustarar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
omtyckt	gustou	omtyckt	gustar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
omtyckt	me	omtyckt	me	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	PRO
omtyckt	gustáballe	omtyckt	gustáballe	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N
internt	interno	intern	interno	N;NOM;INDF;NEUT;SG	ADJ
internt	interna	intern	interno	N;NOM;INDF;NEUT;SG	ADJ
pen	boli	pen	boli	N;NOM;INDF;MASC+FEM;SG	PROPN
oväntat	inesperado	oväntad	inesperar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
papa	papá	papa	papá	N;NOM;INDF;NEUT;SG	PROPN
brunt	brown	brunt	brown	ADJ;NOM;INDF;NEUT;SG	PROPN
brunt	marróns	brunt	marrón	ADJ;NOM;INDF;NEUT;SG	N
brunt	marrón	brunt	marrón	ADJ;NOM;INDF;NEUT;SG	N
förlänga	a	förlänga	o	V;IMP;FIN;ACT	DET
spjut	spear	spjut	spear	N;NOM;INDF;NEUT;SG	V
sedda	ver	sedda	ver	ADJ;NOM;PL;PST;V.PTCP	V
sedda	viron	sedda	ver	ADJ;NOM;PL;PST;V.PTCP	V
sedda	visto	sedda	ver	ADJ;NOM;PL;PST;V.PTCP	V
sedda	vin	sedda	ver	ADJ;NOM;PL;PST;V.PTCP	V
sedda	vira	sedda	vir	ADJ;NOM;PL;PST;V.PTCP	V
sedda	viches	sedda	viche	ADJ;NOM;PL;PST;V.PTCP	V
planera	planificación	planera	planificación	V;IMP;FIN;ACT	N
planera	plan	planera	plan	V;IMP;FIN;ACT	N
planera	plano	planera	plano	V;IMP;FIN;ACT	N
planera	posición	planera	posición	V;IMP;FIN;ACT	N
planera	oferta	planera	oferta	V;IMP;FIN;ACT	N
finansiering	finanzas	finansiering	finanzas	N;NOM;INDF;MASC+FEM;SG	PROPN
blodiga	maldito	blodig	maldito	ADJ;NOM;PL	N
blodiga	idiota	blodig	idiota	ADJ;NOM;PL	N
blodiga	malditos	blodig	maldito	ADJ;NOM;PL	N
bomber	bomber	bomber	bomber	N;NOM;INDF;MASC+FEM;PL	PROPN
bomber	as	bomber	o	N;NOM;INDF;MASC+FEM;PL	DET
födseln	a	födsel	o	N;NOM;DEF;MASC+FEM;SG	DET
födseln	de	födsel	de	N;NOM;DEF;MASC+FEM;SG	ADP
killer	do	kill	do	N;NOM;INDF;MASC+FEM;SG	PROPN
balans	o	balans	o	N;NOM;INDF;MASC+FEM;SG	DET
passerat	pasaran	passera	pasar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
passerat	morreu	passera	morrer	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
passerat	aprobouse	passera	aprobouse	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N
passerat	transmitiron	passera	transmitir	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
passerat	pasou	passera	pasar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
passerat	pasar	passera	pasar	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V
sover	durme	sova	durme	V;IND;PRS;FIN;ACT	N
sover	dorme	sova	dorme	V;IND;PRS;FIN;ACT	N
sover	durmido	sova	durmido	V;IND;PRS;FIN;ACT	ADJ
sover	somníferos	sova	somnífer	V;IND;PRS;FIN;ACT	N
engineering	enxeñaría	engineering	enxeñaría	N;NOM;INDF;MASC+FEM;SG	V
tum	cm	tum	cm	N;NOM;INDF;MASC+FEM;SG	PROPN
markerad	a	markerad	o	N;NOM;INDF;MASC+FEM;SG	DET
markerad	marcados	markerad	marcar	N;NOM;INDF;MASC+FEM;SG	V
clyde	clyde	clyde	clydar	PROPN;NOM	PROPN
twitter	twitter	tqitt	twitter	N;NOM;INDF;MASC+FEM;PL	V
profeten	profeta	profet	profeta	N;NOM;DEF;MASC+FEM;SG	V
hjälpt	a	hjälpa	o	V;V.CVB;ACT	DET
hjälpt	axuda	hjälpa	axuda	V;V.CVB;ACT	N
hjälpt	axudounos	hjälpa	axudounos	V;V.CVB;ACT	N
minskning	a	minskning	o	N;NOM;INDF;MASC+FEM;SG	DET
minskning	diminúe	minskning	diminuír	N;NOM;INDF;MASC+FEM;SG	V
registrera	de	registrera	de	V;IMP;FIN;ACT	ADP
registrera	disco	registrera	disco	V;IMP;FIN;ACT	N
registrera	rexistro	registrera	rexistro	V;IMP;FIN;ACT	N
fjärran	de	fjärra	de	N;NOM;INDF;MASC+FEM;SG	ADP
fjärran	moito	fjärra	moito	N;NOM;INDF;MASC+FEM;SG	ADV
fjärran	lonxe	fjärra	lonxe	N;NOM;INDF;MASC+FEM;SG	ADV
fjärran	ata	fjärra	ata	N;NOM;INDF;MASC+FEM;SG	ADP
fjärran	distante	fjärra	distante	N;NOM;INDF;MASC+FEM;SG	ADJ
fjärran	afastado	fjärra	afastar	N;NOM;INDF;MASC+FEM;SG	V
donovan	donovan	donovan	donovar	PROPN;NOM	V
mördaren	do	mördare	do	N;NOM;DEF;MASC+FEM;SG	PROPN
gudomliga	divino	gudomlig	divino	ADJ;NOM;PL	N
beteenden	seu	beteende	seu	N;NOM;INDF;NEUT;PL	DET
kosta	custo	kosta	custo	V;IMP;FIN;ACT	N
rivers	ríos	rivars	río	PROPN;GEN	N
konstnärligt	artística	konstnärlig	artístico	ADJ;NOM;INDF;NEUT;SG	N
onsdag	o	onsdag	o	N;NOM;INDF;MASC+FEM;SG	DET
öre	a	öre	o	N;NOM;INDF;NEUT;PL	DET
öre	penny	öre	penny	N;NOM;INDF;NEUT;PL	PROPN
underliggande	subxacente	underliggande	subxacente	ADJ;NOM;PRS;V.PTCP	N
poker	póquer	pok	póquer	N;NOM;INDF;MASC+FEM;SG	PROPN
poker	ao	pok	ao	N;NOM;INDF;MASC+FEM;SG	PROPN
poker	de	pok	de	N;NOM;INDF;MASC+FEM;SG	ADP
varmare	máis	varm	máis	ADJ;NOM;CMPR	ADV
mätning	medir	mätning	medir	N;NOM;INDF;MASC+FEM;SG	V
mätning	medindo	mätning	medir	N;NOM;INDF;MASC+FEM;SG	V
belopp	enorme	belopp	enorme	N;NOM;INDF;NEUT;SG	ADJ
tidsperiod	a	tidsperiod	o	N;NOM;INDF;MASC+FEM;SG	DET
inlägget	de	inlägg	de	N;NOM;DEF;NEUT;SG	ADP
etik	de	etik	de	N;NOM;INDF;MASC+FEM;SG	ADP
sjua	7	sjua	7	N;NOM;INDF;MASC+FEM;SG	NUM
gevär	as	gevär	o	N;NOM;INDF;NEUT;SG	DET
praktik	unha	praktik	un	N;NOM;INDF;MASC+FEM;SG	DET
praktik	practicar	praktik	practicar	N;NOM;INDF;MASC+FEM;SG	V
praktik	exercen	praktik	exercer	N;NOM;INDF;MASC+FEM;SG	V
blåa	azul	blåa	azul	ADJ;NOM;PL	N
blåa	azuis	blåa	azuis	ADJ;NOM;PL	N
forrest	forrest	forrest	forrest	PROPN;NOM	PROPN
hicks	hicks	hicks	hick	PROPN;NOM	PROPN
rulla	o	rulla	o	V;IMP;FIN;ACT	DET
rulla	roll	rulla	roll	V;IMP;FIN;ACT	PROPN
rulla	rolo	rulla	rolo	V;IMP;FIN;ACT	N
reagan	reagan	reagan	reagar	PROPN;NOM	PROPN
wish	gustaríame	wish	gustaríame	N;NOM;INDF;MASC+FEM;SG	V
wish	desexaría	wish	desexar	N;NOM;INDF;MASC+FEM;SG	V
wish	oxalá	wish	oxal	N;NOM;INDF;MASC+FEM;SG	V
stör	te	stör	te	V;IMP;FIN;ACT	PRO
stör	molestes	stör	moleste	V;IMP;FIN;ACT	N
psykiskt	mentais	psykisk	mental	ADJ;NOM;INDF;NEUT;SG	N
dyra	caro	dyr	caro	ADJ;NOM;PL	N
dyra	cara	dyr	cara	ADJ;NOM;PL	N
utbud	de	utbud	de	N;NOM;INDF;NEUT;SG	ADP
portar	gates	porta	gate	N;NOM;INDF;MASC+FEM;PL	PROPN
rymma	fuxida	rymma	fuxida	V;IMP;FIN;ACT	N
rymma	fugarse	rymma	fugarsir	V;IMP;FIN;ACT	N
rymma	fuga	rymma	fugar	V;IMP;FIN;ACT	N
noggrant	con	noggrann	con	ADV	ADP
noggrant	coidado	noggrann	coidado	ADV	N
leroy	leroy	leroy	leroy	N;NOM;INDF;MASC+FEM;SG	PROPN
amerikaner	os	amerikan	o	N;NOM;INDF;MASC+FEM;PL	DET
amerikaner	estadounidenses	amerikan	estadounidenses	N;NOM;INDF;MASC+FEM;PL	ADJ
otroligt	abraiante	otrolig	abraiante	ADJ;NOM;INDF;NEUT;SG	ADV
otroligt	o	otrolig	o	ADJ;NOM;INDF;NEUT;SG	DET
otroligt	asombroso	otrolig	asombroso	ADJ;NOM;INDF;NEUT;SG	N
hoppet	que	hopp	que	N;NOM;DEF;NEUT;SG	PRO
hoppet	espero	hopp	espero	N;NOM;DEF;NEUT;SG	V
hoppet	agardo	hopp	agardo	N;NOM;DEF;NEUT;SG	V
undervisa	ensino	undervisa	ensino	V;IMP;FIN;ACT	N
undervisa	ensinanza	undervisa	ensinanza	V;IMP;FIN;ACT	N
undervisa	ensino	undervisa	ensino	V;IMP;FIN;ACT	N
gps	gps	gps	gps	N;NOM;INDF;MASC+FEM;SG	PROPN
föredra	gusto	föredra	gusto	V;IMP;FIN;ACT	N
föredra	dos	föredra	dos	V;IMP;FIN;ACT	PROPN
tonen	beep	ton	beep	N;NOM;DEF;MASC+FEM;SG	PROPN
studerande	estudantes	studerande	estudantes	ADJ;NOM;PRS;V.PTCP	N
studerande	os	studerande	o	ADJ;NOM;PRS;V.PTCP	DET
studerande	alumnos	studerande	alumno	ADJ;NOM;PRS;V.PTCP	N
studerande	aos	studerande	aos	ADJ;NOM;PRS;V.PTCP	PROPN
studerande	estudante	studerande	estudante	ADJ;NOM;PRS;V.PTCP	N
studerande	estudantes	studerande	estudantes	ADJ;NOM;PRS;V.PTCP	N
studerande	alumno	studerande	alumno	ADJ;NOM;PRS;V.PTCP	N
foot	outro	foot	outro	N;NOM;INDF;MASC+FEM;SG	DET
foot	o	foot	o	N;NOM;INDF;MASC+FEM;SG	DET
walking	camiñando	walking	camiñar	N;NOM;INDF;MASC+FEM;SG	V
walking	andar	walking	andar	N;NOM;INDF;MASC+FEM;SG	V
walking	andando	walking	andar	N;NOM;INDF;MASC+FEM;SG	V
walking	subindo	walking	subir	N;NOM;INDF;MASC+FEM;SG	V
walking	camiñaba	walking	camiñar	N;NOM;INDF;MASC+FEM;SG	V
walking	camiñar	walking	camiñar	N;NOM;INDF;MASC+FEM;SG	V
dum	parvo	dum	parvo	ADJ;NOM;INDF;MASC+FEM;SG	N
dum	parvo	dum	parvo	ADJ;NOM;INDF;MASC+FEM;SG	N
huvudman	director	huvudma	director	N;NOM;INDF;MASC+FEM;SG	ADJ
huvudman	principal	huvudma	principal	N;NOM;INDF;MASC+FEM;SG	ADJ
genomsnittliga	media	genomsnittlig	media	ADJ;NOM;PL	N
genomsnittliga	medio	genomsnittlig	medio	ADJ;NOM;PL	N
genomsnittliga	de	genomsnittlig	de	ADJ;NOM;PL	ADP
genomsnittliga	mediocre	genomsnittlig	mediocre	ADJ;NOM;PL	N
förmedla	información	förmedla	información	V;IMP;FIN;ACT	N
seriöst	serio	seriös	serio	ADJ;NOM;INDF;NEUT;SG	N
seriöst	en	seriös	en	ADJ;NOM;INDF;NEUT;SG	ADP
seriöst	en	seriös	en	ADJ;NOM;INDF;NEUT;SG	ADP
seriöst	serio	seriös	serio	ADJ;NOM;INDF;NEUT;SG	N
self	eu	self	eu	N;NOM;INDF;NEUT;SG	PRO
self	presente	self	presente	N;NOM;INDF;NEUT;SG	ADJ
tysta	silencio	tyst	silencio	ADJ;NOM;PL	N
tysta	calado	tyst	calado	ADJ;NOM;PL	N
tysta	silencio	tyst	silencio	ADJ;NOM;PL	N
brytning	romper	brytning	romper	N;NOM;INDF;MASC+FEM;SG	V
brytning	o	brytning	o	N;NOM;INDF;MASC+FEM;SG	DET
brytning	mineiro	brytning	mineiro	N;NOM;INDF;MASC+FEM;SG	ADJ
sår	as	så	o	N;NOM;INDF;NEUT;SG	DET
prime	primeiro	prime	primeiro	N;NOM;INDF;NEUT;SG	ADJ
mental	mental	mental	mental	N;NOM;INDF;MASC+FEM;SG	ADJ
mccoy	mccoy	mccoy	mccoy	PROPN;NOM	PROPN
användbara	para	användbar	para	ADJ;NOM;PL	ADP
diabetes	diabetes	diabetes	diabete	N;NOM;INDF;MASC+FEM;SG	PROPN
utökat	a	utöka	o	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	DET
market	esa	mark	ese	N;NOM;INDF;NEUT;SG	DET
sonny	filliño	sonny	filliño	N;NOM;INDF;MASC+FEM;SG	PROPN
large	grande	large	grande	N;NOM;INDF;MASC+FEM;SG	ADJ
large	gran	large	gran	N;NOM;INDF;MASC+FEM;SG	ADJ
large	grandes	large	grande	N;NOM;INDF;MASC+FEM;SG	ADJ
långsam	ou	långsam	ou	ADJ;NOM;INDF;MASC+FEM;SG	CONJ
långsam	frean	långsam	frear	ADJ;NOM;INDF;MASC+FEM;SG	V
sinne	importa	sinna	importar	N;NOM;INDF;NEUT;SG	V
skrivande	escribir	skrivande	escribir	ADJ;NOM;PRS;V.PTCP	V
skrivande	a	skrivande	o	ADJ;NOM;PRS;V.PTCP	DET
skrivande	escribía	skrivande	escribir	ADJ;NOM;PRS;V.PTCP	V
skrivande	facendo	skrivande	facer	ADJ;NOM;PRS;V.PTCP	V
skrivande	súas	skrivande	seu	ADJ;NOM;PRS;V.PTCP	DET
skrivande	escrita	skrivande	escribir	ADJ;NOM;PRS;V.PTCP	V
skrivande	escribe	skrivande	escribir	ADJ;NOM;PRS;V.PTCP	V
energy	enerxético	energy	enerxético	N;NOM;INDF;NEUT;SG	ADJ
energy	enerxética	energy	enerxético	N;NOM;INDF;NEUT;SG	ADJ
running	correr	running	correr	N;NOM;INDF;MASC+FEM;SG	V
running	correndo	running	correr	N;NOM;INDF;MASC+FEM;SG	V
running	a	running	o	N;NOM;INDF;MASC+FEM;SG	DET
hyra	renda	hyra	renda	V;IMP;FIN;ACT	N
hyra	aluguer	hyra	aluguer	V;IMP;FIN;ACT	PROPN
lyckliga	feliz	lycklig	feliz	ADJ;NOM;PL	N
lyckliga	contento	lycklig	contento	ADJ;NOM;PL	ADV
