iranian	پشتو	iranian	پشتو	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
vapori	دُھند	vapori	دُھند	N;INDF;MASC;PL	PROPN;NOM;MASC;SG;3
vacanța	چھٹی.	vacanță	چھٹی.	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
vacanța	منانا.	vacanță	منان	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
vacanța	تعطیلات	vacanță	تعطیل	N;DEF;FEM;SG	N;NOM;MASC;PL;3
norocul	اتفاق	noroc	اتفاق	N;DEF;MASC;SG	N;NOM;MASC;SG;3
norocul	مقّدر.	noroc	مقّدر.	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
norocul	بختاوری	noroc	بختاوری	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
barcă	بادبانی	barcă	بادبانی	N;INDF;FEM;SG	N;NOM;MASC;SG;3
constructive	متبادر	constructiv	متبادر	ADJ;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
constructive	ترکیب	constructiv	ترکیب	ADJ;INDF;FEM;PL	N;NOM;FEM;SG;3
sting	لوٹنا	stinge	لوٹ		V;NFIN;ACT
sting	خلش	stinge	خلش		PROPN;NOM;MASC;SG;3
sting	کانٹا.	stinge	کانٹا.		PROPN;NOM;MASC;SG;3
sans	بغیر	sans	بغیر		PART;NEG
lichidă	رواں.	lichidă	رواں.	ADJ;INDF;FEM;SG	
lichidă	کھلا	lichidă	کھل	ADJ;INDF;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
lichidă	ترل	lichidă	ترل	ADJ;INDF;FEM;SG	
lichidă	ہوا	lichidă	ہو	ADJ;INDF;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
lichidă	ہائڈروجن	lichidă	ہائڈروجن	ADJ;INDF;FEM;SG	N;NOM;MASC;SG;3
lichidă	رواں.	lichidă	رواں.	ADJ;INDF;FEM;SG	
lichidă	سیّال	lichidă	سیّال	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
lichidă	کھلا	lichidă	کھل	ADJ;INDF;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
lichidă	ترل	lichidă	ترل	ADJ;INDF;FEM;SG	
lichidă	رقیق	lichidă	رقیق	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
lichidă	ہوا	lichidă	ہو	ADJ;INDF;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
lichidă	ہائڈروجن	lichidă	ہائڈروجن	ADJ;INDF;FEM;SG	N;NOM;MASC;SG;3
abrupte	اچانک	abrupt	اچانک	ADJ;INDF;FEM;PL	ADV
abrupte	نشیب.	abrupt	نشیب.	ADJ;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
abrupte	ڈھالو	abrupt	ڈھالو	ADJ;INDF;FEM;PL	
abrupte	اتار	abrupt	اتار	ADJ;INDF;FEM;PL	V;ACT
abrupte	(	abrupt	(	ADJ;INDF;FEM;PL	
abrupte	ڈھلان	abrupt	ڈھلان	ADJ;INDF;FEM;PL	N;NOM;MASC;SG;3
spontană	رواں.	spontană	رواں.	ADJ;INDF;FEM;SG	
spontană	خودرو	spontană	خودرو	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
spontană	ازخود	spontană	ازخود	ADJ;INDF;FEM;SG	
spontană	اضطراری	spontană	اضطراری	ADJ;INDF;FEM;SG	N;NOM;MASC;SG;3
fibră	ریشم	fibră	ریشم	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
fibră	ترکیب	fibră	ترکیب	N;INDF;FEM;SG	N;NOM;FEM;SG;3
fibră	افتاد	fibră	فتد	N;INDF;FEM;SG	N;NOM;MASC;SG;3
fibră	اصلیت	fibră	اصلیت	N;INDF;FEM;SG	N;NOM;MASC;SG;3
fibră	اون	fibră	اون	N;INDF;FEM;SG	N;NOM;MASC;SG;3
fibră	ساخت	fibră	ساخت	N;INDF;FEM;SG	N;NOM;MASC;SG;3
fierul	آہنی.	fier	آہنی.	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
fierul	سخت	fier	سخت	N;DEF;MASC;SG	ADJ
fierul	لوہا	fier	لوہا	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
fierul	ٹانک	fier	ٹانک	N;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
medicament	چٹکلا.	medicament	چٹکلاؤ	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
medicament	دارو.	medicament	دارو.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
handicap	بندش	handicap	بندش	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
handicap	لاچاری	handicap	لاچاری	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
handicap	مجبوری	handicap	مجبوری	N;INDF;MASC;SG	ADJ
handicap	اثاثے	handicap	اثاثہ	N;INDF;MASC;SG	N;NOM;MASC;PL;3
chandler	پنساری	chandler	پنساری	PROPN	PROPN;NOM;MASC;SG;3
chandler	صابن	chandler	صابن	PROPN	N;NOM;MASC;SG;3
chandler	تیل	chandler	تیل	PROPN	N;NOM;MASC;SG;3
repararea	پہنچ.	reparare	پہنچ	N;DEF;FEM;SG	
repararea	شہرت	reparare	شہرت	N;DEF;FEM;SG	N;NOM;FEM;SG;3
repararea	چرچا.	reparare	چرچا.	N;DEF;FEM;SG	
repararea	سدھارنا	reparare	سدھار	N;DEF;FEM;SG	V;MASC;SG;NFIN;ACT
repararea	رجوع	reparare	رجوع	N;DEF;FEM;SG	N;NOM;MASC;SG;3
repararea	رسائی	reparare	رسائی	N;DEF;FEM;SG	N;NOM;MASC;SG;3
repararea	مرجع	reparare	مرجع	N;DEF;FEM;SG	N;NOM;MASC;SG;3
repararea	مقبولیت	reparare	مقبولیت	N;DEF;FEM;SG	N;NOM;MASC;SG;3
hidrogenul	ہائڈروجن	hidrogen	ہائڈروجن	N;DEF;MASC;SG	N;NOM;MASC;SG;3
dominant	ارفع	dominant	ارفع	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
dominant	مسلّط	dominant	مسلّط	ADJ;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
loialitatea	وفاداری	loialitate	وفاداری	N;DEF;FEM;SG	ADJ
patronajul	امداد	patronaj	مدد	N;DEF;MASC;SG	N;NOM;MASC;PL;3
patronajul	امداد	patronaj	مدد	N;DEF;MASC;SG	N;NOM;MASC;PL;3
patronajul	سرپرستی	patronaj	سرپرستی	N;DEF;MASC;SG	N;NOM;MASC;SG;3
extraterestru	غیر	extraterestru	غیر	N;INDF;MASC;SG	ADJ
extraterestru	مخالف	extraterestru	مخالف	N;INDF;MASC;SG	ADJ
extraterestru	پردیسی	extraterestru	پردیسی	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
extraterestru	غیر	extraterestru	غیر	N;INDF;MASC;SG	ADJ
extraterestru	مخالف	extraterestru	مخالف	N;INDF;MASC;SG	ADJ
extraterestru	اجنبی	extraterestru	اجنبی	N;INDF;MASC;SG	V;SG;V.PTCP;ACT
extraterestru	بیگانہ	extraterestru	بیگانہ	N;INDF;MASC;SG	ADJ
extraterestru	پردیسی	extraterestru	پردیسی	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
mireasa	عروسہ	mireasă	عروسہ	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
mireasa	دلہن	mireasă	دلہن	N;DEF;FEM;SG	N;NOM;MASC;SG;3
mireasa	عروس	mireasă	عروس	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
mireasa	عروسہ	mireasă	عروسہ	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
mireasa	دلہن	mireasă	دلہن	N;DEF;FEM;SG	N;NOM;MASC;SG;3
bishop	پیلا.	bishop	پیلا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
bishop	فیل	bishop	فیل	N;INDF;MASC;SG	V;ACT
finite	جمع	finit	جمع	ADJ;INDF;FEM;PL	N;NOM;MASC;SG;3
pulmonar	ریوی.	pulmonar	ریوی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
twilight	انحطاط	twilight	انحطاط	PROPN	N;NOM;MASC;SG;3
twilight	جُھٹپٹا	twilight	جُھٹپٹا	PROPN	PROPN;NOM;MASC;SG;3
twilight	زوال	twilight	زوال	PROPN	N;NOM;MASC;SG;3
twilight	تباہی.	twilight	تباہی.	PROPN	PROPN;NOM;MASC;SG;3
ficat	باسی	ficat	باسی	N;INDF;MASC;SG	
ficat	جگر	ficat	جگر	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
ficat	کبد	ficat	کبد	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
ficat	کبدی.	ficat	کبدی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
plăcută	دماغ	plăcut	دماغ	ADJ;INDF;FEM;SG	N;NOM;MASC;SG;3
zidărie	(	zidărie	(	N;INDF;FEM;SG	
transmit	روشنی	transmite	روشنی	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
beau	سہیلا	beau	سہیلا	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
beau	آشنا.	beau	آشنا.	V;IND;PL;3;PRS;FIN	
cubi	کعبی.	cub	کعبی.	N;INDF;MASC;PL	PROPN;NOM;MASC;SG;3
cubi	مکعبی	cub	مکعبی	N;INDF;MASC;PL	PROPN;NOM;MASC;SG;3
confirma	پختہ	confirma	پختہ	V;IND;SG;3;IPFV;FIN	ADJ
confirma	توثیق	confirma	توثیق	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG;3
confirma	املاک	confirma	ملک	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG;3
reluarea	بازیافت	reluare	بازیافت	N;DEF;FEM;SG	N;NOM;MASC;SG;3
sonny	بیٹا.	sonny	بیٹا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
sonny	خوردگان	sonny	خوردگان	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
swan	لچکیلی	swan	لچکیلی	PROPN	PROPN;NOM;MASC;SG;3
swan	ہنس	swan	ہنس	PROPN	PROPN;NOM;MASC;SG;3
swan	لچکیلی	swan	لچکیلی	PROPN	PROPN;NOM;MASC;SG;3
ceață	بھاپ.	ceață	بھاپ.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
ceață	مبہم.	ceață	مبہم.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
ceață	فضا	ceață	فضا	N;INDF;FEM;SG	N;NOM;MASC;SG;3
ceață	مبہم.	ceață	مبہم.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
ceață	فضا	ceață	فضا	N;INDF;FEM;SG	N;NOM;MASC;SG;3
ceață	دُھندلا	ceață	دُھندلا	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
ceață	مبہم	ceață	مبہم	N;INDF;FEM;SG	ADJ
ceață	کہرا	ceață	کہرا	N;INDF;FEM;SG	
heat	تابستان.	heat	تابستان.	N;INDF;MASC;SG	ADJ
heat	تابش	heat	تابش	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
heat	تپ	heat	تپ	N;INDF;MASC;SG	
heat	غضب.	heat	غضب.	N;INDF;MASC;SG	
heat	بھڑکانا	heat	بھڑکانا	N;INDF;MASC;SG	V;MASC;SG;NFIN;ACT
heat	گرمانا.	heat	گرمانا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
heat	تابستان.	heat	تابستان.	N;INDF;MASC;SG	ADJ
heat	تابش	heat	تابش	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
heat	تپ	heat	تپ	N;INDF;MASC;SG	
heat	غضب.	heat	غضب.	N;INDF;MASC;SG	
heat	تپانا	heat	تپانا	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
heat	بھڑکانا	heat	بھڑکانا	N;INDF;MASC;SG	V;MASC;SG;NFIN;ACT
heat	گرمانا.	heat	گرمانا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
tactica	تعیناتی	tactică	تعیناتی	N;DEF;FEM;SG	ADJ
tactica	پینترا.	tactică	پینترا.	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
tactica	تدبیر	tactică	تدبیر	N;DEF;FEM;SG	N;NOM;MASC;SG;3
tactica	چال	tactică	چال	N;DEF;FEM;SG	;MASC;SG;3
blade	تلوار.	blad	تلوار.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
arata	کاروبار	arata	کاروبار	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG;3
arata	out	arata	out	V;IND;SG;3;IPFV;FIN	
arata	(	arata	(	V;IND;SG;3;IPFV;FIN	
arata	تصویر	arata	تصویر	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG;3
arata	کاروبار	arata	کاروبار	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG;3
arata	out	arata	out	V;IND;SG;3;IPFV;FIN	
arata	کھیل	arata	کھیل	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG;3
arata	تماشا	arata	تماشا	V;IND;SG;3;IPFV;FIN	PROPN;NOM;MASC;SG;3
arata	(	arata	(	V;IND;SG;3;IPFV;FIN	
arata	تصویر	arata	تصویر	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG;3
joint	جوڑوں	joint	جوڑ	N;INDF;MASC;SG	N;ACC;MASC;PL;3
joint	مفصلہ	joint	مفصلہ	N;INDF;MASC;SG	ADJ
joint	اڈا.	joint	اڈا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
mick	آئرستانی.	mick	آئرستانی.	PROPN	ADJ;NOM
mat	ربڑ	mat	ربڑ		N;NOM;MASC;SG;3
mat	فرش	mat	فرش		N;NOM;MASC;SG;3
mat	چٹائی	mat	چٹائی		V;PFV;FEM;SG;V.PTCP;ACT
mat	ربڑ	mat	ربڑ		N;NOM;MASC;SG;3
mat	فرش	mat	فرش		N;NOM;MASC;SG;3
blond	بھورے	blond	بھورا	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
dilema	تعطّل	dilemă	تعطّل	N;DEF;FEM;SG	
dependente	محمول	dependent	محمول	ADJ;INDF;FEM;PL	N;NOM;MASC;SG;3
dependente	(	dependent	(	ADJ;INDF;FEM;PL	
frig	بالکل	frig	بالکل	N;INDF;MASC;SG	CONJ
frig	مدّھم	frig	مدّھم	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
frig	شیتل	frig	شیتل	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
frig	بالکل	frig	بالکل	N;INDF;MASC;SG	CONJ
frig	بارِد	frig	بارِد	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
frig	مدّھم	frig	مدّھم	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
frig	شیتل	frig	شیتل	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
sanscrită	سنسکرت	sanscrit	سنسکرت	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
rezistente	مزاحم	rezistent	مزاحم	ADJ;INDF;FEM;PL	N;NOM;MASC;SG;3
suspendare	تعطل	suspendare	تعطل	N;INDF;FEM;SG	N;NOM;MASC;SG;3
suspendare	معطلی	suspendare	معطلی	N;INDF;FEM;SG	ADJ
suspendare	التوا.	suspendare	التوا.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
sigma	c.	sigmă	c.	N;INDF;MASC;SG	
sigma	σ	sigmă	σ	N;INDF;MASC;SG	
capcană	منہ	capcană	منہ	N;INDF;FEM;SG	N;NOM;MASC;SG;3
capcană	کھٹکا	capcană	کھٹکا	N;INDF;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
capcană	منہ	capcană	منہ	N;INDF;FEM;SG	N;NOM;MASC;SG;3
capcană	کھٹکا	capcană	کھٹکا	N;INDF;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
capcană	جال	capcană	جال	N;INDF;FEM;SG	V;ACT
depresie	نزول	depresie	نزول	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
depresie	غمگینی	depresie	غمگینی	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
depresie	نشیب	depresie	نشیب	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
depresie	فشار.	depresie	فشار.	N;INDF;FEM;SG	
depresie	نقاہت	depresie	نقاہت	N;INDF;FEM;SG	N;NOM;MASC;SG;3
depresie	پچکن.	depresie	پچکن.	N;INDF;FEM;SG	
depresie	اداسی	depresie	اداسی	N;INDF;FEM;SG	N;NOM;FEM;SG;3
puzzle	مشکل	puzclă	مشکل	N;INDF;FEM;PL	ADJ
puzzle	معمّا	puzclă	معمّا	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
puzzle	چیستاں	puzclă	چیستاں	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
puzzle	بجھارت.	puzclă	بجھارت.	N;INDF;FEM;PL	PROPN;NOM;MASC;SG;3
caracteristica	امتیازی	caracteristică	امتیازی	N;DEF;FEM;SG	ADJ
caracteristica	عاری	caracteristică	عاری	N;DEF;FEM;SG	ADJ
caracteristica	طبعی	caracteristică	طبعی	N;DEF;FEM;SG	ADJ
caracteristica	منفرد	caracteristică	منفرد	N;DEF;FEM;SG	ADJ
caracteristica	مخصوص	caracteristică	مخصوص	N;DEF;FEM;SG	ADJ
asistența	مدد	asistență	مدد	N;DEF;FEM;SG	N;NOM;MASC;SG;3
iepure	away	iepure	away	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
fluier	زفیل.	fluier	زفیل.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
fluier	زفیلنا	fluier	زفیلنا	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
fluier	پنپنانا.	fluier	پنپنانا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
fluier	سیٹی	fluier	سیٹی	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
sabine	سبینی.	sabin	سبینی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
locomotivă	خودرواں	locomotivă	خودرواں	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
supărat	برہم.	supărat	برہم.	ADJ;INDF;MASC;SG	
supărat	بگاڑ.	supărat	بگاڑ.	ADJ;INDF;MASC;SG	
promite	اقرار.	promite	اقرارؤ	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
promite	قول	promite	قول	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
promite	عہد	promite	عہد	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
promite	اقرار.	promite	اقرارؤ	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
promite	قول	promite	قول	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
promite	وعدہ	promite	وعدہ	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
judy	زن.	judy	زن.	PROPN	
chemarea	روزگار.	chemare	روزگار.	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
chemarea	مصروفیت	chemare	مصروفیت	N;DEF;FEM;SG	N;NOM;MASC;SG;3
chemarea	روزگار.	chemare	روزگار.	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
chemarea	پیشہ	chemare	پیشہ	N;DEF;FEM;SG	N;NOM;MASC;SG;3
chemarea	مصروفیت	chemare	مصروفیت	N;DEF;FEM;SG	N;NOM;MASC;SG;3
zip	پھرتی.	zip	پھرتی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
spectru	بھوت	spectru	بھوت	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
spectru	آسیب	spectru	آسیب	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
spectru	سایہ.	spectru	سایہ.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
laudă	توصیف	laudă	توصیف	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
laudă	تعریف	laudă	تعریف	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
laudă	توصیف	laudă	توصیف	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
laudă	سراہنا	laudă	سراہ	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
probabilitate	متوقع	probabilitate	متوقع	N;INDF;FEM;SG	ADJ
probabilitate	امکان	probabilitate	امکان	N;INDF;FEM;SG	N;NOM;MASC;SG;3
probabilitate	احتمال.	probabilitate	احتمال.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
probabilitate	امکان	probabilitate	امکان	N;INDF;FEM;SG	N;NOM;MASC;SG;3
dutch	جرمنی	dutch	جرمنی	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
dutch	ولندیزی.	dutch	ولندیزی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
dutch	ایفریکان.	dutch	ایفریکان.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
junction	چوراہا.	junction	چوراہا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
junction	جوڑنے	junction	جوڑ	N;INDF;MASC;SG	V;ACC;NFIN
junction	سنگم.	junction	سنگم.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
cuțit	کٹاری	cuțit	کٹاری	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
cuțit	دھار.	cuțit	دھار.	N;INDF;MASC;SG	
cuțit	چھری	cuțit	چھری	N;INDF;MASC;SG	ADJ;FEM
estetica	جمالیات.	estetică	جمالیات.	N;DEF;FEM;SG	PROPN;NOM;MASC;SG;3
proporțional	متناسب.	proporțional	متناسب.	ADV	ADJ
proporțional	تقابلی	proporțional	تقابلی	ADV	N;NOM;MASC;SG;3
sac	پتلون	sac	پتلون	N;INDF;MASC;SG	V;MASC;SG;ACT
sac	تحقیرکرنا	sac	تحقیرکرنا	N;INDF;MASC;SG	V;NFIN;ACT
sac	پاجامہ	sac	پاجامہ	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
sac	پھلانا	sac	پھلانا	N;INDF;MASC;SG	V;MASC;SG;V.PTCP;ACT
manipularea	کارستانی	manipulare	کارستانی	N;DEF;FEM;SG	ADJ;NOM
oilor	میش.	oală	میش.	N;DEF;MASC;PL	PROPN;NOM;MASC;SG;3
oilor	بھیڑ	oală	بھیڑ	N;DEF;MASC;PL	
oilor	میش.	oală	میش.	N;DEF;MASC;PL	PROPN;NOM;MASC;SG;3
sensibile	(	sensibil	(	ADJ;INDF;FEM;PL	
calcule	حساب	calcul	حساب	N;INDF;FEM;PL	N;NOM;MASC;SG;3
bou	بدھیا	bou	بدھیا	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
pulbere	سفوف	pulbere	سفوف	N;INDF;FEM;SG	N;NOM;MASC;SG;3
pulbere	سفیدہ.	pulbere	سفیدہ.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
pulbere	پاؤڈر	pulbere	پاؤڈر	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
represalii	بدلہ	represaliu	بدلہ	N;DEF;MASC;PL	N;NOM;MASC;SG;3
erbacee	نباتی.	erbacee	نباتی	N;INDF;FEM	PROPN;NOM;MASC;SG;3
coordonează	موزوں	coordona	موزوں	V;IND;3;PRS;FIN	ADJ
coordonează	منضبط	coordona	منضبط	V;IND;3;PRS;FIN	N;NOM;MASC;SG;3
coordonează	محدد.	coordona	محدد.	V;IND;3;PRS;FIN	PROPN;NOM;MASC;SG;3
toleranță	سمائی.	toleranță	سمائی.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
toleranță	برداشت	toleranță	برداشت	N;INDF;FEM;SG	N;NOM;FEM;SG;3
toleranță	سمائی.	toleranță	سمائی.	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
toleranță	رواداری	toleranță	رواداری	N;INDF;FEM;SG	N;NOM;MASC;SG;3
barbă	ریش	barbă	ریش	N;INDF;FEM;SG	
barbă	بالو	barbă	بالو	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
barbă	بانجر	barbă	بانجر	N;INDF;FEM;SG	
barbă	ریش	barbă	ریش	N;INDF;FEM;SG	
barbă	داڑھی	barbă	داڑھی	N;INDF;FEM;SG	N;NOM;FEM;SG;3
barbă	بالو	barbă	بالو	N;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
barbă	بانجر	barbă	بانجر	N;INDF;FEM;SG	
precară	ہنگامی.	precare	ہنگامین	ADJ;INDF;FEM;SG	PROPN;NOM;MASC;SG;3
carton	گتّہ	carton	گتّہ	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
carton	ملٹ.	carton	ملٹ.	N;INDF;MASC;SG	
hibrid	پیوندی.	hibrid	پیوندی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
hibrid	انمل	hibrid	انمل	N;INDF;MASC;SG	
hibrid	دونسلا.	hibrid	دونسلا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
hibrid	داغول	hibrid	داغول	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
hibrid	پیوندی.	hibrid	پیوندی.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
hibrid	انمل	hibrid	انمل	N;INDF;MASC;SG	
hibrid	دونسلا.	hibrid	دونسلا.	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
hibrid	داغول	hibrid	داغول	N;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
hibrid	دوغلا	hibrid	دوغلا	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
