और	dan	और	dan		CONJ
लोग	orang	लोग	orang	N;NOM;MASC;PL;3	N;SG
लोग	people	लोग	people	N;NOM;MASC;PL;3	PROPN
आदि	dll	आदि	dll	PART	
आदि	selengkapnya	आदि	selengkap	PART	N;SG
आदि	lebih	आदि	lebih	PART	ADV
आदि	lainnya	आदि	lainnya	PART	N
आदि	lagi	आदि	lagi	PART	ADV
आदि	adi	आदि	adi	PART	PROPN
उसके	his	वह	his	PRO;MASC;SG;3	PROPN
उसके	her	वह	her	PRO;MASC;SG;3	PROPN
प्राचीन	primitif	प्राचीन	primitif	ADJ;NOM	N
प्राचीन	praetor	प्राचीन	praetor	ADJ;NOM	PROPN
देखें	menonton	देख	mentonton	V;SBJV;PL;FIN;ACT	V;SG;ACT
देखें	watch	देख	watch	V;SBJV;PL;FIN;ACT	PROPN
देखें	tonton	देख	tonton	V;SBJV;PL;FIN;ACT	V;SG;ACT
देखें	lihat	देख	lihat	V;SBJV;PL;FIN;ACT	V;SG;ACT
देखें	melihat	देख	menlihat	V;SBJV;PL;FIN;ACT	V;SG;ACT
देखें	tampilan	देख	tampilan	V;SBJV;PL;FIN;ACT	N;SG
देखें	lihat	देख	lihat	V;SBJV;PL;FIN;ACT	V;SG;ACT
उत्तर	jawab	उत्तर	jawab	PROPN;NOM;MASC;SG;3	N;SG;ACT
उत्तर	jawaban	उत्तर	jawaban	PROPN;NOM;MASC;SG;3	N;SG
उत्तर	jawablah	उत्तर	jawab	PROPN;NOM;MASC;SG;3	V;SG;ACT
उत्तर	menjawab	उत्तर	menjawab	PROPN;NOM;MASC;SG;3	V;SG;ACT
उत्तर	utara	उत्तर	utara	PROPN;NOM;MASC;SG;3	PROPN;SG
उत्तर	north	उत्तर	north	PROPN;NOM;MASC;SG;3	PROPN
उत्तर	jawaban	उत्तर	jawaban	PROPN;NOM;MASC;SG;3	N;SG
लिये	untuk	ले	untuk	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	all	सब	all	PRO;NOM;3	PROPN
सभी	aii	सब	aii	PRO;NOM;3	PROPN
सभी	semua	सब	semua	PRO;NOM;3	DET
प्राप्त	diperoleh	प्राप्त	diperoleh	ADJ	V;SG;PASS
प्राप्त	diterima	प्राप्त	diterima	ADJ	V;SG;PASS
प्राप्त	menerima	प्राप्त	menterima	ADJ	V;SG;ACT
इसका	menta	यह	menta	PRO;MASC;SG;3	
इसका	its	यह	its	PRO;MASC;SG;3	PROPN
प्रयोग	bereksperimen	प्रयोग	berreksperimen	N;NOM;MASC;SG;3	V;SG;ACT
शामिल	melibatkan	शामिल	menlibatkan	ADJ	V;SG;ACT
शामिल	terlibat	शामिल	terlibat	ADJ	V;SG;PASS
शामिल	termasuk	शामिल	termasuk	ADJ	V
शामिल	sertakan	शामिल	sertakan	ADJ	V
शामिल	mencakup	शामिल	mencakup	ADJ	V;SG;ACT
शामिल	menyertakan	शामिल	menyertakan	ADJ	V
शामिल	disertakan	शामिल	disertakan	ADJ	V
शामिल	termasuk	शामिल	termasuk	ADJ	V
शामिल	menyertakan	शामिल	menyertakan	ADJ	V
शामिल	diikutsertakan	शामिल	diikutsertakan	ADJ	V;SG;PASS
शामिल	termasuk	शामिल	termasuk	ADJ	V
शामिल	sertakan	शामिल	sertakan	ADJ	V
शामिल	cantumkan	शामिल	cantumkan	ADJ	V;SG;ACT
शामिल	menyertakan	शामिल	menyertakan	ADJ	V
शामिल	include	शामिल	include	ADJ	PROPN
उन्हें	mereka	वह	mereka	PRO;SG;3;FORM	PRO;PL;3
उस	that	वह	that	DET;ACC;SG;3	PROPN
उस	bahwa	वह	bahwa	DET;ACC;SG;3	CONJ
उस	yang	वह	yang	DET;ACC;SG;3	PRO
स्थान	tempatkan	स्थान	tempatkan	N;NOM;MASC;SG;3	V;SG;ACT
स्थान	place	स्थान	place	N;NOM;MASC;SG;3	PROPN
प्रमुख	chief	प्रमुख	chief	N;NOM;MASC;SG;3	PROPN
प्रमुख	major	प्रमुख	major	N;NOM;MASC;SG;3	PROPN
प्रमुख	mayor	प्रमुख	mayor	N;NOM;MASC;SG;3	PROPN
प्रमुख	utama	प्रमुख	utama	N;NOM;MASC;SG;3	ADJ;SG
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	PROPN
बीच	beach	बीच	beach	ADV;NOM;MASC;SG;3	PROPN
बीच	pantai	बीच	pantai	ADV;NOM;MASC;SG;3	N;SG
बीच	tengah	बीच	tengah	ADV;NOM;MASC;SG;3	PROPN;SG
बीच	pusat	बीच	pusat	ADV;NOM;MASC;SG;3	N;SG
बीच	center	बीच	center	ADV;NOM;MASC;SG;3	PROPN
गए	gone	जा	gone	V;PFV;MASC;PL;V.PTCP;ACT	PROPN
मुख्य	chief	मुख्य	chief	PROPN;NOM;MASC;SG;3	PROPN
मुख्य	ketua	मुख्य	ketua	PROPN;NOM;MASC;SG;3	N;SG
मुख्य	kepala	मुख्य	kepala	PROPN;NOM;MASC;SG;3	N;SG
मुख्य	utama	मुख्य	utama	PROPN;NOM;MASC;SG;3	ADJ;SG
थी	euy	था	euy	V;FEM;IND;SG;PST;FIN;ACT	PROPN
थी	was	था	was	V;FEM;IND;SG;PST;FIN;ACT	PROPN
बिहार	bihar	बिहार	bihar	PROPN;NOM;MASC;SG;3	PROPN
उसे	him	वह	him	PRO;SG;3	PROPN
उसे	her	वह	her	PRO;SG;3	PROPN
कार्य	job	कार्य	job	N;NOM;MASC;SG;3	PROPN
कार्य	ayub	कार्य	ayub	N;NOM;MASC;SG;3	PROPN;SG
कार्य	bekerja	कार्य	bekerja	N;NOM;MASC;SG;3	V;SG;ACT
आंध्र	andhra	आंध्र	andhra	PROPN;NOM;MASC;SG;3	PROPN
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	PROPN
नगर	town	नगर	town	N;NOM;MASC;SG;3	PROPN
नगर	city	नगर	city	N;NOM;MASC;SG;3	PROPN
नगर	nagar	नगर	nagar	N;NOM;MASC;SG;3	PROPN
उपयोग	menggunakan	उपयोग	mengunakan	N;NOM;MASC;SG;3	V;SG;ACT
उपयोग	gunakan	उपयोग	gunakan	N;NOM;MASC;SG;3	V;SG;ACT
उपयोग	pakai	उपयोग	pakai	N;NOM;MASC;SG;3	V;SG;ACT
उपयोग	menggunakan	उपयोग	mengunakan	N;NOM;MASC;SG;3	V;SG;ACT
लोगों	rakyat	लोग	rakyat	N;ACC;MASC;PL;3	N;SG
लोगों	orang	लोग	orang	N;ACC;MASC;PL;3	N;SG
लोगों	people	लोग	people	N;ACC;MASC;PL;3	PROPN
आधार	dasar	आधार	dasar	N;NOM;MASC;SG;3	ADJ;SG
आधार	basis	आधार	basis	N;NOM;MASC;SG;3	PROPN;SG
आधार	basis	आधार	basis	N;NOM;MASC;SG;3	PROPN;SG
काम	bekerja	काम	bekerja	N;NOM;MASC;SG;3	V;SG;ACT
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	PROPN
विश्व	world	विश्व	world	N;NOM;MASC;SG;3	PROPN
भाग	bagian	भाग	bagian		N;SG
भाग	part	भाग	part		PROPN
भाग	bagian	भाग	bagian		N;SG
भाग	parts	भाग	parts		PROPN
भाग	bagian	भाग	bagian		N;SG
भाग	onderdil	भाग	onderdil		N
निर्माण	membangun	निर्माण	menbangun	N;NOM;MASC;SG;3	V;SG;ACT
निर्माण	bina	निर्माण	bina	N;NOM;MASC;SG;3	PROPN;SG
निर्माण	build	निर्माण	build	N;NOM;MASC;SG;3	PROPN
दोनों	berdua	दो	berdua	N;ACC;MASC;PL;3	
राष्ट्रीय	gimn	राष्ट्रीय	gimn	PROPN;NOM;MASC;SG;3	PROPN
राष्ट्रीय	national	राष्ट्रीय	national	PROPN;NOM;MASC;SG;3	PROPN
राष्ट्रीय	nasional	राष्ट्रीय	nasional	PROPN;NOM;MASC;SG;3	ADJ;SG
जानकारी	info	जानकारी	info	N;NOM;FEM;SG;3	PROPN;SG
जानकारी	information	जानकारी	information	N;NOM;FEM;SG;3	PROPN
शहर	downtown	शहर	downtown	N;NOM;MASC;SG;3	PROPN
शहर	city	शहर	city	N;NOM;MASC;SG;3	PROPN
बार	times	बार	times	N;NOM;FEM;SG;3	PROPN
वाली	wali	वाला	wali	ADP;NOM;FEM;SG	PROPN;SG
लगभग	almost	लगभग	almost	PART	PROPN
लगभग	hampir	लगभग	hampir	PART	ADV
लगभग	nyaris	लगभग	nyaris	PART	
फिल्म	movie	फिल्म	movie	N;NOM;FEM;SG;3	PROPN
यहाँ	disini	यहाँ	disini	PRO;NOM	PROPN;SG;PASS
यहाँ	here	यहाँ	here	PRO;NOM	PROPN
यहाँ	sini	यहाँ	sini	PRO;NOM	ADP;SG
प्रसिद्ध	famous	प्रसिद्ध	famous	ADJ	PROPN
केवल	only	केवल	only	PART	PROPN
केवल	saja	केवल	saja	PART	ADV
केवल	hanya	केवल	hanya	PART	ADV
देश	nation	देश	nation	N;NOM;MASC;SG;3	PROPN
अलग	dipisahkan	अलग	dipisahkan	ADJ	V;SG;PASS
अलग	dipisah	अलग	dipisah	ADJ	V;SG;PASS
अलग	berpisah	अलग	berpisah	ADJ	V;SG;ACT
अलग	berbeda	अलग	berbeda	ADJ	V;SG;ACT
अलग	pisahkan	अलग	pisahkan	ADJ	V;SG;ACT
अलग	memisahkan	अलग	menpisahkan	ADJ	V;SG;ACT
अलग	dipisah	अलग	dipisah	ADJ	V;SG;PASS
विशेष	exclusive	विशेष	exclusive	ADJ;NOM	PROPN
विशेष	special	विशेष	special	ADJ;NOM	PROPN
इसकी	menta	यह	menta	PRO;FEM;SG;3	
इसकी	its	यह	its	PRO;FEM;SG;3	PROPN
कभी	pernah	कभी	pernah	PRO	ADV
कभी	ever	कभी	ever	PRO	PROPN
दी	diberikan	दे	diberikan	V;PFV;FEM;SG;V.PTCP;ACT	V;SG;PASS
दी	diberi	दे	diberi	V;PFV;FEM;SG;V.PTCP;ACT	V;SG;PASS
पृष्ठ	page	पृष्ठ	page	N;NOM;MASC;SG;3	PROPN
माना	dianggap	मान	dianggap	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
माना	dipertimbangkan	मान	dipertimbangkan	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
माना	mana	मान	mana	V;PFV;MASC;SG;V.PTCP;ACT	ADP;SG
शब्द	word	शब्द	word	N;NOM;MASC;SG;3	PROPN
शब्द	firman	शब्द	firman	N;NOM;MASC;SG;3	PROPN;SG
फिर	lalu	फिर	lalu	ADV	CONJ;SG
फिर	maka	फिर	maka	ADV	CONJ
तीन	three	तीन	three	NUM	PROPN
पुरस्कार	reward	पुरस्कार	reward	N;NOM;MASC;SG;3	PROPN
पुरस्कार	reward	पुरस्कार	reward	N;NOM;MASC;SG;3	PROPN
अब	sekarang	अब	sekarang	PRO;NOM	ADV
अब	now	अब	now	PRO;NOM	PROPN
अब	kini	अब	kini	PRO;NOM	N
दौरान	selama	दौरान	selama	ADV;NOM;MASC;SG;3	ADP
अमेरिका	amerika	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	PROPN;SG
अमेरिका	america	अमेरिका	america	PROPN;NOM;MASC;SG;3	PROPN
मंदिर	temple	मंदिर	temple	N;NOM;MASC;SG;3	PROPN
मंदिर	candi	मंदिर	candi	N;NOM;MASC;SG;3	PROPN
अलावा	tambahan	अलावा	tambahan	ADP	N;SG
अलावा	penambahan	अलावा	pentambahan	ADP	N;SG
दक्षिण	selatan	दक्षिण	selatan	PROPN;NOM;MASC;SG;3	N;SG
दक्षिण	south	दक्षिण	south	PROPN;NOM;MASC;SG;3	PROPN
विभिन्न	bermacam	विभिन्न	bermacam	ADJ	N;SG;ACT
विभिन्न	berbagai	विभिन्न	berbagai	ADJ	DET
विभिन्न	beragam	विभिन्न	berragam	ADJ	V;SG;ACT
विभिन्न	miscellaneous	विभिन्न	miscellaneous	ADJ	PROPN
इतिहास	history	इतिहास	history	N;NOM;MASC;SG;3	PROPN
लिया	taken	ले	taken	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
लिया	dibawa	ले	dibawa	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
लिया	diambil	ले	diambil	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
फ़िल्म	movie	फ़िल्म	movie	N;NOM;FEM;SG;3	PROPN
पास	oper	पास	oper	ADV;NOM;MASC;SG;3	PROPN
पास	lulus	पास	lulus	ADV;NOM;MASC;SG;3	V;SG
पास	pass	पास	pass	ADV;NOM;MASC;SG;3	PROPN
विस्तृत	terperinci	विस्तृत	terperinci	ADJ	V;SG;PASS
विस्तृत	menguraikan	विस्तृत	menkuraikan	ADJ	V;SG;ACT
विस्तृत	maju	विस्तृत	maju	ADJ	V;SG;ACT
विस्तृत	canggih	विस्तृत	canggih	ADJ	N;SG
विस्तृत	lanjutan	विस्तृत	lanjutan	ADJ	N;SG
दिन	day	दिन	day	N;NOM;MASC;SG;3	PROPN
दिन	days	दिन	days	N;NOM;MASC;SG;3	PROPN
गढ़वाल	garhwal	गढ़वाल	garhwal	PROPN;NOM;MASC;SG;3	N
शुरू	dimulai	शुरू	dimulai	N;NOM;MASC;SG;3	V;SG;PASS
शुरू	memulai	शुरू	menmulai	N;NOM;MASC;SG;3	V;SG;ACT
शुरू	mulai	शुरू	mulai	N;NOM;MASC;SG;3	V;SG;ACT
शुरू	begin	शुरू	begin	N;NOM;MASC;SG;3	PROPN
व्यक्ति	person	व्यक्ति	person	N;NOM;MASC;SG;3	PROPN
सदस्य	anggota	सदस्य	anggota	N;NOM;MASC;PL;3	N;SG
सदस्य	member	सदस्य	menber	N;NOM;MASC;PL;3	
सदस्य	pelanggan	सदस्य	penlanggan	N;NOM;MASC;PL;3	N;SG
सदस्य	pelanggan	सदस्य	penlanggan	N;NOM;MASC;PL;3	N;SG
सदस्य	anggota	सदस्य	anggota	N;NOM;MASC;PL;3	N;SG
हालांकि	though	हालांकि	though	CONJ	PROPN
हालांकि	walau	हालांकि	walau	CONJ	
सिंह	singh	सिंह	singh	PROPN;NOM;MASC;SG;3	PROPN
सिंह	leo	सिंह	leo	PROPN;NOM;MASC;SG;3	PROPN
अनेक	banyak	अनेक	banyak	DET	ADV
अनेक	kelipatan	अनेक	kelipatan	DET	N;SG
अनेक	multiple	अनेक	multiple	DET	PROPN
अनेक	berganda	अनेक	berganda	DET	PROPN;SG;ACT
यहां	disini	यहाँ	disini	PRO;NOM	PROPN;SG;PASS
यहां	here	यहाँ	here	PRO;NOM	PROPN
यहां	sini	यहाँ	sini	PRO;NOM	ADP;SG
संख्या	nomer	संख्या	nomer	N;NOM;FEM;SG;3	PROPN;SG
अपना	own	अपना	own	PRO;NOM;MASC;SG	PROPN
अपना	sendiri	अपना	sendiri	PRO;NOM;MASC;SG	ADJ;SG
अपना	your	अपना	your	PRO;NOM;MASC;SG	PROPN
बात	thing	बात	thing	N;NOM;FEM;SG;3	PROPN
बात	bicaralah	बात	bicaralah	N;NOM;FEM;SG;3	V;SG;ACT
बात	talk	बात	talk	N;NOM;FEM;SG;3	PROPN
बात	bicara	बात	bicara	N;NOM;FEM;SG;3	
दिल्ली	delhi	दिल्ली	delhi	PROPN;NOM;FEM;SG;3	PROPN
धर्म	dharma	धर्म	dharma	N;NOM;MASC;SG;3	PROPN
मूल	origin	मूल	origin	N;NOM;MASC;SG;3	PROPN
मूल	asli	मूल	asli	N;NOM;MASC;SG;3	ADJ;SG
मूल	native	मूल	native	N;NOM;MASC;SG;3	PROPN
मूल	asli	मूल	asli	N;NOM;MASC;SG;3	ADJ;SG
मूल	original	मूल	original	N;NOM;MASC;SG;3	PROPN
मूल	dasar	मूल	dasar	N;NOM;MASC;SG;3	ADJ;SG
मूल	basic	मूल	basic	N;NOM;MASC;SG;3	PROPN
तब	lalu	तब	lalu	PRO;NOM	CONJ;SG
तब	maka	तब	maka	PRO;NOM	CONJ
तब	kemudian	तब	kemudian	PRO;NOM	ADV
बना	buat	बन	buat	V;PFV;MASC;SG;V.PTCP;ACT	
बना	make	बन	make	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
बना	made	बन	made	V;PFV;MASC;SG;V.PTCP;ACT	PROPN
बना	dibuat	बन	dibuat	V;PFV;MASC;SG;V.PTCP;ACT	V;SG;PASS
कोड	code	कोड	code		PROPN
कोड	kode	कोड	kode		N;SG
कोड	kode	कोड	kode		N;SG
संयुक्त	bersatu	संयुक्त	bersatu	PROPN;NOM;MASC;SG;3	PROPN
संयुक्त	digabungkan	संयुक्त	digabungkan	PROPN;NOM;MASC;SG;3	V;SG;PASS
