sejler	voile	sejle	voile	V;IND;PRS;FIN;ACT	N;FEM;SG
installeret	installées	installere	installer	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
installeret	installés	installere	installer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
varmt	hot	varm	hot	ADJ;INDF;NEUT;SG	N;MASC;SG
varmt	chaleureuses	varm	chaleureux	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
passere	pass	passere	pass	V;NFIN;ACT	N;MASC;SG
ideologi	idéologique	ideologi	idéologique	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
ideologi	idéologies	ideologi	idéologie	N;INDF;MASC+FEM;SG	N;FEM;PL
colorado	colorado	colorado	colorado		N;MASC;SG
fungerende	fonctionnement	fungerende	fonctionnement	V;PRS;V.PTCP	N;MASC;SG
væske	fluides	væske	fluide	N;INDF;MASC+FEM;SG	ADJ;MASC;PL
væske	fluide	væske	fluide	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
væske	liquide	væske	liquide	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
væske	liquides	væske	liquide	N;INDF;MASC+FEM;SG	N;MASC;PL
mursten	briques	mursten	brique	N;DEF;MASC+FEM;SG	N;FEM;PL
mursten	briques	mursten	brique	N;DEF;MASC+FEM;SG	N;FEM;PL
monica	monica	monica	monica		PROPN
udkommet	publiées	udkomme	publier	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
udkommet	publiés	udkomme	publier	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
lejr	camps	lejr	camp	N;INDF;MASC+FEM;SG	N;MASC;PL
inkluderede	inclus	inkludere	inclure	V;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
inkluderede	incluse	inkludere	inclure	V;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
inkluderede	compris	inkludere	comprendre	V;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
sum	sum	sum	sum	N;INDF;MASC+FEM;SG	
unikke	unique	unik	unique	ADJ;PL	ADJ;MASC;SG
banks	banques	banks	banque	N;INDF;MASC+FEM;SG	N;FEM;PL
tove	cordages	tov	cordage	N;INDF;MASC+FEM;SG	N;MASC;PL
tove	cordes	tov	corde	N;INDF;MASC+FEM;SG	N;FEM;PL
tove	tove	tov	tove	N;INDF;MASC+FEM;SG	PROPN
jupiter	jupiter	jupiter	jupiter		PROPN
skygge	ombres	skygge	ombre	N;INDF;MASC+FEM;SG	N;FEM;PL
skygge	shadow	skygge	shadow	N;INDF;MASC+FEM;SG	PROPN
skygge	ombres	skygge	ombre	N;INDF;MASC+FEM;SG	N;FEM;PL
skygge	abat	skygge	abattre	N;INDF;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
passage	traverser	passage	traverser	N;INDF;MASC+FEM;SG	V;NFIN
passage	traversée	passage	traverser	N;INDF;MASC+FEM;SG	V;FEM;SG;PST;V.PTCP
videoen	vidéos	videoen	vidéo	N;DEF;MASC+FEM;SG	N;FEM;PL
torv	carrés	torv	carré	N;INDF;NEUT;SG	N;MASC;PL
torv	carrées	torv	carrée	N;INDF;NEUT;SG	ADJ;FEM;PL
anhalt	anhalt	anhalt	anhalt	N;INDF;MASC+FEM;SG	PROPN
betty	betty	betty	betty		INTJ
eksperimenter	expérimenter	eksperiment	expérimenter	N;INDF;MASC+FEM;PL	V;NFIN
eksperimenter	expérience	eksperiment	expérience	N;INDF;MASC+FEM;PL	N;FEM;SG
eksperimenter	expérimentation	eksperiment	expérimentation	N;INDF;MASC+FEM;PL	N;FEM;SG
eksperimenter	expérimentation	eksperiment	expérimentation	N;INDF;MASC+FEM;PL	N;FEM;SG
måler	mesurage	måle	mesurage	V;IND;PRS;FIN;ACT	N;MASC;SG
måler	mesure	måle	mesure	V;IND;PRS;FIN;ACT	N;FEM;SG
måler	compteur	måle	compteur	V;IND;PRS;FIN;ACT	N;MASC;SG
måler	mètre	måle	mètre	V;IND;PRS;FIN;ACT	N;MASC;SG
atlantic	atlantique	atlantic	atlantique		ADJ;MASC;SG
helena	helena	helena	helener	N;DEF;MASC+FEM;SG	PROPN
helena	helen	helena	helen	N;DEF;MASC+FEM;SG	PROPN
daf	daf	daf	daf		PROPN
dick	bite	dick	bite		N;FEM;SG
dick	dick	dick	dick		PROPN
spiser	mangez	spise	manger	V;IND;PRS;FIN;ACT	V;IMP;PL;2;PRS;FIN
skift	basculer	skift	basculer	N;INDF;NEUT;SG	V;NFIN
skift	modifier	skift	modifier	N;INDF;NEUT;SG	V;NFIN
skift	changements	skift	changement	N;INDF;NEUT;SG	N;MASC;PL
skift	changer	skift	changer	N;INDF;NEUT;SG	V;NFIN
helene	hélène	hel	hélène	N;DEF;MASC+FEM;PL	N;FEM;SG
helene	helene	hel	helene	N;DEF;MASC+FEM;PL	N;FEM;SG
ordning	arrangements	ordning	arrangement	N;INDF;MASC+FEM;SG	N;MASC;PL
klint	falaises	klint	falaise	N;INDF;MASC+FEM;SG	N;FEM;PL
klint	cliff	klint	cliff	N;INDF;MASC+FEM;SG	PROPN
spin	tourner	spin	tourner	N;INDF;NEUT;SG	V;NFIN
spin	tourne	spin	tourner	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
boris	boris	boris	boris		PROPN
output	sortie	output	sortir	N;INDF;NEUT;SG	V;FEM;SG;PST;V.PTCP
düsseldorf	düsseldorf	düsseldorf	düsseldorf	N;INDF;MASC+FEM;SG	PROPN
düsseldorf	düsseldorf	düsseldorf	düsseldorf	N;INDF;MASC+FEM;SG	PROPN
highway	autoroutes	highway	autoroute	N;INDF;NEUT;SG	N;FEM;PL
montreal	montréal	montreal	montréal		N;MASC;SG
montreal	montreal	montreal	montreal		PROPN
overskud	profits	overskud	profit	N;INDF;NEUT;SG	N;MASC;PL
overskud	bénéfices	overskud	bénéfice	N;INDF;NEUT;SG	N;MASC;PL
overskud	excédents	overskud	excédent	N;INDF;NEUT;SG	N;MASC;PL
overskud	excédentaires	overskud	excédentaire	N;INDF;NEUT;SG	ADJ;MASC;PL
overskud	excédents	overskud	excédent	N;INDF;NEUT;SG	N;MASC;PL
overskud	bénéfices	overskud	bénéfice	N;INDF;NEUT;SG	N;MASC;PL
overskud	profits	overskud	profit	N;INDF;NEUT;SG	N;MASC;PL
krydse	croisement	krydse	croisement	V;NFIN;ACT	N;MASC;SG
krydse	franchissement	krydse	franchissement	V;NFIN;ACT	N;MASC;SG
krydse	croix	krydse	croix	V;NFIN;ACT	N;FEM;SG
organisk	bio	organisk	bio	ADV	N;MASC;SG
organisk	biologiques	organisk	biologique	ADV	ADJ;MASC;PL
organisk	biologique	organisk	biologique	ADV	ADJ;MASC;SG
organisk	organiques	organisk	organique	ADV	ADJ;MASC;PL
organisk	organique	organisk	organique	ADV	ADJ;MASC;SG
julian	julian	julian	julian		PROPN
julian	julien	julian	julien		PROPN
biologisk	biologiques	biologisk	biologique	ADV	ADJ;MASC;PL
biologisk	biologique	biologisk	biologique	ADV	ADJ;MASC;SG
henderson	henderson	henderson	henderson	N;INDF;MASC+FEM;SG	PROPN
paulo	paulo	paulo	paulo	PROPN	PROPN
nyligt	récent	nyligt	récent	ADV	ADJ;MASC;SG
nyligt	récents	nyligt	récent	ADV	ADJ;MASC;PL
nyligt	récent	nyligt	récent	ADV	ADJ;MASC;SG
nyligt	récentes	nyligt	récent	ADV	ADJ;FEM;PL
nyligt	récente	nyligt	récent	ADV	ADJ;FEM;SG
mexicanske	mexicaine	mexicansk	mexicain	ADJ;PL	ADJ;FEM;SG
mexicanske	mexicain	mexicansk	mexicain	ADJ;PL	ADJ;MASC;SG
skarpt	tranchant	skarpt	tranchant	ADV	V;PRS;V.PTCP
skarpt	pointu	skarpt	pointu	ADV	ADJ;MASC;SG
skarpt	sharp	skarpt	sharp	ADV	PROPN
forstæder	banlieue	forståde	banlieue	N;INDF;MASC+FEM;PL	N;FEM;SG
forstæder	banlieue	forståde	banlieue	N;INDF;MASC+FEM;PL	N;FEM;SG
forstæder	périphérie	forståde	périphérie	N;INDF;MASC+FEM;PL	N;FEM;SG
forstæder	banlieue	forståde	banlieue	N;INDF;MASC+FEM;PL	N;FEM;SG
færgen	traversiers	færgen	traversier	N;DEF;MASC+FEM;SG	N;MASC;PL
begravelse	funérailles	begravelse	funéraille	N;INDF;MASC+FEM;SG	N;FEM;PL
begravelse	obsèques	begravelse	obsèque	N;INDF;MASC+FEM;SG	N;FEM;PL
begravelse	funéraire	begravelse	funéraire	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
nederlaget	défaites	nederlag	défaite	N;DEF;NEUT;SG	N;FEM;PL
nederlaget	vaincre	nederlag	vaincre	N;DEF;NEUT;SG	V;NFIN
forandring	modifier	forandring	modifier	N;INDF;MASC+FEM;SG	V;NFIN
forandring	changements	forandring	changement	N;INDF;MASC+FEM;SG	N;MASC;PL
forandring	changer	forandring	changer	N;INDF;MASC+FEM;SG	V;NFIN
følelse	émotions	følelse	émotion	N;INDF;MASC+FEM;SG	N;FEM;PL
rygter	rumeur	rygte	rumeur	N;INDF;NEUT;PL	N;FEM;SG
rygter	rumeur	rygte	rumeur	N;INDF;NEUT;PL	N;FEM;SG
rygter	rumeur	rygte	rumeur	N;INDF;NEUT;PL	N;FEM;SG
indflydelsesrige	influente	indflydelsesrig	influent	ADJ;PL	ADJ;FEM;SG
indflydelsesrige	influent	indflydelsesrig	influent	ADJ;PL	ADJ;MASC;SG
stiftelse	fondations	stiftelse	fondation	N;INDF;MASC+FEM;SG	N;FEM;PL
separate	distinct	separat	distinct	N;INDF;NEUT;SG	ADJ;MASC;SG
separate	séparés	separat	séparer	N;INDF;NEUT;SG	V;MASC;PL;PST;V.PTCP
separate	séparé	separat	séparer	N;INDF;NEUT;SG	V;MASC;SG;PST;V.PTCP
separate	séparées	separat	séparer	N;INDF;NEUT;SG	V;FEM;PL;PST;V.PTCP
separate	séparer	separat	séparer	N;INDF;NEUT;SG	V;NFIN
manhattan	manhattan	manhattan	manhattan	N;INDF;MASC+FEM;SG	PROPN
ottende	eighth	otte	eighth	ADJ	V
ivar	ivar	ivar	ivar		PROPN
indbygget	intégrés	indbygge	intégrer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
indbygget	construits	indbygge	construire	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
indbygget	incorporés	indbygge	incorporer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
indbygget	incorporées	indbygge	incorporer	V;INDF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
diana	diana	diana	diana		PROPN
enorm	énormes	enorm	énorme	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
enorm	immenses	enorm	immense	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
cornelius	cornelius	cornelius	cornelius	N;INDF;MASC+FEM;SG	PROPN
teologisk	théologique	teologisk	théologique	ADV	ADJ;MASC;SG
tilbagetrækning	retraits	tilbagetrækning	retrait	N;INDF;MASC+FEM;SG	V;MASC;PL;PST;V.PTCP
tilbagetrækning	retirer	tilbagetrækning	retirer	N;INDF;MASC+FEM;SG	V;NFIN
tilbagetrækning	retirez	tilbagetrækning	retirer	N;INDF;MASC+FEM;SG	V;IMP;PL;2;PRS;FIN
tilbagetrækning	retraits	tilbagetrækning	retrait	N;INDF;MASC+FEM;SG	V;MASC;PL;PST;V.PTCP
algeriet	algérie	algeri	algérie	N;DEF;NEUT;SG	ADJ;MASC;SG
virkelighed	réalités	virkelighed	réalité	N;INDF;MASC+FEM;SG	N;FEM;PL
virkelighed	réalités	virkelighed	réalité	N;INDF;MASC+FEM;SG	N;FEM;PL
über	über	über	über	V;IND;PST;FIN;ACT	
cleveland	cleveland	cleveland	cleveland		PROPN
elseif	elseif	elseif	elseif		PROPN
jer	jer	I	jer	PRO;ACC;MASC+FEM;PL;2	
saa	asa	saa	asant	ADV	PROPN
gravsted	tombe	gravsted	tomber	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
gravsted	grave	gravsted	grave	N;INDF;NEUT;SG	ADJ;MASC;SG
ingrid	ingrid	ingrid	ingrid	N;INDF;MASC+FEM;SG	PROPN
vanskelig	difficiles	vanskelig	difficile	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
holmes	holmes	holme	holme	V;NFIN;PASS	PROPN
skyldig	coupables	skyldig	coupable	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
teknikker	techniques	teknik	technique	N;INDF;MASC+FEM;PL	ADJ;MASC;PL
marker	colis	mark	colis	N;INDF;MASC+FEM;PL	N;MASC;SG
marker	marquer	mark	marquer	N;INDF;MASC+FEM;PL	V;NFIN
marker	marque	mark	marque	N;INDF;MASC+FEM;PL	N;FEM;SG
marker	mark	mark	mark	N;INDF;MASC+FEM;PL	PROPN
ted	ted	ted	ted		PROPN
tree	sapin	tree	sapin		N;MASC;SG
tree	arbre	tree	arbre		N;MASC;SG
tree	arborescence	tree	arborescence		N;FEM;SG
tree	arbres	tree	arbre		N;MASC;PL
tree	tre	tree	tre		
porto	affranchissement	porto	affranchissement		N;MASC;SG
porto	porto	porto	porto		N;MASC;SG
enkel	simples	enkel	simple	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
balkan	balkans	balkan	Balkans		N;MASC;PL
balkan	balkans	balkan	Balkans		N;MASC;PL
tilbagevendende	récurrente	tilbagevendende	récurrent	V;PRS;V.PTCP	ADJ;FEM;SG
tilbagevendende	récurrents	tilbagevendende	récurrent	V;PRS;V.PTCP	ADJ;MASC;PL
tilbagevendende	récurrent	tilbagevendende	récurrent	V;PRS;V.PTCP	ADJ;MASC;SG
tilbagevendende	récurrents	tilbagevendende	récurrent	V;PRS;V.PTCP	ADJ;MASC;PL
tilbagevendende	récurrente	tilbagevendende	récurrent	V;PRS;V.PTCP	ADJ;FEM;SG
tilbagevendende	récurrent	tilbagevendende	récurrent	V;PRS;V.PTCP	ADJ;MASC;SG
tilbagevendende	rapatriés	tilbagevendende	rapatrier	V;PRS;V.PTCP	V;MASC;PL;PST;V.PTCP
svaret	répondez	svar	répondre	N;DEF;NEUT;SG	V;IMP;PL;2;PRS;FIN
svaret	répondre	svar	répondre	N;DEF;NEUT;SG	V;NFIN
edgar	edgar	edgar	edgar		PROPN
angels	anges	angels	ange	N;INDF;MASC+FEM;SG	N;MASC;PL
angels	angels	angels	angel	N;INDF;MASC+FEM;SG	N;MASC;PL
dæk	pneumatiques	dæk	pneumatique	N;INDF;NEUT;PL	ADJ;MASC;PL
dæk	pneu	dæk	pneu	N;INDF;NEUT;PL	N;MASC;SG
dæk	pont	dæk	pont	N;INDF;NEUT;PL	N;MASC;SG
dæk	couvercle	dæk	couvercle	N;INDF;NEUT;PL	N;MASC;SG
dæk	couverture	dæk	couverture	N;INDF;NEUT;PL	N;FEM;SG
dæk	couvrir	dæk	couvrir	N;INDF;NEUT;PL	V;NFIN
dæk	housse	dæk	housse	N;INDF;NEUT;PL	N;FEM;SG
dæk	pneumatiques	dæk	pneumatique	N;INDF;NEUT;PL	ADJ;MASC;PL
dæk	pneumatique	dæk	pneumatique	N;INDF;NEUT;PL	ADJ;MASC;SG
dæk	pneu	dæk	pneu	N;INDF;NEUT;PL	N;MASC;SG
dæk	tyr	dæk	tyr	N;INDF;NEUT;PL	PROPN
metropolitan	métropolitain	metropolitan	métropolitain	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
metropolitan	métropolitaine	metropolitan	métropolitain	N;INDF;MASC+FEM;SG	ADJ;FEM;SG
metropolitan	metropolitan	metropolitan	metropolitan	N;INDF;MASC+FEM;SG	PROPN
drømme	reve	drøm	reve	N;INDF;MASC+FEM;PL	N;MASC;SG
drømme	dream	drøm	dream	N;INDF;MASC+FEM;PL	PROPN
drømme	rêver	drøm	rêver	N;INDF;MASC+FEM;PL	V;NFIN
drømme	rêve	drøm	rêve	N;INDF;MASC+FEM;PL	N;MASC;SG
drømme	rêve	drøm	rêve	N;INDF;MASC+FEM;PL	N;MASC;SG
drømme	rêvant	drøm	rêver	N;INDF;MASC+FEM;PL	V;PRS;V.PTCP
drømme	rêver	drøm	rêver	N;INDF;MASC+FEM;PL	V;NFIN
kanten	edge	kant	edge	N;DEF;MASC+FEM;SG	PROPN
neil	neil	neil	neil		PROPN
duo	duo	duo	duo		N;MASC;SG
hjulpet	aidés	hjælpe	aider	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
hjulpet	aidés	hjælpe	aider	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
registrerede	enregistrée	registrere	enregistrer	V;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
registrerede	enregistré	registrere	enregistrer	V;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
registrerede	inscrit	registrere	inscrire	V;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
eyes	yeux	eyes	oeil		N;MASC;PL
estisk	estoniens	estisk	estonien	ADJ;INDF;SG	ADJ;MASC;PL
maryland	maryland	maryland	maryland		PROPN
bemærkelsesværdige	notable	bemærkelsesværdig	notable	ADJ;PL	ADJ;MASC;SG
bemærkelsesværdige	remarquable	bemærkelsesværdig	remarquable	ADJ;PL	ADJ;MASC;SG
bemærkelsesværdige	remarquable	bemærkelsesværdig	remarquable	ADJ;PL	ADJ;MASC;SG
bemærkelsesværdige	remarquable	bemærkelsesværdig	remarquable	ADJ;PL	ADJ;MASC;SG
buenos	buenos	bue	bueno	N;DEF;MASC+FEM;SG	PROPN
skulpturer	sculpture	skulptur	sculpture	N;INDF;MASC+FEM;PL	N;FEM;SG
brande	feu	brand	feu	N;INDF;MASC+FEM;PL	N;MASC;SG
brande	incendie	brand	incendie	N;INDF;MASC+FEM;PL	N;MASC;SG
control	contrôler	control	contrôler		V;NFIN
control	contrôle	control	contrôle		N;MASC;SG
eduard	edouard	eduard	edouard		N;MASC;SG
eduard	eduard	eduard	eduard		PROPN
oklahoma	oklahoma	oklahoma	oklahoma		PROPN
sjæl	âmes	sjæl	âme	N;INDF;MASC+FEM;SG	N;FEM;PL
grafisk	graphiques	grafisk	graphique	ADV	ADJ;MASC;PL
grafisk	graphique	grafisk	graphique	ADV	ADJ;MASC;SG
grafisk	graphiques	grafisk	graphique	ADV	ADJ;MASC;PL
grafisk	graphique	grafisk	graphique	ADV	ADJ;MASC;SG
grafisk	graphismes	grafisk	graphisme	ADV	N;MASC;PL
grafisk	infographie	grafisk	infographie	ADV	N;FEM;SG
grafisk	graphisme	grafisk	graphisme	ADV	N;MASC;SG
flot	nice	flot	nice	ADJ;INDF;SG	PROPN
bella	bella	bella	bella	N;INDF;MASC+FEM;SG	PROPN
sierra	sierra	sierra	sierra		PROPN
frigivet	libérés	frigiv	libérer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
nazistiske	nazie	nazistisk	nazi	ADJ;PL	ADJ;FEM;SG
nazistiske	nazi	nazistisk	nazi	ADJ;PL	N;MASC;SG
nazistiske	nazis	nazistisk	nazi	ADJ;PL	N;MASC;PL
tung	heavy	tung	heavy	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
tung	lourds	tung	lourd	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
tung	tung	tung	tung	ADJ;INDF;MASC+FEM;SG	PROPN
trænet	formés	træne	former	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
byzantinske	byzantin	byzantinsk	byzantin	ADJ;PL	ADJ;MASC;SG
byzantinske	byzantine	byzantinsk	byzantin	ADJ;PL	ADJ;FEM;SG
forventet	attendus	forvente	attendre	V;INDF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
harrison	harrison	harrison	harrison		PROPN
gaza	gaza	gaza	gaza	PROPN	PROPN
grey	gris	grey	gris		N;MASC;SG
grey	grise	grey	grise		ADJ;FEM;SG
aires	aires	aires	aire	PROPN	N;FEM;PL
raf	raf	raf	raf	PROPN	N;MASC;SG
sigt	aim	sigt	aim	N;INDF;MASC+FEM;SG	
sigt	viser	sigt	viser	N;INDF;MASC+FEM;SG	V;NFIN
kirk	kirk	kirk	kirk		PROPN
lodret	verticalement	loder	verticalement	ADJ;INDF;SG	ADV
lodret	verticales	loder	vertical	ADJ;INDF;SG	ADJ;FEM;PL
lodret	verticalement	loder	verticalement	ADJ;INDF;SG	ADV
lodret	verticaux	loder	vertical	ADJ;INDF;SG	ADJ;MASC;PL
essays	essais	essay	essai	N;INDF;NEUT;SG	N;MASC;PL
racing	course	racing	course		N;FEM;SG
racing	racing	racing	racing		N;MASC;SG
racing	courses	racing	course		N;FEM;PL
jamie	jamie	jamie	jamie		PROPN
kontrollerede	contrôlée	kontrollere	contrôler	V;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
kontrollerede	contrôlé	kontrollere	contrôler	V;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
hunter	chasseur	hunte	chasseur	N;INDF;MASC+FEM;PL	N;MASC;SG
hunter	hunter	hunte	hunter	N;INDF;MASC+FEM;PL	PROPN
elskede	aimées	elske	aimer	V;DEF;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
elskede	aimés	elske	aimer	V;DEF;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
dramatiske	spectaculaire	dramatisk	spectaculaire	ADJ;PL	ADJ;MASC;SG
dramatiske	dramatique	dramatisk	dramatique	ADJ;PL	ADJ;MASC;SG
farlig	dangereuses	farlig	dangereux	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
