scandal	scandales	scandal	scandale	N;INDF;MASC;SG	N;MASC;PL
gasita	retrouvé	gasita	retrouver	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
gasita	trouvés	gasita	trouver	ADJ;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
haine	vêtement	haină	vêtement	N;INDF;FEM;PL	N;MASC;SG
abdallah	abdallah	abdallah	abdallah	PROPN	PROPN
repetat	répétés	repetat	répéter	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
repetat	répétée	repetat	répéter	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
repetat	répété	repetat	répéter	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
repetat	répétées	repetat	répéter	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
tinere	jeune	tânăr	jeune	ADJ;INDF;FEM;PL	ADJ;MASC;SG
gros	épaisses	gros	épais	ADJ;INDF;MASC;SG	ADJ;FEM;PL
calendar	calendriers	calendar	calendrier	N;INDF;MASC;SG	N;MASC;PL
vocale	vocaux	vocal	vocaux	N;INDF;FEM;PL	ADJ;MASC;PL
vocale	chant	vocal	chant	N;INDF;FEM;PL	N;MASC;SG
vocale	vocale	vocal	vocal	N;INDF;FEM;PL	ADJ;FEM;SG
vocale	vocal	vocal	vocal	N;INDF;FEM;PL	ADJ;MASC;SG
donat	donné	donat	donner	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
donat	donnés	donat	donner	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
dakota	dakota	dakota	dakota	PROPN	N;MASC;SG
valle	valle	vall	valle	PROPN	PROPN
mansur	mansur	mansur	mansur	N;INDF;MASC;SG	PROPN
susan	susan	susan	susan	N;INDF;MASC;SG	PROPN
susan	sylvie	susan	sylvie	N;INDF;MASC;SG	PROPN
holt	holt	holt	holt	N;INDF;MASC;SG	PROPN
federala	fédéral	federală	fédéral	N;DEF;FEM;SG	ADJ;MASC;SG
federala	fédérale	federală	fédéral	N;DEF;FEM;SG	ADJ;FEM;SG
federala	fédéraux	federală	fédéral	N;DEF;FEM;SG	ADJ;MASC;PL
federala	fédérales	federală	fédéral	N;DEF;FEM;SG	ADJ;FEM;PL
inlocuirea	remplacer	inlocuire	remplacer	N;DEF;FEM;SG	V;NFIN
inlocuirea	remplaçant	inlocuire	remplacer	N;DEF;FEM;SG	V;PRS;V.PTCP
inlocuirea	remplacements	inlocuire	remplacement	N;DEF;FEM;SG	N;MASC;PL
inlocuirea	remplaçant	inlocuire	remplacer	N;DEF;FEM;SG	V;PRS;V.PTCP
apple	apple	appla	apple	N;INDF	PROPN
nepenthes	nepenthes	nepenthes	nepenthe	PROPN	N;MASC;PL
dame	dame	damă	dame	N;INDF;FEM;PL	N;FEM;SG
strasbourg	strasbourg	strasbourg	strasbourg	N;INDF;MASC;SG	PROPN
sportivi	sportifs	sportiv	sportif	N;INDF;MASC;PL	ADJ;MASC;PL
tulburari	troubles	tulburar	trouble	N;INDF;MASC;PL	ADJ;MASC;PL
chateau	château	chati	château	V;IND;PL;3;IPFV;FIN	N;MASC;SG
chateau	chateau	chati	château	V;IND;PL;3;IPFV;FIN	N;MASC;SG
chateau	château	chati	château	V;IND;PL;3;IPFV;FIN	N;MASC;SG
chateau	chateau	chati	château	V;IND;PL;3;IPFV;FIN	N;MASC;SG
adaugarea	ajoutant	adaugare	ajouter	N;DEF;FEM;SG	V;PRS;V.PTCP
grupate	regroupé	grupat	regrouper	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
grupate	groupés	grupat	grouper	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
grupate	groupé	grupat	grouper	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
grupate	groupées	grupat	grouper	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
grupate	regroupés	grupat	regrouper	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
crima	assassiner	crimă	assassiner	N;DEF;FEM;SG	V;NFIN
crima	meurtres	crimă	meurtre	N;DEF;FEM;SG	N;MASC;PL
crima	assassiner	crimă	assassiner	N;DEF;FEM;SG	V;NFIN
crima	meurtres	crimă	meurtre	N;DEF;FEM;SG	N;MASC;PL
gotic	gothique	gotic	gothique	N;INDF;MASC;SG	ADJ;MASC;SG
gotic	gothiques	gotic	gothique	N;INDF;MASC;SG	ADJ;MASC;PL
roz	rose	roz	rose		ADJ;FEM;SG
roz	rosé	roz	rosé		V;MASC;SG;PST;V.PTCP
ahmed	ahmed	ahmed	ahmed	PROPN	PROPN
latine	latine	latin	latin	ADJ;INDF;FEM;PL	ADJ;FEM;SG
latine	latin	latin	latin	ADJ;INDF;FEM;PL	N;MASC;SG
moscovei	moscou	moscovă	moscou	PROPN;DEF;FEM;SG	PROPN
kashmir	cachemire	kashmir	cachemire	PROPN	N;MASC;SG
belgian	belge	belgian	belge	N;INDF;MASC;SG	ADJ;MASC;SG
belgian	belges	belgian	belge	N;INDF;MASC;SG	N;MASC;PL
wikimapia	wikimapia	wikimapia	wikimapia	PROPN	PROPN
orange	orangé	orange	orangé	N;INDF;MASC;SG	ADJ;MASC;SG
orange	oranges	orange	orange	N;INDF;MASC;SG	N;FEM;PL
naviga	voiles	naviga	voile	V;IND;SG;3;IPFV;FIN	N;FEM;PL
naviga	voilier	naviga	voilier	V;IND;SG;3;IPFV;FIN	N;MASC;SG
naviga	voile	naviga	voile	V;IND;SG;3;IPFV;FIN	N;FEM;SG
echipament	équipements	echipament	équipement	N;INDF;MASC;SG	N;MASC;PL
echipament	equipements	echipament	equipement	N;INDF;MASC;SG	N;MASC;PL
simona	simona	simona	simona	N;DEF;FEM;SG	PROPN
joachim	joachim	joachim	joachim	PROPN	PROPN
formal	formels	formal	formel	ADV	ADJ;MASC;PL
formal	formel	formal	formel	ADV	ADJ;MASC;SG
formal	formelle	formal	formel	ADV	ADJ;FEM;SG
austin	austin	austin	austin	PROPN	PROPN
filozofia	philosophique	filozofie	philosophique	N;DEF;FEM;SG	ADJ;MASC;SG
aedes	aedes	aedes	aede	PROPN	N;MASC;SG
wall	paroi	wall	paroi	PROPN	N;FEM;SG
wall	muraille	wall	muraille	PROPN	N;FEM;SG
wall	mur	wall	mur	PROPN	N;MASC;SG
harald	harald	harald	harald	PROPN	PROPN
autonome	autonomie	autonom	autonomie	ADJ;INDF;FEM;PL	N;FEM;SG
autonome	autonome	autonom	autonome	ADJ;INDF;FEM;PL	ADJ;MASC;SG
village	village	villag	village	PROPN	N;MASC;SG
raspandirea	répandre	raspandire	répandre	N;DEF;FEM;SG	V;NFIN
raspandirea	répandre	raspandire	répandre	N;DEF;FEM;SG	V;NFIN
intensa	intenses	intensa	intense	ADJ;DEF;FEM;SG	ADJ;MASC;PL
intensa	intenses	intensa	intense	ADJ;DEF;FEM;SG	ADJ;MASC;PL
lugoj	lugoj	lugoj	lugoj	PROPN	PROPN
mutata	déplacé	mutată	déplacer	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
mutata	ému	mutată	émouvoir	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
mutata	déménagé	mutată	déménager	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
mutata	déplacée	mutată	déplacer	ADJ;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
refugiat	réfugiés	refugiat	réfugié	ADJ;INDF;MASC;SG	N;MASC;PL
refugiat	réfugiées	refugiat	réfugié	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
refugiat	réfugiée	refugiat	réfugié	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
refugiat	réfugié	refugiat	réfugier	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
ungara	hongroise	ungar	hongrois	N;DEF;FEM;SG	ADJ;FEM;SG
ungara	hongroises	ungar	hongrois	N;DEF;FEM;SG	ADJ;FEM;PL
ungara	hongrois	ungar	hongrois	N;DEF;FEM;SG	ADJ;MASC;SG
scazuta	basses	scazuta	bas	ADJ;DEF;FEM;SG	ADJ;FEM;PL
scazuta	faibles	scazuta	faible	ADJ;DEF;FEM;SG	ADJ;MASC;PL
exterioara	extérieurs	exterior	extérieur	ADJ;DEF;FEM;SG	ADJ;MASC;PL
exterioara	extérieur	exterior	extérieur	ADJ;DEF;FEM;SG	N;MASC;SG
exterioara	extérieures	exterior	extérieur	ADJ;DEF;FEM;SG	ADJ;FEM;PL
galilor	gaulois	gal	gaulois	N;DEF;MASC;PL	ADJ;MASC;SG
fenomene	phénomène	fenomen	phénomène	N;INDF;FEM;PL	N;MASC;SG
austrieci	autrichiens	austriac	autrichien	N;INDF;MASC;PL	ADJ;MASC;PL
austrieci	autrichiennes	austriac	autrichien	N;INDF;MASC;PL	ADJ;FEM;PL
austrieci	autrichien	austriac	autrichien	N;INDF;MASC;PL	ADJ;MASC;SG
austrieci	autrichienne	austriac	autrichien	N;INDF;MASC;PL	ADJ;FEM;SG
muban	muban	muban	muban	N;INDF;MASC;SG	PROPN
grija	attentionnée	grijă	attentionné	N;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
grija	soins	grijă	soin	N;DEF;FEM;SG	N;MASC;PL
corul	chœurs	cor	chœur	N;DEF;MASC;SG	N;MASC;PL
corul	chœurs	cor	chœur	N;DEF;MASC;SG	N;MASC;PL
józsef	józsef	józsef	józsef	PROPN	N;MASC;SG
agricol	agricoles	agricol	agricole	ADJ;INDF;MASC;SG	ADJ;MASC;PL
originile	origine	origine	origine	N;DEF;FEM;PL	N;FEM;SG
khan	khan	khan	khan	PROPN	PROPN
mutarea	bouger	mutare	bouger	N;DEF;FEM;SG	V;NFIN
mutarea	déménager	mutare	déménager	N;DEF;FEM;SG	V;NFIN
latimea	largeurs	latimă	largeur	N;DEF;FEM;SG	N;FEM;PL
cooper	cooper	cooper	cooper	N;INDF;MASC;SG	PROPN
preah	preah	preah	preah	N;INDF;MASC;SG	PROPN
invazie	envahir	invazie	envahir	N;INDF;FEM;SG	V;NFIN
invazie	invasions	invazie	invasion	N;INDF;FEM;SG	N;FEM;PL
ehf	ehf	ehf	ehf	N	PROPN
brabant	brabant	brabant	brabant	N;INDF;MASC;SG	V;PRS;V.PTCP
danny	danny	danny	danny	PROPN	PROPN
danny	dany	danny	dany	PROPN	PROPN
determinata	déterminées	determinat	déterminer	ADJ;DEF;FEM;SG	V;FEM;PL;PST;V.PTCP
determinata	déterminée	determinat	déterminer	ADJ;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
determinata	déterminés	determinat	déterminer	ADJ;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
determinata	déterminé	determinat	déterminer	ADJ;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
tag	étiquette	tag	étiquette		N;FEM;SG
tag	tag	tag	tag		N;MASC;SG
tag	balise	tag	balise		N;FEM;SG
nicholas	nicolas	nicholas	nicola	PROPN	N;MASC;SG
nicholas	nicholas	nicholas	nicholas	PROPN	PROPN
ixodes	ixodes	ixodes	ixode	N;INDF;MASC;SG	N;MASC;PL
straina	étranger	straină	étranger	ADJ;DEF;FEM;SG	N;MASC;SG
straina	etranger	straină	etranger	ADJ;DEF;FEM;SG	N;MASC;SG
straina	étrangères	straină	étranger	ADJ;DEF;FEM;SG	ADJ;FEM;PL
iubit	adoré	iubit	adorer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
iubit	aimée	iubit	aimer	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
iubit	aimées	iubit	aimer	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
iubit	aimé	iubit	aimer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
iubit	aimés	iubit	aimer	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
iubit	aimée	iubit	aimer	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
iubit	adoré	iubit	adorer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
iubit	copain	iubit	copain	ADJ;INDF;MASC;SG	N;MASC;SG
platina	platinum	platină	platinum	N;DEF;FEM;SG	PROPN
rezolva	résout	rezolva	résoudre	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
rezolva	résout	rezolva	résoudre	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
indivizi	individuels	individ	individuel	N;INDF;MASC;PL	ADJ;MASC;PL
continental	continentale	continental	continental	ADV	ADJ;FEM;SG
continental	continental	continental	continental	ADV	ADJ;MASC;SG
continental	continentaux	continental	continental	ADV	ADJ;MASC;PL
caesar	caesar	caesar	caesar	N;INDF;MASC;SG	PROPN
cruci	croix	cruce	croix	N;INDF;FEM;PL	N;FEM;SG
maiorescu	maiorescu	maiorescu	maiorescu	PROPN	PROPN
conferit	conféré	conferi	conférer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
conferit	conférés	conferi	conférer	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
pierdute	perdu	pierdut	perdre	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
pierdute	perdues	pierdut	perdre	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
pierdute	perdue	pierdut	perdre	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
pierdute	lost	pierdut	lost	ADJ;INDF;FEM;PL	PROPN
pierdute	perdus	pierdut	perdre	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
bianco	bianco	bianco	bianco	N;INDF;MASC;SG	PROPN
ilustreaza	illustre	ilustrațză	illustre	V;IND;SG;3;IPFV;FIN	ADJ;MASC;SG
ilustreaza	illustrent	ilustrațză	illustrer	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PRS;FIN
clare	clare	clar	clare	ADJ;INDF;FEM;PL	PROPN
clare	claire	clar	clair	ADJ;INDF;FEM;PL	ADJ;FEM;SG
vulcan	volcans	vulcan	volcan	N;INDF;MASC;SG	N;MASC;PL
mostenit	hérité	mostenit	hériter	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
mostenit	héritée	mostenit	hériter	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
mostenit	héritées	mostenit	hériter	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
mostenit	hérité	mostenit	hériter	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
mostenit	héritée	mostenit	hériter	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
mostenit	héritées	mostenit	hériter	ADJ;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
curentului	actuel	curent	actuel	N;DEF;MASC;SG	ADJ;MASC;SG
curentului	courant	curent	courir	N;DEF;MASC;SG	V;PRS;V.PTCP
curentului	actuels	curent	actuel	N;DEF;MASC;SG	ADJ;MASC;PL
curentului	actuelle	curent	actuel	N;DEF;MASC;SG	ADJ;FEM;SG
hawaii	hawaï	hawai	hawaï	PROPN	PROPN
hawaii	hawaii	hawai	hawaii	PROPN	PROPN
sunetul	sound	sunet	sound	N;DEF;MASC;SG	PROPN
sunetul	sonore	sunet	sonore	N;DEF;MASC;SG	ADJ;MASC;SG
sunetul	son	sunet	son	N;DEF;MASC;SG	DET;MASC;SG
baby	bébé	baby	bébé		N;MASC;SG
baby	baby	baby	baby		N;MASC;SG
danez	danoises	danez	danois	ADJ;INDF;MASC;SG	ADJ;FEM;PL
raportat	signalé	raporta	signaler	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
raportat	rapporté	raporta	rapporter	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
raportat	signalés	raporta	signaler	ADJ;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
raportat	signalée	raporta	signaler	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
paula	paula	paulă	paula	N;DEF;FEM;SG	PROPN
legala	légales	legală	légal	ADJ;DEF;FEM;SG	ADJ;FEM;PL
civili	civils	civil	civil	N;INDF;MASC;PL	ADJ;MASC;PL
civili	civiles	civil	civil	N;INDF;MASC;PL	ADJ;FEM;PL
calliphoridae	calliphoridae	calliphoridae	calliphoridae	N;DEF;FEM;SG	PROPN
elisabeth	élisabeth	elisabeth	élisabeth	PROPN	N;FEM;SG
elisabeth	elisabeth	elisabeth	elisabeth	PROPN	N;FEM;SG
citeste	lecture	citesc	lecture	V;IND;SG;3;PRS;FIN	N;FEM;SG
citeste	lisez	citesc	lire	V;IND;SG;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
citeste	lis	citesc	lire	V;IND;SG;3;PRS;FIN	V;IND;SG;1;PRS;FIN
citeste	lecture	citesc	lecture	V;IND;SG;3;PRS;FIN	N;FEM;SG
citeste	lisez	citesc	lire	V;IND;SG;3;PRS;FIN	V;IMP;PL;2;PRS;FIN
citeste	lis	citesc	lire	V;IND;SG;3;PRS;FIN	V;IND;SG;1;PRS;FIN
variate	variée	variat	varié	ADJ;INDF;FEM;PL	ADJ;FEM;SG
variate	varié	variat	varié	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
bros	bros	bros	bros	PROPN	PROPN
prabusit	accidenté	prabusi	accidenté	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
prabusit	crashé	prabusi	crashé	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
prabusit	écrasé	prabusi	écraser	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
prabusit	effondré	prabusi	effondrer	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
prabusit	écroulé	prabusi	écrouler	ADJ;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
prabusit	effondrée	prabusi	effondrer	ADJ;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
clasificate	classées	clasificat	classer	ADJ;INDF;FEM;PL	V;FEM;PL;PST;V.PTCP
clasificate	classifié	clasificat	classifier	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
clasificate	classés	clasificat	classer	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
clasificate	classé	clasificat	classer	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
clasificate	annonces	clasificat	annonce	ADJ;INDF;FEM;PL	N;FEM;PL
pic	pic	pic	pic	ADV	N;MASC;SG
cereale	grain	cereală	grain	N;INDF;FEM;PL	N;MASC;SG
cereale	céréale	cereală	céréale	N;INDF;FEM;PL	N;FEM;SG
cereale	céréale	cereală	céréale	N;INDF;FEM;PL	N;FEM;SG
warren	warren	warren	warren	PROPN	PROPN
parlamentara	parlementaire	parlamentar	parlementaire	N;DEF;FEM;SG	ADJ;MASC;SG
ferenc	ferenc	ferenc	ferenc	PROPN	PROPN
stein	stein	stein	stein	N;INDF;MASC;SG	PROPN
basel	bâle	basel	bâle	PROPN	N;MASC;SG
doo	doo	doo	doo	N;INDF;MASC;SG	
étienne	étienne	étienne	étien	PROPN	N;MASC;SG
absolvent	diplômés	absolvent	diplômé	N;INDF;MASC;SG	N;MASC;PL
absolvent	diplômée	absolvent	diplômer	N;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
islamica	islamiste	islamică	islamiste	N;DEF;FEM;SG	ADJ;MASC;SG
islamica	musulman	islamică	musulman	N;DEF;FEM;SG	ADJ;MASC;SG
islamica	islamique	islamică	islamique	N;DEF;FEM;SG	ADJ;MASC;SG
deriva	dérive	deriva	dérive	V;IND;SG;3;IPFV;FIN	N;FEM;SG
deriva	dérivants	deriva	dérivant	V;IND;SG;3;IPFV;FIN	ADJ;MASC;PL
deriva	dérivant	deriva	dériver	V;IND;SG;3;IPFV;FIN	V;PRS;V.PTCP
deriva	dérive	deriva	dérive	V;IND;SG;3;IPFV;FIN	N;FEM;SG
deriva	dérive	deriva	dérive	V;IND;SG;3;IPFV;FIN	N;FEM;SG
aires	aires	aires	aire	PROPN	N;FEM;PL
roberts	roberts	roberts	robert	PROPN	PROPN
amandoi	both	amandoi	both		PROPN
tennessee	tennessee	tennessee	tennessee	PROPN	N;FEM;SG
mostenirea	legacy	mostenire	legacy	N;DEF;FEM;SG	PROPN
mostenirea	héritages	mostenire	héritage	N;DEF;FEM;SG	N;MASC;PL
oslo	oslo	oslo	oslo	PROPN	PROPN
turner	turner	turner	turner	PROPN	PROPN
adaugate	ajoutés	adauga	ajouter	ADJ;INDF;FEM;PL	V;MASC;PL;PST;V.PTCP
adaugate	ajouté	adauga	ajouter	ADJ;INDF;FEM;PL	V;MASC;SG;PST;V.PTCP
adaugate	ajout	adauga	ajout	ADJ;INDF;FEM;PL	N;MASC;SG
adaugate	ajoutée	adauga	ajouter	ADJ;INDF;FEM;PL	V;FEM;SG;PST;V.PTCP
interzisa	interdites	interzisa	interdire	N;DEF;FEM;SG	V;FEM;PL;PST;V.PTCP
interzisa	défendu	interzisa	défendre	N;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
interzisa	interdite	interzisa	interdire	N;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
interzisa	interdit	interzisa	interdire	N;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
interzisa	interdits	interzisa	interdire	N;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
interzisa	interdites	interzisa	interdire	N;DEF;FEM;SG	V;FEM;PL;PST;V.PTCP
interzisa	interdite	interzisa	interdire	N;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
interzisa	interdit	interzisa	interdire	N;DEF;FEM;SG	V;MASC;SG;PST;V.PTCP
interzisa	interdits	interzisa	interdire	N;DEF;FEM;SG	V;MASC;PL;PST;V.PTCP
contactul	contacter	contact	contacter	N;DEF;MASC;SG	V;NFIN
contactul	contactez	contact	contacter	N;DEF;MASC;SG	V;IMP;PL;2;PRS;FIN
contactul	contacte	contact	contacter	N;DEF;MASC;SG	V;IND;SG;3;PRS;FIN
java	java	javă	java	N;DEF;FEM;SG	PROPN
alexandre	alexandre	alexandre	alexandre	PROPN	N;MASC;SG
siberia	sibérie	siberie	sibérie	N;DEF;FEM;SG	PROPN
claudia	claudia	claudie	claudia	PROPN	PROPN
placut	apprécié	placut	apprécier	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
placut	aimés	placut	aimer	N;INDF;MASC;SG	V;MASC;PL;PST;V.PTCP
placut	aimées	placut	aimer	N;INDF;MASC;SG	V;FEM;PL;PST;V.PTCP
placut	aimée	placut	aimer	N;INDF;MASC;SG	V;FEM;SG;PST;V.PTCP
placut	aimé	placut	aimer	N;INDF;MASC;SG	V;MASC;SG;PST;V.PTCP
placut	agréable	placut	agréable	N;INDF;MASC;SG	ADJ;MASC;SG
placut	plaisant	placut	plaiser	N;INDF;MASC;SG	ADJ;MASC;SG
evans	evans	evans	evans	PROPN	PROPN
wien	wien	wien	wien	PROPN	PROPN
edge	edge	edge	edge	N;INDF;MASC;SG	PROPN
declaratie	énoncé	declaratie	énoncer	N;INDF;FEM;SG	V;MASC;SG;PST;V.PTCP
confera	confère	confera	conférer	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PRS;FIN
alabama	alabama	alabama	alabama	N;INDF;MASC;SG	PROPN
indiei	inde	indie	inde	PROPN;DEF;FEM;SG	PROPN
indiei	indes	indie	inde	PROPN;DEF;FEM;SG	N;FEM;PL
keith	keith	keith	keith	PROPN	PROPN
asigurata	assurée	asigurat	assurer	ADJ;DEF;FEM;SG	V;FEM;SG;PST;V.PTCP
asigurata	assurées	asigurat	assurer	ADJ;DEF;FEM;SG	V;FEM;PL;PST;V.PTCP
