den	το	der	ο	DET;ACC;DEF;MASC;SG	DET;NOM;DEF;NEUT;SG
kann	μέι	können	μέι	V;IND;SG;3;PRS;FIN	
kann	μάης	können	μάος	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
kann	can	können	can	V;IND;SG;3;PRS;FIN	
kann	μπορεί	können	μπορώ	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
diskussion	ντιμπέιτ	diskussion	ντιμπέιτ	N	
seine	its	sein	its	DET;NOM;FEM;SG	
seine	σηκουάνα	sein	σηκουάνα	DET;NOM;FEM;SG	ADV
jahr	έτος	Jahr	έτος	N;NOM;NEUT;SG	N;ACC;NEUT;SG
jahr	χρονιά	Jahr	χρονιά	N;NOM;NEUT;SG	N;ACC;FEM;SG
wenn	πότε	wenn	πότε	CONJ	ADV
zwei	two	zwei	two	NUM	
seiner	its	sein	its	DET;NOM;MASC;SG	
jahre	ετος	jahren	ετος	ADV	N;NOM;NEUT;SG
jahre	έτος	jahren	έτος	ADV	N;ACC;NEUT;SG
jahre	χρονιά	jahren	χρονιά	ADV	N;ACC;FEM;SG
jahre	έτο	jahren	έτος	ADV	N
jahre	χρονια	jahren	χρονος	ADV	N;NOM;NEUT;PL
jahre	ετη	jahren	εγώ	ADV	N;NOM;NEUT;PL
jahre	χρόνια	jahren	χρόνος	ADV	N;NOM;NEUT;PL
jahre	έτη	jahren	έτος	ADV	N;NOM;NEUT;PL
mai	μάη	mai	μάη	PROPN;NOM;MASC;SG	ADP
mai	μάιος	mai	μάιος	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
mai	μέι	mai	μέι	PROPN;NOM;MASC;SG	
mai	μάης	mai	μάος	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
mai	mai	mai	mai	PROPN;NOM;MASC;SG	
mai	μάι	mai	μαι	PROPN;NOM;MASC;SG	
isbn	isbn	isbn	isbn	;SG	N
zwischen	ενδιάμεσα	zwischen	ενδιάμεσα	ADP	ADV
zwischen	ενδιάμεσος	zwischen	ενδιάμεσος	ADP	ADJ;NOM;MASC;SG
zwischen	ενδιάμεση	zwischen	ενδιάμεση	ADP	N;NOM;FEM;SG
zwischen	ενδιάμεσες	zwischen	ενδιάμεσα	ADP	ADJ;NOM;FEM;PL
zwischen	ενδιάμεσο	zwischen	ενδιάμεσος	ADP	N;NOM;NEUT;SG
zwischen	ανάμεσα	zwischen	ανάμεσα	ADP	ADV
team	ομάδα	team	ομάδα	N;NOM;NEUT;SG	N;ACC;FEM;SG
mehr	περισσότεροι	mehr	πολύς	ADV	ADJ;NOM;CMPR;MASC;PL
mehr	περισσότερες	mehr	πολύς	ADV	ADJ;NOM;CMPR;FEM;PL
mehr	περισσότερα	mehr	πολύς	ADV	ADJ;NOM;CMPR;NEUT;PL
gegen	ενάντια	gegen	ενάντια	ADP	ADV
gegen	κόντρα	gegen	κόντρο	ADP	N;ACC;FEM;SG
keine	καμία	kein	κανένας	PRO;NOM;INDF;FEM;SG;NEG	PRO;NOM;FEM;SG;3
keine	κανένα	kein	κανένας	PRO;NOM;INDF;FEM;SG;NEG	PRO;NOM;NEUT;SG;3
keine	ουδέν	kein	ουδέν	PRO;NOM;INDF;FEM;SG;NEG	
waren	εμπορεύματα	sein	εμπόρευμα	V;IND;PL;3;PST;FIN	N;NOM;NEUT;PL
waren	αγαθά	sein	αγαθό	V;IND;PL;3;PST;FIN	N;NOM;NEUT;PL
waren	εμπορευμάτων	sein	εμπόρευμα	V;IND;PL;3;PST;FIN	N;GEN;NEUT;PL
waren	πραμάτεια	sein	πραμάτεια	V;IND;PL;3;PST;FIN	N;NOM;NEUT;PL
waren	εμπορεύματα	sein	εμπόρευμα	V;IND;PL;3;PST;FIN	N;NOM;NEUT;PL
waren	εμπόρευμα	sein	εμπόρευμα	V;IND;PL;3;PST;FIN	N;NOM;NEUT;SG
zeit	zeit	zeit	zeit	ADJ	
zeit	περίοδος	zeit	περίοδος	ADJ	N;NOM;FEM;SG
zeit	περίοδο	zeit	περίοδος	ADJ	N;ACC;FEM;SG
zeit	χρόνος	zeit	χρόνος	ADJ	N;NOM;MASC;SG
zeit	χρονος	zeit	χρονος	ADJ	DET;NOM;DEF;MASC;SG
zeit	ώρα	zeit	ώρα	ADJ	N;ACC;FEM;SG
zeit	φορά	zeit	φορά	ADJ	N;ACC;FEM;SG
zeit	ωρα	zeit	ωρα	ADJ	N;ACC;FEM;SG
zeit	χρόνο	zeit	χρόνος	ADJ	N;ACC;MASC;SG
stadt	town	staden	town		
stadt	πολη	staden	πολη		N;NOM;FEM;SG
stadt	πόλη	staden	πόλη		N;NOM;FEM;SG
stadt	πολη	staden	πολη		N;NOM;FEM;SG
stadt	πόλη	staden	πόλη		N;NOM;FEM;SG
stadt	city	staden	city		
stadt	πόλεων	staden	πόλη		N;GEN;FEM;PL
stadt	πόλεις	staden	πόλη		N;NOM;FEM;PL
wieder	πλάτη	wieder	πλάτος	ADV	N;NOM;FEM;SG
deutscher	γερμανοί	deutsch	γερμανός	ADJ	PROPN;NOM;MASC;PL
deutscher	γερμανικά	deutsch	γερμανικά	ADJ	ADV
deutscher	deutscher	deutsch	deutscher	ADJ	
deutscher	γερμανοί	deutsch	γερμανός	ADJ	PROPN;NOM;MASC;PL
jahren	χρονια	jahren	χρονος	ADJ	N;NOM;NEUT;PL
jahren	ετη	jahren	εγώ	ADJ	N;NOM;NEUT;PL
jahren	χρόνια	jahren	χρόνος	ADJ	N;NOM;NEUT;PL
jahren	έτη	jahren	έτος	ADJ	N;NOM;NEUT;PL
mal	times	mal	times	ADV	
mal	φορές	mal	φορά	ADV	N;NOM;FEM;PL
mal	χρόνοι	mal	χρόνος	ADV	N;NOM;MASC;PL
mal	μαλ	mal	μαλ	ADV	
ersten	πρώτο	erst	πρώτος	ADJ;NOM;PL	NUM;NOM;NEUT;SG
ersten	πρώτον	erst	πρώτον	ADJ;NOM;PL	ADV
ersten	πρώτη	erst	πρώτος	ADJ;NOM;PL	NUM;NOM;FEM;SG
ersten	πρώτα	erst	πρώτα	ADJ;NOM;PL	ADV
ersten	πρώτος	erst	πρώτος	ADJ;NOM;PL	NUM;NOM;MASC;SG
jedoch	ωστόσο	jedoch	ωστόσο	ADV	CONJ
jedoch	αλλά	jedoch	αλλά	ADV	CONJ
seed	σπόροι	seed	σπόρος		N;NOM;MASC;PL
seed	σπόρων	seed	σπόρος		N;GEN;NEUT;PL
seed	σπόρο	seed	σπόρο		N;NOM;NEUT;SG
seed	σπόρος	seed	σπόρος		N;NOM;MASC;SG
siehe	δείτε	sehen	βλέπω	V;IMP;SG;FIN	V;PFV;IMP;PL;2;FIN;ACT
siehe	βλέπεις	sehen	βλέπη	V;IMP;SG;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
siehe	βλέπε	sehen	βλέπω	V;IMP;SG;FIN	
siehe	δειτε	sehen	δειτε	V;IMP;SG;FIN	
siehe	ιδού	sehen	ιδού	V;IMP;SG;FIN	ADV
drei	three	drei	three	NUM	
drei	τριάρια	drei	τριάριο	NUM	N;NOM;NEUT;PL
etwa	περ	etwa	περ	ADV	N
deutschen	γερμανοί	deutsch	γερμανός	ADJ	PROPN;NOM;MASC;PL
deutschen	γερμανικά	deutsch	γερμανικά	ADJ	ADV
deutschen	γερμανοί	deutsch	γερμανός	ADJ	PROPN;NOM;MASC;PL
teil	μέρος	teil	μέρος	ADV	N;NOM;NEUT;SG
teil	μεροσ	teil	μεροσ	ADV	N;NOM;NEUT;SG
berlin	βερολίνο	berlin	βερολίνο	PROPN;NOM;NEUT;SG	PROPN;NOM;NEUT;SG
berlin	berlin	berlin	berlin	PROPN;NOM;NEUT;SG	
heute	σημερα	heute	σημερα	ADV	N
alle	όλοι	alle	όλος	PRO;NOM;INDF;PL	ADJ;NOM;MASC;PL
alle	ολα	alle	όλος	PRO;NOM;INDF;PL	ADV
alle	όλοι	alle	όλος	PRO;NOM;INDF;PL	ADJ;NOM;MASC;PL
alle	όλες	alle	όλος	PRO;NOM;INDF;PL	ADJ;NOM;FEM;PL
alle	όλα	alle	όλος	PRO;NOM;INDF;PL	ADJ;NOM;NEUT;PL
alle	όλοι	alle	όλος	PRO;NOM;INDF;PL	ADJ;NOM;MASC;PL
alle	alle	alle	alle	PRO;NOM;INDF;PL	
während	ενω	während	ενω	CONJ	ADV
ihre	its	ihr	its	DET;NOM;FEM;SG	
anderen	λοιπά	ander	λοιπός	ADJ;NOM;PL	ADV
anderen	αλλα	ander	αλλα	ADJ;NOM;PL	ADV
anderen	άλλες	ander	άλλος	ADJ;NOM;PL	PRO;NOM;FEM;PL;3
anderen	άλλα	ander	άλλος	ADJ;NOM;PL	PRO;NOM;NEUT;PL;3
anderen	άλλους	ander	άλλος	ADJ;NOM;PL	PRO;NOM;MASC;PL;3
anderen	άλλοι	ander	άλλος	ADJ;NOM;PL	PRO;NOM;MASC;PL;3
anderen	αλλοι	ander	αλλος	ADJ;NOM;PL	PRO;NOM;MASC;PL;3
anderen	άλλα	ander	άλλος	ADJ;NOM;PL	PRO;NOM;NEUT;PL;3
später	αργότερα	spät	αργά	ADJ	ADV;CMPR
später	αργοτερα	spät	αργά	ADJ	ADV
können	can	können	can	V;IND;PL;3;PRS;FIN	
können	μπορεί	können	μπορώ	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
jan	ιαν	jan	ιαν	PROPN;NOM;MASC;SG	
jan	jan	jan	jan	PROPN;NOM;MASC;SG	
jan	γιαν	jan	γιαν	PROPN;NOM;MASC;SG	
jan	τζαν	jan	τζαν	PROPN;NOM;MASC;SG	
mir	μιρ	ich	μιρ	PRO;DAT;SG;1	
ihr	ihr	ihr	ihr	PRO;NOM;MASC;SG	
ihr	εσύ	ihr	εσύ	PRO;NOM;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
ihr	εσείς	ihr	εγώ	PRO;NOM;MASC;SG	PRO;NOM;MASC;PL;2
ihr	εσυ	ihr	εσυ	PRO;NOM;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
gemeinde	δήμους	gemeinde	δήμος	N;NOM;FEM;SG	N;ACC;MASC;PL
gemeinde	δήμοι	gemeinde	δήμος	N;NOM;FEM;SG	N;NOM;MASC;PL
gemeinde	κοινότητα	gemeinde	κοινότητα	N;NOM;FEM;SG	N;ACC;FEM;SG
gemeinde	κοινότητας	gemeinde	κοινότητα	N;NOM;FEM;SG	N;GEN;FEM;SG
erste	erste	erst	erste	ADJ;NOM;FEM;PL	
erste	πρώτο	erst	πρώτος	ADJ;NOM;FEM;PL	NUM;NOM;NEUT;SG
erste	πρώτον	erst	πρώτον	ADJ;NOM;FEM;PL	ADV
erste	πρώτη	erst	πρώτος	ADJ;NOM;FEM;PL	NUM;NOM;FEM;SG
erste	πρώτα	erst	πρώτα	ADJ;NOM;FEM;PL	ADV
erste	πρώτος	erst	πρώτος	ADJ;NOM;FEM;PL	NUM;NOM;MASC;SG
liegt	ψέματα	liegen	ψέμα	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;PL
liegt	ψέμματα	liegen	ψέμμα	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;PL
august	αύγουστος	augusten	αύγουστος	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
august	αύγουστο	augusten	αύγουστος	PROPN;NOM;MASC;SG	N
august	αυγούστου	augusten	αυγούστος	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
deutschland	γερμανία	deutschland	γερμανία	PROPN;NOM	PROPN;ACC;FEM;SG
deutschland	γερμανια	deutschland	γερμανια	PROPN;NOM	N;ACC;FEM;SG
ihm	αυτόν	er	αυτός	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
ende	λήγει	ende	λήγω	N;ACC;NEUT;SG	V;PFV;IND;SG;3;PST;FIN;ACT
ende	τελειώνει	ende	τελειώνω	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
ende	τελείωμα	ende	τελείωμα	N;ACC;NEUT;SG	N;NOM;NEUT;SG
ende	τελειώσω	ende	τελειώνω	N;ACC;NEUT;SG	V;PFV;IND;SG;1;FIN;ACT
ende	τέλος	ende	τέλος	N;ACC;NEUT;SG	ADV
märz	μαρτίου	märz	μάρτιος	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
märz	μάρτιος	märz	μάρτιος	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
märz	μάρτιο	märz	μάρτιο	PROPN;NOM;MASC;SG	N
märz	märz	märz	märz	PROPN;NOM;MASC;SG	N
deutsche	γερμανοί	deutsch	γερμανός	ADJ;NOM;FEM;PL	PROPN;NOM;MASC;PL
deutsche	γερμανός	deutsch	γερμανός	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
deutsche	γερμανικό	deutsch	γερμανικός	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
deutsche	γερμανικά	deutsch	γερμανικά	ADJ;NOM;FEM;PL	ADV
deutsche	γερμανική	deutsch	γερμανικός	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	
deutsche	γερμανοί	deutsch	γερμανός	ADJ;NOM;FEM;PL	PROPN;NOM;MASC;PL
band	ορχήστρα	binden	ορχήστρα		N;NOM;FEM;SG
band	συγκρότημα	binden	συγκρότημα		N;NOM;NEUT;SG
band	μπάντα	binden	μπάντα		N;NOM;FEM;SG
band	ταινία	binden	ταινία		N;NOM;FEM;SG
band	κασέτα	binden	κασέτα		N;NOM;FEM;SG
band	κορδέλα	binden	κορδέλα		N;NOM;FEM;SG
januar	ιανουαρίου	januar	ιανουάριος	PROPN;NOM;MASC;SG	PROPN;GEN;MASC;SG
januar	ιανουάριο	januar	ιανουάριο	PROPN;NOM;MASC;SG	N
januar	ιανουάριος	januar	ιανουάριος	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
doch	αλλά	doch	αλλά	ADV	CONJ
oktober	οκτώβριος	oktober	οκτώβριος	PROPN;NOM;SG	N;NOM;MASC;SG
oktober	οκτώβριο	oktober	οκτώβριο	PROPN;NOM;SG	N
oktober	οκτωβρίου	oktober	οκτώβριος	PROPN;NOM;SG	N;GEN;MASC;SG
nov	νοε	nov	νοε		N
ihn	αυτόν	er	αυτός	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
wikipedia	wikipedia	wikipedia	wikipedia		
jun	τζουν	jun	τζω		
kirche	εκκλησίες	kirche	εκκλησία		N;NOM;FEM;PL
kirche	τσερτς	kirche	τσερτς		N
kirche	εκκλησία	kirche	εκκλησία		N;NOM;FEM;SG
kirche	εκκλησια	kirche	εκκλησιος		N;NOM;FEM;SG
juni	τζουν	juni	τζω	PROPN;NOM;MASC;SG	
juni	ιούνιο	juni	ιούνιος	PROPN;NOM;MASC;SG	PROPN;ACC;MASC;SG
juni	ιουνίου	juni	ιούνιος	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
juni	τζουν	juni	τζω	PROPN;NOM;MASC;SG	
juni	ιούνιος	juni	ιούνιος	PROPN;NOM;MASC;SG	ADJ;NOM;MASC;SG
april	απρ	april	απρ	PROPN;NOM;MASC;SG	
april	απρίλιος	april	απρίλιος	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
april	απρίλιο	april	απρίλιο	PROPN;NOM;MASC;SG	N
april	απρίλη	april	απρίλιος	PROPN;NOM;MASC;SG	N
april	απριλίου	april	απρίλιος	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
april	έιπριλ	april	έιπριλ	PROPN;NOM;MASC;SG	N
september	σεπτεμβρίου	september	σεπτέμβριο	PROPN;SG	N;GEN;MASC;SG
september	σεπτέμβρη	september	σεπτέμβρομαι	PROPN;SG	ADV
september	σεπτέμβριος	september	σεπτέμβριος	PROPN;SG	N;NOM;MASC;SG
september	σεπτέμβριο	september	σεπτέμβριο	PROPN;SG	N
september	σεπτ	september	σεπτ	PROPN;SG	NUM
september	sep	september	sep	PROPN;SG	
september	σεπ	september	σεπ	PROPN;SG	
selbst	εαυτός	selbst	εαυτός	ADV	N;NOM;MASC;SG
weitere	περαιτέρω	weit	περαιτέρω	ADJ;NOM;FEM;PL	ADV
weitere	περισσότερο	weit	πολύ	ADJ;NOM;FEM;PL	ADV;CMPR
weitere	πιο	weit	πιο	ADJ;NOM;FEM;PL	ADV
juli	ιούλιος	juli	ιούλιος	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
juli	ιούλιο	juli	ιούλιος	PROPN;NOM;MASC;SG	N;ACC;MASC;SG
juli	ιουλίου	juli	ιούλιος	PROPN;NOM;MASC;SG	N;GEN;NEUT;SG
juli	ιουλιος	juli	ιουλιος	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
andere	λοιπά	ander	λοιπός	ADJ;NOM;FEM;PL	ADV
andere	αλλα	ander	αλλα	ADJ;NOM;FEM;PL	ADV
andere	άλλες	ander	άλλος	ADJ;NOM;FEM;PL	PRO;NOM;FEM;PL;3
andere	άλλα	ander	άλλος	ADJ;NOM;FEM;PL	PRO;NOM;NEUT;PL;3
andere	άλλους	ander	άλλος	ADJ;NOM;FEM;PL	PRO;NOM;MASC;PL;3
andere	άλλοι	ander	άλλος	ADJ;NOM;FEM;PL	PRO;NOM;MASC;PL;3
andere	αλλοι	ander	αλλος	ADJ;NOM;FEM;PL	PRO;NOM;MASC;PL;3
andere	άλλα	ander	άλλος	ADJ;NOM;FEM;PL	PRO;NOM;NEUT;PL;3
kein	όχι	kein	όχι	PRO;NOM;INDF;MASC;SG;NEG	PART
kein	οχι	kein	οχι	PRO;NOM;INDF;MASC;SG;NEG	ADV
geschichte	ιστορία	geschicht	ιστορία		N;NOM;FEM;SG
geschichte	ιστορια	geschicht	ιστορια		N;NOM;FEM;SG
geschichte	ιστορία	geschicht	ιστορία		N;NOM;FEM;SG
geschichte	ιστορια	geschicht	ιστορια		N;NOM;FEM;SG
geschichte	ιστορικό	geschicht	ιστορικός		ADJ;NOM;NEUT;SG
verlag	εκδότη	verliegen	εκδότης	N;NOM;MASC;SG	N;VOC;MASC;SG
verlag	verlag	verliegen	verlag	N;NOM;MASC;SG	
verlag	εκδότες	verliegen	εκδότης	N;NOM;MASC;SG	N;NOM;MASC;PL
verlag	εκδοτών	verliegen	εκδότης	N;NOM;MASC;SG	N;GEN;MASC;PL
jpg	jpg	jpg	jpg		
dezember	δεκέμβριο	dezember	δεκέμβριος	PROPN;NOM;MASC;SG	N
dezember	δεκέμβριος	dezember	δεκέμβριος	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
dezember	δεκεμβρίου	dezember	δεκέμβριο	PROPN;NOM;MASC;SG	N;GEN;MASC;SG
dezember	δεκ	dezember	δεκ	PROPN;NOM;MASC;SG	
dezember	απόφ	dezember	απόφ	PROPN;NOM;MASC;SG	N
dez	απόφ	dez	απόφ		N
universität	πανεπιστήμιο	universität	πανεπιστήμιο	ADJ	N;NOM;NEUT;SG
universität	univers	universität	univers	ADJ	
universität	πανεπιστημιο	universität	πανεπιστημιο	ADJ	N;NOM;NEUT;SG
platz	plaza	platz	plaza	ADV	
platz	πλάζα	platz	πλάζα	ADV	
platz	τετράγωνο	platz	τετράγωνος	ADV	N;NOM;NEUT;SG
platz	πλατεία	platz	πλατεία	ADV	N;NOM;FEM;SG
platz	τόπος	platz	τόπος	ADV	N;NOM;MASC;SG
platz	μέρος	platz	μέρος	ADV	N;NOM;NEUT;SG
platz	platz	platz	platz	ADV	
platz	space	platz	space	ADV	
platz	χώρος	platz	χώρος	ADV	N;NOM;MASC;SG
platz	χώρο	platz	χώρος	ADV	N;ACC;MASC;SG
platz	διαστημα	platz	διαστημα	ADV	N;NOM;NEUT;SG
platz	διάστημα	platz	διάστημα	ADV	N;NOM;NEUT;SG
november	νοεμβρίου	november	νόεμβριος	PROPN	N;GEN;MASC;SG
november	νοέμβριο	november	νοέμβριος	PROPN	N;NOM;MASC;SG
november	νοέμβριος	november	νοέμβριος	PROPN	N;NOM;MASC;SG
november	νοε	november	νοε	PROPN	N
kam	kam	kommen	kam	V;IND;SG;3;PST;FIN	
wir	wir	wir	wir	PRO;NOM;PL;1	
jahrhundert	αιώνα	jahrhundert	αιώνας	ADJ	N;ACC;MASC;SG
jahrhundert	αιώνας	jahrhundert	αιώνας	ADJ	N;NOM;MASC;SG
beiden	δυο	beide	δύο	PRO;NOM;INDF;PL	NUM;NOM;PL
beiden	two	beide	two	PRO;NOM;INDF;PL	
beiden	δύο	beide	δύο	PRO;NOM;INDF;PL	NUM;NOM;MASC;PL
vier	four	vier	four	NUM	
vier	τεσσερα	vier	τέσσερις	NUM	N;NOM;NEUT;PL
