ofiarą	áldozat	ofiara	áldozat	N;INS;FEM;SG	N;NOM;SG
piętrze	emelet	piętro	emelet	N;ACC;NEUT;SG	N;NOM;SG
piętrze	padló	piętro	padló	N;ACC;NEUT;SG	N;NOM;SG
reklamy	hirdetések	reklama	hirdetés	N;ACC;FEM;SG	N;NOM;PL
reklamy	hirdetés	reklama	hirdetés	N;ACC;FEM;SG	
reklamy	hirdetéseket	reklama	hirdetés	N;ACC;FEM;SG	N;ACC;PL
reklamy	hirdetések	reklama	hirdetés	N;ACC;FEM;SG	N;NOM;PL
reklamy	hirdetéseket	reklama	hirdetés	N;ACC;FEM;SG	N;ACC;PL
reklamy	hirdetési	reklama	hirdetési	N;ACC;FEM;SG	ADJ;NOM;SG
reklamy	hirdetések	reklama	hirdetés	N;ACC;FEM;SG	N;NOM;PL
reklamy	hirdetés	reklama	hirdetés	N;ACC;FEM;SG	
reklamy	reklám	reklama	reklám	N;ACC;FEM;SG	N;NOM;SG
odznaki	jelvény	odznak	jelvény	V;IPFV;IND;SG;3;FIN;ACT	N;NOM;SG
kent	kent	kent	ken	PROPN;NOM;MASC;SG	
zestawienie	összefoglaló	zestawienie	összefoglaló	N;NOM;NEUT;SG	
pomocnicze	segéd	pomocniczy	segéd	ADJ;NOM;NEUT;SG	
pruski	porosz	pruski	porosz	ADJ;NOM;MASC;SG	
nieprzerwanie	folyamatosan	nieprzerwanie	folyamatos	ADV	ADJ;FRML;SG
colin	colin	colina	colin	N;NOM;MASC;SG	
ralph	ralph	ralph	ralph	PROPN;NOM;MASC;SG	
todd	todd	todd	todd	PROPN;NOM;MASC;SG	
joan	joan	joan	joan	PROPN;NOM;MASC;SG	
joan	jeanne	joan	jelenik	PROPN;NOM;MASC;SG	
global	globális	global	globális		ADJ;NOM;SG
karla	károly	karla	károly		N;NOM;SG
zwalczania	felszámolás	zwalczać	felszámolás	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;SG
zwalczania	felszámolására	zwalczać	felszámolás	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;ON+ALL;SG
zwalczania	harci	zwalczać	harci	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	
zwalczania	küzdelem	zwalczać	küzdelem	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;SG
zwalczania	harc	zwalczać	harc	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;SG
autonomii	autonómia	autonomia	autonómia	N;GEN;FEM;SG	N;NOM;SG
powszechne	univerzális	powszechny	univerzális	ADJ;NOM;NEUT;SG	
powszechne	egyetemes	powszechny	egyetemes	ADJ;NOM;NEUT;SG	
fotografie	fotózás	fotografia	fotózás	N;NOM;FEM;PL	N;NOM;SG
zależne	eltartott	zależny	eltartott	ADJ;NOM;NEUT;SG	V;INDF;IND;SG;3;PST;FIN;ACT
zależne	függő	zależny	függő	ADJ;NOM;NEUT;SG	
zależne	leányvállalat	zależny	leányvállalat	ADJ;NOM;NEUT;SG	N;NOM;SG
zależne	leányvállalatok	zależny	leányvállalat	ADJ;NOM;NEUT;SG	N;NOM;PL
zależne	leányvállalatai	zależny	leányvállalat	ADJ;NOM;NEUT;SG	N;NOM;PL
niebieskie	kék	niebieski	kék	ADJ;NOM;NEUT;SG	
niebieskie	blue	niebieski	blue	ADJ;NOM;NEUT;SG	
owoców	gyümölcs	owóc	gyümölcs	N;GEN;MASC;PL	N;NOM;SG
owoców	gyümölcsök	owóc	gyümölcs	N;GEN;MASC;PL	N;NOM;PL
owoców	gyümölcsöt	owóc	gyümölcsöt	N;GEN;MASC;PL	N;ACC;SG
owoców	gyümölcs	owóc	gyümölcs	N;GEN;MASC;PL	N;NOM;SG
owoców	gyümölcsök	owóc	gyümölcs	N;GEN;MASC;PL	N;NOM;PL
pius	pius	pius	pius	PROPN;NOM;MASC;SG	
męski	férfi	męski	férfi	ADJ;NOM;MASC;SG	N;NOM;SG
męski	hím	męski	hím	ADJ;NOM;MASC;SG	N;NOM;SG
weryfikacji	hitelesítés	weryfikacja	hitelesítés	N;GEN;FEM;SG	N;NOM;SG
weryfikacji	ellenőrzés	weryfikacja	ellenőrzés	N;GEN;FEM;SG	N;NOM;SG
chińskich	kínai	chiński	kínai	ADJ;GEN;MASC;PL	
chińskich	kínaiak	chiński	kínai	ADJ;GEN;MASC;PL	N;NOM;PL
uznawane	felismert	uznawać	felismert	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
uznawane	elismert	uznawać	elismer	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
uznawane	felismert	uznawać	felismert	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
uznawane	elismert	uznawać	elismer	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
organizmów	szervezetek	organizm	szervezet	N;GEN;MASC;PL	N;NOM;PL
organizmów	organizmus	organizm	organizmus	N;GEN;MASC;PL	N;NOM;SG
organizmów	élőlények	organizm	élőlény	N;GEN;MASC;PL	N;NOM;PL
używanie	használatával	używać	használat	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;INS;SG
używanie	felhasználva	używać	felhasználva	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	ADV;V.CVB
cząstek	részecskék	cząstka	részecskék	N;GEN;FEM;PL	N;NOM;PL
cząstek	részecske	cząstka	részecske	N;GEN;FEM;PL	N;NOM;SG
cząstek	részecske	cząstka	részecske	N;GEN;FEM;PL	N;NOM;SG
przypuszczalnie	állítólag	przypuszczalnie	állítólag	ADV	
przypuszczalnie	elvileg	przypuszczalnie	elvileg	ADV	
przypuszczalnie	feltehetőleg	przypuszczalnie	feltehetőleg	ADV	
xxx	xxx	xxx	xxx		N;NOM;SG
duchu	ghost	duch	ghost	N;ACC;MASC;SG	
duchu	szellem	duch	szellem	N;ACC;MASC;SG	N;NOM;SG
duchu	szellem	duch	szellem	N;ACC;MASC;SG	N;NOM;SG
duchu	lélek	duch	lélek	N;ACC;MASC;SG	N;NOM;SG
komputerów	számítógép	komputer	számítógép	N;GEN;MASC;PL	N;NOM;SG
komputerów	számítógépek	komputer	számítógép	N;GEN;MASC;PL	N;NOM;PL
niebo	mennyben	niebo	menny	N;NOM;NEUT;SG	ADV
niebo	menny	niebo	menny	N;NOM;NEUT;SG	
niebo	sky	niebo	sky	N;NOM;NEUT;SG	
niebo	ég	niebo	ég	N;NOM;NEUT;SG	
niebo	ég	niebo	ég	N;NOM;NEUT;SG	
kłopoty	gond	kłopot	gond	N;ACC;MASC;PL	
kłopoty	baj	kłopot	baj	N;ACC;MASC;PL	
kłopoty	bajok	kłopot	bajok	N;ACC;MASC;PL	N;NOM;PL
kłopoty	gondok	kłopot	gond	N;ACC;MASC;PL	N;NOM;PL
węgierska	magyarul	węgierski	magyar	ADJ;NOM;FEM;SG	
węgierska	magyarok	węgierski	magyar	ADJ;NOM;FEM;SG	N;NOM;PL
węgierska	hungarian	węgierski	hungarian	ADJ;NOM;FEM;SG	
cleveland	cleveland	cleveland	cleveland	N;NOM;MASC;SG	
kampanię	kampány	kampania	kampány	N;ACC;FEM;SG	N;NOM;SG
tłumaczy	translators	tłumaczyć	translators	V;IPFV;IND;SG;3;PRS;FIN;ACT	
piątej	ötödik	piąty	ötödik	ADJ;GEN;FEM;SG	ADJ;NOM;SG
wood	fát	wood	fát		N;ACC;SG
odkryte	felfedezte	odkryć	felfedez	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;DEF;IND;SG;3;PST;FIN;ACT
odkryte	felfedezett	odkryć	felfedezett	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
tlenu	oxigén	tlen	orige	N;GEN;MASC;SG	N;NOM;SG
tlenu	oxigént	tlen	oxigént	N;GEN;MASC;SG	N;ACC;SG
franciszkanów	ferences	franciszkan	ferences	N;ACC;MASC;PL	N;NOM;SG
konto	figyelembe	konto	figyel	N;NOM;NEUT;SG	
pat	patthelyzet	pat	patthelyzet		N;NOM;SG
castro	castro	castro	castro	PROPN;NOM;MASC;SG	
zalecenia	ajánlás	zalecenie	ajánlás	N;NOM;NEUT;PL	N;NOM;SG
zalecenia	ajánlásokat	zalecenie	ajánlás	N;NOM;NEUT;PL	N;ACC;PL
zalecenia	ajánlás	zalecenie	ajánlás	N;NOM;NEUT;PL	N;NOM;SG
roberts	roberts	roberts	roberts	PROPN;NOM;MASC;SG	
armaty	ágyú	armata	ágyú	N;ACC;FEM;SG	N;NOM;SG
armaty	cannon	armata	cannon	N;ACC;FEM;SG	
armaty	ágyúk	armata	ágyúk	N;ACC;FEM;SG	N;NOM;PL
jung	jung	junga	jung	PROPN;NOM;MASC;SG	
dowody	bizonyíték	dowód	bizonyíték	N;NOM;MASC;PL	N;NOM;SG
dowody	bizonyítás	dowód	bizonyítás	N;NOM;MASC;PL	N;NOM;SG
dowody	bizonyíték	dowód	bizonyíték	N;NOM;MASC;PL	N;NOM;SG
zachowany	megtartott	zachować	megtartott	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
zachowany	tartósított	zachować	tartósított	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
zachowany	megőrizte	zachować	megőriz	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;DEF;IND;SG;3;PST;FIN;ACT
ósemka	nyolc	ósemka	nyolc	N;NOM;FEM;SG	
obsługiwane	támogatott	obsługiwać	támogat	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
obsługiwane	karbantartott	obsługiwać	karbantartott	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
obsługiwane	működtetett	obsługiwać	működtetett	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
obsługiwane	üzemeltetett	obsługiwać	üzemeltet	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
notowania	idézetek	notować	idézet	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;PL
notowania	árfolyamok	notować	árfolyam	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;NOM;PL
impreza	party	impreza	party	N;NOM;FEM;SG	
impreza	parti	impreza	parti	N;NOM;FEM;SG	ADJ;NOM;SG
uszkodzony	sérült	uszkodzić	sérül	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
uszkodzony	károsodott	uszkodzić	károsodott	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
uszkodzony	megsérült	uszkodzić	meg+sérül	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
uszkodzony	korrupt	uszkodzić	korrup	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	
uszkodzony	hibás	uszkodzić	hibás	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	
administratorem	admin	administrator	admin	N;INS;MASC;SG	
administratorem	adminisztrátor	administrator	adminisztrátor	N;INS;MASC;SG	N;NOM;SG
administratorem	adminisztrátor	administrator	adminisztrátor	N;INS;MASC;SG	N;NOM;SG
administratorem	ügyvezető	administrator	ügyvezető	N;INS;MASC;SG	N;NOM;SG
administratorem	ügyintéző	administrator	ügyintéző	N;INS;MASC;SG	N;NOM;SG
administratorem	tisztviselő	administrator	tisztviselő	N;INS;MASC;SG	N;NOM;SG
airways	airways	airways	airways		N;NOM;SG
trofeum	trófea	trofeum	trófea	N;ACC;MASC;SG	N;NOM;SG
mandatu	megbízás	mandat	megbízás	N;GEN;MASC;SG	N;NOM;SG
mandatu	felhatalmazás	mandat	felhatalmazás	N;GEN;MASC;SG	N;NOM;SG
mandatu	megbízatás	mandat	megbízatás	N;GEN;MASC;SG	N;NOM;SG
legia	légió	legia	légió		N;NOM;SG
iran	iráni	iran	iráni	PROPN;NOM;MASC;SG	
iran	irán	iran	irán	PROPN;NOM;MASC;SG	PROPN;NOM;SG
icao	icao	icao	icao		N;NOM;SG
han	han	han	han	PROPN;NOM;MASC;SG	
dekret	rendelet	dekret	rendelet	N;NOM;MASC;SG	
pisanie	gépelni	pisać	gépel	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;NFIN;ACT
pisanie	írással	pisać	írás	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;INS;SG
olympic	olimpiai	olympic	olimpiai		ADJ;NOM;SG
słownika	szótár	słownik	szótár	N;GEN;MASC;SG	N;NOM;SG
dochód	bevételek	dochód	bevétel	N;NOM;MASC;SG	N;NOM;PL
dochód	jövedelmek	dochód	jövedelem	N;NOM;MASC;SG	N;NOM;PL
dochód	bevételek	dochód	bevétel	N;NOM;MASC;SG	N;NOM;PL
winter	tél	winter	tél		N;NOM;SG
poprawki	korrekció	poprawka	korrekció	N;ACC;FEM;PL	N;NOM;SG
poprawki	javítások	poprawka	javítás	N;ACC;FEM;PL	N;NOM;PL
poprawki	módosítások	poprawka	módosítás	N;ACC;FEM;PL	N;NOM;PL
poprawki	módosításai	poprawka	módosítás	N;ACC;FEM;PL	N;NOM;PL
poprawki	módosítás	poprawka	módosítás	N;ACC;FEM;PL	N;NOM;SG
samolotem	repülő	samolot	repülő	N;INS;MASC;SG	
samolotem	repülőgép	samolot	repülőgép	N;INS;MASC;SG	N;NOM;SG
samolotem	sík	samolot	sík	N;INS;MASC;SG	
samolotem	repülő	samolot	repülő	N;INS;MASC;SG	
samolotem	repülőgép	samolot	repülőgép	N;INS;MASC;SG	N;NOM;SG
samolotem	repülőgép	samolot	repülőgép	N;INS;MASC;SG	N;NOM;SG
zhang	zhang	zhang	zhang	PROPN;NOM;MASC;SG	
anioł	angel	anioł	angel	N;NOM;MASC;SG	
seattle	seattle	seatle	seattle	PROPN;NOM;MASC;SG	N;NOM;SG
nadawania	műsorszolgáltatás	nadawać	műsorszolgáltatás	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;SG
łączna	kumulatív	łączny	kumulatív	ADJ;NOM;FEM;SG	N;NOM;SG
łączna	halmozott	łączny	halmozott	ADJ;NOM;FEM;SG	V;INDF;IND;SG;3;PST;FIN;ACT
zbędne	felesleges	zbędny	felesleges	ADJ;NOM;NEUT;SG	
zbędne	fölösleges	zbędny	fölösleges	ADJ;NOM;NEUT;SG	
zbędne	felesleges	zbędny	felesleges	ADJ;NOM;NEUT;SG	
zbędne	szükségtelen	zbędny	szükségtelen	ADJ;NOM;NEUT;SG	
zbędne	felesleges	zbędny	felesleges	ADJ;NOM;NEUT;SG	
zawartych	kötött	zawrzeć	köt	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
zawartych	megkötött	zawrzeć	megkötött	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
dzieciństwie	gyermekkori	dzieciństwo	gyermekkori	N;DAT;NEUT;SG	
dzieciństwie	gyerekkorom	dzieciństwo	gyerekkorom	N;DAT;NEUT;SG	N;NOM;SG
dzieciństwie	gyermekkorom	dzieciństwo	gyermekkorom	N;DAT;NEUT;SG	N;NOM;SG
dzieciństwie	gyerekkori	dzieciństwo	gyerekkori	N;DAT;NEUT;SG	ADJ;NOM;SG
santo	santo	santo	santo	PROPN;NOM;MASC;SG	
bristol	bristol	bristol	bristol	PROPN;NOM;MASC;SG	
mosty	hidakat	most	híd	N;NOM;MASC;PL	N;ACC;PL
traci	traci	tracić	traci	V;IPFV;IND;SG;3;PRS;FIN;ACT	
działki	telkek	działka	tel	N;ACC;FEM;PL	N;NOM;PL
działki	parcellák	działka	parcella	N;ACC;FEM;PL	N;NOM;PL
działki	cselekmény	działka	cselekmény	N;ACC;FEM;PL	N;NOM;SG
powstać	felmerülő	powstać	felmerülő	V;PFV;NFIN;ACT	
krajowym	hazai	krajowy	hazai	ADJ;INS;MASC;SG	ADJ;NOM;SG
krajowym	belföldi	krajowy	belföldi	ADJ;INS;MASC;SG	
nazwane	megnevezett	nazwać	megnevezett	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
autorskie	copyright	autorski	copyright	ADJ;NOM;NEUT;SG	N;NOM;SG
gilbert	gilbert	gilbert	gilber	N;NOM;MASC;SG	
równanie	egyenletek	równać	egyenlet	N;NOM;NEUT;SG	N;NOM;PL
rzekomo	állítólag	rzekomo	állítólag	N;DAT;FEM;PL	
więzień	rab	więzienie	rab	N;GEN;NEUT;PL	
więzień	fogoly	więzienie	fogoly	N;GEN;NEUT;PL	N;NOM;SG
więzień	elítélt	więzienie	elítélt	N;GEN;NEUT;PL	V;INDF;IND;SG;3;PST;FIN;ACT
więzień	rab	więzienie	rab	N;GEN;NEUT;PL	
więzień	fegyenc	więzienie	fegyenc	N;GEN;NEUT;PL	
więzień	börtönökben	więzienie	börtönök	N;GEN;NEUT;PL	N;IN+ESS;SG
więzień	börtönök	więzienie	börtönök	N;GEN;NEUT;PL	N;NOM;PL
poinformował	tájékozott	poinformować	tájékozik	V;PFV;MASC;IND;SG;PST;FIN;ACT	
telefon	telefonon	telefon	telefon	N;NOM;MASC;SG	
telefon	telefont	telefon	telefont	N;NOM;MASC;SG	N;ACC;SG
jasno	fényes	jasno	fényes	ADV	
kuba	kubában	kuba	kuba	PROPN;NOM;MASC;SG	N;IN+ESS;SG
kuba	kuba	kuba	kuba	PROPN;NOM;MASC;SG	PROPN;NOM;SG
utc	utc	utco	utc		N;NOM;SG
felix	felix	felix	felix	PROPN;NOM;MASC;SG	
felix	félix	felix	félix	PROPN;NOM;MASC;SG	
aktualne	áramlat	aktualny	áramlat	ADJ;NOM;NEUT;SG	N;NOM;SG
aktualne	jelenlegi	aktualny	jelenlegi	ADJ;NOM;NEUT;SG	
dachau	dachau	dachau	dachau	PROPN;NOM;MASC;SG	
przemiany	átalakulás	przemiać	átalakulás	N;ACC;FEM;SG	N;NOM;SG
przemiany	átalakítás	przemiać	átalakítás	N;ACC;FEM;SG	N;NOM;SG
dziwne	fura	dziwny	fura	ADJ;NOM;NEUT;SG	
dziwne	furcsa	dziwny	furcsa	ADJ;NOM;NEUT;SG	
dziwne	különös	dziwny	különös	ADJ;NOM;NEUT;SG	
dziwne	furcsa	dziwny	furcsa	ADJ;NOM;NEUT;SG	
dziwne	páratlan	dziwny	páratlan	ADJ;NOM;NEUT;SG	
dziwne	furcsa	dziwny	furcsa	ADJ;NOM;NEUT;SG	
gerard	gérard	gerard	gérard	N;NOM;MASC;SG	
gerard	gerard	gerard	gerard	N;NOM;MASC;SG	
zagraniczne	kül	zagraniczny	kül	ADJ;NOM;NEUT;SG	
zagraniczne	külföldiek	zagraniczny	külföldi	ADJ;NOM;NEUT;SG	N;NOM;PL
wyrzutni	kilövő	wyrzutniać	kilövő	V;IPFV;IND;SG;FIN;ACT	
turynie	torinói	turyn	torinó	PROPN;NOM;MASC;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
recenzji	értékelések	recenzja	értékelés	V;IPFV;IND;SG;2;FIN;ACT	N;NOM;PL
recenzji	vélemények	recenzja	vélemény	V;IPFV;IND;SG;2;FIN;ACT	N;NOM;PL
pastor	pásztor	pastor	pásztor	N;NOM;MASC;SG	
urban	városi	urbany	városi		ADJ;NOM;SG
zaatakował	megtámadtak	zaatakować	meg+támad	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;INDF;IND;PL;3;PST;FIN;ACT
turystyczna	turisták	turystyczny	turista	ADJ;NOM;FEM;SG	N;NOM;PL
turystyczna	turista	turystyczny	turista	ADJ;NOM;FEM;SG	N;NOM;SG
symboli	jelek	symbolia	jelek		N;NOM;PL
symboli	jelölések	symbolia	jelölés		N;NOM;PL
symboli	szimbólumok	symbolia	szimbólum		N;NOM;PL
symboli	szimbólum	symbolia	szimbólum		N;IN+ABL;SG
podania	alkalmazások	podać	alkalmazás	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;PL
podania	kérelmek	podać	kérelem	N;PFV;GEN;NEUT;SG;POS;V.MSDR	N;NOM;PL
zabił	megölt	zabić	megölt	V;PFV;MASC;IND;SG;PST;FIN;ACT	
korporacji	társaságok	korporacja	társaság	N;GEN;FEM;SG	N;NOM;PL
korporacji	vállalatok	korporacja	vállalat	N;GEN;FEM;SG	N;NOM;PL
korporacji	cégek	korporacja	cég	N;GEN;FEM;SG	N;NOM;PL
korporacji	corporation	korporacja	corporation	N;GEN;FEM;SG	N;NOM;SG
ludzkości	emberség	ludzkość	emberség	N;GEN;FEM;SG	N;NOM;SG
ludzkości	emberiség	ludzkość	emberiség	N;GEN;FEM;SG	N;NOM;SG
ludzkości	emberiség	ludzkość	emberiség	N;GEN;FEM;SG	N;NOM;SG
twierdza	erőd	twierdzać	erőd		N;NOM;SG
obserwacje	észrevétel	obserwacja	észrevétel	N;NOM;FEM;PL	N;NOM;SG
obserwacje	észrevétel	obserwacja	észrevétel	N;NOM;FEM;PL	N;NOM;SG
obserwacje	megfigyelés	obserwacja	megfigyelés	N;NOM;FEM;PL	N;NOM;SG
satelity	műholdak	satelita	műhold	N;ACC;FEM;PL	N;NOM;PL
satelity	műholdas	satelita	műholdas	N;ACC;FEM;PL	
satelity	műhold	satelita	műhold	N;ACC;FEM;PL	N;NOM;SG
szyi	nyakát	szyi	nyaka		N;ACC;SG
szyi	nyaka	szyi	nyaka		N;NOM;SG
szyi	nyak	szyi	nyak		N;NOM;SG
młodzi	fiatal	młody	fiatal	N;NOM;MASC;PL	
młodzi	fiatalos	młody	fiatalos	N;NOM;MASC;PL	ADJ;NOM;SG
akademickich	akadémiai	akademicki	akadémiai	ADJ;GEN;MASC;PL	N;NOM;SG
borys	boris	borys	boris	PROPN;NOM;MASC;SG	
borys	borisz	borys	borisz	PROPN;NOM;MASC;SG	
uznana	felismert	uznać	felismert	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	
uznana	elismert	uznać	elismer	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	
uznana	felismert	uznać	felismert	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	
uznana	elismert	uznać	elismer	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	
tożsamość	személyazonosság	tożsamość	személyazonosság	N;ACC;FEM;SG	N;NOM;SG
tożsamość	identitás	tożsamość	identitás	N;ACC;FEM;SG	N;NOM;SG
machine	gépezet	machina	gépezet		N;NOM;SG
machine	gép	machina	gép		N;NOM;SG
składników	hozzávalók	składnik	hozzávaló	N;GEN;MASC;PL	N;NOM;PL
składników	összetevők	składnik	összetevő	N;GEN;MASC;PL	N;NOM;PL
sławy	sztárok	sława	sztár		N;NOM;PL
sławy	hírességek	sława	híresség		N;NOM;PL
sławy	hírnév	sława	hírnév		N;NOM;SG
wykonawcy	vállalkozó	wykonawca	vállalkozó	N;NOM;MASC;PL	N;NOM;SG
zaliczony	számoltam	zaliczyć	számol	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;1;PST;FIN;ACT
zaliczony	számolt	zaliczyć	számol	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
rodríguez	rodriguez	rodríguez	rodriguez	PROPN;NOM;MASC;SG	N;NOM;SG
rodríguez	rodríguez	rodríguez	rodríguez	PROPN;NOM;MASC;SG	N;NOM;SG
ring	gyűrűt	ring	gyűrű		N;ACC;SG
ring	gyűrűvel	ring	gyűrű		N;INS;SG
ring	gyűrű	ring	gyűrű		N;NOM;SG
ludzkie	ember	ludzki	ember	ADJ;NOM;NEUT;SG	N;NOM;SG
ludzkie	emberi	ludzki	emberi	ADJ;NOM;NEUT;SG	
wykonywanie	teljesítő	wykonywać	teljesítő	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	ADJ;NOM;SG
resztki	maradékot	resztka	maradék	N;ACC;FEM;PL	N;ACC;SG
resztki	maradék	resztka	maradék	N;ACC;FEM;PL	
resztki	maradékot	resztka	maradék	N;ACC;FEM;PL	N;ACC;SG
resztki	maradékok	resztka	maradék	N;ACC;FEM;PL	N;NOM;PL
zagrożony	veszélyeztetett	zagrożyć	veszélyeztet	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
zagrożony	fenyegetett	zagrożyć	fenyeget	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
martínez	martínez	martrnez	martínez	PROPN;NOM;MASC;SG	
dzieciństwa	gyermekkori	dzieciństwo	gyermekkori	N;GEN;NEUT;SG	
dzieciństwa	gyerekkorom	dzieciństwo	gyerekkorom	N;GEN;NEUT;SG	N;NOM;SG
dzieciństwa	gyermekkorom	dzieciństwo	gyermekkorom	N;GEN;NEUT;SG	N;NOM;SG
dzieciństwa	gyerekkori	dzieciństwo	gyerekkori	N;GEN;NEUT;SG	ADJ;NOM;SG
portów	kikötők	port	ki+kötő	N;GEN;MASC;PL	N;NOM;PL
nicholas	nicholas	nicholas	nicholas	PROPN;NOM;MASC;SG	N;NOM;SG
