aus	aus	aus	aus		N;MASC;SG
tykke	gordo	tyk	gordo	ADJ;PL	N;MASC;SG
ball	bola	ball	bola		N;FEM;SG
ball	ball	ball	ball		N;MASC;SG
tel	tel	tel	tel		N;MASC;SG
forekommende	ocorrendo	forekomme	ocorrer	ADJ	V;V.MSDR
kenya	quénia	kenya	quénia	PROPN	N;MASC;SG
kenya	quênia	kenya	quênia	PROPN	N;FEM;SG
tjekkisk	tcheca	tjekkisk	tcheca	ADJ;INDF;SG	N;FEM;SG
tjekkisk	checo	tjekkisk	checo	ADJ;INDF;SG	N;MASC;SG
tjekkisk	tcheco	tjekkisk	tcheco	ADJ;INDF;SG	N;MASC;SG
tjekkisk	checa	tjekkisk	checa	ADJ;INDF;SG	N;FEM;SG
mogensen	mogensen	mogensen	mogensen	PROPN	N;MASC;PL
blåt	blue	blå	blue	ADJ;INDF;NEUT;SG	N;MASC;SG
blåt	azul	blå	azul	ADJ;INDF;NEUT;SG	N;MASC;SG
blåt	azuis	blå	azul	ADJ;INDF;NEUT;SG	N;MASC;PL
glemt	esqueci	glemme	esquecer	V;INDF;SG;PST;V.PTCP	V;IND;SG;1;PRS;FIN
glemt	esquecidos	glemme	esquecer	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
scottish	escócia	scottish	escócia		N;FEM;SG
scottish	escocês	scottish	escocês		N;MASC;SG
scottish	escoceses	scottish	escocês		N;MASC;PL
scottish	escocesa	scottish	escocesa		N;FEM;SG
scottish	scottish	scottish	scottish		N;MASC;SG
meddelelser	comunicação	meddelelse	comunicação	N;INDF;MASC+FEM;PL	N;FEM;SG
kings	kings	kings	kings		N;MASC;SG
kings	reis	kings	rei		N;MASC;PL
larry	larry	larry	larry		N;MASC;SG
tynde	skinny	tynd	skinny	ADJ;PL	N;MASC;SG
tynde	magra	tynd	magro	ADJ;PL	N;FEM;SG
tynde	fina	tynd	fino	ADJ;PL	ADJ;FEM;SG
tynde	finos	tynd	fino	ADJ;PL	N;MASC;PL
tynde	magra	tynd	magro	ADJ;PL	N;FEM;SG
tynde	magro	tynd	magro	ADJ;PL	ADJ;MASC;SG
tynde	fino	tynd	fino	ADJ;PL	ADJ;MASC;SG
luke	lucas	luke	luca	N;INDF;MASC+FEM;SG	N;MASC;PL
regn	chover	regn	chover	N;INDF;MASC+FEM;SG	V;NFIN
nedbør	chuvas	nedbør	chuva	N;INDF;MASC+FEM;SG	N;FEM;PL
glasgow	glasgow	glasgow	glasgow	PROPN	N;MASC;SG
secret	segredo	secret	segredo		N;MASC;SG
secret	secret	secret	secret		N;MASC;SG
secret	secreto	secret	secreto		N;MASC;SG
secret	secreta	secret	secreto		N;FEM;SG
kulturel	culturais	kulturel	cultural	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
mikhail	mikhail	mikhail	mikhail	PROPN	N;MASC;SG
etage	andar	etage	andar	N;INDF;MASC+FEM;SG	V;NFIN
poesi	poesias	poesi	poesia	N;INDF;MASC+FEM;SG	N;FEM;PL
mil	quilómetros	mil	quilómetro	N;INDF;MASC+FEM;SG	N;MASC;PL
mil	milhas	mil	milha	N;INDF;MASC+FEM;SG	N;FEM;PL
mil	mil	mil	mil	N;INDF;MASC+FEM;SG	NUM
installeret	instalados	installere	instalar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
varmt	quente	varm	quente	ADJ;INDF;NEUT;SG	N;MASC;SG
varmt	gostosa	varm	gostoso	ADJ;INDF;NEUT;SG	N;FEM;SG
varmt	gostosas	varm	gostoso	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
varmt	quentes	varm	quente	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
varmt	quente	varm	quente	ADJ;INDF;NEUT;SG	N;MASC;SG
passere	pass	passere	pass	V;NFIN;ACT	N;MASC;SG
colorado	colorado	colorado	colorar		V;MASC;SG;V.PTCP
fungerende	funcionamento	fungerende	funcionamento	V;PRS;V.PTCP	N;MASC;SG
væske	fluido	væske	fluido	N;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP
væske	fluidos	væske	fluido	N;INDF;MASC+FEM;SG	N;MASC;PL
væske	líquidos	væske	líquido	N;INDF;MASC+FEM;SG	N;MASC;PL
væske	líquido	væske	líquido	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
væske	líquida	væske	líquido	N;INDF;MASC+FEM;SG	ADJ;FEM;SG
mursten	tijolos	mursten	tijolo	N;DEF;MASC+FEM;SG	N;MASC;PL
mursten	tijolos	mursten	tijolo	N;DEF;MASC+FEM;SG	N;MASC;PL
monica	monica	monica	monicar		N;FEM;SG
monica	mônica	monica	mônica		N;FEM;SG
monica	mónica	monica	mónico		N;FEM;SG
udkommet	publicados	udkomme	publicar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
udkommet	publicadas	udkomme	publicar	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
inkluderede	incluído	inkludere	incluir	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
inkluderede	incluso	inkludere	incluso	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
inkluderede	incluido	inkludere	incluir	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
unikke	único	unik	único	ADJ;PL	ADJ;MASC;SG
unikke	única	unik	único	ADJ;PL	ADJ;FEM;SG
banks	bancos	banks	banco	N;INDF;MASC+FEM;SG	N;MASC;PL
tove	cordas	tov	corda	N;INDF;MASC+FEM;SG	N;FEM;PL
jupiter	júpiter	jupiter	júpiter		N;MASC;SG
skygge	sombras	skygge	sombra	N;INDF;MASC+FEM;SG	N;FEM;PL
skygge	sombras	skygge	sombra	N;INDF;MASC+FEM;SG	N;FEM;PL
passage	cruzando	passage	cruzar	N;INDF;MASC+FEM;SG	V;V.MSDR
torv	quadrados	torv	quadrados	N;INDF;NEUT;SG	N;MASC;PL
betty	betty	betty	betty		N;FEM;SG
levet	morava	leve	morar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
levet	vivia	leve	viver	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
afslører	revele	afsløre	revelar	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS;FIN
eksperimenter	experimentação	eksperiment	experimentação	N;INDF;MASC+FEM;PL	N;FEM;SG
eksperimenter	experimentação	eksperiment	experimentação	N;INDF;MASC+FEM;PL	N;FEM;SG
eksperimenter	experiência	eksperiment	experiência	N;INDF;MASC+FEM;PL	N;FEM;SG
eksperimenter	experimento	eksperiment	experimento	N;INDF;MASC+FEM;PL	N;MASC;SG
eksperimenter	experimentação	eksperiment	experimentação	N;INDF;MASC+FEM;PL	N;FEM;SG
måler	medição	måle	medição	V;IND;PRS;FIN;ACT	N;FEM;SG
måler	medidor	måle	medidor	V;IND;PRS;FIN;ACT	N;MASC;SG
måler	contador	måle	contador	V;IND;PRS;FIN;ACT	N;MASC;SG
måler	métrica	måle	métrico	V;IND;PRS;FIN;ACT	N;FEM;SG
atlantic	atlântica	atlantic	atlântico		N;FEM;SG
atlantic	atlântico	atlantic	atlântico		N;MASC;SG
daf	daf	daf	daf		N;MASC;SG
dick	pila	dick	pila		N;FEM;SG
dick	dick	dick	dick		N;MASC;SG
spiser	coma	spise	coma	V;IND;PRS;FIN;ACT	N;MASC;SG
skift	alternar	skift	alternar	N;INDF;NEUT;SG	V;NFIN
skift	troque	skift	trocar	N;INDF;NEUT;SG	V;SBJV;SG;3;PRS;FIN
skift	trocar	skift	trocar	N;INDF;NEUT;SG	V;NFIN
skift	mudar	skift	mudar	N;INDF;NEUT;SG	V;NFIN
skift	mudanças	skift	mudança	N;INDF;NEUT;SG	N;FEM;PL
skift	turnos	skift	turno	N;INDF;NEUT;SG	N;MASC;PL
helene	helene	hel	helene	N;DEF;MASC+FEM;PL	N;FEM;SG
ordning	arranjos	ordning	arranjo	N;INDF;MASC+FEM;SG	N;MASC;PL
ordning	arranjos	ordning	arranjo	N;INDF;MASC+FEM;SG	N;MASC;PL
spin	girar	spin	girar	N;INDF;NEUT;SG	V;NFIN
boris	boris	boris	bori		N;MASC;SG
output	saídas	output	saída	N;INDF;NEUT;SG	N;FEM;PL
montreal	montreal	montreal	montreal		N;MASC;SG
overskud	lucros	overskud	lucro	N;INDF;NEUT;SG	N;MASC;PL
overskud	excedentes	overskud	excedente	N;INDF;NEUT;SG	N;MASC;PL
overskud	excedentes	overskud	excedente	N;INDF;NEUT;SG	N;MASC;PL
overskud	lucros	overskud	lucro	N;INDF;NEUT;SG	N;MASC;PL
krydse	cruzamento	krydse	cruzamento	V;NFIN;ACT	N;MASC;SG
krydse	travessia	krydse	travessia	V;NFIN;ACT	N;FEM;SG
krydse	cruz	krydse	cruz	V;NFIN;ACT	N;FEM;SG
krydse	cross	krydse	cross	V;NFIN;ACT	N;MASC;SG
organisk	orgânicas	organisk	orgânico	ADV	N;FEM;PL
organisk	orgânica	organisk	orgânico	ADV	N;FEM;SG
organisk	orgânico	organisk	orgânico	ADV	N;MASC;SG
organisk	orgânicos	organisk	orgânico	ADV	N;MASC;PL
julian	julian	julian	julian		N;MASC;SG
julian	juliano	julian	juliano		N;MASC;SG
julian	julián	julian	julián		N;MASC;SG
biologisk	biológica	biologisk	biológico	ADV	ADJ;FEM;SG
biologisk	biológicas	biologisk	biológico	ADV	N;FEM;PL
biologisk	biológicos	biologisk	biológico	ADV	ADJ;MASC;PL
biologisk	biológico	biologisk	biológico	ADV	ADJ;MASC;SG
paulo	paulo	paulo	paulo	PROPN	N;MASC;SG
nyligt	recentes	nyligt	recente	ADV	N;MASC;PL
nyligt	recente	nyligt	recente	ADV	ADJ;MASC;SG
mexicanske	mexicanos	mexicansk	mexicano	ADJ;PL	N;MASC;PL
mexicanske	mexicana	mexicansk	mexicano	ADJ;PL	N;FEM;SG
mexicanske	mexicanas	mexicansk	mexicano	ADJ;PL	N;FEM;PL
mexicanske	mexicano	mexicansk	mexicano	ADJ;PL	N;MASC;SG
skarpt	afiada	skarpt	afiar	ADV	V;FEM;SG;V.PTCP
skarpt	sharp	skarpt	sharp	ADV	N;MASC;SG
skarpt	afiados	skarpt	afiado	ADV	V;MASC;PL;V.PTCP
skarpt	afiado	skarpt	afiar	ADV	V;MASC;SG;V.PTCP
forstæder	subúrbio	forståde	subúrbio	N;INDF;MASC+FEM;PL	N;MASC;SG
forstæder	suburbano	forståde	suburbano	N;INDF;MASC+FEM;PL	ADJ;MASC;SG
forstæder	suburbana	forståde	suburbano	N;INDF;MASC+FEM;PL	N;FEM;SG
forstæder	periferia	forståde	periferia	N;INDF;MASC+FEM;PL	N;FEM;SG
begravelse	funerais	begravelse	funeral	N;INDF;MASC+FEM;SG	N;MASC;PL
nederlaget	derrotas	nederlag	derrota	N;DEF;NEUT;SG	N;FEM;PL
nederlaget	derrotar	nederlag	derrotar	N;DEF;NEUT;SG	V;NFIN
forandring	mudar	forandring	mudar	N;INDF;MASC+FEM;SG	V;NFIN
forandring	mudanças	forandring	mudança	N;INDF;MASC+FEM;SG	N;FEM;PL
følelse	emoções	følelse	emoção	N;INDF;MASC+FEM;SG	N;FEM;PL
følelse	sentindo	følelse	sentir	N;INDF;MASC+FEM;SG	V;V.MSDR
rygter	boato	rygte	boato	N;INDF;NEUT;PL	N;MASC;SG
rygter	rumor	rygte	rumor	N;INDF;NEUT;PL	N;MASC;SG
rygter	boato	rygte	boato	N;INDF;NEUT;PL	N;MASC;SG
rygter	rumor	rygte	rumor	N;INDF;NEUT;PL	N;MASC;SG
indflydelsesrige	influente	indflydelsesrig	influente	ADJ;PL	ADJ;MASC;SG
stiftelse	fundações	stiftelse	fundação	N;INDF;MASC+FEM;SG	N;FEM;PL
separate	separe	separat	separe	N;INDF;NEUT;SG	V;SBJV;SG;3;PRS;FIN
separate	separado	separat	separar	N;INDF;NEUT;SG	V;MASC;SG;V.PTCP
separate	separados	separat	separar	N;INDF;NEUT;SG	V;MASC;PL;V.PTCP
separate	separar	separat	separar	N;INDF;NEUT;SG	V;NFIN
ottende	oitava	otte	oitavo	ADJ	N;FEM;SG
ivar	ivar	ivar	ivar		N;MASC;SG
indbygget	incorporados	indbygge	incorporar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
indbygget	embutidos	indbygge	embutir	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
indbygget	construídos	indbygge	construir	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
indbygget	construídas	indbygge	construir	V;INDF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
indbygget	incorporados	indbygge	incorporar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
diana	diana	diana	diana		N;FEM;SG
enorm	enormes	enorm	enorme	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
enorm	imensas	enorm	imenso	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
enorm	imenso	enorm	imenso	ADJ;INDF;MASC+FEM;SG	ADV
teologisk	teológica	teologisk	teológico	ADV	N;FEM;SG
tilbagetrækning	levantamentos	tilbagetrækning	levantamento	N;INDF;MASC+FEM;SG	N;MASC;PL
tilbagetrækning	retiradas	tilbagetrækning	retirar	N;INDF;MASC+FEM;SG	V;FEM;PL;V.PTCP
tilbagetrækning	retire	tilbagetrækning	retire	N;INDF;MASC+FEM;SG	V;SBJV;SG;3;PRS;FIN
tilbagetrækning	retirar	tilbagetrækning	retirar	N;INDF;MASC+FEM;SG	V;NFIN
mus	ratos	mus	rato	N;INDF;MASC+FEM;SG	N;MASC;PL
mus	ratinhos	mus	ratinho	N;INDF;MASC+FEM;SG	N;MASC;PL
virkelighed	realidades	virkelighed	realidade	N;INDF;MASC+FEM;SG	N;FEM;PL
über	über	über	über	V;IND;PST;FIN;ACT	N;MASC;SG
cleveland	cleveland	cleveland	cleveland		N;MASC;SG
elseif	elseif	elseif	elseif		N;MASC;SG
jer	jer	I	jer	PRO;ACC;MASC+FEM;PL;2	N;MASC;SG
saa	aea	saa	aea	ADV	N;FEM;SG
gravsted	grave	gravsted	grave	N;INDF;NEUT;SG	ADJ;MASC;SG
vanskelig	difíceis	vanskelig	difícil	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
holmes	holmes	holme	holme	V;NFIN;PASS	N;MASC;SG
skyldig	culpada	skyldig	culpar	ADJ;INDF;MASC+FEM;SG	V;FEM;SG;V.PTCP
skyldig	culpado	skyldig	culpar	ADJ;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP
skyldig	culpados	skyldig	culpar	ADJ;INDF;MASC+FEM;SG	V;MASC;PL;V.PTCP
marker	fields	mark	field	N;INDF;MASC+FEM;PL	N;MASC;SG
marker	mark	mark	mark	N;INDF;MASC+FEM;PL	N;MASC;SG
marker	marcar	mark	marcar	N;INDF;MASC+FEM;PL	V;NFIN
marker	marca	mark	marca	N;INDF;MASC+FEM;PL	N;FEM;SG
ted	ted	ted	ted		N;MASC;SG
tree	árvore	tree	árvore		N;FEM;SG
tree	arvore	tree	arvore		N;FEM;SG
tree	tre	tree	tre		N;MASC;SG
porto	porto	porto	porto		N;MASC;SG
enkel	simple	enkel	simple	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
balkan	bálcãs	balkan	bálcã		N;MASC;PL
balkan	balcãs	balkan	balcã		N;MASC;PL
balkan	bálcãs	balkan	bálcã		N;MASC;PL
balkan	balcãs	balkan	balcã		N;MASC;PL
tilbagevendende	recorrentes	tilbagevendende	recorrente	V;PRS;V.PTCP	ADJ;MASC;PL
tilbagevendende	recorrente	tilbagevendende	recorrente	V;PRS;V.PTCP	ADJ;MASC;SG
tilbagevendende	recorrentes	tilbagevendende	recorrente	V;PRS;V.PTCP	ADJ;MASC;PL
tilbagevendende	recorrente	tilbagevendende	recorrente	V;PRS;V.PTCP	ADJ;MASC;SG
svaret	responde	svar	responder	N;DEF;NEUT;SG	V;IND;SG;3;PRS;FIN
svaret	responder	svar	responder	N;DEF;NEUT;SG	V;NFIN
svaret	responda	svar	responder	N;DEF;NEUT;SG	V;SBJV;SG;3;PRS;FIN
edgar	edgar	edgar	edgar		N;MASC;SG
angels	anjos	angels	anjo	N;INDF;MASC+FEM;SG	N;MASC;PL
dæk	pneu	dæk	pneu	N;INDF;NEUT;PL	N;MASC;SG
dæk	convés	dæk	convés	N;INDF;NEUT;PL	N;MASC;SG
dæk	baralho	dæk	baralho	N;INDF;NEUT;PL	N;MASC;SG
dæk	deck	dæk	deck	N;INDF;NEUT;PL	N;MASC;SG
dæk	cobertura	dæk	cobertura	N;INDF;NEUT;PL	N;FEM;SG
dæk	cover	dæk	cover	N;INDF;NEUT;PL	N;MASC;SG
dæk	cubra	dæk	cubrar	N;INDF;NEUT;PL	V;SBJV;SG;3;PRS;FIN
dæk	cobrir	dæk	cobrir	N;INDF;NEUT;PL	V;NFIN
dæk	capa	dæk	capa	N;INDF;NEUT;PL	N;FEM;SG
dæk	pneu	dæk	pneu	N;INDF;NEUT;PL	N;MASC;SG
metropolitan	metropolitanas	metropolitan	metropolitano	N;INDF;MASC+FEM;SG	N;FEM;PL
drømme	sonhar	drøm	sonhar	N;INDF;MASC+FEM;PL	V;NFIN
drømme	dream	drøm	dream	N;INDF;MASC+FEM;PL	N;MASC;SG
drømme	sonho	drøm	sonho	N;INDF;MASC+FEM;PL	N;MASC;SG
drømme	sonha	drøm	sonhar	N;INDF;MASC+FEM;PL	V;IND;SG;3;PRS;FIN
drømme	dreams	drøm	dreams	N;INDF;MASC+FEM;PL	N;MASC;SG
drømme	sonhando	drøm	sonhar	N;INDF;MASC+FEM;PL	V;V.MSDR
drømme	sonhar	drøm	sonhar	N;INDF;MASC+FEM;PL	V;NFIN
neil	neil	neil	neil		N;MASC;SG
duo	duo	duo	duo		N;MASC;SG
hjulpet	ajudaram	hjælpe	ajudar	V;INDF;SG;PST;V.PTCP	V;IND;PL;3;FIN
hjulpet	ajudados	hjælpe	ajudar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
registrerede	registrada	registrere	registrar	V;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
registrerede	registada	registrere	registar	V;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
registrerede	registrado	registrere	registrar	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
registrerede	registado	registrere	registar	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
eyes	eyes	eyes	eyes		N;MASC;SG
eyes	olhos	eyes	olho		N;MASC;PL
gulvet	andar	gulv	andar	N;DEF;NEUT;SG	V;NFIN
estisk	estoniano	estisk	estoniano	ADJ;INDF;SG	N;MASC;SG
estisk	estónia	estisk	estónia	ADJ;INDF;SG	N;FEM;SG
estisk	estônia	estisk	estônia	ADJ;INDF;SG	N;FEM;SG
estisk	estónio	estisk	estónio	ADJ;INDF;SG	N;MASC;SG
maryland	maryland	maryland	maryland		N;MASC;SG
bemærkelsesværdige	notável	bemærkelsesværdig	notável	ADJ;PL	ADJ;MASC;SG
bemærkelsesværdige	notável	bemærkelsesværdig	notável	ADJ;PL	ADJ;MASC;SG
bemærkelsesværdige	notável	bemærkelsesværdig	notável	ADJ;PL	ADJ;MASC;SG
buenos	buenos	bue	bueno	N;DEF;MASC+FEM;SG	N;MASC;PL
skulpturer	escultura	skulptur	escultura	N;INDF;MASC+FEM;PL	N;FEM;SG
brande	fire	brand	fire	N;INDF;MASC+FEM;PL	N;MASC;SG
brande	fogueira	brand	fogueira	N;INDF;MASC+FEM;PL	N;FEM;SG
brande	fogo	brand	fogo	N;INDF;MASC+FEM;PL	N;MASC;SG
brande	incêndio	brand	incêndio	N;INDF;MASC+FEM;PL	N;MASC;SG
control	controle	control	controle		N;MASC;SG
control	control	control	control		N;MASC;SG
control	controlo	control	controlo		N;MASC;SG
eduard	eduard	eduard	eduard		N;MASC;SG
oklahoma	oklahoma	oklahoma	oklahoma		N;MASC;SG
grafisk	gráfica	grafisk	gráfico	ADV	N;FEM;SG
grafisk	gráfico	grafisk	gráfico	ADV	N;MASC;SG
grafisk	gráficos	grafisk	gráfico	ADV	N;MASC;PL
grafisk	gráficos	grafisk	gráfico	ADV	N;MASC;PL
flot	belo	flot	belo	ADJ;INDF;SG	N;MASC;SG
flot	nice	flot	nice	ADJ;INDF;SG	N;MASC;SG
flot	bonitão	flot	bonitão	ADJ;INDF;SG	N;MASC;SG
sierra	serra	sierra	serra		PROPN;MASC;SG
nazistiske	nazista	nazistisk	nazista	ADJ;PL	N;MASC;SG
nazistiske	nazi	nazistisk	nazi	ADJ;PL	N;MASC;SG
nazistiske	nazis	nazistisk	nazi	ADJ;PL	N;MASC;PL
nazistiske	nazistas	nazistisk	nazista	ADJ;PL	N;MASC;PL
tung	pesado	tung	pesar	ADJ;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP
tung	heavy	tung	heavy	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
tung	pesadas	tung	pesar	ADJ;INDF;MASC+FEM;SG	V;FEM;PL;V.PTCP
tung	pesados	tung	pesar	ADJ;INDF;MASC+FEM;SG	V;MASC;PL;V.PTCP
tung	pesada	tung	pesar	ADJ;INDF;MASC+FEM;SG	V;FEM;SG;V.PTCP
tung	tung	tung	tung	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
trænet	treinados	træne	treinar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
byzantinske	bizantina	byzantinsk	bizantina	ADJ;PL	N;FEM;SG
byzantinske	bizantinos	byzantinsk	bizantino	ADJ;PL	N;MASC;PL
byzantinske	bizantino	byzantinsk	bizantino	ADJ;PL	N;MASC;SG
forventet	esperava	forvente	esperar	V;INDF;SG;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
forventet	esperados	forvente	esperar	V;INDF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
harrison	harrison	harrison	harrison		N;MASC;SG
gaza	gaza	gaza	gaza	PROPN	N;FEM;SG
grey	cinzenta	grey	cinzento		ADJ;FEM;SG
grey	cinzento	grey	cinzento		ADJ;MASC;SG
grey	cinza	grey	cinza		N;FEM;SG
grey	grey	grey	grey		N;MASC;SG
grey	cinzentos	grey	cinzento		N;MASC;PL
aires	aires	aires	aire	PROPN	N;MASC;SG
raf	raf	raf	raf	PROPN	N;FEM;SG
sigt	apontar	sigt	apontar	N;INDF;MASC+FEM;SG	V;NFIN
kirk	kirk	kirk	kirk		N;MASC;SG
lodret	verticalmente	loder	verticalmente	ADJ;INDF;SG	ADV
lodret	verticais	loder	vertical	ADJ;INDF;SG	N;MASC;PL
lodret	vertical	loder	vertical	ADJ;INDF;SG	N;MASC;SG
essays	ensaios	essay	ensaio	N;INDF;NEUT;SG	N;MASC;PL
racing	racing	racing	racing		N;MASC;SG
racing	corridas	racing	corrida		N;FEM;PL
racing	corrida	racing	corrida		N;FEM;SG
jamie	jamie	jamie	jamie		N;MASC;SG
kontrollerede	controlada	kontrollere	controlar	V;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
kontrollerede	controlado	kontrollere	controlar	V;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
hunter	caçador	hunte	caçador	N;INDF;MASC+FEM;PL	N;MASC;SG
hunter	caçadora	hunte	caçadora	N;INDF;MASC+FEM;PL	N;FEM;SG
hunter	hunter	hunte	hunter	N;INDF;MASC+FEM;PL	N;MASC;SG
elskede	amava	elske	amavar	V;DEF;SG;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
elskede	amado	elske	amado	V;DEF;SG;PST;V.PTCP	N;MASC;SG
elskede	amada	elske	amada	V;DEF;SG;PST;V.PTCP	N;FEM;SG
elskede	amados	elske	amado	V;DEF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
elskede	amadas	elske	amada	V;DEF;SG;PST;V.PTCP	V;FEM;PL;V.PTCP
elskede	amada	elske	amada	V;DEF;SG;PST;V.PTCP	N;FEM;SG
elskede	amado	elske	amado	V;DEF;SG;PST;V.PTCP	N;MASC;SG
elskede	amados	elske	amado	V;DEF;SG;PST;V.PTCP	V;MASC;PL;V.PTCP
dramatiske	dramática	dramatisk	dramático	ADJ;PL	N;FEM;SG
dramatiske	dramático	dramatisk	dramático	ADJ;PL	ADJ;MASC;SG
farlig	perigosos	farlig	perigoso	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
farlig	perigosas	farlig	perigoso	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
farlig	perigosos	farlig	perigoso	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
