политехнический	politehnični	политехнический	politehničen	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
печатных	natisnjeno	печатный	natisnjen	ADJ;GEN;PL	ADJ;NOM;NEUT;SG;V.PTCP
печатных	tiskano	печатный	tiskan	ADJ;GEN;PL	N;NOM;NEUT;SG
северное	severno	северный	severen	ADJ;NOM;NEUT;SG	ADV
северное	severne	северный	severen	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
ценностей	vrednosti	ценность	vrednost	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
ценностей	vrednote	ценность	vrednota	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
квадратный	kvadratnih	квадратный	kvadraten	ADJ;NOM;MASC;SG	ADJ;GEN;MASC;PL
квадратный	kvadrat	квадратный	kvadrat	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
малайзии	malezija	малайзия	malezija	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
малайзии	malezijski	малайзия	malezijski	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;SG
одежда	obleke	одежда	obleka	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
одежда	oblačil	одежда	oblačilo	N;INAN;NOM;FEM;SG	N;GEN;NEUT;PL
одежда	oblačila	одежда	oblačilo	N;INAN;NOM;FEM;SG	N;NOM;NEUT;PL
одежда	obleke	одежда	obleka	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
одежда	oblačila	одежда	oblačilo	N;INAN;NOM;FEM;SG	N;NOM;NEUT;PL
промышленные	industrijsko	промышленный	industrijsko	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
промышленные	industrijska	промышленный	industrijski	ADJ;NOM;PL	ADJ;NOM;FEM;SG
промышленные	industrijski	промышленный	industrijski	ADJ;NOM;PL	ADJ;NOM;MASC;SG
тяжёлая	težki	тяжелый	težek	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
тяжёлая	težke	тяжелый	težek	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
мкс	cie	мкс	cie	N;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
оппонентов	nasprotniki	оппонент	nasprotnik	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
оппонентов	nasprotnike	оппонент	nasprotnik	N;ANIM;GEN;MASC;PL	N;ACC;MASC;PL
вдова	vdovo	вдова	vdova	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG
вдова	vdove	вдова	vdova	N;ANIM;NOM;FEM;SG	N;NOM;FEM;PL
грибы	goba	гриб	goba	N;INAN;NOM;MASC;PL	N;NOM;FEM;SG
идеологии	ideologije	идеология	ideologija	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
идеологии	ideologije	идеология	ideologija	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
разрешить	dovoljenje	разрешить	dovoljenje	V;PFV;NFIN;ACT	N;NOM;NEUT;SG
признали	priznana	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
признали	priznan	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
признали	priznani	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
признали	priznan	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
признали	priznana	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
признали	priznano	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
признали	priznane	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;FEM;PL;V.PTCP
признали	priznan	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
признали	prepoznal	признать	prepoznati	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
признали	priznana	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
признали	priznano	признать	priznan	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
верфи	ladjedelnica	верфь	ladjedelnica	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
псевдонимы	vzdevke	псевдоним	vzdevka	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
законодательство	zakonodajo	законодательство	zakonodaja	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
ганс	hans	ганс	hans	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
сзади	iza	сзади	iza	ADV	PROPN;NOM;MASC;SG
сзади	zadaj	сзади	zadaj	ADV	
иллинойс	illinois	иллинойс	illinois	N;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
тон	tona	тон	tona	N;INAN;NOM;MASC;SG	N;NOM;MASC;DU
планете	planet	планета	planet	N;INAN;DAT;FEM;SG	N;NOM;MASC;SG
планете	planeta	планета	planet	N;INAN;DAT;FEM;SG	N;NOM;MASC;SG
леви	levi	лев	lev	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
леви	dajatev	лев	dajatev	N;ANIM;NOM;MASC;SG	N;GEN;FEM;SG
потомков	potomci	потомок	potomec	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
потомков	potomci	потомок	potomec	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
регистр	registrira	регистр	registrirati	N;INAN;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
творческий	ustvarjalno	творческий	ustvarjalno	ADJ;NOM;MASC;SG	ADV
геологии	geologija	геология	geologija	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
химический	kemikalija	химический	kemikalija	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
ближайший	najbližje	близкий	ulizek	ADJ;NOM;RL;MASC;SG	ADV;RL
ближайший	najbliže	близкий	najbliža	ADJ;NOM;RL;MASC;SG	ADV;RL
ближайший	najbližje	близкий	ulizek	ADJ;NOM;RL;MASC;SG	ADV;RL
нижние	spodnji	нижний	spodnji	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
нижние	nižja	нижний	nizek	ADJ;NOM;PL	ADJ;NOM;CMPR;FEM;SG
нижние	nižje	нижний	nizek	ADJ;NOM;PL	ADJ;NOM;CMPR;NEUT;SG
нижние	spodnja	нижний	spodnji	ADJ;NOM;PL	ADJ;NOM;FEM;SG
чистой	cist	чистый	cist	ADJ;INS;FEM;SG	
чистой	čist	чистый	čist	ADJ;INS;FEM;SG	
украинцы	ukrajinski	украинец	ukrajinski	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;SG
продолжая	nadaljevanje	продолжать	nadaljevanje	V;IPFV;PRS;V.CVB;ACT	N;NOM;NEUT;SG
среду	srede	среда	sreda	N;INAN;ACC;FEM;SG	
среду	sreda	среда	sreda	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
уголовное	kriminalec	уголовный	kriminalec	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
уголовное	kazenskih	уголовный	kazenski	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;PL
капитал	kapitala	капитал	kapital	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
росс	rossa	росс	rossa		N;NOM;MASC;SG
росс	ross	росс	ross		PROPN;NOM;MASC;SG
гвинеи	gvineji	гвинец	gvinej	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
гвинеи	gvineja	гвинец	gvinej	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
гвинеи	gvinejo	гвинец	gvineja	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
гвинеи	gvinejski	гвинец	gvinejski	N;INAN;NOM;FEM;PL	ADJ;NOM;MASC;SG
вкус	okusi	вкус	okusiti	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
трудящихся	delavci	трудящийся	delavec	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
трудящихся	delavce	трудящийся	delavec	N;ANIM;GEN;MASC;PL	N;ACC;MASC;PL
ставки	stavil	ставка	staviti	N;INAN;NOM;FEM;PL	V;MASC;SG;V.PTCP
люблю	ljubezni	любить	ljubezen	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;GEN;FEM;SG
люблю	love	любить	lova	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;MASC;SG
люблю	ljubezen	любить	ljubezen	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;FEM;SG
подруга	punco	подруга	punca	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG
подруга	prijateljico	подруга	prijateljica	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG
сицилии	sicilija	сицилия	sicilij	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
клиентов	stranka	клиент	stranka	N;ANIM;GEN;MASC;PL	N;NOM;FEM;SG
клиентов	odjemalec	клиент	odjemalec	N;ANIM;GEN;MASC;PL	N;NOM;MASC;SG
клиентов	kupci	клиент	kupec	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
клиентов	stranke	клиент	stranka	N;ANIM;GEN;MASC;PL	N;NOM;FEM;PL
клиентов	klienti	клиент	klient	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
клиентов	stranke	клиент	stranka	N;ANIM;GEN;MASC;PL	N;NOM;FEM;PL
выпускник	diplomiral	выпускник	diplomirati	N;ANIM;NOM;MASC;SG	V;MASC;SG;V.PTCP
успенский	uspenski	успенский	uspenski	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
гвинея	gvinejo	гвинее	gvineja	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
реформа	reforme	реформа	reforma	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
реформа	reformo	реформа	reforma	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
войти	prijava	войти	prijava	V;PFV;NFIN;ACT	N;NOM;FEM;SG
войти	vstop	войти	vstop	V;PFV;NFIN;ACT	N;NOM;MASC;SG
дева	device	дева	devica	N;ANIM;NOM;FEM;SG	N;NOM;FEM;PL
дева	dekliško	дева	dekliški	N;ANIM;NOM;FEM;SG	ADJ;NOM;NEUT;SG
дева	dekliški	дева	dekliški	N;ANIM;NOM;FEM;SG	ADJ;NOM;MASC;SG
травму	travme	травма	travme	N;INAN;ACC;FEM;SG	N;NOM;FEM;PL
травму	travma	травма	travma	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
висит	obešen	висеть	obešen	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
висит	obešanje	висеть	obešanje	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;NEUT;SG
полицейских	policisti	полицейский	policist	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
конвенции	konvencija	конвенция	konvencija	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
конвенции	konvencijo	конвенция	konvencija	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
конвенции	konvencij	конвенция	konvencija	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
местоположения	lokacij	местоположение	lokacija	N;INAN;NOM;NEUT;PL	N;GEN;FEM;PL
душа	duši	душа	dušiti	N;INAN;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN
душа	dušo	душа	duša	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
медведь	medvedka	медведь	medvedek	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
медведь	medvedje	медведь	medvedje	N;ANIM;NOM;MASC;SG	N;NOM;MASC;PL
чёрное	črne	черный	črn	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
эхо	odmeva	эхо	odmeva	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN
кипра	ciper	кипр	ciper	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
кипра	cipru	кипр	ciper	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
быстрый	hitro	быстрый	hitro	ADJ;NOM;MASC;SG	ADV
быстрый	hitro	быстрый	hitro	ADJ;NOM;MASC;SG	ADV
тан	tang	тан	tang	PART	N;NOM;MASC;SG
тан	tan	тан	tan	PART	PROPN;NOM;MASC;SG
курт	kurt	курт	kurt	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
курт	curt	курт	curta	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ширину	širina	ширина	širina	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
нации	narod	нация	narod	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
джин	jin	джин	jin	PART	PROPN;NOM;MASC;SG
джин	gin	джин	gin	PART	N;NOM;MASC;SG
джин	jean	джин	jean	PART	PROPN;NOM;MASC;SG
джин	gene	джин	gen	PART	N;NOM;MASC;PL
джин	gen	джин	gen	PART	N;NOM;MASC;SG
продано	prodani	продать	prodan	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;MASC;PL;V.PTCP
продано	prodano	продать	prodan	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;V.PTCP
продано	prodana	продать	prodan	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG;V.PTCP
продано	prodan	продать	prodan	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG;V.PTCP
мощный	močni	мощный	močen	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
мощный	močno	мощный	močno	ADJ;NOM;MASC;SG	ADV
кругах	krogi	круг	krog	N;INAN;ESS;MASC;PL	N;NOM;MASC;PL
кругах	kroge	круг	krog	N;INAN;ESS;MASC;PL	N;ACC;MASC;PL
кругах	krogov	круг	krog	N;INAN;ESS;MASC;PL	N;GEN;MASC;PL
записать	plošča	записать	plošča	V;PFV;NFIN;ACT	N;NOM;FEM;SG
записать	rekord	записать	rekord	V;PFV;NFIN;ACT	N;NOM;MASC;SG
записать	zapis	записать	zapis	V;PFV;NFIN;ACT	N;NOM;MASC;SG
испанская	španščina	испанский	španščina	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
разнообразные	raznolika	разнообразный	raznolik	ADJ;NOM;PL	ADJ;NOM;FEM;SG
мол	mal	мол	malo	ADV	
мол	mol	мол	mola	ADV	PROPN;NOM;MASC;SG
льда	led	лед	led	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
льда	ice	лед	ice	N;INAN;GEN;MASC;SG	
льда	ledom	лед	led	N;INAN;GEN;MASC;SG	N;DAT;MASC;PL
северные	severna	северный	severen	ADJ;NOM;PL	ADJ;NOM;FEM;SG
северные	severno	северный	severen	ADJ;NOM;PL	ADV
северные	severni	северный	severen	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
сопровождении	pospremili	сопровождение	pospremiti	N;INAN;ESS;NEUT;SG	V;PFV;MASC;PL;V.PTCP
зимний	zimo	зимний	zima	ADJ;NOM;MASC;SG	N;ACC;FEM;SG
зимний	zima	зимний	zima	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
зимний	winter	зимний	winter	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
немецкое	nemec	немецкий	nemec	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
немецкое	nemščina	немецкий	nemščina	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG
норвежский	norveške	норвежский	norveški	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
командиров	poveljniki	командир	poveljnik	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
взяв	jemanje	брать	jemanje	V;PFV;PST;V.CVB;ACT	N;NOM;NEUT;SG
дополнительная	dodatno	дополнительный	dodatno	ADJ;NOM;FEM;SG	ADV
дополнительная	dodatno	дополнительный	dodatno	ADJ;NOM;FEM;SG	ADV
дополнительная	ekstra	дополнительный	ekstra	ADJ;NOM;FEM;SG	
дополнительная	extra	дополнительный	extra	ADJ;NOM;FEM;SG	
десятилетий	desetletji	десятилетие	desetletje	N;INAN;GEN;NEUT;PL	N;NOM;NEUT;PL
десятилетий	desetletjih	десятилетие	desetletje	N;INAN;GEN;NEUT;PL	N;ESS;NEUT;PL
десятилетий	desetletja	десятилетие	desetletje	N;INAN;GEN;NEUT;PL	N;NOM;NEUT;PL
выросла	rasel	вырасти	rasti	V;PFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;SG;V.PTCP
гостиницы	hotele	гостиница	hoteti	N;INAN;NOM;FEM;PL	V;IPFV;FEM;PL;V.PTCP
гостиницы	hoteli	гостиница	hoteti	N;INAN;NOM;FEM;PL	V;IPFV;MASC;PL;V.PTCP
гостиницы	hotelov	гостиница	hotel	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
конкретный	specifično	конкретный	specifično	ADJ;NOM;MASC;SG	ADV
конкретный	specifični	конкретный	specifičen	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
конкретный	konkretno	конкретный	konkretno	ADJ;NOM;MASC;SG	ADV
конкретный	konkretne	конкретный	konkreten	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
конкретный	beton	конкретный	beton	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
купить	nakup	купить	nakup	V;PFV;NFIN;ACT	N;NOM;MASC;SG
верность	zvestobe	верность	zvestob	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
верность	zvestobo	верность	zvestob	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
верность	zvestobe	верность	zvestob	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
верность	zvestobo	верность	zvestob	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
репутацию	sloves	репутация	sloves	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
репутацию	ugled	репутация	ugled	N;INAN;ACC;FEM;SG	N;NOM;MASC;SG
школьников	šolarji	школьник	šolar	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
коммуникации	komuniciranje	коммуникация	komuniciranje	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
костюм	obleko	костюм	obleka	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
избирательный	selektivni	избирательный	selektiven	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
избирательный	selektivne	избирательный	selektiven	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
избирательный	selektivno	избирательный	selektiven	ADJ;NOM;MASC;SG	ADV
отдельное	ločeni	отдельный	ločen	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL;V.PTCP
крус	cruz	крус	cruz	N;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
отбора	izbira	отбор	izbira	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
отбора	izbor	отбор	izbor	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
отбора	izbiranje	отбор	izbiranje	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
бойцы	borca	боец	borec	N;ANIM;NOM;MASC;PL	N;NOM;MASC;SG
бойцы	borca	боец	borec	N;ANIM;NOM;MASC;PL	N;NOM;MASC;SG
лук	čebulo	лук	čebula	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
прусской	pruski	прусский	pruski	ADJ;INS;FEM;SG	ADJ;NOM;MASC;SG
бабушка	babico	бабушка	babica	N;ANIM;NOM;FEM;SG	N;ACC;FEM;SG
скажите	povej	сказать	povedati	V;PFV;IMP;PL;2;FIN;ACT	V;PFV;IMP;SG;2;FIN
разрешено	pooblaščeni	разрешить	pooblaščen	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;MASC;PL;V.PTCP
