der	на	der	на	DET;NOM;DEF;MASC;SG	ADP;ACC
oder	oder	oder	oder	CONJ	
wird	воля	werden	воля	V;IND;SG;3;PRS;FIN;PASS	N;INAN;NOM;FEM;SG
wird	буде	werden	бути	V;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;FUT;FIN
wird	будуть	werden	бути	V;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;PL;3;FUT;FIN
wird	стає	werden	ставати	V;IND;SG;3;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN
wird	стане	werden	стати	V;IND;SG;3;PRS;FIN;PASS	V;PFV;IND;SG;3;FUT;FIN
durch	thru	durch	thru	ADP	
durch	крізь	durch	крізь	ADP	
durch	наскрізь	durch	наскрізь	ADP	ADV
durch	передивився	durch	передивитися	ADP	V;PFV;MASC;IND;SG;PST;FIN
score	рахунок	scoren	рахунок	PROPN	N;INAN;NOM;MASC;SG
score	результат	scoren	результат	PROPN	N;INAN;NOM;MASC;SG
score	оцінка	scoren	оцінка	PROPN	N;INAN;NOM;FEM;SG
zur	zur	zur	zur		
einen	одна	ein	один	PRO;ACC;INDF;MASC;SG	NUM;NOM;FEM
einen	one	ein	one	PRO;ACC;INDF;MASC;SG	
einen	одне	ein	один	PRO;ACC;INDF;MASC;SG	DET;NOM;NEUT;SG
einen	один	ein	один	PRO;ACC;INDF;MASC;SG	NUM;NOM;MASC
dass	той	dass	той	CONJ	DET;NOM;MASC;SG
über	приблизно	über	приблизно	ADP	ADV
über	інфо	über	інфо	ADP	
über	via	über	via	ADP	
über	віа	über	віа	ADP	
über	закінчилося	über	закінчитися	ADP	V;PFV;NEUT;IND;SG;PST;FIN
über	закінчено	über	закінчити	ADP	V;PFV;IND;0;FIN
über	закінчилась	über	закінчитися	ADP	V;PFV;FEM;IND;SG;PST;FIN
über	вище	über	вище	ADP	ADV;CMPR
wie	як	wie	як	ADP	CONJ
wie	wie	wie	wie	ADP	
wie	подобається	wie	подобатися	ADP	V;IPFV;IND;SG;3;PRS;FIN
wie	зразок	wie	зразок	ADP	N;INAN;NOM;MASC;SG
wie	like	wie	like	ADP	
nur	лише	nur	лише	ADV	PART
nur	тільки	nur	тільки	ADV	PART
nur	нур	nur	нур	ADV	
nur	просто	nur	просто	ADV	PART
noch	still	noch	still	ADV	
noch	ані	noch	ані	ADV	INTJ
unter	unter	unter	unter	ADP	
unter	under	unter	under	ADP	
hat	шапка	haben	шапка	V;IND;SG;3;PRS;FIN	N;INAN;NOM;FEM;SG
hat	капелюх	haben	капелюю	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
artikel	стаття	artikel	стаття	ADJ	N;INAN;NOM;FEM;SG
artikel	статтю	artikel	стаття	ADJ	N;INAN;ACC;FEM;SG
artikel	елементів	artikel	елемент	ADJ	N;INAN;GEN;MASC;PL
artikel	пункти	artikel	пункт	ADJ	N;INAN;NOM;MASC;PL
artikel	елементи	artikel	елемент	ADJ	N;INAN;NOM;MASC;PL
artikel	статті	artikel	стаття	ADJ	N;INAN;NOM;FEM;PL
artikel	статтями	artikel	стаття	ADJ	N;INAN;INS;FEM;PL
artikel	статей	artikel	стаття	ADJ	N;INAN;GEN;FEM;PL
man	людина	man	людина	PRO;NOM;INDF;SG	N;ANIM;NOM;FEM;SG
man	чоловік	man	чоловік	PRO;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
man	мужчина	man	мужчина	PRO;NOM;INDF;SG	N;ANIM;NOM;MASC;SG
man	man	man	man	PRO;NOM;INDF;SG	
vor	front	vor	front	ADP	
vor	спереду	vor	спереду	ADP	ADV
vor	передні	vor	передній	ADP	ADJ;NOM;PL
vor	фронт	vor	фронт	ADP	N;INAN;NOM;MASC;SG
vor	передній	vor	передній	ADP	ADJ;NOM;MASC;SG
vor	pre	vor	pre	ADP	
vor	пре	vor	пре	ADP	
vor	попередньо	vor	попередньо	ADP	ADV
vor	before	vor	before	ADP	
wurden	став	werden	стати	V;IND;PL;3;PST;FIN;PASS	V;PFV;MASC;IND;SG;PST;FIN
wurden	стали	werden	стати	V;IND;PL;3;PST;FIN;PASS	V;PFV;IND;PL;PST;FIN
wurden	стало	werden	стати	V;IND;PL;3;PST;FIN;PASS	V;PFV;NEUT;IND;SG;PST;FIN
wurden	були	werden	бути	V;IND;PL;3;PST;FIN;PASS	V;IPFV;IND;PL;PST;FIN
sein	його	sein	він	DET;NOM;MASC;SG	PRO;ACC;MASC;SG;3
sein	sein	sein	sein	DET;NOM;MASC;SG	
diese	цей	dies	цей	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
diese	ця	dies	цей	PRO;NOM;FEM;SG	DET;NOM;FEM;SG
diese	ці	dies	цей	PRO;NOM;FEM;SG	DET;NOM;PL
vom	від	vom	від		ADP;GEN
vom	vom	vom	vom		
kann	травнева	können	травневий	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG
kann	травня	können	травень	V;IND;SG;3;PRS;FIN	N;INAN;GEN;MASC;SG
kann	травневі	können	травневий	V;IND;SG;3;PRS;FIN	ADJ;NOM;PL
kann	травні	können	травень	V;IND;SG;3;PRS;FIN	ADV
kann	травень	können	травень	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
kann	можна	können	можна	V;IND;SG;3;PRS;FIN	ADV
seine	його	sein	він	DET;NOM;FEM;SG	PRO;ACC;MASC;SG;3
seine	свої	sein	свій	DET;NOM;FEM;SG	DET;NOM;PL;REFL
seine	його	sein	він	DET;NOM;FEM;SG	PRO;ACC;MASC;SG;3
seine	сен	sein	сен	DET;NOM;FEM;SG	
seit	відтоді	seit	відтоді	ADP	ADV
seit	відколи	seit	відколи	ADP	
dieser	цей	dies	цей	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
dieser	ця	dies	цей	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
wenn	коли	wenn	коли	CONJ	ADV
zwei	двійка	zwei	двійка	NUM	N;INAN;NOM;FEM;SG
seiner	його	sein	він	DET;NOM;MASC;SG	PRO;ACC;MASC;SG;3
seiner	свої	sein	свій	DET;NOM;MASC;SG	DET;NOM;PL;REFL
seiner	його	sein	він	DET;NOM;MASC;SG	PRO;ACC;MASC;SG;3
jahre	рік	jahren	рік	ADV	N;INAN;NOM;MASC;SG
jahre	роки	jahren	рік	ADV	N;INAN;NOM;MASC;PL
mai	травнева	mai	травневий	PROPN;NOM;MASC;SG	ADJ;NOM;FEM;SG
mai	травня	mai	травень	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
mai	травневі	mai	травневий	PROPN;NOM;MASC;SG	ADJ;NOM;PL
mai	травні	mai	травень	PROPN;NOM;MASC;SG	ADV
mai	травень	mai	травень	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
mai	май	mai	май	PROPN;NOM;MASC;SG	
isbn	isbn	isbn	isbn	;SG	
was	яка	was	який	PRO;NOM;NEUT;SG	DET;NOM;FEM;SG
was	чим	was	що	PRO;NOM;NEUT;SG	PRO;INAN;INS;NEUT;SG
hatte	мали	haben	мати	V;IND;SG;3;PST;FIN	V;IPFV;IND;PL;PST;FIN
zwischen	intermediate	zwischen	intermediate	ADP	
zwischen	поміж	zwischen	поміж	ADP	
gegen	проти	gegen	проти	ADP	ADV
gegen	проти	gegen	проти	ADP	ADV
keine	жодного	kein	жодний	PRO;NOM;INDF;FEM;SG;NEG	DET;GEN;MASC;SG
keine	відсутнє	kein	відсутній	PRO;NOM;INDF;FEM;SG;NEG	ADJ;NOM;NEUT;SG
keine	немає	kein	немати	PRO;NOM;INDF;FEM;SG;NEG	V;IPFV;IND;SG;3;NEG;PRS;FIN
keine	жодних	kein	жодний	PRO;NOM;INDF;FEM;SG;NEG	DET;GEN;PL
keine	відсутній	kein	відсутній	PRO;NOM;INDF;FEM;SG;NEG	ADJ;NOM;MASC;SG
waren	товари	sein	товар	V;IND;PL;3;PST;FIN	N;INAN;NOM;MASC;PL
waren	доходи	sein	дохід	V;IND;PL;3;PST;FIN	N;INAN;NOM;MASC;PL
waren	були	sein	бути	V;IND;PL;3;PST;FIN	V;IPFV;IND;PL;PST;FIN
waren	засоби	sein	засіб	V;IND;PL;3;PST;FIN	N;INAN;NOM;MASC;PL
waren	товар	sein	товар	V;IND;PL;3;PST;FIN	N;INAN;NOM;MASC;SG
zeit	zeit	zeit	zeit	ADJ	
zeit	строк	zeit	строк	ADJ	N;INAN;NOM;MASC;SG
zeit	період	zeit	період	ADJ	N;INAN;NOM;MASC;SG
zeit	тайм	zeit	тайм	ADJ	N;INAN;NOM;MASC;SG
zeit	час	zeit	час	ADJ	N;INAN;NOM;MASC;SG
stadt	містечко	staden	містечко		N;INAN;NOM;NEUT;SG
stadt	місто	staden	місто		N;INAN;NOM;NEUT;SG
stadt	місто	staden	місто		N;INAN;NOM;NEUT;SG
stadt	міста	staden	місто		N;INAN;NOM;NEUT;SG
stadt	городи	staden	город		N;INAN;NOM;MASC;PL
stadt	містах	staden	місто		N;INAN;ESS;NEUT;PL
stadt	міст	staden	місто		
wieder	back	wieder	back	ADV	
wieder	повернулася	wieder	повернутися	ADV	V;PFV;FEM;IND;SG;PST;FIN
wieder	спина	wieder	спина	ADV	N;INAN;NOM;FEM;SG
haben	маю	haben	мати	V;IND;PL;3;FIN	V;IPFV;IND;SG;1;PRS;FIN
haben	маєш	haben	мати	V;IND;PL;3;FIN	V;IPFV;IND;SG;2;PRS;FIN
haben	have	haben	have	V;IND;PL;3;FIN	
gibt	подано	geben	подати	V;IND;SG;3;PRS;FIN	V;PFV;IND;0;FIN
deutscher	німець	deutsch	німець	ADJ	N;ANIM;NOM;MASC;SG
deutscher	герман	deutsch	герман	ADJ	PROPN;ANIM;NOM;MASC;SG
deutscher	deutscher	deutsch	deutscher	ADJ	
deutscher	німці	deutsch	німець	ADJ	N;ANIM;NOM;MASC;PL
jahren	роки	jahren	рік	ADJ	N;INAN;NOM;MASC;PL
mal	once	mal	once	ADV	
mal	таймс	mal	таймс	ADV	N;INAN;NOM;MASC;SG
mal	час	mal	час	ADV	N;INAN;NOM;MASC;SG
mal	часи	mal	час	ADV	N;INAN;NOM;MASC;PL
mal	times	mal	times	ADV	
mal	mal	mal	mal	ADV	
ersten	перше	erst	перше	ADJ;NOM;PL	ADV
ersten	перша	erst	перший	ADJ;NOM;PL	ADJ;NOM;FEM;SG
ersten	перший	erst	перший	ADJ;NOM;PL	ADJ;NOM;MASC;SG
jedoch	однак	jedoch	однак	ADV	CONJ
jedoch	але	jedoch	але	ADV	CONJ
seed	насіння	seed	насіння		N;INAN;NOM;NEUT;SG
seed	потомство	seed	потомство		N;INAN;NOM;NEUT;SG
siehe	див	sehen	див.	V;IMP;SG;FIN	
siehe	бачите	sehen	бачити	V;IMP;SG;FIN	V;IPFV;IND;PL;2;PRS;FIN
siehe	бачу	sehen	бачити	V;IMP;SG;FIN	V;IPFV;IND;SG;1;PRS;FIN
drei	drei	drei	drei	NUM	
drei	втрьох	drei	втріх	NUM	N;ANIM;NOM;MASC;PL
drei	трійка	drei	трійка	NUM	N;INAN;NOM;FEM;SG
etwa	інфо	etwa	інфо	ADV	
etwa	про	etwa	про	ADV	ADP;ACC
etwa	щодо	etwa	щодо	ADV	ADP;GEN
deutschen	німець	deutsch	німець	ADJ	N;ANIM;NOM;MASC;SG
deutschen	герман	deutsch	герман	ADJ	PROPN;ANIM;NOM;MASC;SG
deutschen	німці	deutsch	німець	ADJ	N;ANIM;NOM;MASC;PL
teil	частина	teil	частина	ADV	N;INAN;NOM;FEM;SG
berlin	берлін	berlin	берлін	PROPN;NOM;NEUT;SG	PROPN;INAN;NOM;MASC;SG
habe	got	haben	got	V;SBJV;SG;3;PRS;FIN	
habe	маю	haben	мати	V;SBJV;SG;3;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN
habe	маєш	haben	мати	V;SBJV;SG;3;PRS;FIN	V;IPFV;IND;SG;2;PRS;FIN
habe	have	haben	have	V;SBJV;SG;3;PRS;FIN	
alle	everybody	alle	everybody	PRO;NOM;INDF;PL	
alle	усі	alle	увесь	PRO;NOM;INDF;PL	DET;NOM;PL
alle	усі	alle	увесь	PRO;NOM;INDF;PL	DET;NOM;PL
alle	всі	alle	весь	PRO;NOM;INDF;PL	DET;NOM;PL
alle	все	alle	все	PRO;NOM;INDF;PL	PRO;INAN;NOM;NEUT;SG
alle	всіх	alle	всі	PRO;NOM;INDF;PL	PRO;ANIM;ACC
alle	всім	alle	всі	PRO;NOM;INDF;PL	PRO;ANIM;DAT
alle	усіх	alle	увесь	PRO;NOM;INDF;PL	DET;GEN;PL
alle	усі	alle	увесь	PRO;NOM;INDF;PL	DET;NOM;PL
alle	усім	alle	усе	PRO;NOM;INDF;PL	PRO;INAN;INS;NEUT;SG
alle	всіх	alle	всі	PRO;NOM;INDF;PL	PRO;ANIM;ACC
alle	алле	alle	алле	PRO;NOM;INDF;PL	
während	підчас	während	підчи	CONJ	
während	поки	während	поки	CONJ	ADV
ihre	своїх	ihr	свій	DET;NOM;FEM;SG	DET;ANIM;ACC;PL;REFL
ihre	їхньому	ihr	їхній	DET;NOM;FEM;SG	PRO;DAT;SG;3
ihre	свої	ihr	свій	DET;NOM;FEM;SG	DET;NOM;PL;REFL
ihre	свої	ihr	свій	DET;NOM;FEM;SG	DET;NOM;PL;REFL
ihre	його	ihr	він	DET;NOM;FEM;SG	PRO;ACC;MASC;SG;3
ihre	твої	ihr	твій	DET;NOM;FEM;SG	DET;NOM;PL;2
ihre	твоє	ihr	твій	DET;NOM;FEM;SG	DET;ACC;NEUT;SG;2
ihre	ваші	ihr	ваш	DET;NOM;FEM;SG	DET;NOM;PL;2
ihre	her	ihr	her	DET;NOM;FEM;SG	
ihre	нею	ihr	вона	DET;NOM;FEM;SG	PRO;INS;FEM;SG;3
ihre	її	ihr	вона	DET;NOM;FEM;SG	PRO;ACC;FEM;SG;3
ihre	їй	ihr	вона	DET;NOM;FEM;SG	PRO;DAT;FEM;SG;3
ihre	твої	ihr	твій	DET;NOM;FEM;SG	DET;NOM;PL;2
ihre	твоє	ihr	твій	DET;NOM;FEM;SG	DET;ACC;NEUT;SG;2
ihre	ваші	ihr	ваш	DET;NOM;FEM;SG	DET;NOM;PL;2
anderen	інший	ander	інший	ADJ;NOM;PL	DET;NOM;MASC;SG
anderen	інша	ander	інший	ADJ;NOM;PL	DET;NOM;FEM;SG
anderen	інші	ander	інший	ADJ;NOM;PL	DET;NOM;PL
anderen	інше	ander	інший	ADJ;NOM;PL	DET;NOM;NEUT;SG
anderen	інших	ander	інший	ADJ;NOM;PL	DET;GEN;PL
anderen	інших	ander	інший	ADJ;NOM;PL	DET;GEN;PL
anderen	інші	ander	інший	ADJ;NOM;PL	DET;NOM;PL
anderen	іншими	ander	інший	ADJ;NOM;PL	DET;INS;PL
später	згодом	spät	згодом	ADJ	ADV
später	пізніше	spät	пізніше	ADJ	ADV;CMPR
später	потому	spät	потому	ADJ	
können	можна	können	можна	V;IND;PL;3;PRS;FIN	ADV
jan	ян	jan	ян	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
mir	мір	ich	мір	PRO;DAT;SG;1	
seinen	його	sein	він	DET;ACC;MASC;SG	PRO;ACC;MASC;SG;3
ihr	ihr	ihr	ihr	PRO;NOM;MASC;SG	
ihr	тобою	ihr	ти	PRO;NOM;MASC;SG	PRO;ANIM;INS;SG;2
ihr	ви	ihr	ви	PRO;NOM;MASC;SG	PRO;ANIM;NOM;PL;2
ihr	тебе	ihr	ти	PRO;NOM;MASC;SG	PRO;ANIM;ACC;SG;2
ihr	твій	ihr	твій	PRO;NOM;MASC;SG	DET;NOM;MASC;SG;2
ihr	твоя	ihr	твій	PRO;NOM;MASC;SG	DET;NOM;FEM;SG;2
ihr	твої	ihr	твій	PRO;NOM;MASC;SG	DET;NOM;PL;2
ihr	твоє	ihr	твій	PRO;NOM;MASC;SG	DET;ACC;NEUT;SG;2
ihr	ваша	ihr	ваш	PRO;NOM;MASC;SG	DET;NOM;FEM;SG;2
ihr	ваші	ihr	ваш	PRO;NOM;MASC;SG	DET;NOM;PL;2
ihr	her	ihr	her	PRO;NOM;MASC;SG	
ihr	нею	ihr	вона	PRO;NOM;MASC;SG	PRO;INS;FEM;SG;3
ihr	її	ihr	вона	PRO;NOM;MASC;SG	PRO;ACC;FEM;SG;3
ihr	їй	ihr	вона	PRO;NOM;MASC;SG	PRO;DAT;FEM;SG;3
gemeinde	парафії	gemeinde	парафія	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
gemeinde	спільноти	gemeinde	спільнота	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
gemeinde	комуни	gemeinde	комуна	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
seinem	його	sein	він	DET;DAT;MASC;SG	PRO;ACC;MASC;SG;3
erste	erste	erst	erste	ADJ;NOM;FEM;PL	
erste	перше	erst	перше	ADJ;NOM;FEM;PL	ADV
erste	перша	erst	перший	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
erste	перший	erst	перший	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
liegt	брехня	liegen	брехня	V;IND;SG;3;PRS;FIN	N;INAN;NOM;FEM;SG
liegt	брехні	liegen	брехня	V;IND;SG;3;PRS;FIN	N;INAN;ACC;FEM;PL
august	серпні	augusten	серпень	PROPN;NOM;MASC;SG	ADV
august	серпня	augusten	серпень	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
august	серпень	augusten	серпень	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
august	aug	augusten	aug	PROPN;NOM;MASC;SG	
august	август	augusten	август	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
sollte	повинен	sollen	повинний	V;IND;SG;3;PST;FIN	ADJ;NOM;MASC;SG
sollte	слід	sollen	слід	V;IND;SG;3;PST;FIN	ADV
sollte	повинно	sollen	повинно	V;IND;SG;3;PST;FIN	ADV
sollte	should	sollen	should	V;IND;SG;3;PST;FIN	
deutschland	німеччини	deutschland	німеччина	PROPN;NOM	PROPN;INAN;GEN;FEM;SG
deutschland	німеччині	deutschland	німеччина	PROPN;NOM	PROPN;INAN;DAT;FEM;SG
deutschland	німеччина	deutschland	німеччина	PROPN;NOM	PROPN;INAN;NOM;FEM;SG
deutschland	німеччину	deutschland	німеччина	PROPN;NOM	PROPN;INAN;ACC;FEM;SG
ihm	нього	er	він	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
ihm	постане	er	постане	PRO;DAT;MASC;SG;3	V;PFV;IND;SG;3;FUT;FIN
ihm	ним	er	він	PRO;DAT;MASC;SG;3	PRO;INS;MASC;SG;3
ihm	його	er	він	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
ende	завершується	ende	завершуватися	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN
ende	завершує	ende	завершувати	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN
ende	закінчується	ende	закінчуватися	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN
ende	фініш	ende	фініш	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
ende	завершити	ende	завершити	N;ACC;NEUT;SG	V;PFV;NFIN
ende	закінчити	ende	закінчити	N;ACC;NEUT;SG	V;PFV;NFIN
ende	завершити	ende	завершити	N;ACC;NEUT;SG	V;PFV;NFIN
ende	кінець	ende	кінець	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
ende	закінчити	ende	закінчити	N;ACC;NEUT;SG	V;PFV;NFIN
ende	закінчиться	ende	закінчитися	N;ACC;NEUT;SG	V;PFV;IND;SG;3;FUT;FIN
ende	закінчення	ende	закінчення	N;ACC;NEUT;SG	N;INAN;NOM;NEUT;SG
ende	завершується	ende	завершуватися	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN
ende	кінець	ende	кінець	N;ACC;NEUT;SG	N;INAN;NOM;MASC;SG
ende	закінчується	ende	закінчуватися	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN
ende	остаточний	ende	остаточний	N;ACC;NEUT;SG	ADJ;NOM;MASC;SG
märz	березні	märz	березень	PROPN;NOM;MASC;SG	ADV
märz	березень	märz	березень	PROPN;NOM;MASC;SG	N;INAN;NOM;MASC;SG
märz	березня	märz	березень	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
märz	märz	märz	märz	PROPN;NOM;MASC;SG	
aug	aug	augen	aug		
deutsche	німецька	deutsch	німецький	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
deutsche	німець	deutsch	німець	ADJ;NOM;FEM;PL	N;ANIM;NOM;MASC;SG
deutsche	герман	deutsch	герман	ADJ;NOM;FEM;PL	PROPN;ANIM;NOM;MASC;SG
deutsche	німецькою	deutsch	німецький	ADJ;NOM;FEM;PL	ADJ;INS;FEM;SG
deutsche	німецький	deutsch	німецький	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	
deutsche	німці	deutsch	німець	ADJ;NOM;FEM;PL	N;ANIM;NOM;MASC;PL
band	band	binden	band		
band	гурт	binden	гурт		N;INAN;NOM;MASC;SG
band	стрічку	binden	стрічка		N;INAN;ACC;FEM;SG
band	стрічка	binden	стрічка		N;INAN;NOM;FEM;SG
band	плівка	binden	плівка		N;INAN;NOM;FEM;SG
band	стрічки	binden	стрічка		N;INAN;NOM;FEM;PL
band	стрічка	binden	стрічка		N;INAN;NOM;FEM;SG
januar	січні	januar	січень	PROPN;NOM;MASC;SG	ADV
januar	січень	januar	січеня	PROPN;NOM;MASC;SG	N;INAN;NOM;NEUT;SG
januar	січня	januar	січень	PROPN;NOM;MASC;SG	N;INAN;GEN;MASC;SG
januar	januar	januar	januar	PROPN;NOM;MASC;SG	
doch	але	doch	але	ADV	CONJ
oktober	жовтень	oktober	жовтень	PROPN;NOM;SG	N;INAN;NOM;MASC;SG
oktober	жовтня	oktober	жовтень	PROPN;NOM;SG	N;INAN;GEN;MASC;SG
oktober	жовтні	oktober	жовтень	PROPN;NOM;SG	ADV
oktober	жовтня	oktober	жовтень	PROPN;NOM;SG	N;INAN;GEN;MASC;SG
ihn	постане	er	постане	PRO;ACC;MASC;SG;3	V;PFV;IND;SG;3;FUT;FIN
ihn	йому	er	він	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
ihn	ним	er	він	PRO;ACC;MASC;SG;3	PRO;INS;MASC;SG;3
wikipedia	вікіпедія	wikipedia	вікіпедія		
jul	august	jul	august		
kirche	церкви	kirche	церква		N;INAN;NOM;FEM;PL
