של	shel	של	shel	PART;GEN	N
רבות	tantissimi	רב	tanto	N;FEM;PL	ADJ;AB;MASC;PL
כמה	some	כמה	some	DET;PSSD	
כמה	alcuni	כמה	alcuno	DET;PSSD	PRO;MASC;PL
מטר	piedini	מטר	piedino	PROPN	N;MASC;PL
מטר	piedi	מטר	piede	PROPN	N;MASC;PL
מטר	metri	מטר	metro	PROPN	N;MASC;PL
מטר	metro	מטר	metro	PROPN	N;MASC;SG
מטר	metri	מטר	metro	PROPN	N;MASC;PL
מטר	contatore	מטר	contatore	PROPN	N;MASC;SG
מטר	metri	מטר	metro	PROPN	N;MASC;PL
דרך	via	דרך	via		ADV
דרך	attraverso	דרך	attraverso		ADP
דרך	through	דרך	through		
דרך	way	דרך	way		N;MASC
דרך	modo	דרך	modo		N;MASC;SG
יכול	potrebbe	None	potere	V;MASC;SG;V.PTCP	V;COND;SG;3;PRS;FIN
יכול	potrebbero	None	potere	V;MASC;SG;V.PTCP	V;COND;PL;3;PRS;FIN
יכול	possono	None	potere	V;MASC;SG;V.PTCP	V;IND;PL;3;PRS;FIN
יכול	can	None	can	V;MASC;SG;V.PTCP	
יכול	può	None	potere	V;MASC;SG;V.PTCP	V;IND;SG;3;PRS;FIN
באמצעות	via	באמצעות	via	ADP	ADV
בעלי	marito	בעל	marito	N;PSSD;MASC;PL	N;MASC;SG
יחד	together	יחד	together	ADV	N
בשל	maturo	בשל	maturo	ADP	ADJ;MASC;SG
בשל	maturi	בשל	maturo	ADP	ADJ;MASC;PL
בשל	mature	בשל	maturo	ADP	ADJ;FEM;PL
בשל	dovuta	בשל	dovere	ADP	V;FEM;SG;PST;V.PTCP
בשל	dovuto	בשל	dovere	ADP	V;MASC;SG;PST;V.PTCP
פרס	ricompense	פרס	ricompensa	PROPN	N;FEM;PL
פרס	ricompensa	פרס	ricompensa	PROPN	N;FEM;SG
פרס	premio	פרס	premio	PROPN	N;MASC;SG
פרס	aggiudicazione	פרס	aggiudicazione	PROPN	N;FEM;SG
פרס	premio	פרס	premio	PROPN	N;MASC;SG
ראו	rao	ראה	rao	V;PL;3;PST;ACT	N
דוד	dodd	דוד	dodd	PROPN	N
דוד	zio	דוד	zio	PROPN	N;MASC;SG
דוד	davide	דוד	davide	PROPN	N;SG
שלה	her	של	her		ADJ;SG
בנוסף	plus	בנוסף	plus	ADV	N
תחת	ass	תחת	ass	ADP	N
תחת	chiappe	תחת	chiappa	ADP	N;FEM;PL
תחת	culo	תחת	culo	ADP	N;MASC;SG
תחת	culi	תחת	culo	ADP	N;MASC;PL
תחת	culo	תחת	culo	ADP	N;MASC;SG
תחת	sedere	תחת	sedere	ADP	N;MASC;SG
תחת	chiappe	תחת	chiappa	ADP	N;FEM;PL
תחת	under	תחת	undere	ADP	N;MASC
כתב	scritto	כתב	scrivere	N;MASC;SG	V;MASC;SG;PST;V.PTCP
הקבוצה	gruppo	הקבוצה	gruppo	PROPN	N;MASC;SG
הערך	valore	הערך	valore		N;MASC;SG
היום	today	היום	today	ADV	N;MASC
רבי	rabbi	רבי	rabbo	PROPN	N;MASC;SG
רבי	rabbino	רבי	rabbiare	PROPN	N;MASC;SG
מי	chi	מי	chi	ADV	PRO
מי	who	מי	who	ADV	
למרות	nonostante	למרות	nonostante	ADP	ADV
למרות	malgrado	למרות	malgrado	ADP	ADV
למרות	sebbene	למרות	sebbene	ADP	CONJ
למרות	sebbene	למרות	sebbene	ADP	CONJ
אחרות	altre	אחר	altro	ADJ;FEM;PL	DET;FEM;PL
אחרות	altri	אחר	altro	ADJ;FEM;PL	PRO;MASC;PL
המלחמה	guerra	המלחם	guerra	PROPN	N;FEM;SG
שונות	differente	שונה	differente	ADJ;FEM;PL	ADJ;SG
שונות	diversa	שונה	diverso	ADJ;FEM;PL	DET;FEM;SG
שונות	diverso	שונה	diverso	ADJ;FEM;PL	ADJ;MASC;SG
שונות	diversi	שונה	diverso	ADJ;FEM;PL	DET;MASC;PL
שונות	vario	שונה	vario	ADJ;FEM;PL	ADJ;MASC;SG
הארץ	earth	הארץ	earth		N
הארץ	terra	הארץ	terra		N;FEM;SG
תאריך	data	תאריך	dare	PROPN	V;FEM;SG;PST;V.PTCP
בלבד	only	בלבד	only	ADV	
עבר	passati	עבר	passare	N;MASC;SG	V;MASC;PL;PST;V.PTCP
עבר	spostato	עבר	spostare	N;MASC;SG	V;MASC;SG;PST;V.PTCP
עבר	commosso	עבר	commuovere	N;MASC;SG	V;MASC;SG;PST;V.PTCP
עבר	mosso	עבר	muovere	N;MASC;SG	V;MASC;SG;PST;V.PTCP
עבר	superato	עבר	superare	N;MASC;SG	V;MASC;SG;PST;V.PTCP
אפשר	abilitare	אפשר	abilitare	V	V;NFIN
אפשר	abilita	אפשר	abilire	V	V;IND;SG;2;PRS;FIN
אפשר	permetti	אפשר	permettere	V	V;IND;SG;2;PRS;FIN
אפשר	consenti	אפשר	consentire	V	V;IND;SG;2;PRS;FIN
נוסף	aggiunte	None	aggiungere	ADP	V;FEM;PL;PST;V.PTCP
נוסף	aggiunti	None	aggiunto	ADP	V;MASC;PL;PST;V.PTCP
נוסף	aggiunto	None	aggiungere	ADP	V;MASC;SG;PST;V.PTCP
נוסף	aggiunta	None	aggiungere	ADP	V;FEM;SG;PST;V.PTCP
מרכז	centra	מרכז	centra	N;MASC;SG	V;IND;SG;3;PRS;FIN
שימוש	usando	שימוש	usare	N;MASC;SG	V;V.MSDR
שימוש	usi	שימוש	uso	N;MASC;SG	N;MASC;PL
שימוש	utilizzare	שימוש	utilizzare	N;MASC;SG	V;NFIN
שיש	marmi	שיש	marmo		N;MASC;PL
שיש	marmo	שיש	marmo		N;MASC;SG
רוב	most	רוב	most	N;MASC;SG	
כולל	comprende	כלל	comprendere	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
כולל	include	כלל	includere	V;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PRS;FIN
כולל	compresi	כלל	comprendere	V;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
כולל	inclusi	כלל	includere	V;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
כולל	incluse	כלל	incluso	V;MASC;SG;V.PTCP;ACT	ADJ;FEM;PL
גדול	large	גדול	large	ADJ;MASC;SG	N;MASC;SG
גדול	grandi	גדול	grande	ADJ;MASC;SG	ADJ;PL
גדול	grandi	גדול	grande	ADJ;MASC;SG	ADJ;PL
גדול	big	גדול	big	ADJ;MASC;SG	N
גדול	grandi	גדול	grande	ADJ;MASC;SG	ADJ;PL
ישראלים	israeliano	ישראלי	israeliano	N;MASC;PL	ADJ;MASC;SG
ישראלים	israeliana	ישראלי	israeliano	N;MASC;PL	ADJ;FEM;SG
יהודי	ebraica	יהודי	ebraico	N;MASC;SG	ADJ;FEM;SG
יהודי	ebrei	יהודי	ebreo	N;MASC;SG	N;MASC;PL
יהודי	ebraico	יהודי	ebraico	N;MASC;SG	ADJ;MASC;SG
יהודי	ebrei	יהודי	ebreo	N;MASC;SG	N;MASC;PL
סוג	gentili	סוג	gentile	N;MASC;SG	ADJ;PL
סוג	gentile	סוג	gentile	N;MASC;SG	ADJ;SG
סוג	digita	סוג	digitare	N;MASC;SG	V;IMP;SG;2;PRS;FIN
ראשון	domenica	ראשון	domenica	PROPN	N;FEM;SG
ראשון	sunday	ראשון	sunday	PROPN	N;MASC
ראשון	rishon	ראשון	rishon	PROPN	N;MASC;SG
ראשון	primi	ראשון	primo	PROPN	ADJ;MASC;PL
ראשון	primo	ראשון	primo	PROPN	ADJ;MASC;SG
ראשון	prima	ראשון	prima	PROPN	ADV
מידע	informazioni	מידע	informazione	N;MASC;SG	N;FEM;PL
מידע	data	מידע	dare	N;MASC;SG	V;FEM;SG;PST;V.PTCP
מידע	dati	מידע	dato	N;MASC;SG	N;MASC;PL
אנשים	gente	איש	gente	N;MASC;PL	N;FEM;SG
קובץ	file	קובץ	fila	PROPN	N;MASC
חבר	amici	חבר	amico	N;MASC;SG	N;MASC;PL
צריך	bisogno	צריך	bisogno	V;MASC;SG	N;MASC;SG
צריך	necessità	צריך	necessità	V;MASC;SG	N;FEM
צריך	dovrebbe	צריך	dovere	V;MASC;SG	V;COND;SG;3;PRS;FIN
צריך	dovrebbero	צריך	dovere	V;MASC;SG	V;COND;PL;3;PRS;FIN
ויקיפדיה	wikipedia	ויקיפדיה	wikipedia	PROPN	N;FEM;SG
השם	hashem	השם	hashem		N;MASC
השם	denominazione	השם	denominazione		N;FEM;SG
השם	nome	השם	nome		N;MASC;SG
בתוך	dentro	בתוך	dentro	ADP	ADV
בתוך	inside	בתוך	insido	ADP	N;MASC;SG
האדם	persona	האדם	persona		N;FEM;SG
כאן	here	כאן	vero	ADV	
מול	mol	מול	mol	ADP	
שלהם	loro	של	loro		PRO;PL;3
רבה	rabbah	רב	rabbah	ADV	V;IND;SG;3;PST;FIN
וגם	inoltre	וגם	inoltre		ADV
וגם	anche	וגם	anche		ADV
הים	mare	הים	mare		N;MASC;SG
הים	sea	הים	sea		N
השיר	canto	השיר	canto	ADV	N;MASC;SG
השיר	canzone	השיר	canzone	ADV	N;FEM;SG
השיר	song	השיר	song	ADV	N
בזמן	mentre	בזמן	mentre	PROPN	CONJ
חדש	novità	חדש	novità	ADJ;MASC;SG	N;FEM
חדש	nuovi	חדש	nuovo	ADJ;MASC;SG	ADJ;MASC;PL
חדש	nuove	חדש	nuovo	ADJ;MASC;SG	ADJ;FEM;PL
השלישי	iii	השליש	iii	PROPN	ADJ;SG
השלישי	terzo	השליש	terzo	PROPN	ADJ;MASC;SG
השלישי	terza	השליש	terzo	PROPN	ADJ;FEM;SG
משה	mosè	משה	mosè	PROPN	N;MASC;SG
משה	moshe	משה	mosare	PROPN	N;MASC;SG
גרמניה	tedeschi	גרמניה	tedesco	PROPN	N;MASC;PL
גרמניה	tedesco	גרמניה	tedesco	PROPN	ADJ;MASC;SG
גרמניה	germania	גרמניה	germania	PROPN	N;FEM;SG
יורק	york	יורק	york	PROPN	ADJ;MASC
הממשלה	governo	הממשלה	governo	PROPN	N;MASC;SG
יהודה	yehuda	יהודה	yehuda	PROPN	N;MASC;SG
יהודה	giuda	יהודה	giudare	PROPN	N;MASC;SG
יהודה	giuda	יהודה	giudare	PROPN	N;MASC;SG
יהודה	judah	יהודה	judah	PROPN	N;FEM;SG
מעל	over	מעל	over	ADP	N
מעל	oltre	מעל	oltre	ADP	ADV
מעל	sopra	מעל	sopra	ADP	ADV
ארץ	terreni	ארץ	terreno	N;FEM;SG	N;MASC;PL
ארץ	terre	ארץ	terra	N;FEM;SG	N;FEM;PL
צרפת	francia	צרפת	francia	PROPN	N;FEM;SG
הרבה	lotti	הרבה	lotto	ADV	N;MASC;PL
הרבה	molte	הרבה	molto	ADV	DET;FEM;PL
הרבה	tanti	הרבה	tanto	ADV	PRO;MASC;PL
הרבה	molti	הרבה	molto	ADV	PRO;MASC;PL
הרבה	tantissimi	הרבה	tanto	ADV	ADJ;AB;MASC;PL
הרבה	much	הרבה	much	ADV	
אתה	voi	הוא	voi	PRO;MASC;SG;2	PRO;PL;2
נמצא	trovati	נמצא	trovare	V;MASC;SG;V.PTCP;MID	V;MASC;PL;PST;V.PTCP
טוב	bravi	טוב	bravo	ADJ;MASC;SG	ADJ;MASC;PL
טוב	bene	טוב	bene	ADJ;MASC;SG	ADV
אי	isola	אי	isola	ADV	N;FEM;SG
שלושה	three	שלושה	tareo	NUM;MASC;SG	N
הגיע	arrivati	הגיע	arrivare	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
אירופה	europa	אירופה	europa	PROPN	N;FEM;SG
המלך	re	המלך	re		N;MASC
המלך	king	המלך	king		N;MASC
יצחק	isacco	יצחק	isacco	PROPN	N;MASC;SG
יצחק	isaac	יצחק	isaac	PROPN	N;SG
יצחק	yitzhak	יצחק	yitzhak	PROPN	N;MASC
יצחק	itzhak	יצחק	itzhak	PROPN	N
האלבום	album	האלבום	album	PROPN	N;MASC
יוסף	giuseppe	יוסף	giuseppo	PROPN	N;MASC;SG
יוסף	joseph	יוסף	joseph	PROPN	N;MASC;SG
נפטר	deceduti	נפטר	decedere	V;MASC;SG;3;PST;MID	V;MASC;PL;PST;V.PTCP
הלהקה	band	הלהקה	band	PROPN	N;FEM
הלהקה	banda	הלהקה	banda	PROPN	N;FEM;SG
מקור	origini	מקור	origine	N;MASC;SG	N;FEM;PL
תוכנית	pianifica	תוכנית	pianificare	N;FEM;SG	V;IND;SG;2;PRS;FIN
בתי	figlia	בית	figlia	PROPN	N;FEM;SG
נראה	sembra	נראה	sembrare	V;MASC;SG;V.PTCP;MID	V;IND;SG;3;PRS;FIN
נראה	sguardi	נראה	sguardo	V;MASC;SG;V.PTCP;MID	N;MASC;PL
לגבי	circa	לגבי	circa	ADP	ADV
וב	webb	וב	webb		N;MASC;SG
פעם	once	פעם	oncia	ADV	N;MASC;SG
משתמש	utenti	השתמש	utente	V;MASC;SG;V.PTCP	N;PL
משתמש	utente	השתמש	utente	V;MASC;SG;V.PTCP	N;SG
משתמש	utilizzatore	השתמש	utilizzatore	V;MASC;SG;V.PTCP	N;MASC;SG
קיבל	ricevuta	קיבל	ricevuta	V;MASC;SG;3;PST;ACT	N;FEM;SG
קיבל	ricevute	קיבל	ricevuta	V;MASC;SG;3;PST;ACT	V;FEM;PL;PST;V.PTCP
קיבל	ricevuti	קיבל	ricevuto	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
קיבל	accettate	קיבל	accettare	V;MASC;SG;3;PST;ACT	V;FEM;PL;PST;V.PTCP
קיבל	accettati	קיבל	accettare	V;MASC;SG;3;PST;ACT	V;MASC;PL;PST;V.PTCP
עקב	talon	None	talon	CONJ	N
עקב	artiglio	None	artiglio	CONJ	N;MASC;SG
עקב	dovuta	None	dovere	CONJ	V;FEM;SG;PST;V.PTCP
עקב	dovuto	None	dovere	CONJ	V;MASC;SG;PST;V.PTCP
עקב	tallone	None	tallone	CONJ	N;MASC;SG
עקב	tacco	None	tacco	CONJ	N;MASC;SG
מונה	monet	מנה	monet		N;MASC;SG
מונה	monna	מנה	monna		N;FEM;SG
מונה	mona	מנה	mona		N;FEM;SG
במיוחד	sopratutto	במיוחד	sopratutto	ADV	ADJ;MASC;SG
האימפריה	impero	האימפריה	impero	PROPN	N;MASC;SG
האימפריה	empire	האימפריה	empire	PROPN	N;SG
עדיין	still	עדיין	still	ADV	
מים	acqua	מים	acqua	N;MASC;PL	N;FEM;SG
ניו	neo	ניו	neo	PROPN	N;MASC;SG
נכון	destro	נכון	destro	ADJ;MASC;SG	N;MASC;SG
נכון	right	נכון	right	ADJ;MASC;SG	
נכון	destra	נכון	destra	ADJ;MASC;SG	N;FEM;SG
נכון	true	נכון	trua	ADJ;MASC;SG	N
חיפה	haifa	חיפה	haifo	PROPN	N;MASC
העונה	stagione	העונה	stagione	ADV	N;FEM;SG
שוב	again	שוב	again	ADV	
יעקב	jacob	יעקב	jacob	PROPN	N;MASC;SG
יעקב	giacomo	יעקב	giacomo	PROPN	N;MASC;SG
יעקב	giacobbe	יעקב	giacobbere	PROPN	N;MASC;SG
יעקב	jakob	יעקב	jakob	PROPN	N;MASC;SG
יעקב	yakov	יעקב	yakov	PROPN	N;MASC
יעקב	yaakov	יעקב	yaakov	PROPN	N;MASC
אינה	ina	אינו	ina	V;FEM;SG;3;NEG;V.PTCP	N;FEM;SG
אינה	inna	אינו	inna	V;FEM;SG;3;NEG;V.PTCP	N;MASC;SG
מדינות	stati	מדינה	essere	N;FEM;PL	V;MASC;PL;PST;V.PTCP
הבית	home	הבית	home	ADV	N
הבית	casa	הבית	casa	ADV	N;FEM;SG
הבית	casa	הבית	casa	ADV	N;FEM;SG
תודה	grazie	תודה	grazie	PROPN	N
לב	cuore	לב	cuore	PROPN	N;MASC;SG
