right	सही	righta	सही		ADJ
opombe	टीप	opomba	टीप	N;NOM;FEM;PL	
opombe	टिप्पणी	opomba	टिप्पणी	N;NOM;FEM;PL	N;NOM;FEM;SG;3
opombe	footnotes	opomba	footnotes	N;NOM;FEM;PL	N;NOM;MASC;SG;3
pred	पहले	pred	पहले	ADP;INS	ADV;NOM;MASC;SG;3
vse	सबकुछ	ves	सबकुछ	DET;NOM;NEUT;SG	
vse	सभी	ves	सब	DET;NOM;NEUT;SG	PRO;NOM;3
vse	सब	ves	सब	DET;NOM;NEUT;SG	N;NOM;MASC;SG;3
center	केन्द्र	center	केंद्र	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
center	केंद्र	center	केंद्र	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
center	मध्य	center	मध्य	N;NOM;MASC;SG	
center	बीच	center	बीच	N;NOM;MASC;SG	ADV;NOM;MASC;SG;3
center	केंद्र	center	केंद्र	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
center	केन्द्र	center	केंद्र	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
viri	स्रोत	vir	स्रोत	N;NOM;MASC;PL	N;NOM;MASC;SG;3
viri	स्त्रोत	vir	स्त्रोत	N;NOM;MASC;PL	
viri	प्रसाधन	vir	प्रसाधन	N;NOM;MASC;PL	N;NOM;MASC;SG;3
viri	संसाधन	vir	संसाधन	N;NOM;MASC;PL	N;NOM;MASC;SG;3
prvi	पहली	prvi	पहला	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
prvi	पहले	prvi	पहले	ADJ;NOM;MASC;PL	ADV;NOM;MASC;SG;3
prvi	पहला	prvi	पहला	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
proti	विरूद्ध	proti	विरूद्ध	ADP;DAT	CONJ
oktober	अक्टूबर	oktober	अक्टूबर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
oktober	अक्तूबर	oktober	अक्तूबर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
vendar	परन्तु	vendar	परन्तु	CONJ	
vendar	लेकीन	vendar	लेकीन	CONJ	
vendar	लकिन	vendar	लकिन	CONJ	
let	फ्लाइट	leto	फ्लाइट	N;GEN;NEUT;PL	N;NOM;FEM;SG;3
let	फ़्लाइट	leto	फ़्लाइट	N;GEN;NEUT;PL	N;NOM;FEM;SG;3
let	उडान	leto	उडान	N;GEN;NEUT;PL	
let	उड़ान	leto	उडान	N;GEN;NEUT;PL	N;NOM;FEM;SG;3
let	सालों	leto	साल	N;GEN;NEUT;PL	N;NOM;MASC;PL;3
let	वर्ष	leto	वर्ष	N;GEN;NEUT;PL	N;NOM;MASC;SG;3
let	साल	leto	साल	N;GEN;NEUT;PL	N;NOM;MASC;SG;3
let	वर्षों	leto	वर्ष	N;GEN;NEUT;PL	N;NOM;MASC;PL;3
let	सालो	leto	सालो	N;GEN;NEUT;PL	
bili	यहूद	biti	यहूद	V;MASC;PL;V.PTCP	
zelo	बहुत	zelo	बहुत	ADV	DET
slovenski	स्लोवेनियाई	slovenski	स्लोवेनियाई	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
marec	मार्च	marec	मार्च	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
zda	यूएसए	zdati	यूएसए	PROPN;GEN;FEM;PL	PROPN;NOM;MASC;SG;3
veliko	लोट	veliko	लोट	DET	
avgust	अगस्त	avgust	अगस्त	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
zato	अतः	zato	अतः	CONJ	
zato	इसलिए	zato	इसलिए	CONJ	PRO
strani	किनारा	stran	किनारा	N;NOM;FEM;PL	N;NOM;MASC;SG;3
strani	पहलू	stran	पहलू	N;NOM;FEM;PL	N;NOM;MASC;SG;3
strani	पृष्ठ	stran	पृष्ठ	N;NOM;FEM;PL	N;NOM;MASC;SG;3
strani	पेज	stran	पेज	N;NOM;FEM;PL	N;NOM;MASC;SG;3
strani	पन्ने	stran	पन्ना	N;NOM;FEM;PL	N;NOM;MASC;SG;3
strani	पृष्ठों	stran	पृष्ठ	N;NOM;FEM;PL	N;ACC;MASC;PL;3
tega	ये	ta	यह	DET;GEN;NEUT;SG	PRO;NOM;PL;3
tega	यह	ta	यह	DET;GEN;NEUT;SG	PRO;NOM;SG;3
tega	इस	ta	यह	DET;GEN;NEUT;SG	DET;ACC;SG;3
delo	job	delo	job	N;NOM;NEUT;SG	
ker	क्योकि	ker	क्योकि	CONJ	
ker	क्युकी	ker	क्युकी	CONJ	
nekaj	कुछ	nekaj	कुछ	PRO;ACC;NEUT;SG	DET
nekaj	कुछ	nekaj	कुछ	PRO;ACC;NEUT;SG	DET
januar	जनवरी	januar	जनवरी	N;NOM;MASC;SG	PROPN;NOM;FEM;SG;3
december	दिसंबर	december	दिसंबर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
december	दिसम्बर	december	दिसम्बर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
november	नवंबर	november	नवंबर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
november	नवम्बर	november	नवंबर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
november	नवंबर	november	नवंबर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
november	nov	november	nov	N;NOM;MASC;SG	
november	नवम्बर	november	नवंबर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
nato	नाटो	nato	नाटो	ADV	PROPN;NOM;MASC;SG;3
letih	सालों	leto	साल	N;ESS;NEUT;PL	N;NOM;MASC;PL;3
letih	वर्ष	leto	वर्ष	N;ESS;NEUT;PL	N;NOM;MASC;SG;3
letih	साल	leto	साल	N;ESS;NEUT;PL	N;NOM;MASC;SG;3
letih	वर्षों	leto	वर्ष	N;ESS;NEUT;PL	N;NOM;MASC;PL;3
letih	सालो	leto	सालो	N;ESS;NEUT;PL	
drugi	अन्य	drug	अन्य	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
drugi	अन्य	drug	अन्य	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
april	अप्रैल	april	अप्रैल	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
druge	अन्य	drug	अन्य	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
druge	अन्य	drug	अन्य	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
vojne	वॉर्स	vojna	वॉर्स	N;NOM;FEM;PL	N;NOM;MASC;SG;3
vojne	युद्धों	vojna	युद्ध	N;NOM;FEM;PL	N;ACC;MASC;PL;3
vojne	युद्ध	vojna	युद्ध	N;NOM;FEM;PL	N;NOM;MASC;SG;3
število	क्रमांक	število	क्रमांक	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
februar	फरवरी	februar	फरवरी	N;NOM;MASC;SG	PROPN;NOM;FEM;SG;3
februar	फ़रवरी	februar	फ़रवरी	N;NOM;MASC;SG	PROPN;NOM;FEM;SG;3
samo	तभी	samo	तभी	PART	PRO;NOM
samo	बस	samo	बस	PART	N;NOM;FEM;SG;3
stoletja	सदियां	stoletje	सदियां	N;ACC;NEUT;PL	N;NOM;FEM;PL;3
zajema	कवर	zajema	कवर	V;IPFV;IND;SG;3;PRS;FIN	
liga	liga	liga	liga	N;NOM;FEM;SG	
dela	कार्यालय	delo	कार्यालय	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
dela	काम	delo	काम	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
dela	कार्य	delo	कार्य	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
maj	मई	maj	मई		PROPN;NOM;FEM;SG;3
maj	मेजर	maj	मेजर		N;NOM;MASC;SG;3
bolj	ज्यादा	bolj	ज्यादा	ADV;CMPR	DET
bolj	आदि	bolj	आदि	ADV;CMPR	PART
bolj	अधिक	bolj	अधिक	ADV;CMPR	DET
danes	आज	danes	आज	ADV	N;NOM;MASC;SG;3
skupaj	कुल	skupaj	कुल	ADV	DET
predvsem	मुख्यतः	predvsem	मुख्यतः	PART	ADV
republike	गणराज्य	republika	गणराज्य	N;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
republike	गणतंत्र	republika	गणतंत्र	N;NOM;FEM;PL	N;NOM;MASC;SG;3
najbolj	अधिकांश	najbolj	अधिकांश	ADV;RL	CONJ
najbolj	सर्वाधिक	najbolj	सर्वाधिक	ADV;RL	ADJ;NOM
najbolj	मोस्ट	najbolj	मोस्ट	ADV;RL	
najbolj	सबसे	najbolj	सबसे	ADV;RL	ADJ;NOM
nad	nad	nad	nad	ADP;INS	
cest	सड़कों	cesta	सड़क	N;GEN;FEM;PL	N;ACC;FEM;PL;3
cest	सड़कें	cesta	सड़क	N;GEN;FEM;PL	N;NOM;FEM;PL;3
stran	दूर	stran	दूर	N;NOM;FEM;SG	ADV;NOM;MASC;SG;3
julij	जूलियस	julij	जूलियस	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
julij	जुलाई	julij	जुलाई	N;NOM;MASC;SG	PROPN;NOM;FEM;SG;3
prebivalcev	निवासी	prebivalec	निवासी	N;GEN;MASC;PL	N;NOM;MASC;SG;3
prebivalcev	निवासियों	prebivalec	निवासी	N;GEN;MASC;PL	N;ACC;MASC;PL;3
prebivalcev	निवासी	prebivalec	निवासी	N;GEN;MASC;PL	N;NOM;MASC;SG;3
prebivalcev	निवासियों	prebivalec	निवासी	N;GEN;MASC;PL	N;ACC;MASC;PL;3
svetovno	विश्वव्यापी	svetoven	विश्वव्यापी	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
svetovno	दुनिया	svetoven	दुनिया	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG;3
svetovno	विश्व	svetoven	विश्व	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
svetovno	जग	svetoven	जग	ADJ;NOM;NEUT;SG	
svetovno	संसार	svetoven	संसार	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
svetovno	वैश्विक	svetoven	वैश्विक	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
glede	परिचय	glede	परिचय	ADV	N;NOM;MASC;SG;3
brez	बिना	brez	बिना	ADP;GEN	PART
brez	बगैर	brez	बगैर	ADP;GEN	PART
mesta	कस्बों	mesto	कस्बा	N;NOM;NEUT;PL	N;ACC;MASC;PL;3
mesta	शहर	mesto	शहर	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
mesta	शहरों	mesto	शहर	N;NOM;NEUT;PL	N;ACC;MASC;PL;3
vojno	युद्ध	vojna	युद्ध	N;ACC;FEM;SG	N;NOM;MASC;SG;3
njegov	उसकी	njegov	वह	DET;NOM;MASC;SG;3	PRO;FEM;SG;3
njegov	उसका	njegov	वह	DET;NOM;MASC;SG;3	PRO;MASC;SG;3
njegov	उसके	njegov	वह	DET;NOM;MASC;SG;3	PRO;MASC;SG;3
sicer	वरना	sicer	वरना	PART	
dan	दन	dan	दन	N;NOM;MASC;SG	
dan	डान	dan	डान	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
velika	बड़े	velik	बडा	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
velika	बिग	velik	बिग	ADJ;NOM;FEM;SG	
velika	बड़े	velik	बडा	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
hms	hms	hms	hms	N;NOM;FEM;SG	
drugih	अन्य	drug	अन्य	ADJ;GEN;MASC;PL	N;NOM;MASC;SG;3
vedno	सदा	vedno	सदा	ADV	
vseh	सभी	ves	सब	DET;GEN;MASC;PL	PRO;NOM;3
vseh	सब	ves	सब	DET;GEN;MASC;PL	N;NOM;MASC;SG;3
prav	सही	prav	सही	PART	ADJ
junij	जून	junij	जून	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
uss	uss	uss	uss	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
mestu	बस्ती	mesto	बस्ती	N;DAT;NEUT;SG	N;NOM;FEM;SG;3
mestu	नगर	mesto	नगर	N;DAT;NEUT;SG	N;NOM;MASC;SG;3
mestu	कस्बा	mesto	कस्बा	N;DAT;NEUT;SG	N;NOM;MASC;SG;3
mestu	शहर	mesto	शहर	N;DAT;NEUT;SG	N;NOM;MASC;SG;3
mestu	सिटी	mesto	सिटी	N;DAT;NEUT;SG	N;NOM;FEM;SG;3
mestu	नगर	mesto	नगर	N;DAT;NEUT;SG	N;NOM;MASC;SG;3
drugo	अन्य	drug	अन्य	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
pesmi	कविताओं	pesem	कविता	N;NOM;FEM;PL	N;ACC;FEM;PL;3
pesmi	गीतों	pesem	गीत	N;NOM;FEM;PL	N;ACC;MASC;PL;3
slovenska	स्लोवेनियाई	slovenski	स्लोवेनियाई	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
veliki	बड़े	velik	बडा	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;MASC;PL
veliki	बिग	velik	बिग	ADJ;NOM;DEF;MASC;SG	
ameriški	अमेरिकन	ameriški	अमेरिकन	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
ameriški	अमेरिकी	ameriški	अमेरिकी	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;SG;3
slika	चित्रकारों	slika	चित्रकार	N;NOM;FEM;SG	N;ACC;MASC;PL;3
katerih	जिससे	kateri	जो	DET;GEN;MASC;PL	PRO;SG;3
prva	पहले	prvi	पहले	ADJ;NOM;FEM;SG	ADV;NOM;MASC;SG;3
njegova	उसकी	njegov	वह	DET;NOM;FEM;SG;3	PRO;FEM;SG;3
njegova	उसका	njegov	वह	DET;NOM;FEM;SG;3	PRO;MASC;SG;3
njegova	उसके	njegov	वह	DET;NOM;FEM;SG;3	PRO;MASC;SG;3
imel	था	imeti	था	V;IPFV;MASC;SG;V.PTCP	V;MASC;IND;SG;PST;FIN;ACT
van	वान	van	वान		PROPN;NOM;MASC;SG;3
van	वैन	van	वैन		N;NOM;FEM;SG;3
druga	अन्य	drug	अन्य	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
vojske	सेनाओं	vojska	सेना	N;NOM;FEM;PL	N;ACC;FEM;PL;3
vojske	सेना	vojska	सेना	N;NOM;FEM;PL	N;NOM;FEM;SG;3
pogosto	अकसर	pogosto	अकसर	ADV	CONJ
pogosto	कॉमन	pogosto	कॉमन	ADV	
pogosto	सामान्य	pogosto	सामान्य	ADV	N;NOM;MASC;SG;3
pogosto	आम	pogosto	आम	ADV	ADJ
john	जॉन	john	जॉन	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
prvo	पहली	prvi	पहला	ADJ;ACC;NEUT;SG	ADJ;NOM;FEM;SG
prvo	पहले	prvi	पहले	ADJ;ACC;NEUT;SG	ADV;NOM;MASC;SG;3
prvo	पहला	prvi	पहला	ADJ;ACC;NEUT;SG	ADJ;NOM;MASC;SG
nagrada	बदला	nagrada	बदल	N;NOM;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
nagrada	ईनाम	nagrada	ईनाम	N;NOM;FEM;SG	
njegovo	उसकी	njegov	वह	DET;NOM;NEUT;SG;3	PRO;FEM;SG;3
njegovo	उसका	njegov	वह	DET;NOM;NEUT;SG;3	PRO;MASC;SG;3
njegovo	उसके	njegov	वह	DET;NOM;NEUT;SG;3	PRO;MASC;SG;3
katerega	जिससे	kateri	जो	DET;GEN;MASC;SG	PRO;SG;3
priimek	बेनाम	priimek	बेनाम	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
čeprav	यद्यपि	čeprav	यद्यपि	CONJ	
izvirno	मूल	izviren	मूल	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
izvirno	मौलिक	izviren	मौलिक	ADJ;NOM;NEUT;SG	
isbn	isbn	isbn	ओप		PROPN;NOM;MASC;SG;3
skupine	समूहों	skupina	समूह	N;NOM;FEM;PL	N;ACC;MASC;PL;3
skupine	समूह	skupina	समूह	N;NOM;FEM;PL	N;NOM;MASC;SG;3
von	वॉन	von	वॉन		PROPN;NOM;MASC;SG;3
von	वोन	von	वोन		PROPN;NOM;MASC;SG;3
francoski	फ़्रेंच	francoski	फ़्रेंच	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;SG;3
francoski	फ़्रांसीसी	francoski	फ़्रांसीसी	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
francoski	फ्रेंच	francoski	फ्रेंच	ADJ;NOM;DEF;MASC;SG	
časa	वक़्त	čas	वक़्त	N;GEN;MASC;SG	N;NOM;MASC;SG;3
časa	वक्त	čas	वक्त	N;GEN;MASC;SG	N;NOM;MASC;SG;3
časa	समय	čas	समय	N;GEN;MASC;SG	N;NOM;MASC;SG;3
smrti	मौतों	smrt	मौत	N;NOM;FEM;PL	N;ACC;FEM;PL;3
pomeni	अर्थ	pomeniti	अर्थ	V;IND;SG;3;PRS;FIN	
pomeni	मतलब	pomeniti	मतलब	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
pomeni	यानि	pomeniti	यानि	V;IND;SG;3;PRS;FIN	CONJ
pomeni	अर्थात्	pomeniti	अर्थात्	V;IND;SG;3;PRS;FIN	
kralj	किंग	kralj	किंग	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
eden	ईडन	eden	ईडन	NUM;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
saint	संत	saint	संत	PROPN;NOM;MASC;SG	N;NOM;MASC;SG;3
kateri	जिससे	kateri	जो	DET;NOM;MASC;SG	PRO;SG;3
http	एचटीटीपी	http	एचटीटीपी	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
osvojil	जीतें	osvojiti	जीत	V;PFV;MASC;SG;V.PTCP	V;SBJV;PL;FIN;ACT
začel	शुरू	začeti	शुरू	V;PFV;MASC;SG;V.PTCP	N;NOM;MASC;SG;3
začel	प्रारंभ	začeti	प्रारंभ	V;PFV;MASC;SG;V.PTCP	N;NOM;MASC;SG;3
decembra	दिसंबर	december	दिसंबर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
decembra	दिसम्बर	december	दिसम्बर	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
približno	सन्निकट	približno	सन्निकट	ADV	
približno	लगभग	približno	लगभग	ADV	PART
nemški	जर्मन	nemški	जर्मन	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
nemški	जर्मनी	nemški	जर्मनी	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
ljudi	लोग	človek	लोग	N;ACC;MASC;PL	N;NOM;MASC;PL;3
države	राज्यों	država	राज्य	N;NOM;FEM;PL	N;ACC;MASC;PL;3
države	राज्यो	država	राज्य	N;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
države	राज्य	država	राज्य	N;NOM;FEM;PL	N;NOM;MASC;SG;3
države	देश	država	देश	N;NOM;FEM;PL	N;NOM;MASC;SG;3
države	देशो	država	देशो	N;NOM;FEM;PL	N;NOM;MASC;SG;3
države	देशों	država	देश	N;NOM;FEM;PL	N;ACC;MASC;PL;3
maja	मई	maj	मई	N;GEN;MASC;SG	PROPN;NOM;FEM;SG;3
maja	may	maj	may	N;GEN;MASC;SG	
maja	माजा	maj	माज	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
novo	नोवो	nov	नोवो	ADJ;NOM;NEUT;SG	
potem	तब	potem	तब	ADV	PRO;NOM
pesem	कविता	pesem	कविता	N;NOM;FEM;SG	PROPN;NOM;FEM;SG;3
pesem	गीत	pesem	गीत	N;NOM;FEM;SG	N;NOM;MASC;PL;3
pesem	सोंग	pesem	सोंग	N;NOM;FEM;SG	
švedska	स्वीडिश	švedska	स्वीडिश	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
švedska	स्वीडिश	švedska	स्वीडिश	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
švedska	स्वीडन	švedska	स्वीडन	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
str	str	str	str		N;NOM;MASC;SG;3
iii	तृतीय	iiti	तृतीय		PROPN;NOM;MASC;SG;3
iii	iii	iiti	iii		
teh	ये	ta	यह	DET;GEN;MASC;PL	PRO;NOM;PL;3
red	लाल	red	लाल	N;NOM;MASC;SG	
red	रेड	red	रेड	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
član	सदस्य	član	सदस्य	N;NOM;MASC;SG	N;NOM;MASC;PL;3
nagrado	पुरस्कार	nagrada	पुरस्कार	N;ACC;FEM;SG	N;NOM;MASC;SG;3
nagrado	सवाब	nagrada	सवाब	N;ACC;FEM;SG	N;NOM;MASC;SG;3
nagrado	बदला	nagrada	बदल	N;ACC;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
nagrado	ईनाम	nagrada	ईनाम	N;ACC;FEM;SG	
nagrado	इनाम	nagrada	इनाम	N;ACC;FEM;SG	N;NOM;MASC;SG;3
nagrado	पुरस्कार	nagrada	पुरस्कार	N;ACC;FEM;SG	N;NOM;MASC;SG;3
nagrado	अवार्ड	nagrada	अवार्ड	N;ACC;FEM;SG	N;NOM;MASC;SG;3
nagrado	पुरस्कार	nagrada	पुरस्कार	N;ACC;FEM;SG	N;NOM;MASC;SG;3
glavni	मुख्य	glaven	मुख्य	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
glavni	मेन	glaven	मेन	ADJ;NOM;DEF;MASC;SG	
glavni	प्रमुख	glaven	प्रमुख	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;SG;3
celo	सम	celo	सम	PART	
slovenija	स्लोवेनिया	slovenija	स्लोवेनिया	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
slovenija	स्लोवेनियाई	slovenija	स्लोवेनियाई	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
sam	अकेला	samo	अकेला	PART	V;PFV;MASC;SG;V.PTCP;ACT
sam	अकेले	samo	अकेला	PART	V;MASC;SG;3;FIN;ACT
sam	अलोन	samo	अलोन	PART	
sam	सैम	samo	सैम	PART	N;NOM;MASC;SG;3
sam	sam	samo	sam	PART	PROPN;NOM;MASC;SG;3
ivan	इवान	ivan	इवान	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
knjiga	किताबे	knjiga	किताबा	N;NOM;FEM;SG	
tam	वहाँ	tam	वहाँ	ADV	PRO;NOM
tam	वहां	tam	वहाँ	ADV	PRO;NOM
tam	वहा	tam	वह	ADV	
tam	वहीँ	tam	वहीँ	ADV	
anderson	एंडरसन	anderson	एंडरसन	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
njegove	उसकी	njegov	वह	DET;NOM;FEM;PL;3	PRO;FEM;SG;3
njegove	उसका	njegov	वह	DET;NOM;FEM;PL;3	PRO;MASC;SG;3
njegove	उसके	njegov	वह	DET;NOM;FEM;PL;3	PRO;MASC;SG;3
der	der	der	der		PROPN;NOM;MASC;SG;3
večinoma	अधिकांश	večinoma	अधिकांश	ADV	CONJ
večinoma	ज्यादातर	večinoma	ज्यादातर	ADV	N;NOM;MASC;SG;3
večinoma	अधिकतर	večinoma	अधिकतर	ADV	N;NOM;MASC;SG;3
večinoma	ज़्यादातर	večinoma	ज़्यादातर	ADV	CONJ
oseb	व्यक्तियों	oseba	व्यक्ति	N;GEN;FEM;PL	N;ACC;MASC;PL;3
januarja	जनवरी	januar	जनवरी	N;GEN;MASC;SG	PROPN;NOM;FEM;SG;3
živi	लाइव	živeti	लाइव	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
živi	सजीव	živeti	सजीव	V;IPFV;IND;SG;3;PRS;FIN	
živi	जीवनदान	živeti	जीवनदान	V;IPFV;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
