dynasti	dynastie	dynasti	dynastie	N;INDF;NEUT;SG	N;NOM;FEM;PL
ideologi	ideológie	ideologi	ideológia	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
colorado	colorado	colorado	colorado		N;ANIM;NOM;MASC;SG
fungerende	fungovanie	fungerende	fungovanie	V;PRS;V.PTCP	N;NOM;NEUT;SG
fungerende	fungujúce	fungerende	fungujúci	V;PRS;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
væske	tekutín	væske	tekutín	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
væske	kvapalný	væske	kvapalný	N;INDF;MASC+FEM;SG	ADJ;INAN;NOM;MASC;SG
væske	kvapalné	væske	kvapalný	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
væske	tekuté	væske	tekutý	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
mursten	tehly	mursten	tehla	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL
mursten	brick	mursten	brick	N;DEF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
forfatningen	ústavy	forfatning	ústav	N;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
monica	monika	monica	monika		N;NOM;FEM;SG
monica	monica	monica	monica		N;NOM;FEM;SG
udkommet	publikované	udkomme	publikovaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
udkommet	zverejnená	udkomme	zverejnený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
udkommet	zverejnené	udkomme	zverejnený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
udkommet	uverejnené	udkomme	uverejnený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
inkluderede	zaradené	inkludere	zaradený	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
inkluderede	zahrnuté	inkludere	zahrnutý	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
inkluderede	zahrnutý	inkludere	zahrnutý	V;PL;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
unikke	jedinečný	unik	jedinečný	ADJ;PL	ADJ;INAN;NOM;MASC;SG
unikke	unikátne	unik	unikátny	ADJ;PL	ADJ;NOM;NEUT;SG
unikke	jedinečné	unik	jedinečný	ADJ;PL	ADJ;NOM;NEUT;SG
unikke	jedinečná	unik	jedinečný	ADJ;PL	ADJ;NOM;FEM;SG
unikke	unikátny	unik	unikátny	ADJ;PL	ADJ;INAN;NOM;MASC;SG
banks	banks	banks	banks	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
banks	banky	banks	banka	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
banks	bankami	banks	banka	N;INDF;MASC+FEM;SG	N;INS;FEM;PL
banks	bánk	banks	banka	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
tove	lán	tov	lán	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
tove	laná	tov	laný	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
tove	tove	tov	tov	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
jupiter	jupiter	jupiter	jupiter		N;ANIM;NOM;MASC;SG
xbox	xbox	xbox	xbox	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
skygge	tiene	skygge	tieň	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
passage	prekračovaní	passage	prekračovanie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
torv	štvorcový	torv	štvorcový	N;INDF;NEUT;SG	ADJ;INAN;NOM;MASC;SG
torv	štvorcových	torv	štvorcový	N;INDF;NEUT;SG	ADJ;GEN;MASC;PL
anhalt	anhaltsko	anhalt	anhaltsko	N;INDF;MASC+FEM;SG	ADV
betty	betty	betty	bett		PROPN;NOM;FEM;SG
levet	žili	leve	žiť	V;INDF;SG;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
eksperimenter	experiment	eksperiment	experiment	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
eksperimenter	pokus	eksperiment	pokus	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
eksperimenter	experimentu	eksperiment	experiment	N;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;SG
eksperimenter	experimentovanie	eksperiment	experimentovanie	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
måler	meranie	måle	meranie	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
måler	meter	måle	meter	V;IND;PRS;FIN;ACT	N;INAN;NOM;MASC;SG
måler	merač	måle	merač	V;IND;PRS;FIN;ACT	N;INAN;NOM;MASC;SG
atlantic	atlantiku	atlantic	atlantika		N;INAN;GEN;MASC;SG
atlantic	atlantic	atlantic	atlantica		N;INAN;NOM;MASC;SG
atlantic	atlantický	atlantic	atlantický		ADJ;ANIM;NOM;MASC;SG
atlantic	atlantik	atlantic	atlantik		N;INAN;NOM;MASC;SG
helena	helen	helena	helen	N;DEF;MASC+FEM;SG	PROPN;NOM;FEM;SG
daf	daf	daf	daf		
dick	kokot	dick	kokot		N;ANIM;NOM;MASC;SG
spiser	jedenie	spise	jedenie	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
spiser	stravovanie	spise	stravovanie	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
skift	posunúť	skift	posunúť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
skift	prepnúť	skift	prepnúť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
skift	zmeniť	skift	zmeniť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
skift	smeny	skift	smena	N;INDF;NEUT;SG	N;NOM;FEM;PL
helene	helene	hel	helene	N;DEF;MASC+FEM;PL	N;NOM;FEM;SG
ordning	schémy	ordning	schý	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ordning	systémy	ordning	systém	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
klint	klint	klint	klint	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
klint	cliff	klint	cliff	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
spin	spin	spin	spin	N;INDF;NEUT;SG	INTJ
spin	točiť	spin	točiť	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
boris	boris	boris	boris		PROPN;ANIM;NOM;MASC;SG
output	výstupný	output	výstupný	N;INDF;NEUT;SG	ADJ;INAN;NOM;MASC;SG
output	výstupy	output	výstup	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
output	výstupov	output	výstup	N;INDF;NEUT;SG	N;INAN;GEN;MASC;PL
düsseldorf	düsseldorf	düsseldorf	düsseldorf	N;INDF;MASC+FEM;SG	PROPN;INAN;NOM;MASC;SG
highway	diaľnice	highway	diaľnica	N;INDF;NEUT;SG	N;NOM;FEM;PL
overskud	prebytky	overskud	prebytok	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
overskud	prebytky	overskud	prebytok	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
overskud	zisky	overskud	ziska	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
krydse	prekračovaní	krydse	prekračovanie	V;NFIN;ACT	N;NOM;NEUT;PL
krydse	križovatka	krydse	križovatko	V;NFIN;ACT	N;NOM;FEM;SG
krydse	krížová	krydse	krížový	V;NFIN;ACT	ADJ;NOM;FEM;SG
krydse	cross	krydse	cross	V;NFIN;ACT	PROPN;ANIM;NOM;MASC;SG
krydse	kríž	krydse	kríž	V;NFIN;ACT	N;INAN;NOM;MASC;SG
krydse	krížové	krydse	krížový	V;NFIN;ACT	ADJ;NOM;NEUT;SG
organisk	organický	organisk	organický	ADV	ADJ;ANIM;NOM;MASC;SG
organisk	organické	organisk	organický	ADV	ADJ;NOM;NEUT;SG
organisk	organická	organisk	organický	ADV	ADJ;NOM;FEM;SG
organisk	ekologické	organisk	ekologický	ADV	ADJ;NOM;NEUT;SG
ris	ryže	ris	ryže	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
ris	ryžové	ris	ryžový	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
ris	ris	ris	ris	N;INDF;MASC+FEM;SG	
julian	julian	julian	julian		N;ANIM;NOM;MASC;SG
julian	juliana	julian	julian		N;NOM;FEM;SG
biologisk	biologickej	biologisk	biologický	ADV	ADJ;GEN;FEM;SG
biologisk	biologický	biologisk	biologický	ADV	ADJ;ANIM;NOM;MASC;SG
biologisk	biologické	biologisk	biologický	ADV	ADJ;NOM;NEUT;SG
biologisk	biologická	biologisk	biologický	ADV	ADJ;NOM;FEM;SG
henderson	henderson	henderson	henderson	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
paulo	paulo	paulo	paulo	PROPN	PROPN;ANIM;NOM;MASC;SG
nyligt	najnovšie	nyligt	mový	ADV	ADV;RL
nyligt	posledných	nyligt	posledný	ADV	ADJ;GEN;MASC;PL
nyligt	posledné	nyligt	posledný	ADV	ADJ;NOM;NEUT;SG
nyligt	nedávny	nyligt	nedávny	ADV	ADJ;INAN;NOM;MASC;SG
nyligt	nedávne	nyligt	nedávne	ADV	ADJ;NOM;NEUT;SG
nyligt	nedávna	nyligt	nedávny	ADV	ADJ;NOM;FEM;SG
mexicanske	mexické	mexicansk	mexický	ADJ;PL	ADJ;NOM;NEUT;SG
mexicanske	mexický	mexicansk	mexický	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
skarpt	ostrý	skarpt	ostrý	ADV	ADJ;INAN;NOM;MASC;SG
skarpt	ostré	skarpt	ostrý	ADV	ADJ;NOM;NEUT;SG
skarpt	ostrá	skarpt	ostrať	ADV	ADJ;NOM;FEM;SG
forstæder	predmestí	forståde	predmestiť	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
forstæder	prímestskej	forståde	prímestský	N;INDF;MASC+FEM;PL	ADJ;GEN;FEM;SG
nederlaget	poraziť	nederlag	poraziť	N;DEF;NEUT;SG	V;PFV;POS;NFIN
bestemmer	nerozhodne	bestemme	nerozhodne	V;IND;PRS;FIN;ACT	ADV
bestemmer	rozhodne	bestemme	rozhodne	V;IND;PRS;FIN;ACT	PART
forandring	zmeniť	forandring	zmeniť	N;INDF;MASC+FEM;SG	V;PFV;POS;NFIN
følelse	emócie	følelse	emócia	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
følelse	emócií	følelse	emócia	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
rygter	reci	rygte	rec	N;INDF;NEUT;PL	INTJ
rygter	reci	rygte	rec	N;INDF;NEUT;PL	INTJ
singer	singer	singer	singer	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
separate	oddelený	separat	oddelený	N;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
separate	samostatné	separat	samostatný	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
separate	oddelené	separat	oddelený	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
separate	samostatný	separat	samostatný	N;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
separate	samostatná	separat	samostatný	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
level	úrovne	level	úroveň	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ivar	ivar	ivar	ivar		PROPN;ANIM;NOM;MASC;SG
indbygget	vložené	indbygge	vložený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
indbygget	vložená	indbygge	vložený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
indbygget	vložený	indbygge	vložený	V;INDF;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
indbygget	postavili	indbygge	postaviť	V;INDF;SG;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
indbygget	postavená	indbygge	postavený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
indbygget	postavené	indbygge	postavený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
indbygget	postavený	indbygge	postavený	V;INDF;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
indbygget	stavali	indbygge	stavať	V;INDF;SG;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
indbygget	začlenili	indbygge	začleniť	V;INDF;SG;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
indbygget	začlenené	indbygge	začlenený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
diana	diana	diana	diana		N;NOM;FEM;SG
teologisk	teologickej	teologisk	teologický	ADV	ADJ;GEN;FEM;SG
giro	giro	giro	giro	N;INDF;MASC+FEM;SG	
tilbagetrækning	výbery	tilbagetrækning	výber	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
tilbagetrækning	stiahnutia	tilbagetrækning	stiahnutie	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
tilbagetrækning	odobrať	tilbagetrækning	odobrať	N;INDF;MASC+FEM;SG	V;PFV;POS;NFIN
algeriet	alžírska	algeri	alžírsky	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG
algeriet	alžírsko	algeri	alžírsko	N;DEF;NEUT;SG	ADV
mus	myší	mus	myšať	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
mus	myšiach	mus	myšiť	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
virkelighed	reality	virkelighed	realita	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
virkelighed	reality	virkelighed	realita	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
über	über	über	hber	V;IND;PST;FIN;ACT	PROPN;ANIM;ACC;MASC;SG
grundloven	ústavy	grundlov	ústav	N;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
cleveland	clevelande	cleveland	clevelande		N;NOM;FEM;SG
jer	jer	I	jer	PRO;ACC;MASC+FEM;PL;2	PROPN;ANIM;NOM;MASC;SG
saa	dsp	saa	dsp	ADV	N;INAN;NOM;MASC;SG
planerne	plánuje	plan	plánovať	N;DEF;MASC+FEM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN
ingrid	ingrid	ingrid	ingrid	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
vanskelig	ťažko	vanskelig	ťažko	ADJ;INDF;MASC+FEM;SG	ADV
holmes	holmes	holme	holmes	V;NFIN;PASS	PROPN;NOM;FEM;SG
anbefalede	odporúčame	anbefale	odporúčať	V;IND;PST;FIN;ACT	V;IPFV;IND;PL;1;POS;PRS;FIN
anbefalede	odporúčané	anbefale	odporúčaný	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
anbefalede	odporúča	anbefale	odporúčať	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
anbefalede	odporúčaný	anbefale	odporúčaný	V;IND;PST;FIN;ACT	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
anbefalede	odporúčaná	anbefale	odporúčaný	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
marker	políčka	mark	políček	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
marker	označiť	mark	označiť	N;INDF;MASC+FEM;PL	V;PFV;POS;NFIN
marker	značka	mark	značka	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
marker	mark	mark	mark	N;INDF;MASC+FEM;PL	PROPN;ANIM;NOM;MASC;SG
ted	ted	ted	ted		PROPN;ANIM;NOM;MASC;SG
tree	strom	tree	strom		N;INAN;NOM;MASC;SG
tree	stromček	tree	stromček		N;INAN;NOM;MASC;SG
tree	strome	tree	strom		N;INAN;ESS;MASC;SG
tree	tre	tree	tre		PROPN;ANIM;NOM;MASC;SG
porto	poštovné	porto	poštovný		ADJ;NOM;NEUT;SG
porto	porto	porto	porto		PROPN;INAN;NOM;MASC;SG
enkel	jednoduche	enkel	jednoduch	ADJ;INDF;MASC+FEM;SG	
balkan	balkán	balkan	balkán		N;NOM;FEM;SG
balkan	balkánu	balkan	balkán		N;INAN;GEN;MASC;SG
balkan	balkán	balkan	balkán		N;NOM;FEM;SG
balkan	balkánu	balkan	balkán		N;INAN;GEN;MASC;SG
tilbagevendende	opakované	tilbagevendende	opakovaný	V;PRS;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
tilbagevendende	opakovaná	tilbagevendende	opakovaný	V;PRS;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
svaret	odpovedať	svar	odpovedať	N;DEF;NEUT;SG	V;IPFV;POS;NFIN
edgar	edgar	edgar	edgar		PROPN;ANIM;NOM;MASC;SG
angels	anjeli	angels	anjeli	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL
angels	anjelov	angels	anjel	N;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;PL
angels	angels	angels	angels	N;INDF;MASC+FEM;SG	
dæk	pneumatika	dæk	pneumatika	N;INDF;NEUT;PL	N;NOM;FEM;SG
dæk	paluba	dæk	paluba	N;INDF;NEUT;PL	N;NOM;FEM;SG
dæk	palubu	dæk	paluba	N;INDF;NEUT;PL	N;ACC;FEM;SG
dæk	palube	dæk	paluba	N;INDF;NEUT;PL	N;NOM;FEM;SG
dæk	kryt	dæk	kryt	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
dæk	cover	dæk	cover	N;INDF;NEUT;PL	
dæk	zakryť	dæk	zakryť	N;INDF;NEUT;PL	V;PFV;POS;NFIN
dæk	krytie	dæk	krytie	N;INDF;NEUT;PL	N;NOM;NEUT;SG
dæk	pokrytie	dæk	pokrytie	N;INDF;NEUT;PL	N;NOM;NEUT;SG
dæk	pneumatika	dæk	pneumatika	N;INDF;NEUT;PL	N;NOM;FEM;SG
nhl	nhl	nhl	nhl	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
metropolitan	metropolitná	metropolitan	metropolitný	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
drømme	sen	drøm	sen	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
drømme	snívať	drøm	snívať	N;INDF;MASC+FEM;PL	V;IPFV;POS;NFIN
drømme	dream	drøm	dream	N;INDF;MASC+FEM;PL	PROPN;ANIM;NOM;MASC;SG
drømme	sna	drøm	sen	N;INDF;MASC+FEM;PL	N;INAN;GEN;MASC;SG
drømme	snívať	drøm	snívať	N;INDF;MASC+FEM;PL	V;IPFV;POS;NFIN
drømme	sníva	drøm	snívať	N;INDF;MASC+FEM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN
kanten	hrany	kant	hrana	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL
neil	neil	neil	neiť		PROPN;ANIM;NOM;MASC;SG
duo	duo	duo	duo		PROPN;ANIM;NOM;MASC;SG
hjulpet	pomohli	hjælpe	pomôcť	V;INDF;SG;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
registrerede	registrovaných	registrere	registrovaný	V;PL;PST;V.PTCP	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
registrerede	registrované	registrere	registrovaný	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
registrerede	zapísané	registrere	zapísaný	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
registrerede	zaregistrované	registrere	zaregistrovaný	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
registrerede	registrovaný	registrere	registrovaný	V;PL;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
eyes	oči	eyes	oko		N;NOM;NEUT;PL
eyes	očká	eyes	očko		N;NOM;NEUT;PL
eyes	očí	eyes	oko		N;GEN;NEUT;PL
eyes	očami	eyes	oko		N;INS;NEUT;PL
gulvet	podlahové	gulv	podlahový	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG
estisk	estónska	estisk	estónsky	ADJ;INDF;SG	PROPN;NOM;FEM;SG
maryland	marylande	maryland	marylande		N;INAN;NOM;MASC;SG
bemærkelsesværdige	pozoruhodné	bemærkelsesværdig	pozoruhodný	ADJ;PL	ADJ;NOM;NEUT;SG
bemærkelsesværdige	pozoruhodný	bemærkelsesværdig	pozoruhodný	ADJ;PL	ADJ;INAN;NOM;MASC;SG
bemærkelsesværdige	pozoruhodné	bemærkelsesværdig	pozoruhodný	ADJ;PL	ADJ;NOM;NEUT;SG
bemærkelsesværdige	pozoruhodné	bemærkelsesværdig	pozoruhodný	ADJ;PL	ADJ;NOM;NEUT;SG
buenos	buenos	bue	buenos	N;DEF;MASC+FEM;SG	PROPN;NOM;MASC;SG
skulpturer	socha	skulptur	socha	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
brande	oheň	brand	oheň	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
brande	horí	brand	horieť	N;INDF;MASC+FEM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN
brande	požiar	brand	požiar	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
control	kontrola	control	kontrola		N;NOM;FEM;SG
control	ovládanie	control	ovládanie		N;NOM;NEUT;SG
control	ovládať	control	ovládať		V;IPFV;POS;NFIN
control	kontrolovať	control	kontrolovať		V;IPFV;POS;NFIN
eduard	eduard	eduard	eduard		PROPN;ANIM;NOM;MASC;SG
oklahoma	oklahoma	oklahoma	oklah		N;INAN;NOM;MASC;SG
sjæl	soul	sjæl	soul	N;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
grafisk	grafické	grafisk	grafický	ADV	ADJ;NOM;NEUT;SG
grafisk	grafický	grafisk	grafický	ADV	ADJ;ANIM;NOM;MASC;SG
grafisk	grafické	grafisk	grafický	ADV	ADJ;NOM;NEUT;SG
grafisk	grafický	grafisk	grafický	ADV	ADJ;ANIM;NOM;MASC;SG
grafisk	grafiku	grafisk	grafik	ADV	N;ACC;FEM;SG
grafisk	grafické	grafisk	grafický	ADV	ADJ;NOM;NEUT;SG
grafisk	grafika	grafisk	grafika	ADV	N;NOM;FEM;SG
flot	pekny	flot	pekny	ADJ;INDF;SG	N;ANIM;NOM;MASC;SG
flot	pekne	flot	pekne	ADJ;INDF;SG	ADV
flot	nice	flot	nica	ADJ;INDF;SG	PROPN;ANIM;NOM;MASC;SG
flot	fešáci	flot	fešác	ADJ;INDF;SG	N;ANIM;NOM;MASC;PL
sierra	sierra	sierra	sierra		N;NOM;FEM;SG
frigivet	prepustená	frigiv	prepustený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
frigivet	uvoľnená	frigiv	uvoľnený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
frigivet	uvoľnené	frigiv	uvoľnený	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
frigivet	prepustený	frigiv	prepustený	V;INDF;SG;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
nazistiske	nacistické	nazistisk	nactistický	ADJ;PL	ADJ;NOM;NEUT;SG
menighed	kongregácie	menighed	kongregácia	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
aktion	akcie	aktion	akcia	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
aktion	akčné	aktion	akčný	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
tung	tung	tung	tung	ADJ;INDF;MASC+FEM;SG	PROPN;ANIM;NOM;MASC;SG
trænet	trénovaný	træne	trénovaný	V;INDF;SG;PST;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
trænet	vyškolení	træne	vyškolenie	V;INDF;SG;PST;V.PTCP	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
byzantinske	byzantský	byzantinsk	byzantský	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
forventet	očakávaný	forvente	očakávaný	V;INDF;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
forventet	očakávaná	forvente	očakávaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
forventet	predpokladaný	forvente	predpokladaný	V;INDF;SG;PST;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
forventet	očakávané	forvente	očakávaný	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
forventet	očakáva	forvente	očakávať	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;POS;PRS;FIN
harrison	harrison	harrison	harrison		PROPN;ANIM;NOM;MASC;SG
gaza	gaze	gaza	gaza	PROPN	N;NOM;FEM;SG
grey	šedá	grey	šedý		N;NOM;FEM;SG
