ve	وال	ve	وَال	CONJ	N;NOM;DEF;SG
kulüp	كلوب	kul	كلوب		
bağlı	يعتمد	bağlı	اِعتَمَد		V;IPFV;MASC;IND;SG;3;FIN;ACT
bağlı	متصلة	bağlı	مُتَّصِل		ADJ;NOM;INDF;FEM;SG
bağlı	متصل	bağlı	مُتَّصِل		ADJ;NOM;INDF;MASC;SG
bağlı	مرتبطة	bağlı	مُرتَبِط		ADJ;NOM;INDF;FEM;SG
bağlı	مرتبط	bağlı	مُرتَبِط		ADJ;NOM;INDF;MASC;SG
bağlı	مرتبط	bağlı	مُرتَبِط		ADJ;NOM;INDF;MASC;SG
bağlı	مرتبطة	bağlı	مُرتَبِط		ADJ;NOM;INDF;FEM;SG
iyi	خير	iyi	خَير		ADJ;NOM;INDF;MASC;SG
iyi	الخير	iyi	خَير		N;NOM;DEF;SG
iyi	طيب	iyi	طيب		
iyi	جيد	iyi	جَيِّد		ADJ;NOM;INDF;MASC;SG
iyi	بخير	iyi	بخير		
iyi	الغرامة	iyi	غَرَامَة		N;NOM;DEF;SG
iyi	بخير	iyi	بخير		
iyi	غرامة	iyi	غَرَامَة		N;NOM;INDF;SG
ne	ما	ne	مَا		DET
ne	ماذا	ne	مَاذَا		DET
ne	ايش	ne	أَيش		
ne	شنو	ne	شَنُو		
ilgili	المهتمة	ilgili	مُهتَمّ	ADJ	N;NOM;DEF;SG
son	الاخيرة	son	أَخِير		ADJ;NOM;DEF;FEM;SG
son	اخر	son	آخَر		ADJ;NOM;INDF;MASC;SG
son	اخير	son	أَخِير		ADJ;NOM;INDF;MASC;SG
son	تدوم	son	دَام		V;IPFV;FEM;IND;SG;3;FIN;ACT
son	الاخير	son	أَخِير		ADJ;NOM;DEF;MASC;SG
son	نهاية	son	نِهَايَة		N;NOM;INDF;SG
son	النهاية	son	نِهَايَة		N;NOM;DEF;SG
alan	الميدان	al	مَيدَان	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;DEF;SG
alan	حقل	al	حقل	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;INDF;SG
alan	الحقل	al	حَقل	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;DEF;SG
alan	ميدان	al	مَيدَان	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;INDF;SG
alan	النطاق	al	نِطَاق	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;DEF;SG
alan	مجال	al	مَجَال	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;INDF;SG
alan	المجال	al	مَجَال	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;DEF;SG
alan	الن	al	الن	V;PFV;IND;POS;PRS;V.PTCP	
alan	مساحة	al	مِسَاحَة	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;INDF;SG
alan	المساحة	al	مِسَاحَة	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;DEF;SG
alan	منطقة	al	مِنطَقَة	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;INDF;SG
alan	المنطقة	al	مِنطَقَة	V;PFV;IND;POS;PRS;V.PTCP	N;NOM;DEF;SG
dünya	عالم	dünya	عَالَم		N;NOM;INDF;SG
dünya	العالمي	dünya	عَالَمِيّ		ADJ;NOM;DEF;MASC;SG
dünya	الدنيا	dünya	دِنِّيَا		N;NOM;DEF;SG
dünya	العالم	dünya	عَالَم		N;NOM;DEF;SG
dünya	world	dünya	world		
dünya	الارض	dünya	أَرض		N;NOM;DEF;SG
abd	امريكا	abd	أَمرِيكَا		
birlikte	سويا	birlikte	سُويَا		
birlikte	سوية	birlikte	سُوِيّ		
birlikte	معا	birlikte	مَعًا		
eski	قديمه	eski	قديمه		
eski	عجوز	eski	عَجُوز		N;NOM;INDF;SG
eski	قديمة	eski	قَدِيم		ADJ;NOM;INDF;FEM;SG
eski	قديم	eski	قَدِيم		ADJ;NOM;INDF;MASC;SG
eski	القديم	eski	قَدِيم		ADJ;NOM;DEF;MASC;SG
and	الانديز	and	الانديز		
önemli	ابرز	önemli	أَبرَز		ADJ;NOM;INDF;MASC;SG
önemli	هام	önemli	هَامّ		ADJ;NOM;INDF;MASC;SG
önemli	مهمة	önemli	مَهَمَّة		N;NOM;INDF;SG
önemli	مهم	önemli	مُهِمّ		ADJ;NOM;INDF;MASC;SG
önemli	المهم	önemli	مُهِمّ		
madde	الجوهر	madde	الجوهر	N;NOM;SG;3	
madde	المواد	madde	مَادَّة	N;NOM;SG;3	N;NOM;DEF;PL
madde	مواد	madde	مَادَّة	N;NOM;SG;3	N;NOM;INDF;PL
sağlık	الطبي	sağlık	طِبِّيّ	N;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
sağlık	طبية	sağlık	طِبِّيّ	N;NOM;SG;3	ADJ;NOM;INDF;FEM;SG
sağlık	الطبية	sağlık	طِبِّيّ	N;NOM;SG;3	ADJ;NOM;DEF;FEM;SG
genel	اجمالا	genel	إِجمَال	ADJ	N;ACC;INDF;SG
genel	عموما	genel	عُمُوم	ADJ	N;ACC;INDF;SG
genel	عام	genel	عَام	ADJ	N;NOM;INDF;SG
genel	لواء	genel	لِوَاء	ADJ	N;NOM;INDF;SG
genel	اللواء	genel	لِوَاء	ADJ	N;NOM;DEF;SG
genel	جنرال	genel	جنرال	ADJ	
genel	الجنرال	genel	جِنِرَال	ADJ	N;NOM;DEF;SG
mart	مارت	mart	مَار		
mart	المسيرة	mart	مَسِيرَة		N;NOM;DEF;SG
mart	مارس	mart	مَارِس		N;GEN;INDF;SG
mart	مسيرة	mart	مَسِيرَة		N;NOM;INDF;SG
mart	اذار	mart	آذَار		N;NOM;INDF;SG
film	الافلام	film	فِيلم		N;NOM;DEF;PL
film	افلام	film	فِيلم		N;NOM;INDF;PL
film	الفيلم	film	فِيلم		N;NOM;DEF;SG
film	فيلم	film	فِيلم		N;NOM;INDF;SG
film	الفلم	film	فَلَّم		N;NOM;DEF;SG
film	الفيلم	film	فِيلم		N;NOM;DEF;SG
film	فيلم	film	فِيلم		N;NOM;INDF;SG
film	الافلام	film	فِيلم		N;NOM;DEF;PL
film	افلام	film	فِيلم		N;NOM;INDF;PL
haziran	حزيران	haziran	حَزِيرَان		N;NOM;INDF;SG
haziran	يونيو	haziran	يُونِيُو		N;GEN;INDF;SG
mayıs	قد	mayıs	قَد		PART
mayıs	ماي	mayıs	مَاي		
mayıs	مايو	mayıs	مَايُو		N;GEN;INDF;SG
mayıs	ايار	mayıs	أَيَّار		N;NOM;INDF;SG
dosya	ملفات	dosya	مِلَفَّة		N;NOM;INDF;PL
dosya	الملفات	dosya	مِلَفَّة		N;NOM;DEF;PL
dosya	ملف	dosya	مِلَفّ		N;NOM;INDF;SG
dosya	الملف	dosya	مِلَفّ		N;NOM;DEF;SG
ocak	يناير	ocak	يَنَايِر		N;GEN;INDF;SG
ocak	جان	ocak	جَان		
ocak	يان	ocak	يان		
ocak	يناير	ocak	يَنَايِر		N;GEN;INDF;SG
ocak	موقد	ocak	مَوقِد		N;NOM;INDF;SG
ocak	الموقد	ocak	مَوقِد		N;NOM;DEF;SG
ocak	طنجرة	ocak	طنجرة		N;NOM;INDF;SG
yıl	عام	yıl	عَام		N;NOM;INDF;SG
yıl	العام	yıl	عَام		N;NOM;DEF;SG
yıl	السنه	yıl	سَنه		N;NOM;DEF;SG
yıl	سنة	yıl	سَنَة		N;NOM;INDF;SG
yıl	سنه	yıl	سنه		N;NOM;INDF;SG
yıl	السنة	yıl	سَنَة		N;NOM;DEF;SG
dan	دان	dan	دان		
kasım	نوفمبر	kasım	نُوفِمبِر		N;GEN;INDF;SG
kasım	قاسم	kasım	قاسم		
kasım	نوفمبر	kasım	نُوفِمبِر		N;GEN;INDF;SG
avrupa	اوروبا	avrupa	أُورُوبَا		
avrupa	اوربا	avrupa	أُورُبَّا		
avrupa	يوروبا	avrupa	يُورُوبَا		
avrupa	الاوروبي	avrupa	أُورُوبِيّ		ADJ;NOM;DEF;MASC;SG
avrupa	الاوروبية	avrupa	أُورُوبِيّ		ADJ;NOM;DEF;FEM;SG
ama	لكن	ama	لكن	CONJ	
ama	بس	ama	بِسّ	CONJ	
ama	ولكن	ama	ولكن	CONJ	
karşı	العداد	karşı	عِدَاد		N;NOM;DEF;SG
karşı	مضاد	karşı	مُضَادّ		
karşı	ضد	karşı	ضِدَّ		ADP;ACC
toplam	العمر	toplam	عُمر		N;NOM;DEF;SG
toplam	المبلغ	toplam	مَبلَغ		N;NOM;DEF;SG
toplam	مبلغ	toplam	مَبلَغ		N;NOM;INDF;SG
toplam	مجموع	toplam	مَجمُوع		ADJ;NOM;INDF;MASC;SG
toplam	المجموع	toplam	مَجمُوع		N;NOM;DEF;SG
toplam	اجمالي	toplam	إِجمَالِيّ		N;NOM;INDF;SG
toplam	الاجمالي	toplam	إِجمَالِيّ		ADJ;NOM;DEF;MASC;SG
toplam	اجمالا	toplam	إِجمَال		N;ACC;INDF;SG
toplam	عموما	toplam	عُمُوم		N;ACC;INDF;SG
jpg	jpg	jpg	مُثَّة		V;PFV;MASC;SG;3;ACT
ikinci	الثانيه	ikinci	الثانيه	ADJ	
ikinci	تاني	ikinci	تَانِي	ADJ	
ikinci	ثاني	ikinci	ثاني	ADJ	
eylül	ايلول	eylül	أَيلُول		N;NOM;INDF;SG
eylül	سبتمبر	eylül	سِبتَمبِر		N;GEN;INDF;SG
ağustos	اغسطس	ağustos	أَغُسطُس		N;GEN;INDF;SG
ağustos	اوغست	ağustos	أَوغَس		
içinde	داخل	içinde	دَاخِلَ	ADV	ADP;ACC
içinde	للداخل	içinde	لِ	ADV	N;NOM;DEF;SG
içinde	داخلي	içinde	دَاخِلِيّ	ADV	ADJ;NOM;INDF;MASC;SG
içinde	بالداخل	içinde	بِ	ADV	N;GEN;DEF;SG
içinde	الداخل	içinde	دَاخِل	ADV	N;NOM;DEF;SG
içinde	ضمن	içinde	ضِمنَ	ADV	ADP;ACC
temmuz	يوليو	temmuz	يُولِيُو		N;GEN;INDF;SG
temmuz	تموز	temmuz	تَمُّوز		N;GEN;INDF;SG
önce	قبل	önce	قَبلَ		ADP;ACC
önce	اول	önce	أَوَّل		ADJ;NOM;INDF;MASC;SG
önce	اولا	önce	أَوَّل		ADJ;ACC;INDF;MASC;SG
önce	الاول	önce	أَوَّل		ADJ;NOM;DEF;MASC;SG
önce	الاولى	önce	أَوَّل		ADJ;NOM;DEF;FEM;SG
den	دن	None	دَن		
den	عرين	None	عَرِين		
nisan	ابريل	nisan	أَبرِيل		N;GEN;INDF;SG
nisan	نيسان	nisan	نِيسَان		N;NOM;INDF;SG
resim	صورة	resim	صُورَة		N;NOM;INDF;SG
resim	الصورة	resim	صُورَة		N;NOM;DEF;SG
resim	الصوره	resim	صُوره		
resim	صوره	resim	صُوره		
resim	صورة	resim	صُورَة		N;NOM;INDF;SG
resim	الصورة	resim	صُورَة		N;NOM;DEF;SG
resim	اللوحة	resim	لَوحَة		N;NOM;DEF;SG
resim	لوحة	resim	لَوحَة		N;NOM;INDF;SG
resim	الرسم	resim	رَسم		N;NOM;DEF;SG
resim	ارسم	resim	ارسم		
resim	رسمة	resim	رَسمَة		N;NOM;INDF;SG
resim	رسم	resim	رَسم		N;NOM;INDF;SG
resim	الرسم	resim	رَسم		N;NOM;DEF;SG
ye	كلوا	ye	كُلو		V;PFV;MASC;IMP;SG
ye	اكل	ye	أَكل		
ye	كلي	ye	كُلِّيّ		N;NOM;INDF;SG
ye	كل	ye	كُلّ		N;NOM;INDF;SG
ekim	اكتوبر	ekim	أُكتُوبِر		N;GEN;INDF;SG
şehir	تاون	şehir	تَاون		
şehir	بلدة	şehir	بَلدَة		N;NOM;INDF;SG
şehir	المدينة	şehir	مَدِينَة		N;NOM;DEF;SG
şehir	البلدة	şehir	بَلدَة		N;NOM;DEF;SG
şehir	المدينه	şehir	المدينه		
şehir	مدينة	şehir	مَدِينَة		N;NOM;INDF;SG
şehir	المدينة	şehir	مَدِينَة		N;NOM;DEF;SG
şehir	سيتي	şehir	سِيتِي		
şehir	الحضر	şehir	حَضَر		N;NOM;DEF;SG
şehir	حضرية	şehir	حَضَرِيّ		ADJ;NOM;INDF;FEM;SG
şehir	الحضري	şehir	حَضَرِيّ		
şehir	الحضرية	şehir	حَضَرِيّ		N;NOM;DEF;SG
şehir	حضري	şehir	حضري		
bazı	البعض	bazı	بَعض	DET	N;NOM;DEF;SG
bazı	بعض	bazı	بَعض	DET	N;NOM;INDF;SG
aralık	ديسمبر	aralık	دِيسَمبِر	N;NOM;SG;3	N;GEN;INDF;SG
aralık	ديسمبر	aralık	دِيسَمبِر	N;NOM;SG;3	N;GEN;INDF;SG
köy	قرية	köy	قَريَة		N;NOM;INDF;SG
köy	القرية	köy	قَريَة		N;NOM;DEF;SG
yüksek	عال	yüksek	عَالِي	ADJ	N;NOM;INDF;SG
yüksek	اعلى	yüksek	اعلى	ADJ	
birçok	كثير	birçok	كَثِير	DET	ADJ;NOM;INDF;MASC;SG
birçok	العديد	birçok	عَدِيد	DET	ADJ;NOM;DEF;MASC;SG
birçok	الكثيرون	birçok	كَثِير	DET	ADJ;NOM;DEF;MASC;PL
birçok	كثيرون	birçok	كَثِير	DET	ADJ;NOM;INDF;MASC;PL
birçok	الكثير	birçok	كَثِير	DET	ADJ;NOM;DEF;MASC;SG
şubat	فبراير	şubat	فِبرَايِر		N;GEN;INDF;SG
şubat	شباط	şubat	شُبَاط		N;NOM;INDF;SG
şubat	فبراير	şubat	فِبرَايِر		N;GEN;INDF;SG
sadece	مجرد	sadece	مُجَرَّد	ADV	N;NOM;INDF;SG
yol	الصراط	yol	صِرَاط		N;NOM;DEF;SG
yol	الدرب	yol	دَرب		N;NOM;DEF;SG
yol	المسار	yol	مَسَار		N;NOM;DEF;SG
yol	مسار	yol	مَسَار		N;NOM;INDF;SG
yol	طريقه	yol	طريقه		PRO;NOM;FEM;SG;3
yol	الطريق	yol	طَرِيق		N;NOM;DEF;SG
yol	طريقة	yol	طَرِيقَة		N;NOM;INDF;SG
yol	الطريقة	yol	طَرِيقَة		N;NOM;DEF;SG
yol	الطريق	yol	طَرِيق		N;NOM;DEF;SG
yol	طريق	yol	طَرِيق		N;NOM;INDF;SG
fakat	لكن	fakat	لكن		
fakat	بس	fakat	بِسّ		
fakat	ولكن	fakat	ولكن		
grup	فرقة	grup	فِرقَة		N;NOM;INDF;SG
grup	الفرقة	grup	فِرقَة		N;NOM;DEF;SG
grup	مجموعة	grup	مَجمُوعَة		N;NOM;INDF;SG
grup	المجموعة	grup	مَجمُوعَة		N;NOM;DEF;SG
takım	فرقة	takım	فِرقَة		N;NOM;INDF;SG
takım	الفرقة	takım	فِرقَة		N;NOM;DEF;SG
takım	الفريق	takım	فَرِيق		N;NOM;DEF;SG
takım	فريق	takım	فَرِيق		N;NOM;INDF;SG
kendi	امتلك	kendi	اِمتَلَك	PRO;NOM;SG;3;REFL	V;PFV;MASC;SG;3;ACT
şekilde	طريقه	şekil	طريقه	N;ESS;SG;3	PRO;NOM;FEM;SG;3
şekilde	الطريق	şekil	طَرِيق	N;ESS;SG;3	N;NOM;DEF;SG
şekilde	طريقة	şekil	طَرِيقَة	N;ESS;SG;3	N;NOM;INDF;SG
şekilde	الطريقة	şekil	طَرِيقَة	N;ESS;SG;3	N;NOM;DEF;SG
tek	الفردي	tek	فَردِيّ		ADJ;NOM;DEF;MASC;SG
tek	فردي	tek	فَردِيّ		ADJ;NOM;INDF;MASC;SG
tek	العزاب	tek	عِزَاب		N;NOM;DEF;PL
tek	sing	tek	قَثَّث		
tek	عزباء	tek	عَزِيب		N;NOM;INDF;SG
tek	عازب	tek	عَازَب		
bilgi	in	bilgi	مَثّ	N;NOM;SG;3	
bilgi	المعلومات	bilgi	مَعلُومَة	N;NOM;SG;3	N;NOM;DEF;PL
bilgi	معلومات	bilgi	مَعلُومَة	N;NOM;SG;3	N;NOM;INDF;PL
bilgi	المعلومات	bilgi	مَعلُومَة	N;NOM;SG;3	N;NOM;DEF;PL
bilgi	معلومات	bilgi	مَعلُومَة	N;NOM;SG;3	N;NOM;INDF;PL
bilgi	المعارف	bilgi	مَعرِفَة	N;NOM;SG;3	N;NOM;DEF;PL
kez	تايمز	kez	تَايمز	N;NOM;SG;3	
kez	اوقات	kez	وَقت	N;NOM;SG;3	N;NOM;INDF;PL
kez	المرات	kez	مَرَّة	N;NOM;SG;3	N;NOM;DEF;PL
kez	التايمز	kez	تَايمز	N;NOM;SG;3	
kez	مرات	kez	مَرَّة	N;NOM;SG;3	N;NOM;INDF;PL
kez	الاوقات	kez	وَقت	N;NOM;SG;3	N;NOM;DEF;PL
hakkında	حول	hak	حَولَ	N;ESS;SG;3	ADP;ACC
hakkında	بشان	hak	بشان	N;ESS;SG;3	N;NOM;INDF;SG
hakkında	بخصوص	hak	بخصوص	N;ESS;SG;3	N;NOM;INDF;SG
hakkında	عن	hak	عَن	N;ESS;SG;3	ADP
latns	lat	latns	شَهِر		
longew	long	longew	شَام		
latd	latd	lat	شَارِث		
osmanlı	العثمانية	osmanlı	عُثمَانِيّ		N;NOM;DEF;SG
osmanlı	العثمانيين	osmanlı	عُثمَانِيّ		ADJ;NOM;DEF;MASC;PL
longd	longd	longd	قَحَث		
longm	long	long	شَام		
latm	latm	latm	شَارِئ		
devlet	الحكومات	devlet	حُكُومَة	N;NOM;SG;3	N;NOM;DEF;PL
ankara	انقرة	ankar	أَنقَرَة		N;NOM;INDF;SG
colspan	colspa	colspan	colspa		
üç	th	üç	th	NUM	
üç	ثلاثه	üç	ثلاثه	NUM	
tarihi	موعد	tarih	مَوعِد		N;NOM;INDF;SG
tarihi	الموعد	tarih	مَوعِد		N;NOM;DEF;SG
tarihi	التاريخ	tarih	تَارِيخ		N;NOM;DEF;SG
tarihi	تاريخ	tarih	تَارِيخ		N;NOM;INDF;SG
tarihi	تاريخي	tarih	تَارِيخِيّ		ADJ;NOM;INDF;MASC;SG
tarihi	تاريخية	tarih	تَارِيخِيّ		ADJ;NOM;INDF;FEM;SG
tarihi	التاريخ	tarih	تَارِيخ		N;NOM;DEF;SG
tarihi	تاريخ	tarih	تَارِيخ		N;NOM;INDF;SG
küçük	صغيره	küçük	صغيره	ADJ	PRO;NOM;FEM;SG;3
küçük	صغر	küçük	صَغَر	ADJ	N;NOM;INDF;SG
küçük	ليل	küçük	لَيل	ADJ	N;NOM;INDF;SG
küçük	الصغير	küçük	صَغِير	ADJ	
küçük	القليل	küçük	قَلِيل	ADJ	
müzik	موسيقى	müzik	مُوسِيقِيّ		N;NOM;INDF;SG
müzik	موسيقي	müzik	مُوسِيقِيّ		N;NOM;INDF;SG
müzik	mus	müzik	سَذَق		
müzik	الموسيقى	müzik	الموسيقى		N;NOM;DEF;SG
gelen	الواردة	gel	وَارِد	V;PFV;IND;POS;PRS;V.PTCP	ADJ;NOM;DEF;FEM;SG
gelen	واردة	gel	وَارِدَة	V;PFV;IND;POS;PRS;V.PTCP	ADJ;NOM;INDF;FEM;SG
resmi	رسمي	resmi	رَسمِيّ		ADJ;NOM;INDF;MASC;SG
resmi	الرسمي	resmi	رَسمِيّ		ADJ;NOM;DEF;MASC;SG
resmi	رسمية	resmi	رَسمِيّ		ADJ;NOM;INDF;FEM;SG
resmi	صورة	resmi	صُورَة		N;NOM;INDF;SG
resmi	الصورة	resmi	صُورَة		N;NOM;DEF;SG
resmi	الصوره	resmi	صُوره		
resmi	صوره	resmi	صُوره		
resmi	رسمي	resmi	رَسمِيّ		ADJ;NOM;INDF;MASC;SG
resmi	الرسمي	resmi	رَسمِيّ		ADJ;NOM;DEF;MASC;SG
resmi	رسمية	resmi	رَسمِيّ		ADJ;NOM;INDF;FEM;SG
resmi	مسؤول	resmi	مَسؤُول		N;NOM;INDF;SG
kabul	اتفق	kabul	اِتَّفَق	N;NOM;SG;3	V;PFV;MASC;SG;3;ACT
kabul	متفق	kabul	مُتَّفَق	N;NOM;SG;3	ADJ;NOM;INDF;MASC;SG
kabul	يقبل	kabul	قَبِل	N;NOM;SG;3	V;IPFV;MASC;IND;SG;3;FIN;ACT
kabul	يتقبل	kabul	تَقَبَّل	N;NOM;SG;3	V;IPFV;MASC;IND;SG;3;FIN;ACT
kabul	نقبل	kabul	نقبل	N;NOM;SG;3	V;IPFV;MASC;IND;PL;1;FIN;ACT
kabul	تقبل	kabul	قَبِل	N;NOM;SG;3	V;IPFV;FEM;IND;SG;3;FIN;ACT
kabul	اقبل	kabul	أَقبَل	N;NOM;SG;3	V;PFV;MASC;SG;3;ACT
kabul	قبلت	kabul	قَبِل	N;NOM;SG;3	V;PFV;FEM;SG;3;ACT
kabul	مقبولة	kabul	مَقبُول	N;NOM;SG;3	ADJ;NOM;INDF;FEM;SG
kabul	اتفق	kabul	اِتَّفَق	N;NOM;SG;3	V;PFV;MASC;SG;3;ACT
kabul	اوافق	kabul	أَوَّق	N;NOM;SG;3	
kabul	نتفق	kabul	نتفق	N;NOM;SG;3	V;IPFV;MASC;IND;PL;1;FIN;ACT
devam	احتفظ	devam	اِحتَفَظ	N;NOM;SG;3	V;PFV;MASC;SG;3;ACT
kupası	كاس	kupa	كَاس	N;NOM;SG;3	
kupası	الكاس	kupa	كَاسّ	N;NOM;SG;3	
fazla	فائض	fazla	فَائِض		N;NOM;INDF;SG
fazla	الفائض	fazla	فَائِض		N;NOM;DEF;SG
okulu	مدرسه	okul	مدرسه	N;NOM;SG;3	PRO;NOM;MASC;SG;3
okulu	المدارس	okul	مَدرَسَة	N;NOM;SG;3	N;NOM;DEF;PL
aldı	ماخوذ	al	ماخوذ	V;PFV;IND;SG;3;POS;PST	
aldı	تؤخذ	al	أَخَذ	V;PFV;IND;SG;3;POS;PST	V;IPFV;FEM;IND;SG;3;FIN;ACT
aldı	المتخذة	al	مُتَّخَذ	V;PFV;IND;SG;3;POS;PST	ADJ;NOM;DEF;FEM;SG
aldı	استلام	al	اِستِلَام	V;PFV;IND;SG;3;POS;PST	N;NOM;INDF;SG
aldı	ورد	al	وَرَد	V;PFV;IND;SG;3;POS;PST	
em	مص	e	مَصَ		
em	امتص	e	مَتَص		
sahip	صاحب	sahip	صَاحِب		N;NOM;INDF;SG
ileti	رساله	ilet	رساله		PRO;NOM;FEM;SG;3
ileti	الرسالة	ilet	رِسَالَة		N;NOM;DEF;SG
ileti	رسالة	ilet	رِسَالَة		N;NOM;INDF;SG
doğru	دقيقا	doğru	دَقِيق		ADJ;ACC;INDF;MASC;SG
doğru	دقيق	doğru	دَقِيق		ADJ;NOM;INDF;MASC;SG
doğru	صح	doğru	صَحّ		
doğru	يمين	doğru	أَمَان		
doğru	الحق	doğru	حَقّ		N;NOM;DEF;SG
doğru	صحيح	doğru	صَحِيح		ADJ;NOM;INDF;MASC;SG
doğru	حق	doğru	حَقّ		N;NOM;INDF;SG
doğru	حقيقي	doğru	حَقِيقِيّ		ADJ;NOM;INDF;MASC;SG
doğru	صحيح	doğru	صَحِيح		ADJ;NOM;INDF;MASC;SG
doğru	صحح	doğru	صَحِح		V;PFV;MASC;SG;3;ACT
tarım	زراعية	tarım	زِرَاعِيّ		ADJ;NOM;INDF;FEM;SG
tarım	الزراعة	tarım	زِرَاعَة		N;NOM;DEF;SG
tarım	زراعة	tarım	زِرَاعَة		N;NOM;INDF;SG
tarım	الزراعة	tarım	زِرَاعَة		N;NOM;DEF;SG
tarım	زراعة	tarım	زِرَاعَة		N;NOM;INDF;SG
