úseky	раздели	úsek	разделя-(се)	N;INAN;NOM;MASC;PL;POS	V;PFV;IMP;SG;2;FIN
součet	sum	součet	sum	N;INAN;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
součet	сум	součet	сум	N;INAN;NOM;MASC;SG;POS	V;IPFV;IND;SG;1;PRS;FIN;ACT
jamie	джейми	jamie	джейма	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
psí	куче	psí	куче	ADJ;NOM;MASC;SG;POS	N;INDF;NEUT;SG
psí	кучето	psí	куче	ADJ;NOM;MASC;SG;POS	N;DEF;NEUT;SG
psí	дог	psí	дог	ADJ;NOM;MASC;SG;POS	N;INDF;MASC;SG
skotsko	шотландия	skotsko	шотландия	PROPN;NOM;NEUT;SG;POS	N;INDF;FEM;SG
třebaže	макар	třebaže	макар	CONJ	ADP
fred	фред	fred	фред	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
rangers	рейнджърите	rangers	рейнджър	PROPN;ANIM;MASC;PL;POS	N;DEF;MASC;PL
rangers	рейнджъри	rangers	рейнджър	PROPN;ANIM;MASC;PL;POS	N;INDF;MASC;PL
rangers	рейнджърс	rangers	рейнджърс	PROPN;ANIM;MASC;PL;POS	N;INDF;MASC;SG
rangers	рейнджър	rangers	рейнджър	PROPN;ANIM;MASC;PL;POS	N;INDF;MASC;SG
špatný	зле	špatný	зле	ADJ;INAN;NOM;MASC;SG;POS	ADV
špatný	лошо	špatný	лошо	ADJ;INAN;NOM;MASC;SG;POS	ADV
špatný	кофти	špatný	кофта	ADJ;INAN;NOM;MASC;SG;POS	ADV
přesný	точни	přesný	точен	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;PL
masaryk	масарик	masaryk	масарик	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
raymond	реймънд	raymond	реймънд	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
etapa	крака	etapa	крак	N;NOM;FEM;SG;POS	N;INDF;MASC;PL
kolonií	колонии	kolonie	колония	N;INS;FEM;SG;POS	N;INDF;FEM;PL
kolonií	колонии	kolonie	колония	N;INS;FEM;SG;POS	N;INDF;FEM;PL
naučil	преподавал	naučit	преподавам	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
naučil	научени	naučit	науча-(се)	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
bobby	боби	bobby	боба	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
plná	пълни	plný	пълен	ADJ;NOM;FEM;SG;POS	ADJ;INDF;PL
plná	пълно	plný	пълен	ADJ;NOM;FEM;SG;POS	ADV
efekty	въздействие	efekt	въздействие	N;INAN;NOM;MASC;PL;POS	N;INDF;NEUT;SG
efekty	ефект	efekt	ефект	N;INAN;NOM;MASC;PL;POS	N;INDF;MASC;SG
náboženská	религиозни	náboženský	религиозен	ADJ;NOM;FEM;SG;POS	ADJ;INDF;PL
náboženská	религиозно	náboženský	религиозен	ADJ;NOM;FEM;SG;POS	ADV
zničil	съсипана	zničit	съсипя-(се)	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	N;INDF;FEM;SG
zničil	съсипани	zničit	съсипанин	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	N;INDF;MASC;PL
zničil	съсипан	zničit	съсипя-(се)	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	N;INDF;MASC;SG
stvoření	твари	stvoření	твар	N;NOM;NEUT;SG;POS	N;INDF;MASC;PL
stvoření	създания	stvoření	създане	N;NOM;NEUT;SG;POS	N;INDF;NEUT;PL
stvoření	същества	stvoření	същество	N;NOM;NEUT;SG;POS	N;INDF;NEUT;PL
mechanické	механично	mechanický	механично	ADJ;NOM;NEUT;SG;POS	ADV
mechanické	механични	mechanický	механичен	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;PL
bohatá	рич	bohatý	рич	ADJ;NOM;FEM;SG;POS	N;INDF;MASC;SG
bohatá	богато	bohatý	богат	ADJ;NOM;FEM;SG;POS	ADV
bohatá	богати	bohatý	богат	ADJ;NOM;FEM;SG;POS	ADJ;INDF;PL
ubytování	хостели	ubytování	хостел	N;NOM;NEUT;SG;POS	N;INDF;MASC;PL
odpovědnost	отговорности	odpovědnost	отговорност	N;NOM;FEM;SG;POS	N;INDF;FEM;PL
uložena	прибрано	uložený	приберон	ADJ;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
uložena	прибран	uložený	прибер	ADJ;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
mtv	mtv	mtv	mtv	PROPN;NEUT;POS	N;INDF;MASC;SG
rozvíjet	развиване	rozvíjet	развиване	V;IPFV;POS;NFIN	N;INDF;NEUT;SG
šestnáct	sixteen	šestnáct	sixteen	NUM;NOM;SG	PROPN;INDF;MASC;SG
šestnáct	шестнадесет	šestnáct	шестнадесет	NUM;NOM;SG	NUM;INDF;PL
šestnáct	шестнайсет	šestnáct	шестнайсет	NUM;NOM;SG	N;INDF;MASC;PL
notre	notre	notre	notre	PROPN;FEM;SG;POS	N;INDF;MASC;SG
notre	нотр	notre	нотр	PROPN;FEM;SG;POS	N;INDF;MASC;SG
rob	роб	rob	роб	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
podává	сервира	podávat	сервирам	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
simona	саймън	simon	саймън	N;NOM;FEM;SG;POS	PROPN;INDF;MASC;SG
simona	симон	simon	симон	N;NOM;FEM;SG;POS	PROPN;INDF;MASC;SG
harold	харолд	harold	харолд	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
harold	харълд	harold	харълд	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
pouště	пустиня	poušť	пустиня	N;NOM;FEM;PL;POS	N;INDF;FEM;SG
pouště	пустинята	poušť	пустиня	N;NOM;FEM;PL;POS	N;DEF;FEM;SG
rusové	руснаци	rus	руснак	PROPN;ANIM;NOM;MASC;PL;POS	N;INDF;MASC;PL
rusové	руснаците	rus	руснак	PROPN;ANIM;NOM;MASC;PL;POS	N;DEF;MASC;PL
ferrer	ферер	ferrer	ферер	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
použité	използвано	použitý	използвам	ADJ;NOM;MASC;PL;POS	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
použité	използван	použitý	използвам	ADJ;NOM;MASC;PL;POS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
použité	използвани	použitý	използвам	ADJ;NOM;MASC;PL;POS	V;IPFV;INDF;PL;V.PTCP;PASS
použité	използвана	použitý	използвам	ADJ;NOM;MASC;PL;POS	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
mclaren	макларън	mclarna	макларън	N;INAN;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
luisa	луиза	luis	луиза	PROPN;NOM;FEM;SG;POS	N;INDF;FEM;SG
luisa	луиса	luis	луис	PROPN;NOM;FEM;SG;POS	N;INDF;FEM;SG
special	специална	special	специален	N;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
special	специално	special	специално	N;INAN;NOM;MASC;SG;POS	ADV
special	специални	special	специален	N;INAN;NOM;MASC;SG;POS	ADJ;INDF;PL
special	специален	special	специален	N;INAN;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
stínu	сенки	stín	сянка	N;INAN;GEN;MASC;SG;POS	N;INDF;FEM;PL
náročné	предизвикателство	náročný	предизвикателство	ADJ;NOM;NEUT;SG;POS	N;INDF;NEUT;SG
náročné	предизвикателно	náročný	предизвикателно	ADJ;NOM;NEUT;SG;POS	ADV
kompatibilní	съвместимо	kompatibilní	съвместим	ADJ;NOM;MASC;SG;POS	ADV
kompatibilní	съвместим	kompatibilní	съвместя	ADJ;NOM;MASC;SG;POS	N;INDF;MASC;SG
kompatibilní	съвместими	kompatibilní	съвместим	ADJ;NOM;MASC;SG;POS	ADJ;INDF;PL
technologii	технологии	technologie	технология	N;ACC;FEM;SG;POS	N;INDF;FEM;PL
lang	ланг	lang	ланг	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;FEM;SG
clark	кларк	clark	кларк	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
ekonomický	икономическо	ekonomický	икономически	ADJ;INAN;NOM;MASC;SG;POS	ADV
hledal	търсен	hledat	търсен	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
porážka	победен	porážka	победя	N;NOM;FEM;SG;POS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
obojí	двете	obojí	два	ADJ;NOM;MASC;SG	NUM;DEF;FEM;PL
nést	носене	nést	носене	V;POS;NFIN	N;INDF;NEUT;SG
lisa	лиза	lisa	лиза	PROPN;NOM;FEM;SG;POS	N;INDF;FEM;SG
lisa	лиса	lisa	лисе	PROPN;NOM;FEM;SG;POS	N;INDF;FEM;SG
jay	джей	jay	джей	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
eagle	орел	eagle	орел	ADJ;POS	N;INDF;MASC;SG
andersson	андершон	andersson	андершон	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
věřící	вярващи	věřící	вярвам	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
věřící	вярващите	věřící	вярвам	ADJ;ANIM;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	ADJ;IPFV;DEF;PL;PRS;V.PTCP;ACT
rytíři	найт	rytíř	найт	N;ANIM;NOM;MASC;PL;POS	PROPN;INDF;MASC;SG
rytíři	рицар	rytíř	рицар	N;ANIM;NOM;MASC;PL;POS	N;INDF;MASC;SG
profesní	професионални	profesní	професионален	ADJ;NOM;FEM;SG;POS	ADJ;INDF;PL
profesní	професионалист	profesní	професионалист	ADJ;NOM;FEM;SG;POS	N;INDF;MASC;SG
profesní	професионално	profesní	професионално	ADJ;NOM;FEM;SG;POS	ADV
poražen	бит	poražený	бия-(се)	ADJ;MASC;SG;POS;V.PTCP;PASS	N;INDF;MASC;SG
poražen	пребита	poražený	пребитам	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
poražen	пребит	poražený	пребит	ADJ;MASC;SG;POS;V.PTCP;PASS	N;INDF;MASC;SG
poražen	бита	poražený	бия-(се)	ADJ;MASC;SG;POS;V.PTCP;PASS	N;INDF;NEUT;PL
poražen	победена	poražený	победя	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
poražen	победени	poražený	победя	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
poražen	победен	poražený	победя	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ukončit	край	ukončit	край	V;PFV;POS;NFIN	ADP
vznikající	нововъзникващите	vznikající	нововъзниквам	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT	N;DEF;MASC;PL
chráněný	защитена	chráněný	защитя	ADJ;INAN;NOM;MASC;SG;POS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
chráněný	защитено	chráněný	защитя	ADJ;INAN;NOM;MASC;SG;POS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
chráněný	защитени	chráněný	защитя	ADJ;INAN;NOM;MASC;SG;POS	V;PFV;INDF;PL;V.PTCP;PASS
law	закон	law	закон	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
nejvíc	повечето	hodně	повече	ADV;RL;POS	ADV;DEF;PL
projít	пропуск	projít	пропуск	V;POS;NFIN	N;INDF;MASC;SG
projít	пас	projít	пас	V;POS;NFIN	N;INDF;MASC;SG
projít	преминаване	projít	преминаване	V;POS;NFIN	N;INDF;NEUT;SG
existovalo	съществували	existovat	съществувам	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT	V;IPFV;INDF;PL;IPFV;V.PTCP;ACT
existovalo	съществуваше	existovat	съществувам	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT	V;IPFV;IND;SG;3;IPFV;FIN;ACT
existovalo	съществувало	existovat	съществувам	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT	V;IPFV;INDF;NEUT;SG;IPFV;V.PTCP;ACT
fungují	работи	fungovat	работя	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	V;IPFV;IMP;SG;2;FIN
fungují	произведения	fungovat	произведение	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT	N;INDF;NEUT;PL
kolektivní	колективни	kolektivní	колективен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;PL
kolektivní	колектив	kolektivní	колектив	ADJ;NOM;MASC;SG;POS	N;INDF;MASC;SG
kolektivní	колективно	kolektivní	колективен	ADJ;NOM;MASC;SG;POS	ADV
norman	норман	norman	норман	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
zničeno	унищожени	zničený	унищожа	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
zničeno	унищожена	zničený	унищожа	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zničeno	разрушени	zničený	разруша-(се)	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
zničeno	унищожен	zničený	унищожен	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zničeno	унищожено	zničený	унищожа	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
zničeno	съсипана	zničený	съсипя-(се)	ADJ;NEUT;SG;POS;V.PTCP;PASS	N;INDF;FEM;SG
zničeno	съсипани	zničený	съсипанин	ADJ;NEUT;SG;POS;V.PTCP;PASS	N;INDF;MASC;PL
zničeno	съсипан	zničený	съсипя-(се)	ADJ;NEUT;SG;POS;V.PTCP;PASS	N;INDF;MASC;SG
rudy	руда	ruda	руда	N;NOM;FEM;PL;POS	N;INDF;FEM;SG
obr	гигантски	obrázek	гигантски	N;INAN;MASC;POS	ADJ;INDF;MASC;SG
obr	великан	obrázek	велик	N;INAN;MASC;POS	ADJ;INDF;MASC;SG
obr	гигантска	obrázek	гигантски	N;INAN;MASC;POS	ADJ;INDF;FEM;SG
platné	валидни	platný	валиден	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;PL
platné	валидно	platný	валиден	ADJ;NOM;NEUT;SG;POS	ADV
teoretické	теоретично	teoretický	теоретично	ADJ;NOM;MASC;PL;POS	ADV
teoretické	теоретична	teoretický	теоретичен	ADJ;NOM;MASC;PL;POS	ADJ;INDF;FEM;SG
evans	евънс	evans	евънс	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
evans	еванс	evans	еванс	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
neil	нийл	neil	нийл	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
některý	някои	některý	някой	DET;NOM;MASC;SG	PRO;NOM;PL
ovládá	контролиране	ovládat	контролиране	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	N;INDF;NEUT;SG
poranění	наранявания	poranění	нараняване	N;NOM;NEUT;SG;POS	N;INDF;NEUT;PL
poranění	контузии	poranění	контузия	N;NOM;NEUT;SG;POS	N;INDF;FEM;PL
poranění	наранявания	poranění	нараняване	N;NOM;NEUT;SG;POS	N;INDF;NEUT;PL
eds	eds	eds	eds	PROPN;FEM;POS	N;INDF;MASC;SG
akt	act	akt	act	N;INAN;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
ltd	еоод	ltd	еоод	PROPN;NOM;MASC;SG;POS	N;INDF;MASC;SG
ltd	оод	ltd	оод	PROPN;NOM;MASC;SG;POS	N;INDF;FEM;SG
ltd	ltd	ltd	ltd	PROPN;NOM;MASC;SG;POS	ADV
teplé	топло	teplý	топло	ADJ;NOM;NEUT;SG;POS	ADV
teplé	топли	teplý	топъл	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;PL
vypracoval	изготвено	vypracovat	изготвя	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
španělsky	испанци	španělsky	испанец	ADV;POS	N;INDF;MASC;PL
španělsky	испанска	španělsky	испански	ADV;POS	ADJ;INDF;FEM;SG
španělsky	испански	španělsky	испански	ADV;POS	ADJ;INDF;MASC;SG
ekologické	екологично	ekologický	екологично	ADJ;NOM;MASC;SG;POS	ADV
ekologické	екологични	ekologický	екологичен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;PL
ekologické	органични	ekologický	органичен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;PL
ekologické	органично	ekologický	органичен	ADJ;NOM;MASC;SG;POS	ADV
obal	опаковки	obal	опаковка	N;INAN;NOM;MASC;SG;POS	N;INDF;FEM;PL
partnerství	партньорства	partnerství	партньорство	N;NOM;NEUT;SG;POS	N;INDF;NEUT;PL
napsáno	писмено	napsaný	писмен	ADJ;NEUT;SG;POS;V.PTCP;PASS	ADV
napsáno	написана	napsaný	напиша	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
napsáno	написано	napsaný	напиша	ADJ;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
krásný	прекрасни	krásný	прекрасен	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;PL
krásný	красиво	krásný	красиво	ADJ;INAN;NOM;MASC;SG;POS	ADV
instrukce	инструкция	instrukce	инструкция	N;NOM;FEM;PL;POS	N;INDF;FEM;SG
instrukce	инструкция	instrukce	инструкция	N;NOM;FEM;PL;POS	N;INDF;FEM;SG
změněn	променени	změněný	променя-(се)	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
změněn	променено	změněný	променя-(се)	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
změněn	променена	změněný	променя-(се)	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
změněn	променен	změněný	променя-(се)	ADJ;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
front	преден	fronta	преден	PROPN;INAN;NOM;MASC;SG;POS	ADJ;INDF;MASC;SG
front	предни	fronta	преден	PROPN;INAN;NOM;MASC;SG;POS	ADJ;INDF;PL
front	отпред	fronta	отпред	PROPN;INAN;NOM;MASC;SG;POS	ADV
front	фронт	fronta	фронт	PROPN;INAN;NOM;MASC;SG;POS	N;INDF;MASC;SG
front	предна	fronta	преден	PROPN;INAN;NOM;MASC;SG;POS	ADJ;INDF;FEM;SG
diego	диего	diego	диего	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
werner	вернер	werner	вернер	PROPN;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
komunistická	комунист	komunistický	комунист	ADJ;NOM;FEM;SG;POS	N;INDF;MASC;SG
richter	рихтер	richter	рихтер	PROPN;ANIM;NOM;MASC;SG;POS	N;INDF;MASC;SG
vltava	вълтава	vltava	вълтавам	PROPN;NOM;FEM;SG;POS	N;INDF;FEM;SG
snížit	намаляване	snížit	намаляване	V;PFV;POS;NFIN	N;INDF;NEUT;SG
snížit	намаление	snížit	намаление	V;PFV;POS;NFIN	N;INDF;NEUT;SG
snížit	намаляване	snížit	намаляване	V;PFV;POS;NFIN	N;INDF;NEUT;SG
snížit	спадане	snížit	спадане	V;PFV;POS;NFIN	N;INDF;NEUT;SG
discovery	откритие	discovery	откритие	PROPN;FEM;POS	N;INDF;NEUT;SG
discovery	разкритие	discovery	разкритие	PROPN;FEM;POS	N;INDF;NEUT;SG
discovery	дискавъри	discovery	дискавър	PROPN;FEM;POS	N;INDF;MASC;SG
discovery	откриване	discovery	откриване	PROPN;FEM;POS	N;INDF;NEUT;SG
grafika	графични	grafika	графичен	N;NOM;FEM;SG;POS	ADJ;INDF;PL
grafika	графичен	grafika	графичен	N;NOM;FEM;SG;POS	ADJ;INDF;MASC;SG
grafika	графики	grafika	графика	N;NOM;FEM;SG;POS	N;INDF;FEM;PL
grafika	графичен	grafika	графичен	N;NOM;FEM;SG;POS	ADJ;INDF;MASC;SG
kirk	кърк	kirk	кърк	N;ANIM;NOM;MASC;SG;POS	PROPN;INDF;MASC;SG
jarmila	ярмила	jarmila	ярмил	PROPN;NOM;FEM;SG;POS	N;INDF;FEM;SG
hlasovací	гласуването	hlasovací	гласуване	ADJ;NOM;MASC;SG;POS	N;DEF;NEUT;SG
hlasovací	гласуване	hlasovací	гласуване	ADJ;NOM;MASC;SG;POS	N;INDF;NEUT;SG
podzemí	подземен	podzemí	подземен	N;NOM;NEUT;SG;POS	ADJ;INDF;MASC;SG
podzemí	подземно	podzemí	подземно	N;NOM;NEUT;SG;POS	ADV
podzemí	подземни	podzemí	подземен	N;NOM;NEUT;SG;POS	ADJ;INDF;PL
identity	самоличности	identita	самоличност	N;NOM;FEM;SG;POS	N;INDF;FEM;PL
ukázala	показа	ukázat	покажа-(се)	V;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
definitivní	окончателни	definitivní	окончателен	ADJ;NOM;MASC;SG;POS	ADJ;INDF;PL
definitivní	окончателно	definitivní	окончателно	ADJ;NOM;MASC;SG;POS	ADV
ponorka	sub	ponorka	sub	N;NOM;FEM;SG;POS	INTJ
smíšený	смесени	smíšený	смесен	ADJ;INAN;NOM;MASC;SG;POS	ADJ;INDF;PL
smíšený	смесено	smíšený	смесено	ADJ;INAN;NOM;MASC;SG;POS	ADV
kritizoval	критикува	kritizovat	критикувам	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kritizoval	критикува	kritizovat	критикувам	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kritizoval	разкритикува	kritizovat	разкритикувам	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
sedí	седнала	sedět	седна	V;IND;SG;3;POS;PRS;FIN;ACT	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
sedí	седнал	sedět	седна	V;IND;SG;3;POS;PRS;FIN;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
sedí	седящ	sedět	седя	V;IND;SG;3;POS;PRS;FIN;ACT	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
sedí	припадъци	sedět	припадък	V;IND;SG;3;POS;PRS;FIN;ACT	N;INDF;MASC;PL
uložen	съхранявани	uložený	съхранявам-(се)	ADJ;MASC;SG;POS;V.PTCP;PASS	V;IPFV;INDF;PL;V.PTCP;PASS
svatební	свадба	svatební	свадба	ADJ;NOM;MASC;SG;POS	N;INDF;FEM;SG
svatební	сватба	svatební	сватба	ADJ;NOM;MASC;SG;POS	N;INDF;FEM;SG
abecedy	азбука	abeceda	азбукам	N;NOM;FEM;PL;POS	N;INDF;FEM;SG
abecedy	азбуката	abeceda	азбука	N;NOM;FEM;PL;POS	N;DEF;FEM;SG
povinné	задължително	povinný	задължително	ADJ;NOM;NEUT;SG;POS	ADV
povinné	задължителни	povinný	задължителен	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;PL
povinné	задължително	povinný	задължително	ADJ;NOM;NEUT;SG;POS	ADV
povinné	задължителни	povinný	задължителен	ADJ;NOM;NEUT;SG;POS	ADJ;INDF;PL
ústní	орален	ústní	орален	ADJ;NOM;MASC;SG;POS	N;INDF;MASC;SG
ústní	орално	ústní	орално	ADJ;NOM;MASC;SG;POS	ADV
ústní	перорално	ústní	перорален	ADJ;NOM;MASC;SG;POS	ADV
dně	отдолу	dno	отдолу	N;NOM;NEUT;SG;POS	ADV
řecká	гръцко	řecký	гръцко	ADJ;NOM;FEM;SG;POS	ADV
