nie	non	nie	non	PART;NEG	ADV
zobacz	vista	zobaczyć	vista	V;PFV;IMP;SG;2;FIN;ACT	N;FEM;SG
zobacz	visualizza	zobaczyć	visualizzare	V;PFV;IMP;SG;2;FIN;ACT	V;IND;SG;3;PRS;FIN
gmina	municipalità	gmina	municipalità		N;FEM
nad	nad	nad	nad	ADP	N;MASC
polsce	polonia	polska	polonia	ADV	N;FEM;SG
już	già	już	già	PART	ADV
grudnia	dicembre	grudzień	dicembre		N;MASC;SG
marca	march	marza	march		N;SG
marca	marzo	marza	marzo		N;MASC;SG
marca	marcia	marza	marcia		N;FEM;SG
marca	marc	marza	marc		N;SG
może	may	móc	may	V;IPFV;IND;SG;3;PRS;FIN;ACT	N
może	maggio	móc	maggio	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
może	può	móc	potere	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
może	forse	móc	forse	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
może	magari	móc	magari	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
było	era	być	essere	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
było	fu	być	essere	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
wieś	wieś	wieś	wieś	N;NOM;FEM;SG	ADJ;SG
kwietnia	april	kwiecia	april		N
kwietnia	aprile	kwiecia	aprile		N;MASC;SG
lipca	luglio	lipiec	luglio		N;MASC;SG
lutego	febbraio	luty	febbraio		N;MASC;SG
lutego	febbraio	luty	febbraio		N;MASC;SG
były	ex	być	ex	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ
były	erano	być	essere	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
przed	prima	przed	prima	ADP	ADV
przed	before	przed	before	ADP	
pierwszy	primi	pierwszy	primo	ADJ;NOM;MASC;SG	ADJ;MASC;PL
pierwszy	prima	pierwszy	prima	ADJ;NOM;MASC;SG	ADV
wojny	guerre	wojna	guerra	N;GEN;FEM;SG	N;FEM;PL
można	possono	można	potere	V;IND;PRS;FIN	V;IND;PL;3;PRS;FIN
można	can	można	can	V;IND;PRS;FIN	
można	può	można	potere	V;IND;PRS;FIN	V;IND;SG;3;PRS;FIN
znajduje	ritrovamenti	znajdować	ritrovamento	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
znajduje	reperti	znajdować	reperto	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
data	data	datać	dare		V;FEM;SG;PST;V.PTCP
data	data	datać	dare		V;FEM;SG;PST;V.PTCP
data	dati	datać	dato		N;MASC;PL
warszawa	varsavia	warszawa	varsavia		N;FEM;SG
dwa	two	dwa	two	NUM;ACC;MASC;PL	
gdy	quando	gdy	quando	CONJ	ADV
gdy	when	gdy	when	CONJ	
innych	altro	inny	altro	ADJ;GEN;MASC;PL	PRO;MASC;SG
innych	altre	inny	altro	ADJ;GEN;MASC;PL	DET;FEM;PL
innych	altri	inny	altro	ADJ;GEN;MASC;PL	PRO;MASC;PL
iii	iii	iii	iii		ADJ;SG
między	inter	między	inter	ADP	N;FEM;SG
około	approssimativamente	około	approssimativamente	PART	ADV
stronie	pagine	strona	pagina	N;DAT;FEM;SG	N;FEM;PL
strona	pagine	strona	pagina	N;NOM;FEM;SG	N;FEM;PL
jeszcze	still	jeszcze	still	PART	
jeszcze	ancora	jeszcze	ancora	PART	ADV
jeszcze	eppure	jeszcze	eppure	PART	ADV
udział	coinvolgimento	udział	coinvolgimento	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;MASC;SG
udział	condividi	udział	condividere	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IMP;SG;2;PRS;FIN
udział	partecipazione	udział	partecipazione	V;PFV;MASC;IND;SG;PST;FIN;ACT	N;FEM;SG
inne	altro	inny	altro	ADJ;NOM;NEUT;SG	PRO;MASC;SG
inne	altre	inny	altro	ADJ;NOM;NEUT;SG	DET;FEM;PL
inne	altri	inny	altro	ADJ;NOM;NEUT;SG	PRO;MASC;PL
inne	altre	inny	altro	ADJ;NOM;NEUT;SG	DET;FEM;PL
inne	altri	inny	altro	ADJ;NOM;NEUT;SG	PRO;MASC;PL
jan	jan	jan	jan	PROPN;NOM;MASC;SG	N;MASC;SG
jan	gianni	jan	gianno	PROPN;NOM;MASC;SG	N;MASC;SG
jan	giovanni	jan	giovanne	PROPN;NOM;MASC;SG	N;MASC;SG
jan	john	jan	john	PROPN;NOM;MASC;SG	N;SG
jeden	una	jeden	uno	ADJ;NOM;MASC;SG	DET;INDF;FEM;SG
jeden	one	jeden	ona	ADJ;NOM;MASC;SG	N;SG
jeden	uno	jeden	uno	ADJ;NOM;MASC;SG	PRO;MASC;SG
miał	aveva	mieć	avere	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
miał	avevano	mieć	avere	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
tych	questi	ten	questo	DET;GEN;MASC;PL	PRO;MASC;PL
tych	quelli	ten	quello	DET;GEN;MASC;PL	PRO;MASC;PL
tych	quelle	ten	quello	DET;GEN;MASC;PL	PRO;FEM;PL
isbn	isbn	isbny	isbn		N;MASC;PL
gminy	comuni	gmina	comune		N;MASC;PL
gminy	municipi	gmina	municipio		N;MASC;PL
gminy	municipalità	gmina	municipalità		N;FEM
gminy	comuni	gmina	comune		N;MASC;PL
polska	polonia	polski	polonia	ADJ;NOM;FEM;SG	N;FEM;SG
dwóch	two	dwa	two	NUM;ACC;MASC;PL	
grupy	gruppi	grupa	gruppo	N;ACC;FEM;SG	N;MASC;PL
nim	nim	nim	nim	CONJ	N;MASC;SG
mistrzostw	campionato	mistrzostwa	campionato	N;GEN;NEUT;PL	N;MASC;SG
kiedy	when	kiedy	when	ADV	
bgcolor	bgcolor	bgcolor	bgcolor		N;MASC;SG
http	http	http	http		N;MASC
francji	francia	francja	francia	PROPN;GEN;FEM;SG	N;FEM;SG
usa	usa	usać	usare	PROPN;NOM;NEUT;PL	V;IND;SG;3;PRS;FIN
jpg	jpg	jeść	jpg		N
rodziny	famiglia	rodzina	famiglia	N;NOM;FEM;PL	N;FEM;SG
rodziny	familiare	rodzina	familiare	N;NOM;FEM;PL	ADJ;SG
amerykański	americani	amerykański	americano	ADJ;NOM;MASC;SG	N;MASC;PL
wielu	tanti	wiele	tanto	DET;ACC;MASC;PL	PRO;MASC;PL
wielu	molti	wiele	molto	DET;ACC;MASC;PL	PRO;MASC;PL
wielu	tantissimi	wiele	tanto	DET;ACC;MASC;PL	ADJ;AB;MASC;PL
wielu	multipli	wiele	multiplo	DET;ACC;MASC;PL	ADJ;MASC;PL
wielu	multipla	wiele	multipla	DET;ACC;MASC;PL	ADJ;FEM;SG
wielu	multiple	wiele	multiplo	DET;ACC;MASC;PL	ADJ;FEM;PL
wielu	multiplo	wiele	multiplo	DET;ACC;MASC;PL	N;MASC;SG
opis	didascalia	opis	didascalia		N;FEM;SG
opis	descrizione	opis	descrizione		N;FEM;SG
pracy	lavorare	praca	lavorare	N;GEN;FEM;SG	V;NFIN
pracy	lavori	praca	lavoro	N;GEN;FEM;SG	N;MASC;PL
pracy	lavora	praca	lavorare	N;GEN;FEM;SG	V;IND;SG;3;PRS;FIN
pierwsze	primi	pierwszy	primo	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
pierwsze	prima	pierwszy	prima	ADJ;NOM;NEUT;SG	ADV
ang	ang	ang	ang		N;MASC
wiele	tanti	wiele	tanto	DET;ACC;MASC;PL	PRO;MASC;PL
wiele	molti	wiele	molto	DET;ACC;MASC;PL	PRO;MASC;PL
wiele	tantissimi	wiele	tanto	DET;ACC;MASC;PL	ADJ;AB;MASC;PL
wiele	molto	wiele	molto	DET;ACC;MASC;PL	ADV
wiele	much	wiele	much	DET;ACC;MASC;PL	
wiele	multipli	wiele	multiplo	DET;ACC;MASC;PL	ADJ;MASC;PL
wiele	multipla	wiele	multipla	DET;ACC;MASC;PL	ADJ;FEM;SG
wiele	multiple	wiele	multiplo	DET;ACC;MASC;PL	ADJ;FEM;PL
wiele	multiplo	wiele	multiplo	DET;ACC;MASC;PL	N;MASC;SG
wiele	lotto	wiele	lotto	DET;ACC;MASC;PL	N;MASC;SG
wiele	sacco	wiele	sacco	DET;ACC;MASC;PL	N;MASC;SG
wiele	lot	wiele	lot	DET;ACC;MASC;PL	N;SG
trzy	three	trzy	tareo	NUM;ACC;MASC;PL	N
niż	than	niż	than	ADV	
strony	pagina	strona	pagina	N;NOM;FEM;PL	N;FEM;SG
strony	page	strona	pagare	N;NOM;FEM;PL	N;FEM;SG
nawet	even	nawet	eveno	PART	
nawet	perfino	nawet	perfino	PART	ADV
nawet	persino	nawet	persino	PART	ADV
nawet	anche	nawet	anche	PART	ADV
mapy	mappe	mapa	mappa	N;ACC;FEM;SG	N;FEM;PL
mapy	mappa	mapa	mappa	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
film	pellicole	film	pellicolo	N;ACC;MASC;SG	N;FEM;PL
armii	armate	armia	armato	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
armii	eserciti	armia	esercito	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
armii	armata	armia	armata	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
armii	esercito	armia	esercito	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
głównie	principalmente	głównie	principalmente	PART	ADV
głównie	soprattutto	głównie	soprattutto	PART	ADV
głównie	principalmente	głównie	principalmente	PART	ADV
głównie	soprattutto	głównie	soprattutto	PART	ADV
ponad	over	ponad	over	PART	N
ponad	oltre	ponad	oltre	PART	ADV
ponad	sopra	ponad	sopra	PART	ADV
dzięki	grazie	dzięki	grazie	ADP	N
kariera	carriere	kariera	carriera	N;NOM;FEM;SG	N;FEM;PL
wszystkie	tutto	wszystek	tutto	DET;NOM;MASC;PL	PRO;MASC;SG
wszystkie	tutti	wszystek	tutto	DET;NOM;MASC;PL	PRO;MASC;PL
rady	consigli	rada	consiglio	N;GEN;FEM;SG	N;MASC;PL
prawa	legge	prawo	legge		N;FEM;SG
prawa	diritto	prawo	diritto		N;MASC;SG
prawa	leggi	prawo	legge		N;FEM;PL
prawa	diritti	prawo	diritto		N;MASC;PL
jana	gianni	jani	gianno		N;MASC;SG
jana	giovanni	jani	giovanne		N;MASC;SG
jana	john	jani	john		N;SG
jana	jana	jani	jana		N;FEM;SG
mistrzostwa	campionato	mistrzostwa	campionato	N;NOM;NEUT;PL	N;MASC;SG
mar	mar	mar	mare		N;MASC;SG
często	frequente	często	frequente	ADV	ADJ;SG
często	comune	często	comune	ADV	ADJ;SG
często	comuni	często	comune	ADV	N;MASC;PL
często	common	często	common	ADV	N
często	frequenti	często	frequente	ADV	ADJ;PL
często	frequente	często	frequente	ADV	ADJ;SG
sposób	metodo	sposób	metodo	V;IND;PRS;FIN	N;MASC;SG
sposób	way	sposób	way	V;IND;PRS;FIN	N;MASC
sposób	modo	sposób	modo	V;IND;PRS;FIN	N;MASC;SG
będzie	will	być	will	V;IPFV;IND;SG;3;FUT;FIN	
będzie	testamento	być	testamento	V;IPFV;IND;SG;3;FUT;FIN	N;MASC;SG
będzie	volontà	być	volontà	V;IPFV;IND;SG;3;FUT;FIN	N;FEM
dwie	two	dwa	two	NUM;ACC;FEM;PL	
pozycji	oggetti	pozycja	oggetto	N;GEN;FEM;SG	N;MASC;PL
xix	xix	xix	diciannovesimo		ADJ;SG
xix	diciannovesima	xix	diciannovesimo		ADJ;FEM;SG
xix	diciannovesimo	xix	diciannovesimo		ADJ;MASC;SG
nowy	novità	nowy	novità	ADJ;NOM;MASC;SG	N;FEM
nowy	nuovi	nowy	nuovo	ADJ;NOM;MASC;SG	ADJ;MASC;PL
nowy	nuove	nowy	nuovo	ADJ;NOM;MASC;SG	ADJ;FEM;PL
nowy	nowy	nowy	nowy	ADJ;NOM;MASC;SG	N;MASC
miała	aveva	mieć	avere	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
miała	avevano	mieć	avere	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
osoby	persona	osoba	persona	N;NOM;FEM;PL	N;FEM;SG
osoby	gente	osoba	gente	N;NOM;FEM;PL	N;FEM;SG
poza	aldilà	poza	aldilà	ADP	N;FEM
poza	beyond	poza	beyond	ADP	N;MASC
poza	oltre	poza	oltre	ADP	ADV
pomiędzy	tra	pomiędzy	tra		ADP
pomiędzy	fra	pomiędzy	fra		ADP
sam	alone	sam	alone	ADJ;NOM;MASC;SG	N;MASC
sam	sam	sam	sam	ADJ;NOM;MASC;SG	N;SG
linii	linee	linia	linea	N;GEN;FEM;SG	N;FEM;PL
linii	righe	linia	riga	N;GEN;FEM;SG	N;FEM;PL
com	com	com	com		N;SG
von	von	von	von		PROPN
wojska	militari	wojsko	militare	N;NOM;NEUT;SG	N;PL
wojska	militare	wojsko	militare	N;NOM;NEUT;SG	ADJ;SG
wojska	truppe	wojsko	truppa	N;NOM;NEUT;SG	N;FEM;PL
polityk	politici	polityk	politico	N;NOM;MASC;SG	N;MASC;PL
polityk	politico	polityk	politico	N;NOM;MASC;SG	ADJ;MASC;SG
john	gianni	john	gianno	PROPN;NOM;MASC;SG	N;MASC;SG
john	giovanni	john	giovanne	PROPN;NOM;MASC;SG	N;MASC;SG
john	john	john	john	PROPN;NOM;MASC;SG	N;SG
lip	labbra	lip	labbro		N;FEM;PL
lip	lip	lip	lip		N
lip	labbro	lip	labbro		N;MASC;SG
liczby	cifre	liczba	cifra	N;ACC;FEM;SG	N;FEM;PL
liczby	figure	liczba	figura	N;ACC;FEM;SG	N;FEM;PL
liczby	numeri	liczba	numero	N;ACC;FEM;SG	N;MASC;PL
razem	together	razem	together	ADV	N
centrum	centra	centrum	centra	N;ACC;NEUT;SG	V;IND;SG;3;PRS;FIN
szkoły	scuole	szkoła	scuola	N;GEN;FEM;SG	N;FEM;PL
parafia	parrocchia	parafia	parrocchia		N;FEM;SG
ponownie	again	ponownie	again	ADV	
piechoty	fanteria	piechota	fanteria		N;FEM;SG
bardziej	altro	bardzo	altro	ADV;CMPR	PRO;MASC;SG
bardziej	more	bardzo	more	ADV;CMPR	N;SG
gatunek	generi	gatunek	genere	N;NOM;MASC;SG	N;MASC;PL
zjednoczonych	united	zjednoczyć	united	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS	N;FEM;PL
wcześniej	before	wcześnie	before	ADV;CMPR	
partii	lotti	partia	lotto	N;GEN;FEM;SG	N;MASC;PL
byli	erano	być	essere	V;IPFV;MASC;IND;PL;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
stanisław	stanislav	stanisław	stanislav	PROPN;NOM;MASC;SG	N;MASC;SG
stanisław	stanisław	stanisław	stanisław	PROPN;NOM;MASC;SG	N;MASC;SG
style	styles	style	styles		N
style	stili	style	stile		N;MASC;PL
style	stile	style	stile		N;MASC;SG
style	style	style	style		N
olimpijskich	olimpiadi	olimpijski	olimpiade	ADJ;GEN;MASC;PL	N;FEM;PL
rodzaj	gentili	rodzaj	gentile	N;NOM;MASC;SG	ADJ;PL
rodzaj	gentile	rodzaj	gentile	N;NOM;MASC;SG	ADJ;SG
rodzaj	digita	rodzaj	digitare	N;NOM;MASC;SG	V;IMP;SG;2;PRS;FIN
www	www	www	www		N
najbardziej	most	bardzo	most	ADV;RL	
kategorii	categorie	kategoria	categoria	N;GEN;FEM;SG	N;FEM;PL
zsrr	urss	zsrr	urss	PROPN;NOM;MASC;SG	N;FEM
metrów	contatore	metr	contatore	N;GEN;MASC;PL	N;MASC;SG
oficjalna	funzionario	oficjalny	funzionario	ADJ;NOM;FEM;SG	N;MASC;SG
oficjalna	ufficiali	oficjalny	ufficiale	ADJ;NOM;FEM;SG	N;MASC;PL
oficjalna	official	oficjalny	official	ADJ;NOM;FEM;SG	N;FEM;SG
powodu	ragione	powodu	ragione	ADP	N;FEM;SG
powodu	motivo	powodu	motivo	ADP	N;MASC;SG
pracował	lavorate	pracować	lavorare	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
pracował	lavorati	pracować	lavorato	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
gru	gru	gra	gru		N;FEM;PL
andrzej	andrzej	andrzej	andrzej	PROPN;NOM;MASC;SG	N;MASC;SG
andrzej	andrea	andrzej	andrea	PROPN;NOM;MASC;SG	N;MASC;SG
andrzej	andrew	andrzej	andrew	PROPN;NOM;MASC;SG	N;MASC;SG
lis	volpe	lis	volpe		N;FEM;SG
lis	fox	lis	fox		N
lis	volpi	lis	volpo		N;FEM;PL
lis	lis	lis	lis		
prowincji	provinciali	prowincja	provinciale	N;GEN;FEM;SG	ADJ;PL
prowincji	provinciale	prowincja	provinciale	N;GEN;FEM;SG	ADJ;SG
drugi	secondi	drugi	secondo	ADJ;NOM;MASC;SG	N;MASC;PL
tys	mille	tys	mille		NUM
tys	migliaia	tys	migliaio		N;FEM;PL
temat	soggetto	temat	soggetto	N;ACC;MASC;SG	ADJ;MASC;SG
ona	she	on	she	PRO;NOM;FEM;SG;3	
nazwy	nomi	nazwa	nome		N;MASC;PL
nowe	novità	nowy	novità	ADJ;NOM;NEUT;SG	N;FEM
nowe	nuovi	nowy	nuovo	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
nowe	nuove	nowy	nuovo	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
nowe	nowe	nowy	nowe	ADJ;NOM;NEUT;SG	N;SG
różnych	differente	różny	differente	ADJ;GEN;MASC;PL	ADJ;SG
różnych	diversa	różny	diverso	ADJ;GEN;MASC;PL	DET;FEM;SG
różnych	diverso	różny	diverso	ADJ;GEN;MASC;PL	ADJ;MASC;SG
różnych	diversi	różny	diverso	ADJ;GEN;MASC;PL	DET;MASC;PL
parafii	parrocchie	parafia	parrocchia	N;GEN;FEM;SG	N;FEM;PL
gmin	municipi	gmina	municipio		N;MASC;PL
gmin	municipalità	gmina	municipalità		N;FEM
gmin	comuni	gmina	comune		N;MASC;PL
niemiecki	tedeschi	niemiecki	tedesco	ADJ;NOM;MASC;SG	N;MASC;PL
kultury	culturale	kultura	culturale	N;GEN;FEM;SG	ADJ;SG
kultury	culture	kultura	cultura	N;GEN;FEM;SG	N;FEM;PL
kultury	colture	kultura	coltura	N;GEN;FEM;SG	N;FEM;PL
spacewatch	spacewatch	spacewat	spacewatch		N;MASC
postaci	personaggi	postać	personaggio		N;MASC;PL
postaci	caratteri	postać	carattere		N;MASC;PL
aktor	attori	aktor	attore	N;NOM;MASC;SG	N;MASC;PL
studia	monolocale	studia	monolocale	N;NOM;NEUT;PL	N;MASC;SG
studia	studio	studia	studio	N;NOM;NEUT;PL	N;MASC;SG
większość	most	większość	most	N;NOM;FEM;SG	
gry	game	gra	game		N
gry	gioco	gra	gioco		N;MASC;SG
gry	partita	gra	partita		N;FEM;SG
gry	selvaggina	gra	selvaggina		N;FEM;SG
gry	giochi	gra	gioco		N;MASC;PL
turnieju	tornei	turniej	torneo	N;GEN;MASC;SG	N;MASC;PL
kobiet	donne	kobieta	donna		N;FEM;PL
pierwsza	primi	pierwszy	primo	ADJ;NOM;FEM;SG	ADJ;MASC;PL
pierwsza	prima	pierwszy	prima	ADJ;NOM;FEM;SG	ADV
wysokości	alture	wysokość	altura	N;GEN;FEM;SG	N;FEM;PL
wysokości	altezze	wysokość	altezza	N;GEN;FEM;SG	N;FEM;PL
gitara	chitarre	gitar	chitarra	N;NOM;MASC;SG	N;FEM;PL
from	dal	from	dal		ADJ;SG
from	dalla	from	dalla		ADJ;SG
from	from	from	from		
from	da	from	da		ADP
wyd	edizione	wyd	edizione		N;FEM;SG
józef	giuseppe	józef	giuseppo	PROPN;NOM;MASC;SG	N;MASC;SG
józef	joseph	józef	joseph	PROPN;NOM;MASC;SG	N;MASC;SG
józef	josef	józef	josef	PROPN;NOM;MASC;SG	N;MASC;SG
józef	józef	józef	józef	PROPN;NOM;MASC;SG	N;MASC;SG
więcej	altro	dużo	altro	ADV;CMPR	PRO;MASC;SG
więcej	more	dużo	more	ADV;CMPR	N;SG
sztuki	arti	sztuka	arte		N;FEM;PL
sztuki	artt	sztuka	artt		N;MASC;PL
sztuki	arte	sztuka	arte		N;FEM;SG
gra	game	grać	game	V;IPFV;IND;SG;3;PRS;FIN;ACT	N
gra	gioco	grać	gioco	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
gra	partita	grać	partita	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
gra	selvaggina	grać	selvaggina	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;SG
jerzy	giorgio	jerzy	giorgio	PROPN;NOM;MASC;SG	N;MASC;SG
jerzy	jerzy	jerzy	jerzy	PROPN;NOM;MASC;SG	N;MASC;SG
maj	may	maj	may		N
maj	maggio	maj	maggio		N;MASC;SG
maj	può	maj	potere		V;IND;SG;3;PRS;FIN
maj	maj	maj	maj		N
maj	maya	maj	maya		N;MASC;SG
mimo	nonostante	mimo	nonostante		ADV
mimo	malgrado	mimo	malgrado		ADV
ludzi	gente	człowiek	gente	N;ACC;MASC;PL	N;FEM;SG
nagrody	premia	nagroda	premiare	N;NOM;FEM;PL	V;IND;SG;3;PRS;FIN
nagrody	ricompensa	nagroda	ricompensa	N;NOM;FEM;PL	N;FEM;SG
nagrody	premiazione	nagroda	premiazione	N;NOM;FEM;PL	N;FEM;SG
nagrody	aggiudicazione	nagroda	aggiudicazione	N;NOM;FEM;PL	N;FEM;SG
nagrody	premio	nagroda	premio	N;NOM;FEM;PL	N;MASC;SG
nagrody	premio	nagroda	premio	N;NOM;FEM;PL	N;MASC;SG
maria	mary	maria	mary	PROPN;NOM;FEM;SG	N;FEM;SG
maria	maria	maria	maria	PROPN;NOM;FEM;SG	N;FEM;SG
maria	maria	maria	maria	PROPN;NOM;FEM;SG	N;FEM;SG
ponieważ	perchè	ponieważ	perché	PART	ADV
ponieważ	perché	ponieważ	perché	PART	ADV
polskie	polacchi	polski	polacco	ADJ;NOM;NEUT;SG	N;MASC;PL
organizacji	organizzazioni	organizacja	organizzazione	N;GEN;FEM;SG	N;FEM;PL
poprzez	attraverso	poprzez	attraverso		ADP
poprzez	through	poprzez	through		
serii	serie	seria	serie		N;FEM
południowej	sud	południowy	sud	ADJ;GEN;FEM;SG	N;MASC;SG
południowej	southern	południowy	soutvern	ADJ;GEN;FEM;SG	N
południowej	meridionali	południowy	meridionale	ADJ;GEN;FEM;SG	ADJ;PL
cztery	four	cztery	four	NUM;ACC;MASC;PL	N;MASC;SG
informacje	informazione	informacja	informazione	N;NOM;FEM;PL	N;FEM;SG
piotr	pietro	piotr	pietro	PROPN;NOM;MASC;SG	N;MASC;SG
piotr	piero	piotr	piero	PROPN;NOM;MASC;SG	N;MASC;SG
piotr	piotr	piotr	piotr	PROPN;NOM;MASC;SG	N;MASC;SG
stan	stato	stan	essere	N;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
stan	condizioni	stan	condizione	N;NOM;MASC;SG	N;FEM;PL
powiat	contea	powiat	contea		N;FEM;SG
powiat	distretto	powiat	distretto		N;MASC;SG
autor	scrittore	autor	scrittore	V;IPFV;IND;SG;PST;FIN;ACT	N;MASC;SG
autor	scrittrice	autor	scrittore	V;IPFV;IND;SG;PST;FIN;ACT	N;FEM;SG
autor	sceneggiatore	autor	sceneggiatore	V;IPFV;IND;SG;PST;FIN;ACT	N;MASC;SG
autor	autrice	autor	autore	V;IPFV;IND;SG;PST;FIN;ACT	N;FEM;SG
autor	autore	autor	autore	V;IPFV;IND;SG;PST;FIN;ACT	N;MASC;SG
przeciwko	contrari	przeciwko	contrario	ADP	ADJ;MASC;PL
przeciwko	against	przeciwko	against	ADP	
północnej	north	północny	north	ADJ;GEN;FEM;SG	N;MASC
północnej	nord	północny	nord	ADJ;GEN;FEM;SG	N;MASC;SG
północnej	northern	północny	northern	ADJ;GEN;FEM;SG	N
anglii	england	anglia	england		N;SG
anglii	inghilterra	anglia	inghilterra		N;FEM;SG
