खिड़की	fenêtres	खिड़की	fenêtre	N;NOM;FEM;SG;3	N;FEM;PL
क्षारीय	alcalin	क्षारीय	alcalin	N;NOM	ADJ;MASC;SG
क्षारीय	alcaline	क्षारीय	alcalin	N;NOM	ADJ;FEM;SG
क्षारीय	aligner	क्षारीय	aligner	N;NOM	V;NFIN
टीके	vaccins	टीका	vaccin	N;NOM;MASC;SG;3	N;MASC;PL
गोलार्ध	hémisphère	गोलार्ध	hémisphère	PROPN;NOM;MASC;SG;3	N;MASC;SG
अल्जीरिया	algérie	अल्जीरिया	algérie	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
रोमांचक	excitant	रोमांचक	exciter	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
रोमांचक	passionnant	रोमांचक	passionnant	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
रोमांचक	excitante	रोमांचक	excitant	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
रोमांचक	palpitant	रोमांचक	palpitant	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
रोमांचक	palpitant	रोमांचक	palpitant	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
रोमांचक	passionnant	रोमांचक	passionnant	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
रोमांचक	exaltant	रोमांचक	exaltant	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
रोमांचक	palpitante	रोमांचक	palpitant	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
रोमांचक	excitant	रोमांचक	exciter	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
कागज़	papiers	कागज़	papier	N;NOM;MASC;SG;3	N;MASC;PL
सांप	serpents	सांप	serpent	N;NOM;MASC;SG;3	N;MASC;PL
सांप	serpents	सांप	serpent	N;NOM;MASC;SG;3	N;MASC;PL
गंतव्य	destinations	गंतव्य	destination	N;NOM;MASC;SG;3	N;FEM;PL
अम्मा	amma	अम्मा	amma	V;FEM;SG;FIN;ACT	N;MASC;SG
गन	fusil	गन	fusil		N;MASC;SG
गन	pistolet	गन	pistolet		N;MASC;SG
गन	arme	गन	arme		N;FEM;SG
गन	revolver	गन	revolver		N;MASC;SG
उल्टी	vomir	उल्टी	vomir		V;NFIN
उल्टी	vomi	उल्टी	vomi		N;MASC;SG
उल्टी	vomit	उल्टी	vomir		V;IND;SG;3;PRS;FIN
उल्टी	vomir	उल्टी	vomir		V;NFIN
उल्टी	vomissements	उल्टी	vomissement		N;MASC;PL
सावित्री	savitri	सावित्री	savitri	PROPN;NOM;FEM;SG;3	PROPN
यादृच्छिक	random	यादृच्छिक	random	N;NOM;3	PROPN
यादृच्छिक	aléatoire	यादृच्छिक	aléatoire	N;NOM;3	ADJ;MASC;SG
यादृच्छिक	aléatoires	यादृच्छिक	aléatoire	N;NOM;3	ADJ;MASC;PL
क्रिस्टोफर	christopher	क्रिस्टोफर	christopher	PROPN;NOM;MASC;SG;3	N;MASC;SG
क्रिस्टोफर	christophe	क्रिस्टोफर	christophe	PROPN;NOM;MASC;SG;3	N;MASC;SG
सचमुच	littéralement	सचमुच	littéralement		ADV
सचमुच	vraiment	सचमुच	vraiment		ADV
सचमुच	réellement	सचमुच	réellement		ADV
किरन	kiran	किरन	kiran	PROPN;NOM;FEM;SG;3	PROPN
मॉरिसन	morrison	मॉरिसन	morrison	PROPN;NOM;MASC;SG;3	PROPN
रतन	osier	रतन	osier	PROPN;NOM;MASC;SG;3	N;MASC;SG
रतन	rotin	रतन	rotin	PROPN;NOM;MASC;SG;3	N;MASC;SG
रतन	ratan	रतन	ratan	PROPN;NOM;MASC;SG;3	PROPN
साँप	serpents	साँप	serpent	N;NOM;MASC;SG;3	N;MASC;PL
चिप	chip	चिप	chip		
चिप	jeton	चिप	jeton		N;MASC;SG
चिप	puce	चिप	puce		N;FEM;SG
सींग	horn	सींग	horn	N;NOM;MASC;SG;3	PROPN
डूब	naufrage	डूब	naufrage	V;ACT	N;MASC;SG
डूब	noyade	डूब	noyade	V;ACT	N;FEM;SG
जन्मजात	congénitales	जन्मजात	congénital	PROPN;NOM;MASC;SG;3	ADJ;FEM;PL
जन्मजात	congénitale	जन्मजात	congénital	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
पिरामिड	pyramides	पिरामिड	pyramide	N;NOM;MASC;SG;3	N;FEM;PL
खोजा	découverts	खोजा	découvrir	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
खोजा	découvertes	खोजा	découvrir	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
शेयरधारकों	actionnariat	शेयरधारक	actionnariat	N;ACC;MASC;PL;3	N;MASC;SG
सुमन	suman	सुमन	suman	PROPN;NOM;MASC;SG;3	PROPN
धूम	dhoom	धूम	dhoom	N;NOM;FEM;SG;3	PROPN
ऑयल	huiles	ऑयल	huile	N;NOM;MASC;SG;3	N;FEM;PL
अमित	amit	अमित	amit	PROPN;NOM;MASC;SG;3	PROPN
पिच	lancer	पिच	lancer	N;NOM;FEM;SG;3	V;NFIN
झरना	chutes	झरना	chute	N;NOM;MASC;SG;3	N;FEM;PL
झरना	tombe	झरना	tomber	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
झरना	falls	झरना	falls	N;NOM;MASC;SG;3	PROPN
झरना	chutes	झरना	chute	N;NOM;MASC;SG;3	N;FEM;PL
झरना	cascades	झरना	cascade	N;NOM;MASC;SG;3	N;FEM;PL
अनुमोदित	approuvé	अनुमोदित	approuver	PROPN;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
अनुमोदित	approuvée	अनुमोदित	approuver	PROPN;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
अनुमोदित	approuvés	अनुमोदित	approuver	PROPN;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
अनुमोदित	agréée	अनुमोदित	agréée	PROPN;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
अनुमोदित	approuvées	अनुमोदित	approuver	PROPN;NOM;MASC;SG;3	V;FEM;PL;PST;V.PTCP
अनुमोदित	agréé	अनुमोदित	agrée	PROPN;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
अनुमोदित	revu	अनुमोदित	revoir	PROPN;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
अनुमोदित	examiné	अनुमोदित	examiner	PROPN;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
सीमांत	marginal	सीमांत	marginal	N;NOM;MASC;SG;3	ADJ;MASC;SG
सीमांत	marginales	सीमांत	marginal	N;NOM;MASC;SG;3	ADJ;FEM;PL
सीमांत	marginaux	सीमांत	marginal	N;NOM;MASC;SG;3	ADJ;MASC;PL
सीमांत	marginale	सीमांत	marginal	N;NOM;MASC;SG;3	ADJ;FEM;SG
सीमांत	frontalier	सीमांत	frontalier	N;NOM;MASC;SG;3	ADJ;MASC;SG
सीमांत	frontières	सीमांत	frontière	N;NOM;MASC;SG;3	N;FEM;PL
स्विट्जरलैंड	suisse	स्विट्जरलैंड	suisse	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
लॉग	grumes	लॉग	grume	N;NOM;MASC;SG;3	N;FEM;PL
अजीत	ajit	अजीत	ajit	PROPN;NOM;MASC;SG;3	PROPN
पागल	dingue	पागल	dingue		ADJ;MASC;SG
पागल	fou	पागल	fou		ADJ;MASC;SG
पागल	fous	पागल	fou		ADJ;MASC;PL
पागल	cinglé	पागल	cinglé		ADJ;MASC;SG
पागल	folle	पागल	fou		ADJ;FEM;SG
बेंजामिन	benjamin	बेंजामिन	benjamin	PROPN;NOM;MASC;SG;3	PROPN
समझाया	expliqués	समझा	expliquer	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
होनेवाली	éphémère	हो	éphémère	V;FIN;ACT	ADJ;FEM;SG
सॉसेज	saucisses	सॉसेज	saucisse	N;NOM;MASC;SG;3	N;FEM;PL
सहानुभूति	compatissant	सहानुभूति	compatissant	N;NOM;FEM;SG;3	ADJ;MASC;SG
लूट	butin	लूट	butin	PROPN;NOM;MASC;SG;3	N;MASC;SG
लूट	piller	लूट	piller	PROPN;NOM;MASC;SG;3	V;NFIN
न्यायपालिका	judiciaire	न्यायपालिका	judiciaire	N;NOM;FEM;SG;3	ADJ;MASC;SG
विनियमित	réguler	विनियमित	réguler	ADJ;NOM	V;NFIN
विनियमित	réglementer	विनियमित	réglementer	ADJ;NOM	V;NFIN
एंडरसन	anderson	एंडरसन	anderson	PROPN;NOM;MASC;SG;3	PROPN
मुकुट	couronnes	मुकुट	couronne	N;NOM;MASC;SG;3	N;FEM;PL
मुकुट	crown	मुकुट	crown	N;NOM;MASC;SG;3	PROPN
मुकुट	couronner	मुकुट	couronner	N;NOM;MASC;SG;3	V;NFIN
यादगार	mémorable	यादगार	mémorable	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
यादगार	mémorables	यादगार	mémorable	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
करों	impôt	कर	impôt	N;ACC;MASC;PL;3	N;MASC;SG
करों	fiscalité	कर	fiscalité	N;ACC;MASC;PL;3	N;FEM;SG
गिल	gill	गिल	gill	PROPN;NOM;SG;3	PROPN
ड्रग	drogue	ड्रग	drogue	PROPN;NOM;MASC;SG;3	N;FEM;SG
ड्रग	médicament	ड्रग	médicament	PROPN;NOM;MASC;SG;3	N;MASC;SG
बॉम्बे	bombay	बॉम्बे	bombay	PROPN;NOM;MASC;SG;3	PROPN
मिशिगन	michigan	मिशिगन	michigan	PROPN;NOM;MASC;SG;3	PROPN
डकोटा	dakota	डकोटा	dakota	PROPN;NOM;MASC;SG;3	N;MASC;SG
भूवैज्ञानिक	géologues	भूवैज्ञानिक	géologue	N;NOM;MASC;SG;3	N;MASC;PL
जोश	zèle	जोश	zèle		N;MASC;SG
जोश	josh	जोश	josh		PROPN
असुर	asura	असुर	asurer	PROPN;NOM;MASC;SG;3	PROPN
सेंटीमीटर	centimètres	सेंटीमीटर	centimètre	N;NOM;MASC;SG;3	N;MASC;PL
सेंटीमीटर	centimètres	सेंटीमीटर	centimètre	N;NOM;MASC;SG;3	N;MASC;PL
सीने	thoracique	सीना	thoracique	N;NOM;MASC;SG;3	ADJ;MASC;SG
घर्षण	frictions	घर्षण	friction	N;NOM;MASC;SG;3	N;FEM;PL
पीट	pete	पीट	pete	PROPN;NOM;MASC;SG;3	PROPN
पीट	piet	पीट	piet	PROPN;NOM;MASC;SG;3	PROPN
बॉबी	bobby	बॉबी	bobby	PROPN;NOM;MASC;SG;3	PROPN
नरसंहार	massacrer	नरसंहार	massacrer	N;NOM;MASC;SG;3	V;NFIN
नरसंहार	massacres	नरसंहार	massacre	N;NOM;MASC;SG;3	N;MASC;PL
नरसंहार	génocides	नरसंहार	génocide	N;NOM;MASC;SG;3	N;MASC;PL
बिशप	évêques	बिशप	évêque	PROPN;NOM;MASC;SG;3	N;MASC;PL
बिशप	évêque	बिशप	évêque	PROPN;NOM;MASC;SG;3	N;MASC;SG
बिशप	bishop	बिशप	bishop	PROPN;NOM;MASC;SG;3	PROPN
दुर्भाग्य	malheurs	दुर्भाग्य	malheur	CONJ	N;MASC;PL
दुर्भाग्य	malheur	दुर्भाग्य	malheur	CONJ	N;MASC;SG
दुर्भाग्य	malchance	दुर्भाग्य	malchance	CONJ	N;FEM;SG
दुर्भाग्य	hélas	दुर्भाग्य	héla	CONJ	ADV
दुर्भाग्य	malheureusement	दुर्भाग्य	malheureusement	CONJ	ADV
संतृप्त	saturée	संतृप्त	saturer	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
संतृप्त	saturées	संतृप्त	saturer	N;NOM;MASC;SG;3	V;FEM;PL;PST;V.PTCP
संतृप्त	saturé	संतृप्त	saturer	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
संतृप्त	saturés	संतृप्त	saturer	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
लैस	lacy	लैस	lacy	ADJ	PROPN
पड़ोस	quartiers	पड़ोस	quartier	N;NOM;MASC;SG;3	N;MASC;PL
न्यास	fondations	न्यास	fondation	N;NOM;MASC;SG;3	N;FEM;PL
एथेंस	athènes	एथेंस	athène	PROPN;NOM;MASC;SG;3	PROPN
धीमा	ralentir	धीमा	ralentir	N;NOM;MASC;SG;3	V;NFIN
धीमा	lentement	धीमा	lentement	N;NOM;MASC;SG;3	ADV
धीमा	lent	धीमा	lent	N;NOM;MASC;SG;3	ADJ;MASC;SG
धीमा	lente	धीमा	lent	N;NOM;MASC;SG;3	ADJ;FEM;SG
चिन	menton	चिन	menton	PROPN;NOM;MASC;SG;3	N;MASC;SG
चिन	chin	चिन	chin	PROPN;NOM;MASC;SG;3	PROPN
चिन	tchin	चिन	tchin	PROPN;NOM;MASC;SG;3	N;MASC;SG
मनोनीत	désigner	मनोनीत	désigner	PROPN;NOM;MASC;SG;3	V;NFIN
मनोनीत	nominée	मनोनीत	nominer	PROPN;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
मनोनीत	nominé	मनोनीत	nominer	PROPN;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
मनोनीत	désignés	मनोनीत	désigner	PROPN;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
संकोच	hésiter	संकोच	hésiter	PROPN;NOM;MASC;SG;3	V;NFIN
संकोच	hésite	संकोच	hésiter	PROPN;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
पीतल	cuivres	पीतल	cuivre	N;NOM;FEM;SG;3	N;MASC;PL
उभरा	gonflement	उभर	gonflement	V;PFV;MASC;SG;V.PTCP;ACT	N;MASC;SG
बोतल	bouteilles	बोतल	bouteille	N;NOM;FEM;SG;3	N;FEM;PL
पिस्टन	pistons	पिस्टन	piston	N;NOM;MASC;SG;3	N;MASC;PL
तुम्हारा	vôtre	तुम्हारा	vôtre	PRO;MASC;SG;3	INTJ
सस्ता	bâclé	सस्ता	bâcler	ADJ;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
चेन	chen	चेन	chen	N;NOM;FEM;SG;3	PROPN
चेन	enchaîner	चेन	enchaîner	N;NOM;FEM;SG;3	V;NFIN
समन्वित	coordonnée	समन्वित	coordonné	ADJ;NOM	V;FEM;SG;PST;V.PTCP
समन्वित	coordonnés	समन्वित	coordonner	ADJ;NOM	V;MASC;PL;PST;V.PTCP
समन्वित	coordonné	समन्वित	coordonner	ADJ;NOM	V;MASC;SG;PST;V.PTCP
संचिका	fichiers	संचिका	fichier	N;NOM;FEM;SG;3	N;MASC;PL
संचिका	dossiers	संचिका	dossier	N;NOM;FEM;SG;3	N;MASC;PL
स्पष्टीकरण	explications	स्पष्टीकरण	explication	N;NOM;MASC;SG;3	N;FEM;PL
स्पष्टीकरण	explications	स्पष्टीकरण	explication	N;NOM;MASC;SG;3	N;FEM;PL
स्पष्टीकरण	éclaircissements	स्पष्टीकरण	éclaircissement	N;NOM;MASC;SG;3	N;MASC;PL
निराश	déçu	निराश	décevoir	ADJ	V;MASC;SG;PST;V.PTCP
निराश	déçus	निराश	décevoir	ADJ	V;MASC;PL;PST;V.PTCP
निराश	déçue	निराश	décevoir	ADJ	V;FEM;SG;PST;V.PTCP
निराश	dégoûté	निराश	dégoûter	ADJ	V;MASC;SG;PST;V.PTCP
निराश	dégoûtée	निराश	dégoûter	ADJ	V;FEM;SG;PST;V.PTCP
निराश	frustré	निराश	frustré	ADJ	V;MASC;SG;PST;V.PTCP
निराश	frustrée	निराश	frustré	ADJ	V;FEM;SG;PST;V.PTCP
निराश	frustrés	निराश	frustré	ADJ	V;MASC;PL;PST;V.PTCP
मारुति	maruti	मारुति	maruti	N;NOM;FEM;SG;3	PROPN
श्रुति	révélation	श्रुति	révélation	PROPN;NOM;FEM;SG;3	N;FEM;SG
श्रुति	révélations	श्रुति	révélation	PROPN;NOM;FEM;SG;3	N;FEM;PL
श्रुति	shruti	श्रुति	shruti	PROPN;NOM;FEM;SG;3	PROPN
यथार्थवादी	réaliste	यथार्थवादी	réaliste	PROPN;NOM;SG;3	ADJ;MASC;SG
यथार्थवादी	réalisme	यथार्थवादी	réalisme	PROPN;NOM;SG;3	N;MASC;SG
यथार्थवादी	réalistes	यथार्थवादी	réaliste	PROPN;NOM;SG;3	ADJ;MASC;PL
शक्तियाँ	powers	शक्ति	power	N;NOM;FEM;PL;3	PROPN
सान	san	सान	san	PROPN;NOM;MASC;SG;3	PROPN
आंकड़ा	données	आंकड़ा	donnée	N;NOM;MASC;SG;3	N;FEM;PL
ग़ज़ल	ghazal	ग़ज़ल	ghazal	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
प्रजापति	prajapati	प्रजापति	prajapati	N;NOM;MASC;SG;3	PROPN
शुक्ला	shukla	शुक्ला	shukla	PROPN;NOM;MASC;SG;3	PROPN
कारखाना	fabrique	कारखाना	fabrique	N;NOM;MASC;SG;3	ADJ;FEM;SG
इब्न	ibn	इब्न	ibn	PROPN;NOM;MASC;SG;3	PROPN
किम	kim	किम	kim	PROPN;NOM;MASC;SG;3	PROPN
फलक	planches	फलक	planche	N;NOM;MASC;SG;3	N;FEM;PL
स्वर्गीय	paradisiaque	स्वर्गीय	paradisiaque	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
स्वर्गीय	céleste	स्वर्गीय	céleste	PROPN;NOM;MASC;SG;3	N;MASC;SG
पते	adresses	पता	adresse	N;NOM;MASC;SG;3	N;FEM;PL
पते	allocutions	पता	allocution	N;NOM;MASC;SG;3	N;FEM;PL
ध्वन्यात्मक	phonétique	ध्वन्यात्मक	phonétique	N;NOM;MASC;SG;3	ADJ;MASC;SG
निपुण	maitre	निपुण	maître	ADP	N;MASC;SG
निपुण	master	निपुण	master	ADP	N;MASC;SG
निपुण	maître	निपुण	maître	ADP	N;MASC;SG
ताजिकिस्तान	tadjikistan	ताजिकिस्तान	tadjikistan	PROPN;NOM;MASC;SG;3	PROPN
निलंबित	suspendu	निलंबित	suspendre	ADJ	V;MASC;SG;PST;V.PTCP
निलंबित	suspendues	निलंबित	suspendu	ADJ	V;FEM;PL;PST;V.PTCP
निलंबित	suspendue	निलंबित	suspendre	ADJ	V;FEM;SG;PST;V.PTCP
निलंबित	suspendus	निलंबित	suspendu	ADJ	V;MASC;PL;PST;V.PTCP
डार्विन	darwin	डार्विन	darwin	PROPN;NOM;MASC;SG;3	PROPN
कलश	pot	कलश	pot	PROPN;NOM;MASC;SG;3	N;MASC;SG
कलश	apogée	कलश	apogée	PROPN;NOM;MASC;SG;3	N;MASC;SG
कलश	pinnacle	कलश	pinnacle	PROPN;NOM;MASC;SG;3	PROPN
कलश	kalash	कलश	kalash	PROPN;NOM;MASC;SG;3	PROPN
जुडी	judy	जुडी	judy	V;PFV;FEM;SG;V.PTCP;ACT	PROPN
कंपन	vibrations	कंपन	vibration		N;FEM;PL
कंपन	vibrer	कंपन	vibrer		V;NFIN
कंपन	vibre	कंपन	vibre		V;IND;SG;3;PRS;FIN
कंपन	vibrations	कंपन	vibration		N;FEM;PL
कंपन	vibration	कंपन	vibration		N;FEM;SG
एयरवेज	airways	एयरवे	airway	PROPN;NOM;MASC;SG;3	PROPN
बाघों	tiger	बाघ	tiger	N;ACC;MASC;PL;3	PROPN
बाघों	tigresse	बाघ	tigresse	N;ACC;MASC;PL;3	N;FEM;SG
बाघों	tigre	बाघ	tigre	N;ACC;MASC;PL;3	N;MASC;SG
वंशावली	généalogique	वंशावली	généalogique	N;NOM;FEM;SG;3	ADJ;MASC;SG
रहीम	rahim	रहीम	rahim	PROPN;NOM;MASC;SG;3	PROPN
बचाया	sauvés	बचा	sauver	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
बचाया	secourus	बचा	secouris	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
गुरुवार	jeudis	गुरुवार	jeudi	PROPN;NOM;MASC;SG;3	N;MASC;PL
गुरुवार	jeudi	गुरुवार	jeudi	PROPN;NOM;MASC;SG;3	N;MASC;SG
वॉल्ट	walt	वॉल्ट	walt	PROPN;NOM;MASC;SG;3	PROPN
वॉल्ट	voûte	वॉल्ट	voûte	PROPN;NOM;MASC;SG;3	N;FEM;SG
वॉल्ट	caveau	वॉल्ट	caveau	PROPN;NOM;MASC;SG;3	N;MASC;SG
वॉल्ट	coffre	वॉल्ट	coffre	PROPN;NOM;MASC;SG;3	N;MASC;SG
विस्थापित	déplacés	विस्थापित	déplacer	ADJ	V;MASC;PL;PST;V.PTCP
विस्थापित	déplacée	विस्थापित	déplacer	ADJ	V;FEM;SG;PST;V.PTCP
विस्थापित	déplacé	विस्थापित	déplacer	ADJ	V;MASC;SG;PST;V.PTCP
विस्थापित	déplacées	विस्थापित	déplacer	ADJ	V;FEM;PL;PST;V.PTCP
अयोग्य	impropres	अयोग्य	impropre	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
अयोग्य	inapte	अयोग्य	inapter	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
अयोग्य	impropre	अयोग्य	impropre	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
अयोग्य	inaptes	अयोग्य	inapte	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
अयोग्य	inadmissibles	अयोग्य	inadmissible	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
अयोग्य	inéligibles	अयोग्य	inéligible	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
जटिलताओं	complication	जटिलता	complication	N;ACC;FEM;PL;3	N;FEM;SG
उत्पीड़न	agressions	उत्पीडन	agression	N;NOM;MASC;SG;3	N;FEM;PL
आमिर	émir	आमिर	émir	PROPN;NOM;MASC;SG;3	N;MASC;SG
आमिर	amir	आमिर	amir	PROPN;NOM;MASC;SG;3	PROPN
आमिर	aamir	आमिर	aamir	PROPN;NOM;MASC;SG;3	PROPN
दयाल	dayal	दयाल	dayal	PROPN;NOM;MASC;SG;3	PROPN
पापों	péché	पाप	pécher	N;ACC;MASC;PL;3	V;MASC;SG;PST;V.PTCP
पापों	péchés	पाप	péché	N;ACC;MASC;PL;3	V;MASC;PL;PST;V.PTCP
उमर	umar	उमर	umar	PROPN;NOM;MASC;SG;3	PROPN
उमर	omar	उमर	omar	PROPN;NOM;MASC;SG;3	PROPN
मिलर	miller	मिलर	miller	PROPN;NOM;MASC;SG;3	PROPN
मिलर	meunier	मिलर	meunier	PROPN;NOM;MASC;SG;3	N;MASC;SG
रज़ा	raza	रज़ा	raza	PROPN;NOM;MASC;SG;3	N;MASC;SG
कोणीय	angulaires	कोणीय	angulaire	N;NOM;MASC;SG;3	ADJ;MASC;PL
कोणीय	angulaire	कोणीय	angulaire	N;NOM;MASC;SG;3	ADJ;MASC;SG
जोन	joan	जोन	joan	N;NOM;MASC;SG;3	PROPN
जानबूझकर	intentionnel	जानबूझकर	intentionnel	ADV	ADJ;MASC;SG
जानबूझकर	intentionnelle	जानबूझकर	intentionnel	ADV	ADJ;FEM;SG
जानबूझकर	intentionnels	जानबूझकर	intentionnel	ADV	ADJ;MASC;PL
नशे	saoul	नशा	saoul	N;NOM;MASC;SG;3	ADJ;MASC;SG
नशे	ivre	नशा	ivre	N;NOM;MASC;SG;3	ADJ;MASC;SG
पुकारा	appelés	पुकार	appeler	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
झंडा	drapeaux	झंडा	drapeau	N;NOM;MASC;SG;3	N;MASC;PL
ग्लास	verres	ग्लास	verre	N;NOM;MASC;SG;3	N;MASC;PL
आंत	intestins	आंत	intestin	N;NOM;FEM;SG;3	N;MASC;PL
आंत	tripes	आंत	tripe	N;NOM;FEM;SG;3	N;FEM;PL
फ़ुट	pieds	फोुट	pied	N;NOM;MASC;SG;3	N;MASC;PL
सिगार	cigares	सिगार	cigare	N;NOM;MASC;SG;3	N;MASC;PL
यूक्रेन	ukraine	यूक्रेन	ukrainer	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
वाइल्ड	wilde	वाइल्ड	wilde	PROPN;NOM;MASC;SG;3	PROPN
