din	f	din	!	ADP;ACC	
densitate	كثافة	densitate	كَثَافَة	N;INDF;FEM;SG	N;NOM;INDF;SG
densitate	الكثافة	densitate	كَثَّافَة	N;INDF;FEM;SG	N;NOM;DEF;SG
limba	لسان	limbă	لِسَان	N;DEF;FEM;SG	N;NOM;INDF;SG
limba	اللسان	limbă	لِسَان	N;DEF;FEM;SG	N;NOM;DEF;SG
limba	لغة	limbă	لُغَة	N;DEF;FEM;SG	N;NOM;INDF;SG
limba	اللغة	limbă	لُغَة	N;DEF;FEM;SG	N;NOM;DEF;SG
limba	لسان	limbă	لِسَان	N;DEF;FEM;SG	N;NOM;INDF;SG
limba	اللسان	limbă	لِسَان	N;DEF;FEM;SG	N;NOM;DEF;SG
limba	لغة	limbă	لُغَة	N;DEF;FEM;SG	N;NOM;INDF;SG
limba	اللغة	limbă	لُغَة	N;DEF;FEM;SG	N;NOM;DEF;SG
multe	كثير	mult	كَثِير	PRO;FEM;PL;3	ADJ;NOM;INDF;MASC;SG
multe	العديد	mult	عَدِيد	PRO;FEM;PL;3	ADJ;NOM;DEF;MASC;SG
multe	الكثيرون	mult	كَثِير	PRO;FEM;PL;3	ADJ;NOM;DEF;MASC;PL
multe	كثيرون	mult	كَثِير	PRO;FEM;PL;3	ADJ;NOM;INDF;MASC;PL
multe	الكثير	mult	كَثِير	PRO;FEM;PL;3	ADJ;NOM;DEF;MASC;SG
prima	اول	prim	أَوَّل	NUM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
prima	اولا	prim	أَوَّل	NUM;DEF;FEM;SG	ADJ;ACC;INDF;MASC;SG
prima	الاول	prim	أَوَّل	NUM;DEF;FEM;SG	ADJ;NOM;DEF;MASC;SG
prima	الاولى	prim	أَوَّل	NUM;DEF;FEM;SG	ADJ;NOM;DEF;FEM;SG
prima	قسط	prim	قِسط	NUM;DEF;FEM;SG	N;NOM;INDF;SG
august	اوغست	august	أَوغَس	N;INDF;MASC;SG	
sat	القرية	sat	قَريَة	N;INDF;MASC;SG	N;NOM;DEF;SG
sat	جلس	sat	جَلَس	N;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
sat	جلست	sat	جَلَس	N;INDF;MASC;SG	V;PFV;FEM;SG;3;ACT
martie	المسيرة	martie	مَسِيرَة	N;INDF;MASC;SG	N;NOM;DEF;SG
biserica	كنيسه	biserică	كنيسه	N;DEF;FEM;SG	PRO;NOM;MASC;SG;3
biserica	كنيست	biserică	كَنِيس	N;DEF;FEM;SG	
biserica	كنيسة	biserică	كَنِيسَة	N;DEF;FEM;SG	N;NOM;INDF;SG
biserica	الكنيسة	biserică	كَنِيسَة	N;DEF;FEM;SG	N;NOM;DEF;SG
biserica	كنيسه	biserică	كنيسه	N;DEF;FEM;SG	PRO;NOM;MASC;SG;3
biserica	كنيست	biserică	كَنِيس	N;DEF;FEM;SG	
biserica	كنيسة	biserică	كَنِيسَة	N;DEF;FEM;SG	N;NOM;INDF;SG
biserica	الكنيسة	biserică	كَنِيسَة	N;DEF;FEM;SG	N;NOM;DEF;SG
fisier	الملف	fisier	مِلَفّ	N;INDF;MASC;SG	N;NOM;DEF;SG
fisier	الملف	fisier	مِلَفّ	N;INDF;MASC;SG	N;NOM;DEF;SG
toate	كلهم	tot	كلهم	PRO;FEM;PL;3	
toate	كله	tot	كٰلِهَ	PRO;FEM;PL;3	
toate	جميع	tot	جَمِيع	PRO;FEM;PL;3	N;NOM;INDF;SG
toate	كل	tot	كُلّ	PRO;FEM;PL;3	N;NOM;INDF;SG
toate	الكل	tot	كُلّ	PRO;FEM;PL;3	
latns	lat	latns	شَهِر		
latd	latd	latd	شَارِث		
longd	longd	longd	قَحَث		
adresa	العنوان	adresă	عُنوَان	N;DEF;FEM;SG	N;NOM;DEF;SG
adresa	عنوان	adresă	عُنوَان	N;DEF;FEM;SG	N;NOM;INDF;SG
adresa	العنوان	adresă	عُنوَان	N;DEF;FEM;SG	N;NOM;DEF;SG
adresa	عنوان	adresă	عُنوَان	N;DEF;FEM;SG	N;NOM;INDF;SG
cum	ازاي	cum	إِزَايَ	ADV	
cum	شلون	cum	شَلّ	ADV	
cum	كيف	cum	كَيفَ	ADV	DET
imagine	صورة	imagine	صُورَة	N;INDF;FEM;SG	N;NOM;INDF;SG
imagine	الصورة	imagine	صُورَة	N;INDF;FEM;SG	N;NOM;DEF;SG
imagine	الصوره	imagine	صُوره	N;INDF;FEM;SG	
imagine	صوره	imagine	صُوره	N;INDF;FEM;SG	
imagine	صورة	imagine	صُورَة	N;INDF;FEM;SG	N;NOM;INDF;SG
imagine	الصورة	imagine	صُورَة	N;INDF;FEM;SG	N;NOM;DEF;SG
statul	الولاية	stat	وِلَايَة	N;DEF;MASC;SG	N;NOM;DEF;SG
statul	دولة	stat	دَولَة	N;DEF;MASC;SG	N;NOM;INDF;SG
statul	ولاية	stat	وِلَايَة	N;DEF;MASC;SG	N;NOM;INDF;SG
statul	الحالة	stat	حَالَة	N;DEF;MASC;SG	N;NOM;DEF;SG
statul	الدولة	stat	دَولَة	N;DEF;MASC;SG	N;NOM;DEF;SG
fie	فاما	fie	فَام	CONJ;POS	
fie	اما	fie	أَمَّا	CONJ;POS	PART
familia	عائلي	familie	عَائِلِيّ	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
familia	عائلة	familie	عَائِلَة	N;DEF;FEM;SG	N;NOM;INDF;SG
familia	الاسرة	familie	أُسرَة	N;DEF;FEM;SG	N;NOM;DEF;SG
familia	اسرة	familie	أُسرَة	N;DEF;FEM;SG	N;NOM;INDF;SG
familia	العائلة	familie	عَائِلَة	N;DEF;FEM;SG	N;NOM;DEF;SG
numele	اسم	nume	اِسم	N;DEF;MASC;SG	N;NOM;INDF;SG
numele	الاسم	nume	اِسم	N;DEF;MASC;SG	N;NOM;DEF;SG
timpul	وقت	timp	وَقت	N;DEF;MASC;SG	N;NOM;INDF;SG
timpul	الزمن	timp	زَمَن	N;DEF;MASC;SG	N;NOM;DEF;SG
timpul	الوقت	timp	وَقت	N;DEF;MASC;SG	N;NOM;DEF;SG
timpul	زمن	timp	زَمَن	N;DEF;MASC;SG	N;NOM;INDF;SG
timpul	الزمان	timp	زَمَان	N;DEF;MASC;SG	N;NOM;DEF;SG
nord	نورث	nord	نورث	N;INDF;MASC;SG	
nord	شمالي	nord	شمالي	N;INDF;MASC;SG	
nord	الشمال	nord	شَمَال	N;INDF;MASC;SG	N;NOM;DEF;SG
nord	نورد	nord	نورد	N;INDF;MASC;SG	
principala	رئيسية	principal	رَئِيسِيّ	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
principala	الرئيسية	principal	رَئِيسِيّ	ADJ;DEF;FEM;SG	ADJ;NOM;DEF;FEM;SG
principala	رئيسية	principal	رَئِيسِيّ	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
principala	الرئيسية	principal	رَئِيسِيّ	ADJ;DEF;FEM;SG	ADJ;NOM;DEF;FEM;SG
sud	جنوبي	sud	جَنُوبِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
sud	الجنوب	sud	جَنُوب	N;INDF;MASC;SG	N;NOM;DEF;SG
sud	ساوث	sud	سَاوث	N;INDF;MASC;SG	
loc	المكان	loc	مَكَان	N;INDF;MASC;SG	N;NOM;DEF;SG
primul	اول	prim	أَوَّل	NUM;DEF;MASC;SG	ADJ;NOM;INDF;MASC;SG
primul	اولا	prim	أَوَّل	NUM;DEF;MASC;SG	ADJ;ACC;INDF;MASC;SG
primul	الاول	prim	أَوَّل	NUM;DEF;MASC;SG	ADJ;NOM;DEF;MASC;SG
primul	الاولى	prim	أَوَّل	NUM;DEF;MASC;SG	ADJ;NOM;DEF;FEM;SG
doar	مجرد	doar	مُجَرَّد	ADV	N;NOM;INDF;SG
editura	الناشر	editură	نَاشِر	N;DEF;FEM;SG	N;NOM;DEF;SG
asteroid	الكويكب	asteroid	الكويكب	ADJ;INDF;MASC;SG	
asteroid	كويكب	asteroid	كُوَيكب	ADJ;INDF;MASC;SG	
recensamantului	التعداد	recensamant	تَعدَاد	N;DEF;MASC;SG	N;NOM;DEF;SG
trei	th	trei	th	NUM;PL	
trei	ثلاثه	trei	ثلاثه	NUM;PL	
asteroizi	الكويكبات	asteroid	الكويكبات	N;INDF;MASC;PL	
longm	long	longm	شَام		
latm	latm	latm	شَارِئ		
discutie	النقاش	discutie	النقاش	N;INDF;FEM;SG	
discutie	مناقشات	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;INDF;PL
discutie	مناقشة	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;INDF;SG
discutie	المناقشات	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;DEF;PL
discutie	نقاش	discutie	نِقَاش	N;INDF;FEM;SG	N;NOM;INDF;SG
discutie	المناقشة	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;DEF;SG
discutie	النقاش	discutie	النقاش	N;INDF;FEM;SG	
discutie	مناقشات	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;INDF;PL
discutie	مناقشة	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;INDF;SG
discutie	المناقشات	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;DEF;PL
discutie	نقاش	discutie	نِقَاش	N;INDF;FEM;SG	N;NOM;INDF;SG
discutie	المناقشة	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;DEF;SG
discutie	النقاش	discutie	النقاش	N;INDF;FEM;SG	
discutie	مناقشات	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;INDF;PL
discutie	مناقشة	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;INDF;SG
discutie	المناقشات	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;DEF;PL
discutie	نقاش	discutie	نِقَاش	N;INDF;FEM;SG	N;NOM;INDF;SG
discutie	المناقشة	discutie	مُنَاقَشَة	N;INDF;FEM;SG	N;NOM;DEF;SG
franta	وفرنسا	frantă	وفرنسا	PROPN	
franta	فرانس	frantă	فرَانس	PROPN	
franta	فرنسا	frantă	فَرَنسَا	PROPN	
franta	وفرنسا	frantă	وفرنسا	PROPN	
franta	فرانس	frantă	فرَانس	PROPN	
franta	فرنسا	frantă	فَرَنسَا	PROPN	
franta	وفرنسا	frantă	وفرنسا	PROPN	
franta	فرانس	frantă	فرَانس	PROPN	
franta	فرنسا	frantă	فَرَنسَا	PROPN	
partea	جزء	parte	جُزء	N;DEF;FEM;SG	N;NOM;INDF;SG
partea	الجزء	parte	جُزء	N;DEF;FEM;SG	N;NOM;DEF;SG
mult	ماتش	mult	مَاتِش	ADV	
fara	بدون	fară	بدون		
fara	بدون	fară	بدون		
departamentul	القسم	departament	قِسم	N;DEF;MASC;SG	N;NOM;DEF;SG
departamentul	قسم	departament	قِسم	N;DEF;MASC;SG	N;NOM;INDF;SG
departamentul	الادارة	departament	إِدَارَة	N;DEF;MASC;SG	N;NOM;DEF;SG
foarte	جدا	foarte	جِدّ	ADV	N;ACC;INDF;SG
data	موعد	dată	مَوعِد	N;DEF;FEM;SG	N;NOM;INDF;SG
data	الموعد	dată	مَوعِد	N;DEF;FEM;SG	N;NOM;DEF;SG
data	التاريخ	dată	تَارِيخ	N;DEF;FEM;SG	N;NOM;DEF;SG
data	تاريخ	dată	تَارِيخ	N;DEF;FEM;SG	N;NOM;INDF;SG
data	البيانات	dată	بَيَان	N;DEF;FEM;SG	N;NOM;DEF;PL
data	بيانات	dată	بَيَان	N;DEF;FEM;SG	N;NOM;INDF;PL
data	موعد	dată	مَوعِد	N;DEF;FEM;SG	N;NOM;INDF;SG
data	الموعد	dată	مَوعِد	N;DEF;FEM;SG	N;NOM;DEF;SG
data	التاريخ	dată	تَارِيخ	N;DEF;FEM;SG	N;NOM;DEF;SG
data	تاريخ	dată	تَارِيخ	N;DEF;FEM;SG	N;NOM;INDF;SG
departament	القسم	departament	قِسم	N;INDF;MASC;SG	N;NOM;DEF;SG
departament	الادارة	departament	إِدَارَة	N;INDF;MASC;SG	N;NOM;DEF;SG
unul	احد	unul	أَحَد	PRO;MASC;SG;3	N;NOM;INDF;SG
unul	واحدة	unul	وَاحِد	PRO;MASC;SG;3	ADJ;NOM;INDF;FEM;SG
unul	واحد	unul	وَاحِد	PRO;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
unul	واحده	unul	واحده	PRO;MASC;SG;3	PRO;NOM;MASC;SG;3
apoi	بعدها	apoi	بعدها	ADV	PRO;NOM;MASC;SG;3
apoi	ثم	apoi	ثُمَّ	ADV	CONJ
apoi	اذا	apoi	إِذَا	ADV	CONJ
grup	المجموعة	grup	مَجمُوعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
locul	مكان	loc	مَكَان	N;DEF;MASC;SG	N;NOM;INDF;SG
locul	المكان	loc	مَكَان	N;DEF;MASC;SG	N;NOM;DEF;SG
oras	تاون	oras	تَاون	N;INDF;MASC;SG	
oras	المدينة	oras	مَدِينَة	N;INDF;MASC;SG	N;NOM;DEF;SG
oras	البلدة	oras	بَلدَة	N;INDF;MASC;SG	N;NOM;DEF;SG
oras	المدينه	oras	المدينه	N;INDF;MASC;SG	
oras	المدينة	oras	مَدِينَة	N;INDF;MASC;SG	N;NOM;DEF;SG
oras	سيتي	oras	سِيتِي	N;INDF;MASC;SG	
oras	تاون	oras	تَاون	N;INDF;MASC;SG	
oras	المدينة	oras	مَدِينَة	N;INDF;MASC;SG	N;NOM;DEF;SG
oras	البلدة	oras	بَلدَة	N;INDF;MASC;SG	N;NOM;DEF;SG
oras	المدينه	oras	المدينه	N;INDF;MASC;SG	
oras	المدينة	oras	مَدِينَة	N;INDF;MASC;SG	N;NOM;DEF;SG
oras	سيتي	oras	سِيتِي	N;INDF;MASC;SG	
oras	تاون	oras	تَاون	N;INDF;MASC;SG	
oras	المدينة	oras	مَدِينَة	N;INDF;MASC;SG	N;NOM;DEF;SG
oras	البلدة	oras	بَلدَة	N;INDF;MASC;SG	N;NOM;DEF;SG
oras	المدينه	oras	المدينه	N;INDF;MASC;SG	
oras	المدينة	oras	مَدِينَة	N;INDF;MASC;SG	N;NOM;DEF;SG
oras	سيتي	oras	سِيتِي	N;INDF;MASC;SG	
pot	يستطيع	putea	اِستَطَاع	V;IND;PL;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
pot	يمكن	putea	أَمكَن	V;IND;PL;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
pot	يم	putea	يم	V;IND;PL;3;PRS;FIN	
camp	كامب	camp	كَامب	N;INDF;MASC;SG	
camp	المخيم	camp	مُخَيَّم	N;INDF;MASC;SG	N;NOM;DEF;SG
camp	المعسكر	camp	مُعَسكَر	N;INDF;MASC;SG	N;NOM;DEF;SG
camp	الميدان	camp	مَيدَان	N;INDF;MASC;SG	N;NOM;DEF;SG
camp	الحقل	camp	حَقل	N;INDF;MASC;SG	N;NOM;DEF;SG
germania	المانيا	germania	أَلمَانِيَا	PROPN	
satul	قرية	sat	قَريَة	N;DEF;MASC;SG	N;NOM;INDF;SG
satul	القرية	sat	قَريَة	N;DEF;MASC;SG	N;NOM;DEF;SG
national	الوطنية	national	وَطَنِيَّة	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
national	ناشيونال	national	ناشيونال	ADJ;INDF;MASC;SG	
national	الوطنية	national	وَطَنِيَّة	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
national	ناشيونال	national	ناشيونال	ADJ;INDF;MASC;SG	
national	الوطنية	national	وَطَنِيَّة	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
national	ناشيونال	national	ناشيونال	ADJ;INDF;MASC;SG	
note	الملاحظات	notă	مُلَاحَظَة	N;INDF;FEM;PL	N;NOM;DEF;PL
perioada	الفترة	perioadă	فَترَة	N;DEF;FEM;SG	N;NOM;DEF;SG
perioada	فترة	perioadă	فَترَة	N;DEF;FEM;SG	N;NOM;INDF;SG
perioada	الفترة	perioadă	فَترَة	N;DEF;FEM;SG	N;NOM;DEF;SG
perioada	فترة	perioadă	فَترَة	N;DEF;FEM;SG	N;NOM;INDF;SG
minoritate	الاقليات	minoritate	أَقلِيّ	N;INDF;FEM;SG	ADJ;NOM;DEF;FEM;PL
minoritate	الاقلية	minoritate	الاقلية	N;INDF;FEM;SG	N;NOM;DEF;SG
minoritate	اقلية	minoritate	اقلية	N;INDF;FEM;SG	N;NOM;INDF;SG
ucraineana	الاوكرانية	ucrainean	الاوكرانية	N;DEF;FEM;SG	
ucraineana	اوكرانيا	ucrainean	اوكرانيا	N;DEF;FEM;SG	
cadrul	اطار	cadru	إِطَار	N;DEF;MASC;SG	N;NOM;INDF;SG
general	عام	general	عَام	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
general	لواء	general	لِوَاء	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
