חנקן	nitróxeno	חנקן	nitróxeno	PROPN	N
האסיר	prisioneiro	האסיר	prisioneiro	PROPN	N
האסיר	prisioneiros	האסיר	prisioneiro	PROPN	N
נפטון	neptuno	נפטון	neptuno	PROPN	PROPN
אנדרואיד	android	אנדרואיד	android	PROPN	PROPN
דרושים	precisaba	דרוש	precisar	ADJ;MASC;PL	V
דרושים	necesitaba	דרוש	necesitar	ADJ;MASC;PL	V
דרושים	precisabamos	דרוש	precisabar	ADJ;MASC;PL	V
נופלים	a	נפל	o	V;MASC;PL;V.PTCP;ACT	DET
נופלים	derrube	נפל	derrubir	V;MASC;PL;V.PTCP;ACT	N
קיבולת	de	קיבולת	de	N;FEM;SG	ADP
לרקוד	baile	רקד	baile	V;NFIN;ACT	N
לרקוד	danza	רקד	danza	V;NFIN;ACT	N
בנזין	gasolina	בנזין	gasolina	PROPN	N
שבח	gábote	שבח	gábote		PROPN
שבח	teu	שבח	teu		DET
בייסבול	béisbol	בייסבול	béisbol	PROPN	N
מרמז	suxire	מרמז	suxerir		V
תהום	golfo	הום	golfo	PROPN	N
המנהלת	directora	המנהל	director	N;FEM;SG	ADJ
לני	lenny	לני	lenny	PROPN	PROPN
ותק	a	ותק	o	N;MASC;SG	DET
רקס	rex	רקס	rex	PROPN	PROPN
לוט	moito	לוט	moito		ADV
לוט	moita	לוט	moito		DET
לוט	moitos	לוט	moito		DET
לוט	moitas	לוט	moito		DET
הארבור	porto	הארבור	porto	PROPN	N
טיוב	youtube	טיוב	youtube	PROPN	PROPN
טיוב	de	טיוב	de	PROPN	ADP
מלאכותיים	artifical	מלאכותי	artifical	ADJ;MASC;PL	N
הרגש	emoción	הרגש	emoción		N
הרגש	sinto	הרגש	sinto		V
הרגש	sentir	הרגש	sentir		V
הרגש	que	הרגש	que		PRO
הרגש	síntome	הרגש	síntome		V
שכנים	os	שכן	o	N;MASC;PL	DET
אחלה	xenial	אחלה	xenial		ADJ
אחלה	gran	אחלה	gran		ADJ
אחלה	grande	אחלה	grande		ADJ
אחלה	grandes	אחלה	grande		ADJ
אחלה	xenial	אחלה	xenial		ADJ
אחלה	ben	אחלה	ben		ADV
אחלה	fresco	אחלה	fresco		N
פליטה	de	פליט	de	N;FEM;SG	ADP
שמכיל	que	שמכיל	que		PRO
שמכיל	contén	שמכיל	conter		V
גרון	gorxa	גרון	gorxa	PROPN	N
מרדף	da	מרדף	da	N;MASC;SG	V
מרדף	busca	מרדף	buscar	N;MASC;SG	V
אוי	oh	אוי	o		PROPN
ראות	visibilidade	ראה	visibilidade		N
קיד	neno	קיד	neno	PROPN	N
קיד	rapaz	קיד	rapaz	PROPN	N
קיד	nena	קיד	nena	PROPN	N
קיד	mozo	קיד	mozo	PROPN	N
סטנדרטי	estándar	סטנדרטי	estándar	ADJ;MASC;SG	V
סטנדרטי	de	סטנדרטי	de	ADJ;MASC;SG	ADP
הריח	cheiro	הריח	cheiro		N
הריח	a	הריח	o		DET
הריח	ulir	הריח	ulir		V
הריח	cheira	הריח	cheira		V
הריח	ules	הריח	ul		PROPN
פולט	paulette	פלט	paulette	PROPN	PROPN
השגרירות	embaixada	השגרירות	embaixar	N;FEM;SG	V
מתקשר	a	התקשר	o	V;MASC;SG;V.PTCP	DET
מתקשר	por	התקשר	por	V;MASC;SG;V.PTCP	ADP
תכלית	para	תכלית	para	N;FEM;SG	ADP
תכלית	serve	תכלית	servir	N;FEM;SG	V
בראבו	bravo	בראבו	bravo	PROPN	ADJ
נהרגה	a	נהרג	o	V;FEM;SG;3;PST;MID	DET
נהרגה	mortos	נהרג	morto	V;FEM;SG;3;PST;MID	N
המאפיה	turba	המאפיה	turba	PROPN	N
המאפיה	mafia	המאפיה	mafia	PROPN	PROPN
שלווה	paz	שלווה	paz		N
שלווה	a	שלווה	o		DET
שלווה	pacífica	שלווה	pacífico		ADJ
מוד	modo	מוד	modo		N
היט	calefacción	היט	calefacción	PROPN	N
היט	calor	היט	calor	PROPN	N
היט	o	היט	o	PROPN	DET
אמנית	artista	אמני	artista	ADV	N
אמנית	artistas	אמני	artista	ADV	N
הוריקן	furacán	הוריקן	furacán	PROPN	N
ביקורתי	crítica	ביקורתי	crítica	ADJ;MASC;SG	N
עדינה	delicado	עדינה	delicar	ADV	ADJ
עדינה	delicada	עדינה	delicado	ADV	ADJ
עדינה	sutil	עדינה	sutil	ADV	ADJ
עדינה	sutís	עדינה	suto	ADV	ADJ
מוזרה	moi	מוזר	moi	ADJ;FEM;SG	ADV
פתאומי	súpeto	פתאומי	súpeto	PROPN	N
פתאומי	de	פתאומי	de	PROPN	ADP
פתאומי	repentino	פתאומי	repentino	PROPN	ADJ
הניחו	que	הניח	que	V;PL;3;PST;ACT	PRO
נופלת	a	נפל	o	V;FEM;SG;V.PTCP;ACT	DET
נופלת	derrube	נפל	derrubir	V;FEM;SG;V.PTCP;ACT	N
האצבע	dedo	האצבע	dedo	PROPN	N
האצבע	o	האצבע	o	PROPN	DET
פשיטה	redadas	פשיטה	redar		V
גולף	golf	גולף	golf	PROPN	N
גולף	ao	גולף	ao	PROPN	PROPN
נד	ned	נד	ned		N
החטא	pecado	החטא	pecado	PROPN	N
האבטלה	paro	האבטל	paro	PROPN	N
קט	gato	קט	gato		N
קט	ao	קט	ao		PROPN
גאי	tipo	גאי	tipo	PROPN	N
גאי	home	גאי	home	PROPN	N
סילבר	silver	סילבר	silver	PROPN	PROPN
רענן	fresco	רענן	fresco	PROPN	N
רענן	fresca	רענן	frescar	PROPN	N
רענן	frescos	רענן	fresco	PROPN	N
רענן	descarado	רענן	descarar	PROPN	V
רענן	descarados	רענן	descarar	PROPN	V
רענן	frescas	רענן	fresca	PROPN	N
רענן	cambiar	רענן	cambiar	PROPN	V
הופר	hooper	הופר	hooper	PROPN	PROPN
סגורות	pechada	סגור	pechada	ADJ;FEM;PL	V
סגורות	pechado	סגור	pechado	ADJ;FEM;PL	N
סגורות	pechou	סגור	pechar	ADJ;FEM;PL	V
סגורות	pechados	סגור	pechar	ADJ;FEM;PL	V
סגורות	sondaxes	סגור	sondaxe	ADJ;FEM;PL	N
איב	eva	איב	eve	PROPN	PROPN
איב	aninovo	איב	aninovo	PROPN	N
איב	data	איב	data	PROPN	N
איב	véspera	איב	véspera	PROPN	N
איב	noitevella	איב	noitevella	PROPN	PROPN
סודית	segredo	סודית	segredo	ADV	N
סודית	secreto	סודית	secreto	ADV	N
סודית	secreta	סודית	secreta	ADV	N
לידת	a	לידה	o	PROPN	DET
לידת	luz	לידה	luz	PROPN	N
לידת	nacemento	לידה	nacemento	PROPN	N
לידת	orixe	לידה	orixe	PROPN	N
לידת	de	לידה	de	PROPN	ADP
כווית	kuwait	כווית	kuwait	PROPN	PROPN
הסטטוס	posición	הסטטוס	posición	PROPN	N
הסטטוס	statu	הסטטוס	statu	PROPN	N
הסטטוס	status	הסטטוס	status	PROPN	N
תמותה	infantil	תמותה	infantil	N;FEM;SG	ADJ
יריד	xusto	יריד	xusto		ADV
יריד	feira	יריד	feira		N
מעצבת	estilista	עיצב	estilista	V;FEM;SG;V.PTCP;ACT	N
אבודים	perdeu	אבוד	perder	N;MASC;PL	V
אבודים	perderon	אבוד	perder	N;MASC;PL	V
אבודים	perdín	אבוד	perder	N;MASC;PL	V
אבודים	perdemos	אבוד	perder	N;MASC;PL	V
אבודים	perdido	אבוד	perdido	N;MASC;PL	V
חזותי	visual	חזותי	visual	N	ADJ
חזותי	visuais	חזותי	visual	N	ADJ
סרדיניה	sardeña	סרדיניה	sardeña	PROPN	N
המזכירה	de	המזכירה	de	V;FEM;SG;3;PST;ACT	ADP
המזכירה	secretaria	המזכירה	secretaria	V;FEM;SG;3;PST;ACT	N
המזכירה	secretario	המזכירה	secretario	V;FEM;SG;3;PST;ACT	N
המזכירה	estado	המזכירה	estado	V;FEM;SG;3;PST;ACT	N
מכללה	que	מכללה	que	N;FEM;SG	PRO
מכללה	college	מכללה	collegar	N;FEM;SG	PROPN
ניקיון	limpando	ניקיון	limpar	N;MASC;SG	V
ניקיון	a	ניקיון	o	N;MASC;SG	DET
ניקיון	da	ניקיון	da	N;MASC;SG	V
להיט	éxito	להיט	éxito	PROPN	N
הפחתה	a	הפחתה	o	N;FEM;SG	DET
ברנאר	bernard	ברנאר	bernard	PROPN	V
כימיקלים	químico	כימיקל	químico	N;MASC;PL	ADJ
הגיבו	aos	הגיב	aos	V;PL;3;PST;ACT	PROPN
הגיבו	ante	הגיב	ante	V;PL;3;PST;ACT	ADP
הגיבו	reaccionei	הגיב	reaccionar	V;PL;3;PST;ACT	PROPN
אגרוף	unha	אגרוף	un	N;MASC;SG	DET
שנפגע	afectados	שנפגע	afectado	PROPN	N
קילו	case	קילוגרם	case	N;MASC;SG	ADV
כנה	de	כן	de		ADP
כנה	honestos	כן	honesto		N
כנה	sinceros	כן	sincero		ADJ
כנה	dicir	כן	dicir		V
כנה	verdade	כן	verdade		N
כנה	sincero	כן	sincero		N
כנה	honesto	כן	honesto		N
כנה	de	כן	de		ADP
כנה	honrado	כן	honrar		V
התמקדות	centrar	התמקדות	centrar	N;FEM;SG	V
צחוק	risos	צחוק	riso	PROPN	N
צחוק	risas	צחוק	risa	PROPN	N
צחוק	rir	צחוק	rir	PROPN	V
צחוק	risa	צחוק	risa	PROPN	N
צחוק	rían	צחוק	rían	PROPN	V
שפרד	pastor	שפרד	pastor	PROPN	N
שפרד	pastorciño	שפרד	pastorciño	PROPN	N
לחפור	cáptasme	חפר	cáptasme	V;NFIN;ACT	N
לחפור	capto	חפר	capto	V;NFIN;ACT	N
לחפור	píllalo	חפר	píllalo	V;NFIN;ACT	PROPN
מניה	manía	מניה	manío		N
מניה	depósito	מניה	depósito		N
לווייתן	balea	לווייתן	balea	PROPN	N
פח	estaño	פח	estaño		N
פח	metálico	פח	metálico		ADJ
רוקדים	bailando	רקד	bailar	N;MASC;PL	V
רוקדים	bailar	רקד	bailar	N;MASC;PL	V
רוקדים	bailaba	רקד	bailar	N;MASC;PL	V
ביגוד	roupa	ביגוד	roupa		N
כבל	de	כבל	de	PROPN	ADP
שיחזור	a	שיחזור	o	PROPN	DET
שיחזור	restaurar	שיחזור	restaurar	PROPN	V
משמרת	de	משמרת	de	N;FEM;SG	ADP
ביקוש	pido	ביקוש	pedir	N;MASC;SG	V
ביקוש	custar	ביקוש	custar	N;MASC;SG	V
רשע	mal	רשע	mal	PROPN	ADV
רשע	malo	רשע	malo	PROPN	PROPN
רשע	malvado	רשע	malvado	PROPN	ADJ
רשע	maldade	רשע	maldade	PROPN	N
רשע	malvados	רשע	malvado	PROPN	ADJ
רשע	malo	רשע	malo	PROPN	PROPN
רשע	malvada	רשע	malvada	PROPN	ADJ
אלבר	albert	אלבר	albert	PROPN	PROPN
אובייקטיבי	obxectiva	אובייקטיבי	obxectivo	N;MASC;SG	ADJ
גלוקוז	glicosa	גלוקוז	glicosa	N;MASC	ADJ
אורגן	órgano	אורגן	órgano	PROPN	N
הגדל	incremento	הגדל	incremento		N
הגדל	aumento	הגדל	aumento		N
הגדל	a	הגדל	o		DET
הגדל	incrementar	הגדל	incrementar		V
הגדל	aumenta	הגדל	aumentar		V
הגדל	aumentar	הגדל	aumentar		V
תעשייתית	industrial	תעשייתי	industrial	ADV	N
תחושות	os	תחושה	o	N;FEM;PL	DET
אינדקס	índice	אינדקס	índice		N
העצומה	petición	העצומה	petición	PROPN	N
התעוררות	espertar	התעוררות	espertar	N;FEM;SG	V
אלביס	elvis	אלביס	elvis	PROPN	PROPN
מקארתי	mccarthy	מקארתי	mccarthy	PROPN	PROPN
דיים	centavos	דיים	centavo		N
דיים	dama	דיים	dama		N
המר	amarga	המר	amargar		ADJ
זמינה	dispoñibles	זמינה	dispoñible	N;FEM;SG	ADJ
זמינה	dispoñible	זמינה	dispoñible	N;FEM;SG	ADJ
זמינה	dispor	זמינה	dispor	N;FEM;SG	V
זמינה	dispoñíbel	זמינה	dispoñíbel	N;FEM;SG	ADJ
זמינה	haxa	זמינה	haber	N;FEM;SG	V
זמינה	dispoñíbeis	זמינה	dispoñíbel	N;FEM;SG	ADJ
סחורה	o	סחורה	o	N;FEM;SG	DET
סחורה	ben	סחורה	ben	N;FEM;SG	ADV
הגנום	xenoma	הגנום	xenomar	PROPN	N
דיילי	día	דיילי	día	PROPN	N
דיילי	diariamente	דיילי	diariamente	PROPN	ADV
דיילי	daily	דיילי	daily	PROPN	ADJ
דיילי	cotiá	דיילי	cotián	PROPN	N
דיילי	diario	דיילי	diario	PROPN	N
מענק	indultarme	מענק	indultarme	N;MASC;SG	V
מענק	a	מענק	o	N;MASC;SG	DET
מענק	grant	מענק	grant	N;MASC;SG	PROPN
דונובן	donovan	דונובן	donovar	PROPN	V
הגדלה	de	הגדלה	de	N;FEM;SG	ADP
הגדלה	medrando	הגדלה	medrar	N;FEM;SG	V
הגדלה	medrar	הגדלה	medrar	N;FEM;SG	V
הגדלה	crecendo	הגדלה	crecer	N;FEM;SG	V
אירופאית	europea	אירופאי	europeo	ADV	ADJ
אירופאית	europeas	אירופאי	europeo	ADV	ADJ
כנופיות	forzados	כנופיה	forzar	N;FEM;PL	V
הקטור	héctor	הקטור	héctor	PROPN	N
מארח	anfitrión	מרח	anfitrión	PROPN	N
נוחים	cómodo	נוח	cómodo	N;MASC;PL	ADJ
לינק	enlace	לינק	enlace	PROPN	N
השכן	veciño	השכן	veciño		ADJ
רובוטים	robots	רובוט	robots	N;MASC;PL	PROPN
אדית	edith	אדית	edithr	PROPN	PROPN
מוצלחים	éxito	מוצלח	éxito	ADJ;MASC;PL	N
להתנהג	acto	התנהג	acto	V;NFIN	N
בצדק	pero	בצדק	pero		CONJ
בצדק	recordalo	בצדק	recordalo		N
הושמד	con	הושמד	con	V;MASC;SG;3;PST;PASS	ADP
הושמד	destruírono	הושמד	destruírono	V;MASC;SG;3;PST;PASS	PROPN
אוקיי	moi	אוקיי	moi		ADV
אוקיי	ben	אוקיי	ben		ADV
אוקיי	vale	אוקיי	valar		V
אוקיי	está	אוקיי	estar		V
אוקיי	acordo	אוקיי	acordo		N
שותה	auga	שותה	auga	V;MASC;SG;V.PTCP;ACT	N
שותה	café	שותה	café	V;MASC;SG;V.PTCP;ACT	N
שמורה	se	שמורה	se	N;FEM;SG	CONJ
שמורה	salvado	שמורה	salvar	N;FEM;SG	V
שמורה	a	שמורה	o	N;FEM;SG	DET
שמורה	salvou	שמורה	salvar	N;FEM;SG	V
שמורה	salvei	שמורה	salvar	N;FEM;SG	PROPN
המנורה	lámpada	המנורה	lámpada	PROPN	N
מכובדת	respectado	מכובד	respectar	ADJ;FEM;SG	V
ציפה	se	ציפה	se	PROPN	CONJ
ציפה	esperaba	ציפה	esperar	PROPN	V
ציפה	que	ציפה	que	PROPN	PRO
וויל	vai	וויל	ir	PROPN	V
לסבית	homosexuais	לסבית	homosexual	PROPN	ADJ
לסבית	homosexual	לסבית	homosexual	PROPN	N
לסבית	fada	לסבית	fada	PROPN	N
לסבית	das	לסבית	das	PROPN	N
לסבית	lesbiana	לסבית	lesbianar	PROPN	N
ועידה	de	ועידה	de	N;FEM;SG	ADP
זמינות	dispoñibles	זמינות	dispoñible	N;FEM;SG	ADJ
זמינות	dispoñible	זמינות	dispoñible	N;FEM;SG	ADJ
זמינות	dispor	זמינות	dispor	N;FEM;SG	V
זמינות	dispoñíbel	זמינות	dispoñíbel	N;FEM;SG	ADJ
זמינות	haxa	זמינות	haber	N;FEM;SG	V
זמינות	dispoñíbeis	זמינות	dispoñíbel	N;FEM;SG	ADJ
קליי	clay	קליי	clay	PROPN	PROPN
נלכד	prisioneiro	נלכד	prisioneiro	V;MASC;SG;3;PST;MID	N
צפוף	xente	צפוף	xente	ADJ;MASC;SG	N
הובלת	levou	הובלה	levar	N;FEM;SG	V
הובלת	leva	הובלה	levar	N;FEM;SG	V
הובלת	levoume	הובלה	levoume	N;FEM;SG	V
וונדר	pregúntaste	וונדר	pregúntaste	PROPN	PROPN
וונדר	pregúntome	וונדר	pregúntome	PROPN	V
וונדר	me	וונדר	me	PROPN	PRO
וונדר	que	וונדר	que	PROPN	PRO
מחכים	a	החכים	o	V;MASC;PL;V.PTCP;ACT	DET
דרו	drew	דרו	drew	PROPN	PROPN
שעונים	ve	שעון	ver	N;MASC;PL	V
שעונים	mira	שעון	miro	N;MASC;PL	V
הנהלה	de	הנהלה	de	N;FEM;SG	ADP
הנהלה	a	הנהלה	o	N;FEM;SG	DET
תמים	inocente	תמים	inocente		ADJ
תמים	inocentes	תמים	inocente		ADJ
קדמה	segue	קדמה	seguir	N;FEM;SG	V
מבטו	mirada	מבט	mirada		N
מונטנה	montana	מונטנה	montana	PROPN	PROPN
הוגנת	feira	הוגן	feira	ADV	N
פטרסון	patterson	פטרסון	patterson	PROPN	PROPN
אפיפיור	papa	אפיפיור	papa	PROPN	N
מתנצל	desculpas	התנצל	desculpa	V;MASC;SG;V.PTCP	N
ילידים	nativo	יליד	nativo	N;MASC;PL	ADJ
ילידים	onde	יליד	onde	N;MASC;PL	PRO
בזבוז	perder	בזבוז	perder	N;MASC;SG	V
בזבוז	perder	בזבוז	perder	N;MASC;SG	V
קח	a	קח	o	PROPN	DET
סנגל	senegal	סנגל	senegal	PROPN	PROPN
אשליה	a	אשליה	o	N;FEM;SG	DET
האבחנה	diagnóstico	האבחן	diagnóstico	PROPN	N
האבחנה	diagnose	האבחן	diagnose	PROPN	N
מרטי	marty	מרטי	marty	PROPN	PROPN
שנותן	da	שנותן	da		V
שנותן	dá	שנותן	dar		V
שנותן	dálle	שנותן	dálle		V
זעירה	diminutos	זעיר	diminuto	ADJ;FEM;SG	N
זעירה	diminuto	זעיר	diminuto	ADJ;FEM;SG	N
זעירה	minúsculas	זעיר	minúscula	ADJ;FEM;SG	N
מעוצב	para	מעוצב	para	V;MASC;SG;V.PTCP;PASS	ADP
אורחת	convidado	אורחה	convidar	N;FEM;SG	V
אורחת	invitado	אורחה	invitado	N;FEM;SG	V
ידידים	os	ידיד	o	N;MASC;PL	DET
פרוייקט	proxecto	פרוייקט	proxecto	PROPN	N
התפתחותית	desenvolvemento	התפתחותית	desenvolvemento	PROPN	N
התפתחותית	trastorno	התפתחותית	trastorno	PROPN	N
אבדה	perdeu	אבדה	perder	N;FEM;SG	V
אבדה	perderon	אבדה	perder	N;FEM;SG	V
אבדה	perdín	אבדה	perder	N;FEM;SG	V
אבדה	perdemos	אבדה	perder	N;FEM;SG	V
אבדה	perdido	אבדה	perdido	N;FEM;SG	V
לקפוץ	así	קפץ	así	V;NFIN;ACT	ADV
לקפוץ	chimpa	קפץ	chimpa	V;NFIN;ACT	PROPN
שרלוק	sherlock	שרלוק	sherlock	PROPN	N
נשכח	o	נשכח	o	V;MASC;SG;3;PST;MID	DET
נעלי	os	נעל	o	N;PSSD;FEM;PL	DET
למדתי	que	למד	que	V;SG;1;PST	PRO
תיל	de	תיל	de	N;MASC;SG	ADP
המיליציה	milicia	המיליציה	milicia	PROPN	N
אלבמה	alabama	אלבמה	alabamar	PROPN	PROPN
טוהר	pureza	טוהר	pureza	PROPN	N
קסמים	máxico	קסם	máxico	N;MASC;PL	ADJ
קסמים	máxica	קסם	máxica	N;MASC;PL	ADJ
קרו	lle	קרה	lle	PROPN	PRO
קרו	pasou	קרה	pasar	PROPN	V
קרו	ocorreu	קרה	ocorrer	PROPN	V
קרו	aconteceu	קרה	acontecer	PROPN	V
קרו	sucedeu	קרה	suceder	PROPN	V
קרו	que	קרה	que	PROPN	PRO
שנהב	costa	שנהב	costa	PROPN	N
שנהב	do	שנהב	do	PROPN	PROPN
שנהב	marfil	שנהב	marfil	PROPN	N
שנהב	de	שנהב	de	PROPN	ADP
נגע	tocan	נגע	tocar	N;MASC;SG	V
נגע	están	נגע	estar	N;MASC;SG	V
נגע	tocar	נגע	tocar	N;MASC;SG	V
נגע	a	נגע	o	N;MASC;SG	DET
נגע	tocáronme	נגע	tocáronme	N;MASC;SG	PROPN
מקטע	sección	מקטע	sección		N
מחפשת	a	חיפש	o	V;FEM;SG;V.PTCP;ACT	DET
אפקטיבי	efectivos	אפקטיבי	efectivo	ADJ;MASC;SG	N
אפקטיבי	a	אפקטיבי	o	ADJ;MASC;SG	DET
הסיפון	cuberta	הסיפון	cubrir	PROPN	V
אודיו	audio	אודיו	audio	PROPN	N
שקטה	silencio	שקטה	silencio	ADJ;FEM;SG	N
שקטה	silencio	שקטה	silencio	ADJ;FEM;SG	N
שקטה	calado	שקטה	calado	ADJ;FEM;SG	N
מריאן	marianne	מריאן	marianne	PROPN	PROPN
מריאן	marianka	מריאן	marianka	PROPN	N
מניחה	que	מניחה	que	V;FEM;SG;V.PTCP;ACT	PRO
חציית	cruzar	חצייה	cruzar	N;PSSD;FEM;SG	V
חציית	cruzando	חצייה	cruzar	N;PSSD;FEM;SG	V
