xenio	genial	xenio	genial	N	ADJ;MASC;SG
yoshizawa	yoshizawa	coshizazar	yoshizawa	N	V;IND;PL;3;FIN
nis	nei	nis	nei	PROPN	N;MASC;SG
varys	varys	varys	vary	PROPN	N;MASC;PL
estivesen	eles	estar	eles	V	PRO;NOM;MASC;PL;3
estivesen	elas	estar	ele	V	PRO;NOM;FEM;PL;3
estivesen	foram	estar	ser	V	V;IND;PL;3;PST;FIN
estivesen	eram	estar	ser	V	V;IND;PL;3;IPFV;FIN
corría	running	corría	running	V	N;MASC;SG
corría	estava	corría	estar	V	V;IND;SG;3;IPFV;FIN
corría	tava	corría	tavo	V	V;IND;SG;1;IPFV;FIN
corría	foi	corría	foi	V	ADV
ensino	ensina	ensino	ensina	N	V;IND;SG;3;PRS;FIN
ensino	ensine	ensino	ensine	N	V;SBJV;SG;3;PRS;FIN
ensino	ensinar	ensino	ensinar	N	V;NFIN
ensino	ensinando	ensino	ensinar	N	V;V.MSDR
ensino	ensinar	ensino	ensinar	N	V;NFIN
estanse	são	estanse	ser	PROPN	V;IND;PL;3;PRS;FIN
estanse	estão	estanse	estar	PROPN	V;IND;PL;3;PRS;FIN
estanse	sao	estanse	sao	PROPN	V;IND;PL;3;PRS;FIN
estanse	are	estanse	are	PROPN	N;MASC;SG
loitan	fighting	loitar	fighting	V	N;MASC;SG
loitan	são	loitar	ser	V	V;IND;PL;3;PRS;FIN
loitan	estão	loitar	estar	V	V;IND;PL;3;PRS;FIN
loitan	are	loitar	are	V	N;MASC;SG
loitan	luta	loitar	luta	V	N;FEM;SG
loitan	briga	loitar	briga	V	N;FEM;SG
loitan	combate	loitar	combate	V	N;MASC;SG
loitan	fight	loitar	fight	V	N;MASC;SG
dinámica	dinâmico	dinámica	dinâmico	N	ADJ;MASC;SG
dinámica	dinâmicos	dinámica	dinâmico	N	ADJ;MASC;PL
aumenta	will	aumentar	will	V	N;MASC;SG
aumenta	vontade	aumentar	vontade	V	N;FEM;SG
aumenta	aumento	aumentar	aumento	V	N;MASC;SG
similar	similares	similar	similar	ADJ	N;MASC;PL
saibas	tu	saber	tu	V	INTJ
saibas	você	saber	você	V	PRO;NOM;SG;3
saibas	vc	saber	vc	V	PRO;NOM;MASC;SG;3
ken	ken	ker	ken	PROPN	N;MASC;SG
falsos	false	falso	false	ADJ	N;MASC;SG
falsos	falsos	falso	falso	ADJ	N;MASC;PL
sexades	tu	sexade	tu	V	INTJ
sexades	você	sexade	você	V	PRO;NOM;SG;3
sexades	vc	sexade	vc	V	PRO;NOM;MASC;SG;3
pensaban	pensamento	pensabar	pensamento	V	N;MASC;SG
pensaban	eles	pensabar	eles	V	PRO;NOM;MASC;PL;3
pensaban	elas	pensabar	ele	V	PRO;NOM;FEM;PL;3
pódense	pode	pódense	poder	N	V;IND;SG;3;PRS;FIN
pódense	podem	pódense	poder	N	V;IND;PL;3;PRS;FIN
coñecida	conhecida	coñecer	conhecido	V	ADJ;FEM;SG
coñecida	conhecido	coñecer	conhecido	V	ADJ;MASC;SG
coñecida	conhecidas	coñecer	conhecido	V	ADJ;FEM;PL
coñecida	conhecidos	coñecer	conhecido	V	ADJ;MASC;PL
emocionante	emocionante	emocionante	emocionante	N	ADJ;MASC;SG
emocionante	excitante	emocionante	excitante	N	ADJ;MASC;SG
emocionante	empolgante	emocionante	empolgante	N	ADJ;MASC;SG
emocionante	emocionante	emocionante	emocionante	N	ADJ;MASC;SG
necesitan	need	necesitar	need	V	N;MASC;SG
necesitan	preciso	necesitar	preciso	V	ADJ;MASC;SG
necesitan	necessidade	necesitar	necessidade	V	N;FEM;SG
necesitan	eles	necesitar	eles	V	PRO;NOM;MASC;PL;3
necesitan	elas	necesitar	ele	V	PRO;NOM;FEM;PL;3
senon	mas	senon	mas	PART	CONJ
individual	indivíduo	individual	indivíduo	ADJ	N;MASC;SG
específico	especifico	específico	especifico	ADJ	N;MASC;SG
fiel	fiel	fiel	fiel	N	ADJ;MASC;SG
trece	treze	trecer	treze	N	NUM
paran	eles	parar	eles	V	PRO;NOM;MASC;PL;3
paran	elas	parar	ele	V	PRO;NOM;FEM;PL;3
pensara	pensamento	pensar	pensamento	V	N;MASC;SG
enfermos	enjoado	enfermo	enjoar	N	V;MASC;SG;V.PTCP
enfermos	doentio	enfermo	doentio	N	ADJ;MASC;SG
enfermos	doente	enfermo	doente	N	ADJ;MASC;SG
compartimos	partilha	compartir	partilha	V	N;FEM;SG
compartimos	compartilhamento	compartir	compartilhamento	V	N;MASC;SG
arder	queima	arder	queima	V	N;FEM;SG
arder	queimadura	arder	queimadura	V	N;FEM;SG
arder	burn	arder	burn	V	N;MASC;SG
arder	queima	arder	queima	V	N;FEM;SG
oriental	orientais	oriental	oriental	ADJ	N;MASC;PL
oriental	leste	oriental	leste	ADJ	N;MASC;SG
oriental	eastern	oriental	eastern	ADJ	N;MASC;SG
oriental	orientais	oriental	oriental	ADJ	N;MASC;PL
roubei	roubaram	roubar	roubar	PROPN	V;IND;PL;3;FIN
roubei	roubou	roubar	roubar	PROPN	V;IND;SG;3;PST;FIN
america	america	americar	americar	PROPN	N;MASC;SG
america	américa	americar	américo	PROPN	N;FEM;SG
pensaron	pensamento	pensar	pensamento	V	N;MASC;SG
pensaron	eles	pensar	eles	V	PRO;NOM;MASC;PL;3
pensaron	elas	pensar	ele	V	PRO;NOM;FEM;PL;3
chamábase	seu	chamábase	seu	V	DET;MASC;SG
chamábase	his	chamábase	his	V	N;MASC;SG
chamábase	sua	chamábase	seu	V	DET;FEM;SG
chamábase	nome	chamábase	nome	V	N;MASC;SG
chamábase	estava	chamábase	estar	V	V;IND;SG;3;IPFV;FIN
chamábase	tava	chamábase	tavo	V	V;IND;SG;1;IPFV;FIN
chamábase	foi	chamábase	foi	V	ADV
murray	murray	murray	murray	PROPN	N;MASC;SG
deixalos	deixe	deixalo	deixar	N	V;SBJV;SG;3;PRS;FIN
deixalos	deixa	deixalo	deixar	N	V;IND;SG;3;PRS;FIN
deixalos	eles	deixalo	eles	N	PRO;NOM;MASC;PL;3
deixalos	deixe	deixalo	deixar	N	V;SBJV;SG;3;PRS;FIN
deixalos	sair	deixalo	sair	N	V;NFIN
deixalos	deixar	deixalo	deixar	N	V;NFIN
vanme	eles	vanme	eles	V	PRO;NOM;MASC;PL;3
vanme	elas	vanme	ele	V	PRO;NOM;FEM;PL;3
conclusión	essa	conclusión	esse	N	PRO;FEM;SG
conclusión	isso	conclusión	isso	N	PRO;MASC;SG
conclusión	que	conclusión	que	N	PRO;MASC;SG
orgullosos	orgulho	orgulloso	orgulho	ADJ	N;MASC;SG
chegarán	will	chegar	will	V	N;MASC;SG
chegarán	vontade	chegar	vontade	V	N;FEM;SG
chegarán	eles	chegar	eles	V	PRO;NOM;MASC;PL;3
chegarán	elas	chegar	ele	V	PRO;NOM;FEM;PL;3
quedaron	eles	quedar	eles	V	PRO;NOM;MASC;PL;3
quedaron	elas	quedar	ele	V	PRO;NOM;FEM;PL;3
supostamente	supunha	supostamente	supunho	ADV	V;IND;SG;3;IPFV;FIN
supostamente	suposto	supostamente	suposto	ADV	N;MASC;SG
supostamente	suposta	supostamente	suposto	ADV	N;FEM;SG
supostamente	supõe	supostamente	supor	ADV	V;IND;SG;3;PRS;FIN
facelos	eles	facelo	eles	DET	PRO;NOM;MASC;PL;3
facelos	make	facelo	make	DET	N;FEM;SG
facelos	faça	facelo	fazer	DET	V;SBJV;SG;3;PRS;FIN
escribiume	escreveu	escribiume	escrever	PROPN	V;IND;SG;3;PST;FIN
escribiume	escrevia	escribiume	escrever	PROPN	V;IND;SG;3;IPFV;FIN
escribiume	escrevi	escribiume	escrever	PROPN	V;IND;SG;1;PST;FIN
gustoume	like	gustoume	like	V	N;MASC;SG
gustoume	curta	gustoume	curto	V	ADJ;FEM;SG
gustoume	como	gustoume	como	V	ADV
hanoi	hanói	hanol	hanói	PROPN	N;MASC;SG
islam	islam	islam	islar	PROPN	N;MASC;SG
islam	islã	islam	islã	PROPN	N;MASC;SG
islam	islamismo	islam	islamismo	PROPN	N;MASC;SG
islam	islão	islam	islão	PROPN	N;MASC;SG
profeta	profeta	profeta	profeta	V	N;MASC;SG
chámanlle	chamada	chámanlle	chamar	PROPN	V;FEM;SG;V.PTCP
chámanlle	ligar	chámanlle	ligar	PROPN	V;NFIN
chámanlle	ligue	chámanlle	ligar	PROPN	V;SBJV;SG;3;PRS;FIN
chámanlle	chama	chámanlle	chamar	PROPN	V;IND;SG;3;PRS;FIN
cas	com	cas	com	N	ADP
devanceiros	ancestrais	devanceiro	ancestral	ADJ	N;MASC;PL
devanceiros	antepassados	devanceiro	antepassado	ADJ	N;MASC;PL
estatal	estaduais	estatal	estadual	ADJ	N;MASC;PL
estatal	state	estatal	state	ADJ	N;MASC;SG
estatal	estado	estatal	estado	ADJ	N;MASC;SG
amargo	amarga	amargo	amarga	N	ADJ;FEM;SG
amargo	amargos	amargo	amargo	N	ADJ;MASC;PL
representante	representativo	representante	representativo	N	ADJ;MASC;SG
representante	representativa	representante	representativa	N	ADJ;FEM;SG
levárono	ele	levárono	ele	V	PRO;NOM;MASC;SG;3
levárono	eles	levárono	eles	V	PRO;NOM;MASC;PL;3
levárono	elas	levárono	ele	V	PRO;NOM;FEM;PL;3
xogamos	play	xogar	play	V	N;MASC;SG
feitas	made	facer	made	V	N;MASC;SG
estranxeira	estrangeiro	estranxeiro	estrangeiro	ADJ	N;MASC;SG
estranxeira	estrangeira	estranxeiro	estrangeiro	ADJ	N;FEM;SG
estranxeira	estrangeiras	estranxeiro	estrangeiro	ADJ	N;FEM;PL
estranxeira	estrangeiros	estranxeiro	estrangeiro	ADJ	N;MASC;PL
estranxeira	estrangeira	estranxeiro	estrangeiro	ADJ	N;FEM;SG
estranxeira	estrangeiros	estranxeiro	estrangeiro	ADJ	N;MASC;PL
estranxeira	estrangeiro	estranxeiro	estrangeiro	ADJ	N;MASC;SG
favorita	preferida	favoritar	preferir	N	V;FEM;SG;V.PTCP
favorita	preferido	favoritar	preferir	N	V;MASC;SG;V.PTCP
dirán	eles	dir	eles	V	PRO;NOM;MASC;PL;3
dirán	elas	dir	ele	V	PRO;NOM;FEM;PL;3
dirán	say	dir	say	V	N;MASC;SG
viaxa	viagens	viaxa	viagem	V	N;FEM;PL
viaxa	viagem	viaxa	viagem	V	N;FEM;SG
viaxa	viagens	viaxa	viagem	V	N;FEM;PL
parker	parker	parker	parker	PROPN	N;MASC;SG
esperan	esperança	esperar	esperança	V	N;FEM;SG
esperan	hope	esperar	hope	V	N;MASC;SG
esperan	esperanças	esperar	esperança	V	N;FEM;PL
taza	xícara	taza	xícara	PROPN	N;FEM;SG
taza	copa	taza	copa	PROPN	N;FEM;SG
taza	taça	taza	taça	PROPN	N;FEM;SG
taza	chávena	taza	cháveno	PROPN	N;FEM;SG
taza	copo	taza	copo	PROPN	N;MASC;SG
lixeiro	light	lixeiro	light	ADJ	N;MASC;SG
lixeiro	luz	lixeiro	luz	ADJ	N;FEM;SG
lixeiro	leve	lixeiro	levar	ADJ	V;SBJV;SG;3;PRS;FIN
prometín	prometido	prometín	prometer	PROPN	V;MASC;SG;V.PTCP
prometín	prometi	prometín	prometer	PROPN	V;IND;SG;1;PST;FIN
prometín	prometida	prometín	prometer	PROPN	V;FEM;SG;V.PTCP
prometín	prometeu	prometín	prometer	PROPN	V;IND;SG;3;PST;FIN
defunto	tarde	defunto	tarde	N	ADV
defunto	atrasada	defunto	atrasar	N	V;FEM;SG;V.PTCP
defunto	atrasados	defunto	atrasar	N	V;MASC;PL;V.PTCP
defunto	atrasado	defunto	atrasar	N	V;MASC;SG;V.PTCP
defunto	morto	defunto	morrer	N	V;MASC;SG;V.PTCP
regrese	costas	regrese	costa	V	N;FEM;PL
regrese	volta	regrese	volta	V	N;FEM;SG
escapou	away	escapar	away	V	N;MASC;SG
escapou	do	escapar	do	V	N;MASC;SG
escapou	de	escapar	de	V	ADP
escapou	da	escapar	da	V	INTJ
tumbas	graves	tumba	grave	N	ADJ;MASC;PL
amada	amei	amadar	amei	ADJ	V;IND;SG;1;PST;FIN
amada	amava	amadar	amavar	ADJ	V;IND;SG;3;IPFV;FIN
amada	amado	amadar	amado	ADJ	N;MASC;SG
amada	amada	amadar	amada	ADJ	N;FEM;SG
amada	amados	amadar	amado	ADJ	V;MASC;PL;V.PTCP
amada	amadas	amadar	amada	ADJ	V;FEM;PL;V.PTCP
cooperativas	cooperativo	cooperativa	cooperativo	N	ADJ;MASC;SG
jenny	jenny	jenny	jenny	PROPN	N;FEM;SG
óesme	tu	óesme	tu	PROPN	INTJ
óesme	você	óesme	você	PROPN	PRO;NOM;SG;3
óesme	vc	óesme	vc	PROPN	PRO;NOM;MASC;SG;3
óesme	ouvir	óesme	ouvir	PROPN	V;NFIN
internado	hospitalar	internado	hospitalar	N	ADJ;MASC;SG
calade	cala	calade	calar	N	V;IND;SG;3;PRS;FIN
molesto	perturbado	molesto	perturbar	N	V;MASC;SG;V.PTCP
molesto	chateado	molesto	chatear	N	V;MASC;SG;V.PTCP
molesto	chateada	molesto	chatear	N	V;FEM;SG;V.PTCP
molesto	perturbada	molesto	perturbar	N	V;FEM;SG;V.PTCP
molesto	transtornado	molesto	transtornar	N	V;MASC;SG;V.PTCP
pensado	pensamento	pensar	pensamento	V	N;MASC;SG
refires	média	referir	média	PROPN	N;FEM;SG
gustaríalle	like	gustaríalle	like	V	N;MASC;SG
gustaríalle	curta	gustaríalle	curto	V	ADJ;FEM;SG
gustaríalle	como	gustaríalle	como	V	ADV
mátote	mate	mátote	mate	PROPN	V;SBJV;SG;3;PRS;FIN
mátote	kill	mátote	kill	PROPN	N;MASC;SG
mátote	matem	mátote	matar	PROPN	V;SBJV;PL;3;PRS;FIN
mátote	matar	mátote	matar	PROPN	V;NFIN
mátote	mata	mátote	matar	PROPN	N;FEM;SG
mátote	tu	mátote	tu	PROPN	INTJ
mátote	você	mátote	você	PROPN	PRO;NOM;SG;3
mátote	vc	mátote	vc	PROPN	PRO;NOM;MASC;SG;3
esperas	tu	espera	tu	N	INTJ
esperas	você	espera	você	N	PRO;NOM;SG;3
esperas	vc	espera	vc	N	PRO;NOM;MASC;SG;3
esperas	esperando	espera	esperar	N	V;V.MSDR
esperas	aguardando	espera	aguardar	N	V;V.MSDR
caín	caiu	caín	cair	PRO	V;IND;SG;3;PST;FIN
caín	fell	caín	fell	PRO	N;MASC;SG
caín	caíu	caín	caíu	PRO	V;IND;SG;3;PST;FIN
caín	caí	caín	caí	PRO	V;IND;SG;1;PST;FIN
socorro	ajude	socorro	ajude	N	V;SBJV;SG;3;PRS;FIN
socorro	ajudar	socorro	ajudar	N	V;NFIN
joseph	joseph	josephr	joseph	PROPN	N;MASC;SG
joseph	josé	josephr	josé	PROPN	N;MASC;SG
xusta	só	xusto	só	ADJ	ADV
xusta	apenas	xusto	apenas	ADJ	ADV
vido	vem	vir	vir	N	V;IND;SG;3;PRS;FIN
vido	venham	vir	vir	N	V;SBJV;PL;3;PRS;FIN
vido	venha	vir	vir	N	V;SBJV;SG;3;PRS;FIN
vido	vieram	vir	vir	N	V;IND;PL;3;FIN
vido	chegou	vir	chegar	N	V;IND;SG;3;PST;FIN
vido	veio	vir	vir	N	V;IND;SG;3;PST;FIN
dispararon	shot	disparar	shot	V	N;MASC;SG
dispararon	tiro	disparar	tiro	V	N;MASC;SG
dispararon	eles	disparar	eles	V	PRO;NOM;MASC;PL;3
dispararon	elas	disparar	ele	V	PRO;NOM;FEM;PL;3
terlle	tenha	terlle	ter	PROPN	V;SBJV;SG;3;PRS;FIN
terlle	ter	terlle	ter	PROPN	V;NFIN
