категория	kategorien	категория	kategori	N;INDF;FEM;SG	N;DEF;MASC;SG
често	ofte	често	ofte	ADV	ADJ
работи	arbeid	работя	arbeid	V;IPFV;IMP;SG;2;FIN	N;INDF;NEUT;SG
работи	jobb	работя	jobb	V;IPFV;IMP;SG;2;FIN	N;INDF;MASC;SG
работи	jobber	работя	jobbe	V;IPFV;IMP;SG;2;FIN	N;INDF;FEM;PL
работи	fungerer	работя	fungere	V;IPFV;IMP;SG;2;FIN	V;IND;PRS;FIN
работи	funker	работя	funker	V;IPFV;IMP;SG;2;FIN	N;INDF;MASC;SG
провинция	provinsen	провинция	provins	N;INDF;FEM;SG	N;DEF;MASC;SG
империя	imperiet	империя	imperium	N;INDF;FEM;SG	N;DEF;NEUT;SG
империя	keiserdømmet	империя	keiserdøm	N;INDF;FEM;SG	N;DEF;NEUT;SG
иван	ivan	иван	ivan	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
повече	fleire	повече	mange	ADV;INDF;PL	ADJ;CMPR
повече	fler	повече	fler	ADV;INDF;PL	N;INDF;NEUT;SG
повече	flere	повече	flere	ADV;INDF;PL	
повече	mer	повече	mer	ADV;INDF;PL	N;INDF;MASC;SG
повече	meir	повече	mykje	ADV;INDF;PL	ADJ;CMPR
повече	mere	повече	mere	ADV;INDF;PL	N;INDF;MASC;SG
три	three	три	three	NUM;INDF;PL	N
страна	landet	страна	land	N;INDF;FEM;SG	N;DEF;NEUT;SG
страна	sida	страна	side	N;INDF;FEM;SG	N;DEF;FEM;SG
въпреки	tross	въпреки	tross	ADP	N;INDF;NEUT;SG
население	befolkningen	население	befolkning	N;INDF;NEUT;SG	N;DEF;MASC;SG
завършва	avsluttes	завършвам	avsluttes	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
бил	regning	съм	regning	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N;INDF;FEM;SG
бил	bill	съм	bill	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N;INDF;MASC;SG
малко	lille	малко	lilje	ADV;INDF;PL	N;INDF;MASC;SG
малко	lite	малко	lite	ADV;INDF;PL	ADJ;INDF;NEUT;SG
малко	liten	малко	liten	ADV;INDF;PL	ADJ;INDF;MASC;SG
хора	mennesker	хора	menneske	N;INDF	N;INDF;MASC;SG
хора	personer	хора	person	N;INDF	N;INDF;FEM;PL
хора	personar	хора	person	N;INDF	N;INDF;MASC;PL
хора	folk	хора	folk	N;INDF	N;INDF;NEUT;PL
университет	universitetet	университет	universitet	N;INDF;MASC;SG	N;DEF;NEUT;SG
германия	tyskland	германия	tyskland	PROPN;INDF;FEM;SG	PROPN
могат	can	мога	cann	V;IPFV;IND;PL;3;PRS;FIN;ACT	N
син	blå	син	blå	N;INDF;MASC;SG	ADJ;INDF;SG
син	blått	син	blå	N;INDF;MASC;SG	ADJ;INDF;NEUT;SG
георги	georgi	георга	georgi	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
георги	georgij	георга	georgij	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
голяма	large	голям	larg	ADJ;INDF;FEM;SG	N
голяма	big	голям	big	ADJ;INDF;FEM;SG	N;INDF;SG
голяма	store	голям	stor	ADJ;INDF;FEM;SG	ADJ;PL
италия	italias	италия	italias	PROPN;INDF;FEM;SG	N;INDF;MASC;SG
италия	italia	италия	italie	PROPN;INDF;FEM;SG	PROPN
сайт	nettstedet	сайт	nettsted	N;INDF;MASC;SG	N;DEF;NEUT;SG
сайт	nettstedet	сайт	nettsted	N;INDF;MASC;SG	N;DEF;NEUT;SG
световна	worldwide	световен	worldwide	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
световна	verdensbasis	световен	verdensbasis	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
световна	verdensomspennende	световен	verdensomspennende	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
край	avslutt	край	avslutt	ADP	N;INDF;MASC;SG
край	ende	край	ende	ADP	N;INDF;MASC;SG
край	slutt	край	slutt	ADP	N;INDF;MASC;SG
уикипедия	wikipedia	уикипедия	wikipedia	N;INDF;FEM;SG	N;DEF;NEUT;SG
сезон	sesongen	сезон	sesong	N;INDF;MASC;SG	N;DEF;MASC;SG
окръг	distriktet	окръг	distrikt	N;INDF;MASC;SG	N;DEF;NEUT;SG
днес	today	днес	today	ADV	N;INDF;MASC;SG
днес	idag	днес	idag	ADV	N;INDF;MASC;SG
смъртта	død	смърт	død	N;DEF;FEM;SG	N;INDF;MASC;SG
смъртта	dødsstraff	смърт	dødsstraff	N;DEF;FEM;SG	N;INDF;FEM;SG
франция	frankrike	франция	frankrike	PROPN;INDF;FEM;SG	N;INDF;NEUT;SG
франция	france	франция	france	PROPN;INDF;FEM;SG	N
национален	nasjonale	национален	nasjonal	ADJ;INDF;MASC;SG	ADJ;PL
национален	national	национален	national	ADJ;INDF;MASC;SG	N;INDF;MASC;SG
гърция	hellas	гърция	hellas	PROPN;INDF;FEM;SG	PROPN
вижте	skjønner	видя-(се)	skjønne	V;PFV;IMP;PL;2;FIN	V;IND;PRS;FIN
вижте	see	видя-(се)	see	V;PFV;IMP;PL;2;FIN	N;INDF;SG
вижте	se	видя-(се)	se	V;PFV;IMP;PL;2;FIN	
русия	russlands	русия	russlands	PROPN;INDF;FEM;SG	N;INDF;MASC;SG
русия	russland	русия	russland	PROPN;INDF;FEM;SG	N;INDF;MASC;SG
английски	engelsk	английски	engelsk	ADJ;INDF;MASC;SG	N;INDF;MASC;SG
едно	one	един	one	NUM;INDF;NEUT;SG	
едно	en	един	en	NUM;INDF;NEUT;SG	
едно	ett	един	ett	NUM;INDF;NEUT;SG	
едно	én	един	én	NUM;INDF;NEUT;SG	
първи	første	първи	første	ADJ;INDF;MASC;SG	ADJ;DEF;SG
първи	først	първи	først	ADJ;INDF;MASC;SG	ADV
първи	forst	първи	forst	ADJ;INDF;MASC;SG	N;INDF;MASC;SG
първи	first	първи	first	ADJ;INDF;MASC;SG	N
член	medlemmet	член	medlem	N;INDF;MASC;SG	N;DEF;NEUT;SG
член	artikkelen	член	artikkel	N;INDF;MASC;SG	N;DEF;MASC;SG
височина	høyden	височина	høyd	N;INDF;FEM;SG	N;DEF;MASC;SG
височина	høyden	височина	høyd	N;INDF;FEM;SG	N;DEF;MASC;SG
дъщеря	dattera	дъщеря	datter	N;INDF;FEM;SG	N;DEF;FEM;SG
дъщеря	datteren	дъщеря	datter	N;INDF;FEM;SG	N;DEF;MASC;SG
система	systemet	система	system	N;INDF;FEM;SG	N;DEF;NEUT;SG
нея	hennes	аз	hennes	PRO;ACC;FEM;SG;3	N;INDF;MASC;SG
училище	skolen	училище	skole	N;INDF;NEUT;SG	N;DEF;MASC;SG
училище	skulen	училище	skule	N;INDF;NEUT;SG	N;DEF;MASC;SG
били	billy	съм	billy	V;IPFV;INDF;IND;PL;V.PTCP;ACT	N;INDF;NEUT;SG
били	billie	съм	billie	V;IPFV;INDF;IND;PL;V.PTCP;ACT	N;INDF;MASC;SG
света	sveta	свят	sveta	N;DEF;MASC;SG	N;INDF;NEUT;SG
света	verden	свят	verden	N;DEF;MASC;SG	
села	landsbyene	село	landsby	N;INDF;NEUT;PL	N;DEF;FEM;PL
филми	kino	филм	kino	N;INDF;MASC;PL	N;INDF;MASC;SG
александър	aleksandar	александър	aleksande	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
александър	aleksander	александър	aleksande	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
александър	alexander	александър	alexander	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
умира	dør	умирам	dør	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
умира	døende	умирам	døende	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
умира	dør	умирам	dør	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
южна	sørlige	южен	sørlig	ADJ;INDF;FEM;SG	ADJ;PL
южна	southern	южен	southern	ADJ;INDF;FEM;SG	N;INDF;NEUT;SG
южна	søndre	южен	søndre	ADJ;INDF;FEM;SG	ADJ;CMPR
южна	syd	южен	syd	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
южна	syden	южен	syde	ADJ;INDF;FEM;SG	N;DEF;MASC;SG
южна	sør	южен	sør	ADJ;INDF;FEM;SG	ADP
южна	south	южен	south	ADJ;INDF;FEM;SG	PROPN
европа	europe	европа	europe	PROPN;INDF;FEM;SG	N;INDF;MASC;SG
европа	europa	европа	europa	PROPN;INDF;FEM;SG	N;DEF;NEUT;SG
европа	europa	европа	europa	PROPN;INDF;FEM;SG	N;DEF;NEUT;SG
димитър	dimitar	димитър	dimit	PROPN;INDF;MASC;SG	N;INDF;MASC;PL
всеки	anyone	всеки	anyon	PRO;NOM;MASC;SG	N;INDF;SG
всеки	noen	всеки	noen	PRO;NOM;MASC;SG	
всеки	alle	всеки	alle	PRO;NOM;MASC;SG	PRO;PL;3
всеки	every	всеки	every	PRO;NOM;MASC;SG	N
всеки	hver	всеки	hver	PRO;NOM;MASC;SG	
всеки	hvert	всеки	hvert	PRO;NOM;MASC;SG	
всеки	hver	всеки	hver	PRO;NOM;MASC;SG	
всеки	hvert	всеки	hvert	PRO;NOM;MASC;SG	
части	delene	част	del	N;INDF;FEM;PL	N;DEF;FEM;PL
нова	nyhet	нов	nyh	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
нова	nye	нов	ny	ADJ;INDF;FEM;SG	ADJ;PL
нова	new	нов	new	ADJ;INDF;FEM;SG	N;INDF;SG
нова	nova	нов	nove	ADJ;INDF;FEM;SG	N
армия	hæren	армия	hær	N;INDF;FEM;SG	N;DEF;MASC;SG
църква	kirken	църква	kirk	N;INDF;FEM;SG	N;DEF;MASC;SG
докато	until	докато	until	CONJ	N
докато	inntil	докато	inntil	CONJ	ADP
официален	official	официален	official	ADJ;INDF;MASC;SG	N
официален	offisielle	официален	offisiell	ADJ;INDF;MASC;SG	ADJ;PL
официален	formelle	официален	formell	ADJ;INDF;MASC;SG	ADJ;PL
северна	nordover	северен	nordov	ADJ;INDF;FEM;SG	ADP
северна	north	северен	north	ADJ;INDF;FEM;SG	PROPN
северна	nord	северен	nord	ADJ;INDF;FEM;SG	ADP
северна	nordlige	северен	nordlig	ADJ;INDF;FEM;SG	ADJ;PL
северна	northern	северен	northern	ADJ;INDF;FEM;SG	N;INDF;NEUT;SG
времето	vær	време	vær	N;DEF;NEUT;SG	N;INDF;MASC;SG
времето	tid	време	tid	N;DEF;NEUT;SG	N;INDF;FEM;SG
времето	klokkeslett	време	klokkeslett	N;DEF;NEUT;SG	N;INDF;FEM;SG
времето	gang	време	gang	N;DEF;NEUT;SG	N;INDF;MASC;SG
българска	bulgarsk	български	bulgarsk	ADJ;INDF;FEM;SG	N;INDF;MASC;SG
българска	bulgarske	български	bulgarsk	ADJ;INDF;FEM;SG	ADJ;PL
освен	utenom	освен	utenom	ADP	N;INDF;NEUT;SG
освен	untatt	освен	unta	ADP	ADJ;INDF;NEUT;SG
освен	unntatt	освен	unnta	ADP	ADJ;INDF;NEUT;SG
места	spisesteder	място	spisestede	N;INDF;NEUT;PL	N;INDF;MASC;SG
места	seter	място	seter	N;INDF;NEUT;PL	N;INDF;NEUT;SG
период	perioden	период	periode	N;INDF;MASC;SG	N;DEF;MASC;SG
резултат	utfallet	резултат	utfall	N;INDF;MASC;SG	N;DEF;NEUT;SG
футболисти	fotballspillere	футболист	fotballspillere	N;INDF;MASC;PL	N;INDF;FEM;SG
данни	dataene	данна	data	N;INDF;FEM;PL	N;DEF;FEM;PL
данни	data	данна	data	N;INDF;FEM;PL	N;INDF;NEUT;SG
страница	siden	страница	siden	N;INDF;FEM;SG	
страница	sida	страница	side	N;INDF;FEM;SG	N;DEF;FEM;SG
картинка	bildet	картинка	bilde	N;INDF;FEM;SG	N;DEF;NEUT;SG
картинка	bildet	картинка	bilde	N;INDF;FEM;SG	N;DEF;NEUT;SG
родени	born	родя-(се)	barn	V;PFV;INDF;PL;V.PTCP;PASS	N;INDF;NEUT;PL
родени	født	родя-(се)	føde	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;INDF;SG;V.PTCP
играе	avspilling	играя	avspilling	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
играе	leke	играя	leke	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
играе	lek	играя	lek	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
играе	spill	играя	spill	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
играе	avspillinger	играя	avspillinger	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;PL
играе	skuespill	играя	skuespill	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
играе	spiler	играя	spile	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;PL
живот	livet	живот	liv	N;INDF;MASC;SG	N;DEF;NEUT;SG
църквата	kirka	църква	kirk	N;DEF;FEM;SG	N;INDF;FEM;SG
църквата	kirke	църква	kirke	N;DEF;FEM;SG	N;INDF;MASC;SG
ден	dagen	ден	dag	N;INDF;MASC;SG	N;DEF;MASC;SG
жени	kvinnfolk	жена	kvinnfolk	N;INDF;FEM;PL	N;INDF;NEUT;SG
руски	russer	руски	russer	ADJ;INDF;MASC;SG	N;INDF;FEM;PL
известен	kjente	известен	kjent	ADJ;INDF;MASC;SG	ADJ;PL
известен	berømte	известен	berømt	ADJ;INDF;MASC;SG	ADJ;PL
добре	flinke	добре	flink	ADV	ADJ;PL
добре	flink	добре	flink	ADV	ADJ;INDF;SG
добре	godt	добре	god	ADV	ADJ;INDF;NEUT;SG
добре	dyktig	добре	dyktig	ADV	ADJ;INDF;SG
добре	god	добре	god	ADV	ADJ;INDF;SG
добре	bra	добре	bra	ADV	ADJ;INDF;NEUT;SG
дори	even	дори	even	PART	N;INDF;MASC;SG
дори	selv	дори	selv	PART	
дори	tilogmed	дори	tilogmed	PART	N;INDF;MASC;SG
дори	sjølv	дори	sjølv	PART	ADV
води	ledetråder	водя	ledetråde	V;IPFV;IMP;SG;2;FIN	N;INDF;MASC;PL
води	fører	водя	føre	V;IPFV;IMP;SG;2;FIN	V;IND;PRS;FIN
води	waters	водя	waters	V;IPFV;IMP;SG;2;FIN	N;INDF;MASC;SG
води	farvann	водя	farvann	V;IPFV;IMP;SG;2;FIN	N;INDF;MASC;SG
води	lede	водя	lede	V;IPFV;IMP;SG;2;FIN	N;INDF;MASC;SG
води	bly	водя	bly	V;IPFV;IMP;SG;2;FIN	N;INDF;NEUT;SG
води	føre	водя	føre	V;IPFV;IMP;SG;2;FIN	ADP
голям	large	голям	larg	ADJ;INDF;MASC;SG	N
голям	big	голям	big	ADJ;INDF;MASC;SG	N;INDF;SG
голям	store	голям	stor	ADJ;INDF;MASC;SG	ADJ;PL
почти	almost	почти	almost	ADV	N
печели	vinner	печеля	vinne	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
печели	seiere	печеля	seiere	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
страни	partier	страна	parti	N;INDF;FEM;PL	N;INDF;NEUT;SG
страни	sides	страна	side	N;INDF;FEM;PL	N;INDF;MASC;SG
страни	landene	страна	land	N;INDF;FEM;PL	N;DEF;FEM;PL
страни	land	страна	land	N;INDF;FEM;PL	N;INDF;NEUT;SG
площ	området	площ	område	N;INDF;FEM;SG	N;DEF;NEUT;SG
код	koden	код	kode	N;INDF;MASC;SG	N;DEF;MASC;SG
код	kodeks	код	kodeks	N;INDF;MASC;SG	ADJ;INDF;SG
френски	fransk	френски	fransk	ADJ;INDF;MASC;SG	N;INDF;MASC;SG
генерал	generell	генерал	generell	N;INDF;MASC;SG	ADJ;INDF;SG
генерал	generelt	генерал	generell	N;INDF;MASC;SG	ADJ;INDF;NEUT;SG
защото	because	защото	because	ADV	N;INDF;SG
защото	fordi	защото	fordi	ADV	CONJ
държава	landet	държава	land	N;INDF;FEM;SG	N;DEF;NEUT;SG
държава	staten	държава	stat	N;INDF;FEM;SG	N;DEF;MASC;SG
държава	delstater	държава	delstater	N;INDF;FEM;SG	N;INDF;MASC;PL
държава	state	държава	state	N;INDF;FEM;SG	PROPN
двете	både	два	både	NUM;DEF;FEM;PL	CONJ
двете	begge	два	begge	NUM;DEF;FEM;PL	PRO;PL;3
обикновено	pleier	обикновено	pleie	ADV	V;IND;PRS;FIN
обикновено	normalt	обикновено	normal	ADV	ADJ;INDF;NEUT;SG
големи	large	голям	larg	ADJ;INDF;PL	N
големи	stor	голям	stor	ADJ;INDF;PL	ADJ;INDF;SG
големи	stort	голям	stor	ADJ;INDF;PL	ADJ;INDF;NEUT;SG
големи	big	голям	big	ADJ;INDF;PL	N;INDF;SG
големи	stor	голям	stor	ADJ;INDF;PL	ADJ;INDF;SG
големи	stort	голям	stor	ADJ;INDF;PL	ADJ;INDF;NEUT;SG
деца	kids	дете	kids	N;INDF;NEUT;PL	N;INDF;MASC;SG
деца	kidsa	дете	kidse	N;INDF;NEUT;PL	N;INDF;MASC;SG
деца	unger	дете	unger	N;INDF;NEUT;PL	N;INDF;MASC;SG
петър	peter	петър	peter	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
петър	petar	петър	petar	PROPN;INDF;MASC;SG	N;INDF;MASC;SG
остава	levninger	оставам	levning	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;PL
дължина	lengden	дължина	lengd	N;INDF;FEM;SG	N;DEF;MASC;SG
българи	bulgarere	българин	bulgarere	N;INDF;MASC;PL	V;NFIN
албум	albumet	албум	album	N;INDF;MASC;SG	N;DEF;NEUT;SG
гръцки	gresk	гръцки	gresk	ADJ;INDF;MASC;SG	N;INDF;MASC;SG
дни	dagene	ден	dag	N;INDF;MASC;PL	N;DEF;FEM;PL
дни	days	ден	days	N;INDF;MASC;PL	N;INDF;MASC;SG
съюз	unionen	съюз	union	N;INDF;MASC;SG	N;DEF;MASC;SG
съюз	alliansen	съюз	allianse	N;INDF;MASC;SG	N;DEF;MASC;SG
