die	на	die	на	DET;DEF	ADP
eksterne	външна	ekstern	външен	V;PRS	ADJ;INDF;FEM;SG
eksterne	външно	ekstern	външен	V;PRS	ADV
eksterne	външни	ekstern	външен	V;PRS	ADJ;INDF;PL
eksterne	външен	ekstern	външен	V;PRS	ADJ;INDF;MASC;SG
sien	видя	sien	видя-(се)	V;PRS	V;PFV;IND;SG;3;PST;FIN;ACT
nuwe	ню	nuut	ню	ADJ;NOM	PROPN;INDF;MASC;SG
nuwe	ново	nuut	нов	ADJ;NOM	ADV
leë	празно	leë	празен		ADV
leë	празен	leë	празен		ADJ;INDF;MASC;SG
leë	празни	leë	празен		ADJ;INDF;PL
leë	празна	leë	празная-(се)		ADJ;INDF;FEM;SG
leë	празно	leë	празен		ADV
leë	празен	leë	празен		ADJ;INDF;MASC;SG
leë	празна	leë	празная-(се)		ADJ;INDF;FEM;SG
hom	него	hom	аз	PRO;NOM;SG;3	PRO;ACC;MASC;SG;3
voor	преден	voor	преден	ADP	ADJ;INDF;MASC;SG
voor	предни	voor	преден	ADP	ADJ;INDF;PL
voor	отпред	voor	отпред	ADP	ADV
voor	фронт	voor	фронт	ADP	N;INDF;MASC;SG
voor	предна	voor	преден	ADP	ADJ;INDF;FEM;SG
stad	city	stad	city	N;SG	PROPN;INDF;MASC;SG
sou	би	sal	съм	V;PST;FIN	V;IPFV;COND;SG;3;PST;FIN
deel	споделяне	deel	споделяне	V;PRS	N;INDF;NEUT;SG
deel	дял	deel	дял	V;PRS	N;INDF;MASC;SG
deel	част	deel	част	V;PRS	N;INDF;FEM;SG
pous	папата	pous	папа		N;DEF;MASC;SG
pous	папа	pous	пап		N;INDF;MASC;SG
pous	поуп	pous	поуп		N;INDF;MASC;SG
sal	уил	sal	ухл	V;PRS	PROPN;INDF;MASC;SG
ons	нашият	ons	наш	PRO;PL;1	DET;DEF;MASC;SG;1
ons	наша	ons	наш	PRO;PL;1	DET;INDF;FEM;SG;1
ons	нашия	ons	наш	PRO;PL;1	DET;DEF;MASC;SG;1
ons	нашата	ons	наш	PRO;PL;1	DET;DEF;FEM;SG;1
ons	нашите	ons	наш	PRO;PL;1	DET;DEF;PL;1
mense	народ	mens	народ	N;PL	N;INDF;MASC;SG
mense	хора	mens	хора	N;PL	N;INDF
mense	хората	mens	хора	N;PL	N;DEF
nasionale	национално	nasionaal	национален	ADJ;NOM	ADV
noord	северно	noord	северно		ADV
noord	север	noord	север		N;INDF;MASC;SG
noord	северна	noord	северен		ADJ;INDF;FEM;SG
jpg	jpg	jpg	jpg		PROPN;INDF;MASC;SG
gebied	територия	bied	територия	V;PST;V.PTCP	N;INDF;FEM;SG
gebied	територии	bied	територия	V;PST;V.PTCP	N;INDF;FEM;PL
gebied	територията	bied	територия	V;PST;V.PTCP	N;DEF;FEM;SG
gebied	зона	bied	зона	V;PST;V.PTCP	N;INDF;FEM;SG
gebied	площ	bied	площ	V;PST;V.PTCP	N;INDF;FEM;SG
gebied	област	bied	област	V;PST;V.PTCP	N;INDF;FEM;SG
gebied	район	bied	район	V;PST;V.PTCP	N;INDF;MASC;SG
laat	късно	laat	късно	V;PRS	ADV
laat	закъснява	laat	закъснявам	V;PRS	V;IPFV;IND;SG;3;PRS;FIN;ACT
style	стилове	styal	стил		N;INDF;MASC;PL
style	стайлс	styal	стайлс		N;INDF;MASC;SG
weer	отново	weer	отново		ADV
weer	пак	weer	пак		ADV
weer	времето	weer	време		N;DEF;NEUT;SG
werk	работа	werk	работа	V;PRS	N;INDF;FEM;SG
werk	труд	werk	труд	V;PRS	N;INDF;MASC;SG
werk	работа	werk	работа	V;PRS	N;INDF;FEM;SG
werk	йов	werk	йов	V;PRS	N;INDF;MASC;SG
klein	малка	klein	малък		ADJ;INDF;FEM;SG
klein	малки	klein	малък		ADJ;INDF;PL
klein	малък	klein	малък		ADJ;INDF;MASC;SG
klein	дребен	klein	дребен		ADJ;INDF;MASC;SG
klein	незначителни	klein	незначителен		ADJ;INDF;PL
oos	източно	oos	източно		ADV
oos	изток	oos	изток		N;INDF;MASC;SG
verenigde	обединени	verenig	обединя-(се)	ADJ;NOM	V;PFV;INDF;PL;V.PTCP;PASS
verenigde	обединена	verenig	обединя-(се)	ADJ;NOM	V;PFV;INDF;FEM;SG;V.PTCP;PASS
verenigde	обединен	verenig	обединя-(се)	ADJ;NOM	V;PFV;INDF;MASC;SG;V.PTCP;PASS
verenigde	юнайтед	verenig	юнайтед	ADJ;NOM	N;INDF;MASC;SG
verenigde	обединено	verenig	обединя-(се)	ADJ;NOM	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
mei	май	mei	май		PROPN;INDF;MASC;SG
wes	запад	wes	запад		N;INDF;MASC;SG
wes	западно	wes	западно		ADV
wes	западна	wes	западна		ADJ;INDF;FEM;SG
wes	западен	wes	западя-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
wes	уест	wes	уест		PROPN;INDF;MASC;SG
vorm	формата	vorm	форма	V;PRS	N;DEF;FEM;SG
vorm	форма	vorm	форма	V;PRS	N;INDF;FEM;SG
staan	стояща	staan	стоящ	V;PRS	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
gereformeerde	реформирана	reformeer	реформирам	ADJ;NOM	V;PFV;INDF;FEM;SG;V.PTCP;PASS
isbn	isbn	isbn	isbn		N;INDF;FEM;SG
gebou	изграждане	bou	изграждане	V;PST;V.PTCP	N;INDF;NEUT;SG
gebou	сграда	bou	сграда	V;PST;V.PTCP	N;INDF;FEM;SG
gebou	сградата	bou	сграда	V;PST;V.PTCP	N;DEF;FEM;SG
januarie	януари	januarie	януари		N;INDF;MASC;SG
januarie	ръководство	januarie	ръководство		N;INDF;NEUT;SG
januarie	ръчен	januarie	ръчен		N;INDF;MASC;SG
januarie	ръчна	januarie	ръчен		ADJ;INDF;FEM;SG
januarie	ръчни	januarie	ръчен		ADJ;INDF;PL
junie	джун	junie	джун		N;INDF;MASC;SG
junie	юни	junie	юни		N;INDF;MASC;SG
amerikaanse	американско	amerikaans	американски	ADJ;NOM	ADV
amerikaanse	американец	amerikaans	американец	ADJ;NOM	N;INDF;MASC;SG
nadat	след	nadat	след	CONJ	ADP
april	ейприл	april	ейприл		PROPN;INDF;FEM;SG
april	април	april	април		N;INDF;MASC;SG
lank	висок	lank	висок	ADV	ADJ;INDF;MASC;SG
lank	висока	lank	висок	ADV	ADJ;INDF;FEM;SG
lank	високи	lank	висок	ADV	ADJ;INDF;PL
lank	дълги	lank	дълъг	ADV	ADJ;INDF;PL
lank	дълъг	lank	дълъг	ADV	ADJ;INDF;MASC;SG
lank	лонг	lank	лонг	ADV	PROPN;INDF;MASC;SG
oktober	октомври	oktober	октомври		N;INDF;MASC;SG
julie	юли	julie	юли		N;INDF;MASC;SG
sedert	изстреляна	sedert	изстрелям	ADP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
sedert	изстрелян	sedert	изстрелям	ADP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
kaapstad	барселона	kaapstad	барселон		N;INDF;FEM;SG
september	септември	september	септември		N;INDF;MASC;SG
engels	английски	engels	английски		ADJ;INDF;MASC;SG
engels	bulgarian	engels	bulgarian		N;INDF;MASC;SG
engels	англичани	engels	англичанин		N;INDF;MASC;PL
party	парти	party	парта	V;PRS	N;INDF;NEUT;SG
party	party	party	party	V;PRS	ADJ
party	купон	party	купон	V;PRS	N;INDF;MASC;SG
party	партия	party	партия	V;PRS	N;INDF;FEM;SG
desember	декември	desember	декември		N;INDF;MASC;SG
maart	март	maart	март		N;INDF;MASC;SG
alle	всички	al	всеки	DET	PRO;NOM;PL
alle	всичко	al	всеки	DET	PRO;NOM;NEUT;SG
augustus	август	augustus	август		N;INDF;MASC;SG
augustus	аугуст	augustus	аугуст		PROPN;INDF;MASC;SG
gevolg	последва	gevolg	последвам	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
februarie	февруари	februarie	февруари		N;INDF;MASC;SG
meeste	повечето	baie	повече		ADV;DEF;PL
provinsie	държавно	provinsie	държавен	N;SG	ADV
universiteit	university	universiteit	university	N;SG	PROPN;INDF;MASC;SG
lewe	life	lewe	life	N;SG	PROPN;INDF;MASC;SG
vier	четири	vier	четири	V;PRS	NUM;INDF;PL
vier	четирима	vier	четирима	V;PRS	NUM;INDF;PL
vier	празнуване	vier	празнуване	V;PRS	N;INDF;NEUT;SG
november	ноември	november	ноември		N;INDF;MASC;SG
franse	френско	frans	френски	ADJ;NOM	ADV
franse	французи	frans	француга	ADJ;NOM	N;INDF;MASC;PL
franse	французин	frans	французин	ADJ;NOM	N;INDF;MASC;SG
dood	мъртви	dood	мъртъв	N;SG	ADJ;INDF;PL
dood	мъртва	dood	мъртва	N;SG	ADJ;INDF;FEM;SG
amptelike	официално	amptelik	официално	ADJ;NOM	ADV
koning	крал	koning	крал		N;INDF;MASC;SG
koning	кинг	koning	кинг		N;INDF;MASC;SG
koning	кралят	koning	крал		N;DEF;MASC;SG
koning	цар	koning	цар		N;INDF;MASC;SG
koning	краля	koning	крал		N;DEF;MASC;SG
der	дер	der	дер		PROPN
volgende	следващо	volg	следвам	N;SG	ADV
volgende	следващ	volg	следвам	N;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
volgende	следваща	volg	следвам	N;SG	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
geleë	разположена	geleë	разположа-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
geleë	разположен	geleë	разположа-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
geleë	разположени	geleë	разположа-(се)		V;PFV;INDF;PL;V.PTCP;PASS
geleë	разположено	geleë	разположа-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
miljoen	милион	miljoen	милион	NUM	N;INDF;MASC;SG
plaaslike	локално	plaaslik	локално	ADJ;NOM	ADV
plaaslike	местно	plaaslik	местен	ADJ;NOM	ADV
plaaslike	местен	plaaslik	местя-(се)	ADJ;NOM	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
regs	правилно	regs	правилно	ADP	ADV
internasionale	международно	internasionaal	международно	ADJ;NOM	ADV
internasionale	интернешънъл	internasionaal	интернешънъл	ADJ;NOM	N;INDF;MASC;SG
eie	собствено	eie	собствен	ADJ;NOM	ADV
eers	първи	eers	първи		ADJ;INDF;MASC;SG
eers	първо	eers	първо		ADV
pretoria	претория	pretoria	претория		PROPN;INDF;FEM;SG
groep	групово	groep	групово	N;SG	ADV
groep	групова	groep	групов	N;SG	ADJ;INDF;FEM;SG
stel	задаване	stel	задаване	V;PRS	N;INDF;NEUT;SG
stel	комплект	stel	комплект	V;PRS	N;INDF;MASC;SG
stel	набор	stel	набор	V;PRS	N;INDF;MASC;SG
sluit	затваряне	sluit	затваряне	V;PRS	N;INDF;NEUT;SG
sluit	близко	sluit	близък	V;PRS	ADV
sluit	близо	sluit	близо	V;PRS	ADV
sluit	близки	sluit	близък	V;PRS	ADJ;INDF;PL
frankryk	франция	frankryk	франция		PROPN;INDF;FEM;SG
naby	близко	naby	близък	ADP	ADV
naby	близо	naby	близо	ADP	ADV
naby	наблизо	naby	наблизо	ADP	ADV
hoofstad	капитали	hoofstad	капитал	N;SG	N;INDF;MASC;PL
einde	завърши	einde	завърша	N;SG	V;PFV;IND;SG;3;PST;FIN;ACT
einde	довърши	einde	довърша-(се)	N;SG	V;PFV;IMP;SG;2;FIN
einde	довърша	einde	довърша-(се)	N;SG	V;PFV;IND;SG;3;PST;FIN;ACT
einde	край	einde	край	N;SG	ADP
duitsland	германия	duitsland	германия	N;SG	PROPN;INDF;FEM;SG
elke	всяка	elk	всеки	PRO	DET;FEM;SG
elke	всеки	elk	всеки	PRO	PRO;NOM;MASC;SG
elke	всяко	elk	всеки	PRO	PRO;NOM;NEUT;SG
kaap	нос	kaap	нос		N;INDF;MASC;SG
kaap	кейп	kaap	кейп		N;INDF;MASC;SG
kaap	кабо	kaap	кабо		PROPN;SG
kaap	наметало	kaap	наметало		V;PFV;INDF;NEUT;SG;PST;V.PTCP;ACT
dae	дена	dag	ден	N;PL	N;DEF;MASC;SG
wanneer	когато	wanneer	когато	PRO	ADV
wanneer	кога	wanneer	кога	PRO	ADV
laaste	последно	laaste	последно	DET	ADV
laaste	последен	laaste	последен	DET	ADJ;INDF;MASC;SG
laaste	последни	laaste	последен	DET	ADJ;INDF;PL
laaste	последна	laaste	последен	DET	ADJ;INDF;FEM;SG
politieke	политически	politiek	политически	ADJ;NOM	ADV
politieke	политическо	politiek	политически	ADJ;NOM	ADV
besluit	решението	besluit	решение	V;PRS	N;DEF;NEUT;SG
besluit	решение	besluit	решение	V;PRS	N;INDF;NEUT;SG
ryk	империята	ryk	империя		N;DEF;FEM;SG
ryk	емпайър	ryk	емпайър		N;INDF;MASC;SG
ryk	империя	ryk	империя		N;INDF;FEM;SG
ryk	рич	ryk	рич		N;INDF;MASC;SG
ryk	богато	ryk	богат		ADV
ryk	богат	ryk	богат		ADJ;INDF;MASC;SG
ryk	богата	ryk	богат		ADJ;INDF;FEM;SG
ryk	богати	ryk	богат		ADJ;INDF;PL
sommige	някои	sommige	някой	DET	PRO;NOM;PL
gewoonlik	обикновенно	gewoonlik	обикновенно		ADV
gewoonlik	обикновено	gewoonlik	обикновено		ADV
gewoonlik	нормално	gewoonlik	нормално		ADV
gewoonlik	обикновено	gewoonlik	обикновено		ADV
afrikaans	африканс	afrikaans	африканс		N;INDF;MASC;SG
vis	риби	vis	риба	N;SG	N;INDF;FEM;PL
plaas	фермата	plaas	ферма	V;PRS	N;DEF;FEM;SG
plaas	ферма	plaas	ферма	V;PRS	N;INDF;FEM;SG
plaas	стопанство	plaas	стопанство	V;PRS	N;INDF;NEUT;SG
plaas	post	plaas	post	V;PRS	N
plaas	публикация	plaas	публикация	V;PRS	N;INDF;FEM;SG
plaas	публикуване	plaas	публикуване	V;PRS	N;INDF;NEUT;SG
plaas	пост	plaas	пост	V;PRS	N;INDF;MASC;SG
wikipedia	уикипедия	wikipedia	уикипедия		N;INDF;FEM;SG
wetenskaplike	учен	wetenskaplik	учен	ADJ;NOM	N;INDF;MASC;SG
wetenskaplike	научно	wetenskaplik	научно	ADJ;NOM	ADV
ontwikkel	развит	ontwikkel	развит-(се)	V;PRS	ADJ;INDF;MASC;SG
ontwikkel	развитите	ontwikkel	развия-(се)	V;PRS	ADJ;PFV;DEF;PL;V.PTCP;PASS
ontwikkel	развиване	ontwikkel	развиване	V;PRS	N;INDF;NEUT;SG
seun	синко	seun	синко	N;SG	INTJ
seun	сине	seun	син	N;SG	PART
algemene	обща	algemeen	общ	ADV	ADJ;INDF;FEM;SG
algemene	общи	algemeen	общ	ADV	ADJ;INDF;PL
algemene	генерал	algemeen	генерал	ADV	N;INDF;MASC;SG
verskillende	различно	verskil	различно	ADJ;NOM	ADV
europa	европа	europa	европа		PROPN;INDF;FEM;SG
stadion	стадион	stadion	стадион		N;INDF;MASC;SG
stadion	стадиона	stadion	стадион		N;DEF;MASC;SG
belangrike	важно	belangrik	важно	ADJ;NOM	ADV
vertaal	преведа	vertaal	преведа	V;PRS	V;PFV;IND;SG;1;PST;FIN;ACT
tans	понастоящем	tans	понастоящем	ADV	V;IPFV;IND;PL;1;PRS;FIN;ACT
tans	подарък	tans	подарък	ADV	N;INDF;MASC;SG
tans	настояще	tans	настояще	ADV	N;INDF;NEUT;SG
tans	присъстващи	tans	присъствам	ADV	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
kort	кратко	kort	кратко		ADV
kort	къса	kort	къс		ADJ;INDF;FEM;SG
kort	кратка	kort	кратък		ADJ;INDF;FEM;SG
kort	късо	kort	къс		ADV
kort	кратък	kort	кратък		ADJ;INDF;MASC;SG
self	селф	self	селф	PRO;SG;3;REFL	N;INDF;FEM;SG
verder	допълнително	ver	допълнително	ADV;CMPR	ADV
mens	човешка	mens	човешки		ADJ;INDF;FEM;SG
mens	човешко	mens	човешки		ADV
mens	човек	mens	човек		N;INDF;MASC;SG
mens	човешки	mens	човешки		ADJ;INDF;MASC;SG
binne	вътрешно	binne	вътрешен	ADP	ADV
binne	вътре	binne	вътре	ADP	ADV
swart	пукнатина	swart	пукнатина		N;INDF;FEM;SG
swart	черни	swart	черен		ADJ;INDF;PL
swart	черно	swart	черен		ADV
swart	черна	swart	чер		ADJ;INDF;FEM;SG
swart	черен	swart	черен		ADJ;INDF;MASC;SG
europese	европейско	europees	европейски	ADJ;NOM	ADV
europese	европеец	europees	европеец	ADJ;NOM	N;INDF;MASC;SG
moontlik	възможен	moontlik	възможен	ADV	ADJ;INDF;MASC;SG
moontlik	възможна	moontlik	възможен	ADV	ADJ;INDF;FEM;SG
moontlik	възможни	moontlik	възможен	ADV	ADJ;INDF;PL
selfs	дори	selfs	дори	ADV	PART
selfs	даже	selfs	даже	ADV	PART
maande	месеца	maand	месец	N;PL	N;DEF;MASC;SG
per	пер	per	пер	ADP	PROPN;INDF;MASC;SG
vroeë	рано	vroeg	рано	ADJ;NOM	ADV
vroeë	ърли	vroeg	ъръл	ADJ;NOM	N;INDF;FEM;PL
voorkom	предотвратяване	voorkom	предотвратяване	V;PRS	N;INDF;NEUT;SG
mag	май	mag	май	V;PRS	PROPN;INDF;MASC;SG
hoe	как	hoe	как	PRO	ADV
volg	коловоз	volg	коловоз	V;PRS	N;INDF;MASC;SG
volg	писта	volg	писта	V;PRS	N;INDF;FEM;SG
volg	пистата	volg	писта	V;PRS	N;DEF;FEM;SG
soms	понякога	soms	някога	PART	ADV
engeland	англия	engeland	англия		PROPN;INDF;FEM;SG
johannes	йоханес	johannes	йоханес		PROPN;INDF;MASC;SG
johannes	джон	johannes	джон		PROPN;INDF;MASC;SG
johannes	йоан	johannes	йоан		PROPN;INDF;MASC;SG
johannesburg	йоханесбург	johannesburg	йоханесбург	PROPN;SG	PROPN;INDF;MASC;SG
ontwerp	проектиране	ontwerp	проектиране	V;PRS	N;INDF;NEUT;SG
ontwerp	дизайн	ontwerp	дизайн	V;PRS	N;INDF;MASC;SG
aarde	земно	aarde	земно	N;SG	ADV
aarde	земен	aarde	земен	N;SG	ADJ;INDF;MASC;SG
paar	няколко	paar	няколко		PRO;INDF
paar	малцина	paar	малцина		NUM;ANIM;INDF;PL
rol	рол	rol	рол	N;SG	PROPN;INDF;MASC;SG
derde	трето	derde	трето	ADJ;NOM	ADV
john	джон	john	джон		PROPN;INDF;MASC;SG
john	йоан	john	йоан		PROPN;INDF;MASC;SG
moderne	модерно	modern	модерно	N;SG	ADV
moderne	модерни	modern	модерен	N;SG	ADJ;INDF;PL
moderne	модерна	modern	модерен	N;SG	ADJ;INDF;FEM;SG
moderne	съвременно	modern	съвременно	N;SG	ADV
moderne	модерен	modern	модерен	N;SG	ADJ;INDF;MASC;SG
moderne	съвременен	modern	съвременен	N;SG	ADJ;INDF;MASC;SG
ontvang	получаване	ontvang	получаване	V;PRS	N;INDF;NEUT;SG
ontvang	получаване	ontvang	получаване	V;PRS	N;INDF;NEUT;SG
ontvang	получаващи	ontvang	получавам	V;PRS	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
bly	блай	bly	блай	V;PRS	N;INDF;MASC;SG
bly	остани	bly	остана	V;PRS	V;PFV;IMP;SG;2;FIN
amerika	америка	amerika	америка	N;SG	PROPN;INDF;FEM;SG
hoewel	макар	hoewel	макар	CONJ	ADP
staat	държавно	staat	държавен	N;SG	ADV
staat	листове	staat	лист	N;SG	N;INDF;MASC;PL
weens	дължима	weens	дължим	ADP	ADJ;INDF;FEM;SG
weens	дължими	weens	дължим	ADP	ADJ;INDF;PL
ekonomiese	икономическо	ekonomies	икономически	ADJ;NOM	ADV
aanvaar	прие	aanvaar	приема	V;PRS	V;PFV;IND;SG;3;PST;FIN;ACT
aanvaar	приеми	aanvaar	приема	V;PRS	N;INDF;FEM;PL
geskryf	писмено	skryf	писмен	V;PST;V.PTCP	ADV
geskryf	писмен	skryf	писмен	V;PST;V.PTCP	ADJ;INDF;MASC;SG
geskryf	писмена	skryf	писмен	V;PST;V.PTCP	ADJ;INDF;FEM;SG
see	сенека	see	сенек		N;INDF;MASC;SG
see	море	see	море		N;INDF;NEUT;SG
see	морето	see	море		N;DEF;NEUT;SG
verander	отмяна	verander	отмяна	V;PRS	N;INDF;FEM;SG
verander	промени	verander	промяна	V;PRS	N;INDF;FEM;PL
verander	промените	verander	промяна	V;PRS	N;DEF;FEM;PL
verander	изменения	verander	изменение	V;PRS	N;INDF;NEUT;PL
verander	промени	verander	промяна	V;PRS	N;INDF;FEM;PL
verander	смяна	verander	смяна	V;PRS	N;INDF;FEM;SG
verander	промяна	verander	промяна	V;PRS	N;INDF;FEM;SG
bereik	достигне	bereik	достигна	V;PRS	V;PFV;IND;SG;3;PST;FIN;ACT
bereik	достигане	bereik	достигане	V;PRS	N;INDF;NEUT;SG
russiese	руснак	russies	руснак	ADJ;NOM	N;INDF;MASC;SG
russiese	руснаци	russies	руснак	ADJ;NOM	N;INDF;MASC;PL
russiese	руско	russies	руско	ADJ;NOM	ADV
weg	надалеч	weg	надалеч		ADV
weg	далеч	weg	далеч		ADV
inwoners	пребиваващи	inwoner	пребивавам	N;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
man	човече	man	човече	N;SG	ADV
huis	домашен	huis	домашен	N;SG	ADJ;INDF;MASC;SG
huis	вкъщи	huis	вкъщи	N;SG	ADV
besoek	впечатление	besoek	впечатление	V;PRS	N;INDF;NEUT;SG
besoek	визита	besoek	визита	V;PRS	N;INDF;FEM;SG
besoek	посещение	besoek	посещение	V;PRS	N;INDF;NEUT;SG
besoek	посетиха	besoek	посетя	V;PRS	V;PFV;IND;PL;3;PST;FIN;ACT
besoek	посетих	besoek	посетя	V;PRS	V;PFV;IND;SG;1;PST;FIN;ACT
administratiewe	административно	administratief	административен	ADJ;NOM	ADV
drieë	тройки	drieë	тройка		N;INDF;FEM;PL
rusland	русия	rusland	русия		PROPN;INDF;FEM;SG
rooi	червени	rooi	червен		ADJ;INDF;PL
rooi	ред	rooi	ред		N;INDF;MASC;SG
rooi	червена	rooi	червен		ADJ;INDF;FEM;SG
rooi	червен	rooi	червен		ADJ;INDF;MASC;SG
rooi	червени	rooi	червен		ADJ;INDF;PL
rooi	червено	rooi	червено		ADV
skryf	гори	skryf	гора	V;PRS	N;INDF;FEM;PL
skryf	изгаряне	skryf	изгаряне	V;PRS	N;INDF;NEUT;SG
suidelike	южен	suidelik	южен	ADJ;NOM	N;INDF;MASC;SG
romeinse	римски	romeins	римски	N;SG	ADJ;INDF;MASC;SG
romeinse	римска	romeins	римски	N;SG	ADJ;INDF;FEM;SG
alhoewel	макар	alhoewel	макар	CONJ	ADP
hoë	висок	hoog	висок		ADJ;INDF;MASC;SG
hoë	висока	hoog	висок		ADJ;INDF;FEM;SG
hoë	високи	hoog	висок		ADJ;INDF;PL
hoë	високо	hoog	високо		ADV
sterk	силни	sterk	силен		ADJ;INDF;PL
sterk	силен	sterk	силен		ADJ;INDF;MASC;SG
sterk	силно	sterk	силно		ADV
sterk	силна	sterk	силен		ADJ;INDF;FEM;SG
africa	африка	africa	африка		N;INDF;FEM;SG
