категория	kategorin	категория	kategori	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
други	övrig	друг	övrig	ADJ;INDF;PL	ADJ;NOM;INDF;MASC+FEM;SG
други	andra	друг	annan	ADJ;INDF;PL	PRO;INDF;PL
други	övrigt	друг	övrigt	ADJ;INDF;PL	ADJ;NOM;INDF;NEUT;SG
други	annat	друг	annan	ADJ;INDF;PL	PRO;INDF;NEUT;SG
други	andra	друг	annan	ADJ;INDF;PL	PRO;INDF;PL
още	mera	още	mycket	ADV	ADV;CMPR
още	more	още	more	ADV	
още	fler	още	mången	ADV	PRO;INDF;PL
още	mer	още	mycket	ADV	ADV;CMPR
война	kriga	война	krig	N;INDF;FEM;SG	V;IMP;FIN;ACT
война	kriget	война	krig	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
война	war	война	war	N;INDF;FEM;SG	V;IMP;FIN;ACT
област	regionen	област	region	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
област	oblast	област	oblast	N;INDF;FEM;SG	PROPN;NOM
област	distriktet	област	distrikt	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
област	valdistrikt	област	valdistrikt	N;INDF;FEM;SG	N;NOM;INDF;NEUT;PL
област	området	област	område	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
община	kommunen	община	kommun	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
място	placera	място	placera	N;INDF;NEUT;SG	V;IMP;FIN;ACT
място	platsen	място	plats	N;INDF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
вид	djurart	вид	djur	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
вид	arter	вид	art	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
една	edna	един	edna	NUM;INDF;FEM;SG	PROPN;NOM
една	one	един	one	NUM;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
всички	allt	всеки	all	PRO;NOM;PL	PRO;INDF;NEUT;SG
всички	allihopa	всеки	allihopa	PRO;NOM;PL	N;NOM;INDF;MASC+FEM;SG
семейство	familjen	семейство	familj	N;INDF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
македония	makedonien	македония	makedoni	PROPN;INDF;FEM;SG	PROPN;NOM
сащ	usa	сащ	usa	PROPN;INDF;MASC;PL	PROPN;NOM
над	over	над	over	ADP	N;NOM;INDF;MASC+FEM;SG
над	ovanstående	над	ovanstående	ADP	ADJ;NOM
над	ovan	над	ovan	ADP	ADV
над	ovanför	над	ovanför	ADP	ADV
срещу	kontra	срещу	kontra	ADP	N;NOM;INDF;MASC+FEM;SG
срещу	emot	срещу	emot	ADP	ADV
тези	dessa	този	denna	DET;PL	PRO;DEF;PL
тези	dessa	този	denna	DET;PL	PRO;DEF;PL
души	själar	души	själa	N;INDF	N;NOM;INDF;MASC+FEM;PL
мини	mini	мина	mini	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
мини	gruva	мина	gruva	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
мини	minor	мина	mina	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
мини	mimmi	мина	mimmi	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
мини	minnie	мина	minnie	N;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
република	republiken	република	republik	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
късно	sena	късно	sen	ADV	ADJ;NOM;PL
късно	försenat	късно	försena	ADV	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
късно	försenade	късно	försena	ADV	ADJ;NOM;PL;PST;V.PTCP
късно	försenad	късно	försenad	ADV	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
май	may	май	may	PROPN;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
май	maj	май	maj	PROPN;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
път	vägen	път	väg	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
отбор	laget	отбор	lag	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
няколко	få	няколко	få	PRO;INDF	ADJ;NOM;INDF;PL
няколко	fåtal	няколко	fåtal	PRO;INDF	N;NOM;INDF;NEUT;SG
роден	född	родя-(се)	född	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
роден	born	родя-(се)	born	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;NOM;INDF;MASC+FEM;SG
роден	födda	родя-(се)	född	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
беседа	konversationer	бесед	konversation	N;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;PL
беседа	konversationen	бесед	konversation	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
преди	förut	преди	förut	ADP	ADV
преди	innan	преди	innan	ADP	CONJ
името	namnge	име	namnge	N;DEF;NEUT;SG	V;IMP;FIN;ACT
името	namn	име	namn	N;DEF;NEUT;SG	N;NOM;INDF;NEUT;SG
името	name	име	name	N;DEF;NEUT;SG	N;NOM;INDF;NEUT;SG
група	gruppen	група	grupp	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
група	gruppera	група	gruppera	N;INDF;FEM;SG	V;IMP;FIN;ACT
език	tungor	език	tungo	N;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
език	tungan	език	tung	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
език	tunga	език	tung	N;INDF;MASC;SG	ADJ;NOM;PL
език	språket	език	språk	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
някои	några	някой	någon	PRO;NOM;PL	DET;INDF;PL
тях	dom	аз	de	PRO;ACC;PL;3	PRO;NOM;DEF;PL
река	floden	река	flyd	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
две	dve	два	dve	NUM;INDF;FEM;PL	N;NOM;INDF;MASC+FEM;SG
име	namnge	име	namnge	N;INDF;NEUT;SG	V;IMP;FIN;ACT
фон	von	фон	von	N;INDF;MASC;SG	PROPN;NOM
фон	bakgrunden	фон	bakgrund	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
американски	american	американски	america	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
американски	amerikan	американски	amerika	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
американски	amerikanska	американски	amerikansk	ADJ;INDF;MASC;SG	ADJ;NOM;PL
март	marschera	март	marschera	N;INDF;MASC;SG	V;IMP;FIN;ACT
чрез	via	чрез	via	ADP	N;NOM;INDF;MASC+FEM;SG
история	historiken	история	historik	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
жители	boende	жител	boende	N;INDF;MASC;PL	N;NOM;INDF;NEUT;SG
жители	bosatta	жител	bosatt	N;INDF;MASC;PL	ADJ;NOM;PL;PST;V.PTCP
различни	annorlunda	различен	annorlunda	ADJ;INDF;PL	ADV
различни	diverse	различен	diverse	ADJ;INDF;PL	N;NOM;INDF;MASC+FEM;PL
различни	övrigt	различен	övrigt	ADJ;INDF;PL	ADJ;NOM;INDF;NEUT;SG
различни	diverse	различен	diverse	ADJ;INDF;PL	N;NOM;INDF;MASC+FEM;PL
работи	arbete	работя	arbete	V;IPFV;IMP;SG;2;FIN	N;NOM;INDF;NEUT;SG
работи	work	работя	work	V;IPFV;IMP;SG;2;FIN	N;NOM;INDF;MASC+FEM;SG
работи	funkar	работя	funka	V;IPFV;IMP;SG;2;FIN	V;IND;PRS;FIN;ACT
работи	arbetar	работя	arbeta	V;IPFV;IMP;SG;2;FIN	V;IND;PRS;FIN;ACT
работи	fungerar	работя	fungera	V;IPFV;IMP;SG;2;FIN	V;IND;PRS;FIN;ACT
провинция	provinsen	провинция	provins	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
империя	imperiet	империя	imperi	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
иван	ivan	иван	ivan	PROPN;INDF;MASC;SG	PROPN;NOM
център	mitten	център	mitt	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
център	centrumet	център	centrum	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
повече	mera	повече	mycket	ADV;INDF;PL	ADV;CMPR
повече	more	повече	more	ADV;INDF;PL	
повече	fler	повече	mången	ADV;INDF;PL	PRO;INDF;PL
повече	mer	повече	mycket	ADV;INDF;PL	ADV;CMPR
три	three	три	three	NUM;INDF;PL	N;NOM;INDF;MASC+FEM;SG
страна	landet	страна	land	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
страна	sidan	страна	sida	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
страна	side	страна	side	N;INDF;FEM;SG	PROPN;NOM
градове	resmål	град	resmål	N;INDF;MASC;PL	N;NOM;INDF;NEUT;SG
градове	städerna	град	stad	N;INDF;MASC;PL	N;NOM;DEF;MASC+FEM;PL
население	populationen	население	population	N;INDF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
население	befolkningen	население	befolkning	N;INDF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
завършва	avslutas	завършвам	avsluta	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;PASS
бил	räkning	съм	räkning	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	N;NOM;INDF;MASC+FEM;SG
бил	bill	съм	bill	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT	PROPN;NOM
малко	little	малко	littal	ADV;INDF;PL	N;NOM;INDF;MASC+FEM;SG
малко	lilla	малко	liten	ADV;INDF;PL	ADJ;NOM;DEF;SG
малко	liten	малко	liten	ADV;INDF;PL	ADJ;NOM;INDF;MASC+FEM;SG
хора	människor	хора	människa	N;INDF	N;NOM;INDF;MASC+FEM;PL
хора	personer	хора	person	N;INDF	N;NOM;INDF;MASC+FEM;PL
хора	folk	хора	folk	N;INDF	N;NOM;INDF;NEUT;PL
хора	people	хора	people	N;INDF	N;NOM;INDF;MASC+FEM;SG
университет	universitetet	университет	universitet	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
германия	tyskland	германия	tyskland	PROPN;INDF;FEM;SG	PROPN;NOM
могат	kan	мога	kunna	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
могат	can	мога	can	V;IPFV;IND;PL;3;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
син	blå	син	blå	N;INDF;MASC;SG	ADJ;NOM;PL
син	blåa	син	blåa	N;INDF;MASC;SG	ADJ;NOM;PL
син	sonen	син	son	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
награда	belöna	награда	belöna	N;INDF;FEM;SG	V;IMP;FIN;ACT
георги	georgi	георга	georgi	PROPN;INDF;MASC;SG	PROPN;NOM
георги	georgy	георга	georgy	PROPN;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
голяма	large	голям	large	ADJ;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
голяма	stora	голям	stor	ADJ;INDF;FEM;SG	ADJ;NOM;PL
голяма	big	голям	big	ADJ;INDF;FEM;SG	N;NOM;INDF;NEUT;SG
голяма	stora	голям	stor	ADJ;INDF;FEM;SG	ADJ;NOM;PL
италия	italien	италия	italien	PROPN;INDF;FEM;SG	PROPN;NOM
сайт	webbplatsen	сайт	pebbplats	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
сайт	hemsidan	сайт	hemsida	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
сайт	webbplatsen	сайт	pebbplats	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
край	slutet	край	slut	ADP	N;NOM;DEF;NEUT;SG
край	end	край	end	ADP	N;NOM;INDF;MASC+FEM;SG
край	slut	край	slut	ADP	N;NOM;INDF;NEUT;SG
край	avsluta	край	avsluta	ADP	V;IMP;FIN;ACT
използва	användningsområden	използвам	användningsområde	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;NEUT;PL
използва	användningar	използвам	användning	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;PL
сезон	säsongen	сезон	säsong	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
окръг	länet	окръг	län	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
окръг	distriktet	окръг	distrikt	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
окръг	valdistrikt	окръг	valdistrikt	N;INDF;MASC;SG	N;NOM;INDF;NEUT;PL
смъртта	död	смърт	död	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
смъртта	death	смърт	death	N;DEF;FEM;SG	N;NOM;INDF;NEUT;SG
смъртта	dödsfall	смърт	dödsfall	N;DEF;FEM;SG	N;NOM;INDF;NEUT;PL
франция	frankrike	франция	frankrike	PROPN;INDF;FEM;SG	PROPN;NOM
франция	france	франция	fra	PROPN;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
национален	nationella	национален	nationell	ADJ;INDF;MASC;SG	ADJ;NOM;PL
национален	national	национален	national	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
гърция	grekland	гърция	grekland	PROPN;INDF;FEM;SG	PROPN;NOM
русия	ryssland	русия	ryssland	PROPN;INDF;FEM;SG	PROPN;NOM
английски	swedish	английски	swedish	ADJ;INDF;MASC;SG	PROPN;NOM
английски	engelska	английски	engelsk	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
едно	one	един	one	NUM;INDF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
първи	först	първи	först	ADJ;INDF;MASC;SG	ADV
член	medlemmen	член	medlem	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
член	artikeln	член	artikel	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
височина	höjd	височина	höja	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
височина	höjd	височина	höja	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
височина	höjd	височина	höja	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
височина	höjden	височина	höjd	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
дъщеря	dottern	дъщеря	dotter	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
система	systemet	система	system	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
нея	her	аз	her	PRO;ACC;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
училище	skolan	училище	skola	N;INDF;NEUT;SG	N;NOM;DEF;MASC+FEM;SG
били	billy	съм	billy	V;IPFV;INDF;IND;PL;V.PTCP;ACT	PROPN;NOM
били	billie	съм	billie	V;IPFV;INDF;IND;PL;V.PTCP;ACT	PROPN;NOM
света	sveta	свят	sveta	N;DEF;MASC;SG	PROPN;NOM
света	värld	свят	värld	N;DEF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
села	byarna	село	byare	N;INDF;NEUT;PL	N;NOM;DEF;MASC+FEM;PL
филми	filmar	филм	filma	N;INDF;MASC;PL	V;IND;PRS;FIN;ACT
александър	aleksandar	александър	aleksanda	PROPN;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
александър	aleksandr	александър	aleksandr	PROPN;INDF;MASC;SG	PROPN;NOM
александър	alexander	александър	alexander	PROPN;INDF;MASC;SG	N;NOM;INDF;NEUT;PL
умира	dör	умирам	dör	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;FIN;ACT
умира	döende	умирам	döende	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;NOM;PRS;V.PTCP
умира	dör	умирам	dör	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;FIN;ACT
южна	södra	южен	södra	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;SG
южна	syd	южен	syd	ADJ;INDF;FEM;SG	PROPN;NOM
южна	söderut	южен	söderut	ADJ;INDF;FEM;SG	ADV
южна	söder	южен	söder	ADJ;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
южна	södra	южен	södra	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;SG
европа	eu	европа	eu	PROPN;INDF;FEM;SG	PROPN;NOM
европа	europe	европа	europe	PROPN;INDF;FEM;SG	N;NOM
европа	europa	европа	europa	PROPN;INDF;FEM;SG	PROPN;NOM
европа	europa	европа	europa	PROPN;INDF;FEM;SG	PROPN;NOM
димитър	dimitar	димитър	dimit	PROPN;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
всеки	någon	всеки	någon	PRO;NOM;MASC;SG	PRO;INDF;MASC+FEM;SG
всеки	allihopa	всеки	allihopa	PRO;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
всеки	alla	всеки	all	PRO;NOM;MASC;SG	PRO;INDF;PL
всеки	varenda	всеки	varenda	PRO;NOM;MASC;SG	DET;INDF;SG
всеки	varje	всеки	varje	PRO;NOM;MASC;SG	DET;INDF;SG
всеки	varje	всеки	varje	PRO;NOM;MASC;SG	DET;INDF;SG
всеки	vardera	всеки	vardera	PRO;NOM;MASC;SG	PRO;DEF;SG
баща	fadern	баща	far	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
нова	nyhet	нов	nyhet	ADJ;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
нова	nya	нов	ny	ADJ;INDF;FEM;SG	ADJ;NOM;PL
нова	nova	нов	nova	ADJ;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
крал	kungen	крал	kung	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
армия	armén	армия	arm	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
църква	kyrkan	църква	kyrka	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
докато	tills	докато	tills	CONJ	ADV
официален	tjänsteman	официален	tjänsteman	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
официален	officiella	официален	officiell	ADJ;INDF;MASC;SG	ADJ;NOM;PL
официален	formella	официален	formell	ADJ;INDF;MASC;SG	ADJ;NOM;PL
северна	norr	северен	norr	ADJ;INDF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
северна	norra	северен	norra	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;SG
северна	norrut	северен	norrut	ADJ;INDF;FEM;SG	ADV
северна	nord	северен	nord	ADJ;INDF;FEM;SG	PROPN;NOM
северна	norra	северен	norra	ADJ;INDF;FEM;SG	ADJ;NOM;DEF;SG
северна	nordliga	северен	nordlig	ADJ;INDF;FEM;SG	ADJ;NOM;PL
времето	väder	време	väder	N;DEF;NEUT;SG	N;NOM;INDF;NEUT;SG
времето	tid	време	tid	N;DEF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
времето	tidpunkt	време	tidpunkt	N;DEF;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
времето	klockslag	време	klockslag	N;DEF;NEUT;SG	N;NOM;INDF;NEUT;SG
българска	bulgariska	български	bulgarisk	ADJ;INDF;FEM;SG	ADJ;NOM;PL
период	perioden	период	period	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
резултат	resultatet	резултат	resultat	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
страница	sidan	страница	sida	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
страница	page	страница	page	N;INDF;FEM;SG	V;IMP;FIN;ACT
картинка	bilden	картинка	bild	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
картинка	bilden	картинка	bild	N;INDF;FEM;SG	N;NOM;DEF;MASC+FEM;SG
граф	graff	граф	graff	N;INDF;MASC;SG	PROPN;NOM
родени	född	родя-(се)	född	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
родени	born	родя-(се)	born	V;PFV;INDF;PL;V.PTCP;PASS	N;NOM;INDF;MASC+FEM;SG
родени	födda	родя-(се)	född	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;NOM;PL;PST;V.PTCP
играе	pjäs	играя	pjäs	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
играе	play	играя	play	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
играе	spela	играя	spela	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;FIN;ACT
играе	pjäser	играя	pjäsa	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;PL
играе	spela	играя	spela	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;FIN;ACT
играе	leka	играя	leka	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IMP;FIN;ACT
живот	livet	живот	liv	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
император	kejsaren	император	kejsare	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
църквата	kyrka	църква	kyrka	N;DEF;FEM;SG	N;NOM;INDF;MASC+FEM;SG
ден	dagen	ден	dag	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
руски	ryss	руски	ryss	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
руски	ryska	руски	rysk	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
известен	kända	известен	känd	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
известен	kända	известен	känd	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
известен	berömda	известен	berömma	ADJ;INDF;MASC;SG	ADJ;NOM;PL;PST;V.PTCP
добре	duktiga	добре	duktig	ADV	ADJ;NOM;PL
добре	god	добре	god	ADV	ADJ;NOM;INDF;MASC+FEM;SG
добре	duktig	добре	duktig	ADV	ADJ;NOM;INDF;MASC+FEM;SG
мария	maria	мария	maria	N;INDF;FEM;SG	PROPN;NOM
дори	jämn	дори	jämn	PART	ADJ;NOM;INDF;MASC+FEM;SG
дори	även	дори	även	PART	ADV
води	leads	водя	lead	V;IPFV;IMP;SG;2;FIN	N;NOM;INDF;NEUT;SG
води	leder	водя	leda	V;IPFV;IMP;SG;2;FIN	V;IND;PRS;FIN;ACT
води	farvatten	водя	farvatten	V;IPFV;IMP;SG;2;FIN	N;NOM;INDF;NEUT;PL
води	vatten	водя	vatten	V;IPFV;IMP;SG;2;FIN	N;NOM;INDF;NEUT;SG
води	waters	водя	pat	V;IPFV;IMP;SG;2;FIN	PROPN;NOM
води	vattnen	водя	vatten	V;IPFV;IMP;SG;2;FIN	N;NOM;DEF;NEUT;PL
води	bly	водя	bly	V;IPFV;IMP;SG;2;FIN	N;NOM;INDF;NEUT;SG
води	lead	водя	lead	V;IPFV;IMP;SG;2;FIN	N;NOM;INDF;MASC+FEM;SG
голям	large	голям	large	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
голям	stora	голям	stor	ADJ;INDF;MASC;SG	ADJ;NOM;PL
голям	big	голям	big	ADJ;INDF;MASC;SG	N;NOM;INDF;NEUT;SG
голям	stora	голям	stor	ADJ;INDF;MASC;SG	ADJ;NOM;PL
род	släktet	род	släkte	N;INDF;MASC;SG	N;NOM;DEF;NEUT;SG
филм	filma	филм	filma	N;INDF;MASC;SG	V;IMP;FIN;ACT
шаблон	mallen	шаблон	mall	N;INDF;MASC;SG	N;NOM;DEF;MASC+FEM;SG
печели	vinster	печеля	vinst	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;PL
печели	segrar	печеля	segra	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;INDF;MASC+FEM;PL
страни	parterna	страна	part	N;INDF;FEM;PL	N;NOM;DEF;MASC+FEM;PL
страни	länderna	страна	land	N;INDF;FEM;PL	N;NOM;DEF;NEUT;PL
площ	området	площ	område	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
френски	franska	френски	fransk	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;SG
френски	fransmän	френски	fransman	ADJ;INDF;MASC;SG	N;NOM;INDF;MASC+FEM;PL
генерал	allmän	генерал	allmän	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC+FEM;SG
генерал	allmänna	генерал	allmän	N;INDF;MASC;SG	ADJ;NOM;PL
генерал	allmänt	генерал	allmän	N;INDF;MASC;SG	ADV
защото	eftersom	защото	eftersom	ADV	CONJ
държава	landet	държава	land	N;INDF;FEM;SG	N;NOM;DEF;NEUT;SG
