loại	digita	loại	digitare	N	V;IMP;SG;2;PRS;FIN
trung	medio	trung	medio	N	ADJ;MASC;SG
trung	medio	trung	medio	N	ADJ;MASC;SG
trên	sopra	trên	sopra		ADV
thị	grafico	thị	grafico	N	ADJ;MASC;SG
thị	thị	thị	thị	N	ADJ;SG
như	come	như	come	CONJ	ADV
như	like	như	like	CONJ	
gia	gia	gia	gia	N	
bản	neerlandese	bản	neerlandese	N	ADJ;SG
bản	olandese	bản	olandese	N	ADJ;SG
bản	version	bản	version	N	
đại	grosso	đại	grosso	N	ADJ;MASC;SG
đại	grandi	đại	grande	N	ADJ;PL
đại	grande	đại	grande	N	ADJ;SG
đại	đại	đại	đại	N	ADJ;SG
hiện	mostra	hiện	mostrare	N	V;IND;SG;3;PRS;FIN
thế	che	thế	che	PROPN	DET
bar	bar	bar	bar		N;MASC
lại	again	lại	again		
lại	ancora	lại	ancora		ADV
cũng	inoltre	cũng	inoltre		ADV
cũng	anche	cũng	anche		ADV
the	il	the	il		DET;DEF;MASC;SG
the	la	the	il		DET;DEF;FEM;SG
nhất	migliore	nhất	migliore		ADJ;CMPR;SG
nhất	migliori	nhất	migliore		ADJ;CMPR;PL
nhất	meglio	nhất	meglio		ADV
nhất	best	nhất	best		N
nhân	moltiplica	nhân	moltiplica		V;IND;SG;3;PRS;FIN
nhân	moltiplicarsi	nhân	moltiplicare		V;IND;SG;1;PRS;FIN
nhân	moltiplicare	nhân	moltiplicare		V;NFIN
nhân	moltiplicate	nhân	moltiplicato		V;FEM;PL;PST;V.PTCP
nhân	core	nhân	cora		N;MASC
nhân	nucleo	nhân	nucleo		N;MASC;SG
nhân	pazienti	nhân	paziente		N;PL
nhân	paziente	nhân	paziente		N;SG
phát	broadcast	phát	broadcast	V	N
phát	trasmissione	phát	trasmissione	V	N;FEM;SG
phát	scatto	phát	scatto	V	N;MASC;SG
phát	shot	phát	shot	V	N
phát	tiro	phát	tiro	V	N;MASC;SG
phát	colpi	phát	colpo	V	N;MASC;PL
phát	scatti	phát	scatto	V	N;MASC;PL
phát	shot	phát	shot	V	N
anh	te	anh	te	N	PRO;SG;2
anh	tu	anh	tu	N	PRO;SG;2
anh	voi	anh	voi	N	PRO;PL;2
pháp	francese	pháp	francese	N	ADJ;SG
danh	importa	danh	importare	N	V;IND;SG;3;PRS;FIN
danh	importare	danh	importare	N	V;NFIN
chúng	loro	chúng	loro	PROPN	PRO;PL;3
chúng	loro	chúng	loro	PROPN	PRO;PL;3
tập	episodio	tập	episodio		N;MASC;SG
tập	episode	tập	episode		N
tập	episodi	tập	episodio		N;MASC;PL
nhiều	molte	nhiều	molto	ADJ	DET;FEM;PL
nhiều	tanti	nhiều	tanto	ADJ	PRO;MASC;PL
nhiều	molti	nhiều	molto	ADJ	PRO;MASC;PL
nhiều	molto	nhiều	molto	ADJ	ADV
nhiều	much	nhiều	much	ADJ	
nhiều	multiplo	nhiều	multiplo	ADJ	N;MASC;SG
chi	chi	chi	chi	N	PRO
chỉ	solo	chỉ	solo		ADV
chỉ	only	chỉ	only		
chỉ	soltanto	chỉ	soltanto		ADV
chỉ	solo	chỉ	solo		ADV
chỉ	just	chỉ	just		
đây	qui	đây	qui	PROPN	ADV
đây	here	đây	vero	PROPN	
sinh	born	sinh	borno	V	N;MASC;SG
sinh	nascita	sinh	nascita	V	N;FEM;SG
sinh	parto	sinh	parto	V	N;MASC;SG
quan	guan	quan	guan	V	N;MASC
quan	quan	quan	quan	V	N;SG
quan	agente	quan	agente	V	N;SG
quan	ufficiale	quan	ufficiale	V	ADJ;SG
tin	credete	tin	credere		V;IND;PL;2;PRS;FIN
tin	credere	tin	credere		V;NFIN
tin	stagno	tin	stagno		N;MASC;SG
tin	latta	tin	latta		N;FEM;SG
tin	tin	tin	tino		N
tin	storie	tin	storia		N;FEM;PL
tin	novità	tin	novità		N;FEM
tin	news	tin	news		N
tin	attualità	tin	attualità		N;FEM
tin	notizie	tin	notizia		N;FEM;PL
tin	trust	tin	trust		N
tin	fiducia	tin	fiducia		N;FEM;SG
hai	two	hai	two	NUM	
phải	destro	phải	destro	V	N;MASC;SG
phải	right	phải	right	V	
phải	giusto	phải	giusto	V	ADJ;MASC;SG
phải	destra	phải	destra	V	N;FEM;SG
phải	devono	phải	dovere	V	V;IND;PL;3;PRS;FIN
phải	mosto	phải	mosto	V	N;MASC;SG
phải	deve	phải	dovere	V	V;IND;SG;3;PRS;FIN
phải	must	phải	must	V	N
bắc	settentrionale	bắc	settentrionale	N	ADJ;SG
sách	prenota	sách	prenota	N	V;IMP;SG;2;PRS;FIN
tiểu	elementari	tiểu	elementare		N;MASC;PL
tiểu	elementare	tiểu	elementare		ADJ;SG
tiểu	piccolo	tiểu	piccolo		ADJ;MASC;SG
tiểu	piccola	tiểu	piccolo		ADJ;FEM;SG
tiểu	little	tiểu	littla		N
khác	diversa	khác	diverso	ADJ	DET;FEM;SG
khác	diversi	khác	diverso	ADJ	DET;MASC;PL
khác	altro	khác	altro	ADJ	PRO;MASC;SG
khác	altre	khác	altro	ADJ	DET;FEM;PL
khác	altri	khác	altro	ADJ	PRO;MASC;PL
khác	another	khác	another	ADJ	
khác	altre	khác	altro	ADJ	DET;FEM;PL
khác	altri	khác	altro	ADJ	PRO;MASC;PL
cao	high	cao	high	ADJ	N
cao	gao	cao	gao	ADJ	N;MASC
tây	occidentale	tây	occidentale	N	ADJ;SG
tây	occidentale	tây	occidentale	N	ADJ;SG
giải	boxe	giải	boxe	V	N;MASC;SG
giải	pugilato	giải	pugilare	V	N;MASC;SG
giải	risoluzione	giải	risoluzione	V	N;FEM;SG
bang	autorità	bang	autorità		N;FEM
bang	stato	bang	essere		V;MASC;SG;PST;V.PTCP
bang	bang	bang	bang		N
đông	east	đông	east	ADJ	N;MASC
đông	est	đông	est	ADJ	N;MASC;SG
xuất	esporta	xuất	esportare	N	V;IND;SG;3;PRS;FIN
xuất	esportare	xuất	esportare	N	V;NFIN
hơn	than	hơn	than		
cánh	alato	cánh	alato	N	ADJ;MASC;SG
lập	independent	lập	independent	V	N;MASC
lập	indipendente	lập	indipendente	V	ADJ;SG
lập	indipendenti	lập	indipendente	V	ADJ;PL
bình	bình	bình	bình	N	ADJ;SG
cách	modi	cách	modo	V	N;MASC;PL
dưới	sotto	dưới	sotto	N	ADP
dưới	sotto	dưới	sotto	N	ADP
giới	neotropicale	giới	neotropicale	N	ADJ;SG
châu	america	châu	americo	N	ADJ;FEM;SG
đoàn	nono	đoàn	nono	N	ADJ;MASC;SG
đoàn	nona	đoàn	nono	N	ADJ;FEM;SG
điều	che	điều	che	N	DET
thông	pino	thông	pino		N;MASC;SG
thông	pine	thông	pina		N
bay	fly	bay	fly		N
bay	vola	bay	volare		V;IND;SG;3;PRS;FIN
bay	volare	bay	volare		V;NFIN
bay	flying	bay	flying		N
bay	volare	bay	volare		V;NFIN
bay	volo	bay	volo		N;MASC;SG
bay	baia	bay	baia		N;FEM;SG
bay	bay	bay	bay		N;MASC;SG
bài	corto	bài	corto	N	ADJ;MASC;SG
bài	breve	bài	breve	N	ADJ;SG
tích	statica	tích	statico	N	ADJ;FEM;SG
tích	statico	tích	statico	N	ADJ;MASC;SG
tích	statiche	tích	statico	N	ADJ;FEM;PL
giáo	lancia	giáo	lanciare	N	V;IND;SG;3;PRS;FIN
lớn	large	lớn	large	ADJ	N;MASC;SG
lớn	big	lớn	big	ADJ	N
phim	pellicole	phim	pellicolo		N;FEM;PL
phim	film	phim	film		N;MASC
phim	film	phim	film		N;MASC
phim	pellicola	phim	pellicolo		N;FEM;SG
phim	pellicole	phim	pellicolo		N;FEM;PL
phim	film	phim	film		N;MASC
phim	filmati	phim	filmato		N;MASC;PL
phim	film	phim	film		N;MASC
phim	cinema	phim	cinema		N;MASC
trước	primi	trước	primo		ADJ;MASC;PL
trước	primo	trước	primo		ADJ;MASC;SG
trước	prima	trước	prima		ADV
trước	precedente	trước	precedente		ADJ;SG
trước	precedenti	trước	precedente		ADJ;PL
trước	prima	trước	prima		ADV
trước	before	trước	before		
đức	tedesco	đức	tedesco	N	ADJ;MASC;SG
bằng	uguale	bằng	uguale	ADP	ADJ;SG
bằng	uguali	bằng	uguale	ADP	ADJ;PL
bằng	eguali	bằng	eguale	ADP	ADJ;PL
nhỏ	little	nhỏ	littla	ADJ	N
nhỏ	junior	nhỏ	junior	ADJ	N
nhỏ	juniores	nhỏ	juniores	ADJ	N;MASC
hợp	fit	hợp	fit	ADJ	N
hợp	union	hợp	union	ADJ	N;MASC;SG
hợp	unione	hợp	unione	ADJ	N;FEM;SG
hợp	sindacato	hợp	sindacato	ADJ	N;MASC;SG
hợp	fit	hợp	fit	ADJ	N
thêm	altro	thêm	altro	V	PRO;MASC;SG
thêm	more	thêm	more	V	N;SG
thêm	più	thêm	più	V	ADV
xem	spettacolo	xem	spettacolo	V	N;MASC;SG
xem	show	xem	show	V	N
xem	orologio	xem	orologio	V	N;MASC;SG
xem	visualizzazione	xem	visualizzazione	V	N;FEM;SG
xem	vista	xem	vista	V	N;FEM;SG
diễn	recitazione	diễn	recitazione	V	N;FEM;SG
diễn	attore	diễn	attore	V	N;MASC;SG
diễn	attori	diễn	attore	V	N;MASC;PL
máy	ospita	máy	ospitare	N	V;IND;SG;3;PRS;FIN
chức	tenuta	chức	tenere	N	V;FEM;SG;PST;V.PTCP
chức	detenuto	chức	detenere	N	V;MASC;SG;PST;V.PTCP
dương	positive	dương	positivo	N	ADJ;FEM;PL
dương	positivo	dương	positivo	N	ADJ;MASC;SG
dương	positivi	dương	positivo	N	ADJ;MASC;PL
dương	positiva	dương	positivo	N	ADJ;FEM;SG
hay	hay	hay	hay	CONJ	N
hay	fieno	hay	fieno	CONJ	N;MASC;SG
hay	buona	hay	buono	CONJ	ADJ;FEM;SG
hay	brava	hay	bravo	CONJ	ADJ;FEM;SG
hay	bravo	hay	bravo	CONJ	ADJ;MASC;SG
hay	buono	hay	buono	CONJ	ADJ;MASC;SG
hay	bravi	hay	bravo	CONJ	ADJ;MASC;PL
hay	bene	hay	bene	CONJ	ADV
sống	living	sống	living	V	N
sống	vivente	sống	vivente	V	ADJ;SG
sống	vivi	sống	vivo	V	ADJ;MASC;PL
sống	live	sống	live	V	N;MASC
sống	vivi	sống	vivo	V	ADJ;MASC;PL
sống	viva	sống	vivo	V	ADJ;FEM;SG
sống	vivo	sống	vivo	V	ADJ;MASC;SG
sống	alive	sống	alivo	V	N
thường	regolare	thường	regolare		ADJ;SG
thường	regolari	thường	regolare		ADJ;PL
thường	normale	thường	normale		ADJ;SG
thường	normali	thường	normale		ADJ;PL
thường	normalità	thường	normalità		N;FEM
tính	puf	tính	puf	V	
ban	circa	ban	circa		ADV
ban	band	ban	band		N;FEM
ban	banda	ban	banda		N;FEM;SG
ban	proibizione	ban	proibizione		N;FEM;SG
ban	ban	ban	ban		N
ban	vietare	ban	vietare		V;NFIN
ban	divieto	ban	divieto		N;MASC;SG
cộng	plus	cộng	plus		N
nhận	rivendicazione	nhận	rivendicazione	V	N;FEM;SG
nhận	ricezione	nhận	ricezione	V	N;FEM;SG
qua	passato	qua	passato	V	N;MASC;SG
qua	over	qua	over	V	N
qua	oltre	qua	oltre	V	ADV
qua	via	qua	via	V	ADV
qua	attraverso	qua	attraverso	V	ADP
qua	through	qua	through	V	
qua	passo	qua	passo	V	N;MASC;SG
qua	pass	qua	pass	V	N;MASC
hòa	hò	hòa	avere	N	V;IND;SG;1;PRS;FIN
tổng	totale	tổng	totale	N	ADJ;SG
minh	intelligenti	minh	intelligente	N	ADJ;PL
minh	intelligente	minh	intelligente	N	ADJ;SG
minh	furbo	minh	furbo	N	ADJ;MASC;SG
tác	originale	tác	originale	N	ADJ;SG
gồm	incluse	gồm	incluso	V	ADJ;FEM;PL
gồm	consistenti	gồm	consistente	V	ADJ;PL
kinh	sutra	kinh	sutro	V	N;MASC
kinh	pechino	kinh	pechino	V	N;MASC;SG
kinh	pechino	kinh	pechino	V	N;MASC;SG
kinh	kinh	kinh	kinh	V	ADJ;SG
cứng	hard	cứng	hard	ADJ	N
cứng	dura	cứng	durare	ADJ	V;IND;SG;3;PRS;FIN
tiếp	prossimo	tiếp	prossimo	V	ADJ;MASC;SG
tiếp	prossimi	tiếp	prossimo	V	ADJ;MASC;PL
tiếp	prossima	tiếp	prossimo	V	ADJ;FEM;SG
rằng	che	rằng	che	CONJ	DET
đánh	beat	đánh	beat	V	N;MASC
đánh	hit	đánh	hit	V	N;FEM
nhạc	musiche	nhạc	musica	V	N;FEM;PL
nhạc	musica	nhạc	musica	V	N;FEM;SG
nhạc	musicale	nhạc	musicale	V	ADJ;SG
nhạc	musical	nhạc	musical	V	N;MASC
nhạc	musicali	nhạc	musicale	V	N;MASC;PL
hóa	chemical	hóa	chemical		N;FEM;SG
hóa	chimico	hóa	chimico		ADJ;MASC;SG
hóa	chimiche	hóa	chimico		ADJ;FEM;PL
hóa	chimica	hóa	chimica		N;FEM;SG
hóa	chimica	hóa	chimica		N;FEM;SG
tranh	dipingere	tranh	dipingere	N	V;NFIN
gọi	call	gọi	call	V	N
gọi	chiamate	gọi	chiamata	V	N;FEM;PL
trang	laterale	trang	laterale	N	ADJ;SG
tạo	creazione	tạo	creazione	V	N;FEM;SG
tạo	creazione	tạo	creazione	V	N;FEM;SG
tạo	squadra	tạo	squadra	V	N;FEM;SG
tạo	team	tạo	team	V	N;MASC
đặc	solidi	đặc	solido	N	ADJ;MASC;PL
đặc	solida	đặc	solido	N	ADJ;FEM;SG
đặc	solido	đặc	solido	N	ADJ;MASC;SG
nên	dovrebbe	nên	dovere	CONJ	V;COND;SG;3;PRS;FIN
nên	dovrebbero	nên	dovere	CONJ	V;COND;PL;3;PRS;FIN
mới	novità	mới	novità		N;FEM
mới	nuovi	mới	nuovo		ADJ;MASC;PL
mới	nuovo	mới	nuovo		ADJ;MASC;SG
mới	nuove	mới	nuovo		ADJ;FEM;PL
mới	nuova	mới	nuovo		ADJ;FEM;SG
đạo	morale	đạo	morale	N	ADJ;SG
đạo	morali	đạo	morale	N	ADJ;PL
bắt	catch	bắt	catch	V	N
bắt	cattura	bắt	cattura	V	N;FEM;SG
bắt	catture	bắt	cattura	V	N;FEM;PL
bắt	cattura	bắt	cattura	V	N;FEM;SG
bắt	cogli	bắt	cogliere	V	ADJ;SG
rất	molto	rất	molto		ADV
thức	ricetta	thức	ricetta	V	N;FEM;SG
thức	wake	thức	wake	V	N
tới	arrivo	tới	arrivo	V	N;MASC;SG
tới	coming	tới	coming	V	N
luận	commenta	luận	commentare	N	V;IND;SG;3;PRS;FIN
luận	commentate	luận	commentare	N	V;IND;PL;2;PST;FIN
luận	logico	luận	logico	N	ADJ;MASC;SG
hải	hai	hải	avere	N	V;IND;SG;2;PRS;FIN
hải	hải	hải	andare	N	ADJ;SG
khoảng	circa	khoảng	circa	ADJ	ADV
khoảng	spazi	khoảng	spazio	ADJ	N;MASC;PL
khoảng	intorno	khoảng	intorno	ADJ	ADV
khoảng	attorno	khoảng	attorno	ADJ	ADV
khoảng	around	khoảng	around	ADJ	N
vương	ricco	vương	ricco	N	ADJ;MASC;SG
vương	ricchi	vương	ricco	N	ADJ;MASC;PL
vương	ricca	vương	ricco	N	ADJ;FEM;SG
toàn	intero	toàn	intero	N	ADJ;MASC;SG
toàn	interi	toàn	intero	N	ADJ;MASC;PL
toàn	intera	toàn	intero	N	ADJ;FEM;SG
nhật	giapponesi	nhật	giapponese		N;PL
nhật	giapponese	nhật	giapponese		ADJ;SG
viết	stampanti	viết	stampante	V	N;FEM;PL
viết	stampante	viết	stampante	V	N;FEM;SG
viết	scrittura	viết	scrittura	V	N;FEM;SG
bảo	bảo	bảo	bảo	V	ADJ;SG
bảo	said	bảo	said	V	
bảo	bao	bảo	bao	V	N;MASC;SG
đơn	singolo	đơn	singolo	N	ADJ;MASC;SG
đơn	singola	đơn	singolo	N	ADJ;FEM;SG
điện	elettrico	điện	elettrico	N	ADJ;MASC;SG
điện	elettrica	điện	elettrico	N	ADJ;FEM;SG
điện	elettrico	điện	elettrico	N	ADJ;MASC;SG
điện	elettrica	điện	elettrico	N	ADJ;FEM;SG
bao	bao	bao	bao		N;MASC;SG
bao	mai	bao	mai		ADV
bao	never	bao	never		
bao	sacca	bao	saccare		N;FEM;SG
bao	sacco	bao	sacco		N;MASC;SG
bao	how	bao	how		N
bao	come	bao	come		ADV
truyền	trasferimento	truyền	trasferimento	V	N;MASC;SG
truyền	transfer	truyền	transfer	V	N;MASC
truyền	infusione	truyền	infusione	V	N;FEM;SG
truyền	trasferimenti	truyền	trasferimento	V	N;MASC;PL
truyền	storni	truyền	storno	V	N;MASC;PL
nghiệp	carriera	nghiệp	carriera	ADJ	N;FEM;SG
nội	interni	nội	interno	N	ADJ;MASC;PL
nội	interno	nội	interno	N	ADJ;MASC;SG
nội	interno	nội	interno	N	ADJ;MASC;SG
nội	interiore	nội	interiore	N	ADJ;SG
thuật	magica	thuật	magico	N	ADJ;FEM;SG
thuật	magico	thuật	magico	N	ADJ;MASC;SG
thuật	magici	thuật	magico	N	ADJ;MASC;PL
thiết	necessari	thiết	necessario	V	ADJ;MASC;PL
thiết	necessario	thiết	necessario	V	ADJ;MASC;SG
thiết	necessaria	thiết	necessario	V	ADJ;FEM;SG
gian	gian	gian	gian	N	PROPN
tướng	generale	tướng	generale	N	ADJ;SG
utc	gmt	utc	gmt	N	ADJ;MASC;PL
tâm	centra	tâm	centra		V;IND;SG;3;PRS;FIN
tâm	centro	tâm	centro		N;MASC;SG
thanh	vocale	thanh	vocale		N;SG
thanh	vocali	thanh	vocale		N;FEM;PL
thanh	vocal	thanh	vocal		N
thanh	thanh	thanh	thanh		N
dùng	uso	dùng	uso	V	N;MASC;SG
dùng	utilizzo	dùng	utilizzo	V	N;MASC;SG
dùng	usi	dùng	uso	V	N;MASC;PL
dùng	utenti	dùng	utente	V	N;PL
dùng	utente	dùng	utente	V	N;SG
dùng	utilizzatore	dùng	utilizzatore	V	N;MASC;SG
nói	said	nói	said	V	
nói	talk	nói	talk	V	N;MASC
nói	chiacchiere	nói	chiacchiere	V	N;FEM;PL
longew	longew	longew	longew		ADJ;SG
hoạt	animati	hoạt	animato	V	N;MASC;PL
hoạt	animazioni	hoạt	animazione	V	N;FEM;PL
đang	sono	đang	essere		V;IND;PL;3;PRS;FIN
giữa	centrata	giữa	centrare	ADP	V;FEM;SG;PST;V.PTCP
giữa	centrato	giữa	centrare	ADP	V;MASC;SG;PST;V.PTCP
giữa	middle	giữa	middle	ADP	N
giữa	medio	giữa	medio	ADP	ADJ;MASC;SG
giữa	centrata	giữa	centrare	ADP	V;FEM;SG;PST;V.PTCP
giữa	centrato	giữa	centrare	ADP	V;MASC;SG;PST;V.PTCP
đổi	cambiamento	đổi	cambiamento	V	N;MASC;SG
đổi	variazione	đổi	variazione	V	N;FEM;SG
chuyển	trasferimento	chuyển	trasferimento	V	N;MASC;SG
chuyển	transfer	chuyển	transfer	V	N;MASC
chuyển	switch	chuyển	switch	V	N;MASC
chuyển	commutatore	chuyển	commutatore	V	N;MASC;SG
chuyển	interruttore	chuyển	interruttore	V	N;MASC;SG
chuyển	muoversi	chuyển	muoverso	V	
nay	today	nay	today	PROPN	N;MASC
nay	oggi	nay	oggi	PROPN	ADV
trọng	trọng	trọng	trọng		ADJ;SG
trọng	importante	trọng	importante		ADJ;SG
trọng	importanti	trọng	importante		ADJ;PL
dịch	traducendo	dịch	tradurre		V;V.MSDR
dịch	tradurre	dịch	tradurre		V;NFIN
dịch	traduzioni	dịch	traduzione		N;FEM;PL
dịch	traduttore	dịch	traduttore		N;MASC;SG
dịch	traduzioni	dịch	traduzione		N;FEM;PL
dịch	traduzione	dịch	traduzione		N;FEM;SG
dịch	traduci	dịch	tradurre		V;IMP;SG;2;PRS;FIN
dịch	tradurre	dịch	tradurre		V;NFIN
tài	talentuosa	tài	talentuoso	N	ADJ;FEM;SG
tài	talentuoso	tài	talentuoso	N	ADJ;MASC;SG
chế	fatto	chế	fare	N	V;MASC;SG;PST;V.PTCP
chế	fatta	chế	fare	N	V;FEM;SG;PST;V.PTCP
biết	know	biết	know	V	N
nằm	bugie	nằm	bugia	V	N;FEM;PL
nằm	menzogne	nằm	menzogna	V	N;FEM;PL
nằm	laici	nằm	laico	V	N;MASC;PL
nằm	lay	nằm	lay	V	N
chất	specificato	chất	specificare	N	V;MASC;SG;PST;V.PTCP
chất	specificate	chất	specificare	N	V;PL;PST;FIN
chất	specificata	chất	specificare	N	V;FEM;SG;PST;V.PTCP
chất	precisato	chất	precisare	N	V;MASC;SG;PST;V.PTCP
chất	specificati	chất	specificare	N	V;MASC;PL;PST;V.PTCP
sáng	luminoso	sáng	luminoso	N	ADJ;MASC;SG
sáng	luminosi	sáng	luminoso	N	ADJ;MASC;PL
sáng	luminosa	sáng	luminoso	N	ADJ;FEM;SG
sáng	buongiorno	sáng	buongiorno	N	V;IND;SG;1;PRS;FIN
thân	body	thân	body		N
thân	corpo	thân	corpo		N;MASC;SG
thân	carrozzeria	thân	carrozzeria		N;FEM;SG
cuối	ultima	cuối	ultimo	N	ADJ;FEM;SG
cuối	ultimo	cuối	ultimo	N	ADJ;MASC;SG
cuối	ultimi	cuối	ultimo	N	ADJ;MASC;PL
cuối	ultime	cuối	ultimo	N	ADJ;FEM;PL
tăng	aumento	tăng	aumento	V	N;MASC;SG
tăng	serbatoio	tăng	serbatoio	V	N;MASC;SG
tăng	cisterna	tăng	cisterna	V	N;FEM;SG
tăng	cisterne	tăng	cisterna	V	N;FEM;PL
tăng	serbatoi	tăng	serbatoio	V	N;MASC;PL
tăng	zeng	tăng	zeng	V	N;MASC;SG
trưởng	capitano	trưởng	capitano		N;MASC;SG
trưởng	capitan	trưởng	capitano		N;SG
lưu	liu	lưu	liu	V	N;SG
lưu	salva	lưu	salvo	V	ADJ;FEM;SG
lưu	save	lưu	savere	V	N
nổi	famosi	nổi	famoso		ADJ;MASC;PL
nổi	famosa	nổi	famoso		ADJ;FEM;SG
nổi	celebre	nổi	celebre		ADJ;SG
nổi	famose	nổi	famoso		ADJ;FEM;PL
nổi	famoso	nổi	famoso		ADJ;MASC;SG
nổi	celebrità	nổi	celebrità		N;FEM
nổi	fluttuare	nổi	fluttuare		V;NFIN
đặt	imposta	đặt	imposta	V	N;FEM;SG
đặt	set	đặt	set	V	N;MASC
đình	familiare	đình	familiare	N	ADJ;SG
dài	long	dài	long	ADJ	N
tuy	tuy	tuy	tuy	CONJ	N;MASC;SG
biến	variabile	biến	variabile	V	ADJ;SG
biến	variabili	biến	variabile	V	N;FEM;PL
