для	for	для	for	ADP	
более	περισσότεροι	более	πολύς	ADV;CMPR	ADJ;NOM;CMPR;MASC;PL
более	περισσότερες	более	πολύς	ADV;CMPR	ADJ;NOM;CMPR;FEM;PL
более	περισσότερα	более	πολύς	ADV;CMPR	ADJ;NOM;CMPR;NEUT;PL
мая	μάη	май	μάη	N;INAN;GEN;MASC;SG	ADP
мая	μάιος	май	μάιος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
мая	μέι	май	μέι	N;INAN;GEN;MASC;SG	
мая	μάης	май	μάος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
дата	ημερομηνία	дата	ημερομηνία	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
ноября	νοέμβριο	ноябрь	νοέμβριος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
ноября	νοέμβριος	ноябрь	νοέμβριος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
января	ιανουαρίου	январь	ιανουάριος	N;INAN;GEN;MASC;SG	PROPN;GEN;MASC;SG
января	ιανουάριος	январь	ιανουάριος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
марта	μάρτα	март	μάρτα	N;INAN;GEN;MASC;SG	PROPN;NOM;FEM;SG
марта	μάρτιος	март	μάρτιος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
все	ολα	все	όλος	PRO;INAN;NOM;NEUT;SG	ADV
все	όλα	все	όλος	PRO;INAN;NOM;NEUT;SG	ADJ;NOM;NEUT;PL
все	ολα	все	όλος	PRO;INAN;NOM;NEUT;SG	ADV
все	όλοι	все	όλος	PRO;INAN;NOM;NEUT;SG	ADJ;NOM;MASC;PL
все	όλες	все	όλος	PRO;INAN;NOM;NEUT;SG	ADJ;NOM;FEM;PL
все	όλα	все	όλος	PRO;INAN;NOM;NEUT;SG	ADJ;NOM;NEUT;PL
все	ολοι	все	ολος	PRO;INAN;NOM;NEUT;SG	PRO;NOM;MASC;PL;3
все	όλοι	все	όλος	PRO;INAN;NOM;NEUT;SG	ADJ;NOM;MASC;PL
августа	αύγουστος	август	αύγουστος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
августа	αυγούστα	август	αυγούστα	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
том	τόμ	то	τόμ	PRO;INAN;NOM;NEUT;SG	N
том	τομ	то	τομ	PRO;INAN;NOM;NEUT;SG	
том	tom	то	tom	PRO;INAN;NOM;NEUT;SG	
октября	οκτώβριος	октябрь	οκτώβριος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
сентября	σεπτέμβρη	сентябрь	σεπτέμβρομαι	N;INAN;GEN;MASC;SG	ADV
сентября	σεπτέμβριος	сентябрь	σεπτέμβριος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
статьи	αρθρα	статья	άρθρο	N;INAN;NOM;FEM;PL	
июня	ιούνιο	июнь	ιούνιος	N;INAN;GEN;MASC;SG	PROPN;ACC;MASC;SG
июня	τζουν	июнь	τζω	N;INAN;GEN;MASC;SG	
июня	ιούνιος	июнь	ιούνιος	N;INAN;GEN;MASC;SG	ADJ;NOM;MASC;SG
апреля	απρίλιος	апрель	απρίλιος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
который	που	который	που	PRO;NOM	PRO;ACC;NEUT;SG;3
название	τίτλος	название	τίτλος	N;INAN;NOM;NEUT;SG	NUM;NOM;MASC;SG
поселение	διακανονισμού	поселение	διακανονισμός	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
поселение	διευθέτηση	поселение	διευθέτηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
человек	ανθρώπινα	человек	ανθρώπινος	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;PL
человек	ανθρώπινη	человек	ανθρώπινος	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
человек	ανθρώπινο	человек	ανθρώπινος	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
человек	ανθρωπίνων	человек	ανθρώπινος	N;ANIM;NOM;MASC;SG	ADJ;GEN;NEUT;PL
человек	ανθρώπινος	человек	ανθρώπινος	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
человек	φίλε	человек	φίλομαι	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
человек	φιλε	человек	φίλομαι	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
смерти	θανάτους	смерть	θάνατος	N;INAN;GEN;FEM;SG	N;ACC;MASC;PL
смерти	θάνατοι	смерть	θάνατος	N;INAN;GEN;FEM;SG	N;NOM;MASC;PL
лет	χρονια	год	χρονος	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
лет	ετη	год	εγώ	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
лет	χρόνια	год	χρόνος	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
лет	έτη	год	έτος	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
февраля	φεβρουάριος	февраль	φεβρουάριος	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
февраля	φεβ	февраль	φεβ	N;INAN;GEN;MASC;SG	
того	τόγκο	то	τόγκος	PRO;INAN;GEN;NEUT;SG	
города	πολη	город	πολη	N;INAN;NOM;MASC;PL	N;NOM;FEM;SG
города	πόλη	город	πόλη	N;INAN;NOM;MASC;PL	N;NOM;FEM;SG
города	city	город	city	N;INAN;NOM;MASC;PL	
города	πόλεων	город	πόλη	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL
может	ισως	мочь	ισως	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	ίσως	мочь	ίσως	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	can	мочь	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
она	εκείνη	она	εκείνος	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
войны	πολέμους	война	πόλεμος	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
войны	πόλεμος	война	πόλεμος	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
войны	πόλεμο	война	πόλεμος	N;INAN;NOM;FEM;PL	N;ACC;MASC;SG
можно	can	можно	can	ADV	
можно	μπορεί	можно	μπορώ	ADV	V;IPFV;IND;SG;3;PRS;FIN;ACT
когда	πότε	когда	πότε	CONJ	ADV
однако	ωστόσο	однако	ωστόσο	ADV	CONJ
которые	που	который	που	PRO;NOM	PRO;ACC;NEUT;SG;3
переписи	απογραφή	перепись	απογραφή	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
род	γένους	род	γένος	N;ANIM;NOM;MASC;SG	N;GEN;NEUT;SG
род	ροντ	род	ροντ	N;ANIM;NOM;MASC;SG	
один	μόνοι	один	μόνος	NUM;NOM;MASC	ADJ;NOM;MASC;PL
один	μονη	один	μονος	NUM;NOM;MASC	N;ACC;FEM;SG
один	μόνη	один	μόνος	NUM;NOM;MASC	ADJ;NOM;FEM;SG
один	μόνος	один	μόνος	NUM;NOM;MASC	ADJ;NOM;MASC;SG
один	όντιν	один	όντιν	NUM;NOM;MASC	PROPN;NOM;MASC;SG
один	ένας	один	ένας	NUM;NOM;MASC	DET;NOM;INDF;MASC;SG
один	ενα	один	ένας	NUM;NOM;MASC	N;NOM;NEUT;SG
реки	ρίβερ	река	ρίβερ	N;INAN;NOM;FEM;PL	
реки	ποταμός	река	ποταμός	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
реки	ποτάμι	река	ποτάμι	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
реки	ρίβερς	река	ρίβη	N;INAN;NOM;FEM;PL	
реки	ποταμών	река	ποταμός	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
реки	ποταμούς	река	ποταμός	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
между	ανάμεσα	между	ανάμεσα	ADP	ADV
статус	κατάσταση	статус	κατάσταση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
статус	status	статус	status	N;INAN;NOM;MASC;SG	
статус	καθεστώς	статус	καθεστώς	N;INAN;NOM;MASC;SG	N;ACC;NEUT;SG
статус	κατασταση	статус	κατασταση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
населения	πληθυσμός	население	πληθυσμός	N;INAN;GEN;NEUT;SG	N;NOM;MASC;SG
годы	χρονια	год	χρονος	N;INAN;ACC;MASC;PL	N;NOM;NEUT;PL
годы	ετη	год	εγώ	N;INAN;ACC;MASC;PL	N;NOM;NEUT;PL
годы	χρόνια	год	χρόνος	N;INAN;ACC;MASC;PL	N;NOM;NEUT;PL
годы	έτη	год	έτος	N;INAN;ACC;MASC;PL	N;NOM;NEUT;PL
через	via	через	via	ADP	
область	έκταση	область	έκταση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
сельское	αγροτικές	сельский	αγροτικός	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
сайт	website	сайт	website	N;INAN;NOM;MASC;SG	
сайт	site	сайт	site	N;INAN;NOM;MASC;SG	
официальный	αξιωματούχος	официальный	αξιωματούχος	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
против	ενάντια	против	ενάντια	ADP	ADV
против	κόντρα	против	κόντρο	ADP	N;ACC;FEM;SG
этот	αυτο	этот	αυτός	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
этот	αυτό	этот	αυτός	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG;3
будет	γουίλ	быть	γουίλ	V;IPFV;IND;SG;3;PRS;FIN;ACT	
будет	will	быть	will	V;IPFV;IND;SG;3;PRS;FIN;ACT	
будет	θα	быть	θα	V;IPFV;IND;SG;3;PRS;FIN;ACT	PART
несколько	αρκετές	несколько	αρκετός	ADV	PRO;NOM;FEM;PL;3
несколько	αρκετοί	несколько	αρκετός	ADV	PRO;NOM;MASC;PL;3
несколько	πολλαπλές	несколько	πολλαπλά	ADV	ADJ;NOM;FEM;PL
несколько	πολλαπλή	несколько	πολλαπλή	ADV	ADJ;NOM;FEM;SG
город	town	город	town	N;INAN;NOM;MASC;SG	
город	city	город	city	N;INAN;NOM;MASC;SG	
мира	ειρήνη	мир	ειρήνη	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
мира	ειρηνη	мир	ειρηνη	N;INAN;GEN;MASC;SG	PROPN;NOM;FEM;SG
мира	γαλήνη	мир	γαλήνω	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
мира	μίρα	мир	μίρα	N;INAN;GEN;MASC;SG	
мира	mira	мир	mira	N;INAN;GEN;MASC;SG	
первое	πρώτο	первый	πρώτος	ADJ;NOM;NEUT;SG	NUM;NOM;NEUT;SG
первое	πρώτον	первый	πρώτον	ADJ;NOM;NEUT;SG	ADV
первое	πρώτη	первый	πρώτος	ADJ;NOM;NEUT;SG	NUM;NOM;FEM;SG
первое	πρώτα	первый	πρώτα	ADJ;NOM;NEUT;SG	ADV
первое	πρώτος	первый	πρώτος	ADJ;NOM;NEUT;SG	NUM;NOM;MASC;SG
всего	συνολο	все	συνολο	PRO;INAN;GEN;NEUT;SG	N;NEUT;SG
всего	σύνολο	все	σύνολο	PRO;INAN;GEN;NEUT;SG	N;NOM;NEUT;SG
всего	συνολικά	все	συνολικά	PRO;INAN;GEN;NEUT;SG	ADV
первый	πρώτο	первый	πρώτος	ADJ;NOM;MASC;SG	NUM;NOM;NEUT;SG
первый	πρώτον	первый	πρώτον	ADJ;NOM;MASC;SG	ADV
первый	πρώτη	первый	πρώτος	ADJ;NOM;MASC;SG	NUM;NOM;FEM;SG
первый	πρώτα	первый	πρώτα	ADJ;NOM;MASC;SG	ADV
первый	πρώτος	первый	πρώτος	ADJ;NOM;MASC;SG	NUM;NOM;MASC;SG
файл	file	файл	file	N;INAN;NOM;MASC;SG	
карты	τράπουλα	карта	τράπουλα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
карты	χαρτιά	карта	χαρτιά	N;INAN;NOM;FEM;PL	ADV
два	two	два	two	NUM;NOM;MASC	
всех	ολα	все	όλος	PRO;ANIM;ACC;PL	ADV
всех	όλοι	все	όλος	PRO;ANIM;ACC;PL	ADJ;NOM;MASC;PL
всех	όλες	все	όλος	PRO;ANIM;ACC;PL	ADJ;NOM;FEM;PL
всех	όλα	все	όλος	PRO;ANIM;ACC;PL	ADJ;NOM;NEUT;PL
всех	ολοι	все	ολος	PRO;ANIM;ACC;PL	PRO;NOM;MASC;PL;3
всех	όλοι	все	όλος	PRO;ANIM;ACC;PL	ADJ;NOM;MASC;PL
раз	κάποτε	раз	κάποτε	CONJ	ADV
второй	δεύτερο	второй	δεύτερος	ADJ;NOM;MASC;SG	NUM;NOM;NEUT;SG
второй	δεύτερος	второй	δεύτερος	ADJ;NOM;MASC;SG	NUM;NOM;MASC;SG
второй	δεύτερη	второй	δεύτερος	ADJ;NOM;MASC;SG	NUM;NOM;FEM;SG
карта	χάρτη	карта	χάρτης	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
площадь	plaza	площадь	plaza	N;INAN;NOM;FEM;SG	
площадь	πλάζα	площадь	πλάζα	N;INAN;NOM;FEM;SG	
площадь	έκταση	площадь	έκταση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
всё	ολα	все	όλος	PRO;INAN;NOM;NEUT;SG	ADV
всё	όλα	все	όλος	PRO;INAN;NOM;NEUT;SG	ADJ;NOM;NEUT;PL
группы	όμιλος	группа	όμιλος	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
группы	ομαδα	группа	ομαδα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
группы	group	группа	group	N;INAN;NOM;FEM;PL	
группы	ομάδα	группа	ομάδα	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
поселения	οικισμούς	поселение	οικισμός	N;INAN;NOM;NEUT;PL	N;ACC;MASC;PL
почтовый	ταχυδρομικών	почтовый	ταχυδρομικά	ADJ;NOM;MASC;SG	ADJ;GEN;FEM;PL
над	over	над	over	ADP	
страны	χωρα	страна	χωρα	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
страны	χώρα	страна	χώρα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
ему	αυτόν	он	αυτός	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
входит	εισέρχεται	входить	εισέρχομαι	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
индекс	δείκτη	индекс	δείκτης	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
улица	στριτ	улица	στριτ	N;INAN;NOM;FEM;SG	
население	δημογραφικά	население	δημογραφικά	N;INAN;NOM;NEUT;SG	ADV
население	πληθυσμού	население	πληθυσμός	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
работы	έργο	работа	έργο	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
работы	δουλειά	работа	δουλειά	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
работы	εργασία	работа	εργασία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
работы	δουλεια	работа	δουλεια	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
вместе	μαζι	вместе	μαζι	ADV	N
упоминание	αναφέρω	упоминание	αναφέρω	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
истории	ιστορία	история	ιστορία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
истории	ιστορια	история	ιστορια	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
истории	ιστορικό	история	ιστορικός	N;INAN;NOM;FEM;PL	ADJ;NOM;NEUT;SG
которая	που	который	που	PRO;NOM	PRO;ACC;NEUT;SG;3
александр	αλεξάντρ	александр	αλεξάντρ	N;ANIM;NOM;MASC;SG	
александр	αλεξάντερ	александр	αλεξάντερ	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
александр	αλέξανδρε	александр	αλεξάνω	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;1;PST;FIN;ACT
александр	αλέξανδρος	александр	αλέξανδρος	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
армии	στρατοί	армия	στρατός	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
армии	στρατούς	армия	στρατός	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
армии	στρατιές	армия	στρατιά	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
армии	στρατό	армия	στρατός	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
деление	μεραρχία	деление	μεραρχία	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
хотя	μολονότι	хотя	μολονότι	CONJ	ADV
кроме	εκτός	кроме	εκτός	ADP	ADV
кроме	εκτος	кроме	εκτος	ADP	ADV
другие	λοιπά	другой	λοιπός	ADJ;NOM;PL	ADV
другие	αλλα	другой	αλλα	ADJ;NOM;PL	ADV
другие	άλλες	другой	άλλος	ADJ;NOM;PL	PRO;NOM;FEM;PL;3
другие	άλλα	другой	άλλος	ADJ;NOM;PL	PRO;NOM;NEUT;PL;3
другие	άλλους	другой	άλλος	ADJ;NOM;PL	PRO;NOM;MASC;PL;3
другие	άλλοι	другой	άλλος	ADJ;NOM;PL	PRO;NOM;MASC;PL;3
другие	αλλοι	другой	αλλος	ADJ;NOM;PL	PRO;NOM;MASC;PL;3
другие	άλλα	другой	άλλος	ADJ;NOM;PL	PRO;NOM;NEUT;PL;3
история	ιστορικό	история	ιστορικός	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
совета	συμβούλιο	совет	συμβούλιο	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
рождения	γέννησης	рождение	γέννηση	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
рождения	γέννηση	рождение	γέννηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
времени	χρόνος	время	χρόνος	N;INAN;GEN;NEUT;SG	N;NOM;MASC;SG
времени	χρονος	время	χρονος	N;INAN;GEN;NEUT;SG	DET;NOM;DEF;MASC;SG
времени	ώρα	время	ώρα	N;INAN;GEN;NEUT;SG	N;ACC;FEM;SG
времени	φορά	время	φορά	N;INAN;GEN;NEUT;SG	N;ACC;FEM;SG
времени	ωρα	время	ωρα	N;INAN;GEN;NEUT;SG	N;ACC;FEM;SG
времени	χρόνο	время	χρόνος	N;INAN;GEN;NEUT;SG	N;ACC;MASC;SG
участник	συμμετέχοντα	участник	συμμετέχων	N;ANIM;NOM;MASC;SG	ADV
участник	συμμετέχων	участник	συμμετέχω	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
страница	page	страница	page	N;INAN;NOM;FEM;SG	
страница	σελιδα	страница	σελιδα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
участие	εμπλοκή	участие	εμπλοκή	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
википедии	wikipedia	википедия	wikipedia	N;INAN;NOM;FEM;PL	
три	three	три	three	NUM;NOM	
человека	ανθρώπινα	человек	ανθρώπινος	N;ANIM;ACC;MASC;SG	ADJ;NOM;NEUT;PL
человека	ανθρώπινη	человек	ανθρώπινος	N;ANIM;ACC;MASC;SG	ADJ;NOM;FEM;SG
человека	άνθρωπος	человек	άνθρωπος	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
человека	ανθρώπινο	человек	ανθρώπινος	N;ANIM;ACC;MASC;SG	ADJ;NOM;NEUT;SG
человека	ανθρωπίνων	человек	ανθρώπινος	N;ANIM;ACC;MASC;SG	ADJ;GEN;NEUT;PL
человека	ανθρώπινος	человек	ανθρώπινος	N;ANIM;ACC;MASC;SG	ADJ;NOM;MASC;SG
автор	συγγραφέα	автор	συγγραφέα	N;ANIM;NOM;MASC;SG	N;VOC;MASC;SG
республики	δημοκρατια	республика	δημοκρατια	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
республики	δημοκρατία	республика	δημοκρατία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
внутреннее	εσωτερικές	внутренний	εσωτερικός	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
внутреннее	εσωτερικό	внутренний	εσωτερικό	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
внутреннее	εσωτερικά	внутренний	εσωτερικά	ADJ;NOM;NEUT;SG	ADV
внутреннее	εσωτερικό	внутренний	εσωτερικό	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
эти	αυτά	этот	αυτός	DET;NOM;PL	PRO;NOM;NEUT;PL;3
эти	αυτές	этот	αυτός	DET;NOM;PL	PRO;NOM;FEM;PL;3
эти	οἱ	этот	οἱ	DET;NOM;PL	N
эти	αυτα	этот	αυτός	DET;NOM;PL	PRO;NOM;NEUT;PL;3
статей	άρθρα	статья	άρθρο	N;INAN;GEN;FEM;PL	N;NOM;NEUT;PL
статей	τεχνουργήματα	статья	τεχνούργημα	N;INAN;GEN;FEM;PL	N;NOM;NEUT;PL
статей	αρθρα	статья	άρθρο	N;INAN;GEN;FEM;PL	
случае	περίπτωση	случай	περίπτωση	N;INAN;ESS;MASC;SG	N;ACC;FEM;SG
случае	υποθεση	случай	υποθεση	N;INAN;ESS;MASC;SG	N;NOM;FEM;SG
случае	υπόθεση	случай	υπόθεση	N;INAN;ESS;MASC;SG	N;NOM;FEM;SG
центр	center	центр	center	N;INAN;NOM;MASC;SG	
округ	νομό	округ	νομός	N;INAN;NOM;MASC;SG	ADV
округ	okrug	округ	okrug	N;INAN;NOM;MASC;SG	
жизни	life	жизнь	life	N;INAN;NOM;FEM;PL	
жизни	ζωή	жизнь	ζωή	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
жизни	ζωη	жизнь	ζωη	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
жизни	ζει	жизнь	ζω	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
генерал	γενική	генерал	γενικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
генерал	γενικές	генерал	γενικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
генерал	γενικά	генерал	γενικά	N;ANIM;NOM;MASC;SG	ADV
генерал	γενικό	генерал	γενικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
родился	γεννήθηκα	рождаться	γεννώ	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;IND;SG;1;PST;FIN;PASS
родился	γεννημένος	рождаться	γεννημένος	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;NOM;MASC;SG;V.PTCP;PASS
родился	γεννήθηκε	рождаться	γεννώ	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;IND;SG;3;PST;FIN;PASS
родился	γεννηθείς	рождаться	γεννηθής	V;PFV;MASC;IND;SG;PST;FIN;MID	ADJ;NOM;MASC;SG
союза	ένωση	союз	ένωση	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
союза	ενωση	союз	ενωση	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
союза	γιούνιον	союз	γιούνιον	N;INAN;GEN;MASC;SG	ADJ;NOM;NEUT;SG
союза	συνδικάτο	союз	συνδικάτο	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
союза	σωματείο	союз	σωματείο	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
кто	ποιος	кто	ποιος	PRO;NOM	DET;NOM;DEF;MASC;SG
связи	σύνδεσμοι	связь	σύνδεσμος	N;INAN;NOM;FEM;PL	N;ACC;MASC;SG
связи	συνδέσμους	связь	σύνδεσμος	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
связи	επικοινωνιών	связь	επικοινωνία	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
связи	επικοινωνία	связь	επικοινωνία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
день	μέρα	день	μέρα	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
именно	ακριβώς	именно	ακριβώς	PART	ADV
период	περίοδο	период	περίοδος	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
община	κοινότητα	община	κοινότητα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
община	κοινότητας	община	κοινότητα	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
округа	συνοικίες	округ	συνοικία	N;INAN;GEN;MASC;SG	N;NOM;FEM;PL
округа	κομητείες	округ	κομητεία	N;INAN;GEN;MASC;SG	N;NOM;FEM;PL
франции	γαλλία	франция	γαλλία	N;INAN;NOM;FEM;PL	PROPN;ACC;FEM;SG
группа	group	группа	group	N;INAN;NOM;FEM;SG	
группа	ομάδα	группа	ομάδα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
игры	games	игра	games	N;INAN;NOM;FEM;PL	
цифровой	ψηφιακά	цифровой	ψηφιακά	ADJ;NOM;MASC;SG	ADV
цифровой	ψηφιακές	цифровой	ψηφιακός	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
цифровой	digital	цифровой	digital	ADJ;NOM;MASC;SG	
санкт	san	санкт	san	N;INAN;NOM;MASC;SG	
