especializada	špecializovaných	especializado	špecializovaný	ADJ;FEM;SG;V.PTCP	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
linda	nice	linda	nica	ADJ;FEM;SG	PROPN;ANIM;NOM;MASC;SG
genes	gén	gen	gén	N;MASC;PL	N;INAN;NOM;MASC;SG
genes	gene	gen	gena	N;MASC;PL	PROPN;ANIM;NOM;MASC;SG
plana	byt	plano	byt	ADJ;FEM;SG	N;INAN;NOM;MASC;SG
nicolas	nicolas	nicola	nicolas	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
perón	perón	perón	perón	PROPN	N;ANIM;NOM;MASC;SG
observaciones	pozorovanie	observación	pozorovanie	N;FEM;PL	N;NOM;NEUT;SG
observaciones	komentár	observación	komentár	N;FEM;PL	N;INAN;NOM;MASC;SG
desembocadura	papule	desembocadura	papuľa	N;FEM;SG	N;NOM;FEM;PL
desembocadura	ústa	desembocadura	ústa	N;FEM;SG	N;NOM;NEUT;PL
pepe	pepe	pepe	pepo	PROPN	PROPN;ANIM;NOM;MASC;SG
rivales	súper	rival	súper	N;PL	N;INAN;NOM;MASC;SG
alice	alice	alice	alice	N;FEM;SG	PROPN;NOM;FEM;SG
rayo	ray	rayo	ray	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
rayo	blesky	rayo	blesk	N;MASC;SG	N;INAN;NOM;MASC;PL
físicos	fyzici	físico	fyzica	ADJ;MASC;PL	N;ANIM;NOM;MASC;PL
físicos	fyzické	físico	fyzický	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
físicos	fyzická	físico	fyzický	ADJ;MASC;PL	ADJ;NOM;FEM;SG
físicos	fyzikálne	físico	fyzikálny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
físicos	fyzický	físico	fyzický	ADJ;MASC;PL	ADJ;ANIM;NOM;MASC;SG
maurice	maurice	maurizar	maurica	PROPN	PROPN;ANIM;NOM;MASC;SG
financieros	finančný	financiero	finančný	ADJ;MASC;PL	ADJ;ANIM;NOM;MASC;SG
financieros	finančná	financiero	finančný	ADJ;MASC;PL	ADJ;NOM;FEM;SG
financieros	finančné	financiero	finančný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
marte	marse	marte	marsa	PROPN	N;INAN;NOM;MASC;SG
marte	mars	marte	mars	PROPN	PROPN;ANIM;NOM;MASC;SG
loco	crazy	loco	crazy	ADJ;MASC;SG	PROPN;NOM;FEM;SG
loco	blázon	loco	blázon	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
loco	šialenstvo	loco	šialenstvo	ADJ;MASC;SG	N;NOM;NEUT;SG
loco	loco	loco	loco	ADJ;MASC;SG	N;NOM;NEUT;SG
exitoso	úspešní	exitoso	úspešniť	ADJ;MASC;SG	ADJ;ANIM;NOM;MASC;PL
harrison	harrison	harrison	harrison	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
stewart	stewart	stewart	stewart	PROPN	PROPN;ANIM;NOM;MASC;SG
argelia	alžírska	argelia	alžírsky	N;FEM;SG	ADJ;NOM;FEM;SG
argelia	alžírska	argelia	alžírsky	N;FEM;SG	ADJ;NOM;FEM;SG
argelia	alžírsko	argelia	alžírsko	N;FEM;SG	ADV
sound	sound	sound	sounda	N	INTJ
novio	ženícha	novio	ženích	N;MASC;SG	N;ANIM;NOM;MASC;PL
novio	ženích	novio	ženich	N;MASC;SG	N;ANIM;NOM;MASC;PL
rechazo	odmietnutia	rechazo	odmietnutie	N;MASC;SG	N;NOM;NEUT;PL
rechazo	odmietnutia	rechazo	odmietnutie	N;MASC;SG	N;NOM;NEUT;PL
rechazo	odmietnuť	rechazo	odmietnuť	N;MASC;SG	V;PFV;POS;NFIN
rechazo	zamietnuť	rechazo	zamietnuť	N;MASC;SG	V;PFV;POS;NFIN
parker	parkerová	parker	parkerový	N;MASC;SG	ADJ;NOM;FEM;SG
parker	parker	parker	parker	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
eligió	zvolili	elegir	zvoliť	V;IND;SG;3;PST;FIN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
firmar	podpísanie	firmar	podpísanie	V;NFIN	N;NOM;NEUT;SG
firmar	podpise	firmar	podpis	V;NFIN	N;INAN;NOM;MASC;SG
firmar	znak	firmar	znak	V;NFIN	N;INAN;NOM;MASC;SG
firmar	znamenie	firmar	znamenie	V;NFIN	N;NOM;NEUT;SG
firmar	znamienko	firmar	znamienko	V;NFIN	N;NOM;NEUT;SG
xavier	xavier	xavier	xavier	PROPN	PROPN;ANIM;NOM;MASC;SG
chipre	cyperská	chipre	cyperský	N;FEM;SG	ADJ;NOM;FEM;SG
guy	chlap	guy	chlap	PROPN	N;ANIM;NOM;MASC;SG
guy	guy	guy	guy	PROPN	PROPN;ANIM;NOM;MASC;SG
guy	chalan	guy	chalan	PROPN	N;ANIM;NOM;MASC;SG
guy	chlapík	guy	chlapík	PROPN	N;ANIM;NOM;MASC;SG
previsto	plánuje	previsto	plánovať	ADJ;MASC;SG;V.PTCP	V;IPFV;IND;SG;3;POS;PRS;FIN
adolescente	teen	adolescente	teen	N;SG	PROPN;NOM;MASC;SG
adolescente	dospievajúci	adolescente	dospievajúci	N;SG	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;ACT
adolescente	dospievajúci	adolescente	dospievajúci	N;SG	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;ACT
adolescente	dospievajúcich	adolescente	dospievajúci	N;SG	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;ACT
inés	inés	inés	inés	N;FEM;SG	PRO;ANIM;NOM;MASC;SG
inés	agnes	inés	agnes	N;FEM;SG	PROPN;NOM;FEM;SG
dinámica	dynamiky	dinámica	dynamika	N;FEM;SG	N;NOM;FEM;PL
dinámica	dynamický	dinámica	dynamický	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
dinámica	dynamická	dinámica	dynamický	N;FEM;SG	ADJ;NOM;FEM;SG
dinámica	dynamické	dinámica	dynamický	N;FEM;SG	ADJ;NOM;NEUT;SG
mencionada	spomenul	mencionado	spomenúť	ADJ;FEM;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
mencionada	spomínali	mencionado	spomínať	ADJ;FEM;SG;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
mencionada	spomenula	mencionado	spomenúť	ADJ;FEM;SG;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
mencionada	spomenuli	mencionado	spomenúť	ADJ;FEM;SG;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
variación	varianty	variación	variant	N;FEM;SG	N;INAN;NOM;MASC;PL
variación	variácie	variación	variácia	N;FEM;SG	N;NOM;FEM;PL
variación	odchýlky	variación	odchýlka	N;FEM;SG	N;NOM;FEM;PL
variación	zmeniť	variación	zmeniť	N;FEM;SG	V;PFV;POS;NFIN
variación	variácie	variación	variácia	N;FEM;SG	N;NOM;FEM;PL
trío	trio	trío	trio	N;MASC;SG	PROPN;NOM;MASC;SG
óleo	oil	óleo	oil	N;MASC;SG	
usted	vy	tú	vy	PRO;SG;2;FORM	PRO;NOM;PL;2
usted	si	tú	byť	PRO;SG;2;FORM	V;IPFV;IND;SG;2;POS;PRS;FIN
sabía	poznala	saber	poznať	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
sabía	vedel	saber	vedieť	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
sabía	vedela	saber	vedieť	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;SG;POS;PST;V.PTCP
sabía	vedeli	saber	vedieť	V;IND;SG;3;IPFV;FIN	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
alfa	alpha	alfa	alpha	N;FEM;SG	PROPN;NOM;FEM;SG
alfa	alfa	alfa	alfo	N;FEM;SG	
alfa	alfa	alfa	alfo	N;FEM;SG	
caudal	flow	caudal	flow	N;MASC;SG	
ann	ann	ann	ann	PROPN	PROPN;NOM;FEM;SG
antecedentes	pozadie	antecedente	pozadie	N;MASC;PL	N;NOM;NEUT;SG
antecedentes	minulosť	antecedente	minulosť	N;MASC;PL	N;NOM;FEM;SG
antecedentes	pozadí	antecedente	pozadie	N;MASC;PL	N;NOM;NEUT;SG
irlandés	irish	irlandés	irish	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
asiático	ázijských	asiático	ázijský	ADJ;MASC;SG	ADJ;ANIM;GEN;MASC;PL
asiático	ázie	asiático	ázia	ADJ;MASC;SG	N;NOM;FEM;PL
guarda	stráž	guardar	stráža	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
guarda	strážnik	guardar	strážnik	V;IND;SG;3;PRS;FIN	N;ANIM;NOM;MASC;SG
edgar	edgar	edgar	edgar	PROPN	PROPN;ANIM;NOM;MASC;SG
marciales	bojové	marciales	bojový	N;PL	ADJ;NOM;NEUT;SG
marciales	bojových	marciales	bojový	N;PL	ADJ;ANIM;GEN;MASC;PL
barry	barry	barry	barra	PROPN	N;NOM;FEM;SG
utilidad	užitočný	utilidad	užitočný	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
utilidad	užitočné	utilidad	užitočný	N;FEM;SG	ADJ;NOM;NEUT;SG
utilidad	užitočná	utilidad	užitočný	N;FEM;SG	ADJ;NOM;FEM;SG
utilidad	úžitkové	utilidad	úžitkový	N;FEM;SG	ADJ;NOM;NEUT;SG
beatles	beatles	beatle	beatles	N;MASC;PL	N;NOM;FEM;SG
higgins	higgins	higgin	higgins	PROPN	PROPN;ANIM;NOM;MASC;SG
celebrada	držala	celebrado	držať	ADJ;FEM;SG;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
celebrada	oslavovali	celebrado	oslavovať	ADJ;FEM;SG;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
celebrada	oslávili	celebrado	osláviť	ADJ;FEM;SG;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
desapareció	zmizli	desaparecer	zmiznúť	V;IND;SG;3;PST;FIN	V;PFV;MASC;PL;POS;PST;V.PTCP
desapareció	zmizli	desaparecer	zmiznúť	V;IND;SG;3;PST;FIN	V;PFV;MASC;PL;POS;PST;V.PTCP
force	nútiť	force	nútiť	N	V;IPFV;POS;NFIN
force	prinútiť	force	prinútiť	N	V;PFV;POS;NFIN
contemporáneos	súčasné	contemporáneo	súčasný	N;MASC;PL	ADJ;NOM;NEUT;SG
contemporáneos	súčasná	contemporáneo	súčasný	N;MASC;PL	ADJ;NOM;FEM;SG
contemporáneos	súčasnej	contemporáneo	súčasný	N;MASC;PL	ADJ;GEN;FEM;SG
contemporáneos	súčasný	contemporáneo	súčasný	N;MASC;PL	ADJ;ANIM;NOM;MASC;SG
ken	ken	ken	ken	PROPN	PROPN;ANIM;NOM;MASC;SG
necesarias	potrebná	necesario	potrebný	ADJ;FEM;PL	ADJ;NOM;FEM;SG
necesarias	nevyhnutná	necesario	nevyhnutný	ADJ;FEM;PL	ADJ;NOM;FEM;SG
necesarias	nutné	necesario	nutný	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
necesarias	nevyhnutné	necesario	nevyhnutný	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
necesarias	potrebné	necesario	potrebný	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
necesarias	nutná	necesario	nutný	ADJ;FEM;PL	ADJ;NOM;FEM;SG
abraham	abraham	abraham	abraham	PROPN	N;ANIM;NOM;MASC;SG
lost	stratená	lost	stratený	N	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
lost	stratené	lost	stratený	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
lost	stratil	lost	stratiť	N	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
lost	stratený	lost	stratený	N	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
lost	stratení	lost	stratený	N	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
caras	draho	cara	draho	N;FEM;PL	ADV
caras	drahý	cara	drahý	N;FEM;PL	ADJ;ANIM;NOM;MASC;SG
caras	drahé	cara	drahý	N;FEM;PL	ADJ;NOM;NEUT;SG
lesiones	úraz	lesión	úraz	N;FEM;PL	N;INAN;NOM;MASC;SG
lesiones	zranenie	lesión	zranenie	N;FEM;PL	N;NOM;NEUT;SG
lesiones	poškodenie	lesión	poškodenie	N;FEM;PL	N;NOM;NEUT;SG
lesiones	poranenie	lesión	poranenie	N;FEM;PL	N;NOM;NEUT;SG
lesiones	ujma	lesión	ujma	N;FEM;PL	N;NOM;FEM;SG
disminución	odmietnuť	disminución	odmietnuť	N;FEM;SG	V;PFV;POS;NFIN
disminución	zamietnuť	disminución	zamietnuť	N;FEM;SG	V;PFV;POS;NFIN
disminución	znižovať	disminución	znižovať	N;FEM;SG	V;IPFV;POS;NFIN
disminución	znížiť	disminución	znížiť	N;FEM;SG	V;PFV;POS;NFIN
apoyó	podporovaný	apoyar	podporovaný	V;IND;SG;3;PST;FIN	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
apoyó	podporovaných	apoyar	podporovaný	V;IND;SG;3;PST;FIN	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
apoyó	podporované	apoyar	podporovaný	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
apoyó	podporovaná	apoyar	podporovaný	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
aceptación	prijíma	aceptación	prijímať	N;FEM;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
sídney	sydney	sídney	sydney	N;MASC;SG	ADV
parra	parra	parra	parra	PROPN	N;ANIM;NOM;MASC;SG
facilidad	zmierniť	facilidad	zmierniť	N;FEM;SG	V;PFV;POS;NFIN
libras	libier	libra	libier	N;MASC;PL	N;NOM;FEM;SG
land	land	land	land	N	
contribuyó	prispeli	contribuir	prispieť	V;IND;SG;3;PST;FIN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
terrestres	pozemné	terrestre	pozemný	N;PL	ADJ;NOM;NEUT;SG
terrestres	pozemná	terrestre	pozemný	N;PL	ADJ;NOM;FEM;SG
terrestres	suchozemských	terrestre	suchozemský	N;PL	ADJ;GEN;MASC;PL
terrestres	suchozemské	terrestre	suchozemský	N;PL	ADJ;NOM;NEUT;SG
terrestres	pozemný	terrestre	pozemný	N;PL	ADJ;ANIM;NOM;MASC;SG
terrestres	pozemské	terrestre	pozemský	N;PL	ADJ;NOM;NEUT;SG
rara	vzácne	raro	vzácne	ADJ;FEM;SG	ADV
soviéticos	sovietsky	soviético	sovietsky	N;MASC;PL	ADJ;ANIM;NOM;MASC;SG
soviéticos	sovietskeho	soviético	sovietsky	N;MASC;PL	ADJ;GEN;MASC;SG
adquirido	získala	adquirido	získať	ADJ;MASC;SG;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
adquirido	nadobudol	adquirido	nadobudnúť	ADJ;MASC;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
pérdidas	stratu	pérdida	strata	N;FEM;PL	N;ACC;FEM;SG
pérdidas	prehra	pérdida	prehra	N;FEM;PL	N;NOM;FEM;SG
pérdidas	strata	pérdida	strata	N;FEM;PL	N;NOM;FEM;SG
fantasía	fantázie	fantasía	fantázia	N;FEM;SG	N;NOM;FEM;PL
fenómenos	jav	fenómeno	jav	N;MASC;PL	N;INAN;NOM;MASC;SG
fenómenos	fenomén	fenómeno	fenomén	N;MASC;PL	N;INAN;NOM;MASC;SG
conecta	pripojenie	conectar	pripojenie	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG
mini	mini	mini	minú		N;INAN;NOM;MASC;SG
africano	afrických	africano	africký	ADJ;MASC;SG	ADJ;ANIM;GEN;MASC;PL
let	nechaj	let	nechať		V;PFV;IMP;SG;2;POS;FIN
let	nechajte	let	nechať		V;PFV;IMP;PL;2;POS;FIN
let	nech	let	nech		PART
let	nechajme	let	nechať		V;PFV;IMP;PL;1;POS;FIN
otomano	osmanskej	otomano	osmanský	N;MASC;SG	ADJ;GEN;FEM;SG
over	over	over	over	PROPN	
over	konec	over	konec	PROPN	N;INAN;NOM;MASC;SG
finanzas	financovanie	finanzas	financovanie	N;FEM;PL	N;NOM;NEUT;SG
finanzas	financovať	finanzas	financovať	N;FEM;PL	V;IPFV;POS;NFIN
sinfónica	symfónia	sinfónico	symfóniť	ADJ;FEM;SG	N;NOM;FEM;SG
boxeo	box	boxeo	box	N;MASC;SG	
raymond	raymond	raymond	raymond	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
comparte	zdieľanie	compartir	zdieľanie	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;SG
comparte	akcie	compartir	akcia	V;IND;SG;3;PRS;FIN	N;NOM;FEM;PL
comparte	podiely	compartir	podiel	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;PL
comparte	zdieľania	compartir	zdieľanie	V;IND;SG;3;PRS;FIN	N;NOM;NEUT;PL
fiel	verní	fiel	verný	ADJ;SG	ADJ;ANIM;NOM;MASC;PL
derivado	derivát	derivado	derivát	ADJ;MASC;SG;V.PTCP	N;INAN;NOM;MASC;SG
rodaje	natáčania	rodaje	natáčanie	N;MASC;SG	N;NOM;NEUT;PL
rodaje	natáčať	rodaje	natáčať	N;MASC;SG	V;IPFV;POS;NFIN
rodaje	strieľať	rodaje	strieľať	N;MASC;SG	V;IPFV;POS;NFIN
escalera	schodov	escalera	schod	N;FEM;SG	N;INAN;GEN;MASC;PL
escalera	schody	escalera	schod	N;FEM;SG	N;INAN;NOM;MASC;PL
escalera	schodoch	escalera	schod	N;FEM;SG	N;INAN;INS;MASC;PL
heinrich	heinrich	heinrich	heinrich	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
reglamento	nariadenia	reglamento	nariadenie	N;MASC;SG	N;NOM;NEUT;PL
reglamento	predpisy	reglamento	predpis	N;MASC;SG	N;INAN;NOM;MASC;PL
reglamento	nariadení	reglamento	nariadenie	N;MASC;SG	N;NOM;NEUT;PL
reglamento	regulácie	reglamento	regulácia	N;MASC;SG	N;NOM;FEM;PL
reglamento	pravidlá	reglamento	pravidlo	N;MASC;SG	N;NOM;NEUT;PL
reglamento	pravidlách	reglamento	pravidlo	N;MASC;SG	N;INS;NEUT;PL
reglamento	pravidiel	reglamento	pravidlo	N;MASC;SG	N;GEN;NEUT;PL
reglamento	predpisy	reglamento	predpis	N;MASC;SG	N;INAN;NOM;MASC;PL
reglamento	pravidla	reglamento	pravidlo	N;MASC;SG	N;NOM;NEUT;PL
reglamento	nariadenia	reglamento	nariadenie	N;MASC;SG	N;NOM;NEUT;PL
reglamento	regulácie	reglamento	regulácia	N;MASC;SG	N;NOM;FEM;PL
gigantes	obor	gigante	obor	N;PL	N;ANIM;NOM;MASC;SG
gigantes	obrovský	gigante	obrovský	N;PL	ADJ;ANIM;NOM;MASC;SG
experimentos	experimentovanie	experimento	experimentovanie	N;MASC;PL	N;NOM;NEUT;SG
paisajes	krajina	paisaje	krajina	N;MASC;PL	N;NOM;FEM;SG
cuesta	cuesta	costar	cuesta	V;IND;SG;3;PRS;FIN	N;ANIM;NOM;MASC;SG
dispuesto	ochotní	dispuesto	ochotný	ADJ;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;PL
dei	dei	dei	dei	N;MASC	PROPN;ANIM;NOM;MASC;SG
grabados	rytiny	grabado	rytina	ADJ;MASC;PL;V.PTCP	N;NOM;FEM;PL
grabados	nahraté	grabado	nahratý	ADJ;MASC;PL;V.PTCP	N;NOM;MASC;PL
grabados	zaznamenaný	grabado	zaznamenaný	ADJ;MASC;PL;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
grabados	zaznamenané	grabado	zaznamenaný	ADJ;MASC;PL;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
grabados	zaznamenaná	grabado	zaznamenaný	ADJ;MASC;PL;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
grabados	otlačky	grabado	otlačka	ADJ;MASC;PL;V.PTCP	N;NOM;FEM;PL
grabados	odtlačky	grabado	odtlačka	ADJ;MASC;PL;V.PTCP	N;INAN;NOM;MASC;PL
efectivo	hotovosť	efectivo	hotovosť	ADJ;MASC;SG	N;NOM;FEM;SG
efectivo	cash	efectivo	cash	ADJ;MASC;SG	N;INAN;NOM;MASC;SG
cárdenas	cárdenas	cárdena	cárdenas	N;FEM;PL	N;ANIM;NOM;MASC;SG
cuota	kvóty	cuota	kvóta	N;FEM;SG	N;NOM;FEM;PL
roland	roland	roland	roland	PROPN	N;ANIM;NOM;MASC;SG
obreros	pracujúcich	obrero	pracujúci	N;MASC;PL	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;ACT
primarias	primárne	primaria	primárne	N;FEM;PL	ADV
primarias	primárna	primaria	primárny	N;FEM;PL	ADJ;NOM;FEM;SG
primarias	primárny	primaria	primárny	N;FEM;PL	ADJ;ANIM;NOM;MASC;SG
hembra	samice	hembra	samica	N;FEM;SG	N;NOM;NEUT;PL
hembra	ženské	hembra	ženský	N;FEM;SG	ADJ;NOM;NEUT;SG
hembra	ženská	hembra	ženský	N;FEM;SG	ADJ;NOM;FEM;SG
hembra	žien	hembra	žena	N;FEM;SG	N;GEN;FEM;PL
añadió	pridaný	añadir	pridaný	V;IND;SG;3;PST;FIN	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
añadió	pridané	añadir	pridaný	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
gold	zlatá	gold	zlatý	N	ADJ;NOM;FEM;SG
gold	gold	gold	gold	N	
dominante	dominujú	dominante	dominovať	ADJ;SG	V;IPFV;IND;PL;3;POS;PRS;FIN
fred	fred	fred	fred	PROPN	PROPN;ANIM;NOM;MASC;SG
rob	rob	rob	rob	PROPN	PROPN;ANIM;VOC;MASC;SG
chaco	chaco	chaco	chaco	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG
ligera	svetlo	ligero	svetlo	ADJ;FEM;SG	N;NOM;NEUT;SG
ligera	svetla	ligero	svetlo	ADJ;FEM;SG	N;NOM;NEUT;PL
ligera	mierne	ligero	mierne	ADJ;FEM;SG	ADV
ligera	ľahkých	ligero	ľahký	ADJ;FEM;SG	ADJ;GEN;MASC;PL
tocando	hranie	tocar	hranie	V;V.MSDR	N;NOM;NEUT;SG
tocando	prehrávanie	tocar	prehrávanie	V;V.MSDR	N;NOM;NEUT;SG
recuerdos	pamäť	recuerdo	pamäť	N;MASC;PL	N;NOM;FEM;SG
recuerdos	spomienka	recuerdo	spomienka	N;MASC;PL	N;NOM;FEM;SG
recuerdos	spomienku	recuerdo	spomienka	N;MASC;PL	N;ACC;FEM;SG
site	site	sitir	site	N;MASC;SG	INTJ
específicos	špecifické	específico	špecifický	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
específicos	konkrétne	específico	konkrétny	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
específicos	špecifická	específico	špecifický	ADJ;MASC;PL	ADJ;NOM;FEM;SG
específicos	osobitné	específico	osobitný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
específicos	špecifický	específico	špecifický	ADJ;MASC;PL	ADJ;INAN;NOM;MASC;SG
wright	wright	wright	wright	PROPN	PROPN;ANIM;NOM;MASC;SG
falla	nepodarí	fallar	podariť	N;FEM;SG	V;PFV;IND;SG;3;NEG;PRS;FIN
falla	zlyháva	fallar	zlyhávať	N;FEM;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
falla	zlyhá	fallar	zlyhať	N;FEM;SG	V;PFV;IND;SG;3;POS;PRS;FIN
falla	minie	fallar	minúť	N;FEM;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
llano	llano	llano	llano	ADJ;MASC;SG	N;NOM;NEUT;SG
llano	jednoznacne	llano	jednoznacne	ADJ;MASC;SG	ADV
llano	plain	llano	plain	ADJ;MASC;SG	
romper	break	romper	break	V;NFIN	N;INAN;NOM;MASC;SG
romper	zlom	romper	zlom	V;NFIN	N;INS;NEUT;SG
romper	prestávka	romper	prestávka	V;NFIN	N;NOM;FEM;SG
seguimiento	monitorovania	seguimiento	monitorovanie	N;MASC;SG	N;NOM;NEUT;PL
seguimiento	monitorovať	seguimiento	monitorovať	N;MASC;SG	V;IPFV;POS;NFIN
difíciles	ťažké	difícil	ťažký	ADJ;PL	ADJ;NOM;NEUT;SG
difíciles	náročné	difícil	náročný	ADJ;PL	ADJ;NOM;NEUT;SG
difíciles	zložité	difícil	zložitý	ADJ;PL	ADJ;NOM;NEUT;SG
difíciles	ťažko	difícil	ťažko	ADJ;PL	ADV
proyección	projekcie	proyección	projekcia	N;FEM;SG	N;NOM;FEM;PL
neerlandés	holandská	neerlandés	holandský	N;MASC;SG	ADJ;NOM;FEM;SG
neerlandés	holandské	neerlandés	holandský	N;MASC;SG	ADJ;NOM;NEUT;SG
neerlandés	holandskej	neerlandés	holandský	N;MASC;SG	ADJ;GEN;FEM;SG
neerlandés	holandský	neerlandés	holandský	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG
chiapas	chiapas	chiapa	chiapas	N;FEM;PL	N;INAN;NOM;MASC;SG
compuestas	zložený	compuesto	zložený	ADJ;FEM;PL;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
